1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 489778.78),(2 851499.06),(3 1046232.3),(4 2097768),(5 2957714),(6 3495418),(7 4821352.5),(8 5896979.5),(9 6592876),(10 8085476.5),(11 9319927),(12 10285516),(13 12084460),(14 13701264),(15 15146447),(16 17403498),(17 19482954),(18 21165238),(19 23673990),(20 25795954),(21 27124390),(22 29130614),(23 30929238),(24 31889074),(25 33752990),(26 35454012),(27 36445104),(28 38415052),(29 40372108),(30 41472316),(31 43415572),(32 45375796),(33 46310652),(34 47878644),(35 49501316),(36 49937484),(37 51001900),(38 52039010),(39 52030948),(40 52634036),(41 53628628),(42 53732450),(43 54541612),(44 55748750),(45 55979124),(46 56506320),(47 57375540),(48 57133092),(49 57342484),(50 57887548),(51 57248052),(52 57197644),(53 57885532),(54 57319060),(55 57567500),(56 58499564),(57 58486596),(58 59222670),(59 60606304),(60 61002156),(61 62252144),(62 63786076),(63 64409068),(64 65786548),(65 67602300),(66 68473944),(67 70082280),(68 72160010),(69 73134890),(70 74655224),(71 76779784),(72 77730620),(73 79441760),(74 81236280),(75 81784250),(76 82696940),(77 84092344),(78 84016430),(79 84465704),
(1 33651.773),(2 60536.66),(3 69269.5),(4 70544.19),(5 70157.35),(6 71248.04),(7 71896.44),(8 72958.14),(9 73776.16),(10 74962.234),(11 75484.15),(12 75141.56),(13 73256.76),(14 74550.66),(15 74989.55),(16 74782.234),(17 77049.76),(18 76495.234),(19 77547.98),(20 80578.39),(21 84130.54),(22 84008.56),(23 82327.836),(24 82069.77),(25 83102.805),(26 83453.95),(27 84818.58),(28 85568.17),(29 85738.45),(30 83977.96),(31 83428.6),(32 84443.836),(33 86394.56),(34 86671.86),(35 86397.07),(36 88166.51),(37 87607.63),(38 87512.35),(39 87670.414),(40 88838.89),(41 88738.695),(42 88912.79),(43 88254.49),(44 86806.95),(45 85601.73),(46 85638.77),(47 84219.49),(48 83546.76),(49 83246.875),(50 84372.59),(51 84342.5),(52 85628.48),(53 85921.875),(54 82999.586),(55 82861.13),(56 82446.41),(57 83694.37),(58 83499.76),(59 82997.37),(60 82512.12),(61 83086.19),(62 85827.7),(63 86687.13),(64 87043.76),(65 86346.19),(66 86975.89),(67 85907.96),(68 86035.47),(69 86611.07),(70 87352),(71 88140.695),(72 88500.43),(73 88307.18),(74 87113.414),(75 86708.516),(76 86820.73),(77 87371.875),(78 87143.56),(79 86233.22),
(1 31426.002),(2 57359.023),(3 65219.508),(4 67703.64),(5 66402.65),(6 66336.22),(7 66593.37),(8 67178.164),(9 68349.26),(10 71785.79),(11 73015.305),(12 72034.42),(13 70267.7),(14 71586.15),(15 70893.29),(16 70271.58),(17 71616.24),(18 69662.38),(19 70912.93),(20 73621.04),(21 75787.266),(22 75705.43),(23 72164.914),(24 71651.45),(25 72922.69),(26 73297.195),(27 74407.555),(28 74635.83),(29 72986.41),(30 72645.59),(31 75443.32),(32 76911.79),(33 77716.24),(34 76097.5),(35 75213.734),(36 76232.94),(37 76870.055),(38 77740.1),(39 78605.34),(40 79393.51),(41 78890.3),(42 78649.586),(43 78512.7),(44 79514.63),(45 78638.43),(46 79698.69),(47 78293.88),(48 77957.69),(49 79813.734),(50 80876.12),(51 82085.63),(52 80198.62),(53 80758.57),(54 79966.61),(55 80995.71),(56 81532.375),(57 81577.18),(58 81075.64),(59 82504.47),(60 82598.36),(61 82691.01),(62 81953.805),(63 81288.97),(64 82131.625),(65 81398.805),(66 80906.25),(67 80428.1),(68 80135.2),(69 79922.79),(70 80193.38),(71 80280.516),(72 78463.16),(73 78225.125),(74 80186.59),(75 81271.195),(76 81280.57),(77 81008.39),(78 80351.01),(79 79196.38),
(1 32236.076),(2 57952.145),(3 66516.52),(4 70834.625),(5 70205.91),(6 68700.5),(7 66786.125),(8 67347.766),(9 68516.76),(10 70698.3),(11 70454.766),(12 70879.234),(13 71604.82),(14 73175.26),(15 73203.68),(16 72624.195),(17 72544.39),(18 71381.04),(19 73475.016),(20 75455.305),(21 76742.61),(22 75520.25),(23 73918.76),(24 71918.21),(25 73832.27),(26 74257.47),(27 75830.99),(28 75612.77),(29 75121.375),(30 76541.95),(31 78754.266),(32 79476.07),(33 79114.445),(34 78019.12),(35 76421.086),(36 75998.016),(37 78631.836),(38 79735.91),(39 81319.66),(40 82385.266),(41 81317.81),(42 80311.695),(43 78422.43),(44 79152.44),(45 79581.24),(46 77940.484),(47 75597.99),(48 74233.5),(49 74080.84),(50 75590.7),(51 77061.24),(52 77682.51),(53 77063.88),(54 77704.21),(55 79477.07),(56 80316.57),(57 79454.81),(58 80500.17),(59 80060.52),(60 80363.984),(61 81307.53),(62 79788.875),(63 80309.86),(64 80247.18),(65 81343.484),(66 81728.64),(67 81543.7),(68 81260.625),(69 80861.1),(70 82218.13),(71 82832.26),(72 82036.3),(73 82326.16),(74 82542.11),(75 80863.44),(76 80704.734),(77 81845.164),(78 81089.07),(79 80615.76),
(1 30759.371),(2 54358.688),(3 62727.324),(4 66114.71),(5 65335.305),(6 64736.42),(7 65203.297),(8 64298.848),(9 64607.035),(10 65830.375),(11 65810.82),(12 66638.9),(13 67424.82),(14 68767.67),(15 68484.71),(16 67322.67),(17 67190.016),(18 67577.555),(19 70320.984),(20 71091.82),(21 70830.125),(22 70244.46),(23 68634.96),(24 68935.56),(25 69522.42),(26 70182.586),(27 71494.49),(28 71753.11),(29 71006.48),(30 71550.95),(31 72663.88),(32 72900.234),(33 72212.27),(34 71569.6),(35 72034.195),(36 71803.05),(37 73713.266),(38 73879.06),(39 74055.6),(40 72598.03),(41 72586.56),(42 72813.69),(43 74040.695),(44 72900.93),(45 73767.48),(46 71983.336),(47 71701.86),(48 71526.33),(49 72748.67),(50 74480.14),(51 74850.88),(52 75146.76),(53 74033.58),(54 74901.586),(55 75189.586),(56 75750.48),(57 75338.125),(58 74832.29),(59 73411.766),(60 74357.46),(61 75345.266),(62 75938.266),(63 75840.46),(64 74857.68),(65 75100.75),(66 75423.56),(67 76443.24),(68 75650.54),(69 76060.25),(70 75864.65),(71 75620.74),(72 75734.08),(73 76276.586),(74 75538.76),(75 74709.2),(76 76339.734),(77 76737.84),(78 77285.39),(79 77281.2),
(1 29302.51),(2 52027.98),(3 59888.906),(4 62841.563),(5 61875.13),(6 61098.918),(7 60348.16),(8 60603.285),(9 60480.367),(10 62431.703),(11 64101.184),(12 63843.758),(13 64933.91),(14 63884.84),(15 62420.727),(16 63800.484),(17 65788.78),(18 67274.23),(19 68555.82),(20 69240.41),(21 69343.95),(22 68859.555),(23 67741.086),(24 67491.96),(25 68713.69),(26 69228.96),(27 71095.695),(28 70792.55),(29 71111.555),(30 72147.88),(31 73221.55),(32 73190.96),(33 73657.67),(34 73087.055),(35 72424.59),(36 72346.32),(37 72996.73),(38 73832.79),(39 74926.44),(40 74358.94),(41 74571.28),(42 74235.68),(43 73490.56),(44 72787.65),(45 72956.55),(46 71810.34),(47 71190.82),(48 71136.43),(49 71492.055),(50 72008.45),(51 71230.63),(52 70638.086),(53 71054.02),(54 71166.45),(55 70508.31),(56 70313.914),(57 71262.35),(58 70518.4),(59 70293.445),(60 70826.27),(61 71454.3),(62 72266.19),(63 71655.63),(64 70773.016),(65 69732.86),(66 71260.76),(67 72551.38),(68 72943.3),(69 71989.695),(70 72614.27),(71 72897.914),(72 74065.28),(73 74214.305),(74 74185.375),(75 73854.6),(76 73698.48),(77 74682.28),(78 75370.805),(79 74909.805),
(1 29909.621),(2 51137.633),(3 59495.066),(4 61962.543),(5 62079.01),(6 60936.297),(7 60726.883),(8 60200.863),(9 61292.91),(10 63785.887),(11 63242.563),(12 63090.32),(13 63440.813),(14 65265.152),(15 64343.113),(16 65574.22),(17 65212.83),(18 66292.75),(19 66586.45),(20 67797.32),(21 67012.06),(22 66581.75),(23 66518.555),(24 67805.414),(25 67454.65),(26 68081.586),(27 69592.37),(28 70133.84),(29 71138.18),(30 71779.195),(31 72293.38),(32 73578.164),(33 72994.305),(34 73305.38),(35 74882.1),(36 75382.95),(37 75146.53),(38 75338.95),(39 75415.79),(40 75327.82),(41 75273.44),(42 76690.5),(43 75170.734),(44 75427.91),(45 74204.234),(46 74671.016),(47 74130.41),(48 73404.07),(49 73744.19),(50 73504.45),(51 75434.04),(52 74604.94),(53 74713.91),(54 74355.7),(55 75181.43),(56 75316.8),(57 77610),(58 76679.54),(59 76727.6),(60 76403.266),(61 77106.74),(62 77659.87),(63 76910.55),(64 77819.78),(65 77240.484),(66 79452.766),(67 80206.375),(68 78683.34),(69 77201.28),(70 76760.39),(71 76425.73),(72 76959.8),(73 76863.25),(74 77535.35),(75 77243.375),(76 77334.7),(77 78425.234),(78 79356.49),(79 79189.82),
(1 28038.797),(2 47912),(3 53790.68),(4 55855.832),(5 55565.277),(6 54637.67),(7 55503.246),(8 56909.684),(9 57526.04),(10 57225.996),(11 55405.46),(12 55824.684),(13 57592.906),(14 57357.973),(15 58890.68),(16 60919.96),(17 61496.07),(18 62438.85),(19 62914.23),(20 64573.816),(21 64540.613),(22 65880.73),(23 65686.73),(24 67011.48),(25 67027.99),(26 67165.414),(27 67486.61),(28 67845.24),(29 67629.61),(30 69991.26),(31 68034.56),(32 69699.53),(33 69980.49),(34 70632.14),(35 71613.62),(36 70661.1),(37 70881.1),(38 70079.22),(39 70189.98),(40 70257.14),(41 70861.4),(42 70950.93),(43 70324.836),(44 70850.68),(45 71851.75),(46 70992.06),(47 70516.77),(48 71041.76),(49 70773.09),(50 71117.38),(51 70042.36),(52 69919.58),(53 70273.46),(54 70109.23),(55 69525.42),(56 69433.38),(57 69649.2),(58 69426.63),(59 70478.945),(60 71165.445),(61 71859.81),(62 71005.734),(63 70205.52),(64 71223.9),(65 71884.92),(66 70790.77),(67 69948.11),(68 69096.71),(69 69890.59),(70 70146.37),(71 70517.25),(72 70302.76),(73 71086.18),(74 72244.875),(75 73502.42),(76 73089.92),(77 72875.016),(78 73948.836),(79 74754.48),
(1 27973.502),(2 49281.25),(3 56505.633),(4 57577.6),(5 57668.492),(6 57539.46),(7 57386.664),(8 56855.555),(9 58300.09),(10 57872.004),(11 57643.48),(12 58558),(13 59921.305),(14 60310.547),(15 60394.62),(16 60943.25),(17 61116.605),(18 63071.383),(19 64425.84),(20 64910.367),(21 64817.32),(22 64760.445),(23 65305.21),(24 68287.36),(25 69155.67),(26 70493.51),(27 70621.34),(28 69573.65),(29 69073.58),(30 70135.5),(31 70622.23),(32 71701.37),(33 72714.94),(34 72594.55),(35 72380.39),(36 72370.98),(37 73248.81),(38 72385.12),(39 72350.34),(40 73634.48),(41 75574.38),(42 75420.18),(43 74143.58),(44 73412.414),(45 73233.305),(46 73304.23),(47 73846.22),(48 73230.72),(49 72913.33),(50 73547.01),(51 72967.01),(52 73086.01),(53 72864.53),(54 72553.12),(55 71637.055),(56 72649.82),(57 73221.43),(58 73771.164),(59 73643.73),(60 74509.12),(61 73719.73),(62 73198.27),(63 72080.516),(64 72145.66),(65 72482.09),(66 73059.13),(67 73265.21),(68 73469.375),(69 74226.93),(70 74009.04),(71 74591.164),(72 73598.37),(73 74088.69),(74 74547.945),(75 76072.51),(76 76452.86),(77 76778.35),(78 76809.49),(79 76824.46),
(1 27127.04),(2 45822.44),(3 53297.277),(4 54865.64),(5 54502.95),(6 54101.668),(7 55160.543),(8 55862.676),(9 56533.11),(10 56872.938),(11 56433.97),(12 57336.79),(13 59467.906),(14 59565.402),(15 60105.797),(16 60260.484),(17 59447.535),(18 60948.855),(19 61860.355),(20 62510.816),(21 62627.098),(22 63530.906),(23 65532.71),(24 67171.02),(25 67735.305),(26 69013.6),(27 69376.28),(28 67986),(29 70084.875),(30 69428.63),(31 68828.45),(32 69782.41),(33 68599.15),(34 68933.89),(35 70232.83),(36 71390.164),(37 72495.42),(38 72082.14),(39 71180.7),(40 71349.39),(41 72042.48),(42 70836.88),(43 72054.555),(44 71314.71),(45 71215.42),(46 69742.305),(47 69330.875),(48 70113.86),(49 70294.09),(50 71184),(51 72027.03),(52 72494.77),(53 71430.22),(54 70191.1),(55 70401.23),(56 70666.29),(57 69152.59),(58 69540.26),(59 69630.3),(60 69687.07),(61 70030.61),(62 70054.836),(63 70324.32),(64 70962.24),(65 71718.69),(66 72277.39),(67 73352.76),(68 73586.62),(69 72796.84),(70 72840.06),(71 72769.05),(72 72866.63),(73 72075.9),(74 71919.39),(75 71737.77),(76 72284.875),(77 72633.05),(78 72109.875),(79 73324.47),
(1 27159.969),(2 45737.555),(3 52724.203),(4 53927.742),(5 53715.18),(6 53064.695),(7 53266.176),(8 53642.645),(9 54877.414),(10 55974.055),(11 55747.305),(12 55178.004),(13 56312.063),(14 56516.1),(15 57075.58),(16 57748.18),(17 58497.96),(18 60284.406),(19 60628.746),(20 61124.984),(21 60807.42),(22 61275.27),(23 62041.664),(24 62344.73),(25 62504.824),(26 63187.258),(27 63498.613),(28 62888.875),(29 65017.246),(30 66367.37),(31 68922.29),(32 69244.11),(33 68677.16),(34 70664.93),(35 70497.55),(36 69721.234),(37 69578.875),(38 67039.695),(39 66052),(40 66035.73),(41 66318.25),(42 65900.9),(43 65915.766),(44 65634.22),(45 66625.78),(46 66232.67),(47 67299.05),(48 66791.73),(49 66898.36),(50 66455.5),(51 67757.82),(52 68225.28),(53 68344.13),(54 67307.11),(55 66112.89),(56 65886.62),(57 65970.234),(58 66355.61),(59 67147.12),(60 67294.8),(61 67919.43),(62 68009.44),(63 68110),(64 67387.79),(65 67311.1),(66 68215.93),(67 70740.43),(68 71432.39),(69 70947.91),(70 69376.95),(71 69492.35),(72 71093.87),(73 73139.55),(74 72293.62),(75 71798.23),(76 71355.84),(77 70666.22),(78 71217.92),(79 71392.51),
(1 27291.746),(2 46595.72),(3 53715.09),(4 53467.516),(5 51610.504),(6 51776.57),(7 52266.582),(8 53777.73),(9 54818.17),(10 55668.273),(11 55408.78),(12 55608.87),(13 56452.793),(14 56051.69),(15 58030.6),(16 57491.996),(17 57715.406),(18 59674.8),(19 58948.34),(20 58412.145),(21 57876),(22 59711.457),(23 61349.063),(24 61903.09),(25 61359.727),(26 60716.496),(27 61683.465),(28 63259.996),(29 66018.67),(30 67297.67),(31 67730.46),(32 67056.305),(33 67455.22),(34 68156.69),(35 68313.305),(36 70467.516),(37 70542.734),(38 69400.47),(39 68347.766),(40 68482.57),(41 69421.59),(42 69291.22),(43 68097.805),(44 68167.64),(45 68351.81),(46 68437.97),(47 68515.6),(48 68440.19),(49 68684.984),(50 67655.8),(51 68377.34),(52 68978.62),(53 69004.69),(54 68090.23),(55 68606.09),(56 68166.66),(57 67809.64),(58 67834.69),(59 68465.49),(60 69750.164),(61 69934.08),(62 70088.18),(63 71569.86),(64 71041.05),(65 70860.96),(66 70687.42),(67 72147.4),(68 72640.05),(69 73001.87),(70 71044.05),(71 71180.586),(72 72642.836),(73 73460.586),(74 72509.38),(75 72290.766),(76 71745.75),(77 71291.195),(78 72580.91),(79 72039.48),
(1 26747.865),(2 44226.855),(3 51610.063),(4 51520.97),(5 50426.508),(6 50253.496),(7 51457.12),(8 51033.51),(9 52005.613),(10 52252.688),(11 51876.547),(12 52063.824),(13 52859.688),(14 52403.234),(15 53812.727),(16 53274.227),(17 53669.984),(18 53880.945),(19 54195.164),(20 54468.72),(21 55123.79),(22 56206.242),(23 56275.527),(24 56685.03),(25 57909.016),(26 58002.535),(27 57753.676),(28 58318.4),(29 58863.492),(30 58472.926),(31 59295.72),(32 59518.9),(33 61125.063),(34 62026.434),(35 62288.34),(36 63474.195),(37 63054.637),(38 63347.715),(39 63354.652),(40 63443.24),(41 63680.676),(42 64969.957),(43 63476.297),(44 62420.438),(45 61718.297),(46 62829.676),(47 62847.16),(48 63622.27),(49 64297.242),(50 64284.13),(51 64315.24),(52 65195.688),(53 64230.8),(54 64471.42),(55 64809.715),(56 65464.668),(57 64808.523),(58 65071.133),(59 64568.01),(60 64506.6),(61 64969.563),(62 66046.91),(63 67024.05),(64 66519.19),(65 65889.19),(66 66427.27),(67 66409.75),(68 67166.914),(69 65966.78),(70 65587.11),(71 66046.37),(72 67470.1),(73 67961.38),(74 67701.28),(75 67171.93),(76 67276.79),(77 67833.23),(78 68501.98),(79 68813.125),
(1 25300.77),(2 40864.46),(3 47370.523),(4 47801.082),(5 46743.367),(6 47017.547),(7 47941.586),(8 48781.492),(9 50202.574),(10 49298.22),(11 48743.094),(12 48190.676),(13 48461.715),(14 48851.203),(15 50952.94),(16 50591.88),(17 52479.152),(18 52734.75),(19 54222.813),(20 54409.71),(21 55081.195),(22 56336.426),(23 57326.695),(24 58169.695),(25 58746.26),(26 58324.234),(27 58282.234),(28 59143.105),(29 60015.08),(30 60061.492),(31 60329.332),(32 59907.125),(33 61126.754),(34 61500.38),(35 62599.684),(36 62701.4),(37 62590.133),(38 63201.465),(39 62473.797),(40 61908.824),(41 61771.94),(42 62233.33),(43 62506.74),(44 62182.74),(45 61606.05),(46 61832.96),(47 61861.344),(48 63189.594),(49 63832.574),(50 63875.137),(51 63082.656),(52 63479.695),(53 63744.73),(54 63942.313),(55 63259.016),(56 63528.285),(57 63786.785),(58 63940.098),(59 63465.547),(60 64673.152),(61 64427.797),(62 64868.71),(63 64896.45),(64 65513.668),(65 66208.05),(66 67352.39),(67 67437.664),(68 66969.75),(69 66532.5),(70 66480.664),(71 67058.42),(72 68423.76),(73 69216.4),(74 69129.945),(75 68456.17),(76 68332.69),(77 68561.83),(78 68602.58),(79 68082.89),
(1 25482.02),(2 43011.8),(3 48854.824),(4 48680.04),(5 47249.22),(6 47615.105),(7 48436.51),(8 48719.516),(9 49449),(10 49104.164),(11 49749.34),(12 50124.203),(13 50851.67),(14 51029.504),(15 51702.027),(16 51797.082),(17 52320.99),(18 52823.68),(19 54640.69),(20 53861.383),(21 54039.125),(22 54584.758),(23 55672.254),(24 55341.18),(25 55214.707),(26 54650.355),(27 54872.605),(28 56823.49),(29 57961.68),(30 58309.375),(31 58483.418),(32 58292.42),(33 57865.91),(34 58032.406),(35 58547.27),(36 59963.31),(37 59933.707),(38 59951.99),(39 60129.418),(40 60864.07),(41 61777.164),(42 62099.203),(43 61460.848),(44 60949.383),(45 61281.188),(46 61498.254),(47 61403.582),(48 61198.934),(49 61384.434),(50 60919.34),(51 60910.645),(52 61023.55),(53 61856.375),(54 61597.906),(55 60742.81),(56 61241.33),(57 62040.164),(58 62417.254),(59 62723.49),(60 62797.3),(61 63698.023),(62 64544.445),(63 64545.742),(64 64738.17),(65 64653.12),(66 64586.41),(67 64328.715),(68 64163.42),(69 64844.645),(70 65551.31),(71 66073.83),(72 66957.78),(73 67423.29),(74 66833.05),(75 65594.96),(76 65459.098),(77 65343.293),(78 65692.45),(79 66779.445),
(1 25616.883),(2 41513.637),(3 47396.79),(4 46633.566),(5 46376.973),(6 46895.855),(7 46385.973),(8 47377.957),(9 48222.58),(10 47157.836),(11 46737.7),(12 48074.58),(13 48889.17),(14 48934.83),(15 49742.55),(16 50672.156),(17 51029.188),(18 51943.438),(19 52816),(20 52073.113),(21 52899.434),(22 53201.42),(23 53812.48),(24 54714.438),(25 55410.758),(26 54803.418),(27 54060.7),(28 56324.367),(29 57033.25),(30 58171.76),(31 57606.055),(32 57663.957),(33 57619.17),(34 57160.164),(35 58848.113),(36 58785.367),(37 58761.832),(38 59680.594),(39 59757.875),(40 60368.89),(41 60267.793),(42 59618.563),(43 59338.1),(44 59144.25),(45 60816.977),(46 60274.813),(47 59987.125),(48 59210.742),(49 59970.348),(50 60532.777),(51 60646.4),(52 59966.75),(53 59965.805),(54 61315.53),(55 61907.723),(56 60917.336),(57 62019.094),(58 62478.582),(59 63196.137),(60 63820.926),(61 64408.58),(62 64435.49),(63 64993.99),(64 64611.125),(65 63572.35),(66 63911.8),(67 65044.45),(68 65472.184),(69 66112.35),(70 65873.19),(71 66432.88),(72 66677.71),(73 65954.21),(74 65525.582),(75 66018.234),(76 66923.34),(77 66936.24),(78 66755.234),(79 67105.625),
(1 25072.43),(2 40819.355),(3 46859.125),(4 45571.52),(5 45452.29),(6 45576.05),(7 45586.18),(8 46488.246),(9 46972.047),(10 47217.617),(11 46917.047),(12 47401.688),(13 47413.035),(14 47829.707),(15 48600.754),(16 48329.12),(17 48529.344),(18 49416.234),(19 50472.934),(20 50282.83),(21 50816.047),(22 50631.26),(23 50605.582),(24 51467.38),(25 52697.234),(26 52684.82),(27 53454.188),(28 55008.23),(29 55681.004),(30 55154.05),(31 54119.906),(32 56390.844),(33 57070.586),(34 57063.574),(35 58019.266),(36 58189.887),(37 58551.418),(38 58679.33),(39 58800.758),(40 59151.863),(41 59208.473),(42 59239.18),(43 59890.816),(44 59376.46),(45 59123.37),(46 59450.4),(47 59837.75),(48 60242.38),(49 59780.473),(50 59442.773),(51 59010.44),(52 58690.313),(53 59980.51),(54 61271.414),(55 61424.035),(56 60986.836),(57 60706.953),(58 59574.043),(59 60047.906),(60 60166.094),(61 60329.29),(62 60129.984),(63 60009.797),(64 61309.4),(65 61508.742),(66 61176.62),(67 62453.418),(68 62609.324),(69 62639.664),(70 62458.29),(71 62315.734),(72 62322.4),(73 62689.35),(74 62965.29),(75 63614.26),(76 63618.113),(77 62994.15),(78 63336.17),(79 63395.336),
(1 23846.385),(2 39122.715),(3 44294.72),(4 42504.754),(5 43080.832),(6 44143.168),(7 43846.3),(8 45554.49),(9 46330.035),(10 45153.12),(11 43645.91),(12 43944.363),(13 45177.066),(14 46153.67),(15 46190.73),(16 45120.875),(17 45035.043),(18 46642.293),(19 47774.59),(20 48370.26),(21 49356.293),(22 49529.965),(23 50348.62),(24 51169.957),(25 52352.824),(26 53183.215),(27 53848.156),(28 53387.605),(29 53617.457),(30 53687.746),(31 54041.332),(32 55301.5),(33 54318.813),(34 54538.566),(35 54901.73),(36 55279.473),(37 55080.246),(38 54186.76),(39 54715.49),(40 55137.176),(41 56053.688),(42 54698.832),(43 53984.688),(44 54691.88),(45 55066.22),(46 54620.63),(47 54065.676),(48 54128.457),(49 53867.84),(50 53927.137),(51 53180.313),(52 53995.145),(53 55136.848),(54 55808),(55 55415.473),(56 55517.605),(57 55463.563),(58 55018.332),(59 55496.52),(60 55430.316),(61 56317.406),(62 56760.53),(63 56714.55),(64 56759.863),(65 56278.918),(66 56635.316),(67 57094.016),(68 57645.813),(69 57873.156),(70 57895.2),(71 58071.656),(72 57681.24),(73 58902.902),(74 58850.395),(75 58916.234),(76 58640.574),(77 58732.47),(78 59137.652),(79 59493.582),
(1 23289.285),(2 36736.734),(3 42747.19),(4 43133.7),(5 43596.29),(6 43052.594),(7 44160.25),(8 44913.71),(9 44927.316),(10 44314.95),(11 43789.555),(12 43792.375),(13 44548.984),(14 46128.48),(15 47291.24),(16 46510.063),(17 47196.273),(18 49078.348),(19 49901.027),(20 49799.57),(21 50302.996),(22 51010.227),(23 51281.73),(24 50732.99),(25 49998.49),(26 50631.945),(27 51583.883),(28 52231.043),(29 52436.207),(30 52783.566),(31 53098.063),(32 53145.79),(33 53491.28),(34 54184.9),(35 55221.9),(36 55822.45),(37 56259.594),(38 56573.117),(39 57154.27),(40 56488.28),(41 56919.074),(42 55922.36),(43 55822.344),(44 56585.48),(45 56951.387),(46 57386.344),(47 57784.48),(48 58613.84),(49 57723.727),(50 57388.348),(51 56800.72),(52 57092.836),(53 57191.832),(54 57477.28),(55 56867.27),(56 56471.98),(57 57199.836),(58 58062.82),(59 58320.945),(60 57159.18),(61 57071.387),(62 57402.742),(63 57371.06),(64 56955.7),(65 56732.836),(66 57295.78),(67 57848.13),(68 58769.98),(69 58457.242),(70 58082.15),(71 58167.734),(72 57816.254),(73 58277.51),(74 58515.164),(75 59154.676),(76 58625.555),(77 58271.727),(78 57876.81),(79 58466.652),
