1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 105119.85),(2 383542.75),(3 790147.44),(4 1308824.1),(5 1935842),(6 2659544.3),(7 3500682.3),(8 4461846.5),(9 5466402.5),(10 6459394.5),(11 7467367.5),(12 8499078),(13 9580686),(14 10735294),(15 12029451),(16 13484265),(17 15023623),(18 16706335),(19 18399662),(20 19914742),(21 21464154),(22 23073536),(23 24714462),(24 26412838),(25 28266976),(26 30228832),(27 32257658),(28 34150964),(29 35829908),(30 37552224),(31 39402356),(32 41225188),(33 43079420),(34 45046476),(35 46878716),(36 48661790),(37 50211444),(38 51518540),(39 52510060),(40 53373972),(41 54247596),(42 55209250),(43 56150830),(44 56849536),(45 57419716),(46 57703852),(47 57821804),(48 57788796),(49 57971388),(50 58464204),(51 59289268),(52 60248948),(53 61439316),(54 62540450),(55 63855550),(56 65610948),(57 67759304),(58 70289270),(59 72770330),(60 75084230),(61 77504984),(62 79805690),(63 82138200),(64 84417220),(65 87472744),(66 91047070),(67 94609540),(68 98122264),(69 101575720),(70 105442616),(71 109411780),(72 113393704),(73 117048600),(74 120374936),(75 123608200),(76 126455960),(77 128834460),(78 130826696),(79 132405760),
(1 15081.84),(2 23496.672),(3 27490.117),(4 29966.514),(5 32202.383),(6 34053.215),(7 34594.953),(8 34771.258),(9 35111.13),(10 35468.035),(11 36453.31),(12 37601.785),(13 37902.016),(14 39742.563),(15 40960.64),(16 42349.965),(17 42673.77),(18 43229.7),(19 43745.992),(20 43825.13),(21 44117.984),(22 44739.836),(23 44348.367),(24 45395.234),(25 46081.203),(26 46589.56),(27 47231.46),(28 48099.773),(29 49631.742),(30 49405.566),(31 48842.324),(32 48650.105),(33 49208.37),(34 49462.973),(35 48871.477),(36 48553.176),(37 49053.92),(38 49302.027),(39 49635.086),(40 49206.28),(41 49348.113),(42 48996.254),(43 47893.684),(44 47714.613),(45 48700.64),(46 48680.465),(47 48786.258),(48 49296.754),(49 49457.383),(50 49493.68),(51 49315.145),(52 49726.176),(53 50412.375),(54 51275.152),(55 51440.73),(56 52090.72),(57 52870.36),(58 53879.023),(59 53657.832),(60 54162.563),(61 53818.066),(62 53813.855),(63 55113.45),(64 55485.36),(65 55287.145),(66 55390.566),(67 55118.49),(68 54401.246),(69 53668.996),(70 54597.37),(71 55403.523),(72 55288.953),(73 55139.105),(74 54277.72),(75 53525.363),(76 53670.563),(77 55420.977),(78 55391.844),(79 54983.14),
(1 14209.701),(2 22893.453),(3 26644.719),(4 29364.805),(5 31918.982),(6 33259.94),(7 33111.105),(8 33700.11),(9 34948.246),(10 36272.55),(11 36905.65),(12 37578.133),(13 37455.336),(14 38950.81),(15 39784.89),(16 40476.938),(17 40831.477),(18 41375.184),(19 41539.566),(20 41425.684),(21 42011.08),(22 42154.19),(23 41772.02),(24 42999.246),(25 43090.195),(26 43622.523),(27 44165.387),(28 44531.016),(29 44620.793),(30 44132.05),(31 43356.01),(32 44019.34),(33 44692.734),(34 45370.45),(35 45577.57),(36 44807.65),(37 44388.813),(38 44418.92),(39 44946.996),(40 44956.883),(41 45005.73),(42 45829.305),(43 45876.527),(44 45753.426),(45 46156.055),(46 46573.305),(47 47508.652),(48 48875.742),(49 50648.297),(50 51206.152),(51 51200.387),(52 52169.246),(53 53784.063),(54 54517.28),(55 54551.848),(56 54002.64),(57 54723.934),(58 55439.184),(59 55790.88),(60 56299.09),(61 56519.195),(62 57198.504),(63 57508.7),(64 56938.664),(65 57135.48),(66 57982.7),(67 57967.9),(68 57545.555),(69 56911.844),(70 56868.184),(71 56641.965),(72 56335.61),(73 56096.023),(74 55942.613),(75 55645.574),(76 55654.96),(77 55374.887),(78 54894.492),(79 54966.258),
(1 14393.369),(2 22895.74),(3 27067.498),(4 29968.92),(5 31441.064),(6 32774.28),(7 32780.71),(8 33064.332),(9 34441.973),(10 35479.63),(11 35864.28),(12 36563.234),(13 37001.082),(14 38119.8),(15 38724.336),(16 39331.996),(17 39682.23),(18 40487.38),(19 41042.684),(20 40214.605),(21 39954.58),(22 40492.97),(23 41078.906),(24 42046.55),(25 42539.15),(26 43058.965),(27 44407.816),(28 44705.832),(29 44628.03),(30 45357.45),(31 44778.582),(32 46328.21),(33 47069.523),(34 47866.09),(35 48552.945),(36 48275.453),(37 48477.85),(38 48183.168),(39 48627.945),(40 48987.285),(41 49046.848),(42 49801),(43 49796.39),(44 49410.19),(45 49363.12),(46 49591.133),(47 49973.355),(48 50824.78),(49 51764.766),(50 51857.87),(51 51642.563),(52 51626.477),(53 51951.63),(54 51969.117),(55 52161.297),(56 52290.613),(57 52856.742),(58 54074.242),(59 54218.91),(60 54460.766),(61 54570.89),(62 55904.254),(63 56244.027),(64 56868.58),(65 56498.49),(66 56604.895),(67 56568.22),(68 56421.12),(69 56510.09),(70 56927.363),(71 57137.46),(72 56961.42),(73 56592.805),(74 56171.418),(75 56647.063),(76 57136.54),(77 57018.547),(78 56531.363),(79 56371.99),
(1 14731.526),(2 23507.256),(3 27569.334),(4 29657.8),(5 30750.143),(6 32048.814),(7 31977.088),(8 32305.797),(9 34472.082),(10 36104.938),(11 36282.355),(12 36725.285),(13 38048.34),(14 39286.332),(15 39646.887),(16 40684.64),(17 42232.27),(18 42868.715),(19 43047.625),(20 43058.53),(21 44155.09),(22 44388.742),(23 44502.434),(24 45044.86),(25 45077.63),(26 45732.395),(27 46499.88),(28 46519.508),(29 46536.766),(30 47794.26),(31 47643.35),(32 47776.977),(33 48276.44),(34 49026.19),(35 49544.56),(36 50550.45),(37 50914.688),(38 50350.207),(39 50420.723),(40 51250.914),(41 51475.867),(42 52354.38),(43 52449.934),(44 52696.3),(45 52219.465),(46 51676.477),(47 52175.242),(48 53530.164),(49 54153.594),(50 54008.73),(51 53666.547),(52 53936.07),(53 54129.813),(54 54353.613),(55 55490.605),(56 55425.168),(57 55022.75),(58 55634.168),(59 56081.906),(60 56254.188),(61 56500.645),(62 57459.95),(63 58166.027),(64 58199.188),(65 57459.836),(66 56666.94),(67 55895.957),(68 55902.324),(69 55400.14),(70 55368.832),(71 55261.344),(72 55304.082),(73 56067.37),(74 56524.023),(75 56709.703),(76 56466.01),(77 55840.758),(78 55411.45),(79 55444.73),
(1 14492.983),(2 23051.64),(3 25979.9),(4 27972.596),(5 29646.1),(6 30822.836),(7 31102.396),(8 30949.77),(9 32170.896),(10 34095.863),(11 34020.26),(12 34069.516),(13 35593.953),(14 36414.406),(15 36672.105),(16 37197.58),(17 37926.043),(18 38325.457),(19 38462.504),(20 38754.125),(21 40169.973),(22 40606.43),(23 40975.11),(24 40483.23),(25 40443.617),(26 40575.723),(27 41400.91),(28 41764.496),(29 41891.484),(30 43423.727),(31 43707.266),(32 43039.848),(33 43673.22),(34 43530.32),(35 42765.598),(36 43243.414),(37 43688.906),(38 43700.43),(39 43784.203),(40 43921.098),(41 43534.273),(42 44303.105),(43 44883.918),(44 45271.94),(45 44929.55),(46 44793.742),(47 45042.016),(48 45788.85),(49 46509.867),(50 46509.484),(51 46934.58),(52 47810.117),(53 48388.94),(54 49019.39),(55 49513.53),(56 49650.715),(57 50102.92),(58 50650.78),(59 50401.17),(60 50320.44),(61 51064.715),(62 51648.32),(63 51349.41),(64 51532.973),(65 51484.92),(66 51836.297),(67 51149.11),(68 50868.625),(69 51109.49),(70 51382.04),(71 50745.758),(72 51437.516),(73 51869.434),(74 51878.082),(75 51912.746),(76 51553.145),(77 52086.336),(78 51208.152),(79 51299.434),
(1 14178.615),(2 22697.055),(3 25693.945),(4 27945.002),(5 29150.361),(6 30309.248),(7 31027.936),(8 31675.021),(9 33300.004),(10 35003.145),(11 35359.223),(12 35785.977),(13 37141.676),(14 37596.277),(15 38319.59),(16 38519.7),(17 39185.39),(18 39531.66),(19 38800.215),(20 39066.004),(21 39700.75),(22 40250.55),(23 40247.37),(24 39459.617),(25 39774.523),(26 39822.883),(27 40282.723),(28 41571.242),(29 42025.734),(30 42217.938),(31 43130.52),(32 43096.754),(33 44001.61),(34 44979.89),(35 44430.363),(36 44810.223),(37 45611.805),(38 45317.336),(39 44973.836),(40 45285.797),(41 45214.418),(42 45372.848),(43 45300.11),(44 45822.49),(45 45720.66),(46 45667.773),(47 46257.863),(48 46322.3),(49 46411.336),(50 46579.76),(51 47200.074),(52 47559.977),(53 48693.004),(54 49202.906),(55 49238.855),(56 50188.832),(57 50582.66),(58 51263.043),(59 50902.164),(60 50649.504),(61 50955.86),(62 50270.47),(63 49925.563),(64 49312.773),(65 49639.703),(66 49208.043),(67 48588.734),(68 49123.766),(69 49424.973),(70 49397.664),(71 49692.277),(72 50182.023),(73 50999.72),(74 50381.926),(75 50623.434),(76 50903.4),(77 51311.39),(78 50256.14),(79 50083.76),
(1 13963.595),(2 22398.7),(3 25375.934),(4 27779.799),(5 28702.156),(6 29730.81),(7 30046.54),(8 30440.533),(9 31434.418),(10 32512.316),(11 33174.38),(12 34483.34),(13 36114.234),(14 37559.65),(15 38476.46),(16 39147.695),(17 40278.777),(18 40633.082),(19 39840.484),(20 40403.656),(21 41332.57),(22 42096.34),(23 42069.633),(24 42051.367),(25 43470.703),(26 43407.324),(27 43382.188),(28 44267.54),(29 45290.45),(30 44804.504),(31 45126.996),(32 45647.508),(33 46338.12),(34 46937.41),(35 46384.867),(36 46343.613),(37 46763.37),(38 46322.133),(39 46031.875),(40 45914.41),(41 45509.31),(42 45160.414),(43 45388.56),(44 45807.8),(45 45663.69),(46 45483.36),(47 45070.605),(48 44783.414),(49 45161.066),(50 45248.934),(51 46114.016),(52 46064.6),(53 47395.863),(54 48506.402),(55 48857.434),(56 49679.215),(57 50170.465),(58 50099.695),(59 50171.996),(60 50147.227),(61 50421.54),(62 50536.082),(63 50460.67),(64 51414.03),(65 51474.418),(66 51571.99),(67 51248.742),(68 51315.785),(69 51934.164),(70 51646.477),(71 52256.15),(72 52560.41),(73 53164.91),(74 52654.89),(75 53084.797),(76 53529.676),(77 53421.973),(78 52178.88),(79 52479.72),
(1 13421.349),(2 21057.934),(3 24742.06),(4 27492.563),(5 28627.018),(6 29413.12),(7 29367.744),(8 29581.951),(9 30148.14),(10 31563.936),(11 33166.582),(12 34513.56),(13 36325.594),(14 37330.098),(15 38553.12),(16 39112.72),(17 40645.04),(18 41127.99),(19 40958.17),(20 41603.375),(21 42938.098),(22 44201.934),(23 44445.188),(24 44184.49),(25 45011.332),(26 45826.41),(27 45586.574),(28 45786.676),(29 46298.51),(30 46143.97),(31 46154.637),(32 46883.785),(33 47352.395),(34 47476.875),(35 47536.906),(36 47726.84),(37 48231.75),(38 47203.406),(39 47125.566),(40 47151.863),(41 47108.36),(42 47549.83),(43 47510.004),(44 47335.293),(45 46525.92),(46 46555.316),(47 46857.832),(48 47512.957),(49 48510.066),(50 48925.637),(51 49555.36),(52 49490.28),(53 50725.785),(54 51910.363),(55 52391.723),(56 52363.73),(57 53005.27),(58 53058.246),(59 52999.863),(60 53380.49),(61 54427.887),(62 54670.938),(63 55356.64),(64 55834.723),(65 56210.58),(66 55703.625),(67 54900.22),(68 54347.2),(69 53940.73),(70 54257.2),(71 55012.55),(72 55354.152),(73 55762.797),(74 54954.637),(75 54345.926),(76 54338.152),(77 54357.53),(78 54037.44),(79 53494.984),
(1 13124.831),(2 20085.635),(3 23026.215),(4 25448.604),(5 26702.799),(6 27595.678),(7 27490.55),(8 27678.768),(9 28642.979),(10 30280.186),(11 31837.027),(12 32416.268),(13 33819.37),(14 34906.234),(15 35497.613),(16 35750.176),(17 37334.824),(18 38241.31),(19 38407.902),(20 38914.93),(21 39588.184),(22 40945.047),(23 40758.48),(24 40723.184),(25 41405.766),(26 42482.582),(27 42763.324),(28 42827.516),(29 42941.688),(30 42671.664),(31 43377.95),(32 44387.88),(33 44369.066),(34 44371.12),(35 44310.258),(36 44184.063),(37 44630.15),(38 44334.637),(39 44921.27),(40 45380.76),(41 45120.742),(42 45252.12),(43 45156.477),(44 45376.227),(45 44861.402),(46 44302.832),(47 44348.168),(48 45007.984),(49 45753.16),(50 45938.273),(51 46230.953),(52 46259.895),(53 47336.168),(54 48145.344),(55 48436.715),(56 48359.324),(57 48654.117),(58 48791.465),(59 49543.383),(60 50185.4),(61 50793.555),(62 51216.566),(63 51788.31),(64 51318.223),(65 51210.242),(66 50711.344),(67 50715.176),(68 50426.266),(69 51085.51),(70 51440.46),(71 51268.71),(72 51482.348),(73 51202.82),(74 51153.715),(75 50714.945),(76 49967.434),(77 49978.855),(78 49928.18),(79 50023.344),
(1 12663.188),(2 19415.379),(3 22179.125),(4 24063.781),(5 24840.18),(6 25384.98),(7 25744.06),(8 26001.566),(9 26778.123),(10 28047.455),(11 29075.701),(12 29879.043),(13 31233.717),(14 32598.354),(15 33193.742),(16 33363.445),(17 34264.35),(18 35767.203),(19 35903.203),(20 35977.227),(21 36699.395),(22 37446.35),(23 38423.063),(24 39179.875),(25 39340.453),(26 40015.184),(27 40548.027),(28 40396.113),(29 40497.67),(30 40447.203),(31 41500.277),(32 42070.684),(33 41833.418),(34 42682.11),(35 42396.215),(36 41404.133),(37 41084.36),(38 41033.844),(39 41287.68),(40 41993.367),(41 41642.016),(42 41808.41),(43 41945.67),(44 42565.184),(45 42224.3),(46 41253.336),(47 40337.902),(48 40292.313),(49 40880.656),(50 41765.477),(51 41405.707),(52 41566.33),(53 42148.13),(54 41984.29),(55 41484.23),(56 41942.156),(57 42018.336),(58 42289.23),(59 42954.324),(60 43479.063),(61 44175.8),(62 44591.242),(63 44575.902),(64 44634.293),(65 44927.945),(66 43860.64),(67 43999.953),(68 44808.777),(69 45518.184),(70 46297.594),(71 45968.02),(72 45909.938),(73 46194.33),(74 45482.598),(75 44775.734),(76 44914.605),(77 45138.38),(78 45214.207),(79 45577.043),
(1 12573.817),(2 19081.62),(3 21650.543),(4 23922.625),(5 24542.951),(6 25203.783),(7 25631.893),(8 26609.027),(9 27556.469),(10 28226.285),(11 29419.977),(12 31089.115),(13 32267.057),(14 33366.645),(15 34406.11),(16 34851.004),(17 35527.5),(18 36746.97),(19 36682.92),(20 36983.723),(21 37865.94),(22 39487.63),(23 40979.99),(24 41627.168),(25 41552.02),(26 42084.04),(27 42110.563),(28 41777.797),(29 42410.414),(30 42232.598),(31 42672.848),(32 42801.805),(33 42059.527),(34 42534.813),(35 42250.02),(36 41895.395),(37 42042.72),(38 41911.203),(39 42434.477),(40 42360.953),(41 42728.8),(42 43391.613),(43 43079.17),(44 43344.902),(45 43331.46),(46 43454.12),(47 44027.684),(48 44737),(49 45898.332),(50 46449.695),(51 46516.188),(52 46403.414),(53 47316.535),(54 47489.21),(55 47909.8),(56 48395.68),(57 48441.48),(58 49733.93),(59 50814.387),(60 52100.637),(61 51926.168),(62 52235.535),(63 52922.953),(64 53021.53),(65 51888.93),(66 51471.863),(67 51680.664),(68 51878.77),(69 52648.54),(70 52359.813),(71 51487.605),(72 51614.71),(73 51986.094),(74 52217.195),(75 51645.82),(76 52060.297),(77 52997.62),(78 52078.445),(79 51900.305),
(1 12575.464),(2 18993.404),(3 21374.256),(4 23034.354),(5 23544.621),(6 24727.088),(7 25179.773),(8 25911.572),(9 26861.996),(10 27442.713),(11 28767.652),(12 29505.838),(13 30035.451),(14 30619.66),(15 31584.898),(16 32493.367),(17 33295.78),(18 33848.445),(19 34286.875),(20 34727.035),(21 34995.875),(22 36540.523),(23 37587.26),(24 37239.85),(25 37893.85),(26 38863.617),(27 39749.207),(28 39652.87),(29 40486.746),(30 40043.355),(31 40216.25),(32 41081.13),(33 41184.72),(34 42128.9),(35 42540.816),(36 43771.453),(37 44162.87),(38 43592.15),(39 43621.98),(40 44601.465),(41 45082.734),(42 45022.57),(43 44922.76),(44 44316.332),(45 44695.45),(46 45313.22),(47 45306.82),(48 45454.145),(49 46493.535),(50 46879.918),(51 46944.86),(52 47002.773),(53 46804.91),(54 46603.74),(55 46921.625),(56 47126.617),(57 46766.715),(58 47317.742),(59 48766.68),(60 49394.89),(61 48636.555),(62 48568.875),(63 49050.59),(64 48686.86),(65 48287.477),(66 47793.29),(67 48102.98),(68 48477.08),(69 48200.69),(70 47875.8),(71 47235.42),(72 47029.082),(73 46859.273),(74 46578.39),(75 46519.285),(76 46914.74),(77 47112.94),(78 46840.313),(79 46834.043),
(1 12354.979),(2 18541.021),(3 21129.63),(4 22695.893),(5 22995.916),(6 23354.219),(7 23774.672),(8 24948.262),(9 26599.14),(10 27023.498),(11 27305.115),(12 28058.896),(13 28402.936),(14 29091.154),(15 30528.637),(16 31603.344),(17 31813.64),(18 31135.174),(19 31542.285),(20 32087.9),(21 32137.564),(22 33028.316),(23 33585.535),(24 33517.7),(25 33665.43),(26 34584.63),(27 35719.63),(28 35830.1),(29 35674.234),(30 35904.793),(31 35922.95),(32 36757.39),(33 37090.258),(34 37647.39),(35 38020.492),(36 38522.613),(37 38634.965),(38 37964.36),(39 37654.63),(40 38169.625),(41 38793.67),(42 38744.855),(43 38600.445),(44 37898.55),(45 38679.125),(46 39188.43),(47 39833.33),(48 39493.184),(49 39758.44),(50 39913.207),(51 40413.36),(52 40211.313),(53 39858.406),(54 40026.824),(55 40849.25),(56 40979.047),(57 41017.766),(58 41108.15),(59 42008.617),(60 42403.85),(61 41989.688),(62 41788.594),(63 41918.77),(64 41829.145),(65 41528.23),(66 41385.832),(67 40875.063),(68 40321.99),(69 40357.816),(70 40283.137),(71 39243.188),(72 39007.914),(73 39003.195),(74 39006.582),(75 38829.184),(76 38854.16),(77 38966.535),(78 39025.438),(79 39361.15),
(1 12151.497),(2 18621.902),(3 20827.535),(4 21876.006),(5 22262.18),(6 22431.105),(7 22527.934),(8 23481.678),(9 25212.016),(10 25343.955),(11 25252.875),(12 25950.45),(13 26810.547),(14 28220.227),(15 29570.402),(16 30306.355),(17 30317.268),(18 29645.32),(19 30401.094),(20 31225.107),(21 31188.615),(22 31876.55),(23 31829.951),(24 32002.463),(25 32966.15),(26 33337.297),(27 33678.316),(28 33552.203),(29 33236.285),(30 33291.12),(31 33106.953),(32 33535.37),(33 34102.22),(34 34448.77),(35 34652.72),(36 35259.43),(37 35684.824),(38 35683.11),(39 35773.125),(40 35806.38),(41 35929.6),(42 36324.75),(43 36263.37),(44 36160.94),(45 37137.5),(46 37270.582),(47 37261.15),(48 36236.375),(49 36513.797),(50 37069.22),(51 37454.434),(52 37531.535),(53 37885.95),(54 37989.145),(55 38269.76),(56 39013.645),(57 38678.21),(58 38272.695),(59 38887.79),(60 39231.316),(61 39446.95),(62 39373.203),(63 39133.535),(64 39050.445),(65 38951.863),(66 38362.29),(67 37961.176),(68 37437.4),(69 37692.82),(70 37791.07),(71 37241.223),(72 37270.37),(73 37065.38),(74 36918.438),(75 36571.273),(76 36633.5),(77 36516.85),(78 36502.63),(79 36744.69),
(1 12129.307),(2 18394.7),(3 20506.107),(4 21401.006),(5 22087.41),(6 22163.379),(7 22214.236),(8 23200.703),(9 24786.3),(10 25198.97),(11 25463.32),(12 26457.414),(13 26759.51),(14 27219.76),(15 27914.99),(16 29050.332),(17 29687.896),(18 29370.316),(19 29393.16),(20 29609.418),(21 30056.303),(22 30852.373),(23 31488.13),(24 31378.168),(25 32157.818),(26 32454.736),(27 32359.021),(28 32253.127),(29 32855.53),(30 33192.457),(31 33632.305),(32 33321.938),(33 33914.69),(34 34224.18),(35 34192.39),(36 34434.605),(37 35220.83),(38 35320.59),(39 35125.65),(40 34997),(41 35460.023),(42 36016.543),(43 35641.633),(44 35890.86),(45 36730.375),(46 37189.02),(47 36917.81),(48 36148.93),(49 36592.363),(50 37000.06),(51 37457.863),(52 37301.08),(53 37781.24),(54 37872.992),(55 37621.875),(56 38197.76),(57 38268.906),(58 37889.71),(59 37921.313),(60 38142.33),(61 38656.92),(62 38440.81),(63 38399.625),(64 39153.35),(65 39102.125),(66 38033.473),(67 37773.816),(68 38000.5),(69 38242.375),(70 38090.05),(71 37834.152),(72 37628.79),(73 37405.633),(74 37750.54),(75 37682.547),(76 37719.406),(77 38090.6),(78 37854.15),(79 38354.137),
(1 11696.626),(2 17590.834),(3 19772.771),(4 20843.734),(5 21831.043),(6 22335.646),(7 22583.129),(8 23348.121),(9 24360.18),(10 24760.307),(11 25157.146),(12 26703.996),(13 27434.197),(14 27557.518),(15 27705.375),(16 28605.291),(17 29738.537),(18 30121.875),(19 29924.283),(20 30026.238),(21 30349.512),(22 30305.668),(23 31042.953),(24 31287.88),(25 31292.658),(26 31441.514),(27 31938.736),(28 31966.65),(29 32545.959),(30 32678.8),(31 32698.723),(32 33016.508),(33 33610.66),(34 34051.426),(35 33983.363),(36 34020.094),(37 34812.695),(38 34533.89),(39 34783.855),(40 34722.566),(41 34724.195),(42 34821.613),(43 34331.336),(44 34433.83),(45 34601.426),(46 34706.227),(47 34469.848),(48 34057.34),(49 34326.383),(50 34376.426),(51 34382.254),(52 34494.875),(53 35299.55),(54 35190.57),(55 34735.027),(56 35142.49),(57 35052.67),(58 35591.008),(59 35957.887),(60 36507.902),(61 36742.066),(62 36882.86),(63 37319.918),(64 37764.965),(65 37555.99),(66 37040.848),(67 37143.207),(68 37316),(69 38056.496),(70 37625.96),(71 37429.938),(72 37515.39),(73 37632.066),(74 37583.133),(75 37259.742),(76 37300.145),(77 37562.086),(78 38105.273),(79 38413.746),
(1 11634.364),(2 17739.32),(3 19972.502),(4 20920.059),(5 21776.51),(6 22568.596),(7 22896.512),(8 23260.031),(9 24114.734),(10 24902.266),(11 25310.195),(12 26092.574),(13 26511.045),(14 27021.543),(15 27139.145),(16 27649.84),(17 28533.693),(18 29197.223),(19 29114.955),(20 29131.316),(21 29565.867),(22 29843.105),(23 30378.941),(24 30594.885),(25 30241.941),(26 30565.455),(27 30853.682),(28 31296.715),(29 31158.314),(30 31358.236),(31 31448.695),(32 31926.59),(33 32364.85),(34 32610.875),(35 32714.602),(36 33449.277),(37 33903.43),(38 33934.19),(39 34497.715),(40 34585.242),(41 34732.844),(42 34526.875),(43 34450.98),(44 34612.656),(45 34574.68),(46 34335.688),(47 34667.727),(48 34860.91),(49 35472.914),(50 35985.375),(51 35631.094),(52 35838.41),(53 36282.09),(54 35817.08),(55 35729.34),(56 35844.387),(57 35637.3),(58 36471.414),(59 37205.758),(60 37860.22),(61 38018.62),(62 38271.863),(63 38159.996),(64 37756.68),(65 37935.465),(66 37085.04),(67 37118.92),(68 37317.086),(69 36950.863),(70 37140.375),(71 36994.5),(72 37028.68),(73 37216.164),(74 37146.96),(75 37055.094),(76 37057.7),(77 37386.137),(78 37432.855),(79 37227.453),
(1 11497.538),(2 17351.02),(3 19441),(4 20402.139),(5 21380.459),(6 21876.416),(7 22106.646),(8 22597.514),(9 23703.363),(10 24637.592),(11 25201.09),(12 25503.297),(13 25993.813),(14 26016.04),(15 26669.146),(16 27328.014),(17 28132.492),(18 28521.777),(19 28547.479),(20 28717.441),(21 29279.557),(22 29665.86),(23 29686.35),(24 29741.277),(25 29758.678),(26 30305.348),(27 31135.7),(28 31510.229),(29 31282.318),(30 31377.701),(31 31720.896),(32 32316.31),(33 32544.932),(34 32639.238),(35 32716.828),(36 32955.81),(37 33277.7),(38 33273.906),(39 33110.445),(40 33012.777),(41 33366.723),(42 33123.066),(43 33456.516),(44 33504.133),(45 33969.492),(46 33648.17),(47 34193.707),(48 34687.58),(49 34729.953),(50 34934.145),(51 34983.68),(52 35864.043),(53 35644.426),(54 35278.746),(55 35682.688),(56 35880.46),(57 35739.465),(58 36348.234),(59 36597.254),(60 36932.223),(61 37418.09),(62 37172.453),(63 37294.016),(64 37189.805),(65 37281.523),(66 37142.152),(67 37075.863),(68 36757.457),(69 36903.574),(70 37045.395),(71 37238.113),(72 37039.938),(73 36685.625),(74 36416.86),(75 36123.98),(76 36280.9),(77 36533.645),(78 37043.977),(79 36342.32),
