1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43960.406),(2 147698.27),(3 307294.25),(4 513295.34),(5 781255.94),(6 1073925.1),(7 1401190.4),(8 1746136.6),(9 2104424.5),(10 2481033.8),(11 2856814),(12 3234835.3),(13 3645865.3),(14 4042797.3),(15 4463060.5),(16 4933485.5),(17 5417556),(18 5941976.5),(19 6420008),(20 6882434),(21 7330041.5),(22 7748696.5),(23 8123807.5),(24 8489161),(25 8805596),(26 9111160),(27 9414029),(28 9773456),(29 10067293),(30 10327469),(31 10534648),(32 10771159),(33 11012182),(34 11251568),(35 11475928),(36 11682355),(37 11830997),(38 11974717),(39 12042859),(40 12107512),(41 12138832),(42 12153423),(43 12164784),(44 12197544),(45 12210357),(46 12266967),(47 12343195),(48 12409912),(49 12420079),(50 12432768),(51 12452983),(52 12502283),(53 12605827),(54 12705152),(55 12833888),(56 13014443),(57 13185093),(58 13359380),(59 13487765),(60 13621772),(61 13760073),(62 13938573),(63 14098136),(64 14365925),(65 14657963),(66 14976672),(67 15291265),(68 15604963),(69 15868496),(70 16145351),(71 16469981),(72 16765531),(73 17074580),(74 17389830),(75 17705114),(76 18040552),(77 18434122),(78 18822322),(79 19280582),
(1 5669.0093),(2 13273.226),(3 16907.465),(4 17797.84),(5 18287.293),(6 19099.678),(7 20014.79),(8 20743.064),(9 20955.787),(10 21136.457),(11 21409.85),(12 21971.072),(13 22766.547),(14 23388.463),(15 23993.314),(16 24529.512),(17 24675.814),(18 24696.736),(19 25142.576),(20 25691.906),(21 26054.135),(22 26475.188),(23 26817.438),(24 27147.219),(25 27313.287),(26 27126.498),(27 27501.436),(28 27807.238),(29 27836.174),(30 28144),(31 28153.14),(32 27840.2),(33 27812.264),(34 28012.875),(35 28164.043),(36 28062.55),(37 27656.234),(38 27818.87),(39 27872.63),(40 27517.133),(41 27393.041),(42 27554.215),(43 27506.53),(44 27693.34),(45 27648.992),(46 27497.93),(47 27387.209),(48 26963.955),(49 26619.31),(50 26841.883),(51 26946.307),(52 27023.69),(53 27471.414),(54 27373.643),(55 27167.02),(56 27186.354),(57 26976.678),(58 26890.266),(59 27103.154),(60 27185.82),(61 27172.479),(62 26766.91),(63 26594.293),(64 26775.422),(65 27327.219),(66 27852.95),(67 27965.078),(68 27864.564),(69 27924.871),(70 27868.582),(71 27921.436),(72 27999.41),(73 28504.4),(74 29169.441),(75 29828.354),(76 30281.57),(77 31277.236),(78 32374.006),(79 33227.72),
(1 5498.9043),(2 12750.988),(3 16408.818),(4 17341.926),(5 17774.83),(6 18374.598),(7 19139.172),(8 19782.008),(9 20324.918),(10 20584.902),(11 21056.586),(12 21672.918),(13 21983.54),(14 22659.832),(15 23725.428),(16 24114.314),(17 24182.568),(18 24411.193),(19 24949.2),(20 25554.713),(21 26236.404),(22 26846.719),(23 27290.71),(24 27378.248),(25 27657.463),(26 27593.678),(27 28215.602),(28 28698.95),(29 28935.738),(30 29313.781),(31 29520.613),(32 29520.115),(33 29577.777),(34 29905.355),(35 29891.082),(36 29567.191),(37 29106.176),(38 29100.846),(39 29181.26),(40 29137.3),(41 28614.969),(42 28076.592),(43 27877.871),(44 28007.746),(45 28120.814),(46 28017.01),(47 27701.758),(48 27460.344),(49 27204.322),(50 27274.781),(51 27501.484),(52 27823.441),(53 27794.71),(54 27512.71),(55 27333.867),(56 27254.506),(57 26723.303),(58 26378.375),(59 26314.818),(60 26219.738),(61 25978.455),(62 25706.133),(63 25438.105),(64 25433.277),(65 25716.066),(66 25742.145),(67 25793.057),(68 25829.73),(69 26016.557),(70 26342.002),(71 26539.082),(72 26807.096),(73 27268.922),(74 27743.568),(75 28495.65),(76 29545.63),(77 30734.813),(78 31709.574),(79 32612.29),
(1 5198.8867),(2 12233.434),(3 15693.347),(4 16600.531),(5 17299.102),(6 18148.076),(7 18783.219),(8 18965.613),(9 19333.54),(10 19823.004),(11 20225.775),(12 20512.34),(13 20902.088),(14 21374.434),(15 21914.768),(16 22258.018),(17 22421.582),(18 22743.305),(19 23075.57),(20 23327.508),(21 23422.807),(22 23850.453),(23 24101.977),(24 24107.352),(25 24237.756),(26 24376.152),(27 25088.828),(28 25678.443),(29 26132.979),(30 26762.09),(31 27027.543),(32 26915.35),(33 27081.684),(34 27178.35),(35 27392.078),(36 27223.117),(37 26979.205),(38 27047.691),(39 27000.86),(40 26980.23),(41 26854.037),(42 26895.041),(43 26729.988),(44 26656.367),(45 26633.766),(46 26664.115),(47 26595.154),(48 26372.254),(49 26181.432),(50 25990.943),(51 25953.469),(52 26183.572),(53 26228.227),(54 25969.871),(55 25576.158),(56 25083.908),(57 24575.498),(58 24319),(59 24677.24),(60 24933.963),(61 24962.098),(62 24628.906),(63 24379.215),(64 24318.97),(65 24747.955),(66 24943.057),(67 24923.97),(68 24910.178),(69 25130.209),(70 25132.643),(71 25427.518),(72 26030.754),(73 26836.184),(74 27673.494),(75 28681.764),(76 29613.309),(77 30504.44),(78 30902.877),(79 31932.576),
(1 5226.2056),(2 12044.268),(3 15254.597),(4 15986.373),(5 16787.271),(6 17604.35),(7 18239.027),(8 18721.05),(9 19059.092),(10 19342.9),(11 19810.115),(12 20332.764),(13 20898.033),(14 21557.488),(15 22311.492),(16 22713.428),(17 22938.93),(18 23149.613),(19 23621.2),(20 24050.107),(21 24424.793),(22 24819.865),(23 25130.31),(24 25432.83),(25 25295.273),(26 25149.463),(27 25079.826),(28 25206.344),(29 25506.678),(30 25981.66),(31 26036.957),(32 25989.73),(33 26142.217),(34 26422.621),(35 26405.928),(36 26448.957),(37 26421.328),(38 26494.762),(39 26540.865),(40 26629.742),(41 26508.95),(42 26409.402),(43 26200.203),(44 25877.959),(45 25701.285),(46 25631.695),(47 25407.88),(48 24961.81),(49 24580.219),(50 24206.37),(51 24186.412),(52 24374.059),(53 24362.174),(54 24139.629),(55 23950.459),(56 23813.045),(57 23313.139),(58 23317.53),(59 23519.922),(60 23939.262),(61 24102.338),(62 23862.479),(63 23704.137),(64 23882.262),(65 24001.248),(66 23917.732),(67 24253.588),(68 24652.48),(69 24785.143),(70 24937.45),(71 25335.707),(72 26211.22),(73 27002.01),(74 27759.645),(75 28598.004),(76 29750.795),(77 30946.184),(78 32082.771),(79 33035.484),
(1 5148.486),(2 11855.048),(3 14939.503),(4 15571.058),(5 16285.404),(6 17303.537),(7 18204.844),(8 18601.09),(9 18672.58),(10 18830.602),(11 19490.693),(12 19986.385),(13 20257.5),(14 20886.934),(15 22010.38),(16 22612.225),(17 22762.97),(18 22841.338),(19 23120.16),(20 23641.596),(21 24305.697),(22 24965.344),(23 25454.666),(24 25483.396),(25 25428.715),(26 25447.98),(27 25465.785),(28 25430.059),(29 25398.016),(30 25705.002),(31 25798.773),(32 25685.746),(33 25701.309),(34 26155.73),(35 26385.957),(36 25975.059),(37 25913.715),(38 25950.607),(39 26340.682),(40 26545.018),(41 26239),(42 26051.523),(43 25968.584),(44 25703.795),(45 25281.615),(46 25021.703),(47 24840.547),(48 24559.322),(49 24295.314),(50 24040.371),(51 23992.43),(52 24230.773),(53 24253.43),(54 24120.73),(55 23925.896),(56 23822.72),(57 23655.129),(58 24007.35),(59 24446.08),(60 24600.174),(61 24647.135),(62 24436.502),(63 24267.072),(64 24328.453),(65 24415.469),(66 24447.092),(67 24658.275),(68 24946.594),(69 25084.117),(70 25234.564),(71 25293.37),(72 25679.842),(73 26239.754),(74 26624.893),(75 27224.432),(76 28089.246),(77 29201.25),(78 30034.555),(79 31204.988),
(1 5017.629),(2 11358.243),(3 14172.842),(4 14808.863),(5 15755.105),(6 16835.58),(7 17509.09),(8 17780.809),(9 17962.377),(10 18124.826),(11 18566.146),(12 19036.137),(13 19268.604),(14 19757.68),(15 20702.305),(16 21089.22),(17 21227.11),(18 21212.229),(19 21454.299),(20 21829.762),(21 22328.434),(22 22934.209),(23 23471.893),(24 23475.947),(25 23509.584),(26 23319.32),(27 23329.645),(28 23335.652),(29 23539.348),(30 24103.256),(31 24348.328),(32 24458.717),(33 24757.988),(34 25098.113),(35 25195.582),(36 24869.408),(37 24687.232),(38 24752.74),(39 24964.725),(40 25204.16),(41 25127.004),(42 24976.393),(43 24420.027),(44 24231.94),(45 24187.545),(46 24118.463),(47 23908.986),(48 23893.043),(49 23789.13),(50 23704.324),(51 23516.79),(52 23156.084),(53 22896.088),(54 22695.404),(55 22588.186),(56 22523.8),(57 22499.69),(58 22550.768),(59 22748.25),(60 22838.871),(61 22954.977),(62 22875.191),(63 22838.121),(64 22824.047),(65 22849.89),(66 23215.377),(67 23658.465),(68 23924.777),(69 23952.008),(70 24177.94),(71 24647.861),(72 24778.668),(73 25480.195),(74 26144.012),(75 27203.871),(76 28188.365),(77 29206),(78 30020.992),(79 30896.014),
(1 4958.0425),(2 11066.167),(3 13722.967),(4 14323.029),(5 14913.725),(6 15666.085),(7 16579.111),(8 17304.15),(9 17556.422),(10 17520.047),(11 18013.742),(12 18684.04),(13 19097.463),(14 19346.887),(15 19755.996),(16 20144.627),(17 20150.021),(18 20118.178),(19 20463.404),(20 20888.973),(21 21382.955),(22 21962.313),(23 22178.025),(24 22327.53),(25 22372.123),(26 22523.469),(27 22797.244),(28 22783.816),(29 22855.102),(30 23329.926),(31 23856.559),(32 24322.113),(33 24483.91),(34 24664.809),(35 24563.844),(36 24538.219),(37 24319.336),(38 24136.77),(39 24030.406),(40 24037.996),(41 24159.908),(42 24343.45),(43 23906.436),(44 23623.262),(45 23583.832),(46 23216.215),(47 23217.295),(48 23341.34),(49 23420.47),(50 23676.385),(51 23560.207),(52 23032.59),(53 22675.299),(54 22748.813),(55 22657.13),(56 22346.492),(57 22164.393),(58 22293.621),(59 22438.393),(60 22347.354),(61 22319.814),(62 22410.137),(63 22631.475),(64 22811.871),(65 22912.393),(66 22955.184),(67 23087.492),(68 23369.96),(69 23564.857),(70 23639.21),(71 23806.736),(72 24492.361),(73 25131.736),(74 25937.793),(75 26951.908),(76 27892.023),(77 28899.586),(78 29657.191),(79 30391.15),
(1 5140.1987),(2 11414.533),(3 13952.527),(4 14383.631),(5 14810.524),(6 15526.968),(7 16430.293),(8 16907.215),(9 17035.174),(10 17287.47),(11 17787.906),(12 18372.209),(13 18770.715),(14 19143.715),(15 19664.1),(16 19982.193),(17 19580.648),(18 19580.31),(19 19791.064),(20 19912.773),(21 20500.186),(22 21154.807),(23 21225.53),(24 21232.201),(25 21517.11),(26 21954.152),(27 21988.75),(28 21867.28),(29 22153.182),(30 22760.193),(31 23485.158),(32 23633.426),(33 23744.395),(34 23282.855),(35 22972.238),(36 22908.809),(37 23102.557),(38 23268.93),(39 23187.709),(40 22865.314),(41 23036.709),(42 23463.55),(43 23277.889),(44 22938.246),(45 22939.38),(46 23125.795),(47 22949.111),(48 22946.736),(49 23139.357),(50 23355.467),(51 23300.328),(52 22963.865),(53 22895.201),(54 22762.758),(55 22772.852),(56 22710.123),(57 22768.695),(58 23008.338),(59 23265.844),(60 23429.303),(61 23573.646),(62 23675.398),(63 23789.96),(64 23613.04),(65 23550.592),(66 23760.176),(67 24103.127),(68 24368.717),(69 24408.365),(70 23849.121),(71 23788.197),(72 24320.857),(73 25105.555),(74 26025.025),(75 26619.996),(76 27217.096),(77 28218.771),(78 29484.547),(79 30375.896),
(1 5064.727),(2 11327.2705),(3 14105.572),(4 14430.412),(5 14675.037),(6 15235.65),(7 16114.741),(8 16809.047),(9 17086.752),(10 17340.928),(11 17814.541),(12 18387.14),(13 18816.129),(14 19388.047),(15 19885.797),(16 20206.99),(17 19989.563),(18 19981.89),(19 20151.621),(20 20266.217),(21 20665.809),(22 21423.59),(23 21765.604),(24 22056.762),(25 22307.916),(26 22630.273),(27 22768.604),(28 22738.334),(29 23041.145),(30 23251.648),(31 23577.256),(32 23699.465),(33 24138.57),(34 24155.45),(35 23891.39),(36 24062.309),(37 23997.217),(38 24034.746),(39 23961.078),(40 23712.389),(41 23782.963),(42 23947.506),(43 23915.285),(44 23725.87),(45 23523.26),(46 23435.264),(47 23458.092),(48 23545.846),(49 23424.635),(50 23199.188),(51 23285.926),(52 23215.965),(53 23131.615),(54 22617.26),(55 22191.152),(56 22218.697),(57 22492.176),(58 22974.623),(59 23044.977),(60 22875.275),(61 23024.652),(62 23144.035),(63 22946.225),(64 22873.988),(65 22949.59),(66 23102.223),(67 23195.598),(68 23329.367),(69 23318.246),(70 22912.586),(71 22981.498),(72 23550.643),(73 24388.504),(74 25267.932),(75 25966.72),(76 26542.402),(77 27509.348),(78 28706.266),(79 29762.447),
(1 5029.8325),(2 11296.727),(3 14007.57),(4 14756.952),(5 15318.879),(6 15697.059),(7 16393.906),(8 17132.129),(9 17537.16),(10 17675.49),(11 17973.598),(12 18542.955),(13 18683.537),(14 19071.256),(15 19738.605),(16 20007.281),(17 19805.92),(18 20078.22),(19 20944.39),(20 21394.316),(21 21747.209),(22 22401.475),(23 22889.984),(24 22942.072),(25 23049.516),(26 23244.045),(27 23649.807),(28 23888.887),(29 24058.436),(30 24298.365),(31 24214.676),(32 23975.633),(33 24295.455),(34 24176.43),(35 24120.559),(36 24081.467),(37 24167.209),(38 24232.477),(39 23972.611),(40 23884.428),(41 23692.19),(42 23660.287),(43 23653.793),(44 23426.23),(45 23233.682),(46 22947.465),(47 22829.547),(48 22643.385),(49 22602.537),(50 22511.873),(51 22467.426),(52 22698.951),(53 22851.543),(54 22457.957),(55 21841.918),(56 21813.3),(57 22053.568),(58 22169.19),(59 22331.02),(60 22639.262),(61 22346.88),(62 21915.506),(63 21820.58),(64 21799.645),(65 22078.207),(66 22155.475),(67 22136.889),(68 22164.984),(69 22059.293),(70 21976.184),(71 22286.895),(72 22466.78),(73 23085.402),(74 23762.486),(75 24250.627),(76 24689.55),(77 25620.625),(78 26548.807),(79 27705.197),
(1 5050.398),(2 11150.261),(3 13766.572),(4 14138.609),(5 14852.502),(6 15653.664),(7 16256.517),(8 16652.959),(9 16736.053),(10 16890.234),(11 17682.559),(12 18245.414),(13 18400.68),(14 18601.393),(15 18879.752),(16 18995.719),(17 19213.512),(18 19517.9),(19 20186.527),(20 20757.7),(21 21247.29),(22 21760.783),(23 22058.271),(24 22226.61),(25 22415.986),(26 22414.273),(27 22466.252),(28 22574.926),(29 22804.12),(30 22995.53),(31 23071.809),(32 23062.906),(33 22774.707),(34 22630.697),(35 22700.67),(36 22843.885),(37 22741.922),(38 22603.602),(39 22408.764),(40 22447.926),(41 22340.357),(42 22259.336),(43 22020.975),(44 21948.732),(45 22066.635),(46 21991.344),(47 21922.047),(48 21999.44),(49 22193.488),(50 21984.648),(51 21640.084),(52 21732.162),(53 21808.283),(54 21641.273),(55 21238.668),(56 21091.828),(57 21054.557),(58 21131.672),(59 21518.084),(60 21785.81),(61 21673.074),(62 21345.117),(63 21035.385),(64 21455.37),(65 22131.852),(66 22175.121),(67 22221.934),(68 22344.674),(69 21932.045),(70 21937.285),(71 22151.059),(72 22446.285),(73 22963.531),(74 23392.531),(75 23871.357),(76 24363.39),(77 25070.73),(78 25754.096),(79 26842.006),
(1 4965.1875),(2 10920.172),(3 13619.222),(4 14253.795),(5 14771.959),(6 15587.712),(7 16215.622),(8 16540.66),(9 16715.605),(10 16869.547),(11 17535.854),(12 17994.379),(13 18275.994),(14 18651.027),(15 18940.092),(16 19158.443),(17 19144.791),(18 19589.338),(19 20163.73),(20 20555.516),(21 21083.611),(22 21511.77),(23 21850.666),(24 21976.535),(25 22088.373),(26 22106.086),(27 22072.117),(28 22277.85),(29 22742.574),(30 22949.512),(31 22737.627),(32 22287.93),(33 22130.22),(34 22037.15),(35 21874.76),(36 21783.578),(37 21712.346),(38 21716.621),(39 21927.357),(40 21892.584),(41 21788.842),(42 21719.129),(43 21483.186),(44 21079.422),(45 21019.02),(46 20896.088),(47 20852.96),(48 20922.625),(49 20883.58),(50 20829.053),(51 20804.059),(52 20808.385),(53 20808.38),(54 20498.29),(55 20219.988),(56 20204.676),(57 20192.322),(58 20122.701),(59 20173.14),(60 20198.389),(61 20244.477),(62 20052.607),(63 19845.139),(64 20074.988),(65 20612.373),(66 20839.406),(67 21080.02),(68 21197.275),(69 21419.348),(70 21535.73),(71 21611.479),(72 21871.795),(73 22406.69),(74 23130.71),(75 23958.186),(76 24859.945),(77 25748.99),(78 26500.625),(79 27388.488),
(1 4796.245),(2 10782.745),(3 13274.1455),(4 13555.902),(5 14045.165),(6 14914.226),(7 15527.368),(8 15804.695),(9 15998.238),(10 16620.488),(11 17489.39),(12 17740.625),(13 17975.906),(14 18540.838),(15 19139.77),(16 19403.973),(17 19622.068),(18 20190.51),(19 20635.64),(20 20963.654),(21 21486.5),(22 21875.16),(23 22222.018),(24 22477.225),(25 22661.104),(26 22835.686),(27 22952.287),(28 22925.873),(29 23130.324),(30 23320.45),(31 23135.27),(32 23021.945),(33 23344.725),(34 23717.076),(35 23757.873),(36 23842.785),(37 23908.309),(38 23869.262),(39 23603.791),(40 23462.773),(41 23592.371),(42 23648.785),(43 23223.86),(44 22609.25),(45 22324.156),(46 22170.436),(47 22021.574),(48 21850.701),(49 21895.979),(50 21817.15),(51 21685.082),(52 21673.229),(53 21551.527),(54 21238.33),(55 20910.197),(56 20709.426),(57 20613.184),(58 20525.488),(59 20566.252),(60 21052.545),(61 21130.271),(62 20363.154),(63 19988.53),(64 20212.557),(65 20420.531),(66 20430.73),(67 20459.195),(68 20516.295),(69 20638.24),(70 20735.525),(71 20594.756),(72 20735.059),(73 21387.936),(74 22044.982),(75 23226.832),(76 24156.729),(77 25283.15),(78 26102.564),(79 26901.656),
(1 4754.9824),(2 10392.297),(3 12650.696),(4 13237.497),(5 13780.769),(6 14395.913),(7 15047.723),(8 15571.8955),(9 15835.648),(10 16346.173),(11 17064.646),(12 17446.293),(13 17440.021),(14 17805.607),(15 18255.844),(16 18384.707),(17 18581.002),(18 19098.414),(19 19661.467),(20 20221.188),(21 20888.262),(22 21182.648),(23 21395.297),(24 21687.162),(25 22134.049),(26 22326.838),(27 22481.898),(28 22567.018),(29 22885.29),(30 23137.334),(31 23211.99),(32 23237.824),(33 23583.223),(34 23900.502),(35 23991.592),(36 23793.246),(37 23640.717),(38 23694.305),(39 23508.324),(40 23429.752),(41 23245.969),(42 23132.48),(43 22676.332),(44 22158.564),(45 21818.227),(46 21429.684),(47 21271.29),(48 21454.268),(49 21502.361),(50 21271.727),(51 20971.346),(52 20866.51),(53 20683.023),(54 20471.55),(55 20153.145),(56 20111.855),(57 20339.104),(58 20434.299),(59 20225.396),(60 20156.947),(61 20244.824),(62 20141.44),(63 19763.762),(64 19849.268),(65 20027.414),(66 20166.02),(67 20442.59),(68 20343.611),(69 20150),(70 20075.734),(71 20115.611),(72 20247.658),(73 20842.709),(74 21553.193),(75 22624.195),(76 23563.365),(77 24701.553),(78 25631.637),(79 26678.822),
(1 4672.7734),(2 10106.682),(3 12204.86),(4 12765.645),(5 13156.052),(6 13586.6875),(7 14028.368),(8 14618.657),(9 14957.071),(10 15243.822),(11 15720.602),(12 15987.705),(13 16107.767),(14 16669.625),(15 17105.336),(16 17245.008),(17 17389.365),(18 17636.834),(19 17949.992),(20 18470.447),(21 19194.408),(22 19633.875),(23 20033.887),(24 20268.69),(25 20605.996),(26 20772.342),(27 21000.338),(28 20828.066),(29 20948.71),(30 21241.99),(31 21317.81),(32 21703.451),(33 22169.455),(34 22490.645),(35 22657.352),(36 22361.156),(37 22215.662),(38 21841.096),(39 21797.484),(40 21757.533),(41 21653.123),(42 21600.467),(43 21344.951),(44 20908.227),(45 20352.875),(46 20026.943),(47 20054.025),(48 20165.52),(49 20212.258),(50 20159.723),(51 19960.406),(52 19821.723),(53 19739.611),(54 19578.963),(55 19569.389),(56 19430.693),(57 19353.533),(58 19275.623),(59 19300.57),(60 19342.803),(61 19496.602),(62 19510.146),(63 19684.03),(64 19805.518),(65 19977.43),(66 20197.955),(67 20235.363),(68 20369.004),(69 20455.46),(70 20467.064),(71 20602.873),(72 20642.172),(73 20718.592),(74 21395.9),(75 22149.693),(76 22916.951),(77 23507.938),(78 24119.918),(79 24924.645),
(1 4618.3647),(2 9757.338),(3 11539.686),(4 11755.021),(5 12223.184),(6 12877.876),(7 13112.106),(8 13564.529),(9 13895.97),(10 14151.707),(11 14657.82),(12 14979.57),(13 15138.131),(14 15567.55),(15 16028.965),(16 16080.041),(17 16323.624),(18 16635.05),(19 16877.186),(20 17068.996),(21 17500.29),(22 17965.416),(23 18288.982),(24 18572.05),(25 18880.475),(26 19112.855),(27 19363.256),(28 19372.053),(29 19453.621),(30 19614.736),(31 19652.24),(32 19750.883),(33 20007.451),(34 20023.586),(35 20150.56),(36 20050.611),(37 20275.65),(38 20124.82),(39 19798.475),(40 19759.541),(41 19831.734),(42 19724.469),(43 19561.246),(44 19419.95),(45 19102.299),(46 18841.96),(47 18771.863),(48 18783.836),(49 18864.422),(50 18946.73),(51 18624.559),(52 18584.393),(53 18700.457),(54 18763.031),(55 18652.803),(56 18610.871),(57 18540.314),(58 18323.857),(59 18392.14),(60 18568.564),(61 18727.4),(62 18793.514),(63 19047.172),(64 19083.404),(65 19193.205),(66 19493.35),(67 19570.098),(68 19574.023),(69 19465.314),(70 19756.033),(71 19937.967),(72 20019.84),(73 20638.83),(74 21093.32),(75 21676.879),(76 22320.08),(77 22761.813),(78 23414.205),(79 24209.303),
(1 4409.049),(2 9474.149),(3 11533.272),(4 11950.954),(5 12370.429),(6 12914.729),(7 13350),(8 13889.226),(9 14181.77),(10 14293.229),(11 14648.999),(12 15103.617),(13 15431.829),(14 15656.517),(15 15895.93),(16 15829.292),(17 16080.435),(18 16350.167),(19 16345.796),(20 16596.26),(21 17032.436),(22 17467.334),(23 17951.049),(24 18348.299),(25 18746.74),(26 19036.285),(27 19162.88),(28 19197.95),(29 19463.201),(30 19724.98),(31 19682.602),(32 19534.307),(33 19558.219),(34 19636.908),(35 19984.25),(36 20011.264),(37 20107.635),(38 20106.768),(39 20156.133),(40 20278.137),(41 20221.068),(42 20146.676),(43 19968.715),(44 19881.146),(45 19853.297),(46 19804.5),(47 19659.51),(48 19680.434),(49 19797.045),(50 19744.625),(51 19590.064),(52 19446.918),(53 19421.225),(54 19513.516),(55 19432.105),(56 19372.408),(57 19320.12),(58 19145.084),(59 19189.658),(60 19256.602),(61 19223.326),(62 19191.953),(63 19316.174),(64 19472.133),(65 19680.89),(66 19726.873),(67 19709.338),(68 19646.947),(69 19549.21),(70 19824.717),(71 20128.53),(72 20374.936),(73 20881.719),(74 21557.955),(75 22442.357),(76 22968.666),(77 23601.605),(78 24282.873),(79 25097.096),
(1 4382.0776),(2 9300.928),(3 11259.369),(4 11726.957),(5 12236.141),(6 12779.235),(7 13179.443),(8 13321.123),(9 13643.52),(10 14232.878),(11 14733.577),(12 15002.149),(13 15282.931),(14 15565.32),(15 16023.708),(16 16314.379),(17 16721.123),(18 16938.242),(19 16799.99),(20 16939.484),(21 17188.654),(22 17708.912),(23 17969.463),(24 18143.95),(25 18397.746),(26 18503.088),(27 18487.85),(28 18619.16),(29 18985.654),(30 19191.057),(31 19402.11),(32 19283.99),(33 19358.723),(34 19500.39),(35 19808.111),(36 19606.99),(37 19679.31),(38 19871.654),(39 19974.54),(40 19984.85),(41 19790.453),(42 19654.959),(43 19491.508),(44 19458.71),(45 19571.896),(46 19450.918),(47 19427.541),(48 19323.848),(49 19332.748),(50 19488.848),(51 19254.44),(52 19001.084),(53 19143.13),(54 19423.104),(55 19314.746),(56 19124.135),(57 19062.27),(58 18863.092),(59 18731.473),(60 19026.303),(61 19100.918),(62 19117.24),(63 19284.93),(64 19358.781),(65 19370.852),(66 19308.76),(67 19135.13),(68 18975.854),(69 18801.611),(70 18827.05),(71 18991.912),(72 19363.814),(73 19860.969),(74 20541.865),(75 21180.191),(76 21771.887),(77 22972.03),(78 24066.31),(79 24771.695),
