1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33213.855),(2 75025.195),(3 120688.65),(4 210985.48),(5 305865.03),(6 395674.16),(7 529634.56),(8 673339.56),(9 808799.8),(10 979345.25),(11 1171606.6),(12 1339897.1),(13 1555535),(14 1779933.4),(15 1992041),(16 2225300.8),(17 2447550.3),(18 2629193.8),(19 2851365.3),(20 3061385.3),(21 3249289.3),(22 3479017),(23 3699746),(24 3870466.8),(25 4084592),(26 4271699),(27 4418308.5),(28 4615710),(29 4799177.5),(30 4935028.5),(31 5131132.5),(32 5287699.5),(33 5378388),(34 5507606),(35 5588674.5),(36 5608184),(37 5691800.5),(38 5729198),(39 5730804.5),(40 5777866),(41 5822493.5),(42 5803580),(43 5852676.5),(44 5856010.5),(45 5802332),(46 5817226.5),(47 5820552),(48 5776762.5),(49 5780932.5),(50 5743122.5),(51 5620889.5),(52 5570408),(53 5472834),(54 5318352.5),(55 5250413.5),(56 5164933.5),(57 5052503.5),(58 5030681),(59 4985744.5),(60 4876068),(61 4873158.5),(62 4829730.5),(63 4728872.5),(64 4726144),(65 4714505.5),(66 4633410),(67 4653644),(68 4647045.5),(69 4577639),(70 4593797.5),(71 4631774.5),(72 4605411.5),(73 4688881.5),(74 4762992.5),(75 4761488.5),(76 4863943.5),(77 4998761),(78 5040526.5),(79 5218821.5),
(1 4745.637),(2 8479.76),(3 8741.442),(4 9011.353),(5 9561.406),(6 10035.055),(7 10046.103),(8 10339.59),(9 10621.149),(10 10419.631),(11 10631.005),(12 11184.066),(13 11478.487),(14 11643.2),(15 11730.201),(16 11713.135),(17 11726.473),(18 11544.487),(19 11542.062),(20 11835.637),(21 11882.169),(22 11784.883),(23 11973.655),(24 12273.843),(25 12252.473),(26 12243.18),(27 12161.064),(28 12251.806),(29 12433.795),(30 12239.893),(31 12079.991),(32 12105.211),(33 12163.09),(34 12225.278),(35 12196.605),(36 12264.733),(37 12107.027),(38 11997.46),(39 11949.984),(40 11806.767),(41 11690.552),(42 11733.32),(43 11680.416),(44 11630.111),(45 11584.891),(46 11515.118),(47 11287.669),(48 11221.34),(49 11284.476),(50 11243.421),(51 11142.938),(52 11144.715),(53 11226.441),(54 11335.316),(55 11274.527),(56 10929.777),(57 10672.139),(58 10666.886),(59 10888.997),(60 10824.075),(61 10913.58),(62 11036.481),(63 10986.863),(64 11000.226),(65 11020.695),(66 11101.165),(67 11300.64),(68 11251.551),(69 11163.853),(70 11168.2295),(71 11252.816),(72 11301.675),(73 11463.603),(74 11620.298),(75 11654.342),(76 11590.131),(77 11700.575),(78 11813.904),(79 11669.977),
(1 4880.352),(2 8533.743),(3 8562.973),(4 8882.165),(5 9526.896),(6 9769.76),(7 9686.27),(8 9957.794),(9 10364.929),(10 10460.488),(11 10393.858),(12 10611.996),(13 10952.293),(14 11063.405),(15 11012.672),(16 11033.278),(17 11153.115),(18 10928.182),(19 10956.575),(20 11239.075),(21 11249.944),(22 11270.082),(23 11628.6045),(24 11636.571),(25 11563.295),(26 11621.448),(27 11734.126),(28 11786.377),(29 11944.6045),(30 11887.738),(31 11735.769),(32 11608.171),(33 11493.827),(34 11535.608),(35 11510.259),(36 11473.538),(37 11210.515),(38 11133.008),(39 11141.009),(40 11126.253),(41 11165.5205),(42 11282.306),(43 11240.314),(44 11279.621),(45 11364.462),(46 11255.609),(47 11197.847),(48 11321.488),(49 11386.324),(50 11330.572),(51 11324.917),(52 11300.886),(53 11119.555),(54 10932.645),(55 10891.855),(56 10845.766),(57 10614.208),(58 10607.175),(59 10607.393),(60 10601.024),(61 10653.06),(62 10582.116),(63 10507.758),(64 10507.356),(65 10677.383),(66 10819.135),(67 10974.874),(68 10922.028),(69 10826.552),(70 10905.788),(71 10917.196),(72 10902.68),(73 10928.922),(74 11043.125),(75 11109.788),(76 11128.347),(77 11121.44),(78 11124.617),(79 11077.596),
(1 4766.8643),(2 8393.181),(3 8434.282),(4 8656.243),(5 9239.158),(6 9651.358),(7 9729.851),(8 9838.236),(9 10203.769),(10 10115.8955),(11 10207.968),(12 10596.883),(13 10944.657),(14 11055.752),(15 11071.838),(16 10936.756),(17 11133.197),(18 11170.058),(19 11141.166),(20 11226.253),(21 11160.392),(22 11388.617),(23 11519.812),(24 11504.1045),(25 11564.866),(26 11711.146),(27 11748.663),(28 11789.86),(29 12029.006),(30 11980.212),(31 11811.038),(32 11768.624),(33 11871.437),(34 11973.517),(35 11729.389),(36 11501.187),(37 11422.172),(38 11506.471),(39 11395.65),(40 11095.613),(41 11434.979),(42 11407.462),(43 11071.083),(44 10980.047),(45 11088.1455),(46 11020.117),(47 10807.9375),(48 10716.354),(49 10741.221),(50 10930.55),(51 10906.55),(52 10846.399),(53 10880.388),(54 10794.472),(55 10717.717),(56 10814.023),(57 10662.312),(58 10610.518),(59 10518.764),(60 10391.994),(61 10448.516),(62 10494.619),(63 10325.108),(64 10433.916),(65 10449.594),(66 10416.273),(67 10412.998),(68 10477.138),(69 10650.091),(70 10756.804),(71 10742.682),(72 10776.308),(73 10952.85),(74 11138.753),(75 11106.25),(76 11110.484),(77 11101.006),(78 11121.344),(79 11240.7),
(1 4807.1484),(2 8479.63),(3 8317.774),(4 8333.411),(5 8928.219),(6 9181.264),(7 9384.978),(8 9680.947),(9 9942.362),(10 10076.523),(11 10078.465),(12 10196.244),(13 10636.821),(14 10683.115),(15 10685.81),(16 10637.533),(17 10617.203),(18 10499.519),(19 10700.359),(20 10931.523),(21 10842.337),(22 10989.11),(23 11143.6),(24 10967.224),(25 10924.628),(26 11039.027),(27 10976.055),(28 11004.821),(29 11203.692),(30 11304.394),(31 11136.467),(32 11022.926),(33 11055.546),(34 11203.328),(35 11182.465),(36 11145.921),(37 11022.945),(38 11037.326),(39 10819.154),(40 10712.093),(41 10865.653),(42 10802.738),(43 10747.569),(44 10787.721),(45 10856.903),(46 10802.607),(47 10750.757),(48 10766.447),(49 10875.139),(50 10955.328),(51 10756.786),(52 10832.394),(53 10979.881),(54 10741.761),(55 10517.693),(56 10580.154),(57 10590.091),(58 10454.516),(59 10196.623),(60 10006.171),(61 10024.564),(62 10028.996),(63 10021.779),(64 10053.979),(65 10030.742),(66 9965.744),(67 9898.457),(68 9886.643),(69 10175.71),(70 10067.87),(71 9857.578),(72 10036.088),(73 10235.338),(74 10119.688),(75 10051.072),(76 10242.973),(77 10335.265),(78 10319.295),(79 10327.318),
(1 4636.967),(2 7969.3164),(3 8118.892),(4 8263.054),(5 8789.76),(6 8982.583),(7 9010.055),(8 9158.795),(9 9446.879),(10 9492.227),(11 9580.935),(12 9888.212),(13 10191.904),(14 10086.382),(15 10152.194),(16 10197.355),(17 10124.008),(18 10103.808),(19 10315.128),(20 10497.049),(21 10307.159),(22 10273.861),(23 10510.428),(24 10659.187),(25 10637.744),(26 10739.746),(27 10768.8955),(28 10842.6045),(29 10974.205),(30 10972.38),(31 10953.703),(32 10937.182),(33 10948.036),(34 10894.701),(35 10899.898),(36 10880.373),(37 10785.343),(38 10779.591),(39 10713.297),(40 10651.195),(41 10869.664),(42 10831.289),(43 10942.041),(44 11024.531),(45 10931.605),(46 10820.874),(47 10779.314),(48 10992.865),(49 11202.755),(50 11250.747),(51 11124.556),(52 11085.802),(53 11140.005),(54 11069.928),(55 10865.726),(56 10699.051),(57 10589.826),(58 10466.616),(59 10277.701),(60 10244.95),(61 10293.001),(62 10468.234),(63 10504.74),(64 10365.904),(65 10352.223),(66 10330.677),(67 10200.032),(68 10148.12),(69 10153.896),(70 10084.183),(71 10019.034),(72 9986.755),(73 10103.448),(74 10274.561),(75 10259.493),(76 10317.557),(77 10400.719),(78 10547.532),(79 10595.796),
(1 4526.902),(2 7668.4414),(3 7518.631),(4 7707.5674),(5 8128.8467),(6 8345.735),(7 8392.334),(8 8578.008),(9 8907.405),(10 8875.936),(11 9172.302),(12 9488.063),(13 9687.471),(14 9709.829),(15 9811.991),(16 9841.696),(17 9791.771),(18 9769.487),(19 9998.169),(20 9850.516),(21 9723.801),(22 9750.153),(23 9912.196),(24 10024.948),(25 10057.237),(26 10209.227),(27 9983.504),(28 9969.819),(29 10306.206),(30 10146.672),(31 10054.073),(32 10095.027),(33 10144.435),(34 10199.72),(35 10329.421),(36 10261.526),(37 10077.317),(38 10176.341),(39 10253.702),(40 10209.138),(41 10178.214),(42 10157.058),(43 10232.175),(44 10234.521),(45 10170.521),(46 10405.37),(47 10524.988),(48 10595.805),(49 10797.455),(50 10907.654),(51 10819.81),(52 10668.539),(53 10524.453),(54 10481.232),(55 10324.011),(56 10250.591),(57 10288.823),(58 10175.564),(59 9852.121),(60 9536.666),(61 9597.655),(62 9742.45),(63 9620.626),(64 9566.755),(65 9622.179),(66 9596.679),(67 9580.662),(68 9714.661),(69 9827.928),(70 9742.283),(71 9807.519),(72 9894.383),(73 9844.405),(74 9856.305),(75 10088.239),(76 10182.292),(77 10100.141),(78 10056.254),(79 10241.684),
(1 4509.2),(2 7630.338),(3 7496.6265),(4 7745.7964),(5 8179.202),(6 8196.125),(7 8532.071),(8 8789.261),(9 8916.749),(10 9020.576),(11 9411.059),(12 9580.77),(13 9678.774),(14 9847.686),(15 9856.201),(16 9746.334),(17 9693.167),(18 9713.359),(19 10002.178),(20 10124.628),(21 10199.401),(22 10262.453),(23 10276.561),(24 10286.939),(25 10420.441),(26 10218.75),(27 10052.113),(28 10186.26),(29 10327.1875),(30 10175.526),(31 10275.694),(32 10225.098),(33 10097.569),(34 10072.088),(35 10144.986),(36 10013.774),(37 10035.537),(38 10014.988),(39 9876.3125),(40 10026.902),(41 10282.119),(42 10172.9),(43 10151.189),(44 10069.574),(45 10018.217),(46 10244.831),(47 10455.453),(48 10527.796),(49 10600.467),(50 10609.742),(51 10480.366),(52 10278.971),(53 10296.493),(54 10201.808),(55 10044.55),(56 10037.334),(57 9931.972),(58 9742.358),(59 9683.507),(60 9723.534),(61 9593.728),(62 9504.558),(63 9676.6875),(64 9822.936),(65 9869.599),(66 9772.081),(67 9784.214),(68 10019.868),(69 9985.139),(70 10045.236),(71 10275.291),(72 10451.634),(73 10360.618),(74 10346.123),(75 10466.217),(76 10609.968),(77 10707.562),(78 10745.688),(79 10837.241),
(1 4299.2935),(2 7355.929),(3 7196.3804),(4 7530.156),(5 8034.094),(6 8046.1313),(7 8096.051),(8 8464.219),(9 8763.19),(10 8936.77),(11 9044.85),(12 9278.275),(13 9418.368),(14 9262.855),(15 9481.111),(16 9344.213),(17 9264.172),(18 9208.481),(19 9520.576),(20 9593.049),(21 9503.524),(22 9622.772),(23 9719.903),(24 9704.364),(25 9608.515),(26 9616.948),(27 9541.8955),(28 9567.378),(29 9472.414),(30 9446.543),(31 9580.633),(32 9699.0205),(33 9523.772),(34 9309.597),(35 9404.028),(36 9370.057),(37 9356.965),(38 9275.215),(39 9256.791),(40 9476.472),(41 9631.299),(42 9786.711),(43 9773.942),(44 9609.963),(45 9487.453),(46 9665.223),(47 9933.115),(48 10154.2),(49 10123.505),(50 9874.439),(51 9837.686),(52 9844.82),(53 9635.557),(54 9712.677),(55 9632.194),(56 9446.118),(57 9459.71),(58 9487.915),(59 9263.315),(60 9149.227),(61 9241.593),(62 9358.259),(63 9359.858),(64 9407.512),(65 9615.519),(66 9612.3),(67 9622.914),(68 9771.8),(69 9703.517),(70 9793.729),(71 9891.147),(72 9919.8955),(73 9896.57),(74 9945.339),(75 10002.3),(76 9910.974),(77 9794.753),(78 9924.469),(79 10096.432),
(1 4194.207),(2 6996.2793),(3 6928.4834),(4 7048.126),(5 7410.0435),(6 7612.53),(7 7756.9053),(8 8002.4414),(9 8251.641),(10 8374.207),(11 8493.389),(12 8769.489),(13 9038.765),(14 9013.426),(15 9137.462),(16 9058.26),(17 9120.735),(18 9308.156),(19 9481.996),(20 9409.824),(21 9283.892),(22 9402.917),(23 9448.04),(24 9571.426),(25 9617.361),(26 9495.747),(27 9439.717),(28 9404.023),(29 9305.803),(30 9375.866),(31 9429.522),(32 9397.239),(33 9244.198),(34 9252.383),(35 9349.101),(36 9359.771),(37 9306.072),(38 9331.71),(39 9265.764),(40 9283.533),(41 9392.107),(42 9559.349),(43 9649.832),(44 9354.651),(45 9281.673),(46 9532.07),(47 9696.786),(48 9645.26),(49 9833.627),(50 9912.519),(51 9701.719),(52 9651.084),(53 9592.42),(54 9537.975),(55 9320.304),(56 9135.991),(57 9081.855),(58 9029.241),(59 9034.128),(60 9119.703),(61 9207.802),(62 9268.443),(63 9290.975),(64 9306.915),(65 9307.031),(66 9244.807),(67 9313.339),(68 9409.147),(69 9371.981),(70 9326.559),(71 9361.751),(72 9324.962),(73 9264.45),(74 9282.304),(75 9370.333),(76 9435),(77 9539.27),(78 9518.584),(79 9564.865),
(1 3984.4595),(2 6614.3657),(3 6601.2046),(4 6957.1396),(5 7357.124),(6 7444.927),(7 7602.693),(8 7911.839),(9 8061.1675),(10 8183.9775),(11 8374.697),(12 8591.489),(13 8616.744),(14 8675.599),(15 8746.925),(16 8750.938),(17 8664.005),(18 8597.827),(19 8787.168),(20 8918.676),(21 8897.977),(22 9003.318),(23 8960.181),(24 8852.002),(25 8829.962),(26 8840.827),(27 8965.014),(28 9070.37),(29 8861.05),(30 8707.272),(31 8814.112),(32 8830.666),(33 8663.197),(34 8612.353),(35 8699.924),(36 8653.925),(37 8634.986),(38 8766.079),(39 8784.401),(40 8864.674),(41 8897.271),(42 9151.977),(43 9168.749),(44 9082.066),(45 9156.676),(46 9119.316),(47 9076.577),(48 9225.106),(49 9355.353),(50 9411.361),(51 9270.161),(52 9240.876),(53 9213.365),(54 8998.147),(55 8906.789),(56 8887.801),(57 8828.468),(58 8825.45),(59 8709.297),(60 8743.26),(61 8815.858),(62 8959.711),(63 9054.577),(64 8939.377),(65 8954.293),(66 9012.027),(67 9061.623),(68 8972.894),(69 8908.819),(70 8958.825),(71 8895.355),(72 9071.424),(73 9214.698),(74 9277.261),(75 9339.92),(76 9427.534),(77 9514.523),(78 9507.526),(79 9626.224),
(1 4114.084),(2 6617.924),(3 6677.027),(4 7079.4336),(5 7338.0254),(6 7313.2476),(7 7499.719),(8 7764.4126),(9 8020.631),(10 8163.366),(11 8337.213),(12 8236.265),(13 8332.018),(14 8541.04),(15 8632.638),(16 8542.377),(17 8502.021),(18 8619.249),(19 8796.53),(20 8703.859),(21 8631.703),(22 8658.349),(23 8658.075),(24 8600.409),(25 8597.883),(26 8735.563),(27 8947.498),(28 8994.803),(29 8769.609),(30 8700.214),(31 8901.967),(32 8924.902),(33 8708.857),(34 8693.719),(35 8709.563),(36 8691.67),(37 8734.062),(38 8810.681),(39 8975.12),(40 8998.113),(41 9066.021),(42 9260.484),(43 9300.204),(44 9340.463),(45 9493.741),(46 9368.094),(47 9358.225),(48 9477.669),(49 9492.672),(50 9508.348),(51 9509.335),(52 9502.206),(53 9317.589),(54 9038.397),(55 9044.418),(56 9033.444),(57 8849.412),(58 8807.301),(59 8785.003),(60 8715.949),(61 8685.117),(62 8796.338),(63 8838.723),(64 8696.4),(65 8672.25),(66 8668.7295),(67 8647.146),(68 8602.444),(69 8752.669),(70 8856.455),(71 8879.591),(72 8929.811),(73 8955.13),(74 8963.602),(75 9010.483),(76 9119.88),(77 9052.927),(78 8909.313),(79 9014.339),
(1 3895.0122),(2 6405.8765),(3 6455.4717),(4 6878.8496),(5 7033.125),(6 7079.12),(7 7291.3745),(8 7404.609),(9 7477.138),(10 7623.2173),(11 7886.3896),(12 8055.598),(13 8003.6494),(14 8010.9883),(15 7945.3745),(16 8014.769),(17 7978.4214),(18 8203.675),(19 8467.817),(20 8173.1914),(21 8090.9785),(22 8305.44),(23 8426.296),(24 8358.23),(25 8247.917),(26 8364.561),(27 8559.3955),(28 8468.21),(29 8374.406),(30 8471.486),(31 8654.933),(32 8504.097),(33 8214.655),(34 8322.526),(35 8336.148),(36 8271.247),(37 8210.475),(38 8386.272),(39 8576.467),(40 8589.268),(41 8611.529),(42 8731.537),(43 8776.429),(44 8903.455),(45 9133.031),(46 9208.572),(47 9219.14),(48 9209.168),(49 9333.842),(50 9250.414),(51 9153.656),(52 9046.742),(53 8944.808),(54 8837.754),(55 8852.739),(56 8889.094),(57 8663.279),(58 8602.515),(59 8631.544),(60 8467.025),(61 8277.717),(62 8327.426),(63 8352.019),(64 8368.608),(65 8466.57),(66 8598.047),(67 8436.254),(68 8280.774),(69 8339.492),(70 8419.53),(71 8414.084),(72 8519.422),(73 8586.657),(74 8376.226),(75 8457.641),(76 8674.449),(77 8594.655),(78 8663.688),(79 8775.718),
(1 3748.334),(2 6068.078),(3 5968.512),(4 6274.874),(5 6633.8687),(6 6796.923),(7 6881.1797),(8 7000.4688),(9 7247.3345),(10 7313.7275),(11 7476.1484),(12 7660.242),(13 7614.72),(14 7712.034),(15 7842.3037),(16 7840.884),(17 7807.9336),(18 8018.9434),(19 8121.2563),(20 7920.353),(21 7922.6475),(22 7926.017),(23 8091.81),(24 8021.952),(25 7888.5728),(26 7955.16),(27 8128.953),(28 8165.809),(29 8015.1055),(30 8078.5596),(31 8118.2227),(32 7909.38),(33 7747.645),(34 7843.418),(35 7722.9995),(36 7654.3125),(37 7819.2275),(38 8081.504),(39 8173.251),(40 8091.486),(41 8422.208),(42 8484.307),(43 8275.212),(44 8412.193),(45 8520.865),(46 8483.855),(47 8397.501),(48 8412.683),(49 8528.013),(50 8577.841),(51 8503.219),(52 8393.814),(53 8436.821),(54 8316.877),(55 8225.323),(56 8348.002),(57 8246.723),(58 8237.571),(59 8160.101),(60 8117.191),(61 8054.6367),(62 7893.671),(63 7892.9624),(64 7961.127),(65 8035.623),(66 8002.7896),(67 7797.6934),(68 7943.4253),(69 8147.242),(70 8086.8984),(71 8169.2803),(72 8276.963),(73 8197.588),(74 8183.5967),(75 8333.708),(76 8571.65),(77 8543.626),(78 8568.164),(79 8688.7705),
(1 3776.2134),(2 6127.6074),(3 6134.3804),(4 6378.164),(5 6657.3823),(6 6642.7915),(7 6683.7085),(8 6887.783),(9 7011.5874),(10 7058.109),(11 7232.3955),(12 7495.5513),(13 7516.084),(14 7649.7603),(15 7642.6294),(16 7527.0537),(17 7526.261),(18 7685.34),(19 7925.586),(20 7906.817),(21 7926.424),(22 7997.72),(23 7897.284),(24 7850.2324),(25 8033.553),(26 8126.328),(27 8130.8154),(28 8211.144),(29 8312.623),(30 8274.78),(31 8069.753),(32 7943.5894),(33 7870.262),(34 7825.6626),(35 7695.1504),(36 7786.5176),(37 7963.608),(38 7933.279),(39 7784.3706),(40 7877.0034),(41 7965.4795),(42 8189.4805),(43 8376.001),(44 8376.906),(45 8257.064),(46 8207.062),(47 8199.732),(48 8174.567),(49 8118.146),(50 8196.853),(51 8416.046),(52 8378.184),(53 8205.566),(54 8168.131),(55 8090.1533),(56 8177.9673),(57 8161.2856),(58 8053.956),(59 8011.7534),(60 8037.579),(61 8026.886),(62 7992.0405),(63 8059.997),(64 8008.89),(65 7952.4077),(66 7948.2524),(67 7946.1494),(68 7983.111),(69 7996.0117),(70 7854.526),(71 7826.4414),(72 7898.662),(73 8016.261),(74 8136.2773),(75 8221.689),(76 8307.621),(77 8291.972),(78 8484.467),(79 8553.225),
(1 3782.3223),(2 6035.1216),(3 5995.213),(4 6311.632),(5 6475.5327),(6 6513.6807),(7 6632.8745),(8 6734.611),(9 6862.3525),(10 7040.4),(11 7238.5957),(12 7404.46),(13 7488.996),(14 7634.84),(15 7664.5),(16 7618.998),(17 7561.5195),(18 7602.963),(19 7667.926),(20 7649.0146),(21 7751.514),(22 7793.0723),(23 7766.6177),(24 7708.7036),(25 7715.5586),(26 7645.3516),(27 7688.971),(28 7726.6978),(29 7786.649),(30 7800.589),(31 7716.4487),(32 7566.0977),(33 7635.1245),(34 7619.2466),(35 7408.2695),(36 7564.88),(37 7683.3647),(38 7730.35),(39 7752.824),(40 7953.575),(41 7914.593),(42 7806.775),(43 7847.7715),(44 8024.115),(45 7981.8),(46 7807.7827),(47 7792.9453),(48 7961.2935),(49 8049.1826),(50 8134.39),(51 8195.631),(52 8046.9434),(53 7922.87),(54 7973.4697),(55 7952.1846),(56 7968.1743),(57 8223.795),(58 8143.3335),(59 8103.891),(60 8049.9736),(61 7878.1807),(62 7734.761),(63 7810.166),(64 7835.6816),(65 7813.1436),(66 7826.1245),(67 7775.0615),(68 7707.481),(69 7734.0454),(70 7747.305),(71 7728.5938),(72 7686.7754),(73 7826.0234),(74 7916.8),(75 7943.1807),(76 7893.1313),(77 7869.3315),(78 7920.0117),(79 8016.0107),
(1 3571.052),(2 5664.535),(3 5611.373),(4 6038.602),(5 6331.5415),(6 6478.1353),(7 6549.177),(8 6723.478),(9 6776.7324),(10 6961.329),(11 7067.9463),(12 7108.232),(13 7381.423),(14 7520.238),(15 7312.788),(16 7486.374),(17 7548.2046),(18 7555.4316),(19 7764.789),(20 7738.6226),(21 7769.721),(22 7726.5913),(23 7635.4395),(24 7706.5356),(25 7712.2915),(26 7770.5625),(27 7786.9824),(28 7817.13),(29 7837.7563),(30 7811.7236),(31 7675.653),(32 7606.22),(33 7672.088),(34 7753.4624),(35 7670.3887),(36 7682.817),(37 7571.3027),(38 7626.6),(39 7667.2363),(40 7606.451),(41 7612.251),(42 7517.648),(43 7619.8364),(44 7748.741),(45 7584.9224),(46 7503.1846),(47 7686.617),(48 7669.417),(49 7599.4),(50 7555.5664),(51 7643.332),(52 7591.5557),(53 7521.7983),(54 7543.306),(55 7482.36),(56 7554.698),(57 7667.5215),(58 7734.391),(59 7703.9565),(60 7715.599),(61 7670.7056),(62 7666.5938),(63 7767.8896),(64 7794.8564),(65 7766.8193),(66 7719.1836),(67 7708.2935),(68 7707.9883),(69 7700.742),(70 7651.3916),(71 7738.7363),(72 7816.1304),(73 7781.4556),(74 7787.5747),(75 7912.8433),(76 7948.5435),(77 7879.7046),(78 8068.977),(79 8073.817),
(1 3491.36),(2 5668.578),(3 5671.8325),(4 5943.076),(5 6140.1304),(6 6113.7583),(7 6108.5737),(8 6230.148),(9 6372.0845),(10 6528.1167),(11 6712.6016),(12 6761.4097),(13 6954.3257),(14 7057.063),(15 6919.3384),(16 7024.0347),(17 7065.845),(18 7171.9614),(19 7319.903),(20 7194.273),(21 7239.788),(22 7189.2783),(23 7273.4404),(24 7378.1763),(25 7296.238),(26 7376.2124),(27 7537.253),(28 7475.3),(29 7462.2417),(30 7489.1567),(31 7290.3345),(32 7351.2266),(33 7405.9),(34 7309.4717),(35 7415.132),(36 7491.9663),(37 7397.498),(38 7370.583),(39 7546.5596),(40 7516.1563),(41 7546.104),(42 7477.352),(43 7409.9375),(44 7334.8633),(45 7186.851),(46 7170.715),(47 7186.451),(48 7231.2085),(49 7183.652),(50 7136.4785),(51 7161.95),(52 7240.3613),(53 7132.182),(54 7120.432),(55 7203.717),(56 7216.3),(57 7192.332),(58 7247.681),(59 7311.2144),(60 7149.0386),(61 7191.8135),(62 7201.4165),(63 7199.3477),(64 7256.022),(65 7416.433),(66 7398.082),(67 7304.511),(68 7300.763),(69 7289.7637),(70 7324.6733),(71 7433.1),(72 7412.872),(73 7432.6357),(74 7490.2085),(75 7468.2344),(76 7537.7393),(77 7696.9785),(78 7597.6387),(79 7628.696),
