1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8607.441),(2 7899.656),(3 19254.62),(4 20827.072),(5 34392.895),(6 40670.387),(7 54582.28),(8 61098.473),(9 74529.79),(10 81887.12),(11 95592.836),(12 102365.73),(13 115670.03),(14 124087.164),(15 138128.42),(16 148261.98),(17 164537.31),(18 178455.36),(19 195425.86),(20 211153.58),(21 231196.81),(22 248272.73),(23 264608.16),(24 280974.75),(25 299787.84),(26 319305.63),(27 336317.13),(28 357785.16),(29 378062.4),(30 399531.5),(31 424980.53),(32 447419.34),(33 471908.63),(34 491818.4),(35 514752.5),(36 537457.8),(37 570075.7),(38 592280.6),(39 619428.06),(40 642894.3),(41 671999.06),(42 696864.56),(43 725187.75),(44 757542.94),(45 788878.5),(46 825674.5),(47 860361.44),(48 902041.94),(49 939783.5),(50 979713.25),(51 1015989.06),(52 1050481.6),(53 1077785.4),(54 1110968.1),(55 1140014.5),(56 1179218.4),(57 1217184.4),(58 1257957.6),(59 1299306.5),(60 1342713.1),(61 1391372.6),(62 1442536),(63 1500900.1),(64 1553827.6),(65 1611783.1),(66 1671428),(67 1732620.4),(68 1794461.6),(69 1857538),(70 1923619.9),(71 1981188.6),(72 2047835.1),(73 2105914),(74 2172550.8),(75 2250135.3),(76 2319471.8),(77 2385170.8),(78 2446016.3),(79 2510850.8),
(1 376.56616),(2 587.141),(3 604.10114),(4 638.24194),(5 628.9058),(6 641.0992),(7 659.5406),(8 633.5311),(9 650.55066),(10 672.9493),(11 694.0115),(12 682.98016),(13 665.7415),(14 699.876),(15 731.95624),(16 738.7189),(17 737.41113),(18 730.2587),(19 735.3257),(20 749.9596),(21 760.25665),(22 754.793),(23 770.0318),(24 786.148),(25 774.64075),(26 779.31573),(27 785.24677),(28 778.88153),(29 781.46124),(30 781.8087),(31 775.1455),(32 770.70746),(33 789.39105),(34 790.1117),(35 783.9389),(36 770.51447),(37 749.7889),(38 740.7289),(39 743.72687),(40 737.2957),(41 739.5546),(42 741.77875),(43 742.7181),(44 732.5049),(45 730.4333),(46 735.2376),(47 731.5132),(48 737.63525),(49 742.1118),(50 728.9543),(51 733.86145),(52 729.21545),(53 724.633),(54 726.1113),(55 717.15015),(56 710.3636),(57 723.9805),(58 728.08685),(59 721.083),(60 724.0114),(61 714.6098),(62 714.8571),(63 714.6198),(64 705.5411),(65 706.948),(66 692.791),(67 702.3037),(68 722.45325),(69 724.14764),(70 719.9958),(71 721.4308),(72 708.474),(73 699.75745),(74 692.3451),(75 709.0685),(76 708.03204),(77 714.9244),(78 721.14374),(79 727.74176),
(1 350.1951),(2 547.50543),(3 563.4579),(4 584.9567),(5 587.1011),(6 598.6497),(7 620.72504),(8 606.11127),(9 630.2841),(10 654.78644),(11 658.8965),(12 647.068),(13 631.48474),(14 648.8053),(15 683.46893),(16 696.0876),(17 693.7619),(18 692.6132),(19 696.1959),(20 697.1559),(21 703.518),(22 708.8956),(23 729.6711),(24 738.26465),(25 728.0139),(26 743.90686),(27 748.1231),(28 736.8875),(29 733.4454),(30 729.9079),(31 717.6007),(32 719.8697),(33 736.1682),(34 736.67926),(35 744.92804),(36 735.97986),(37 712.1437),(38 704.1319),(39 714.64575),(40 711.04596),(41 712.7198),(42 709.4057),(43 712.028),(44 708.45776),(45 697.14105),(46 701.5071),(47 694.02094),(48 696.79456),(49 692.5558),(50 686.1058),(51 682.4248),(52 677.88794),(53 665.26935),(54 670.11487),(55 673.06976),(56 662.558),(57 668.8445),(58 663.68005),(59 662.7503),(60 672.2965),(61 659.60236),(62 655.5416),(63 661.7947),(64 646.81323),(65 636.33734),(66 642.8445),(67 641.7893),(68 643.1931),(69 647.5319),(70 658.0615),(71 661.4236),(72 658.1253),(73 657.2553),(74 643.06226),(75 651.4675),(76 635.72864),(77 641.67554),(78 656.8102),(79 655.23157),
(1 347.16248),(2 533.72815),(3 557.27893),(4 583.6406),(5 570.40704),(6 584.62),(7 602.0822),(8 596.04364),(9 616.14136),(10 654.51337),(11 663.47705),(12 656.7659),(13 639.16125),(14 644.399),(15 674.7637),(16 704.99316),(17 701.6833),(18 694.9584),(19 706.75116),(20 708.6463),(21 723.0288),(22 727.2861),(23 742.0316),(24 740.10516),(25 734.4752),(26 743.33624),(27 750.2594),(28 747.3302),(29 739.8792),(30 738.01874),(31 730.5454),(32 732.59534),(33 746.4588),(34 749.64435),(35 752.768),(36 744.01587),(37 731.8856),(38 724.6191),(39 717.3422),(40 715.44147),(41 716.0079),(42 709.4214),(43 712.3333),(44 700.70465),(45 695.008),(46 693.8264),(47 688.0996),(48 684.144),(49 692.00934),(50 679.64264),(51 679.17596),(52 673.26154),(53 658.19556),(54 660.16296),(55 660.24274),(56 653.22705),(57 664.29236),(58 670.0179),(59 661.9537),(60 674.0205),(61 672.0225),(62 661.7749),(63 679.3585),(64 670.3397),(65 663.4389),(66 665.4578),(67 660.0154),(68 663.89246),(69 663.11096),(70 665.5048),(71 669.241),(72 666.4551),(73 654.11346),(74 645.5293),(75 649.5604),(76 640.7656),(77 647.45575),(78 659.553),(79 659.1548),
(1 332.33926),(2 514.1557),(3 547.10547),(4 570.81067),(5 555.3859),(6 569.5796),(7 577.0966),(8 557.40173),(9 585.2198),(10 621.4847),(11 638.916),(12 617.0873),(13 604.5761),(14 608.677),(15 633.0159),(16 651.20276),(17 651.95984),(18 649.38104),(19 659.02234),(20 667.5233),(21 664.1131),(22 653.724),(23 660.76624),(24 669.4779),(25 664.5566),(26 667.69836),(27 666.6501),(28 655.31274),(29 652.51404),(30 649.97534),(31 655.71423),(32 660.3142),(33 667.1437),(34 674.36615),(35 667.6287),(36 655.02106),(37 655.99603),(38 659.2724),(39 665.49585),(40 668.31525),(41 658.79297),(42 655.91437),(43 655.13794),(44 659.8171),(45 651.9892),(46 647.83),(47 648.61237),(48 637.547),(49 646.05145),(50 637.7267),(51 635.87537),(52 640.8459),(53 634.41547),(54 633.5556),(55 639.61865),(56 632.20935),(57 636.1364),(58 644.90845),(59 640.327),(60 643.6895),(61 644.1182),(62 645.1826),(63 659.19696),(64 658.70917),(65 642.0769),(66 641.9917),(67 636.6887),(68 631.3736),(69 626.6542),(70 629.6026),(71 636.3438),(72 626.55914),(73 619.6144),(74 612.5177),(75 625.3049),(76 622.2984),(77 630.54224),(78 638.187),(79 639.8889),
(1 344.4025),(2 524.32684),(3 561.1365),(4 592.7917),(5 566.0101),(6 565.653),(7 555.2074),(8 553.5903),(9 592.18054),(10 615.9635),(11 645.7795),(12 632.2201),(13 624.92163),(14 624.17413),(15 640.6903),(16 661.13275),(17 664.0658),(18 664.3887),(19 671.24756),(20 684.3053),(21 685.9385),(22 686.42664),(23 690.9906),(24 682.0981),(25 682.8692),(26 693.05414),(27 705.49744),(28 701.4069),(29 693.69165),(30 686.4172),(31 683.6528),(32 689.4735),(33 684.1735),(34 698.598),(35 707.9946),(36 694.2661),(37 688.3773),(38 680.24786),(39 675.5884),(40 678.59784),(41 678.9054),(42 689.80786),(43 672.1262),(44 674.193),(45 677.38635),(46 669.80963),(47 676.9518),(48 678.2383),(49 679.85406),(50 663.2832),(51 651.00397),(52 660.13904),(53 649.03406),(54 639.6291),(55 636.4748),(56 642.3205),(57 640.6174),(58 633.5977),(59 634.47473),(60 629.62604),(61 626.2478),(62 625.3654),(63 637.11523),(64 645.2006),(65 640.0427),(66 636.75684),(67 641.42523),(68 639.0395),(69 635.1061),(70 630.65454),(71 627.1201),(72 613.2817),(73 605.31946),(74 613.18945),(75 624.5446),(76 621.7634),(77 620.47974),(78 624.16345),(79 634.98846),
(1 348.60928),(2 519.59216),(3 557.55334),(4 574.77356),(5 547.0129),(6 563.8786),(7 543.15857),(8 534.5535),(9 569.79034),(10 589.3525),(11 622.29156),(12 600.6471),(13 583.6114),(14 592.5323),(15 606.9205),(16 624.9808),(17 609.3587),(18 604.9093),(19 619.17267),(20 628.3085),(21 632.93634),(22 635.04266),(23 636.82104),(24 626.188),(25 625.09576),(26 638.1349),(27 654.58826),(28 658.6691),(29 653.51746),(30 634.07355),(31 634.29944),(32 645.8983),(33 647.18353),(34 652.00116),(35 659.05115),(36 647.4021),(37 651.91394),(38 650.54755),(39 650.45245),(40 647.72906),(41 643.7826),(42 647.10834),(43 637.4311),(44 619.1359),(45 620.2978),(46 619.22894),(47 622.3786),(48 627.46204),(49 632.8651),(50 625.8415),(51 619.7907),(52 615.06),(53 605.1059),(54 605.7687),(55 611.6291),(56 616.1844),(57 617.59564),(58 614.37164),(59 616.87726),(60 609.67596),(61 608.62646),(62 615.68396),(63 617.9949),(64 616.028),(65 617.43463),(66 616.9302),(67 617.0081),(68 621.6982),(69 609.36115),(70 605.4735),(71 606.4194),(72 598.84796),(73 588.8754),(74 586.53424),(75 589.3817),(76 582.5783),(77 588.71),(78 594.82025),(79 605.05383),
(1 340.69473),(2 509.0029),(3 544.8494),(4 571.87274),(5 534.37317),(6 546.0316),(7 538.8478),(8 541.7624),(9 578.9736),(10 587.4717),(11 629.8112),(12 621.8472),(13 621.1675),(14 618.05634),(15 614.29156),(16 630.50323),(17 619.6522),(18 628.57745),(19 639.7087),(20 641.6266),(21 647.104),(22 642.51294),(23 650.2458),(24 640.3126),(25 642.8513),(26 650.88696),(27 657.0958),(28 659.89276),(29 652.69525),(30 641.26166),(31 629.88763),(32 635.9235),(33 633.6861),(34 622.8205),(35 628.40015),(36 625.6495),(37 632.8574),(38 625.0873),(39 623.51904),(40 623.2698),(41 604.31146),(42 609.32056),(43 610.2148),(44 602.3704),(45 592.83887),(46 592.19965),(47 599.5697),(48 598.971),(49 592.7516),(50 597.9513),(51 591.81),(52 585.18207),(53 574.9623),(54 577.5631),(55 582.3987),(56 586.6106),(57 585.242),(58 581.8485),(59 590.9612),(60 591.27783),(61 582.5831),(62 583.5685),(63 587.4533),(64 581.55194),(65 592.5418),(66 594.62024),(67 588.23596),(68 581.3675),(69 573.6856),(70 576.3341),(71 581.3473),(72 586.14966),(73 580.584),(74 564.44037),(75 573.98596),(76 563.7669),(77 559.4149),(78 574.6331),(79 582.604),
(1 327.9694),(2 486.22974),(3 533.95514),(4 563.0229),(5 531.13635),(6 547.95337),(7 528.16254),(8 530.78455),(9 567.0055),(10 568.29694),(11 608.2384),(12 601.2215),(13 594.07104),(14 599.08014),(15 605.0413),(16 619.8438),(17 611.7416),(18 622.0853),(19 645.4371),(20 651.2455),(21 659.6324),(22 653.8671),(23 642.73895),(24 640.8527),(25 642.6625),(26 655.9067),(27 664.9408),(28 678.49243),(29 673.40485),(30 665.981),(31 663.4612),(32 665.8522),(33 655.5241),(34 647.7068),(35 648.85425),(36 648.73083),(37 645.10095),(38 644.9428),(39 647.07355),(40 633.8992),(41 626.3723),(42 625.51556),(43 615.24384),(44 613.4011),(45 608.5067),(46 608.96875),(47 616.6715),(48 610.8603),(49 605.50525),(50 599.1012),(51 596.161),(52 586.63074),(53 577.06274),(54 578.8495),(55 576.7347),(56 579.5854),(57 576.541),(58 576.4618),(59 579.69714),(60 580.6284),(61 580.16003),(62 581.81195),(63 583.7392),(64 585.9451),(65 580.188),(66 577.1055),(67 574.32007),(68 562.0391),(69 549.04065),(70 554.7498),(71 567.5966),(72 566.4991),(73 565.7714),(74 557.71265),(75 555.0034),(76 553.1517),(77 547.11224),(78 560.4818),(79 568.35425),
(1 317.0622),(2 471.20718),(3 518.4487),(4 535.46063),(5 502.4851),(6 522.0154),(7 486.94827),(8 495.68015),(9 534.9486),(10 537.85187),(11 569.00305),(12 559.2117),(13 550.7347),(14 545.351),(15 549.9107),(16 551.75525),(17 530.83276),(18 544.02576),(19 571.66516),(20 574.38086),(21 578.2538),(22 572.647),(23 563.8269),(24 552.01495),(25 567.99744),(26 574.1761),(27 585.00085),(28 592.30457),(29 583.67377),(30 586.43005),(31 584.1568),(32 587.4914),(33 569.97186),(34 557.39557),(35 560.0607),(36 559.13293),(37 565.6819),(38 568.43915),(39 579.46344),(40 579.2642),(41 572.14575),(42 572.0188),(43 573.4),(44 566.969),(45 566.49146),(46 565.3999),(47 565.674),(48 572.92444),(49 570.2039),(50 567.03217),(51 563.20557),(52 551.0981),(53 542.1283),(54 541.39294),(55 549.45123),(56 554.1289),(57 550.9624),(58 539.4239),(59 543.85736),(60 534.5119),(61 526.39386),(62 545.2425),(63 560.967),(64 559.1956),(65 556.20294),(66 552.1066),(67 543.3624),(68 534.87744),(69 531.5039),(70 534.21875),(71 544.4302),(72 547.19977),(73 534.96747),(74 538.1402),(75 538.36035),(76 532.4045),(77 529.0322),(78 537.175),(79 554.5959),
(1 298.97427),(2 439.16724),(3 467.70038),(4 490.30164),(5 473.83557),(6 497.1987),(7 458.45084),(8 459.00586),(9 491.67938),(10 497.457),(11 540.5921),(12 535.8006),(13 529.32416),(14 524.8374),(15 527.8051),(16 530.21295),(17 521.6214),(18 540.3623),(19 566.806),(20 576.70197),(21 572.76276),(22 565.3413),(23 557.10516),(24 546.8754),(25 552.8904),(26 559.69476),(27 567.54095),(28 581.54584),(29 589.76746),(30 586.9579),(31 577.0687),(32 574.8692),(33 557.78796),(34 550.49255),(35 547.94135),(36 551.07043),(37 550.6846),(38 544.7009),(39 553.3323),(40 544.8908),(41 544.4278),(42 545.92523),(43 544.45154),(44 537.63824),(45 534.9051),(46 535.8858),(47 541.2261),(48 543.08136),(49 535.73596),(50 526.6831),(51 522.3679),(52 520.66095),(53 518.01733),(54 518.84955),(55 515.15454),(56 511.06058),(57 515.3748),(58 511.9405),(59 511.75854),(60 503.39713),(61 492.80795),(62 505.40936),(63 516.1906),(64 513.3707),(65 514.95123),(66 508.4841),(67 503.93994),(68 500.78412),(69 496.53827),(70 485.84387),(71 492.72803),(72 498.30655),(73 495.48508),(74 493.00278),(75 492.2554),(76 493.91986),(77 493.42175),(78 496.76236),(79 513.3206),
(1 281.8757),(2 412.75864),(3 455.26874),(4 478.4836),(5 458.79904),(6 470.57425),(7 436.05832),(8 443.88556),(9 472.67346),(10 486.05774),(11 507.97964),(12 500.99695),(13 499.26367),(14 490.0792),(15 486.66986),(16 484.1391),(17 479.565),(18 487.52814),(19 508.24942),(20 515.3103),(21 510.41574),(22 505.29718),(23 500.64462),(24 487.12442),(25 484.43744),(26 494.9518),(27 505.2178),(28 507.86414),(29 517.04144),(30 518.36884),(31 512.4168),(32 505.23962),(33 492.69302),(34 489.5318),(35 487.42935),(36 483.9848),(37 491.8436),(38 492.3702),(39 508.0256),(40 508.60153),(41 504.47736),(42 497.05948),(43 490.28983),(44 488.6614),(45 493.9801),(46 500.52783),(47 505.82263),(48 508.87122),(49 502.11887),(50 496.87018),(51 492.3116),(52 492.0488),(53 481.16547),(54 492.39145),(55 498.2013),(56 493.65637),(57 501.88803),(58 496.52283),(59 498.0379),(60 485.04642),(61 476.64713),(62 482.36954),(63 495.79623),(64 498.9282),(65 497.6808),(66 495.27948),(67 488.7023),(68 488.92282),(69 479.96326),(70 476.61014),(71 486.94385),(72 488.17587),(73 478.99765),(74 479.219),(75 479.7641),(76 481.0883),(77 491.07773),(78 487.1111),(79 497.01303),
(1 271.44977),(2 391.44772),(3 431.01895),(4 447.31207),(5 429.49188),(6 449.60736),(7 420.7487),(8 427.7148),(9 459.42303),(10 474.64166),(11 498.74533),(12 483.46445),(13 486.70343),(14 483.96918),(15 482.18945),(16 479.6967),(17 484.93848),(18 499.9316),(19 517.87695),(20 521.6972),(21 520.11975),(22 514.8987),(23 513.7581),(24 508.41373),(25 506.54385),(26 508.16986),(27 513.298),(28 514.7536),(29 519.21454),(30 519.6691),(31 519.2566),(32 507.78253),(33 500.23715),(34 501.61966),(35 493.63992),(36 496.7748),(37 502.40576),(38 504.61188),(39 506.99026),(40 500.6709),(41 488.09787),(42 489.36502),(43 490.55612),(44 492.51343),(45 487.5088),(46 490.4668),(47 491.59073),(48 498.33328),(49 493.5876),(50 482.45267),(51 485.45486),(52 477.33633),(53 469.95667),(54 473.62207),(55 472.6207),(56 473.93118),(57 480.07352),(58 470.37634),(59 470.30872),(60 462.80112),(61 457.95697),(62 470.06335),(63 479.2162),(64 478.5374),(65 481.0621),(66 473.97623),(67 470.15405),(68 461.5451),(69 456.9585),(70 459.58026),(71 461.12756),(72 475.0115),(73 471.2608),(74 464.14798),(75 465.9842),(76 465.75797),(77 471.09576),(78 474.2829),(79 477.32742),
(1 263.30273),(2 386.19666),(3 414.80194),(4 429.4473),(5 423.2892),(6 433.76172),(7 412.39078),(8 414.57004),(9 437.22015),(10 458.9193),(11 469.6646),(12 460.62756),(13 466.69836),(14 472.0882),(15 471.08292),(16 459.8118),(17 458.11823),(18 473.48315),(19 493.41367),(20 496.43384),(21 491.40128),(22 489.689),(23 487.50412),(24 478.33624),(25 477.7856),(26 486.77737),(27 501.8809),(28 507.42764),(29 511.7376),(30 506.32196),(31 507.7476),(32 506.0797),(33 492.23523),(34 487.69907),(35 486.46173),(36 488.33878),(37 485.48495),(38 485.55734),(39 489.43466),(40 485.99255),(41 481.30875),(42 480.18286),(43 477.12833),(44 482.10333),(45 483.13467),(46 482.07123),(47 490.59302),(48 489.2176),(49 491.39856),(50 470.69705),(51 464.07394),(52 461.11453),(53 447.91806),(54 453.9136),(55 452.47366),(56 455.1136),(57 453.34726),(58 450.09808),(59 451.8965),(60 444.83517),(61 441.4269),(62 452.34155),(63 459.3754),(64 463.74582),(65 463.42557),(66 463.0096),(67 453.73746),(68 448.42844),(69 447.81216),(70 449.70126),(71 455.3152),(72 459.4721),(73 457.70773),(74 457.36523),(75 454.83096),(76 454.71405),(77 460.4329),(78 464.1464),(79 467.4487),
(1 244.89685),(2 360.26395),(3 394.93805),(4 402.5798),(5 402.61145),(6 411.1591),(7 388.95157),(8 395.63544),(9 419.79147),(10 432.5824),(11 442.5773),(12 439.32425),(13 440.01096),(14 432.88535),(15 440.3513),(16 431.65997),(17 438.90924),(18 444.84863),(19 463.94604),(20 467.11295),(21 456.42133),(22 455.35245),(23 454.55835),(24 443.74695),(25 444.84363),(26 456.01294),(27 468.23242),(28 474.53586),(29 476.1881),(30 477.095),(31 470.88626),(32 464.0634),(33 455.4186),(34 450.78293),(35 454.745),(36 459.9381),(37 462.25995),(38 454.91275),(39 461.37592),(40 450.65005),(41 447.3964),(42 444.81766),(43 439.90033),(44 441.06693),(45 453.9342),(46 452.74838),(47 454.8471),(48 454.3405),(49 449.88705),(50 442.47818),(51 440.27963),(52 432.4327),(53 437.32483),(54 436.7474),(55 439.81665),(56 439.67868),(57 433.00485),(58 428.11816),(59 425.39844),(60 422.0497),(61 414.0536),(62 422.29575),(63 433.1995),(64 433.2164),(65 430.4931),(66 425.9333),(67 421.62625),(68 416.49695),(69 417.0312),(70 419.55),(71 426.44095),(72 431.5846),(73 428.1691),(74 420.6766),(75 426.15674),(76 426.2778),(77 428.10886),(78 434.39575),(79 433.76645),
(1 228.21735),(2 343.86252),(3 379.81247),(4 388.80908),(5 397.24335),(6 405.3999),(7 387.79486),(8 387.5925),(9 410.10202),(10 419.42575),(11 423.65878),(12 418.75427),(13 419.1179),(14 422.7363),(15 429.9843),(16 425.02136),(17 426.35117),(18 433.29993),(19 446.00928),(20 449.0656),(21 438.07297),(22 437.26273),(23 437.33646),(24 432.40112),(25 434.889),(26 437.62692),(27 446.02618),(28 447.10782),(29 462.3376),(30 464.29337),(31 457.05127),(32 453.73703),(33 445.36746),(34 444.8488),(35 441.11813),(36 448.23834),(37 452.91928),(38 448.08713),(39 447.88742),(40 442.7565),(41 440.61905),(42 438.64532),(43 438.0735),(44 431.56442),(45 432.01672),(46 434.23984),(47 436.20718),(48 434.46942),(49 426.76315),(50 413.70285),(51 414.99234),(52 411.37686),(53 406.64932),(54 408.4985),(55 411.45572),(56 409.74203),(57 413.4785),(58 410.42902),(59 406.32913),(60 400.01013),(61 399.51846),(62 409.431),(63 420.9992),(64 418.1144),(65 420.02142),(66 414.2955),(67 404.97763),(68 399.03256),(69 400.07578),(70 399.2692),(71 400.15726),(72 403.72897),(73 404.08997),(74 392.72144),(75 401.11505),(76 403.54318),(77 403.05627),(78 403.23172),(79 405.13174),
(1 231.25525),(2 336.0148),(3 374.43164),(4 381.7974),(5 387.7357),(6 401.5601),(7 381.31677),(8 389.16504),(9 405.33643),(10 412.16565),(11 409.99213),(12 402.5259),(13 403.04166),(14 408.7502),(15 414.53915),(16 408.93115),(17 410.19305),(18 415.57224),(19 423.16254),(20 427.26175),(21 420.91324),(22 424.03714),(23 419.80075),(24 416.08896),(25 413.91003),(26 422.497),(27 434.19974),(28 437.357),(29 446.5424),(30 440.62534),(31 433.45474),(32 423.41608),(33 420.48248),(34 423.07153),(35 426.5462),(36 429.9216),(37 435.674),(38 424.84586),(39 436.67212),(40 431.20285),(41 425.7987),(42 425.06912),(43 417.0763),(44 417.31088),(45 417.99747),(46 421.4956),(47 427.14755),(48 422.73004),(49 424.20572),(50 417.7985),(51 413.51706),(52 409.54956),(53 405.8411),(54 405.3375),(55 411.7565),(56 413.228),(57 411.34018),(58 411.94037),(59 409.17783),(60 403.4487),(61 404.48413),(62 407.7444),(63 418.08676),(64 415.5975),(65 413.65326),(66 408.2647),(67 404.7661),(68 405.74582),(69 401.25043),(70 400.33246),(71 401.6593),(72 389.32037),(73 394.35757),(74 383.45483),(75 390.58713),(76 393.10492),(77 396.21042),(78 405.82843),(79 403.0471),
(1 231.90155),(2 330.33688),(3 359.83124),(4 369.31433),(5 381.69415),(6 394.49216),(7 372.76962),(8 382.9975),(9 396.7261),(10 403.03537),(11 404.19955),(12 398.19965),(13 399.16656),(14 406.8041),(15 423.2988),(16 417.44278),(17 413.9073),(18 424.46893),(19 432.1245),(20 436.0578),(21 422.94986),(22 432.21524),(23 427.19165),(24 420.82553),(25 413.74194),(26 423.02438),(27 429.86102),(28 430.53745),(29 433.74817),(30 430.01956),(31 426.55695),(32 422.5408),(33 423.5384),(34 428.1419),(35 424.75793),(36 424.52148),(37 429.144),(38 428.79987),(39 431.307),(40 419.32477),(41 416.5912),(42 413.96292),(43 413.2541),(44 410.44742),(45 411.77197),(46 422.32196),(47 421.72327),(48 419.8955),(49 412.8791),(50 411.74152),(51 412.32718),(52 407.8936),(53 409.60422),(54 412.16934),(55 405.8123),(56 404.87155),(57 403.7274),(58 398.6161),(59 397.98233),(60 395.24005),(61 395.1468),(62 397.64438),(63 399.9508),(64 401.51437),(65 399.05005),(66 398.97845),(67 394.42987),(68 388.89926),(69 393.5775),(70 389.98404),(71 384.9842),(72 382.57004),(73 385.83905),(74 385.26746),(75 390.84714),(76 389.16064),(77 396.39395),(78 403.35803),(79 404.73993),
(1 233.01062),(2 332.82516),(3 362.61017),(4 375.08557),(5 384.67236),(6 404.56705),(7 374.17917),(8 382.3894),(9 392.7201),(10 395.31903),(11 397.13123),(12 386.2475),(13 385.54977),(14 391.06046),(15 399.9646),(16 400.35934),(17 393.01077),(18 400.81177),(19 406.34106),(20 413.71744),(21 396.68408),(22 398.12573),(23 398.5373),(24 392.64273),(25 391.48602),(26 396.5978),(27 406.34027),(28 412.2103),(29 415.37717),(30 415.6927),(31 413.10928),(32 409.49548),(33 411.72858),(34 417.0961),(35 416.23035),(36 410.5616),(37 412.86392),(38 409.64847),(39 409.07666),(40 405.63525),(41 398.15994),(42 400.13022),(43 399.37396),(44 399.58203),(45 402.76324),(46 409.56287),(47 396.84918),(48 398.83865),(49 390.98322),(50 389.83218),(51 390.47556),(52 389.1486),(53 393.0821),(54 394.88647),(55 396.1373),(56 398.64343),(57 396.0968),(58 393.74097),(59 387.55548),(60 390.43677),(61 394.16354),(62 397.95877),(63 406.78836),(64 402.7603),(65 407.41238),(66 402.40402),(67 399.0425),(68 396.4207),(69 396.713),(70 394.45624),(71 398.7567),(72 389.83685),(73 393.76306),(74 390.37024),(75 394.08865),(76 396.27335),(77 397.61398),(78 402.6559),(79 404.61502),
