1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 14331.138),(2 47048.375),(3 108961.68),(4 193301.86),(5 291645.9),(6 395172),(7 490260),(8 546727.44),(9 628920.94),(10 726927.06),(11 819044.25),(12 897335.8),(13 980862.5),(14 1078047.6),(15 1225187.9),(16 1353845.6),(17 1462908.6),(18 1583857.6),(19 1720743.4),(20 1855927.6),(21 1995041.4),(22 2162110.3),(23 2306911),(24 2408134.3),(25 2474042),(26 2526092.3),(27 2580363.3),(28 2622453),(29 2680077.3),(30 2739666.3),(31 2803555.3),(32 2877247.3),(33 2958915.3),(34 3047794),(35 3120466),(36 3176410),(37 3219909.8),(38 3240272.3),(39 3249060.8),(40 3233873.3),(41 3214942),(42 3187131.8),(43 3137280.8),(44 3091402.3),(45 3059240.8),(46 3026081.3),(47 3027353.3),(48 3017258.3),(49 3050292.8),(50 3093062.8),(51 3152990.8),(52 3225188),(53 3313617),(54 3386406.8),(55 3454082),(56 3514492.3),(57 3560217.3),(58 3609378.3),(59 3667836.8),(60 3733969.3),(61 3859216.8),(62 4014860.8),(63 4201684),(64 4392871.5),(65 4568252.5),(66 4726569.5),(67 4907238.5),(68 5073629),(69 5251741),(70 5396811),(71 5524692.5),(72 5637458.5),(73 5750578.5),(74 5845965.5),(75 5931730.5),(76 6013621.5),(77 6101237.5),(78 6203814),(79 6319604),
(1 14397.815),(2 43797.066),(3 82445.33),(4 122995.04),(5 162790.81),(6 200357.88),(7 233281.97),(8 264191.34),(9 291321.22),(10 316801.9),(11 337221.9),(12 355158),(13 371939),(14 388298.1),(15 404646.22),(16 420806.94),(17 435067.5),(18 445731.6),(19 457167.94),(20 467783.03),(21 476351.4),(22 486007.78),(23 495589),(24 506022.8),(25 509783.9),(26 513843.94),(27 518049.9),(28 521528.97),(29 524975.44),(30 525166.2),(31 521753.2),(32 517310.47),(33 511029.34),(34 504958.03),(35 498032.7),(36 490756.3),(37 483255.72),(38 477221.34),(39 473184.06),(40 470276.38),(41 470326.13),(42 472841.53),(43 473530.63),(44 475827),(45 478021.72),(46 480154.2),(47 480083.53),(48 479055.2),(49 477888.63),(50 473646.72),(51 465847.38),(52 456699.38),(53 446692.8),(54 439620.6),(55 434982.4),(56 432850.2),(57 432848.2),(58 434740.47),(59 438564.72),(60 441893.2),(61 446524.9),(62 448934.88),(63 450376.16),(64 451083.1),(65 448237.5),(66 443623.1),(67 440139.28),(68 439880.63),(69 438554.38),(70 437949.22),(71 436576.75),(72 436528.28),(73 437792.22),(74 440141.44),(75 445400.06),(76 452183.78),(77 459128.3),(78 462371.38),(79 462434.1),
(1 13583.537),(2 41769.082),(3 78500.375),(4 117251.65),(5 155394.28),(6 190793.55),(7 222222.16),(8 252301.44),(9 280404.97),(10 305152.03),(11 326307.72),(12 344586.72),(13 359467.2),(14 370165.7),(15 378256.53),(16 384489.25),(17 391211.66),(18 395973.34),(19 401100.53),(20 406458.66),(21 412317.56),(22 417687.5),(23 422182.53),(24 425046.97),(25 424230.9),(26 422860.97),(27 423006.3),(28 423269.25),(29 421724.97),(30 417953.3),(31 413502.1),(32 410242.13),(33 407152.16),(34 404558.25),(35 402030.34),(36 402168.16),(37 402818.5),(38 401549.56),(39 401621.28),(40 402751.03),(41 406582.5),(42 411265.97),(43 416418.53),(44 423240.3),(45 431606.94),(46 438468),(47 441079.9),(48 441759.9),(49 440956.44),(50 439997.3),(51 436882.56),(52 434175.1),(53 428898.3),(54 424355.9),(55 422720),(56 423822.3),(57 428406.56),(58 435337.1),(59 441520.66),(60 444692.88),(61 447074.6),(62 445585.1),(63 443158.9),(64 440057.34),(65 436201.8),(66 432986.63),(67 430390.44),(68 431721.13),(69 432386.9),(70 435928.66),(71 437812.28),(72 440970.8),(73 444947.4),(74 447939.9),(75 452679.25),(76 455800.22),(77 457972.6),(78 457552),(79 454897.1),
(1 13438.095),(2 42635.355),(3 80818.945),(4 121139.66),(5 162205.27),(6 200775.75),(7 234471.11),(8 263561.84),(9 291148.72),(10 317043.72),(11 337277.4),(12 354361.4),(13 368108.88),(14 377833.94),(15 383504.28),(16 388243.16),(17 391447.22),(18 393514.72),(19 398318.2),(20 404442.13),(21 412584.03),(22 420444.5),(23 430565.53),(24 440652.5),(25 445135.9),(26 445944.25),(27 444007.03),(28 441922.88),(29 437954.06),(30 432466.34),(31 425575.5),(32 419963.5),(33 415703.25),(34 412937.1),(35 408748.16),(36 407334.25),(37 405713.63),(38 403228.34),(39 402466.6),(40 400254.34),(41 400601.94),(42 404819.16),(43 407358.78),(44 410528.13),(45 415450.16),(46 420833),(47 421299.13),(48 419659.2),(49 416697.34),(50 412092.22),(51 405750.06),(52 402061.72),(53 397985.28),(54 393020.78),(55 387789.94),(56 386623.53),(57 388748.03),(58 392896.06),(59 397528.9),(60 398527.1),(61 396380.56),(62 392631.97),(63 388003.94),(64 384243.84),(65 380733.44),(66 379200.6),(67 377377.6),(68 378615.5),(69 380093.4),(70 382613.25),(71 384834.28),(72 387918.8),(73 391101.25),(74 393837.63),(75 394647.66),(76 394723.34),(77 392587.84),(78 388179.34),(79 383563.22),
(1 12397.467),(2 38469.88),(3 73015.75),(4 110599.51),(5 149457.03),(6 188237.03),(7 222815.16),(8 254546.97),(9 281018.9),(10 301570.72),(11 318202.72),(12 330343.8),(13 339904.75),(14 346842.88),(15 353634.06),(16 360171.6),(17 366425.88),(18 370528.53),(19 376193.94),(20 383339.25),(21 392086.78),(22 403830.88),(23 416335.06),(24 427651.13),(25 433836.34),(26 437338.38),(27 438018.38),(28 437808.4),(29 438506.03),(30 438783.3),(31 436644.78),(32 433630.63),(33 431624.16),(34 433280.75),(35 436023.22),(36 438988.44),(37 439945.03),(38 438053.53),(39 437298.47),(40 435551.72),(41 436115.56),(42 440789.13),(43 442312.7),(44 441331.34),(45 440921.2),(46 440645.44),(47 435971),(48 429947.75),(49 423833.94),(50 417541.38),(51 408677.4),(52 402774.63),(53 398588.75),(54 394521.94),(55 389593.13),(56 387643.44),(57 388573.16),(58 391195.44),(59 394188),(60 395706.3),(61 396739.97),(62 394514.16),(63 389431.72),(64 385375),(65 381945.13),(66 379097.2),(67 375749.13),(68 375616.5),(69 375297),(70 377066.72),(71 377076.25),(72 377387.66),(73 380007.72),(74 382823.06),(75 384546.75),(76 385253.28),(77 383117.38),(78 377174.97),(79 368977.34),
(1 12381.195),(2 37403.668),(3 69546.24),(4 103798.664),(5 139249.77),(6 175777.58),(7 209313.31),(8 241067.02),(9 268533),(10 293744.28),(11 314079.88),(12 329372.47),(13 344410.9),(14 358896.6),(15 372438.72),(16 383729.5),(17 393102.44),(18 400964.2),(19 408415.4),(20 415244.88),(21 422108.4),(22 432164.75),(23 438565.88),(24 443893.2),(25 447868.6),(26 449313.66),(27 448509.1),(28 447189.16),(29 445481.47),(30 443803.63),(31 441898.72),(32 439981.84),(33 438645),(34 436149.34),(35 432577.88),(36 429490.94),(37 424445),(38 418330.16),(39 412837.56),(40 406795.2),(41 403747.03),(42 403748.1),(43 403759.63),(44 404863.2),(45 406182.72),(46 407404.13),(47 406078.63),(48 404204.97),(49 402565.88),(50 401086.47),(51 399500.4),(52 400823.13),(53 401781.47),(54 401001.75),(55 401182.63),(56 402366.63),(57 405233.06),(58 409264.22),(59 412559.25),(60 415407.63),(61 420408.47),(62 423698.16),(63 426830.9),(64 430104.9),(65 431348.28),(66 431237.78),(67 428595.22),(68 425532.28),(69 422428.66),(70 421617.25),(71 421922.94),(72 423662.72),(73 425332.8),(74 426450.4),(75 428293.7),(76 429577.06),(77 430517.53),(78 428205.88),(79 422777.44),
(1 12338.5),(2 36717.332),(3 67606.27),(4 100470.46),(5 135287.05),(6 170363.36),(7 202946.64),(8 234000.63),(9 261401.58),(10 286186.1),(11 305728.25),(12 320579.94),(13 334526.44),(14 346498.34),(15 357980.06),(16 369044.25),(17 381211.8),(18 389173.97),(19 396220.06),(20 401434),(21 407643.9),(22 417618.84),(23 426188.2),(24 435277.8),(25 442688.72),(26 448638.9),(27 452679.66),(28 455450),(29 456527.16),(30 456099.53),(31 453260.47),(32 450471.66),(33 447655.72),(34 445642.06),(35 443780.94),(36 443295),(37 442668.34),(38 439878.2),(39 436542.84),(40 432446.1),(41 429472.44),(42 430490.25),(43 430560.1),(44 431729.56),(45 432883.16),(46 431932.8),(47 427548.25),(48 423172.16),(49 420468.2),(50 418180.75),(51 415910.2),(52 415666),(53 414348.72),(54 413438.28),(55 412052.53),(56 410891.8),(57 411193.47),(58 411558.47),(59 409622.1),(60 407273.75),(61 407299.63),(62 408004.66),(63 407835.63),(64 408062.66),(65 406800.94),(66 404101.47),(67 400167.28),(68 397043.47),(69 394663.03),(70 393701.88),(71 392670.44),(72 393619.47),(73 395124.25),(74 397264.94),(75 398926.44),(76 398986.38),(77 396591.72),(78 393064.06),(79 388399.66),
(1 13190.91),(2 39506.44),(3 72797.1),(4 106472.36),(5 140320.47),(6 173810.5),(7 205407.97),(8 234981.44),(9 262173.97),(10 288290.1),(11 310128.5),(12 329282.53),(13 347217.03),(14 361574.44),(15 373062.53),(16 381681.2),(17 390088.2),(18 397510),(19 403900.03),(20 408594.63),(21 413074.63),(22 418341.34),(23 420875),(24 420645.03),(25 418911.9),(26 418107.94),(27 417512.84),(28 416668.66),(29 417796.06),(30 420171.34),(31 420145.53),(32 420585.13),(33 421089.38),(34 420452.1),(35 417740.7),(36 416601.6),(37 416728.2),(38 417509.97),(39 418667.25),(40 419796.5),(41 419687.3),(42 421119.3),(43 422370.56),(44 424351.25),(45 427376.2),(46 429243.06),(47 428654.28),(48 428023.75),(49 428388.66),(50 429501),(51 429497.63),(52 430453.7),(53 428179.4),(54 422181.38),(55 413949.53),(56 406412.28),(57 401355.25),(58 397307.66),(59 393335.38),(60 389523.84),(61 388279.2),(62 387058.5),(63 388385.8),(64 391504.13),(65 395104.94),(66 398277.63),(67 399197.25),(68 399087.6),(69 398612.28),(70 400108.75),(71 400965.72),(72 403546.66),(73 407163.22),(74 410068.28),(75 412728.5),(76 414148.84),(77 413431.53),(78 408683.56),(79 399766.8),
(1 12017.21),(2 36477.418),(3 67416.664),(4 99820.3),(5 133096.3),(6 165057.81),(7 194218.39),(8 222004.1),(9 245064.19),(10 266323.56),(11 284339.6),(12 300695.5),(13 317325.53),(14 332759.53),(15 346558.3),(16 357041.25),(17 366412.66),(18 371527.44),(19 376922.66),(20 381151.22),(21 385448.84),(22 391427.3),(23 394666.94),(24 397313.16),(25 397141.25),(26 395987.9),(27 393607.9),(28 390741.2),(29 389250.3),(30 388758.53),(31 386178.44),(32 383318.16),(33 382020.3),(34 382069.1),(35 380899.34),(36 380611.72),(37 381173.1),(38 383728.28),(39 388025.78),(40 392201.28),(41 395162.4),(42 397795.9),(43 399761.56),(44 401357.25),(45 401072.8),(46 400561.47),(47 398965.7),(48 396853.1),(49 395850.53),(50 394612.66),(51 390985.88),(52 388204),(53 384824.44),(54 380705.56),(55 375553.8),(56 371224.03),(57 367681.56),(58 365299.72),(59 361973.25),(60 358296.44),(61 354503.6),(62 349550.66),(63 346583.2),(64 345497.97),(65 343971.4),(66 343795),(67 342225.44),(68 341040.4),(69 339468.47),(70 338861.44),(71 336986.47),(72 336042.56),(73 337160.22),(74 338254.9),(75 341119.25),(76 344391.88),(77 346589.47),(78 345106.66),(79 340235.28),
(1 12589.357),(2 37736.77),(3 69576.766),(4 102364.016),(5 134584.77),(6 164284.88),(7 191596.4),(8 217562.58),(9 239268.33),(10 258591.95),(11 275073.97),(12 288457.03),(13 299405),(14 307634.9),(15 313435.9),(16 317424.94),(17 321104.88),(18 323934.9),(19 327321.7),(20 329851.06),(21 332096.56),(22 335645.53),(23 338622.25),(24 342051.44),(25 342678.72),(26 341772.25),(27 341790.47),(28 343147.63),(29 343874.84),(30 343733.94),(31 341757.44),(32 339443.44),(33 336366.3),(34 334619.66),(35 334135.22),(36 334788.13),(37 335465.44),(38 336397.94),(39 339470.63),(40 341963.6),(41 345118.47),(42 349800.94),(43 352093.8),(44 352853.75),(45 351778.9),(46 349101),(47 344186.47),(48 340613.63),(49 338844.06),(50 337379.16),(51 335030.53),(52 333520.56),(53 330561.84),(54 326118.25),(55 321656.34),(56 319573.06),(57 319360.38),(58 320590.56),(59 324039.2),(60 328355.75),(61 333081.13),(62 336318.4),(63 339498.25),(64 343138.63),(65 345273.63),(66 346436.25),(67 345298),(68 344166.28),(69 340329.56),(70 337847.47),(71 334553),(72 331991.8),(73 330486.13),(74 327422.78),(75 325789.56),(76 324559.56),(77 322985.25),(78 319821.97),(79 316047.34),
(1 11895.306),(2 36400.457),(3 67227.81),(4 100143.94),(5 132716),(6 163327.52),(7 192381.47),(8 218982.48),(9 241060.67),(10 260167.98),(11 277006.03),(12 291234.28),(13 302722.97),(14 310490.94),(15 317783.97),(16 324134.4),(17 329984.8),(18 334494.63),(19 339381.84),(20 342378.8),(21 344853.5),(22 347060.8),(23 345300.34),(24 341679.88),(25 336587.53),(26 331277.22),(27 328344.47),(28 326739.16),(29 327855.8),(30 329173.38),(31 329959.38),(32 331279.47),(33 333385.06),(34 334596.63),(35 333444.03),(36 332433.2),(37 330711.13),(38 330268.75),(39 332732.47),(40 334923.97),(41 338426.8),(42 342808.9),(43 344727.66),(44 345615.84),(45 345050.8),(46 342598.47),(47 338451),(48 333344.8),(49 330636.97),(50 328814.03),(51 325415.44),(52 323085.66),(53 320345.25),(54 317450.16),(55 314196.53),(56 312679.3),(57 313620.97),(58 315607.3),(59 317520.34),(60 318274.16),(61 319242.47),(62 317861.13),(63 315404.6),(64 314594.38),(65 313600.5),(66 314464.6),(67 312838.94),(68 311596.94),(69 307981.53),(70 305337.75),(71 302470.63),(72 301136.03),(73 301801.3),(74 301338.38),(75 302601.75),(76 303015.16),(77 303852.22),(78 304248.34),(79 303224.7),
(1 12002.278),(2 36447.707),(3 68331.17),(4 103083.97),(5 137383.44),(6 170378.22),(7 199840.55),(8 226397.42),(9 249610.53),(10 271359.34),(11 289194.75),(12 302867.47),(13 315629.9),(14 325976.6),(15 335227.44),(16 342331.4),(17 348046.4),(18 350857.13),(19 353031.1),(20 354643.72),(21 356532.28),(22 359068.2),(23 360638.3),(24 361555.7),(25 359642.38),(26 354240.84),(27 348559.28),(28 344010.3),(29 341176.47),(30 338843.7),(31 335845.06),(32 332862.16),(33 330585.6),(34 328705.47),(35 325416.34),(36 323618.3),(37 323216),(38 323790.4),(39 326474.56),(40 329313.84),(41 331469.53),(42 333776.8),(43 334955.72),(44 336966.9),(45 339545.47),(46 339419.6),(47 337955.3),(48 336019.25),(49 335600.28),(50 335691.6),(51 334567.63),(52 333378.3),(53 330284.13),(54 327085.25),(55 323744.16),(56 321004.03),(57 318248.9),(58 316334.78),(59 314936.53),(60 313843.8),(61 314527.72),(62 314165.6),(63 313982.1),(64 316839.6),(65 319320.75),(66 322481.75),(67 323065),(68 323788.8),(69 322653.44),(70 322489.16),(71 319982.16),(72 317506.03),(73 316737.53),(74 316478.63),(75 318995.66),(76 322430.3),(77 326326.88),(78 327534.4),(79 326372.94),
(1 12287.982),(2 36277.383),(3 66509.87),(4 97606.055),(5 128503.4),(6 158320.81),(7 186028.95),(8 211426.45),(9 233831.95),(10 255426.56),(11 274053.13),(12 289856.97),(13 303133.94),(14 313380.94),(15 321005.38),(16 329099.34),(17 337140.75),(18 342889.03),(19 347343.47),(20 349532.6),(21 350985),(22 353491.06),(23 354608.38),(24 355959.88),(25 354226.38),(26 352671.75),(27 351571.53),(28 351011.56),(29 351835.22),(30 352828.53),(31 353071.7),(32 353205.56),(33 353444.53),(34 353682.38),(35 352124.2),(36 351785.6),(37 352173.94),(38 353000.16),(39 355324.66),(40 357351.16),(41 358700.6),(42 361080.38),(43 361335.44),(44 361627.53),(45 361817.34),(46 361623.7),(47 359977.4),(48 357648.78),(49 355994.88),(50 355161.34),(51 351751.75),(52 349242.7),(53 345317.63),(54 341833.97),(55 337648.7),(56 335508.13),(57 335012.78),(58 334850.8),(59 333990.03),(60 332065.44),(61 330635.22),(62 328866.7),(63 327242.06),(64 327600.06),(65 328307.28),(66 329442.94),(67 329888.88),(68 330155.7),(69 329298.28),(70 328250.38),(71 325349.28),(72 321876.3),(73 320285.84),(74 319468.72),(75 320551.63),(76 323082.88),(77 326024.4),(78 327922.47),(79 327825.13),
(1 11759.773),(2 34426.023),(3 62596.418),(4 91614.13),(5 120319.695),(6 148792.55),(7 174115.22),(8 196929.8),(9 215815.38),(10 232716.38),(11 246885.73),(12 259175.84),(13 270229.94),(14 279146.1),(15 284480.9),(16 289497.03),(17 294399.88),(18 297185.9),(19 299512.5),(20 301975.22),(21 304986.7),(22 308448.28),(23 311902.97),(24 316104.75),(25 318795.47),(26 321670.53),(27 322671.4),(28 324066.9),(29 326498.6),(30 329262.2),(31 330548.66),(32 331488.03),(33 332069.8),(34 332699.6),(35 332298.47),(36 332503.78),(37 333615.03),(38 334802.44),(39 336222.84),(40 336588.2),(41 336981.66),(42 337652.97),(43 336838.47),(44 335762.22),(45 334453.97),(46 332487.4),(47 329098.03),(48 325283.34),(49 321958.75),(50 319094.6),(51 316458.88),(52 315862.53),(53 316176.34),(54 318477.34),(55 320403.1),(56 322098.9),(57 323469.97),(58 322293.3),(59 319955.22),(60 316619.28),(61 315393.2),(62 314922.78),(63 316313.53),(64 318261.3),(65 319035.1),(66 320527.88),(67 320469.7),(68 321557.8),(69 322502.78),(70 324394.47),(71 325187.03),(72 324802.5),(73 324927.6),(74 325562.47),(75 326051.13),(76 325782.4),(77 326557.3),(78 327880.8),(79 328273.03),
(1 11754.238),(2 34770.027),(3 63062.61),(4 92243.09),(5 120370.62),(6 146923.45),(7 171124.28),(8 194104.72),(9 213986.47),(10 231102.4),(11 245691.69),(12 259003.56),(13 271722.94),(14 282762.63),(15 292083.97),(16 301434.72),(17 310666.03),(18 316587.97),(19 321819.72),(20 325356.75),(21 327382.94),(22 329668.6),(23 331388.94),(24 332753.5),(25 332550.47),(26 332345.03),(27 333772.34),(28 335407.25),(29 337756.56),(30 340395.88),(31 341375.25),(32 341548.75),(33 341540.8),(34 340930.88),(35 340229.4),(36 340300.66),(37 341097.2),(38 341826.78),(39 344653.34),(40 346077.9),(41 348118.53),(42 349428.28),(43 347810.13),(44 346946.84),(45 346124.47),(46 345824.13),(47 344910.88),(48 344445.97),(49 343746.6),(50 341788.75),(51 337885.38),(52 335084.03),(53 332900.78),(54 331353.47),(55 329744.1),(56 327778.63),(57 326270.8),(58 324648.97),(59 323588.28),(60 321499.84),(61 320923.38),(62 320197.2),(63 319867.3),(64 321303.3),(65 321786.2),(66 323450.47),(67 323617.97),(68 325634.5),(69 326326.56),(70 328165.25),(71 328975.56),(72 330243.78),(73 331850.22),(74 333055.47),(75 334322.16),(76 335382.1),(77 335982.03),(78 334997.13),(79 333431.72),
(1 11734.406),(2 34360.855),(3 61229.477),(4 88651.766),(5 114591.12),(6 139507.53),(7 162210.88),(8 183119.55),(9 200121.45),(10 214645.69),(11 225901.48),(12 237324.69),(13 248883.55),(14 259137.8),(15 269182.22),(16 279925.53),(17 291443.88),(18 300557.63),(19 309520.03),(20 316886.44),(21 322745.6),(22 329223.06),(23 335552.9),(24 341027.25),(25 343131.25),(26 344491.38),(27 347184.5),(28 349958.8),(29 352792.25),(30 355956.28),(31 355853.53),(32 354567.9),(33 352818.8),(34 349956.75),(35 346107.88),(36 344557.8),(37 343455.75),(38 342222.13),(39 341856.88),(40 341360.3),(41 339995.66),(42 338961.2),(43 336370.06),(44 334544.56),(45 333758.78),(46 335127.72),(47 336790.34),(48 337983.38),(49 339182.66),(50 339297.9),(51 338116.7),(52 337195),(53 335957.38),(54 334733.78),(55 333690.63),(56 332150.8),(57 330895.28),(58 328878.7),(59 329406.03),(60 329823.44),(61 331030.4),(62 330773),(63 330914.63),(64 330543.28),(65 328546.75),(66 326995.56),(67 324414.5),(68 323763.78),(69 321044.25),(70 319168.3),(71 315807.84),(72 313453.88),(73 313026.78),(74 312113.75),(75 311676.94),(76 310539),(77 309183),(78 307059.13),(79 305060.3),
(1 11664.3955),(2 34442.527),(3 62005.67),(4 90694.54),(5 118380.23),(6 143309.66),(7 164773.31),(8 183722.16),(9 197814),(10 209817.25),(11 221425.19),(12 233435.73),(13 244135.86),(14 253118.31),(15 260950.2),(16 269421.44),(17 278641.28),(18 285917.78),(19 293935.56),(20 300713.63),(21 305801.44),(22 312271.7),(23 316842.9),(24 321212.72),(25 320780.8),(26 318955.03),(27 317893.75),(28 318144.66),(29 320054.8),(30 323909.03),(31 327119.6),(32 329866),(33 330605.84),(34 330096.84),(35 329072.78),(36 329855.9),(37 330305.56),(38 329512.75),(39 329188.28),(40 327121.38),(41 324610.2),(42 323285.47),(43 321803.44),(44 321643.7),(45 321991.63),(46 324206.56),(47 324604.4),(48 326261.9),(49 328897.25),(50 331968.3),(51 333837.3),(52 336140.7),(53 336754.53),(54 337205.8),(55 335948.28),(56 334833.84),(57 333286.7),(58 330310.8),(59 327514.25),(60 323771.56),(61 320982.25),(62 317290.75),(63 315103.3),(64 314747.7),(65 313967.9),(66 314080.84),(67 310857.53),(68 308382.75),(69 305472.53),(70 303958.44),(71 301551.25),(72 299813.03),(73 299188.84),(74 297812.7),(75 297151.25),(76 296398.84),(77 295325.06),(78 292483.44),(79 288653.78),
(1 12010.034),(2 35290.59),(3 63862.97),(4 92876.805),(5 119538.42),(6 145028.53),(7 166871.52),(8 187299.33),(9 202869.45),(10 215737.17),(11 227488.9),(12 237337.73),(13 245891.42),(14 253479.6),(15 261419.67),(16 270318.88),(17 280775.47),(18 288330.88),(19 295738.06),(20 301041.44),(21 304611.88),(22 308993.94),(23 311615.13),(24 314648.78),(25 315147.97),(26 313620.25),(27 312407.53),(28 312825.5),(29 314456.66),(30 315834.72),(31 316223.8),(32 316823.63),(33 317476.5),(34 319046.5),(35 319788.03),(36 321020.1),(37 322597.4),(38 323076.2),(39 323654.8),(40 322266.44),(41 320328.44),(42 319468.66),(43 316558.66),(44 314484.3),(45 313185.25),(46 312665.47),(47 311169.5),(48 309327.56),(49 308396.97),(50 309585.97),(51 310392.78),(52 310370.72),(53 310134.47),(54 308863.84),(55 304898.53),(56 300686.2),(57 296549.7),(58 290602.25),(59 286136.6),(60 281980.72),(61 280835.34),(62 279143.53),(63 279803.47),(64 282911.56),(65 284197.97),(66 286162.5),(67 286718.94),(68 287610.84),(69 287312.63),(70 287575.9),(71 287295.5),(72 287592.2),(73 289311.56),(74 290983.06),(75 292821.16),(76 294089.63),(77 295082.03),(78 294152.94),(79 292228.16),
(1 11541.122),(2 34263.99),(3 61732.22),(4 89812.75),(5 115791.695),(6 139249.42),(7 160055.4),(8 177574.89),(9 189814.81),(10 199711.16),(11 207537.66),(12 215583.17),(13 222307.31),(14 226232.5),(15 230080.95),(16 234621.2),(17 239528.73),(18 244230.02),(19 249507.63),(20 254367.17),(21 258239.1),(22 262232.13),(23 267044.4),(24 273301.6),(25 276869.8),(26 279169.72),(27 280481.53),(28 282414.7),(29 283449.6),(30 283838.5),(31 284075.7),(32 285231.16),(33 286652.03),(34 287570.4),(35 286000.88),(36 285065.94),(37 284656.28),(38 284393.38),(39 285329.63),(40 285848.7),(41 285489.2),(42 285267.1),(43 283426.22),(44 282201.28),(45 280518.6),(46 278487.72),(47 275875.38),(48 272567.22),(49 270055),(50 269242.13),(51 269433.03),(52 269917.8),(53 269827.7),(54 269254.63),(55 267831.25),(56 266749.22),(57 265798.72),(58 263620.94),(59 262649.16),(60 260752.64),(61 260027.42),(62 259143.56),(63 258789.92),(64 259761.31),(65 260351.98),(66 261674.02),(67 261748.98),(68 261411.84),(69 260363.19),(70 259878),(71 258904.05),(72 257620.88),(73 258332.58),(74 260385.9),(75 262487.7),(76 263383.1),(77 264834.84),(78 264412.16),(79 263403.88),
