1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 162475.4),(2 219829.94),(3 204572.17),(4 459425.22),(5 647864.6),(6 740332.3),(7 1067885.5),(8 1342385.8),(9 1484606.5),(10 1882944.9),(11 2242201.5),(12 2464931.3),(13 2924699.8),(14 3360446.3),(15 3628804),(16 4125993.3),(17 4593215.5),(18 4853580),(19 5318245.5),(20 5754967.5),(21 5989396),(22 6428824),(23 6817549.5),(24 7036633.5),(25 7456931.5),(26 7846291.5),(27 8071112.5),(28 8586497),(29 9044455),(30 9328568),(31 9840908),(32 10282773),(33 10502262),(34 10982015),(35 11388491),(36 11583853),(37 11977357),(38 12363640),(39 12504488),(40 12901672),(41 13286977),(42 13429413),(43 13870021),(44 14316552),(45 14515421),(46 14949461),(47 15436869),(48 15710947),(49 16221421),(50 16692383),(51 16902688),(52 17333858),(53 17790670),(54 18020256),(55 18452952),(56 18916404),(57 19160934),(58 19735606),(59 20371642),(60 20780860),(61 21487446),(62 22212278),(63 22710082),(64 23492272),(65 24307514),(66 24863566),(67 25691920),(68 26542662),(69 27195190),(70 28078426),(71 28977432),(72 29676624),(73 30730582),(74 31748566),(75 32625326),(76 33795036),(77 34974636),(78 35979256),(79 37247932),
(1 4055.7122),(2 9251.542),(3 11658.102),(4 12462.564),(5 13077.031),(6 13697.172),(7 13760.706),(8 13991.065),(9 14539.49),(10 15149.942),(11 15736.388),(12 16409.852),(13 16969.193),(14 17549.014),(15 18002.785),(16 18286.775),(17 18634.453),(18 18943.646),(19 19090.355),(20 19435.918),(21 19842.912),(22 19959.756),(23 19561.625),(24 19441.654),(25 19594.553),(26 19586.205),(27 19437.459),(28 19507.453),(29 19783.7),(30 19961.805),(31 19931.217),(32 19812.31),(33 19741.166),(34 19702.846),(35 19636.867),(36 19490.951),(37 19582.32),(38 19289.637),(39 18885.842),(40 18960.648),(41 19116.771),(42 19077.092),(43 18969.727),(44 18960.744),(45 18735.78),(46 18558.42),(47 18740.379),(48 18717.443),(49 18611.428),(50 18813.63),(51 18858.4),(52 18638.33),(53 18534.74),(54 18557.705),(55 18601.34),(56 18634.834),(57 18723.914),(58 18620.219),(59 18548.105),(60 18583.3),(61 18482.914),(62 18378.777),(63 18418.527),(64 18482.098),(65 18554.168),(66 18726.777),(67 18564.125),(68 18119.041),(69 17901.008),(70 17846.1),(71 17786.977),(72 17897.74),(73 18068.217),(74 18081.34),(75 18121.535),(76 18108.93),(77 18410.521),(78 18700.229),(79 18761.277),
(1 3796.5366),(2 8701.287),(3 11034.798),(4 11862.922),(5 12480.82),(6 12979.236),(7 13094.056),(8 13388.545),(9 13861.394),(10 14380.656),(11 14964.443),(12 15323.502),(13 15701.679),(14 16237.078),(15 16601.06),(16 16644.95),(17 16817.432),(18 17036.63),(19 17315.162),(20 17843.877),(21 18097.373),(22 18008.242),(23 17934.592),(24 17912.486),(25 17767.92),(26 17896.83),(27 18003.574),(28 18048.252),(29 18110.07),(30 18318.2),(31 18068.578),(32 17816.709),(33 18008.813),(34 18150.875),(35 18147.902),(36 18072.564),(37 17885.162),(38 17659.6),(39 17639.398),(40 17780.398),(41 18116.268),(42 18476.61),(43 18682.95),(44 18556.305),(45 18383.504),(46 18436.316),(47 18535.729),(48 18276.53),(49 18237.588),(50 18308.74),(51 18357.146),(52 18310.063),(53 18213.951),(54 18050.568),(55 17858.068),(56 17947.135),(57 17857.53),(58 17464.533),(59 17389.125),(60 17573.488),(61 17647.926),(62 17532.94),(63 17409.908),(64 17219.076),(65 17339.213),(66 17028.328),(67 16808.445),(68 16788.512),(69 17041.254),(70 16950.031),(71 16823.232),(72 16975.51),(73 17065.844),(74 17317.957),(75 17583.785),(76 17589.393),(77 17397.305),(78 17308.342),(79 17339.977),
(1 3887.2778),(2 8990.096),(3 11425.29),(4 12243.576),(5 12888.16),(6 13379.026),(7 13636.531),(8 14058.384),(9 14453.328),(10 14682.716),(11 15275.427),(12 15749.046),(13 16051.118),(14 16702.62),(15 17196.18),(16 17644.05),(17 17927.37),(18 18401.967),(19 18867.928),(20 19354.746),(21 19579.15),(22 19516.482),(23 19388.164),(24 19183.918),(25 19168.938),(26 18999.084),(27 19037.092),(28 18871.424),(29 19031.438),(30 19448.508),(31 19393.43),(32 19205.277),(33 19224.197),(34 19239.72),(35 19011.406),(36 18847.408),(37 18766.588),(38 18435.768),(39 18305.06),(40 18331.283),(41 18135.172),(42 18061.957),(43 18070.19),(44 17947.68),(45 17777.377),(46 17708.656),(47 17744.129),(48 17555.27),(49 17609.59),(50 17901.057),(51 17749.156),(52 17375.088),(53 17189.684),(54 17184.326),(55 17142.848),(56 17190.246),(57 17321.133),(58 17224.732),(59 16967.496),(60 16757.156),(61 16772.932),(62 16929.74),(63 17094.463),(64 17161.332),(65 17227.742),(66 16981.9),(67 16869.313),(68 17156.479),(69 17296.354),(70 17363.934),(71 17451.383),(72 17654.469),(73 17809.604),(74 17686.277),(75 17836.291),(76 18153.17),(77 18407.873),(78 18343.441),(79 18300.973),
(1 3922.4097),(2 8992.52),(3 11448.178),(4 12221.583),(5 12871.977),(6 13284.844),(7 13329.951),(8 13408.662),(9 13762.671),(10 14180.382),(11 14718.341),(12 15197.493),(13 15493.978),(14 15618.034),(15 15890.043),(16 16447.838),(17 16903.953),(18 17100.484),(19 17449.588),(20 17925.734),(21 18074.621),(22 18195.074),(23 18328.547),(24 18414.484),(25 18469.74),(26 18365.936),(27 18564.379),(28 18769.463),(29 18981.504),(30 19183.494),(31 19097.832),(32 19017.46),(33 18852.754),(34 18766.584),(35 18644.152),(36 18500.74),(37 18338.67),(38 18135.09),(39 18198.9),(40 18279.27),(41 18129.1),(42 18132.53),(43 18293.889),(44 18134.47),(45 17702.035),(46 17530.297),(47 17327.078),(48 17192.146),(49 17330.143),(50 17392.969),(51 17156.617),(52 16993.76),(53 16868.379),(54 16732.08),(55 16485.598),(56 16330.002),(57 16286.254),(58 16113.7705),(59 16059.405),(60 15969.932),(61 15842.744),(62 15861.4375),(63 15891.95),(64 16117.307),(65 16187.945),(66 16056.985),(67 16198.296),(68 16274.855),(69 16360.951),(70 16256.589),(71 16286.089),(72 16476.152),(73 16494.408),(74 16460.729),(75 16624.143),(76 16796.748),(77 16743.182),(78 16895.848),(79 17317.002),
(1 3858.9436),(2 8697.594),(3 10984.822),(4 11806.086),(5 12536.41),(6 12709.686),(7 12602.775),(8 13020.93),(9 13604.018),(10 14075.415),(11 14396.742),(12 14769.786),(13 15223.302),(14 15593.24),(15 15909.754),(16 16143.157),(17 16360.895),(18 16465.615),(19 16777.66),(20 17038.404),(21 17044.924),(22 16862.379),(23 16887.572),(24 16973.658),(25 16925.613),(26 16594.025),(27 16583.28),(28 16792.174),(29 17047.588),(30 17033.803),(31 17167.262),(32 17187.629),(33 16836.031),(34 16556.87),(35 16425.94),(36 16414.803),(37 16165.938),(38 16190.119),(39 16245.686),(40 16138.869),(41 16021.264),(42 16349.713),(43 16546.678),(44 16188.638),(45 15952.622),(46 16052.418),(47 15910.741),(48 15930.94),(49 16350.324),(50 16437.072),(51 16231.015),(52 16044.414),(53 15956.029),(54 15779.042),(55 15654.857),(56 15826.023),(57 15943.649),(58 15880.593),(59 15845.788),(60 15950.564),(61 15881.33),(62 15918.027),(63 16048.764),(64 16402.13),(65 16397.395),(66 16032.601),(67 16068.73),(68 16270.357),(69 16328.14),(70 16207.1455),(71 16186.344),(72 16182.433),(73 16220.221),(74 16268.297),(75 16319.926),(76 16069.039),(77 15998.946),(78 16089.972),(79 16211.594),
(1 3614.5032),(2 8152.4814),(3 10095.847),(4 10656.637),(5 11193.307),(6 11538.075),(7 11626.254),(8 11831.603),(9 12341.294),(10 12815.2295),(11 13237.11),(12 13614.789),(13 13961.4375),(14 14504.631),(15 14961.793),(16 15108.376),(17 15194.832),(18 15244.431),(19 15513.463),(20 15809.107),(21 16016.098),(22 16172.281),(23 16032.217),(24 16008.293),(25 15792.712),(26 15748.414),(27 15993.538),(28 16253.297),(29 16186.267),(30 15836.229),(31 15918.444),(32 15877.94),(33 15817.9795),(34 15748.709),(35 15753.219),(36 15782.494),(37 15787.802),(38 15983.599),(39 16320.255),(40 16190.845),(41 15870.532),(42 15794.758),(43 15592.464),(44 15448.065),(45 15496.41),(46 15265.324),(47 14974.487),(48 15089.743),(49 15346.857),(50 15349.32),(51 15259.944),(52 15057.485),(53 15089.609),(54 14946.797),(55 14795.983),(56 14765.286),(57 14912.274),(58 14894.196),(59 14791.902),(60 14751.236),(61 14645.444),(62 14700.338),(63 14870.414),(64 14761.989),(65 14735.831),(66 14700.819),(67 14658.628),(68 14561.788),(69 14481.486),(70 14615.321),(71 14749.348),(72 14678.25),(73 14645.803),(74 14721.422),(75 14623.714),(76 14735.53),(77 14857.742),(78 14786.725),(79 14992.626),
(1 3567.7253),(2 7952.668),(3 9790.368),(4 10355.276),(5 10908.637),(6 11259.649),(7 11460.981),(8 11882.887),(9 12436.779),(10 12790.297),(11 13071.681),(12 13567.195),(13 14026.024),(14 14537.796),(15 14660.746),(16 14848.857),(17 15049.498),(18 15187.511),(19 15473.417),(20 15953.603),(21 16249.024),(22 16211.743),(23 16197.3),(24 16340.361),(25 16320.99),(26 16127.526),(27 16170.363),(28 16534.797),(29 16739.887),(30 16658.297),(31 16752.502),(32 16650.1),(33 16427.541),(34 16328.944),(35 16387.854),(36 16347.292),(37 16200.34),(38 16217.749),(39 16216.614),(40 16173.693),(41 16135.767),(42 16125.208),(43 15870.83),(44 15711.466),(45 15744.544),(46 15791.883),(47 15900.236),(48 15948.88),(49 15967.848),(50 15557.409),(51 15335.669),(52 15357.448),(53 15271.761),(54 15135.046),(55 14999.422),(56 15067.72),(57 14926.856),(58 14998.093),(59 14965.063),(60 14697.8125),(61 14696.273),(62 14822.144),(63 14852.405),(64 14820.816),(65 14572.516),(66 14504.157),(67 14819.568),(68 15037.999),(69 15031.119),(70 15334.831),(71 15421.437),(72 15433.411),(73 15678.426),(74 15722.635),(75 15525.2705),(76 15629.779),(77 15749.816),(78 15784.229),(79 15848.206),
(1 3546.0496),(2 8035.385),(3 10015.981),(4 10456.973),(5 10867.006),(6 11337.576),(7 11422.368),(8 11559.384),(9 12073.407),(10 12680.769),(11 12961.643),(12 13412.976),(13 13883.155),(14 14371.379),(15 14627.581),(16 14805.746),(17 15081.314),(18 15197.751),(19 15470.815),(20 15881.575),(21 16128.302),(22 16090.18),(23 16113.183),(24 16129.802),(25 16001.758),(26 15908.975),(27 16005.196),(28 16126.186),(29 16167.395),(30 16106.831),(31 16013.421),(32 15825.501),(33 15756.632),(34 15716.727),(35 15597.827),(36 15514.56),(37 15502.48),(38 15410.327),(39 15380.817),(40 15253.93),(41 15244.745),(42 15324.155),(43 15224.791),(44 15395.049),(45 15227.416),(46 14817.348),(47 14677.185),(48 14989.088),(49 15122.173),(50 14964.877),(51 15060.01),(52 14955.918),(53 14824.6875),(54 14590.11),(55 14622.424),(56 14630.878),(57 14707.35),(58 14773.527),(59 14702.221),(60 14624.572),(61 14681.999),(62 14738.803),(63 14826.066),(64 14735.128),(65 14692.513),(66 14732.478),(67 14674.251),(68 14753.2705),(69 14858.1875),(70 14832.761),(71 14648.906),(72 14670.564),(73 14792.978),(74 14882.758),(75 14926.911),(76 15008.496),(77 15350.626),(78 15481.43),(79 15572.8955),
(1 3378.1138),(2 7562.148),(3 9383.9375),(4 9842.075),(5 10265.734),(6 10539.689),(7 10734.077),(8 10940.685),(9 11308.071),(10 11601.344),(11 11903.205),(12 12447.773),(13 12825.493),(14 13278.325),(15 13421.252),(16 13666.498),(17 13752.604),(18 13726.503),(19 13914.97),(20 14227.965),(21 14344.319),(22 14505.234),(23 14663.709),(24 14655.427),(25 14378.424),(26 14189.711),(27 14427.75),(28 14612.013),(29 14720.982),(30 14842.495),(31 14672.018),(32 14411.71),(33 14329.697),(34 14590.389),(35 14535.237),(36 14284.621),(37 14277.168),(38 14472.674),(39 14436.93),(40 14326.527),(41 14195.834),(42 14072.959),(43 13942.771),(44 13959.404),(45 14070.95),(46 14054.811),(47 13943.457),(48 13929.258),(49 13965.051),(50 13804.964),(51 13689.899),(52 13676.082),(53 13532.114),(54 13462.094),(55 13449.559),(56 13382.33),(57 13335.584),(58 13407.469),(59 13250.836),(60 13168.885),(61 13148.878),(62 13052.813),(63 12916.239),(64 12933.76),(65 13153.632),(66 13235.983),(67 13124.207),(68 13120.018),(69 13174.64),(70 13221.84),(71 13292.016),(72 13522.419),(73 13505.361),(74 13610.915),(75 13822.898),(76 14035.444),(77 13924.86),(78 14006.054),(79 14149.982),
(1 3393.2766),(2 7573.1284),(3 9503.384),(4 9972.667),(5 10389.336),(6 10611.311),(7 10640.427),(8 10659.893),(9 10909.173),(10 11349.546),(11 11776.574),(12 12304.667),(13 12553.191),(14 12667.7705),(15 12917.4795),(16 13110.665),(17 13263.824),(18 13577.32),(19 13852.325),(20 13969.394),(21 14009.076),(22 14021.088),(23 14154.994),(24 13940.674),(25 13782.941),(26 14006.252),(27 14274.7295),(28 14329.1045),(29 14289.561),(30 14372.474),(31 14289.123),(32 14152.081),(33 14102.314),(34 14345.525),(35 14377.856),(36 14132.281),(37 14210.314),(38 14185.863),(39 14111.564),(40 14016.728),(41 13960.469),(42 13787.819),(43 13648.481),(44 13801.874),(45 13789.478),(46 13767.089),(47 14003.169),(48 14009.827),(49 13825.11),(50 13664.262),(51 13694.461),(52 13720.89),(53 13514.464),(54 13335.614),(55 13384.242),(56 13314.08),(57 13531.723),(58 13483.496),(59 13407.861),(60 13254.0205),(61 13212.384),(62 13182.136),(63 13093.055),(64 13071.095),(65 13182.863),(66 13239.733),(67 13351.6455),(68 13507.301),(69 13451.478),(70 13513.97),(71 13699.564),(72 13715.279),(73 13724.074),(74 13655.267),(75 13726.509),(76 13654.14),(77 13709.0205),(78 13735.59),(79 13801.429),
(1 3322.4363),(2 7336.348),(3 9273.333),(4 9945.081),(5 10459.418),(6 10609.567),(7 10606.601),(8 10609.225),(9 10754.188),(10 11016.053),(11 11434.988),(12 11914.739),(13 12251.437),(14 12597.732),(15 12770.034),(16 12754.574),(17 12775.726),(18 13143.905),(19 13177.669),(20 13050.609),(21 13030.473),(22 13309.891),(23 13386.478),(24 13095.9),(25 12924.092),(26 12912.596),(27 12995.006),(28 13165.239),(29 13160.276),(30 13264.424),(31 13274.527),(32 13182.08),(33 12994.65),(34 13237.603),(35 13205.333),(36 13040.145),(37 13275.845),(38 13202.79),(39 13137.897),(40 13143.393),(41 13085.432),(42 13006.157),(43 12901.378),(44 13089.549),(45 13082.174),(46 13119.786),(47 13269.881),(48 13184.851),(49 13000.527),(50 12819.642),(51 12575.873),(52 12534.101),(53 12493.317),(54 12508.608),(55 12633.726),(56 12661.419),(57 12624.77),(58 12525.419),(59 12339.14),(60 12342.232),(61 12389.079),(62 12446.557),(63 12497.202),(64 12455.557),(65 12493.582),(66 12530.56),(67 12632.621),(68 12973.57),(69 13102.241),(70 13070.492),(71 13119.484),(72 13210.42),(73 13033.126),(74 13090.755),(75 13243.954),(76 13136.196),(77 13203.4375),(78 13319.619),(79 13420.804),
(1 3235.9048),(2 7130.045),(3 8756.79),(4 9242.597),(5 9587.688),(6 9679.301),(7 9661.039),(8 9783.836),(9 10080.568),(10 10330.409),(11 10611.515),(12 11098.751),(13 11592.204),(14 11894.917),(15 12094.654),(16 12285.018),(17 12365.434),(18 12583.508),(19 12703.943),(20 12850.231),(21 12743.513),(22 12819.969),(23 12737.599),(24 12717.327),(25 12725.269),(26 12922.784),(27 13229.5),(28 13120.204),(29 13024.606),(30 13067.806),(31 13091.384),(32 13012.52),(33 12995.227),(34 13105.304),(35 13072.255),(36 12882.288),(37 13043.296),(38 12962.744),(39 12950.378),(40 12923.869),(41 12883.623),(42 12833.241),(43 12813.095),(44 12940.718),(45 12859.146),(46 12780.667),(47 12858.758),(48 12852.744),(49 12687.495),(50 12545.996),(51 12491.969),(52 12430.329),(53 12281.227),(54 12288.075),(55 12275.363),(56 12252.207),(57 12450.422),(58 12421.084),(59 12310.834),(60 12257.755),(61 12154.686),(62 12004.902),(63 12071.759),(64 12169.06),(65 12267.335),(66 12336.993),(67 12401.71),(68 12621.851),(69 12568.6875),(70 12342.672),(71 12361.975),(72 12562.859),(73 12746.23),(74 12901.871),(75 12873.812),(76 12919.736),(77 13010.865),(78 12965.93),(79 13037.084),
(1 3191.0515),(2 6865.528),(3 8339.419),(4 8874.281),(5 9270.88),(6 9564.284),(7 9624.114),(8 9724.369),(9 9966.806),(10 10227.735),(11 10634),(12 10985.086),(13 11335.007),(14 11717.894),(15 11834.775),(16 11841.111),(17 11899.514),(18 12041.713),(19 12307.559),(20 12383.677),(21 12384.686),(22 12479.6045),(23 12327.333),(24 12258.126),(25 12164.655),(26 12165.853),(27 12516.423),(28 12528.164),(29 12477.426),(30 12381.975),(31 12336.6),(32 12196.728),(33 12315.936),(34 12418.04),(35 12369.491),(36 12491.989),(37 12599.52),(38 12567.772),(39 12582.026),(40 12531.85),(41 12457.598),(42 12570.496),(43 12621.131),(44 12689.531),(45 12737.961),(46 12778.514),(47 12678.117),(48 12497.782),(49 12317.47),(50 12219.8125),(51 12218.86),(52 12137.545),(53 12052.827),(54 12031.211),(55 11987.407),(56 11959.21),(57 11959.806),(58 11784.8125),(59 11820.858),(60 11930.363),(61 11871.149),(62 11902.967),(63 12043.691),(64 12117.074),(65 12083.843),(66 12163.171),(67 12242.87),(68 12340.456),(69 12418.763),(70 12472.744),(71 12532.902),(72 12441.589),(73 12597.231),(74 12858.413),(75 13016.921),(76 13148.676),(77 13228.211),(78 13316.079),(79 13231.117),
(1 3108.0398),(2 6844.2095),(3 8402.406),(4 8779.441),(5 9200.5625),(6 9409.297),(7 9500.351),(8 9716.107),(9 10074.537),(10 10377.785),(11 10777.364),(12 11202.55),(13 11489.675),(14 11659.737),(15 11771.194),(16 11852.102),(17 11917.235),(18 12128.419),(19 12339.101),(20 12523.577),(21 12526.587),(22 12593.028),(23 12521.501),(24 12417.132),(25 12290.48),(26 12269.71),(27 12385.583),(28 12374.692),(29 12388.147),(30 12420.759),(31 12373.312),(32 12369.572),(33 12304.278),(34 12280.436),(35 12185.534),(36 12331.011),(37 12353.901),(38 12163.881),(39 12184.026),(40 12153.138),(41 12268.454),(42 12307.937),(43 12320.083),(44 12438.574),(45 12514.663),(46 12562.269),(47 12452.703),(48 12162.516),(49 12048.643),(50 12111.351),(51 12161.899),(52 11951.104),(53 11823.627),(54 11830.507),(55 11780.049),(56 11843.076),(57 12042.83),(58 11827.594),(59 11723.868),(60 11781.881),(61 11596.019),(62 11564.919),(63 11756.242),(64 11794.246),(65 11696.649),(66 11596.948),(67 11556.7),(68 11549.102),(69 11644.672),(70 11722.197),(71 11586.886),(72 11623.547),(73 11755.224),(74 12088.928),(75 12110.109),(76 12277.673),(77 12319.077),(78 12091.024),(79 12047.766),
(1 3131.4177),(2 6762.7256),(3 8223.512),(4 8622.104),(5 9034.866),(6 9259.424),(7 9351.592),(8 9415.057),(9 9683.082),(10 9847.696),(11 10166.452),(12 10600.283),(13 10986.553),(14 11156.586),(15 11234.984),(16 11344.52),(17 11475.599),(18 11579.635),(19 11740.437),(20 11877.636),(21 11923.203),(22 12039.116),(23 11845.968),(24 11738.552),(25 11814.626),(26 11929.85),(27 11901.673),(28 11838.547),(29 11843.352),(30 11729.236),(31 11771.04),(32 11760.332),(33 11848.077),(34 11821.688),(35 12048.789),(36 12284.403),(37 12329.795),(38 12158.55),(39 12189.096),(40 12127.768),(41 12097.836),(42 12071.408),(43 12091.27),(44 12186.102),(45 12262.964),(46 12356.191),(47 12247.858),(48 11970.805),(49 11910.3),(50 11833.562),(51 11729.603),(52 11801.817),(53 12074.981),(54 12239.585),(55 12175.978),(56 11889.946),(57 11753.153),(58 11770.028),(59 11959.647),(60 11989.372),(61 11900.924),(62 11973.657),(63 12141.171),(64 12204.982),(65 12293.799),(66 12123.241),(67 11872.146),(68 12066.844),(69 12092.766),(70 12117.364),(71 11955.039),(72 11986.143),(73 11854.373),(74 11994.712),(75 11979.536),(76 11957.006),(77 11940.099),(78 11845.455),(79 11988.43),
(1 3031.557),(2 6492.8955),(3 8037.5503),(4 8606.146),(5 8921.047),(6 9004.64),(7 9184.109),(8 9310.42),(9 9464.244),(10 9759.998),(11 10199.092),(12 10588.815),(13 10805.868),(14 11124.557),(15 11320.241),(16 11322.155),(17 11431.2705),(18 11657.945),(19 11671.592),(20 11585.067),(21 11746.833),(22 11853.991),(23 11820.126),(24 11797.031),(25 11787.198),(26 11771.049),(27 11811.365),(28 11668.519),(29 11536.57),(30 11456.238),(31 11319.907),(32 11287.197),(33 11306.397),(34 11306.399),(35 11275.017),(36 11373.086),(37 11406.682),(38 11327.896),(39 11376.56),(40 11452.252),(41 11398.478),(42 11381.176),(43 11424.8545),(44 11305.523),(45 11226.984),(46 11226.708),(47 11019.595),(48 10868.544),(49 11034.167),(50 10960.661),(51 10888.681),(52 10875.732),(53 10822.477),(54 10801.404),(55 10739.69),(56 10858.376),(57 10888.802),(58 10865.528),(59 11026.016),(60 10976.292),(61 10811.598),(62 10746.703),(63 10760.689),(64 10752.934),(65 10785.408),(66 10762.348),(67 10821.8),(68 10905.644),(69 10943.635),(70 11035.328),(71 11084.596),(72 11109.465),(73 11145.863),(74 11318.98),(75 11369.493),(76 11286.346),(77 11333.602),(78 11218.9375),(79 11171.62),
(1 3005.531),(2 6397.066),(3 7810.63),(4 8291.205),(5 8564.654),(6 8624.086),(7 8877.53),(8 9124.44),(9 9273.71),(10 9508.841),(11 9853.943),(12 10298.741),(13 10562.424),(14 10726.055),(15 10730.939),(16 10706.133),(17 10851.882),(18 11098.48),(19 11204.343),(20 11170.072),(21 11137.456),(22 11149.507),(23 11030.562),(24 11098.863),(25 11121.803),(26 11140.655),(27 11078.564),(28 11012.676),(29 11183.937),(30 11188.98),(31 11050.11),(32 10938.292),(33 10886.823),(34 10796.094),(35 10832.634),(36 10999.206),(37 11138.148),(38 11175.997),(39 11234.715),(40 10976.465),(41 10867.573),(42 10928.02),(43 11007.451),(44 10861.293),(45 10901.855),(46 11021.94),(47 10900.942),(48 10760.635),(49 10738.199),(50 10663.533),(51 10562.867),(52 10578.678),(53 10661.635),(54 10574.934),(55 10659.458),(56 10654.307),(57 10520.828),(58 10584.626),(59 10618.024),(60 10588.824),(61 10546.658),(62 10430.607),(63 10364.402),(64 10445.122),(65 10513.208),(66 10566.667),(67 10635.102),(68 10804.248),(69 10743.85),(70 10631.77),(71 10731.828),(72 10808.447),(73 10839.216),(74 10952.533),(75 11041.157),(76 11186.415),(77 11303.484),(78 11156.678),(79 11266.611),
