1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 196009.19),(2 710338.2),(3 1457308),(4 2307633.8),(5 3225780),(6 4162388.8),(7 5049569.5),(8 5923892),(9 6726832),(10 7554110),(11 8528691),(12 9454508),(13 10412235),(14 11324301),(15 11991291),(16 12629123),(17 13236179),(18 13854272),(19 14420005),(20 14823036),(21 15261256),(22 15627435),(23 15709832),(24 15701704),(25 15633560),(26 15628277),(27 15687955),(28 15942365),(29 16379875),(30 17101696),(31 17923294),(32 18790328),(33 19381064),(34 19784264),(35 20170422),(36 20513216),(37 20707066),(38 20883256),(39 21300574),(40 21838496),(41 22642042),(42 23507760),(43 24391958),(44 25365534),(45 26340842),(46 27074362),(47 27673930),(48 27977994),(49 27876198),(50 27612822),(51 27383818),(52 27150726),(53 26992470),(54 26875144),(55 26871834),(56 27006402),(57 27394352),(58 27822848),(59 28306282),(60 28745554),(61 29114554),(62 29454474),(63 29795184),(64 29897630),(65 29971096),(66 29975090),(67 29858208),(68 29891606),(69 29818302),(70 29835526),(71 29963962),(72 30234306),(73 30643246),(74 31080814),(75 31560970),(76 32235830),(77 32982754),(78 33548784),(79 33895852),
(1 65649.82),(2 154231.02),(3 201028.33),(4 210909.6),(5 212259.63),(6 214049.97),(7 217141.97),(8 215722.48),(9 214265.6),(10 211959.78),(11 209612.33),(12 208883.81),(13 210523.83),(14 211743.95),(15 211950.05),(16 211673.56),(17 216952.42),(18 223715.69),(19 225946.3),(20 225223.75),(21 225201.63),(22 227097),(23 227307.97),(24 224651.25),(25 218834.97),(26 215446.69),(27 220469.89),(28 224228.45),(29 225384.45),(30 221421.13),(31 221150.47),(32 230945.73),(33 233149.25),(34 228625.17),(35 227370.19),(36 223881),(37 221633.31),(38 220379.64),(39 218103.61),(40 221936.47),(41 229008.23),(42 230896.33),(43 224331.08),(44 214124.36),(45 209891.81),(46 214650.9),(47 221799.42),(48 221543.52),(49 216971.78),(50 213923.75),(51 216887.94),(52 225123.02),(53 233172.77),(54 236138.67),(55 238466.33),(56 237099.48),(57 231189.33),(58 225403.66),(59 221648.58),(60 220088.94),(61 221459.27),(62 225213.44),(63 225244.27),(64 225796.11),(65 226300.88),(66 229681.55),(67 233731.31),(68 230349.47),(69 226920.78),(70 228682.34),(71 229463.05),(72 233216.08),(73 232333.3),(74 226295.4),(75 221764.52),(76 223898),(77 228524.19),(78 232060.48),(79 231074.08),
(1 64343.242),(2 150417.33),(3 191445.6),(4 197333.16),(5 195335.45),(6 201272.42),(7 205409.36),(8 207067.4),(9 205553.78),(10 202902.27),(11 203071.69),(12 200936.63),(13 200010),(14 196802.7),(15 196642.33),(16 199127.64),(17 200326.13),(18 202810.36),(19 204935.22),(20 211459.14),(21 215334.34),(22 212434.34),(23 207858.58),(24 209676.36),(25 210988.86),(26 209432.2),(27 209387.92),(28 210115.44),(29 209293.67),(30 208956.44),(31 211699.72),(32 213380.36),(33 212088.89),(34 212280.06),(35 217259.66),(36 218754.45),(37 221556.39),(38 219762.48),(39 217328.77),(40 214993.75),(41 213210.31),(42 211807.94),(43 212274.45),(44 210544.63),(45 210400.56),(46 211945.73),(47 217757.22),(48 218999.98),(49 215129.38),(50 207231.64),(51 204492.61),(52 210514.78),(53 219387.97),(54 227072.95),(55 230039.36),(56 230718.83),(57 224551.23),(58 220957.6),(59 220307.33),(60 224631.66),(61 227898.75),(62 228112.13),(63 230093.6),(64 227363.45),(65 226999.83),(66 225153.8),(67 223124.64),(68 221312.28),(69 219564.13),(70 216963.27),(71 215131.6),(72 217220),(73 219900.56),(74 219182.4),(75 210505.6),(76 205446.08),(77 206702.48),(78 214822.45),(79 219619.64),
(1 60118.63),(2 138492.28),(3 177840.72),(4 187861.72),(5 192158),(6 193613.28),(7 194464.86),(8 191553.39),(9 190822.48),(10 191299.78),(11 195107.48),(12 195469.47),(13 193590.72),(14 189224.14),(15 187691.73),(16 188894.53),(17 186720.38),(18 184892.02),(19 189803.69),(20 196309.58),(21 199006.84),(22 194664.86),(23 191676.25),(24 194053.69),(25 192455.08),(26 191554.5),(27 194922.94),(28 195761.9),(29 196081.61),(30 195395.47),(31 196369.8),(32 199048.14),(33 198271.34),(34 199097.5),(35 201866.52),(36 199311.7),(37 198105.19),(38 200163.47),(39 202667.97),(40 201816.84),(41 202987.75),(42 204954.17),(43 203051.9),(44 202014.42),(45 202465.11),(46 205638.55),(47 207768.36),(48 205659.48),(49 203438.31),(50 199654.34),(51 199559.92),(52 204635.63),(53 210948.7),(54 215214.64),(55 212193.89),(56 206785.44),(57 207395.39),(58 209917.55),(59 210576.13),(60 211126.11),(61 213137.53),(62 214139.31),(63 215724.95),(64 213671.3),(65 210175.19),(66 204519.06),(67 202762.92),(68 201203.78),(69 200700.23),(70 201494.2),(71 205598.86),(72 205451.95),(73 209261.39),(74 212784.19),(75 213952.25),(76 212943.89),(77 208814.97),(78 205031.03),(79 205350.92),
(1 60286.652),(2 139285.05),(3 182155.88),(4 192948.38),(5 195141.52),(6 195955.38),(7 192051.1),(8 186178.42),(9 179903.89),(10 181483.19),(11 189529.06),(12 189653.34),(13 187739.53),(14 185610.72),(15 187333.83),(16 191076.64),(17 196845.97),(18 201934.6),(19 205647.33),(20 207153.7),(21 207097.69),(22 200639.34),(23 194661.86),(24 191320.25),(25 194403.23),(26 198313.1),(27 195564.56),(28 189759.45),(29 188835.7),(30 194162.63),(31 199201.06),(32 199437.72),(33 199528.92),(34 199747.4),(35 196932.66),(36 193994.69),(37 193171.92),(38 192713.72),(39 193818.8),(40 198800.56),(41 203012.45),(42 202288.06),(43 199437.05),(44 198826.8),(45 199631.3),(46 199574.42),(47 200445.92),(48 204321.11),(49 205570.47),(50 201309.7),(51 201883.92),(52 202157.38),(53 200994.3),(54 204146.81),(55 208228.19),(56 207478.61),(57 203200.56),(58 196427.86),(59 195400.33),(60 196895.44),(61 200830.64),(62 206213.89),(63 208215.5),(64 207488.47),(65 201975.34),(66 199194.4),(67 199292.39),(68 201294.42),(69 200759.78),(70 200819.1),(71 207200.02),(72 209467.64),(73 206202.89),(74 205273.25),(75 206690.92),(76 208967.9),(77 205318.56),(78 203540.19),(79 208556.28),
(1 59819.582),(2 137244.4),(3 171342.16),(4 177964),(5 178727.3),(6 180863.8),(7 178283.27),(8 178585.94),(9 176712.19),(10 176430.27),(11 176683.56),(12 179412.45),(13 181771.11),(14 183165.94),(15 182710.6),(16 182280.22),(17 181598.08),(18 182841.19),(19 183724.34),(20 191243.25),(21 200819.89),(22 202446.11),(23 195153.67),(24 193028.6),(25 192608.5),(26 191164),(27 186431.06),(28 181543.31),(29 182892.75),(30 187720.31),(31 194945.25),(32 199787.3),(33 204277.64),(34 205489.08),(35 198676.13),(36 196387.7),(37 196047.22),(38 195577.56),(39 194037.45),(40 193942.69),(41 194941.9),(42 195321.47),(43 194361.77),(44 192722.88),(45 191123.27),(46 192239.1),(47 191139.31),(48 192052.78),(49 194112.45),(50 192351.1),(51 189656.38),(52 191590.52),(53 192297.8),(54 192103.34),(55 190737.34),(56 188771.14),(57 190532.8),(58 190994.84),(59 188630.47),(60 190779.17),(61 193229.14),(62 192388.05),(63 189589.7),(64 189027.47),(65 189583.05),(66 190165.64),(67 195877.03),(68 203301.7),(69 203254.19),(70 199751.95),(71 196848.16),(72 196621.34),(73 194590.8),(74 192374.66),(75 192383.69),(76 191472.6),(77 192289.63),(78 192740.55),(79 193389.13),
(1 59711.035),(2 133123.3),(3 162241.73),(4 165496.25),(5 167837.22),(6 172422.81),(7 174559.08),(8 172740),(9 170523.42),(10 169143.28),(11 168244.97),(12 170381.47),(13 173185.64),(14 172803.67),(15 172580.9),(16 176195.33),(17 177647.52),(18 175483.56),(19 177801.42),(20 182491.67),(21 186952.69),(22 187112.31),(23 183339.53),(24 182873.39),(25 184226.47),(26 184721.06),(27 183899.9),(28 181095.52),(29 180200.81),(30 183790.97),(31 184311.89),(32 184891.7),(33 185569.48),(34 187593.13),(35 183729.47),(36 180954.94),(37 181315.19),(38 184431.63),(39 187342.86),(40 188487.36),(41 187042.81),(42 184651.48),(43 185000.86),(44 187197.97),(45 187587.77),(46 184975.94),(47 184575),(48 184695.73),(49 183856.34),(50 185018.4),(51 186832.95),(52 185588.5),(53 184375.66),(54 183028.34),(55 180917.14),(56 181847),(57 183663.14),(58 188892.56),(59 188147.16),(60 182617.48),(61 181415.77),(62 185183.45),(63 185882.95),(64 183195.1),(65 181638.14),(66 183438.14),(67 185569.58),(68 184909.84),(69 181841.9),(70 175870.95),(71 174532.1),(72 179114.7),(73 185477.16),(74 186552.3),(75 186405.44),(76 186802.4),(77 185179.73),(78 185843.86),(79 187472.5),
(1 55974.46),(2 126015.234),(3 153691),(4 153848.84),(5 157963.11),(6 164965.55),(7 165853.7),(8 158055.27),(9 152347.73),(10 155246.16),(11 158527.33),(12 154319.84),(13 150256.53),(14 152233.06),(15 155593.95),(16 159718.16),(17 161534.89),(18 162003.36),(19 163335.17),(20 163116.22),(21 163414.53),(22 166085.38),(23 168651.92),(24 169066.5),(25 168255.58),(26 169645.48),(27 168238.22),(28 169050.64),(29 170993.7),(30 172401.61),(31 172675.44),(32 173716.83),(33 175324.48),(34 174096.48),(35 174187.11),(36 171652.69),(37 172989.5),(38 175721.88),(39 176700.11),(40 176678.42),(41 176267.97),(42 173856.9),(43 171469.25),(44 168147.02),(45 166790.45),(46 169022.9),(47 172123.2),(48 178095.17),(49 177402.13),(50 173445.48),(51 174970.27),(52 172524.34),(53 167949.14),(54 163086.5),(55 164107.33),(56 170103.55),(57 174209.38),(58 176138.97),(59 176288.75),(60 176311.63),(61 173543.8),(62 172339.19),(63 173337.81),(64 175399.72),(65 178385.19),(66 177417.66),(67 180327.8),(68 179428.27),(69 178346.06),(70 179199.48),(71 177872.34),(72 177292.75),(73 175997.44),(74 174320.55),(75 178278.84),(76 182910.3),(77 185087.7),(78 179946.81),(79 173565.17),
(1 53526.77),(2 119235.55),(3 151186.88),(4 158302.61),(5 159281.27),(6 162842.38),(7 161485.9),(8 161537.61),(9 162949.47),(10 161242.56),(11 161168.9),(12 160136.58),(13 156889.14),(14 153596.64),(15 154041.58),(16 158576.03),(17 160917.95),(18 164781),(19 165861.67),(20 164228.97),(21 161330.7),(22 161048.92),(23 162112.23),(24 164564.1),(25 165485.36),(26 166360.78),(27 165778.6),(28 166145.48),(29 169066),(30 170890.56),(31 168565.55),(32 167107.63),(33 169734.31),(34 171238.9),(35 171127.73),(36 172871.19),(37 169665.3),(38 168928.86),(39 175092.86),(40 177895.13),(41 177033.36),(42 175941.25),(43 173769.27),(44 170980.1),(45 170406.3),(46 169921.58),(47 172609.53),(48 176998.9),(49 181384.39),(50 181033.55),(51 179774.67),(52 176057.92),(53 170492.52),(54 168038.84),(55 167625.36),(56 168394.1),(57 168720.55),(58 168469),(59 169050.34),(60 168231.98),(61 169920.69),(62 170897.45),(63 169887.89),(64 169321.48),(65 170550.4),(66 167291.8),(67 169315.22),(68 175849.92),(69 178103.69),(70 178313.88),(71 174264.11),(72 170449.73),(73 167391.11),(74 168676.1),(75 173114.78),(76 170426.58),(77 169273.06),(78 168840.95),(79 168349.55),
(1 56780.402),(2 125582.43),(3 156920.06),(4 165320.56),(5 170644.1),(6 171064.06),(7 167109.28),(8 162803.66),(9 162895.38),(10 162744.97),(11 161201.45),(12 161450.16),(13 164681.52),(14 162729.44),(15 162091.81),(16 166982.02),(17 169513.97),(18 168858.63),(19 164491.66),(20 163512.95),(21 165111.69),(22 165462.69),(23 162990.81),(24 160659.7),(25 162317.8),(26 162225.22),(27 162675.69),(28 167870.5),(29 175609.48),(30 178732.89),(31 173704.52),(32 172397.89),(33 172468.6),(34 169249.03),(35 165285.9),(36 164888.06),(37 165369.89),(38 167668.02),(39 173965.17),(40 174776.69),(41 174797.22),(42 174052.69),(43 173855.69),(44 173377.4),(45 173872.7),(46 173979.16),(47 172185.34),(48 170084.3),(49 171654.45),(50 173644.55),(51 174765.47),(52 175514.45),(53 172432.75),(54 165665.16),(55 162808.53),(56 162483.25),(57 161638.11),(58 163541.66),(59 168537.97),(60 172796.17),(61 173133.72),(62 170994.5),(63 169903.48),(64 171351.55),(65 175310.05),(66 172566.92),(67 168597.52),(68 167022.36),(69 167791.5),(70 168292.61),(71 167870.17),(72 168929.58),(73 165858),(74 164969.89),(75 170551.92),(76 171495.31),(77 169570.36),(78 172282),(79 170348.63),
(1 53824.9),(2 118604.68),(3 144007.66),(4 147718.56),(5 149548.55),(6 151355.36),(7 152423.88),(8 150704.83),(9 147520.7),(10 146754.75),(11 149345.16),(12 152096.36),(13 154560.97),(14 153817.94),(15 157628.1),(16 163218.75),(17 162043.8),(18 158710.03),(19 156288.83),(20 155270.63),(21 157767.7),(22 158309.75),(23 157381),(24 158928.9),(25 157421.89),(26 153920.39),(27 153843.19),(28 157954.03),(29 162241.27),(30 164254.1),(31 165407.72),(32 165493.58),(33 163981.86),(34 158934.17),(35 152161.19),(36 150697.47),(37 155494.45),(38 159105.9),(39 160219.8),(40 160076.44),(41 160948.08),(42 160005.7),(43 156681.78),(44 154145.73),(45 154037.64),(46 159204.3),(47 164562.75),(48 168908.63),(49 165415.45),(50 159854.34),(51 158583.03),(52 160536.47),(53 163379.94),(54 162649.38),(55 160644.14),(56 159680.61),(57 158252.27),(58 158476.17),(59 157961.63),(60 157088.2),(61 156502.7),(62 157200.98),(63 157206),(64 159257.95),(65 160205.34),(66 160674.67),(67 164023.22),(68 161182.52),(69 153856.63),(70 152747.28),(71 158526.3),(72 165044.06),(73 161739.8),(74 159798.92),(75 160910.45),(76 162479.38),(77 162399.45),(78 162174.03),(79 160862.5),
(1 54123.01),(2 120637.69),(3 146854),(4 150469.05),(5 148290.8),(6 149657.83),(7 153946.08),(8 153473.53),(9 149719.25),(10 149549.38),(11 152447.92),(12 150055.63),(13 145392.94),(14 146087.28),(15 149713.27),(16 150346.88),(17 152351.61),(18 151589.83),(19 151017.55),(20 148776.33),(21 145804.73),(22 146157.98),(23 148442.05),(24 148722.8),(25 145121.67),(26 147258.02),(27 152404.27),(28 156761.81),(29 158970.55),(30 162049.78),(31 163057.63),(32 165765.11),(33 165785.55),(34 162560.89),(35 158365.38),(36 156250.22),(37 155876.63),(38 160162.17),(39 162674.5),(40 162605.31),(41 163174.8),(42 158794.28),(43 154317.9),(44 154863.92),(45 160243.81),(46 164126.48),(47 167036.84),(48 169526.25),(49 165988.66),(50 162212.34),(51 160941.22),(52 164669.39),(53 167345.53),(54 164766.47),(55 159357),(56 157388),(57 156670.47),(58 156342.44),(59 152875),(60 148181.03),(61 147926.52),(62 148918.36),(63 152289.03),(64 159380.56),(65 161295.31),(66 161124.6),(67 159930.25),(68 158796.53),(69 157411.75),(70 157789.63),(71 158658.05),(72 160874.52),(73 158553.66),(74 155194.06),(75 156476.67),(76 161926.94),(77 163254.53),(78 164423.9),(79 164497.73),
(1 49326.82),(2 109233.81),(3 136525.61),(4 143494.55),(5 147159.56),(6 145118.7),(7 142605.53),(8 141350.13),(9 143967.6),(10 149027.42),(11 150520.4),(12 148582.77),(13 148339.28),(14 146898.42),(15 145711.89),(16 143711.94),(17 140482.48),(18 140487.66),(19 144043.23),(20 144389.44),(21 140556.7),(22 140118.17),(23 137547.14),(24 138198.98),(25 139146.92),(26 138210.02),(27 138990.84),(28 143451.89),(29 149407.22),(30 152578.56),(31 153372.7),(32 154774.55),(33 152250.17),(34 149645.33),(35 148242.75),(36 145889.44),(37 146249.11),(38 148359.23),(39 149045.72),(40 150225.67),(41 150364.2),(42 147732.11),(43 144762.52),(44 146403.66),(45 151994.14),(46 154754.42),(47 156480.92),(48 154683.48),(49 154345.05),(50 152429.56),(51 151517.28),(52 150675.58),(53 148323.83),(54 148694.94),(55 149752.4),(56 149699.33),(57 150619.05),(58 145405.94),(59 140937.81),(60 139536.34),(61 139449.84),(62 139617.22),(63 140982.64),(64 143464.27),(65 148574.45),(66 151315.94),(67 150046.5),(68 148874.72),(69 149523.88),(70 150832.66),(71 148859.83),(72 149339.28),(73 152413.44),(74 153384.64),(75 153901.98),(76 152813.47),(77 153635.58),(78 153501.02),(79 151721.36),
(1 52472.96),(2 113619.47),(3 140527.23),(4 143566.89),(5 139594.77),(6 138402.44),(7 140311.98),(8 142227.5),(9 146613.88),(10 150181.89),(11 151872.98),(12 151948.84),(13 153297.6),(14 146968.13),(15 139986.16),(16 140076.47),(17 140459.83),(18 144172.9),(19 143316.1),(20 138682.39),(21 133686.73),(22 133051.14),(23 135745.06),(24 138872.83),(25 139669.64),(26 141740.5),(27 146995.89),(28 153720.98),(29 155347.22),(30 152841.64),(31 154590.53),(32 154982.31),(33 152314.03),(34 150799.08),(35 148375.61),(36 146623.73),(37 147763.38),(38 149918.17),(39 149949.23),(40 150800.58),(41 153644.42),(42 155355.78),(43 153265.39),(44 152201.16),(45 150985.17),(46 152296.28),(47 153410.81),(48 152623.05),(49 152026.38),(50 153562.69),(51 154639.98),(52 154087.14),(53 152076.7),(54 154165.72),(55 154865.34),(56 152721.75),(57 151207.86),(58 148399.31),(59 142939.23),(60 139310.38),(61 139961.48),(62 141942.33),(63 142673.89),(64 141623.56),(65 142295.72),(66 146940.19),(67 148357.7),(68 147090.94),(69 143478.58),(70 144876.94),(71 145789.77),(72 144066.98),(73 148081.42),(74 150409),(75 150645.44),(76 149258.06),(77 150479.19),(78 153625.48),(79 152022.89),
(1 52461.906),(2 112744.445),(3 134416.28),(4 136492.9),(5 132472.94),(6 131388.05),(7 131651.06),(8 133054.6),(9 136021.3),(10 138145.28),(11 142104.89),(12 142977.69),(13 137835.06),(14 134177.64),(15 134440.8),(16 132329.95),(17 131294.66),(18 133192.03),(19 130730.87),(20 127920.09),(21 125950.4),(22 125443.555),(23 128597.82),(24 132243.89),(25 134912.8),(26 137360.78),(27 138459.67),(28 140428.58),(29 144023.88),(30 145538.36),(31 147428.45),(32 147028.44),(33 146266.39),(34 143280.89),(35 137571.4),(36 134466),(37 136854.47),(38 140846.89),(39 143927.86),(40 144761.28),(41 146093.03),(42 146796.36),(43 147461.55),(44 144289.14),(45 142793.31),(46 144803.11),(47 145289.11),(48 141219.58),(49 138527.75),(50 139399.89),(51 140352.97),(52 142545.61),(53 145433.9),(54 146524.1),(55 146808.4),(56 149228.8),(57 146152.06),(58 143494.78),(59 142114.39),(60 141964.16),(61 141525.64),(62 140719.84),(63 139457.92),(64 139470.17),(65 141850.31),(66 141700.19),(67 141820.02),(68 142348.89),(69 142045.19),(70 143211.73),(71 144301.88),(72 146684.4),(73 143658.8),(74 144380.2),(75 147332.33),(76 146837.42),(77 146564.39),(78 146295.38),(79 144923.63),
(1 49504.266),(2 103878.91),(3 122418.54),(4 121292.914),(5 121186.055),(6 123993.086),(7 124486.09),(8 124562.85),(9 125082.72),(10 126544.26),(11 128117.29),(12 125884.43),(13 124117.13),(14 123431.86),(15 127046.984),(16 128245.19),(17 127702.4),(18 126593.78),(19 124161.15),(20 122340.945),(21 122715.2),(22 123093.88),(23 128969.42),(24 132009.19),(25 131565.86),(26 127876.46),(27 125280.43),(28 129028.16),(29 131729.14),(30 132311.14),(31 133500.56),(32 131519.81),(33 130580.58),(34 129321.984),(35 129838.27),(36 131312.39),(37 131895.5),(38 133777.5),(39 136415.22),(40 136311.97),(41 137211.77),(42 137416.73),(43 136310.92),(44 133858.66),(45 133537.5),(46 134780.6),(47 134742.98),(48 131915.08),(49 129457.23),(50 128883.17),(51 129242.055),(52 128165.9),(53 126222.79),(54 127310.57),(55 130412.93),(56 132993.47),(57 130494.016),(58 127772.3),(59 126572.2),(60 125942.93),(61 125922.914),(62 124312.016),(63 121323.21),(64 121946.71),(65 124542.63),(66 127647.72),(67 126393.24),(68 123822.46),(69 124554.61),(70 127895.56),(71 128547.25),(72 129010.79),(73 130744.95),(74 132826.33),(75 135212.88),(76 132966.36),(77 132061.36),(78 131956.45),(79 132934.92),
(1 47521.98),(2 101538.64),(3 120191.07),(4 118337.51),(5 120186.164),(6 126943.37),(7 126638.164),(8 121747.055),(9 119200.56),(10 120525.96),(11 122509.49),(12 122155.31),(13 123975.125),(14 122686.58),(15 120195.85),(16 120673.305),(17 123498.78),(18 126994.85),(19 126726.51),(20 125693.29),(21 127392.48),(22 126550.55),(23 124057.67),(24 122742.805),(25 124088.04),(26 124616.55),(27 125392.945),(28 127251.04),(29 126076.016),(30 123119.73),(31 122170.69),(32 122945.875),(33 124406.09),(34 125004.984),(35 124589.73),(36 122781.234),(37 124415.14),(38 129026.945),(39 133442.64),(40 136228.48),(41 137605.81),(42 136897.44),(43 134796.69),(44 130280.8),(45 128007.31),(46 127566.766),(47 130564.6),(48 128265.086),(49 124808.97),(50 124783.82),(51 126762.086),(52 126816.85),(53 125308.67),(54 125671.22),(55 128298.04),(56 128680.586),(57 130382.42),(58 129709.44),(59 126724.58),(60 125050.66),(61 122707.04),(62 121525.37),(63 123441.27),(64 126305.62),(65 129107.96),(66 129209.66),(67 125871.29),(68 121672.71),(69 120551.25),(70 120504.03),(71 121743),(72 124444.66),(73 127885.14),(74 128657.945),(75 130315.69),(76 131522.55),(77 131351.92),(78 128843.8),(79 127061.33),
(1 46955.066),(2 96543.14),(3 115559.766),(4 116878.234),(5 115669.96),(6 118156.586),(7 118424.66),(8 116803.19),(9 116827.54),(10 118811.71),(11 118212.586),(12 120009.15),(13 123215.98),(14 123096.31),(15 119916.12),(16 119249.83),(17 121842.33),(18 121659.36),(19 119552.66),(20 120276.52),(21 120240.16),(22 118986.62),(23 122861.4),(24 124520.76),(25 124396.34),(26 123593.18),(27 122448.34),(28 121186.664),(29 119763.28),(30 119651.086),(31 119843.086),(32 122933.38),(33 125026.21),(34 123222.39),(35 123071.71),(36 125173.305),(37 127382.836),(38 127766.82),(39 127982.484),(40 129676.77),(41 130424.7),(42 130217.02),(43 127578.836),(44 124282.43),(45 124950.38),(46 125327.164),(47 126837.78),(48 125546.43),(49 125181.2),(50 127488.81),(51 125244.9),(52 120020.836),(53 119644.99),(54 122390.875),(55 124012.27),(56 125829.1),(57 124363.63),(58 121850.1),(59 119588.38),(60 119668.195),(61 118854.625),(62 118772.86),(63 121476.72),(64 124970.664),(65 128386.02),(66 127462.41),(67 123547.164),(68 120883.03),(69 121958.95),(70 124232.58),(71 124228.85),(72 124147.71),(73 122911.91),(74 121520.836),(75 121935.984),(76 126051.7),(77 129588),(78 132070.7),(79 132776.69),
(1 43900.35),(2 90580.03),(3 109053.24),(4 113374.91),(5 115971.11),(6 115508.74),(7 116344.66),(8 113948),(9 112517.65),(10 113630.93),(11 115112.95),(12 115746.266),(13 115981.59),(14 115717.445),(15 116827.484),(16 116678.125),(17 116898.375),(18 117174.33),(19 117096.2),(20 113993.4),(21 112567.86),(22 115467.09),(23 118752.74),(24 117830.78),(25 117350.62),(26 118127.57),(27 121055.21),(28 121066.41),(29 117432.414),(30 116601.52),(31 118866.016),(32 120125.09),(33 120858.27),(34 117425.37),(35 115609.92),(36 117715.625),(37 121804.49),(38 123249.26),(39 122389.16),(40 122740.82),(41 123957.32),(42 125808.47),(43 123993.484),(44 122341.03),(45 124268.305),(46 126774.73),(47 128946.06),(48 125500.49),(49 124381.08),(50 125404.45),(51 127866.54),(52 127252.58),(53 124552.31),(54 124823.03),(55 125576.91),(56 126689.625),(57 125695.695),(58 123893.61),(59 123139.36),(60 122749.15),(61 124197.65),(62 125077.28),(63 125579.12),(64 124619.984),(65 127302.305),(66 127055.71),(67 126879.85),(68 124447.69),(69 122230.64),(70 121719.484),(71 120025.13),(72 119471.17),(73 118846.08),(74 120786.04),(75 121513.44),(76 121630.66),(77 121160.72),(78 123083.28),(79 125326.266),
