1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59226.395),(2 83237.734),(3 196077.77),(4 272423.97),(5 396472.38),(6 493458.75),(7 627808.94),(8 751736.2),(9 894881.2),(10 1041486.8),(11 1206857.4),(12 1389469.6),(13 1581972),(14 1780224.9),(15 1991879.4),(16 2218068),(17 2430253.3),(18 2667893.8),(19 2894398.3),(20 3123809.8),(21 3358099.8),(22 3596132.8),(23 3838154.8),(24 4073779.3),(25 4309484),(26 4561691),(27 4814727.5),(28 5089818),(29 5380584),(30 5693463.5),(31 6049341.5),(32 6435304),(33 6835269.5),(34 7264499.5),(35 7717470),(36 8128674.5),(37 8526569),(38 8895612),(39 9207722),(40 9581803),(41 9938000),(42 10326504),(43 10700145),(44 11118923),(45 11551663),(46 12116312),(47 12605713),(48 13169005),(49 13693857),(50 14248869),(51 14748007),(52 15215896),(53 15578781),(54 15921837),(55 16164896),(56 16438051),(57 16762893),(58 17092018),(59 17436006),(60 17828254),(61 18258194),(62 18695842),(63 19134890),(64 19559092),(65 19987466),(66 20412732),(67 20800344),(68 21218506),(69 21573024),(70 21982746),(71 22376262),(72 22773208),(73 23135864),(74 23534608),(75 23916406),(76 24362142),(77 24770346),(78 25165856),(79 25524630),
(1 9204.388),(2 18574.973),(3 22286.781),(4 23238.137),(5 25329.38),(6 27038.273),(7 28873.576),(8 29695.72),(9 30986.53),(10 32708.533),(11 34866.086),(12 36878.492),(13 38640.73),(14 40458.64),(15 41977.457),(16 43302.977),(17 44779.094),(18 46025),(19 47444.934),(20 48855.46),(21 50108.047),(22 51236.11),(23 52319.453),(24 53559.66),(25 54300.055),(26 54917.75),(27 55742.668),(28 56624.332),(29 57671.33),(30 57890.043),(31 58149.387),(32 58331.332),(33 58519.848),(34 58165.824),(35 57403.207),(36 56441.066),(37 55634.793),(38 54394.184),(39 52879.44),(40 50784.426),(41 49194.516),(42 47405.973),(43 45836.44),(44 44643.51),(45 43409.797),(46 42331.797),(47 40906.875),(48 39990.906),(49 39059.008),(50 38112.797),(51 37547.016),(52 37338.05),(53 37417.77),(54 37280.023),(55 37947.008),(56 38142.574),(57 38974.848),(58 39257.84),(59 40150.57),(60 40612.535),(61 42271.52),(62 42962.97),(63 44281.367),(64 45136.695),(65 46846.95),(66 47763.656),(67 48978.004),(68 49328.77),(69 50479.94),(70 50840.324),(71 51768.684),(72 52053.484),(73 53121.098),(74 53580.92),(75 54538.004),(76 54457.477),(77 54926.25),(78 54719.46),(79 55126.633),
(1 9178.035),(2 18352.021),(3 22172.635),(4 22919.209),(5 24656.045),(6 25779.326),(7 27270.83),(8 28183.328),(9 29085.223),(10 30681.363),(11 32866.99),(12 35009.676),(13 36978.3),(14 38777.926),(15 40398.926),(16 41613.273),(17 43170.445),(18 44577.82),(19 45960.316),(20 47286.59),(21 48791.645),(22 49984.797),(23 50816.676),(24 52028.063),(25 53045),(26 53729.113),(27 54501.234),(28 55221.734),(29 56036.023),(30 56175.926),(31 56725.52),(32 56766.53),(33 56544.133),(34 55934.04),(35 55158),(36 53960.848),(37 52506.895),(38 51031.355),(39 49834.668),(40 48206.98),(41 47111.32),(42 45535.594),(43 44017.742),(44 42761.895),(45 41603.473),(46 40490.21),(47 39300.105),(48 38860.496),(49 38177.76),(50 37772.305),(51 37802.902),(52 37668),(53 37645.414),(54 37706.242),(55 38281.33),(56 38655.3),(57 39450.434),(58 40001.973),(59 41095.73),(60 41641.87),(61 42986.32),(62 43188.707),(63 44185.508),(64 44744.516),(65 46301.152),(66 46945.59),(67 48048.246),(68 48313.574),(69 49341.754),(70 49642.082),(71 50168.86),(72 50126.574),(73 51015.086),(74 50856.34),(75 51519.996),(76 50956.63),(77 51022.3),(78 50201.344),(79 50233.72),
(1 9290.311),(2 18354.291),(3 21753.994),(4 22635.293),(5 24824.521),(6 26541.941),(7 28411.895),(8 29320.396),(9 30500.998),(10 32140.813),(11 34471.574),(12 36817.402),(13 38991.824),(14 40695.95),(15 42141.28),(16 43139.977),(17 44070.04),(18 45200.51),(19 46290.875),(20 47386.61),(21 48601.51),(22 49663.074),(23 50621.25),(24 52114.094),(25 53253.645),(26 54304.75),(27 55447.063),(28 56153.38),(29 56767.203),(30 57205.33),(31 57466.637),(32 57404.02),(33 56893.55),(34 55625.08),(35 54453.098),(36 53142.855),(37 51904.207),(38 50304.45),(39 48962.492),(40 47486.59),(41 46245.27),(42 44634.832),(43 43302.62),(44 42184.477),(45 41018.773),(46 39945.06),(47 38861.79),(48 38359.75),(49 37761.996),(50 37291.97),(51 37330.066),(52 37089.08),(53 37146.168),(54 37157.383),(55 37844.61),(56 38320.35),(57 39468.234),(58 39916.188),(59 41494.883),(60 42188.55),(61 43400.035),(62 43550.26),(63 44915.145),(64 45256.863),(65 46598.453),(66 46809.23),(67 47921.89),(68 48001.043),(69 48832.484),(70 48648.836),(71 49726.492),(72 49917.3),(73 50699.277),(74 50612.773),(75 51473.62),(76 51190.39),(77 51490.96),(78 51091.99),(79 50991.785),
(1 8855.34),(2 17363.063),(3 20229.672),(4 20914.08),(5 23185.244),(6 25206.336),(7 27288.867),(8 28216.197),(9 29832.576),(10 31599.736),(11 33743.51),(12 35760.188),(13 37537.95),(14 39359.84),(15 40938.25),(16 41894.082),(17 43546.09),(18 45016.844),(19 46070.69),(20 47673.61),(21 49220.52),(22 50516.82),(23 51746.523),(24 52928.52),(25 54114.77),(26 55069.754),(27 56005.176),(28 56684.97),(29 57517.363),(30 58095.223),(31 58199.383),(32 57876.66),(33 57344.34),(34 56199.99),(35 55077.26),(36 53871.777),(37 52428.07),(38 50549.633),(39 48893.855),(40 47275.25),(41 45891.82),(42 43876.63),(43 42117.676),(44 40731.355),(45 39541.52),(46 38367.76),(47 37466.027),(48 37078.836),(49 36729.367),(50 36454.574),(51 36411.617),(52 36365.38),(53 36973.05),(54 37124.785),(55 37955.465),(56 38520.688),(57 40258.84),(58 41273.125),(59 42954.113),(60 43765.46),(61 45591.523),(62 45799.813),(63 47148.332),(64 47838.426),(65 49101.336),(66 49283.645),(67 50391.676),(68 50273.313),(69 51582.668),(70 51754.637),(71 52870.336),(72 52799.574),(73 53480.297),(74 53124.164),(75 53801.09),(76 53199.74),(77 53564.867),(78 52806.43),(79 52753.633),
(1 8450.428),(2 16573.238),(3 19557.334),(4 20497.3),(5 22603.842),(6 24345.066),(7 26474.041),(8 27246.828),(9 28530.322),(10 30150.896),(11 31934.027),(12 33616.89),(13 34865.977),(14 36268.914),(15 37577.59),(16 38488.7),(17 39615.09),(18 40860.25),(19 42236.383),(20 43603.324),(21 44807.77),(22 45711.297),(23 46927.13),(24 48074.543),(25 49179.504),(26 50038.94),(27 50730.16),(28 51390.234),(29 51735.176),(30 52016.77),(31 51869.92),(32 51609.523),(33 51398.992),(34 50435.8),(35 49578.87),(36 48772.625),(37 47683.11),(38 46190.973),(39 44883.508),(40 43235.375),(41 41839.69),(42 40188.25),(43 39082.38),(44 38224.324),(45 37090.152),(46 36372.285),(47 35484.016),(48 35275.805),(49 34982.69),(50 34940.074),(51 35050.88),(52 35043.53),(53 35579.195),(54 35624.727),(55 36280.883),(56 36521.555),(57 37717.223),(58 38339.89),(59 39784.453),(60 40552.594),(61 42319.457),(62 42628.05),(63 43944.52),(64 44344.56),(65 45614.2),(66 45763.23),(67 46744.43),(68 46841.89),(69 47941.695),(70 47735.652),(71 48527.125),(72 48457.184),(73 49404.965),(74 49200.17),(75 49598.34),(76 48998.285),(77 49238.383),(78 48951.78),(79 49271.94),
(1 8537.205),(2 16543.717),(3 19414.652),(4 20088.28),(5 21948.12),(6 23511.234),(7 25453.727),(8 26387.799),(9 27703.662),(10 29144.465),(11 31057.648),(12 32741.566),(13 34233.582),(14 35929.293),(15 37022.074),(16 38225.066),(17 39817.656),(18 40901.785),(19 42285.855),(20 43639.754),(21 44792.965),(22 45822.94),(23 47233.594),(24 48196.977),(25 48825.992),(26 49296.32),(27 49502.9),(28 49811.26),(29 50346.516),(30 50657.98),(31 50649.563),(32 50604.984),(33 50413.45),(34 49533.242),(35 48455.383),(36 47062.973),(37 45927.707),(38 44448.645),(39 43409.76),(40 42035.52),(41 40822.867),(42 39127.113),(43 37829.36),(44 36952.18),(45 36124.273),(46 35220.453),(47 34312.195),(48 34065.195),(49 33966.42),(50 33645.188),(51 33774.527),(52 33794.42),(53 34123.832),(54 34287.293),(55 35331.676),(56 36115.73),(57 37300.867),(58 37721.92),(59 38896.81),(60 39484.25),(61 40838.266),(62 41015.06),(63 42324.69),(64 42947.184),(65 44244.055),(66 44882.16),(67 45542.52),(68 45539.57),(69 46374.168),(70 46855.38),(71 47851.35),(72 47962.926),(73 48542.37),(74 48359.043),(75 48962.523),(76 48571.33),(77 48476.6),(78 47831.355),(79 47371.82),
(1 8260.933),(2 15848.422),(3 18761.713),(4 19799.81),(5 21518.348),(6 23036.254),(7 24861.783),(8 25496.676),(9 26511.906),(10 27935.262),(11 29686.232),(12 31444.627),(13 32771.074),(14 34020.594),(15 35260.508),(16 36115.574),(17 37220.836),(18 38051.293),(19 39457.7),(20 40905.973),(21 41879.207),(22 42593.16),(23 43137.746),(24 43769.17),(25 44572.645),(26 45274.633),(27 45872.906),(28 46233.793),(29 46779.934),(30 47169.586),(31 47199.355),(32 46870.48),(33 46570.07),(34 45822.508),(35 44985.684),(36 43671.47),(37 42509.973),(38 40866.965),(39 39862.97),(40 38433.688),(41 37145.855),(42 35519.47),(43 34543.332),(44 33867.336),(45 32977.094),(46 32379.54),(47 31439.94),(48 30988.744),(49 30722.393),(50 30613.742),(51 30958.107),(52 31183.457),(53 31682.717),(54 31972.549),(55 32751.38),(56 33047.223),(57 34499.414),(58 35125.465),(59 36211.773),(60 36790.234),(61 38343.953),(62 38755.25),(63 40067.26),(64 40575.97),(65 41959.625),(66 42389.086),(67 43423.49),(68 43396.266),(69 44144.33),(70 44270.34),(71 45164.668),(72 45170.176),(73 45770.285),(74 45301.9),(75 45748.613),(76 45095.914),(77 45045.59),(78 44140.87),(79 43893.344),
(1 8520.993),(2 16572.455),(3 19599.51),(4 20641.904),(5 22860.93),(6 24541.287),(7 26185.99),(8 27054.467),(9 28452.1),(10 30047.24),(11 32374.477),(12 34068.043),(13 35807.53),(14 37542.27),(15 38515.19),(16 39412.45),(17 40583.14),(18 41636.918),(19 42785.434),(20 44075.86),(21 45047.305),(22 45914.695),(23 46829.77),(24 47619.355),(25 48141.215),(26 48503.832),(27 49351.082),(28 50204.48),(29 51258.766),(30 51291.87),(31 51243.895),(32 50982.56),(33 50454.523),(34 49343.94),(35 48157.05),(36 46605.45),(37 45214.273),(38 43485.008),(39 42377.305),(40 40966),(41 39631.668),(42 38109.117),(43 36888.6),(44 36018.758),(45 35014.703),(46 34321.99),(47 33637.773),(48 33426.44),(49 33242.35),(50 33189.273),(51 33481.61),(52 33875.72),(53 34352.33),(54 34923.957),(55 35839.742),(56 36616.84),(57 37724.285),(58 38336.434),(59 39677.008),(60 40301.742),(61 41704.62),(62 42156.176),(63 43691.1),(64 44221.977),(65 45522.832),(66 45710.17),(67 46470.33),(68 46431.984),(69 46928.73),(70 46663.598),(71 46890.59),(72 46615.043),(73 47076.53),(74 46643.69),(75 46608.37),(76 45861.87),(77 45849.047),(78 44921.34),(79 44205.66),
(1 7836.318),(2 15137.013),(3 18202.934),(4 19385.447),(5 21207.855),(6 22754.635),(7 24272.607),(8 24959.748),(9 26284.104),(10 27623.14),(11 29601.156),(12 31502.514),(13 33240.7),(14 34805.4),(15 35706.52),(16 36616.945),(17 38220.957),(18 39273.887),(19 40250.44),(20 41392.227),(21 42066.156),(22 42564.527),(23 43405.156),(24 44384.773),(25 45440.79),(26 46426.777),(27 46977.06),(28 47207.08),(29 47638.402),(30 47587.164),(31 47596.777),(32 47450.336),(33 46830.438),(34 45699.67),(35 44859.406),(36 43720.008),(37 42857.504),(38 41523.52),(39 40575.887),(40 39227.844),(41 38069.375),(42 36695.836),(43 35761),(44 34988.395),(45 34104.83),(46 33308.836),(47 32648.016),(48 32515.332),(49 32667.447),(50 32804.42),(51 33063.313),(52 33160.668),(53 33464.145),(54 33842.707),(55 34715.89),(56 35015.547),(57 36234.133),(58 36699.67),(59 37795.11),(60 38420.3),(61 40003.715),(62 40382.402),(63 41437.043),(64 41533.445),(65 42503.563),(66 42458.883),(67 43422.496),(68 43449.867),(69 44189.34),(70 44095.656),(71 44487.1),(72 44239.855),(73 44435.457),(74 43972.324),(75 44121.79),(76 43619.156),(77 43030.035),(78 42016.375),(79 41734.12),
(1 7455.67),(2 14364.547),(3 17292.814),(4 18354.709),(5 19999.379),(6 21217.766),(7 22734.684),(8 23507.955),(9 24738.225),(10 26004.785),(11 27704.762),(12 29059.36),(13 30488.004),(14 31918.863),(15 33016.69),(16 33999.766),(17 35003.227),(18 36060.586),(19 36925.527),(20 37923.168),(21 38800.793),(22 39682.38),(23 40203.375),(24 40894.316),(25 41607.535),(26 42235.13),(27 42647.902),(28 43125.98),(29 43649.46),(30 43746.41),(31 43850.914),(32 43801.332),(33 43452.227),(34 42869.977),(35 42402.84),(36 41881.496),(37 41221.766),(38 40278.484),(39 39671.676),(40 38822.535),(41 37828.863),(42 36678.063),(43 35768.027),(44 35130.848),(45 34301.465),(46 33668.43),(47 33163.727),(48 33035.79),(49 33157.047),(50 32862.332),(51 32747.406),(52 32623.488),(53 33075.543),(54 33310.03),(55 33935.008),(56 34154.414),(57 35468.848),(58 35881.453),(59 36952.707),(60 37209.32),(61 38367.152),(62 38900.844),(63 40204.75),(64 40472.516),(65 41667.953),(66 41622.406),(67 42076.297),(68 41819.426),(69 42413.938),(70 42014.355),(71 42290.832),(72 41886.086),(73 42200.367),(74 41939.29),(75 42506.848),(76 41953.26),(77 42125.234),(78 41368.152),(79 41350.49),
(1 7555.1016),(2 14380.931),(3 17192.34),(4 18170.268),(5 19871.855),(6 21249.34),(7 22788.012),(8 23803.07),(9 24962.912),(10 26185.656),(11 27939.846),(12 29498.744),(13 30864.383),(14 32250.186),(15 33175.82),(16 33916.59),(17 34821.434),(18 35872.21),(19 36770.176),(20 37715.2),(21 38525.434),(22 39345.965),(23 40125.27),(24 40869.164),(25 41638.504),(26 42150.445),(27 42541.117),(28 42791.26),(29 43114.613),(30 43083.934),(31 43005.043),(32 42703),(33 42419.188),(34 41839.195),(35 40820.227),(36 39711.36),(37 38611.54),(38 37424.93),(39 36438.2),(40 35402.074),(41 34353.01),(42 33140.125),(43 32277.705),(44 31584.201),(45 30900.783),(46 30274.418),(47 29834.607),(48 30010.705),(49 29984.902),(50 29939.807),(51 30461.73),(52 30987.566),(53 31824.281),(54 32156.08),(55 33112.445),(56 33820.664),(57 34779.22),(58 35037.33),(59 36224.08),(60 36630.75),(61 37583.445),(62 37675.324),(63 38787.273),(64 39287.344),(65 40543.152),(66 40416.953),(67 41166),(68 40938.2),(69 41312.758),(70 40959.86),(71 41509.66),(72 41062.613),(73 41417.75),(74 41010.21),(75 41429.387),(76 41048.617),(77 41206.074),(78 40129.746),(79 39688.215),
(1 7631.156),(2 14228.867),(3 16440.377),(4 17283.39),(5 19221.043),(6 20839.594),(7 22498.094),(8 23388.53),(9 24496.047),(10 25651.262),(11 27479.95),(12 29074.527),(13 30428.984),(14 31694.555),(15 32839.93),(16 33830.582),(17 34984.363),(18 36038.406),(19 36917.625),(20 37975.777),(21 38773.613),(22 39384.71),(23 39876.523),(24 40558.77),(25 41149.73),(26 41673.176),(27 41796.92),(28 41777.523),(29 41898.063),(30 41735.203),(31 41460.56),(32 41113.254),(33 40414.668),(34 39324.055),(35 38127.445),(36 36909.33),(37 35793.086),(38 34676.145),(39 33693.773),(40 32735.402),(41 31870.688),(42 30956.482),(43 30088.076),(44 29465.71),(45 28829.018),(46 28557.236),(47 28343.852),(48 28465.287),(49 28638.48),(50 28981.945),(51 29514.402),(52 30085.54),(53 30834.244),(54 31433.85),(55 32205.793),(56 32639.377),(57 33745.69),(58 34259.242),(59 35273.844),(60 35674.945),(61 36782.188),(62 37233.344),(63 38210.82),(64 38086.832),(65 38804.293),(66 38594.656),(67 39193.28),(68 38916.07),(69 39028.875),(70 38409.742),(71 38682.26),(72 38076.152),(73 38066.836),(74 37430.62),(75 37623.434),(76 37140.086),(77 37294.188),(78 36536.52),(79 36259.652),
(1 7491.451),(2 14292.331),(3 16806.771),(4 17363.865),(5 18846.29),(6 20067.377),(7 21515.863),(8 22370.074),(9 23634.465),(10 24966.443),(11 26771.92),(12 28581.05),(13 30225.752),(14 31557.004),(15 32685.186),(16 33798.508),(17 35037.543),(18 36074.484),(19 37044.203),(20 38171.83),(21 39091.934),(22 39965.234),(23 40497.18),(24 41205.266),(25 42062.035),(26 42517.477),(27 42676.277),(28 42884.305),(29 42948.57),(30 42902.01),(31 42841.258),(32 42342.63),(33 41602),(34 40812.566),(35 39683.313),(36 38724.54),(37 37650.105),(38 36327.348),(39 35536.156),(40 34484.832),(41 33284.17),(42 32177.098),(43 31357.096),(44 30753.223),(45 29847.023),(46 29049.682),(47 28552.74),(48 28572.424),(49 28588.148),(50 28695.182),(51 28949.596),(52 29260.17),(53 29732.3),(54 30063.889),(55 30804.348),(56 31193.277),(57 32206.441),(58 32779.902),(59 33709.453),(60 33835.336),(61 35016.09),(62 35521.78),(63 36820.38),(64 37165.75),(65 38389.723),(66 38772.53),(67 39675.332),(68 39545.836),(69 40074.617),(70 39642.566),(71 39980.457),(72 39578.902),(73 39849.594),(74 39225.21),(75 39493.926),(76 39109.633),(77 38998.086),(78 38126.75),(79 37789.586),
(1 7053.1),(2 13220.159),(3 15693.156),(4 16431.05),(5 17864.455),(6 18947.139),(7 20209.281),(8 20703.813),(9 21714.334),(10 22865.291),(11 24426.783),(12 25847.31),(13 27310.797),(14 28588.377),(15 29492.873),(16 30247.387),(17 31422.574),(18 32260.68),(19 33110.69),(20 34094.332),(21 34978.23),(22 35848.016),(23 36380.434),(24 37137.13),(25 37890.54),(26 38552.26),(27 39107.23),(28 39382.72),(29 39617.15),(30 39692.066),(31 39692.19),(32 39406.65),(33 38989.082),(34 38519.156),(35 37811.137),(36 37054.016),(37 36162.246),(38 34983.848),(39 34211.547),(40 33363.91),(41 32510.938),(42 31414.877),(43 30457.715),(44 29885.537),(45 29265.814),(46 28887.42),(47 28565.596),(48 28673.16),(49 28988.613),(50 29417.896),(51 29970.977),(52 30200.982),(53 30696.295),(54 31186.994),(55 31775.688),(56 32152.455),(57 33022.45),(58 33349.934),(59 34281.73),(60 34713.715),(61 35829.805),(62 35968.4),(63 36753.676),(64 36975.246),(65 37381.098),(66 37402.926),(67 37869.637),(68 37741.383),(69 38133.64),(70 37793.813),(71 38013.38),(72 37650.688),(73 38066.965),(74 37343.58),(75 37289.984),(76 36572.94),(77 36226.934),(78 35335.74),(79 34993.95),
(1 7006.341),(2 13007.175),(3 15008.894),(4 15435.387),(5 16930.475),(6 18120.656),(7 19178.922),(8 19549.021),(9 20377.852),(10 21353.924),(11 22785.71),(12 24005.299),(13 25315.393),(14 26642.557),(15 27570.703),(16 28589.64),(17 29540.268),(18 30203.395),(19 31097.309),(20 32411.057),(21 33346.266),(22 34420.42),(23 35037.914),(24 35579.64),(25 35911.547),(26 36067.668),(27 36514.504),(28 36910.363),(29 37256.63),(30 37436.215),(31 37411.277),(32 36797.574),(33 36494.504),(34 35972.61),(35 35229.887),(36 34556.793),(37 33821.02),(38 32712.268),(39 32254.516),(40 31280.207),(41 30201.549),(42 29376.014),(43 28698.945),(44 27990.127),(45 27374.322),(46 27168.701),(47 26946.553),(48 26921.75),(49 26670.607),(50 26841.283),(51 27304.174),(52 27550.895),(53 27695.318),(54 27948.877),(55 28627.998),(56 28951.879),(57 29700.107),(58 29958.055),(59 30836.477),(60 31259.658),(61 32272.418),(62 32286.025),(63 33341.707),(64 33547.76),(65 34314.688),(66 34149.96),(67 34526.594),(68 34240.86),(69 34712.043),(70 34485.54),(71 34643.086),(72 34138.71),(73 34293.277),(74 33877.758),(75 34073.26),(76 33371.375),(77 33142.973),(78 32367.988),(79 32041.568),
(1 6618.213),(2 12355.38),(3 14734.141),(4 15370.476),(5 16889.768),(6 18067.777),(7 19411.021),(8 19832.303),(9 20653.998),(10 21749.355),(11 23347.887),(12 24621.965),(13 25858.418),(14 26996.512),(15 28069.502),(16 29081.697),(17 30113.363),(18 30879.709),(19 31823.754),(20 32730.412),(21 33583.29),(22 34540.29),(23 35215.953),(24 36068.855),(25 36707.813),(26 37214.598),(27 37403.117),(28 37353.863),(29 37852.363),(30 38033.03),(31 38096.71),(32 37708.977),(33 37322.188),(34 36719.117),(35 36016.438),(36 35085.383),(37 34220.92),(38 33122.23),(39 32455.904),(40 31477.26),(41 30538.035),(42 29763.783),(43 28972.266),(44 28445.275),(45 27875.973),(46 27497.871),(47 26990.92),(48 27439.414),(49 27528.137),(50 27681.004),(51 28039.627),(52 28296.232),(53 28751.523),(54 29249.162),(55 29873.871),(56 30377.14),(57 31387.082),(58 31853.094),(59 32556.424),(60 33016.934),(61 33965.516),(62 34041.184),(63 34817.176),(64 34969.813),(65 35482.207),(66 35470.063),(67 35946.79),(68 35705.05),(69 35878.18),(70 35565.105),(71 35803.844),(72 35600.535),(73 35701.613),(74 35249.04),(75 35056.977),(76 34194.953),(77 33949.74),(78 33260.156),(79 33033.434),
(1 6580.7305),(2 12204.073),(3 14468.056),(4 15103.602),(5 16466.404),(6 17652.64),(7 18939.041),(8 19520.08),(9 20594.088),(10 21773.492),(11 23236.693),(12 24449.977),(13 25649.54),(14 26840.977),(15 27700.906),(16 28511.113),(17 29342.305),(18 30035.893),(19 30829.97),(20 31825.467),(21 32561.822),(22 33229.848),(23 33854.344),(24 34542.88),(25 35060.22),(26 35496.957),(27 35960.49),(28 36361.027),(29 36851.285),(30 37082.887),(31 37186.547),(32 36949.332),(33 36546.02),(34 36050.734),(35 35579.594),(36 34602.12),(37 33702.203),(38 32626.908),(39 31718.955),(40 30779.09),(41 30065.205),(42 29280.344),(43 28708.566),(44 28328.586),(45 27720.568),(46 27411.844),(47 27194.814),(48 27275.38),(49 27272.313),(50 27361.656),(51 27816.207),(52 28057.686),(53 28521.213),(54 28792.803),(55 29533.137),(56 29734.766),(57 30788.557),(58 31186.613),(59 32233.422),(60 32638.51),(61 33728.047),(62 33962.895),(63 34635.582),(64 34658.676),(65 35314.563),(66 35172.867),(67 35518.2),(68 35142.086),(69 35548.867),(70 35179.836),(71 35341.64),(72 34858.008),(73 35176.047),(74 34625.48),(75 34796.215),(76 33961.844),(77 33651.973),(78 32722.104),(79 32500.72),
(1 6035.1323),(2 11250.653),(3 13678.654),(4 14570.499),(5 15961.328),(6 17144.965),(7 18453.8),(8 19123.512),(9 20207.135),(10 21173.473),(11 22658.293),(12 23648.613),(13 24864.021),(14 25875.945),(15 26837.457),(16 27772.04),(17 28297.568),(18 28900.328),(19 29660.111),(20 30423.598),(21 31105.066),(22 31665.559),(23 32193.377),(24 33012.906),(25 33607.06),(26 33915.28),(27 34351.484),(28 34695.098),(29 35023.496),(30 34853.207),(31 34630.66),(32 33889.54),(33 33591.48),(34 33049.473),(35 32339.527),(36 31456.445),(37 30364.7),(38 29436.396),(39 28823.658),(40 28034.752),(41 27395.188),(42 26696.527),(43 26258.582),(44 26018.752),(45 25707.615),(46 25822.158),(47 25784.049),(48 25929.977),(49 25839.148),(50 26031.63),(51 26337.17),(52 26525.988),(53 27068.02),(54 27446.943),(55 28232.523),(56 28685.49),(57 29614.303),(58 30028.867),(59 30928.86),(60 31379.445),(61 32443.555),(62 32327.191),(63 33009.684),(64 33025.01),(65 33487.316),(66 33223.676),(67 33489.29),(68 33197.047),(69 33439.074),(70 33159.977),(71 33140.5),(72 32515.178),(73 32551.56),(74 31887.104),(75 31780.934),(76 30967.324),(77 30462.414),(78 29734.832),(79 29577.572),
