1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 76868.48),(2 94049.18),(3 59496.09),(4 155310.77),(5 189477.67),(6 177662.56),(7 288586.53),(8 335287.53),(9 333109.72),(10 447847),(11 516985.16),(12 523105.1),(13 637128.75),(14 733638),(15 754731.75),(16 895260.25),(17 1034139.2),(18 1060840.9),(19 1191611.5),(20 1342071),(21 1378674.9),(22 1520409),(23 1699419),(24 1739688.4),(25 1883056.4),(26 2050391),(27 2070666),(28 2165428.8),(29 2316615.5),(30 2386037),(31 2499383.8),(32 2661469.3),(33 2683064.8),(34 2794855.3),(35 2938288.3),(36 2954333),(37 3027799.8),(38 3174979),(39 3180323),(40 3280059.8),(41 3408339.3),(42 3422759.8),(43 3493558.8),(44 3590593),(45 3583102.8),(46 3633538),(47 3703838),(48 3664378.8),(49 3718100.8),(50 3791939.8),(51 3747732.3),(52 3788770),(53 3857529.3),(54 3825960.3),(55 3884529.8),(56 3976998.8),(57 3959526.3),(58 3985380.8),(59 4079953),(60 4089348.8),(61 4151066.8),(62 4240202.5),(63 4237106),(64 4321174.5),(65 4472502.5),(66 4542913.5),(67 4687810.5),(68 4954552.5),(69 5091730.5),(70 5292711.5),(71 5602012),(72 5747410),(73 5885100),(74 6171166.5),(75 6268314.5),(76 6463388.5),(77 6717905.5),(78 6844988),(79 7016463.5),
(1 14942.011),(2 52617.293),(3 104516.32),(4 162243.31),(5 219351.38),(6 272527.38),(7 319644.28),(8 358990.66),(9 391028.28),(10 419520.72),(11 445782.6),(12 469767),(13 490916.63),(14 509326.78),(15 523268.16),(16 529654.9),(17 531866),(18 529461.56),(19 520643.66),(20 508495.66),(21 492920.16),(22 479004.88),(23 469722.22),(24 461440.84),(25 454858.1),(26 452187.3),(27 452718.6),(28 453643.2),(29 454546.84),(30 458144.22),(31 462532.88),(32 467708.22),(33 472029.94),(34 475759.88),(35 479098.66),(36 481177.56),(37 481878.72),(38 482072.66),(39 484076.94),(40 489608.22),(41 496816.44),(42 502298.63),(43 506045.44),(44 507531.44),(45 505983.78),(46 502000.44),(47 497571.16),(48 493491),(49 490524.22),(50 489272.34),(51 488323.06),(52 486638.13),(53 483071.94),(54 477907.72),(55 471766.13),(56 466140.22),(57 460956.2),(58 455754.7),(59 452886.4),(60 451600.38),(61 452286.56),(62 450542.8),(63 447287.28),(64 442514.28),(65 436226.72),(66 430412.44),(67 428144.88),(68 430154.47),(69 438080.13),(70 451877.72),(71 470151.13),(72 488385.13),(73 505489.78),(74 519679.78),(75 530910.4),(76 539022.06),(77 542887.75),(78 544778),(79 545924.9),
(1 14921.942),(2 52061.887),(3 102116.836),(4 156737.47),(5 208687.55),(6 254753.66),(7 294642.06),(8 328175.66),(9 354898.97),(10 376993.63),(11 395661.9),(12 408991.28),(13 418079.13),(14 425165.63),(15 429377.06),(16 432041.63),(17 432798.7),(18 431255.2),(19 428198.06),(20 427212.28),(21 424840.72),(22 423687.8),(23 422936.13),(24 421696.38),(25 422951.2),(26 427517.28),(27 435025.13),(28 443198.56),(29 451313.22),(30 458676.3),(31 466400.1),(32 472065.38),(33 474627.72),(34 476838.2),(35 479031.2),(36 481102.16),(37 482743.13),(38 482708.2),(39 481868.72),(40 480837.1),(41 479428.63),(42 475471.56),(43 469152.47),(44 461887.56),(45 453048.22),(46 443632),(47 434891),(48 427847),(49 422562.6),(50 420725.6),(51 422497.22),(52 425451.06),(53 428291.7),(54 429092.06),(55 427924.7),(56 426224.75),(57 424682.56),(58 423211.94),(59 420335.25),(60 417761.03),(61 414747.94),(62 412942.84),(63 411236.3),(64 410906.38),(65 411350.2),(66 413945.72),(67 418854.56),(68 426192.03),(69 435523.78),(70 448341.94),(71 461662.84),(72 473101.22),(73 484661.56),(74 494464.94),(75 500779.8),(76 504120.47),(77 505035.25),(78 503923.8),(79 502080.2),
(1 13939.023),(2 47668.535),(3 91623.16),(4 138862.03),(5 184332.5),(6 224220.69),(7 257841.6),(8 284919.5),(9 305420.53),(10 320576.16),(11 333769),(12 346740.6),(13 359814.4),(14 373164.8),(15 385796.22),(16 396682.4),(17 405956.84),(18 411853.8),(19 415885.22),(20 419769.6),(21 423081.72),(22 427573.84),(23 431415.2),(24 434317.66),(25 434468),(26 431721.38),(27 428097.2),(28 422772.5),(29 417705.13),(30 413064.7),(31 410670.4),(32 410578.6),(33 411869.9),(34 414249.34),(35 418260.22),(36 423098.66),(37 427696.9),(38 430053),(39 432101.9),(40 434498.3),(41 436696.75),(42 439535.4),(43 441939.84),(44 444190.03),(45 444586.72),(46 444285.9),(47 444194.94),(48 443335.03),(49 443280.2),(50 443117.28),(51 443873.38),(52 444776.22),(53 444226.28),(54 441527.78),(55 438376.72),(56 434410.16),(57 432068.28),(58 429940.97),(59 428702.6),(60 427353.1),(61 426586.8),(62 429467.63),(63 432202.66),(64 437156.72),(65 442359.2),(66 449494.1),(67 458848.3),(68 467965.6),(69 476411.56),(70 483915.03),(71 489899.84),(72 492635.84),(73 491196.47),(74 487170.72),(75 480783.72),(76 470998.2),(77 461478.66),(78 452725),(79 445337.2),
(1 13226.606),(2 44671.945),(3 86564.57),(4 133435.69),(5 180241.47),(6 224741.16),(7 266012.63),(8 300529.34),(9 328106.53),(10 349800.25),(11 366851.56),(12 381781.13),(13 393930.38),(14 403266.56),(15 411034.38),(16 417407.8),(17 421421.72),(18 422494.44),(19 423085.4),(20 422616.94),(21 421349.88),(22 419918.4),(23 418007.75),(24 417692.88),(25 418499.56),(26 420541.16),(27 422199.3),(28 424235.4),(29 425605.3),(30 427453.47),(31 430775.2),(32 436275.7),(33 440853.4),(34 446624.38),(35 454835.56),(36 464157.1),(37 475348.28),(38 487014.8),(39 497814.5),(40 507462.75),(41 516762.6),(42 526436.06),(43 534869.4),(44 541693),(45 544267.8),(46 543447.4),(47 540614.5),(48 534116.75),(49 526169.6),(50 516050.88),(51 504819.47),(52 492860.22),(53 482641.3),(54 474103.63),(55 467671.34),(56 464917.3),(57 464128.16),(58 463804.8),(59 463157.72),(60 461921.03),(61 460150.5),(62 462571.47),(63 466285.7),(64 471971.56),(65 478861.7),(66 486291.13),(67 494564.53),(68 501886.9),(69 508346.16),(70 513658.8),(71 518861.7),(72 523240.3),(73 525234.4),(74 524851.06),(75 519475.03),(76 510217.47),(77 499569.9),(78 487986.5),(79 476964.97),
(1 14083.204),(2 47215.535),(3 90655.62),(4 137624.1),(5 183539.28),(6 224533.64),(7 260069.47),(8 289378.44),(9 312430),(10 332499.66),(11 350186.44),(12 364648.94),(13 377434.88),(14 389549.72),(15 400635.28),(16 407265.8),(17 409665.03),(18 407875.16),(19 404167.28),(20 398941.06),(21 392264.4),(22 385709.88),(23 378726.2),(24 371516.38),(25 365042.78),(26 359016.53),(27 354910.56),(28 351576.72),(29 349577.88),(30 349394.2),(31 350454.34),(32 354779.7),(33 360436.4),(34 368088.7),(35 375975.9),(36 383182.03),(37 388224.06),(38 392194.9),(39 394935.4),(40 396451.34),(41 397821.53),(42 396779.5),(43 394448.44),(44 393372.2),(45 393366.6),(46 392472.25),(47 390832.44),(48 390021.5),(49 390766.53),(50 390916.25),(51 390264.97),(52 389241.4),(53 389447.66),(54 390599.8),(55 394612.44),(56 400206.3),(57 406397.66),(58 411788.03),(59 418231.25),(60 423826.22),(61 430260.25),(62 438876.8),(63 445403.2),(64 451591.44),(65 455892.25),(66 461246.47),(67 469778.53),(68 477765.06),(69 483149.72),(70 486499.34),(71 486585.16),(72 485001.38),(73 480853.53),(74 475035.4),(75 467531.03),(76 460025.38),(77 451877.13),(78 443971.7),(79 438170.6),
(1 14778.546),(2 50023.54),(3 96057.69),(4 145875.88),(5 192846.94),(6 233524.05),(7 268183.3),(8 295970.88),(9 317440.84),(10 335323.34),(11 352123.16),(12 364465.78),(13 374853.88),(14 382247.84),(15 386758.9),(16 388708.56),(17 388540.84),(18 386343.28),(19 382200),(20 377813.44),(21 372304.5),(22 367153.44),(23 363880.78),(24 360430.9),(25 357101.84),(26 355827.22),(27 356256.16),(28 360162.5),(29 367438.88),(30 374366.56),(31 380972.63),(32 387559.4),(33 393577.5),(34 399319.44),(35 404343.53),(36 409644.75),(37 414553.88),(38 418056.5),(39 420738.28),(40 422887.3),(41 425123.25),(42 428575.5),(43 432747.94),(44 437680.44),(45 441678.9),(46 444977.53),(47 447924.75),(48 448617.44),(49 448745.34),(50 447269.6),(51 443464.28),(52 437985.97),(53 432738.97),(54 429252.44),(55 428516.5),(56 430989.97),(57 436558.13),(58 442245.1),(59 449143.3),(60 455944.44),(61 462230.13),(62 468829.8),(63 473145.53),(64 476754.88),(65 478653.88),(66 479443.8),(67 479992.78),(68 478392.88),(69 475612.1),(70 472841.47),(71 469343.34),(72 464343.3),(73 458400.53),(74 450976.34),(75 440184.6),(76 428450.4),(77 417809.13),(78 408924.34),(79 402984.88),
(1 13813.231),(2 46679.344),(3 89499.91),(4 135330.16),(5 178226.22),(6 215367.72),(7 246634.11),(8 272353),(9 292356.6),(10 306072.47),(11 316333.25),(12 322802.53),(13 329005.06),(14 334764.88),(15 341161.44),(16 347040.88),(17 352655.88),(18 356843.03),(19 360046.16),(20 362840.8),(21 364685.88),(22 366947.25),(23 368910.9),(24 369387.9),(25 368299.9),(26 366599.4),(27 364858.03),(28 364669.1),(29 364029.47),(30 362711.47),(31 360227.6),(32 357179.3),(33 353243.44),(34 350842.47),(35 351204.13),(36 353931.34),(37 359680.7),(38 366089.75),(39 374550.8),(40 382316.9),(41 389288.4),(42 396508.22),(43 402342.13),(44 407689.47),(45 411259.7),(46 413038.16),(47 413945.94),(48 414032.8),(49 413049.1),(50 410724.13),(51 405695.78),(52 398405.94),(53 389383.53),(54 379611.97),(55 370413.2),(56 362083),(57 355466.03),(58 351507),(59 350192.06),(60 350914.22),(61 352867.88),(62 357129.53),(63 362002.8),(64 368104.2),(65 372954.94),(66 377230.94),(67 380730.66),(68 382991.06),(69 382969.1),(70 382548.34),(71 382119),(72 383401.66),(73 385352.66),(74 385502.2),(75 385030.28),(76 383289.06),(77 381351.25),(78 380478.44),(79 380431.4),
(1 14071.067),(2 47325.863),(3 90762.12),(4 136890.14),(5 179615.84),(6 215064.19),(7 242948.92),(8 262638.06),(9 276049.28),(10 284597.84),(11 289369.16),(12 291467.63),(13 292393.8),(14 293041.2),(15 295413.94),(16 300074.5),(17 305700.84),(18 310984.75),(19 317146.8),(20 323627.94),(21 329314.13),(22 333198.66),(23 336233.47),(24 337674.56),(25 338868.28),(26 341506.06),(27 344724.06),(28 348114.25),(29 350480.9),(30 351933.9),(31 351462.72),(32 350076.06),(33 348214),(34 345972.63),(35 343778.63),(36 342077.97),(37 341435.8),(38 342881.78),(39 345762.47),(40 348452.34),(41 351970.56),(42 353887.47),(43 353601.53),(44 352483.66),(45 348523.9),(46 343619.06),(47 337167.75),(48 330532.2),(49 325314.8),(50 322239.6),(51 320902.06),(52 320982.25),(53 321435.84),(54 320874.66),(55 319374.6),(56 317027.25),(57 316803.06),(58 318715.06),(59 322770.16),(60 327922.66),(61 333004.13),(62 337658.75),(63 341631.5),(64 345127.66),(65 348309.03),(66 349974.66),(67 349996.78),(68 349908.34),(69 349137.44),(70 350474.9),(71 351031.44),(72 351065.06),(73 351566.63),(74 350799.25),(75 350063.47),(76 349845.94),(77 350173),(78 351101.75),(79 354248.44),
(1 13384.3545),(2 45465.082),(3 86416.43),(4 129608.13),(5 169722.1),(6 204037.27),(7 230789.92),(8 250425.9),(9 264116.53),(10 272929.03),(11 279018.4),(12 283531.6),(13 289159.25),(14 294846.06),(15 299195.53),(16 301630.13),(17 303683.13),(18 305683.34),(19 307620.75),(20 308652.4),(21 309171.66),(22 309428.7),(23 309923.75),(24 311618.38),(25 314748.78),(26 320014.88),(27 326250.66),(28 334469),(29 342454.34),(30 349397.8),(31 354471.25),(32 356641.47),(33 354642.28),(34 352173.34),(35 348421.66),(36 345646.06),(37 345906.28),(38 346882.97),(39 349768.75),(40 352488.4),(41 354930.88),(42 356195.22),(43 356324.28),(44 357149.6),(45 355081.9),(46 350486.3),(47 344483.13),(48 339076.78),(49 334677.4),(50 332238.06),(51 332427),(52 334158.2),(53 337835.22),(54 341282.03),(55 345138.47),(56 347675.38),(57 349846.34),(58 351157.5),(59 352151.8),(60 353654.28),(61 357345.8),(62 360378.03),(63 363239.8),(64 365456.53),(65 366590.9),(66 367228.75),(67 365927.72),(68 364122.75),(69 361104.7),(70 358356.03),(71 352114.38),(72 344823.25),(73 338398.8),(74 334233.84),(75 330545.03),(76 327688.3),(77 325923.28),(78 326436.06),(79 329593.25),
(1 12438.47),(2 41410.406),(3 77564.01),(4 115262.93),(5 149801.06),(6 178171.94),(7 200485.61),(8 217747.42),(9 231657.17),(10 243212.34),(11 252710.3),(12 258547.31),(13 262357.44),(14 264960.47),(15 264920.03),(16 264593.84),(17 265345.8),(18 268214.22),(19 271806.3),(20 276598.4),(21 281711.28),(22 287686.72),(23 293839.3),(24 298120.5),(25 301555.7),(26 305464.25),(27 307997.03),(28 310797.94),(29 312033.4),(30 312146.84),(31 310906.56),(32 310104.3),(33 310897.53),(34 313332.6),(35 315598.16),(36 317089.88),(37 317994.94),(38 318421.94),(39 319149.25),(40 319524.8),(41 318960.34),(42 317959.56),(43 316257.97),(44 314923.3),(45 313414.4),(46 313217.3),(47 314551.84),(48 316659.56),(49 319979.22),(50 322587.13),(51 324891.13),(52 327264.56),(53 329189.8),(54 329968.3),(55 330542.13),(56 331106.34),(57 331128.56),(58 332105.34),(59 333189.1),(60 332693.63),(61 331634.25),(62 330280.78),(63 328619.84),(64 325649.78),(65 323255.2),(66 321370.53),(67 320507.44),(68 319126.28),(69 318364.84),(70 318165.7),(71 318598.84),(72 319091.72),(73 319535.28),(74 318889.1),(75 318075.97),(76 316109.06),(77 312446.4),(78 307942.44),(79 303887.4),
(1 12354.98),(2 40784.477),(3 75876.91),(4 110730.64),(5 142258.08),(6 168738.67),(7 189055.31),(8 204193.1),(9 215277),(10 223922.9),(11 231213.9),(12 237103.03),(13 242074.73),(14 246165.77),(15 249402.55),(16 252443.95),(17 256780.72),(18 261616.1),(19 266202.44),(20 270366.06),(21 273420.56),(22 277232.28),(23 280872.06),(24 285514.78),(25 289443.56),(26 292098.66),(27 293009.28),(28 293770.56),(29 294469.25),(30 293758.25),(31 292352.53),(32 290458.1),(33 288298.16),(34 287612.8),(35 289521.72),(36 294643.63),(37 302302.47),(38 311658.38),(39 321002.38),(40 329979.66),(41 336924.6),(42 341132.66),(43 341495.94),(44 339004.88),(45 332708.7),(46 326558.6),(47 320640.94),(48 315918.47),(49 312183.1),(50 310046.2),(51 309123.44),(52 308752.66),(53 310117),(54 311940),(55 314947.7),(56 317427.03),(57 318819.66),(58 319832.44),(59 318942.38),(60 315998.56),(61 310666.84),(62 303623.53),(63 295829.44),(64 288382.25),(65 282176.06),(66 279423),(67 279863.4),(68 280288.84),(69 281743.88),(70 284310.6),(71 286047.94),(72 288627.44),(73 290942.66),(74 291837.16),(75 292627.8),(76 292922.97),(77 291487.5),(78 288748.13),(79 285402.8),
(1 12240.518),(2 40393.836),(3 74643.06),(4 109723.83),(5 142558),(6 171040.13),(7 194576.89),(8 213094.34),(9 225908.47),(10 235853.56),(11 244329.02),(12 249886.19),(13 252911.5),(14 253710.42),(15 252691.11),(16 251755.28),(17 251405.58),(18 252253.05),(19 253103.8),(20 254305.94),(21 255083.63),(22 256867.33),(23 258803.1),(24 260564.6),(25 261134.73),(26 260811.58),(27 261223.98),(28 262128.06),(29 263244.03),(30 264799.38),(31 268015.47),(32 272411.84),(33 277501.84),(34 282251.1),(35 285692.16),(36 288577.44),(37 291587.4),(38 293716.47),(39 294382.13),(40 292690.34),(41 289631.16),(42 284793.66),(43 277580.94),(44 269429.56),(45 261050.14),(46 254916.67),(47 251646.98),(48 251998.55),(49 254122.63),(50 257635.45),(51 260677.89),(52 262501),(53 263293.6),(54 264633.47),(55 266095.84),(56 267469.28),(57 267734.8),(58 269615.66),(59 272429.7),(60 275164.2),(61 277689.97),(62 278531.53),(63 277463.78),(64 275030.6),(65 272339),(66 269582.4),(67 267848.47),(68 266484.8),(69 266023),(70 267855.9),(71 268586.44),(72 268626),(73 267040.03),(74 265453.22),(75 265047.53),(76 265813.78),(77 266558.84),(78 266059.25),(79 265535.84),
(1 12217.566),(2 40018.723),(3 73421.06),(4 106857.19),(5 135936.84),(6 159169.38),(7 178396.94),(8 193869.11),(9 205803.63),(10 215925.38),(11 224604.58),(12 230304.19),(13 234326.06),(14 236155.03),(15 235913.28),(16 234962.97),(17 233651.17),(18 232757.67),(19 233042.72),(20 233831.61),(21 235724),(22 238785.55),(23 242157.23),(24 245637.02),(25 248566.94),(26 250466.77),(27 252625.61),(28 255369.84),(29 257308.28),(30 259537.9),(31 261987.22),(32 265985.97),(33 272159.94),(34 279510.97),(35 286259.1),(36 291459.72),(37 294896.75),(38 296884.63),(39 297878.66),(40 298126.94),(41 296701.97),(42 292562.3),(43 286611.13),(44 279759.6),(45 273632.75),(46 268195.84),(47 265893),(48 264759.8),(49 263653.7),(50 262788.2),(51 263009.72),(52 263059),(53 263107.13),(54 264070.66),(55 266237.88),(56 269256.1),(57 272456.16),(58 275103.5),(59 276578.63),(60 276088.13),(61 276605.7),(62 276745.25),(63 276205.25),(64 275037.25),(65 273137.38),(66 271225),(67 269834.2),(68 267514.56),(69 262574.22),(70 258947.22),(71 255810.92),(72 251879.4),(73 248509.86),(74 246326.48),(75 246751.72),(76 248876.88),(77 251180.88),(78 253614.5),(79 256312.83),
(1 12427.163),(2 40644.168),(3 75244.57),(4 109615.74),(5 139568.4),(6 164343.02),(7 183443.44),(8 196833.13),(9 205696.64),(10 212117.64),(11 217601.77),(12 220072.47),(13 222090.44),(14 222276.3),(15 220387.66),(16 218387.44),(17 216162.28),(18 215803.72),(19 217173.08),(20 220015.19),(21 223107.72),(22 226117.67),(23 227603.78),(24 228092.52),(25 226908.97),(26 226331.67),(27 228096.73),(28 229741.2),(29 230855.78),(30 231471.48),(31 233630.33),(32 236645.7),(33 241951.95),(34 247195.38),(35 253232.56),(36 258922.13),(37 264180.56),(38 270424.53),(39 275574.94),(40 278441.16),(41 280371.06),(42 280043.7),(43 278137.28),(44 275607.8),(45 271123.13),(46 266158.34),(47 263049.72),(48 260830.16),(49 260684.69),(50 261693.33),(51 263819.9),(52 265945.56),(53 267537.88),(54 268647.47),(55 270219.9),(56 272144.28),(57 274595.7),(58 276951.06),(59 278879.2),(60 280598.2),(61 282674.4),(62 282317.6),(63 279937.53),(64 275725.34),(65 270804.78),(66 266375.34),(67 263877.94),(68 261533.27),(69 258332.52),(70 255254.5),(71 252166.88),(72 248505.33),(73 247318.4),(74 246862.39),(75 247494.88),(76 248649.36),(77 250431.16),(78 252085.48),(79 254273.6),
(1 11536.669),(2 38028.145),(3 69950.04),(4 101476.086),(5 129650.92),(6 152566.77),(7 169231.98),(8 181848.48),(9 191083.22),(10 198046.45),(11 203021.33),(12 205540.13),(13 207164.61),(14 209156.48),(15 210203.1),(16 210348.84),(17 209349.55),(18 208277.56),(19 207815.11),(20 207743.06),(21 209076.28),(22 212559.38),(23 215472.48),(24 217727.56),(25 219334.11),(26 220530.63),(27 222119.4),(28 224268.95),(29 226558.94),(30 230340.5),(31 234092.11),(32 238161.13),(33 243302.1),(34 247447.72),(35 250752.1),(36 253148.55),(37 253821.3),(38 253661.45),(39 252227.28),(40 250521.77),(41 247397.48),(42 244123.27),(43 241158.6),(44 239018.56),(45 236961.6),(46 235766.61),(47 235007.05),(48 234469.98),(49 236028.28),(50 238739.17),(51 242370.77),(52 246073.48),(53 248611.17),(54 249927.66),(55 250476.13),(56 250016.22),(57 250426.28),(58 250942.3),(59 251031.1),(60 250076.17),(61 249468.73),(62 248058.39),(63 246437),(64 244928.8),(65 242368.9),(66 238196.9),(67 235091.7),(68 233752.2),(69 233462.55),(70 234348.27),(71 235153.38),(72 235456),(73 234627.33),(74 232441.56),(75 230429.67),(76 228535.77),(77 227900.7),(78 227718.6),(79 227654.44),
(1 12420.576),(2 40557.547),(3 74440.7),(4 108418.46),(5 137763.17),(6 160340.06),(7 177624.23),(8 190318.72),(9 199212.47),(10 204353.69),(11 207123.17),(12 208907.94),(13 209152.13),(14 208073.88),(15 206267.4),(16 204749.8),(17 202933.88),(18 202074.48),(19 202779.52),(20 205280),(21 209222.78),(22 215497.22),(23 222961.39),(24 230101.69),(25 236993.52),(26 242375.44),(27 246114.48),(28 250555.16),(29 253669.88),(30 256051.7),(31 259621.8),(32 262975),(33 267462.7),(34 271872.22),(35 277061),(36 282042.4),(37 285763.88),(38 288202.47),(39 288473.6),(40 286582.7),(41 283372.1),(42 279681.78),(43 276009.13),(44 272604.4),(45 268994.8),(46 265304.97),(47 262202.88),(48 260125.98),(49 259522.36),(50 259371.34),(51 260136.72),(52 259545.47),(53 258974.31),(54 257790.77),(55 256785.44),(56 257039.39),(57 258126.89),(58 260668.38),(59 262915.03),(60 263126.34),(61 263003.47),(62 261742.02),(63 258777.83),(64 255808.38),(65 253247.2),(66 251152.83),(67 250576.3),(68 251122.69),(69 252501.4),(70 253912.72),(71 255441.77),(72 255497.72),(73 255869.1),(74 256859.89),(75 258311.27),(76 260105.77),(77 260743.2),(78 260149.47),(79 259044.69),
(1 11649.235),(2 37502.51),(3 68149.6),(4 97633.03),(5 121706.305),(6 139121.47),(7 150446.64),(8 157734.6),(9 163408.02),(10 168410.64),(11 173837.78),(12 179146.05),(13 182237.23),(14 184095.92),(15 186014.69),(16 186748.88),(17 187348.47),(18 189403.64),(19 193970.13),(20 200416.1),(21 206912.95),(22 214138.69),(23 219790.6),(24 223839.78),(25 226953.45),(26 229611.42),(27 231791.25),(28 233979.25),(29 237558.52),(30 240949.7),(31 244940.88),(32 249733.27),(33 255168),(34 260835.84),(35 265351.13),(36 269896.25),(37 273103.75),(38 274199),(39 274928.28),(40 273506.75),(41 269882.84),(42 264516),(43 259381.11),(44 256672.5),(45 255740.83),(46 256416),(47 257324.39),(48 258362.55),(49 259574.16),(50 261268.77),(51 264384.88),(52 267915.06),(53 270384.03),(54 270502.47),(55 269220),(56 268625.38),(57 267238.25),(58 266058.13),(59 264564.56),(60 262125.4),(61 260186.13),(62 258336.81),(63 255784.38),(64 252975.9),(65 249946.23),(66 246611.53),(67 244322.34),(68 241872.34),(69 240184.55),(70 240552.31),(71 242402.97),(72 244916.6),(73 248747.58),(74 252533.27),(75 255894.58),(76 258444.05),(77 260879.42),(78 263096.16),(79 264047.6),
(1 11575.796),(2 37819.453),(3 69668.5),(4 101075.49),(5 127777.74),(6 148694.25),(7 164656.3),(8 176682.05),(9 185709),(10 192071.19),(11 197619.95),(12 201092.45),(13 201455.73),(14 199877.8),(15 197837.88),(16 195933.72),(17 194571.75),(18 194467.28),(19 195933.39),(20 199232.48),(21 203816.61),(22 209401.11),(23 214968.34),(24 220308.53),(25 225342.06),(26 228936.2),(27 230175.19),(28 231027.58),(29 231782.16),(30 232637.25),(31 234473.63),(32 236454.8),(33 239530.69),(34 243401.92),(35 247413.06),(36 251004.33),(37 252477.63),(38 251013.66),(39 248609.31),(40 245172.86),(41 241305.27),(42 236732.06),(43 233890),(44 231406.55),(45 229013.6),(46 227297.14),(47 225649.95),(48 225105.66),(49 225361.11),(50 226185.67),(51 227050.11),(52 228091.05),(53 228938.05),(54 228200.34),(55 226950.98),(56 226029.63),(57 225951.8),(58 226030.98),(59 226885.16),(60 227013.34),(61 226991.6),(62 227967.14),(63 229475.84),(64 231610.19),(65 233276.86),(66 233723.02),(67 235102.88),(68 236328.66),(69 237571.75),(70 238912.6),(71 240579.58),(72 242009.34),(73 242756.69),(74 244584.14),(75 246670.53),(76 248334.19),(77 248874.4),(78 248045.92),(79 246833.75),
