1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 36584.53),(2 52445.51),(3 57100.824),(4 116089.72),(5 145881.28),(6 165328.6),(7 234895.92),(8 265822.94),(9 286273.5),(10 352961.25),(11 379943.4),(12 391519.4),(13 455663.78),(14 471431.84),(15 475169.25),(16 534033.5),(17 536276.06),(18 545563.75),(19 597373.3),(20 587241.44),(21 575146.56),(22 609576.94),(23 584200.9),(24 577258.7),(25 623925.7),(26 600892.8),(27 590330.06),(28 630559.2),(29 608566.1),(30 606228.06),(31 659076.7),(32 652672.06),(33 703129),(34 773393),(35 789624.5),(36 838000.2),(37 937912.75),(38 973965.3),(39 1046399.3),(40 1155124),(41 1217866.9),(42 1319664.6),(43 1468280.6),(44 1539136.4),(45 1660954.4),(46 1816987),(47 1898694.6),(48 2027323.9),(49 2177143.3),(50 2234384.3),(51 2333895),(52 2456230.3),(53 2520535),(54 2615508.5),(55 2758421),(56 2838998.8),(57 2957898),(58 3103662),(59 3201806.8),(60 3311023.3),(61 3490328),(62 3603925.8),(63 3879276),(64 4076531.3),(65 4238932),(66 4483977.5),(67 4768297.5),(68 5162328.5),(69 5568489),(70 5938184),(71 6331193.5),(72 6740951.5),(73 7165580),(74 7560990.5),(75 8036585.5),(76 8465592),(77 8912737),(78 9431413),(79 9922895),
(1 6642.617),(2 20953.875),(3 36938.23),(4 50520.383),(5 61066.867),(6 68399.1),(7 73273.61),(8 77034.34),(9 80327),(10 83122.305),(11 85239.82),(12 86334.164),(13 86168.62),(14 85605.35),(15 85854.62),(16 86666.12),(17 87889.34),(18 88993.555),(19 89866.836),(20 90163.95),(21 90320.07),(22 90150.89),(23 89888.25),(24 90375.305),(25 90473.21),(26 90513.836),(27 90617.43),(28 90222.52),(29 89929.555),(30 89711),(31 90194.13),(32 91162.74),(33 91950.3),(34 92532.25),(35 92344.71),(36 91992.85),(37 91670.37),(38 91458.63),(39 91499.59),(40 91890.414),(41 92084.85),(42 91916.57),(43 91762),(44 91349.9),(45 90825.82),(46 90163.164),(47 89189.54),(48 88243.664),(49 87880.58),(50 88011.48),(51 88471.34),(52 88873.61),(53 89507.84),(54 89853.75),(55 89240.234),(56 88429),(57 88121.37),(58 87962.336),(59 88078.43),(60 88300.99),(61 88857.59),(62 90534.3),(63 91788.625),(64 93377.79),(65 94866.12),(66 96472.98),(67 97836.03),(68 98425.414),(69 98687.72),(70 98842.82),(71 99098.734),(72 99726.47),(73 100397.44),(74 100363.24),(75 99690.81),(76 98772.01),(77 98299.11),(78 98078.43),(79 97216.76),
(1 6299.1484),(2 19434.463),(3 34057.707),(4 46232.574),(5 55343.65),(6 61866.58),(7 66259.25),(8 70042.04),(9 73549.37),(10 76123.07),(11 77944.1),(12 78782.68),(13 78929.8),(14 79091.03),(15 79713.12),(16 80796.875),(17 82118.08),(18 83536.25),(19 84610.57),(20 85172.15),(21 85333.18),(22 85595.49),(23 85914.87),(24 86067.44),(25 86330.95),(26 86515.89),(27 86271.945),(28 86189.41),(29 85785.766),(30 86003.43),(31 86399.734),(32 86845.8),(33 87220.74),(34 88046.12),(35 88361.695),(36 88431.46),(37 88931.16),(38 89172.64),(39 89064.32),(40 88913.93),(41 88559.25),(42 88469.13),(43 88544.3),(44 88523.87),(45 88645.555),(46 88838.195),(47 89008.81),(48 88966.03),(49 89681.55),(50 90717.19),(51 92069.27),(52 93272.15),(53 94255.97),(54 94132.12),(55 93374.836),(56 92443.26),(57 91794.625),(58 91538.72),(59 91790.29),(60 92116.95),(61 92976.12),(62 93889.766),(63 94834.17),(64 95620.19),(65 96416.125),(66 97110.375),(67 98086.51),(68 98648.73),(69 98478.14),(70 97776),(71 97088.336),(72 96544.43),(73 95903.13),(74 95466.6),(75 95352.99),(76 94713.7),(77 94348.34),(78 94004.33),(79 94192.69),
(1 6026.4746),(2 18705.83),(3 33146.816),(4 45663.402),(5 55362.582),(6 62181.574),(7 66581.83),(8 69568.1),(9 72256.56),(10 75135.8),(11 78513.38),(12 81110.27),(13 83216.68),(14 84711.87),(15 85880.55),(16 86621.1),(17 87270.16),(18 88030.94),(19 88723.1),(20 89129.05),(21 89882.695),(22 89973.234),(23 90421.28),(24 90248.234),(25 89703.57),(26 89488.09),(27 89209.59),(28 89430.11),(29 90090.53),(30 91328.76),(31 92357.664),(32 93382.164),(33 94227.266),(34 95829.68),(35 97260.766),(36 97731.47),(37 97761.9),(38 97557.36),(39 97347.93),(40 96401.4),(41 95024.99),(42 93334.46),(43 92024.41),(44 91842.41),(45 92192.664),(46 92471.25),(47 92326.57),(48 92330.71),(49 92918.94),(50 93081.25),(51 93159.11),(52 93250.055),(53 92620.46),(54 91465.05),(55 90532.22),(56 89638.73),(57 89758.13),(58 90000.55),(59 89619.5),(60 89390.29),(61 90041.52),(62 90449.695),(63 91138.41),(64 91884.85),(65 92568.6),(66 92735.65),(67 92852.125),(68 93162.375),(69 93956.766),(70 94820.68),(71 96122.195),(72 97655.97),(73 98177.21),(74 97818.1),(75 97351.35),(76 96399.01),(77 96374.484),(78 96001.29),(79 95551.76),
(1 6398.5796),(2 20053.217),(3 35521.723),(4 48287.67),(5 57314.87),(6 62772.793),(7 65706.8),(8 67634.89),(9 69159.17),(10 70580.52),(11 72070.836),(12 73199.76),(13 74555.52),(14 75800.11),(15 76854.71),(16 78037.2),(17 79384.92),(18 80824.49),(19 82643.31),(20 84689.76),(21 86646.68),(22 87757.35),(23 88583.57),(24 89073.68),(25 89717.46),(26 90720.45),(27 91251.21),(28 91448.06),(29 91816.69),(30 92194.59),(31 91304.836),(32 89851.76),(33 88703.61),(34 88044.555),(35 87915.68),(36 87879.48),(37 88671.09),(38 89401.32),(39 90326.65),(40 90331.91),(41 89989.15),(42 89739.5),(43 89273.22),(44 88972.37),(45 88186.29),(46 87263.055),(47 86163.234),(48 85289.195),(49 84760.32),(50 84498.21),(51 84230.18),(52 84125.86),(53 83979.49),(54 83846.164),(55 83778.266),(56 84279.08),(57 84313.77),(58 83948.375),(59 83568.24),(60 83941.81),(61 84540.17),(62 85325.74),(63 86009.98),(64 85845.58),(65 85552.03),(66 85487.586),(67 85811.44),(68 86581.77),(69 87987.69),(70 89387.52),(71 90574.41),(72 91737.78),(73 92068.77),(74 91868.23),(75 91129.8),(76 90498.77),(77 89784.734),(78 89248.27),(79 88761.72),
(1 6299.5747),(2 19249.662),(3 33819.484),(4 46179.82),(5 55774.12),(6 62424.492),(7 66656.766),(8 69402.05),(9 71309.15),(10 72551.59),(11 73263.08),(12 73908.08),(13 74648.55),(14 75433.24),(15 76613.086),(16 77517.95),(17 78302.805),(18 78923.97),(19 80264.78),(20 81969.23),(21 83818.24),(22 85482.25),(23 87156.51),(24 89037.11),(25 90305.59),(26 91059.97),(27 91294.12),(28 91222.555),(29 90754.08),(30 90558.7),(31 90181.84),(32 89910.234),(33 89909.555),(34 90014.086),(35 90602.97),(36 91857.836),(37 93280.914),(38 94407.27),(39 95367.414),(40 96048.37),(41 96177.8),(42 96003.92),(43 95732.51),(44 95362.34),(45 94448.65),(46 93511.7),(47 93098.76),(48 93353.25),(49 93702.92),(50 94002.79),(51 93974.12),(52 93680.01),(53 93242.84),(54 93288.61),(55 93534.49),(56 93583.25),(57 93431.414),(58 92943.75),(59 92019.2),(60 91184.43),(61 90477.77),(62 90033.414),(63 89679.67),(64 89253.42),(65 88930.33),(66 89159.15),(67 89519.66),(68 90123.445),(69 89710.94),(70 88501.37),(71 87750.09),(72 87025.15),(73 86624.36),(74 87054),(75 86763.9),(76 85936.69),(77 84934.64),(78 84413.62),(79 84365.93),
(1 6035.1606),(2 18476.658),(3 32163.045),(4 43743.324),(5 52679.19),(6 58350.72),(7 61687.01),(8 63947.01),(9 66224.42),(10 68185.14),(11 69393.98),(12 69907.1),(13 70138.02),(14 70115.7),(15 70139.56),(16 70001.35),(17 69706.7),(18 69505),(19 69762.6),(20 69945.74),(21 70098.37),(22 71058.586),(23 72554.34),(24 74288.37),(25 75606.305),(26 76115.67),(27 76378.375),(28 76359.734),(29 76458.52),(30 76737.336),(31 76880.32),(32 77137.24),(33 77226.09),(34 77625.86),(35 78826.13),(36 80250.98),(37 81906.14),(38 83669.66),(39 85662.99),(40 87086.48),(41 88328.21),(42 89087.6),(43 89410.61),(44 89246.14),(45 88567.95),(46 87477.9),(47 86831.664),(48 86822.53),(49 87222.06),(50 87677.49),(51 88073.15),(52 87584.64),(53 87049.17),(54 87003.86),(55 87486.1),(56 87051.664),(57 86441.945),(58 85385.2),(59 84437.07),(60 83958.69),(61 83614.55),(62 83514.055),(63 83324.48),(64 82883.62),(65 82020.62),(66 81181.46),(67 80526.984),(68 80497.6),(69 80823.17),(70 81448.09),(71 81659.25),(72 81879.57),(73 81956.22),(74 81609.914),(75 80902.484),(76 80281.78),(77 80218.125),(78 80087.99),(79 80018.91),
(1 6007.651),(2 18439.725),(3 32003.918),(4 43426.79),(5 51849.36),(6 56787.754),(7 59548.95),(8 61648.313),(9 63501.695),(10 64737.867),(11 65793.86),(12 66391.51),(13 66940.95),(14 67443.086),(15 68491.875),(16 69339.77),(17 70209.18),(18 71490.61),(19 72787.586),(20 74105.664),(21 74956.94),(22 75952.71),(23 76688.92),(24 76213.35),(25 75407.125),(26 74928.266),(27 74413.47),(28 73433.945),(29 72881.11),(30 72702.78),(31 72894.86),(32 73257.96),(33 73597.14),(34 73499.125),(35 73465.03),(36 73730.67),(37 74406.66),(38 75558.58),(39 76805.086),(40 77746.74),(41 78563.42),(42 79135.57),(43 80026.516),(44 80386.125),(45 81047.586),(46 81487.016),(47 81543.445),(48 81329),(49 81144.57),(50 80872.66),(51 80646.54),(52 80098.07),(53 79588.375),(54 79087.516),(55 78750.625),(56 78039.49),(57 77867.195),(58 78142.21),(59 78718.445),(60 79111.31),(61 79772.71),(62 80291.3),(63 80225.336),(64 79372.02),(65 78348.14),(66 77199.74),(67 76373.45),(68 76103.195),(69 76191.72),(70 76537.33),(71 76727.65),(72 76605.23),(73 76136.89),(74 75642.07),(75 75593.96),(76 75763.805),(77 76167.86),(78 76649.15),(79 77292.055),
(1 6283.55),(2 19158.645),(3 33037.152),(4 44551.91),(5 53197.367),(6 58952.11),(7 62298.56),(8 64655.84),(9 66810.11),(10 68727.27),(11 70420.93),(12 71700.32),(13 72341.42),(14 72777.47),(15 73709.03),(16 74687.2),(17 75845.92),(18 76909.31),(19 77639.38),(20 78254.37),(21 79125.63),(22 80425.29),(23 81124.555),(24 80465.55),(25 78956.37),(26 77184.85),(27 75467.84),(28 74654.195),(29 74783.375),(30 75899.26),(31 76646.414),(32 77077.8),(33 76943.914),(34 76929.516),(35 77516.05),(36 78233.625),(37 78839.21),(38 78444.49),(39 77368.266),(40 76451.93),(41 75964.32),(42 76139.586),(43 76125.266),(44 75443.6),(45 74980.89),(46 75111.89),(47 75565.02),(48 75784.18),(49 75675.22),(50 75706),(51 75557.68),(52 75686.61),(53 75764.02),(54 75861.69),(55 76081.01),(56 76222.555),(57 76464.95),(58 76997.81),(59 77642.2),(60 77984.81),(61 78107.164),(62 78299.46),(63 78443.36),(64 78107.31),(65 77147.38),(66 75748.97),(67 75255.02),(68 75363.336),(69 76132.15),(70 77045.766),(71 77282.445),(72 76916.88),(73 76151.695),(74 75690.99),(75 75702.8),(76 76011.32),(77 76896.305),(78 77494.336),(79 77788.484),
(1 6008.54),(2 18251.125),(3 31394.215),(4 42211.863),(5 49983.89),(6 54992.566),(7 57759.063),(8 59437.383),(9 61109.09),(10 63200.18),(11 64801.574),(12 65889.055),(13 66491.36),(14 67030.375),(15 67855.336),(16 68849.63),(17 70131.836),(18 71544.01),(19 72558.516),(20 72491.3),(21 72402.91),(22 72152.28),(23 71775.08),(24 70694.82),(25 69425.695),(26 68226.36),(27 66832.51),(28 66285.695),(29 66161.7),(30 66225.95),(31 66348.19),(32 66626.305),(33 67692.805),(34 69062.12),(35 70741.13),(36 72440.03),(37 73450.37),(38 73346.89),(39 72847.125),(40 72487.97),(41 72623.36),(42 72880.234),(43 72810.06),(44 72305.8),(45 71634.15),(46 71097.64),(47 71151.52),(48 71851.7),(49 72071.48),(50 72174.305),(51 72684.125),(52 73355.945),(53 74194.78),(54 74979.305),(55 75614.86),(56 75744.18),(57 75357.305),(58 74851.79),(59 74582.9),(60 74469.85),(61 73805.67),(62 72815.95),(63 71742.83),(64 70200.58),(65 69687.125),(66 69896.836),(67 70497.234),(68 71143.7),(69 71780.61),(70 72050.75),(71 71807.58),(72 71182.055),(73 70399.27),(74 69604.25),(75 69055.6),(76 68923.75),(77 69276.36),(78 69510.77),(79 69761.9),
(1 5979.9077),(2 18071.928),(3 31183.129),(4 41895.117),(5 49652.457),(6 54159.49),(7 56781.066),(8 58844.816),(9 60612.32),(10 61959.434),(11 63009.22),(12 63758.203),(13 64665.742),(14 65089.516),(15 66390.02),(16 68047.91),(17 69882.33),(18 72174.38),(19 74369.625),(20 75877.734),(21 77054.24),(22 77784.62),(23 78544.46),(24 78538.625),(25 77291.84),(26 75476.02),(27 74281.445),(28 73397.06),(29 73308.83),(30 73626.06),(31 73840.62),(32 74558.57),(33 75219.16),(34 75850.15),(35 76345.19),(36 76072.61),(37 75389.06),(38 74601.84),(39 73641.625),(40 72727.16),(41 71903.06),(42 71455.36),(43 71116.11),(44 70757.42),(45 70428.85),(46 70785.37),(47 71345.34),(48 71805.56),(49 71978.97),(50 71705.84),(51 71859.34),(52 72007),(53 72224.46),(54 72624.6),(55 72866.875),(56 72793.055),(57 72391.07),(58 71894.88),(59 70499.5),(60 69085.41),(61 68191.45),(62 67788.87),(63 68037.555),(64 68503.016),(65 69418.74),(66 70361.23),(67 71050.5),(68 71109.234),(69 71040.664),(70 70833.76),(71 70946.11),(72 70843.69),(73 70726.055),(74 70409.25),(75 70290.85),(76 70223.86),(77 70598.445),(78 70887.555),(79 70593.766),
(1 5866.4375),(2 17852.186),(3 30309.813),(4 40260.496),(5 47425),(6 51968.77),(7 55120.98),(8 57544.258),(9 59704.168),(10 61236.066),(11 62307.496),(12 63092.547),(13 62950.01),(14 62846.6),(15 63940.11),(16 65517.77),(17 66727.625),(18 67889.33),(19 69063.55),(20 69982.26),(21 71124.32),(22 72205.91),(23 72883.17),(24 72827.53),(25 72103.09),(26 71102.04),(27 69974.39),(28 69118.13),(29 68920.42),(30 69518.766),(31 69962.28),(32 70358.94),(33 70104.97),(34 69956.45),(35 70045.305),(36 70023.945),(37 69792.87),(38 69399.87),(39 68780.13),(40 68134.98),(41 67539.92),(42 67139.09),(43 66862.32),(44 66865.586),(45 66840.59),(46 67063.29),(47 66898.74),(48 66976.336),(49 67010.88),(50 66715.01),(51 65714.5),(52 64735.047),(53 64257.754),(54 64467.734),(55 65207.09),(56 65759.8),(57 66121.07),(58 66065.72),(59 65337.31),(60 64297.805),(61 63179.71),(62 62093.477),(63 61616.535),(64 61459.555),(65 61913.92),(66 62422.426),(67 63095.027),(68 64198.137),(69 64916.344),(70 65271.563),(71 65614.1),(72 65564.5),(73 65279.773),(74 65050.465),(75 65203.1),(76 64964.97),(77 65121.477),(78 65318.14),(79 65222.94),
(1 5822.276),(2 17432.408),(3 29600.664),(4 39231.84),(5 46247.047),(6 51047.64),(7 54108.598),(8 56756.63),(9 59199.43),(10 61368.13),(11 63025.727),(12 63884.816),(13 64529.664),(14 65394.69),(15 66433.74),(16 67298.22),(17 67635.305),(18 67766.836),(19 67748.66),(20 67839.97),(21 68223.23),(22 68120.47),(23 67455.16),(24 66673.2),(25 65964.2),(26 65490.746),(27 65535.508),(28 65928.48),(29 66640.69),(30 67538.5),(31 68148.4),(32 69052.25),(33 69986.836),(34 70562.164),(35 71181.58),(36 71460.18),(37 71524.34),(38 71526.69),(39 71690.35),(40 72103.75),(41 72908.09),(42 73675.734),(43 74305.81),(44 74679.03),(45 75094.34),(46 75800.016),(47 76200.75),(48 76696.54),(49 76629.37),(50 76220.484),(51 74733.9),(52 73368.51),(53 72837.71),(54 72999.22),(55 73449.75),(56 73632.63),(57 74247.945),(58 74660.914),(59 74536.72),(60 74212.66),(61 73893.08),(62 73936.62),(63 74114.87),(64 74674.66),(65 74744.35),(66 74264.29),(67 73692.35),(68 73068.63),(69 72507.97),(70 72568.18),(71 72823.98),(72 72686.96),(73 72372.12),(74 71288.4),(75 70413.74),(76 70085.25),(77 70234.31),(78 70246.33),(79 70183.05),
(1 5707.348),(2 16907.955),(3 28366.111),(4 37366.766),(5 43526.71),(6 47457.3),(7 49916.68),(8 51888.438),(9 53665.6),(10 55602.71),(11 57345.25),(12 58960.496),(13 60139.28),(14 61007.047),(15 61296.254),(16 61446.47),(17 61568.35),(18 61646.62),(19 62353.816),(20 62714.098),(21 63129.457),(22 63353.855),(23 63717.73),(24 64080.418),(25 64366.234),(26 64394.63),(27 64735.06),(28 65492.07),(29 66660.7),(30 67445.086),(31 67632.84),(32 67161.77),(33 66864.61),(34 67117.84),(35 67518.3),(36 67816.86),(37 68320.8),(38 69185.516),(39 70262.445),(40 70559.445),(41 70789.82),(42 70811.62),(43 71066.75),(44 71915.805),(45 73329.9),(46 74566.05),(47 75109),(48 74701.17),(49 74164.74),(50 73493.69),(51 72416.7),(52 71746.25),(53 71895.984),(54 72263.555),(55 72120.59),(56 71788.74),(57 71739.05),(58 71571.44),(59 71329.84),(60 71008.66),(61 70551.57),(62 70179.37),(63 70306.17),(64 69930.14),(65 69657.94),(66 69567.69),(67 69467.555),(68 69597.9),(69 69918.74),(70 70178.09),(71 70077.74),(72 69479.34),(73 68901.79),(74 68499.02),(75 68163.07),(76 68214.66),(77 68214.49),(78 67606.42),(79 66856.38),
(1 5742.455),(2 17083.068),(3 29282.723),(4 38722.395),(5 44987.13),(6 48602.203),(7 50771.2),(8 52679.215),(9 54065.684),(10 55622.813),(11 56871.094),(12 57855.652),(13 59117.71),(14 60893.742),(15 62501.063),(16 63717.62),(17 64427.766),(18 64425.59),(19 64752.44),(20 64500.434),(21 63939.957),(22 63079.203),(23 62379.723),(24 62338.04),(25 62293.523),(26 61994.586),(27 61980.555),(28 62315.203),(29 62625.56),(30 62963.434),(31 63366.863),(32 63464.72),(33 63094.145),(34 63433.96),(35 64028.35),(36 64390.195),(37 64872.203),(38 65231.68),(39 64671.266),(40 63736.31),(41 63004.277),(42 62860.36),(43 63388.3),(44 64546.137),(45 66029.54),(46 67377.24),(47 68028.76),(48 67975.36),(49 67455.805),(50 66602.06),(51 66015.61),(52 65682.66),(53 65534.36),(54 65401.38),(55 65201.29),(56 65023.9),(57 65016.008),(58 65102.023),(59 64838.734),(60 64806.395),(61 65011.555),(62 65287.145),(63 65280.363),(64 65560.28),(65 65855.92),(66 65823.44),(67 65633.74),(68 65682.63),(69 65790.31),(70 65800.2),(71 65401.555),(72 64616.992),(73 64167.78),(74 63763.39),(75 63853.03),(76 63638.72),(77 63411.76),(78 63302.504),(79 63093.137),
(1 5716.492),(2 17062.268),(3 29083.676),(4 38571.28),(5 44847.613),(6 48078.477),(7 49689.426),(8 50382.89),(9 51017.44),(10 51889.832),(11 52309.41),(12 53180.785),(13 54234.145),(14 55293.19),(15 56332.008),(16 57462.4),(17 58720.668),(18 59383.863),(19 60410.11),(20 61565.99),(21 62263.81),(22 62254.027),(23 61981.43),(24 61829.516),(25 61923.95),(26 62014.027),(27 62748.69),(28 63771.95),(29 64442.96),(30 64401.07),(31 64506.445),(32 64982.62),(33 65054.97),(34 65327.25),(35 65788.69),(36 65692.63),(37 65309.83),(38 64185.086),(39 63056.633),(40 62132.4),(41 61697.3),(42 61816.34),(43 62669.367),(44 64213.68),(45 65648.555),(46 66457.77),(47 66311.016),(48 65294.28),(49 64374.32),(50 63786.875),(51 63519.758),(52 63990.484),(53 64508.863),(54 64590.348),(55 64116.05),(56 64148.33),(57 64323.32),(58 64955.04),(59 66043.266),(60 66991.47),(61 67421.195),(62 67494.41),(63 67390.055),(64 67407.086),(65 67396.305),(66 66929.42),(67 66186.38),(68 65677.11),(69 65688.3),(70 65793.25),(71 65510.242),(72 65434.418),(73 65582.6),(74 65533.816),(75 65494.574),(76 65360.6),(77 64716.51),(78 64616.105),(79 64921.62),
(1 5838.0386),(2 17462.38),(3 29656.977),(4 38941.91),(5 44816.6),(6 48041.566),(7 49868.2),(8 51257.914),(9 52466.78),(10 53488.867),(11 54210.113),(12 55017.324),(13 55955.8),(14 57218.445),(15 57892.94),(16 58437.168),(17 59015.734),(18 59788.94),(19 60829.41),(20 61398.81),(21 61808.844),(22 61639.254),(23 61157.125),(24 60703.03),(25 60490.49),(26 60746.008),(27 61217.035),(28 61411.29),(29 61258.855),(30 60978.89),(31 60679.523),(32 60545.266),(33 60506.887),(34 60454.492),(35 60357.234),(36 60523.79),(37 61095.88),(38 61431.676),(39 61611.055),(40 61586.387),(41 61360.99),(42 61076.02),(43 61185.277),(44 61578.7),(45 62080.332),(46 62563.52),(47 62757.637),(48 62867.09),(49 63225.88),(50 63494.586),(51 63813.49),(52 63659.88),(53 63502.39),(54 63680.348),(55 63981.625),(56 64781),(57 64950.977),(58 65039.71),(59 65436.297),(60 65711.07),(61 65969.54),(62 66068.984),(63 65589.88),(64 65127.7),(65 65047.723),(66 64746.344),(67 64267.137),(68 63628.934),(69 63133.492),(70 62502.5),(71 62037.72),(72 62011.82),(73 61931.52),(74 61494.92),(75 60664.543),(76 59679.637),(77 59223.367),(78 59479.777),(79 60224.664),
(1 5571.0127),(2 16373.186),(3 27348.145),(4 35603.316),(5 40964.15),(6 44304.88),(7 47023.703),(8 49551.254),(9 52000.86),(10 54134.316),(11 55558.92),(12 56805.02),(13 58043.85),(14 59496.16),(15 60629.582),(16 61392.285),(17 62144.13),(18 62609.355),(19 62993.664),(20 62860.67),(21 63023.605),(22 63091.805),(23 62973.453),(24 62688.117),(25 62689.496),(26 63086.77),(27 63604.813),(28 64722.844),(29 66114.35),(30 66823.28),(31 67393.766),(32 67603.7),(33 67492.4),(34 67376.61),(35 66880.85),(36 66389.13),(37 65866.945),(38 64939.24),(39 64419.38),(40 64507.824),(41 64738.805),(42 64522.773),(43 64015.664),(44 63246.516),(45 62347.82),(46 61923.723),(47 61863.574),(48 61715.445),(49 61764.87),(50 62046.367),(51 62237.535),(52 62125.25),(53 61625.08),(54 61154.93),(55 60901.2),(56 60974.99),(57 60680.027),(58 60570.31),(59 60892.516),(60 61715.82),(61 62719.07),(62 63513.12),(63 64108.04),(64 64047.434),(65 63380.414),(66 63055.96),(67 62745.008),(68 61988.785),(69 61221.844),(70 60823.29),(71 60651.355),(72 60857.098),(73 61323.477),(74 61423.047),(75 61746.92),(76 61960.29),(77 62411.15),(78 63031.477),(79 63698.652),
