1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 150216.56),(2 351625.4),(3 668817.3),(4 1105470.9),(5 1681877.6),(6 2458973.3),(7 3404882),(8 4995461.5),(9 6446648),(10 8088216.5),(11 9964053),(12 12087388),(13 14534379),(14 17646838),(15 20877764),(16 25103184),(17 29062944),(18 33424310),(19 39044316),(20 45574548),(21 51423092),(22 57581180),(23 66247860),(24 73546330),(25 82170570),(26 92526340),(27 102047784),(28 113503400),(29 126283240),(30 140291820),(31 156236720),(32 173664930),(33 192215760),(34 209161810),(35 228090510),(36 248512400),(37 269005380),(38 292841860),(39 311942560),(40 330158530),(41 347391460),(42 364830240),(43 382575740),(44 402556060),(45 421474400),(46 438410900),(47 452797100),(48 465058560),(49 475317340),(50 483931230),(51 488784480),(52 493249300),(53 493713250),(54 496453760),(55 497481470),(56 498741540),(57 497231740),(58 492036960),(59 482907100),(60 472705820),(61 462806940),(62 451392900),(63 438299870),(64 422220960),(65 402410270),(66 380823550),(67 359888400),(68 337136030),(69 315743940),(70 296671600),(71 277393860),(72 259281870),(73 241688450),(74 226701700),(75 211530510),(76 196838190),(77 182248400),(78 168376370),(79 156235060),
(1 17152.645),(2 17512.389),(3 19758.627),(4 20026.06),(5 19302.475),(6 21643.352),(7 20461.348),(8 21819.336),(9 21318.742),(10 20755.408),(11 21957.389),(12 20943.684),(13 21372.152),(14 21287.377),(15 21141.734),(16 21845.6),(17 23212.201),(18 23475.24),(19 23460.365),(20 23547.115),(21 23862.365),(22 23469.44),(23 23199.1),(24 22635.924),(25 23133.127),(26 23169.393),(27 23787.773),(28 24045.576),(29 24262.975),(30 24284.348),(31 24079.775),(32 24240.63),(33 23760.234),(34 24063.836),(35 24092.105),(36 24470.727),(37 23924.543),(38 24303.352),(39 24204.107),(40 24269.36),(41 24573.342),(42 24054.201),(43 24233.432),(44 24191.023),(45 23526.982),(46 24602.424),(47 24147.13),(48 23784.822),(49 24068.482),(50 23640.402),(51 23656.861),(52 24308.543),(53 23203.502),(54 23847.05),(55 22403.883),(56 22474.494),(57 22386.959),(58 22363.752),(59 22578.043),(60 22036.848),(61 21842.71),(62 22142.342),(63 21671.234),(64 21341.994),(65 21518.943),(66 21634.598),(67 20729.428),(68 21558.89),(69 21013.096),(70 20088.135),(71 20661.025),(72 20246.592),(73 20252.52),(74 20535.057),(75 21032.215),(76 20941.264),(77 20858.354),(78 20684.04),(79 20873.348),
(1 16159.285),(2 16572.592),(3 18823.387),(4 18998.906),(5 18414.07),(6 20424.826),(7 19165.707),(8 20573.258),(9 19838.084),(10 19706.273),(11 20695.207),(12 19991.598),(13 20591.344),(14 20329.377),(15 20402.406),(16 21237.063),(17 22336.297),(18 22147.451),(19 22547.324),(20 22673.027),(21 22729.58),(22 22331.688),(23 22111.1),(24 21751.645),(25 22249.951),(26 22455.912),(27 22847.604),(28 23036.082),(29 23160.584),(30 23167.809),(31 23278.227),(32 22825.666),(33 22656),(34 22575.35),(35 22834.28),(36 23099.305),(37 23041.613),(38 23180.87),(39 23038.459),(40 22776.123),(41 22966.55),(42 22729.82),(43 22647.137),(44 22621.951),(45 22023.844),(46 23065.004),(47 22602.395),(48 22375.898),(49 22768.172),(50 22312.428),(51 22486.672),(52 22952.111),(53 21901.03),(54 22518.422),(55 21494.57),(56 21674.61),(57 21284.578),(58 21437.336),(59 21276.385),(60 20811.115),(61 20631.137),(62 21523.795),(63 20723.248),(64 20348.703),(65 20536.705),(66 20577.518),(67 19974.887),(68 20781.635),(69 19970.28),(70 19239.773),(71 19499.152),(72 19580.063),(73 19174.45),(74 19659.998),(75 20059.729),(76 19730.645),(77 19665.955),(78 19724.988),(79 19820.096),
(1 16219.225),(2 17091.748),(3 19101.54),(4 19181.021),(5 18740.057),(6 21021.834),(7 19786.654),(8 20946.842),(9 20277.195),(10 20236.58),(11 20818.158),(12 19833.686),(13 20694.26),(14 20181.617),(15 20339.904),(16 21428.23),(17 22302.678),(18 22314.83),(19 22211.598),(20 22519.229),(21 22646.924),(22 22351.584),(23 22281.502),(24 22162.705),(25 22307.719),(26 22684.957),(27 23110.828),(28 22740.281),(29 23563.5),(30 23455.158),(31 23145.285),(32 23071.754),(33 22787.154),(34 22748.148),(35 22959.033),(36 22726.125),(37 23102.78),(38 22979.514),(39 22835.646),(40 22718.61),(41 22755.043),(42 22842.523),(43 22394.55),(44 22614.691),(45 22105.855),(46 22696.172),(47 22593.736),(48 22199.941),(49 22468.934),(50 22171.543),(51 22241.26),(52 22716.418),(53 21594.707),(54 21920.967),(55 20836.775),(56 20972.654),(57 20706.8),(58 20706.791),(59 20298.617),(60 20397.857),(61 19995.918),(62 20996.158),(63 20364.479),(64 19936.676),(65 20199.719),(66 20441.51),(67 20082.67),(68 20995.408),(69 19991.059),(70 19120.03),(71 19821.291),(72 19382.348),(73 19160.771),(74 19746.99),(75 20360.52),(76 20134.957),(77 19900.416),(78 20195.494),(79 20335.783),
(1 15381.176),(2 16604.3),(3 18216.46),(4 17968.89),(5 17852.473),(6 19817.078),(7 18825.578),(8 19735.818),(9 18847.857),(10 19033.078),(11 19645.773),(12 18882.977),(13 19380.736),(14 18880.168),(15 19230.752),(16 20421.7),(17 21160.338),(18 21033.406),(19 21505.172),(20 21795.697),(21 21705.262),(22 21267.758),(23 21053.145),(24 20619.402),(25 21112.904),(26 21736.264),(27 21951.473),(28 22066.676),(29 22622.342),(30 22223.459),(31 22301.99),(32 22284.252),(33 22036.22),(34 21858.7),(35 22231.8),(36 22197.322),(37 22461.768),(38 22891.367),(39 22262.855),(40 22381.242),(41 22660.85),(42 22369.998),(43 22291.105),(44 22235),(45 22200.53),(46 22455.512),(47 22383.793),(48 21928.438),(49 22387.242),(50 21872.877),(51 22238.04),(52 22614.768),(53 21714.621),(54 22120.992),(55 21168.639),(56 21487.178),(57 21105.586),(58 20851.832),(59 20685.688),(60 20616.352),(61 20137.502),(62 20882.893),(63 20153.367),(64 19833.459),(65 20021.742),(66 20242.918),(67 19748.645),(68 20337.674),(69 19507.807),(70 18861.246),(71 19345.807),(72 19011.465),(73 18597.725),(74 18918.834),(75 19650.209),(76 19396.055),(77 19021.13),(78 19103.902),(79 19249.639),
(1 15398.497),(2 17025.432),(3 17951.383),(4 17851.793),(5 18090.979),(6 19894.176),(7 18582.893),(8 19692.611),(9 18705.293),(10 19022.63),(11 19574.56),(12 19129.967),(13 19317.535),(14 18944.572),(15 19551.172),(16 20642.373),(17 21243.49),(18 21135.62),(19 21356.021),(20 21410.916),(21 21575.11),(22 21302.13),(23 20906.457),(24 20482.918),(25 21097.135),(26 21652.684),(27 22024.055),(28 22425.758),(29 22418.66),(30 22535.438),(31 22218.1),(32 22029.492),(33 21892.84),(34 21748.213),(35 22031.912),(36 22265.832),(37 22341.97),(38 22798.654),(39 22842.574),(40 22628.982),(41 22888.348),(42 22755.309),(43 22527.328),(44 22635.826),(45 22319.182),(46 22529.613),(47 22284.63),(48 22077.387),(49 22195.986),(50 21825.166),(51 21975.61),(52 22358.537),(53 21463.174),(54 21979.018),(55 21033.55),(56 21385.78),(57 20939.305),(58 20736.162),(59 20491.361),(60 20336.96),(61 20054.703),(62 20742.504),(63 20349.56),(64 19683.29),(65 20070.604),(66 19710.889),(67 19565.682),(68 19980.006),(69 19324.691),(70 18363.7),(71 19094.604),(72 18799.354),(73 18190.3),(74 18644.646),(75 19466.53),(76 19305.707),(77 19411.13),(78 19579.725),(79 19626.986),
(1 14236.1),(2 16297.19),(3 16878.37),(4 16734.752),(5 17278.973),(6 18726.727),(7 17466.146),(8 18528.748),(9 17623.33),(10 18165.717),(11 17992.004),(12 18044.855),(13 18375.188),(14 17870.031),(15 18608.492),(16 19417.416),(17 20168.982),(18 20338.254),(19 20236.836),(20 20359.629),(21 20358.58),(22 20310.553),(23 19956.602),(24 19864.45),(25 20418.863),(26 21002.678),(27 20904.213),(28 21371.982),(29 21620.205),(30 21811.102),(31 21652.908),(32 21484.434),(33 21269.65),(34 21303.596),(35 21108.14),(36 21668.863),(37 21659.996),(38 21730.85),(39 21693.746),(40 21344.213),(41 21469.293),(42 21629.4),(43 21241.88),(44 21007.354),(45 21287.361),(46 21310.688),(47 21623.893),(48 20974.463),(49 21240.523),(50 20892.223),(51 21139.012),(52 20966.775),(53 20170.139),(54 20255.035),(55 19534.35),(56 19884.434),(57 19490.719),(58 19322.65),(59 18861.953),(60 19282.988),(61 18739.143),(62 19150.393),(63 18802.617),(64 18359.09),(65 18715.164),(66 18234.744),(67 18191.44),(68 18672.752),(69 17890.184),(70 17156.576),(71 17839.918),(72 17350.063),(73 17059.814),(74 17434.756),(75 18161.15),(76 18127.66),(77 18159.098),(78 18202.656),(79 18430.928),
(1 13832.323),(2 16035.486),(3 16493.246),(4 16757.379),(5 17102.75),(6 18711.44),(7 17749.281),(8 18365.145),(9 17651.904),(10 17985.713),(11 17577.334),(12 17860.219),(13 17864.016),(14 17425.105),(15 18459.813),(16 19049.252),(17 19595.396),(18 19911.326),(19 19960.436),(20 20120.482),(21 20116.932),(22 20034.486),(23 19608.521),(24 19205.49),(25 19798.654),(26 20356.193),(27 20183.654),(28 20471.15),(29 21000.459),(30 20928.115),(31 21023.17),(32 20678.855),(33 20397.828),(34 20429.64),(35 20311.729),(36 21043.92),(37 20854.154),(38 21024.48),(39 21481.307),(40 20888.488),(41 21373.744),(42 20777.59),(43 21220.049),(44 20506.59),(45 21045.988),(46 20854.756),(47 21061.4),(48 20719.594),(49 20774.82),(50 20963.188),(51 20874.254),(52 20909.432),(53 20187.242),(54 20381.758),(55 19992.473),(56 20030.328),(57 19871.59),(58 19755.293),(59 19219.797),(60 19573.824),(61 18965.295),(62 19516.225),(63 19384.404),(64 18451.947),(65 18831.344),(66 18533.404),(67 18218.217),(68 18571.463),(69 17738.922),(70 17056.799),(71 17886.373),(72 17156.754),(73 16761.326),(74 17561.523),(75 18202.32),(76 18191.033),(77 18073.656),(78 18038.693),(79 18094.531),
(1 13415.541),(2 15722.056),(3 16096.194),(4 16294.886),(5 16878.95),(6 17971.637),(7 17122.885),(8 17790.607),(9 17393.152),(10 17800.908),(11 17256.902),(12 17362.371),(13 17511.473),(14 17379.982),(15 18222.012),(16 18850.729),(17 19467.855),(18 20050.467),(19 19653.299),(20 19844.99),(21 19855.277),(22 19505.123),(23 19238.518),(24 19327.453),(25 19875.102),(26 20215.418),(27 20038.613),(28 20185.002),(29 20878.166),(30 20870.16),(31 21059.607),(32 20522.604),(33 20479.998),(34 20214.945),(35 20023.404),(36 20614.752),(37 21000.01),(38 20628.06),(39 21076.328),(40 20734.38),(41 21397.53),(42 20667.197),(43 20958.832),(44 20297.39),(45 20409.254),(46 20441.04),(47 20503.129),(48 20517.443),(49 20634.54),(50 20776.934),(51 20562.07),(52 20412.047),(53 19859.209),(54 19759.424),(55 19472.688),(56 19346.46),(57 19307.783),(58 19325.525),(59 18659.203),(60 18972.219),(61 18282.643),(62 18729.947),(63 18776.03),(64 18107.879),(65 18242.367),(66 18239.36),(67 17602.643),(68 18084.385),(69 17452.674),(70 16707.6),(71 17464.707),(72 16949.46),(73 16637.553),(74 17185.328),(75 17805.947),(76 17766.912),(77 17831.42),(78 17877.348),(79 18038.701),
(1 12581.966),(2 14734.182),(3 15173.688),(4 15365.057),(5 16002.123),(6 16917.54),(7 16117.87),(8 16743.482),(9 16578.063),(10 16660.87),(11 16024.824),(12 16784.953),(13 16705.62),(14 16516.924),(15 16901.625),(16 17860.13),(17 18232.129),(18 18426.13),(19 18637.861),(20 18807.82),(21 18865.484),(22 18642.938),(23 18475.762),(24 18644.836),(25 19078.63),(26 19075.063),(27 18791.105),(28 18959.467),(29 19646.984),(30 19407.525),(31 19923.852),(32 19533.354),(33 19636.508),(34 19078.227),(35 19225.975),(36 19418.77),(37 19747.313),(38 19287.332),(39 19876.041),(40 19358.496),(41 19758.273),(42 19377.387),(43 19063.396),(44 18978.088),(45 18914.436),(46 18932.926),(47 19200.818),(48 18887.273),(49 19082.049),(50 18624.82),(51 18714.148),(52 18605.324),(53 18213.125),(54 18219.94),(55 18092.203),(56 17890.115),(57 17969.582),(58 17791.285),(59 17227.576),(60 17902.65),(61 17052.031),(62 17393.063),(63 17342.941),(64 16808.197),(65 17091.64),(66 16676.266),(67 16266.812),(68 16868.28),(69 16188.802),(70 15745.936),(71 16537.455),(72 15983.132),(73 15851.163),(74 16548.97),(75 16896.248),(76 16712.107),(77 16606.096),(78 16902.523),(79 16679.697),
(1 12169.025),(2 14566.873),(3 15121.958),(4 15503.725),(5 16122.628),(6 16687.965),(7 16010.895),(8 16517.47),(9 16527.871),(10 16695.762),(11 15912.613),(12 16619.469),(13 16870.11),(14 16605.06),(15 17028.56),(16 17810.299),(17 18199.709),(18 18481.588),(19 18523.172),(20 18437.486),(21 18447.164),(22 18188.588),(23 18041.938),(24 18545.709),(25 18505.545),(26 18760.332),(27 18716.525),(28 19056.46),(29 19422.389),(30 19962.408),(31 20082.752),(32 19671.535),(33 19240.008),(34 19058.271),(35 18992.941),(36 19067.568),(37 19397.684),(38 19465.832),(39 19919.441),(40 19779.877),(41 19626.902),(42 19411.457),(43 19115.648),(44 18961.7),(45 19156.904),(46 18862.328),(47 19360.455),(48 19237.473),(49 19396.75),(50 19380.828),(51 18915.545),(52 18973.26),(53 18373.814),(54 18652.484),(55 18359.684),(56 18100.746),(57 18217.496),(58 18497.596),(59 17607.186),(60 17996.598),(61 16889.492),(62 17361.709),(63 17465.578),(64 16964.469),(65 17129.291),(66 17227.967),(67 16687.549),(68 17054.818),(69 16557.332),(70 15944),(71 16612.324),(72 16366.717),(73 16107.324),(74 16631.176),(75 16396.336),(76 16370.558),(77 16556.916),(78 16628.59),(79 16683.254),
(1 11239.27),(2 13478.167),(3 13928.114),(4 14359.684),(5 15116.701),(6 15601.357),(7 15152.631),(8 15696.326),(9 15723.932),(10 15751.806),(11 15160.639),(12 16021.182),(13 16086.239),(14 15663.565),(15 16227.948),(16 17101.508),(17 17478.404),(18 17647.693),(19 17995.908),(20 17712.377),(21 17598.947),(22 17579.229),(23 17610.611),(24 17783.016),(25 17967.826),(26 18182.133),(27 18031.068),(28 18339.129),(29 18715.832),(30 19070.912),(31 18649.088),(32 18937.293),(33 18463.67),(34 18489.592),(35 18645.365),(36 18194.764),(37 18799.229),(38 18577.7),(39 18987.908),(40 18977.242),(41 18943.252),(42 18718.125),(43 18448.068),(44 18329.35),(45 18002.6),(46 18194.916),(47 18412.947),(48 18265.52),(49 18451.867),(50 18311.332),(51 18024.166),(52 17857.342),(53 17249.686),(54 17374.287),(55 16874.713),(56 16855.053),(57 16592.234),(58 16929),(59 16151.356),(60 16717.977),(61 15749.672),(62 16120.156),(63 16213.95),(64 15767.107),(65 15917.076),(66 15863.173),(67 15534.159),(68 15844.787),(69 15466.646),(70 15006.176),(71 15846.405),(72 15350.436),(73 15021.38),(74 15600.732),(75 15574.254),(76 15757.809),(77 16029.211),(78 15861.581),(79 15885.34),
(1 10802.989),(2 13185.413),(3 13523.514),(4 13861.011),(5 14671.42),(6 14945.174),(7 14518.442),(8 15143.492),(9 15136.326),(10 15133.693),(11 14894.566),(12 15815.58),(13 15461.461),(14 15251.342),(15 15982.081),(16 16688.389),(17 16708.365),(18 17198.203),(19 17253.348),(20 17288.896),(21 17354.48),(22 17431.486),(23 17347.01),(24 17264.254),(25 17545.863),(26 17659.049),(27 17710.58),(28 17950.078),(29 18420.283),(30 18601.195),(31 18515.652),(32 18401.197),(33 18197.328),(34 17863.645),(35 17990.748),(36 17914.002),(37 18120.127),(38 18382.578),(39 18353.877),(40 18332.066),(41 18295.83),(42 18035.336),(43 17699.604),(44 17600.502),(45 17405.197),(46 17561.238),(47 17608.668),(48 17397.127),(49 17394.855),(50 17384.65),(51 17202.814),(52 16988.84),(53 16344.933),(54 16514.85),(55 16238.08),(56 16172.803),(57 15964.751),(58 16312.939),(59 15404.791),(60 16124.237),(61 15328.306),(62 15587.731),(63 15623.132),(64 15199.558),(65 15442.359),(66 15398.541),(67 14906.098),(68 15315.484),(69 15066.598),(70 14509.002),(71 15162.41),(72 14767.846),(73 14432.032),(74 15117.157),(75 15096.542),(76 15212.074),(77 15259.897),(78 15123.051),(79 15226.559),
(1 10588.528),(2 12994.091),(3 13224.478),(4 13636.332),(5 14434.596),(6 14500.133),(7 14391.943),(8 15000.019),(9 15034.204),(10 14888.088),(11 14743.84),(12 15687.232),(13 15441.306),(14 15199.043),(15 15717.614),(16 16330.283),(17 16631.584),(18 17247.496),(19 17264.041),(20 17156.201),(21 16975.658),(22 17206.79),(23 16913.02),(24 17094.246),(25 17617.602),(26 17733.418),(27 17833.049),(28 18461.37),(29 18532.969),(30 18665.652),(31 18518.254),(32 18401.5),(33 18559.895),(34 18393.145),(35 17950.398),(36 18392.99),(37 18340.732),(38 18387.822),(39 18176.393),(40 18282.957),(41 18186.531),(42 17983.955),(43 17833.71),(44 17699.23),(45 17766.836),(46 17758.332),(47 18224.242),(48 17864.752),(49 18176.05),(50 18134.605),(51 17986.81),(52 17755.95),(53 16888.367),(54 16924.824),(55 16829.574),(56 16973.604),(57 16658.283),(58 16991.68),(59 16329.231),(60 16672.13),(61 15886.031),(62 15855.149),(63 16080.841),(64 15686.034),(65 15986.401),(66 15796.131),(67 15458.439),(68 15777.943),(69 15322.935),(70 14771.06),(71 15598.204),(72 15026.741),(73 14825.59),(74 15286.236),(75 15039.585),(76 15214.013),(77 14988.843),(78 15224.317),(79 15331.399),
(1 9689.789),(2 12076.815),(3 12247.736),(4 12526.782),(5 13481.016),(6 13347.207),(7 13466.659),(8 13822.537),(9 13766.835),(10 13971.425),(11 13819.232),(12 14845.7),(13 14345.286),(14 14040.112),(15 14872.316),(16 15308.293),(17 15502.153),(18 16012.395),(19 16357.266),(20 16163.2705),(21 16119.185),(22 16132.598),(23 15993.989),(24 16183.698),(25 16503.814),(26 16430.05),(27 16621.572),(28 16794.596),(29 16954.707),(30 16908.666),(31 17056.654),(32 16663.89),(33 16808.025),(34 16402.857),(35 16394.559),(36 16584.85),(37 16696.414),(38 16680.49),(39 16664.637),(40 16695.363),(41 16627.46),(42 16427.729),(43 16214.813),(44 16173.389),(45 16035.048),(46 16103.464),(47 16257.65),(48 16113.395),(49 16192.5625),(50 16313.912),(51 16110.815),(52 15789.788),(53 15508.825),(54 15564.361),(55 15440.598),(56 15662.598),(57 15215.743),(58 15517.808),(59 14456.253),(60 15060.475),(61 14475.962),(62 14523.27),(63 14615.137),(64 14261.705),(65 14543.415),(66 14360.076),(67 14242.821),(68 14476.176),(69 14197.768),(70 13403.894),(71 14430.511),(72 13945.926),(73 13755.535),(74 14123.809),(75 14048.486),(76 14057.904),(77 13866.619),(78 14154.965),(79 14254.573),
(1 9552.911),(2 11831.571),(3 11978.765),(4 12254.394),(5 13347.383),(6 13328.792),(7 13525.694),(8 13620.723),(9 13663.345),(10 13731.14),(11 13553.461),(12 14433.398),(13 13754.674),(14 13860.634),(15 14613.808),(16 14877.634),(17 15149.306),(18 15740.163),(19 15774.638),(20 15705.101),(21 15632.404),(22 15694.434),(23 15525.082),(24 15618.243),(25 15826.208),(26 16107.363),(27 16313.915),(28 16684.914),(29 16806.674),(30 16785.285),(31 17017.627),(32 16606.633),(33 16638.805),(34 16184.727),(35 16156.654),(36 16157.335),(37 16069.509),(38 16180.236),(39 16546.012),(40 16540.967),(41 16289.836),(42 16271.943),(43 15657.897),(44 15832.018),(45 15597.318),(46 15835.88),(47 15772.819),(48 15821.948),(49 15852.908),(50 15830.524),(51 15559.895),(52 15185.529),(53 14755.089),(54 14810.897),(55 14651.8545),(56 14719.12),(57 14155.351),(58 14814.22),(59 14089.306),(60 14393.721),(61 13973.408),(62 14248.083),(63 14335.644),(64 13977.986),(65 14023.581),(66 13986.985),(67 13746.658),(68 13883),(69 13565.319),(70 13166.177),(71 14109.451),(72 13675.024),(73 13721.543),(74 14021.482),(75 13877.983),(76 13941.607),(77 13912.215),(78 14244.436),(79 14155.927),
(1 9166.947),(2 11498.805),(3 11523.752),(4 11946.839),(5 12900.96),(6 12945.974),(7 13227.513),(8 13211.346),(9 13272.055),(10 13419.959),(11 13330.957),(12 14005.524),(13 13529.487),(14 13761.904),(15 14323.203),(16 14923.465),(17 15078.992),(18 15675.443),(19 15853.242),(20 15741.028),(21 15587.16),(22 15595.175),(23 15316.055),(24 15741.975),(25 15685.112),(26 15998.12),(27 16462.19),(28 16231.248),(29 16428.123),(30 16600.746),(31 16661.824),(32 16363.126),(33 16328.835),(34 16239.62),(35 16206.968),(36 16293.865),(37 16257.467),(38 16192.583),(39 16173.85),(40 16316.771),(41 16015.719),(42 16346.689),(43 15995.938),(44 15991.754),(45 15911.329),(46 15894.596),(47 15671.817),(48 15724.096),(49 15741.698),(50 15656.595),(51 15580.849),(52 15358.432),(53 14930.697),(54 15143.363),(55 14805.986),(56 15053.191),(57 14658.032),(58 14934.285),(59 14351.154),(60 14733.774),(61 14507.9),(62 14137.751),(63 14265.66),(64 14069.531),(65 14049.829),(66 14019.092),(67 13779.364),(68 13963.2295),(69 13509.521),(70 13238.219),(71 13839.214),(72 13370.581),(73 13536.845),(74 13557.218),(75 13721.009),(76 13388.999),(77 13354.455),(78 13791.628),(79 13712.974),
(1 8903.79),(2 11272.193),(3 11131.822),(4 11632.832),(5 12469.141),(6 12157.342),(7 12892.864),(8 12949.313),(9 13091.773),(10 13130.495),(11 13152.986),(12 13796.871),(13 13394.914),(14 13746.249),(15 14185.141),(16 14533.028),(17 14823.777),(18 15234.479),(19 15312.288),(20 15301.268),(21 15215.838),(22 15203.547),(23 15140.071),(24 15456.691),(25 15503.679),(26 15697.951),(27 16036.361),(28 15955.8545),(29 15920.674),(30 16244.91),(31 16155.972),(32 16111.336),(33 15965.525),(34 15825.815),(35 15763.957),(36 15663.6875),(37 15911.799),(38 15805.835),(39 16001.47),(40 15887.318),(41 15897.056),(42 15646.582),(43 15436.654),(44 15425.589),(45 15476.877),(46 15547.152),(47 15393.949),(48 15427.284),(49 15413.429),(50 15293.991),(51 15190.124),(52 15007.095),(53 14515.483),(54 14900.905),(55 14399.288),(56 14572.039),(57 14073.126),(58 14392.746),(59 13864.559),(60 13913.922),(61 13806.367),(62 13837.936),(63 13893.137),(64 13537.182),(65 13656.37),(66 13653.345),(67 13729.676),(68 13686.027),(69 13402.579),(70 13198.144),(71 13602.96),(72 13177.52),(73 13310.008),(74 13515.232),(75 13307.598),(76 13286.059),(77 13446.814),(78 13631.564),(79 13467.135),
(1 8634.21),(2 11012.531),(3 10797.843),(4 11378.366),(5 12185.245),(6 12005.138),(7 12576.704),(8 12420.761),(9 12880.665),(10 12669.137),(11 12832.2),(12 13328.044),(13 12954.441),(14 13424.702),(15 13846.989),(16 14334.099),(17 14488.895),(18 14871.816),(19 14688.559),(20 14946.103),(21 14702.642),(22 14819.468),(23 14962.269),(24 15110.543),(25 15080.345),(26 15378.009),(27 15557.994),(28 15851.469),(29 15638.612),(30 15847.068),(31 15799.767),(32 15690.358),(33 15642.261),(34 15350.938),(35 15450.927),(36 15403.449),(37 15337.436),(38 15501.954),(39 15437.156),(40 15307.732),(41 15393.588),(42 15098.816),(43 14667.763),(44 14879.099),(45 14518.665),(46 14770.05),(47 14595.661),(48 14768.085),(49 14616.605),(50 14424.233),(51 14304.65),(52 14190.025),(53 13631.874),(54 13719.238),(55 13163.958),(56 13623.382),(57 12947.705),(58 13506.398),(59 12971.75),(60 13355.42),(61 13146.884),(62 13009.755),(63 13145.445),(64 12971.587),(65 13021.73),(66 13089.448),(67 12954.952),(68 12978.602),(69 12526.173),(70 12430.107),(71 13036.241),(72 12803.805),(73 12901.96),(74 13067.62),(75 12980.765),(76 13033.963),(77 13178.208),(78 13289.686),(79 13177.726),
