1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27250.838),(2 61165.25),(3 104545.1),(4 185348.92),(5 265863.97),(6 350038.1),(7 472925.22),(8 587863.94),(9 713500.8),(10 881769.3),(11 1048224.2),(12 1225511.3),(13 1435808.4),(14 1655319.4),(15 1879238.4),(16 2133094),(17 2395378.5),(18 2650415.8),(19 2963627.3),(20 3253355.3),(21 3531192),(22 3842218.3),(23 4139713.3),(24 4401514),(25 4697228.5),(26 5009807.5),(27 5277302),(28 5579734.5),(29 5888609.5),(30 6143188),(31 6407365.5),(32 6658666.5),(33 6866189.5),(34 7108047.5),(35 7317350.5),(36 7481052),(37 7689424.5),(38 7868841.5),(39 8004968.5),(40 8140684.5),(41 8256725.5),(42 8325915.5),(43 8411247),(44 8476451),(45 8495715),(46 8521365),(47 8539363),(48 8516887),(49 8506336),(50 8493224),(51 8450426),(52 8424551),(53 8429122),(54 8384098),(55 8393483),(56 8403060),(57 8409791),(58 8435658),(59 8473579),(60 8498621),(61 8545326),(62 8628368),(63 8715452),(64 8802560),(65 8925683),(66 9052964),(67 9190276),(68 9342509),(69 9488795),(70 9650756),(71 9784952),(72 9924317),(73 10095203),(74 10292992),(75 10509865),(76 10722669),(77 10972943),(78 11254061),(79 11516577),
(1 6503.8975),(2 17880.477),(3 25991.781),(4 29291.105),(5 30200.87),(6 30725.797),(7 31522.5),(8 31571.17),(9 30804.025),(10 30466.053),(11 31498.703),(12 33319.87),(13 35042.89),(14 36000.395),(15 36426.31),(16 36672.617),(17 36949.813),(18 36556.19),(19 35981.91),(20 35762.313),(21 36282.28),(22 37219.31),(23 38049.824),(24 37997.773),(25 37663.973),(26 37287.66),(27 37020.984),(28 36666.95),(29 36280.24),(30 36006.066),(31 35865.1),(32 35934.83),(33 36009.176),(34 36361.863),(35 36779.37),(36 37093.43),(37 36901.066),(38 36753.04),(39 37005.34),(40 37168.137),(41 37271.21),(42 37101.035),(43 37252.758),(44 37854.402),(45 38973.293),(46 39846.492),(47 40424.254),(48 40715.367),(49 41161.016),(50 42076.453),(51 43276.355),(52 44423.332),(53 45293.07),(54 45959.08),(55 46129.582),(56 45853.23),(57 45657.61),(58 45648.69),(59 46501.625),(60 47358.89),(61 47788.42),(62 48104.758),(63 48700.008),(64 49377.453),(65 49779.38),(66 49789.043),(67 49768.887),(68 49839.06),(69 50041.2),(70 50159.05),(71 50354.99),(72 50008.836),(73 49442.188),(74 49110.992),(75 49377.082),(76 49931.883),(77 50422.406),(78 51041.883),(79 52076.59),
(1 6501.849),(2 17865.098),(3 25952.643),(4 29654.668),(5 30944.426),(6 31775.54),(7 33291.56),(8 34204.19),(9 34468.758),(10 35509.54),(11 37304.633),(12 39142.68),(13 39644.883),(14 39034.117),(15 38641.34),(16 38900.066),(17 39678.88),(18 39957),(19 39407.305),(20 39082.67),(21 39410.94),(22 39850.47),(23 40080.117),(24 40626.71),(25 41154.793),(26 41684.863),(27 42030.88),(28 41970.82),(29 41568.043),(30 41219.355),(31 40791.78),(32 40333.848),(33 39708.02),(34 39190.965),(35 38671.8),(36 38638.84),(37 38965.582),(38 39165.414),(39 39182.38),(40 39365.76),(41 39853.23),(42 40067.18),(43 40221.44),(44 40645.33),(45 41711.305),(46 43096.016),(47 44301.434),(48 45168.164),(49 45934.05),(50 46513.023),(51 47149.133),(52 47825.21),(53 48387.594),(54 48614.668),(55 48728.32),(56 49490.457),(57 50717.19),(58 51335.617),(59 51693.906),(60 52376.566),(61 53113.73),(62 53645.78),(63 53699.168),(64 53723.65),(65 53773.79),(66 53498.406),(67 53418.863),(68 53576.02),(69 54154.758),(70 54256.63),(71 54606.766),(72 54584.016),(73 54437.535),(74 54605.79),(75 54248.043),(76 54171.39),(77 54463.1),(78 54985.582),(79 55429.695),
(1 6308.1064),(2 17401.719),(3 25014.008),(4 28471.691),(5 30017.828),(6 30731.934),(7 31358.965),(8 31931.275),(9 33006.66),(10 34386.69),(11 36203.97),(12 37620.438),(13 37779.004),(14 37561.766),(15 37710.766),(16 38116.063),(17 38483.047),(18 37874.555),(19 37191.32),(20 37029.316),(21 37704.56),(22 38804.117),(23 39462.867),(24 39751.27),(25 39965.277),(26 40486.313),(27 40953.19),(28 40967.58),(29 41364.05),(30 41546.996),(31 41428.945),(32 41210.484),(33 40566.836),(34 40214.195),(35 39932.137),(36 39815.78),(37 40200.914),(38 40346.93),(39 40235.02),(40 39863.195),(41 39650.85),(42 40165.07),(43 40483.426),(44 40713.773),(45 41307.645),(46 41906.87),(47 42211.656),(48 42375.516),(49 42850.84),(50 43294.543),(51 43910.07),(52 44630.457),(53 44897.617),(54 45428.293),(55 46085.215),(56 46691.45),(57 47209.625),(58 47890.64),(59 48915.438),(60 49629.96),(61 50174.56),(62 50913.418),(63 51632.824),(64 51945.387),(65 52369.29),(66 52747.117),(67 52680.91),(68 52967.313),(69 53397.25),(70 53335.08),(71 53174.984),(72 53315.133),(73 53836.027),(74 54543.98),(75 54838.97),(76 54409.863),(77 53918.78),(78 53596.527),(79 53645.586),
(1 5925.5376),(2 16201.611),(3 23558.336),(4 26863.768),(5 28054.438),(6 29016.469),(7 30507.771),(8 31722.705),(9 32469.623),(10 33759.01),(11 35118.105),(12 36054.402),(13 36887.953),(14 37073.24),(15 36967.23),(16 37157.12),(17 37516.38),(18 37090.695),(19 36236.266),(20 36056.063),(21 36905.543),(22 38053.484),(23 38918.98),(24 39009.984),(25 38737.074),(26 38589.414),(27 38704.06),(28 39101.51),(29 39458.53),(30 39145.94),(31 38291.23),(32 37821.125),(33 37743.848),(34 38310.13),(35 38799.3),(36 39145.164),(37 39391.21),(38 39311.145),(39 39064.906),(40 38626.86),(41 39062.688),(42 40027.336),(43 40681.32),(44 41004.707),(45 40995.844),(46 40891.14),(47 41185.43),(48 41891.074),(49 42563.72),(50 43270.67),(51 43846.863),(52 43903.734),(53 43859.57),(54 43834.78),(55 44327.11),(56 45362.22),(57 46104.125),(58 46323.24),(59 46268.492),(60 46269.54),(61 46612.33),(62 46864.79),(63 47210.484),(64 47692.484),(65 48159.74),(66 48531.234),(67 48719.547),(68 48732.29),(69 48492.098),(70 48043.637),(71 47996.617),(72 48426.25),(73 49110),(74 49548.72),(75 50045.1),(76 50448.156),(77 50209.91),(78 49587.938),(79 49149.547),
(1 5992.672),(2 16226.475),(3 23135.918),(4 25924.596),(5 27281.203),(6 28558.494),(7 29261.744),(8 29731.514),(9 29930.248),(10 31336.455),(11 33261.066),(12 34600.395),(13 35396.734),(14 35487.65),(15 35385.844),(16 35746.547),(17 36142.844),(18 35980.86),(19 35974.08),(20 36341.734),(21 36693.934),(22 37140.63),(23 37710.73),(24 37586.64),(25 36959.496),(26 36641.383),(27 37077.086),(28 37150.543),(29 37049.76),(30 36946.86),(31 36695.375),(32 36540.67),(33 36573.83),(34 36562.566),(35 36185.34),(36 35871.01),(37 35787.273),(38 35626.934),(39 36009.645),(40 36505.24),(41 37303.742),(42 37315.195),(43 37096.96),(44 36927.504),(45 37197.844),(46 37962.973),(47 38119.434),(48 38030.99),(49 38879.152),(50 40011.09),(51 40897.484),(52 41057.06),(53 40692.7),(54 40571.094),(55 40852.496),(56 41555.55),(57 42222.145),(58 43094.48),(59 44099.184),(60 44997.96),(61 46069.22),(62 46649.05),(63 47478.145),(64 48260.43),(65 49056.563),(66 49775.973),(67 50119.637),(68 50566.99),(69 50979.51),(70 51028.91),(71 51497.203),(72 52199.47),(73 53512.61),(74 54308.285),(75 54406.22),(76 54447.938),(77 54629.504),(78 54601.52),(79 54832.973),
(1 5485.643),(2 14668.544),(3 20722.488),(4 23190.246),(5 24284.115),(6 25026.42),(7 25418.117),(8 25744.633),(9 26009.113),(10 26666.941),(11 27911.035),(12 29187.633),(13 29753.742),(14 29615.746),(15 29399.5),(16 29601.467),(17 29961.723),(18 29683.588),(19 29825.652),(20 30942.559),(21 32348.494),(22 33066.07),(23 33003.79),(24 33067.074),(25 33199.676),(26 33390.203),(27 33875.875),(28 34182.934),(29 34591.824),(30 35209.195),(31 35515.797),(32 35682.64),(33 35798.4),(34 36010.543),(35 36180.78),(36 36388.195),(37 36820.973),(38 36806.066),(39 36364.09),(40 35977.973),(41 35708.785),(42 35810.465),(43 36083.164),(44 36447.266),(45 36615.266),(46 36536.27),(47 36686.7),(48 37567.395),(49 39237.473),(50 40569.01),(51 40694.29),(52 40468.754),(53 40512.445),(54 40771.93),(55 41097.08),(56 41779.434),(57 42389.395),(58 42921.418),(59 43238.406),(60 43575.332),(61 44255.813),(62 44624.72),(63 44897.21),(64 45331.01),(65 45699.37),(66 46052.9),(67 46215.82),(68 46292.605),(69 46415.55),(70 46286.316),(71 46386.355),(72 46531.082),(73 47087.66),(74 47631.805),(75 47897.754),(76 48465.582),(77 48315.793),(78 48126.457),(79 47847.402),
(1 5562.5835),(2 15094.993),(3 21920.885),(4 24931.752),(5 25718.26),(6 25672.521),(7 25538.01),(8 25304.594),(9 25635.404),(10 26789.559),(11 28709.363),(12 29554.096),(13 29979.191),(14 30292.465),(15 30692.746),(16 31594.908),(17 32464.318),(18 32408.658),(19 31948.773),(20 32147.691),(21 32865.637),(22 34005.902),(23 34565.07),(24 34638.82),(25 34546.375),(26 34926.445),(27 36045.207),(28 36755.582),(29 36972.145),(30 36622.69),(31 35976.883),(32 35800.043),(33 35571.766),(34 35223.055),(35 34898.633),(36 34617.055),(37 34587.24),(38 34221.58),(39 33587.78),(40 33773.895),(41 34621.293),(42 35435.734),(43 35784.74),(44 35562.48),(45 35489.574),(46 35573.67),(47 35771.91),(48 36241.418),(49 37344.707),(50 38308.344),(51 38907.723),(52 39407.83),(53 39716.527),(54 40419.637),(55 41483.055),(56 42178.293),(57 42505.926),(58 42566.445),(59 42844.234),(60 43816.336),(61 44749.375),(62 45597.617),(63 46312.47),(64 46918.83),(65 47607.574),(66 47771.383),(67 47670.492),(68 47893.41),(69 48110.965),(70 47661.68),(71 47272.984),(72 47113.957),(73 47000.184),(74 46928.707),(75 47043.652),(76 47227.395),(77 47736.297),(78 47985.54),(79 48198.773),
(1 5825.442),(2 15690.202),(3 22984.996),(4 26130.025),(5 26872.69),(6 26803.31),(7 26785.248),(8 27556.316),(9 28706.674),(10 30218.344),(11 31581.805),(12 31909.516),(13 31669.268),(14 31233.588),(15 31122.656),(16 31423.666),(17 31840.14),(18 31795.836),(19 31637.525),(20 31840.494),(21 32299.19),(22 32950.99),(23 33428.695),(24 33495.21),(25 33444.234),(26 33562.22),(27 34470.51),(28 35531.13),(29 35983.21),(30 35993.254),(31 35349.08),(32 34977.99),(33 34456.137),(34 34315.95),(35 34475.31),(36 34574.58),(37 34181.1),(38 33525.008),(39 33287),(40 33855.484),(41 34667.125),(42 34921.375),(43 34642.46),(44 34263.53),(45 34523.42),(46 35201.793),(47 35695.45),(48 36565.875),(49 37642.49),(50 38188.62),(51 38594.875),(52 38966.043),(53 39902.03),(54 41113.43),(55 42094.34),(56 43171.11),(57 43457.496),(58 43250.61),(59 43567.973),(60 44291.492),(61 45080.223),(62 45151.95),(63 45234.195),(64 45358.54),(65 45671.71),(66 46122.008),(67 46591.145),(68 47230.39),(69 47538.78),(70 47488.53),(71 47668.652),(72 47863.25),(73 48446.496),(74 48784.598),(75 49155.117),(76 49531.703),(77 48975.555),(78 48811.418),(79 48861.49),
(1 5579.4375),(2 15003.747),(3 21800.416),(4 24469.658),(5 24867.229),(6 25274.988),(7 25710.844),(8 25663.504),(9 26110.734),(10 27418.625),(11 28796.887),(12 29508.164),(13 29382.408),(14 29096.602),(15 29187.516),(16 29467.705),(17 29694.814),(18 29762.732),(19 29987.72),(20 30711.191),(21 31205.705),(22 31257.525),(23 30945.72),(24 30387.89),(25 30547.541),(26 31523.674),(27 32737.025),(28 33458.04),(29 33441.793),(30 33516.742),(31 33474.523),(32 33490.04),(33 33419.29),(34 33660.516),(35 34008.855),(36 33684.637),(37 32827.633),(38 32060.55),(39 32234.762),(40 33136.46),(41 33746.832),(42 33514.78),(43 32738.568),(44 32050.418),(45 32325.607),(46 33210.3),(47 34140.184),(48 35175.895),(49 36344.01),(50 36559.855),(51 36547.62),(52 36994.684),(53 38151.633),(54 39346.133),(55 39604.008),(56 39521.105),(57 39788.184),(58 40097.96),(59 40679.32),(60 41563.637),(61 42421.25),(62 42671.492),(63 42371.91),(64 42009.617),(65 42109.637),(66 42602.355),(67 43417.313),(68 44256.06),(69 44891.51),(70 45392.074),(71 46289.523),(72 46711.945),(73 46730.92),(74 46600.168),(75 45906.203),(76 45741.266),(77 45758.082),(78 46082.77),(79 46456.64),
(1 5267.5615),(2 14075.083),(3 20376.693),(4 23257.525),(5 24139.17),(6 24527.852),(7 24338.877),(8 24259.986),(9 25076.535),(10 26410.559),(11 28082.025),(12 28674.334),(13 28558.895),(14 28463.064),(15 28968.166),(16 29689.748),(17 30248.176),(18 30442.814),(19 30384.81),(20 30794.738),(21 31119.156),(22 30857.797),(23 30487.836),(24 30792.627),(25 31686.52),(26 32665.3),(27 33191.184),(28 32982.65),(29 32797.74),(30 32744.941),(31 32746.117),(32 32577.693),(33 32813.473),(34 33377.523),(35 33663.156),(36 33379.105),(37 32768.93),(38 32192.486),(39 32071.53),(40 32537.305),(41 32553.086),(42 32768.082),(43 33304.098),(44 33584.45),(45 33851.22),(46 34118.78),(47 34586.09),(48 35348.22),(49 36257.09),(50 36881.906),(51 37355.31),(52 37869.71),(53 39160.83),(54 40079.29),(55 39925.65),(56 39666.215),(57 39443.695),(58 39923.47),(59 40855.957),(60 42044.47),(61 42703.71),(62 42826.8),(63 43170.17),(64 43716.086),(65 44353.13),(66 45018.04),(67 45653.676),(68 45988.438),(69 45918.688),(70 45709.06),(71 46099.797),(72 46562.875),(73 46479.133),(74 46152.168),(75 46009.73),(76 45982.887),(77 46128.97),(78 46837.29),(79 47268.008),
(1 5315.3164),(2 13915.184),(3 19434.549),(4 21624.904),(5 22432.463),(6 22970.725),(7 22909.178),(8 22965.545),(9 23606.682),(10 24684.674),(11 25605.59),(12 26293.777),(13 26622.129),(14 26900.445),(15 27765.045),(16 28619.879),(17 28733.178),(18 28456.633),(19 28492.254),(20 29192.79),(21 29843.268),(22 30123),(23 30540.963),(24 30877.133),(25 31424.91),(26 32203.771),(27 33303.125),(28 33940.637),(29 34076.707),(30 33906.387),(31 33745.81),(32 33844.805),(33 33830.043),(34 34232.688),(35 34650.11),(36 34266.547),(37 33703.516),(38 33843.324),(39 34499.633),(40 35074.71),(41 35036.875),(42 34449.98),(43 34432.664),(44 35087.258),(45 36110.26),(46 36719.46),(47 37098.816),(48 37573.305),(49 38356.664),(50 38842.58),(51 39548.7),(52 40788.5),(53 41995.43),(54 42458.723),(55 42070.453),(56 42090.496),(57 42887.72),(58 43949.55),(59 44859.547),(60 45688.875),(61 46103.184),(62 46227.543),(63 46522.83),(64 46632.66),(65 46955.176),(66 47767.586),(67 48778.938),(68 49766.64),(69 50066.387),(70 49686.21),(71 49560.57),(72 49452.38),(73 49250.4),(74 48856.734),(75 48567.707),(76 48748.164),(77 49019.38),(78 49642.06),(79 50322.496),
(1 5311.2095),(2 13895.332),(3 19587.395),(4 21567.564),(5 21717.97),(6 21779.771),(7 22096.639),(8 22786.824),(9 23759.771),(10 24979.578),(11 25851.16),(12 26008.283),(13 25768.996),(14 26087.441),(15 27383.03),(16 28309.813),(17 28376.412),(18 27947.059),(19 27846.98),(20 28487.678),(21 29430.4),(22 30128.154),(23 30578.193),(24 30790.664),(25 31178.902),(26 32026.896),(27 32943.227),(28 33258.773),(29 32984.6),(30 32450.717),(31 32398.18),(32 32401.219),(33 32386.848),(34 33121.156),(35 33553.676),(36 33020.98),(37 32489.613),(38 32287.51),(39 32729.99),(40 33243.207),(41 33647.844),(42 33887.273),(43 33977.176),(44 34278.96),(45 34465.996),(46 34628.242),(47 35048.87),(48 35699.805),(49 36004.125),(50 36024.785),(51 36374.617),(52 37173.793),(53 38079.047),(54 38517.707),(55 38264.45),(56 38261.83),(57 38573.02),(58 39384.785),(59 40317.434),(60 40870.746),(61 41364.96),(62 41586.27),(63 42057.305),(64 42720.11),(65 43269.527),(66 43394.457),(67 43857.78),(68 44759.1),(69 45672.62),(70 45792.285),(71 45760.395),(72 45455.41),(73 45531.27),(74 45731.02),(75 45918.64),(76 45865.992),(77 45589.92),(78 45412.387),(79 45353.4),
(1 5512.046),(2 14455.991),(3 20326.102),(4 22343.803),(5 22546.977),(6 22676.406),(7 23132.73),(8 23793.893),(9 25008.674),(10 26150.064),(11 27279.621),(12 27694.633),(13 27695.166),(14 28019.893),(15 28675.604),(16 28785.367),(17 28552.088),(18 27823.271),(19 27748.809),(20 28698.805),(21 29807.277),(22 30591.064),(23 30967.191),(24 31164.994),(25 31461.604),(26 32099.908),(27 33327.016),(28 33851.965),(29 33920.117),(30 33923.88),(31 34004.656),(32 33940.56),(33 33843.99),(34 33947.37),(35 33624.164),(36 32977.91),(37 32833.113),(38 33532.227),(39 34642.25),(40 35410.22),(41 35617.09),(42 35109.87),(43 34759.44),(44 35093.734),(45 35924.848),(46 36699.92),(47 37089.004),(48 37448.094),(49 38090.41),(50 38742.902),(51 39783.668),(52 41033.227),(53 41892.836),(54 41760.03),(55 41205.37),(56 41388.418),(57 42274.27),(58 43069.484),(59 43796.516),(60 44104.15),(61 44173.754),(62 43854.137),(63 43757.63),(64 43760.98),(65 43918.715),(66 44539.91),(67 44733.703),(68 44926.23),(69 45118.39),(70 45232.89),(71 45163.414),(72 44682.277),(73 44254.32),(74 44084.69),(75 44277.74),(76 44937.438),(77 45098.402),(78 44690.848),(79 44274.992),
(1 5247.3975),(2 13436.861),(3 18536.469),(4 20333.514),(5 20743.422),(6 20923.336),(7 21250.354),(8 22284.07),(9 23605.676),(10 24598.98),(11 25140.004),(12 25499.084),(13 25606.953),(14 26120.186),(15 27027.24),(16 27542.926),(17 27235.92),(18 26716.648),(19 26592.883),(20 27409.682),(21 28219.313),(22 28742.58),(23 29505.725),(24 30224.32),(25 30863.006),(26 31342.143),(27 31782.531),(28 32436.658),(29 33011.68),(30 33385.246),(31 33763.332),(32 33957.094),(33 33943.582),(34 33570.594),(35 32802.625),(36 31910.445),(37 31727.43),(38 32359.904),(39 33051.918),(40 33491.434),(41 33612.934),(42 33359.44),(43 33253.75),(44 33732.574),(45 34711.832),(46 35125.406),(47 35309.508),(48 35888.816),(49 36238.55),(50 36317.098),(51 36661.508),(52 37063.41),(53 37549.703),(54 37775.008),(55 37688.86),(56 37867.52),(57 38041.48),(58 38059.055),(59 38483.293),(60 39496.49),(61 40652.05),(62 41080.9),(63 41283.34),(64 41467.484),(65 41829.46),(66 42195.5),(67 42426.184),(68 42706.492),(69 42600.656),(70 42426.215),(71 42461.164),(72 42247.785),(73 42327.918),(74 42632.035),(75 43104.273),(76 43733.094),(77 44122.47),(78 44282.242),(79 44600.695),
(1 5211.1504),(2 13527.409),(3 18799.41),(4 20937.15),(5 21290.924),(6 21196.996),(7 21301.48),(8 21890.807),(9 22628.346),(10 23900.076),(11 24965.738),(12 25132.9),(13 25339.246),(14 25810.799),(15 26502.592),(16 26477.594),(17 25725.648),(18 25404.592),(19 25782.62),(20 26405.625),(21 26892.06),(22 27458.666),(23 27955.81),(24 28436.598),(25 28807.78),(26 29086.16),(27 29476.912),(28 29887.355),(29 29924.969),(30 30172.623),(31 30181.326),(32 30186.88),(33 30240.748),(34 30334.66),(35 30424),(36 30359.578),(37 30506.35),(38 30891.521),(39 31181.236),(40 31212.824),(41 31741.723),(42 31838.396),(43 32192.408),(44 32433.361),(45 32730.412),(46 33103.46),(47 33474.723),(48 33737.742),(49 33978.992),(50 34214.91),(51 34821.234),(52 35405.992),(53 35830.188),(54 35945.723),(55 36270.023),(56 37103.637),(57 37773.047),(58 37708.05),(59 37625.02),(60 37689.516),(61 37920.426),(62 38053.957),(63 38579.047),(64 39297.44),(65 39892.207),(66 40249.125),(67 40523.133),(68 40903.11),(69 41234.523),(70 41063.75),(71 41044.992),(72 40948.58),(73 40917.434),(74 40881.207),(75 41249.93),(76 41786.316),(77 41747.203),(78 41662.02),(79 41675.5),
(1 5218.6104),(2 13404.041),(3 18257.207),(4 19765.793),(5 20171.893),(6 20587.486),(7 21095.842),(8 21650.217),(9 22232.596),(10 22945.51),(11 23699.152),(12 24057.713),(13 24326.477),(14 25059.602),(15 25759.225),(16 25764.965),(17 25075.36),(18 24271.492),(19 24044.398),(20 24601.475),(21 25278.26),(22 26020.572),(23 26495.625),(24 26582.957),(25 26829.84),(26 27431.547),(27 27971.164),(28 28194.736),(29 28251.252),(30 28238.81),(31 28275.342),(32 28246.777),(33 28352.723),(34 28672.73),(35 28572.094),(36 28225.482),(37 28240.352),(38 28492.795),(39 28833.514),(40 28982.041),(41 29092.678),(42 28954.422),(43 29013.93),(44 29166.152),(45 29626.947),(46 30221.393),(47 30469.387),(48 30504.293),(49 30768.607),(50 31360.252),(51 31996.777),(52 32630.135),(53 33005.344),(54 33021.027),(55 32992.723),(56 33087.855),(57 33310.348),(58 33620.98),(59 33963.273),(60 34082.902),(61 34119.375),(62 34007.41),(63 33596.566),(64 33541.12),(65 33573.977),(66 33730.848),(67 33844.355),(68 34185.57),(69 34822.016),(70 35181.684),(71 35136.496),(72 34949.563),(73 35012.18),(74 35273.703),(75 35744.89),(76 36266.383),(77 36084.504),(78 35835.625),(79 35611.49),
(1 5393.267),(2 14064.098),(3 19334.412),(4 20915.389),(5 21091.725),(6 21290.232),(7 21859.178),(8 22537.123),(9 23580.002),(10 24599.31),(11 25081.473),(12 25007.203),(13 25208.656),(14 26027.162),(15 26610.31),(16 26208.25),(17 25444.78),(18 24745.281),(19 24535.04),(20 24935.96),(21 25364.945),(22 25979.254),(23 26574.33),(24 26851.441),(25 27470.996),(26 28133.629),(27 28665.68),(28 28902.691),(29 29025.26),(30 29110.207),(31 29407.326),(32 29563.969),(33 29507.42),(34 29092.973),(35 28648.434),(36 28605.934),(37 29198.191),(38 29744.43),(39 30052.365),(40 30251.469),(41 30594.707),(42 31110.729),(43 31539.143),(44 31737.059),(45 31992.232),(46 32277.918),(47 32444.268),(48 32762.977),(49 33357.242),(50 34105.11),(51 34950.758),(52 34988.81),(53 34703.953),(54 34643.79),(55 35253.184),(56 35825.98),(57 36518.42),(58 37154.348),(59 37892.09),(60 38640.152),(61 39020.477),(62 38707.08),(63 38453.195),(64 38676.65),(65 38905.098),(66 38854.297),(67 38236.04),(68 37673.254),(69 37478.227),(70 37495.977),(71 37775.402),(72 38193.613),(73 38623.246),(74 38629.453),(75 38666.293),(76 38698.508),(77 38516.813),(78 38466.203),(79 38231.324),
