1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9481.581),(2 18127.023),(3 39478.32),(4 57872.375),(5 86120.914),(6 111008.336),(7 144494.45),(8 174072.73),(9 213735.77),(10 247733.42),(11 290072.6),(12 328987.44),(13 377512),(14 422453.5),(15 477876.66),(16 529414.9),(17 592132),(18 651562.8),(19 719114.3),(20 786711.8),(21 867741.06),(22 955897.2),(23 1060782.4),(24 1168005.9),(25 1289902.9),(26 1412208),(27 1554034.4),(28 1703572.6),(29 1875565.6),(30 2044097.4),(31 2235660.8),(32 2431278.3),(33 2621840.8),(34 2791202),(35 2964467.3),(36 3134525.3),(37 3309963),(38 3487600.8),(39 3679160),(40 3860073),(41 4051022),(42 4252239.5),(43 4449972.5),(44 4639570.5),(45 4828909),(46 5006564),(47 5205858.5),(48 5392168.5),(49 5579575.5),(50 5769668.5),(51 5958550.5),(52 6143808),(53 6333697.5),(54 6509206),(55 6716504),(56 6917448),(57 7120712),(58 7315674.5),(59 7494668),(60 7661336.5),(61 7842574.5),(62 7968258.5),(63 8093457.5),(64 8211676),(65 8312789.5),(66 8406401),(67 8486261),(68 8543316),(69 8587498),(70 8600792),(71 8612488),(72 8596220),(73 8569201),(74 8515993),(75 8464940),(76 8379668.5),(77 8308587.5),(78 8219953.5),(79 8156474.5),
(1 1082.7473),(2 2139.6152),(3 2480.0654),(4 2521.0176),(5 2337.2092),(6 2108.0476),(7 1995.6223),(8 1887.4849),(9 1883.4656),(10 1939.8574),(11 2115.486),(12 2271.7903),(13 2320.089),(14 2327.8748),(15 2297.792),(16 2168.8875),(17 2048.5598),(18 2006.9486),(19 2037.3301),(20 2167.7783),(21 2282.7615),(22 2333.6628),(23 2347.6792),(24 2303.8816),(25 2196.409),(26 2153.1653),(27 2097.5654),(28 2076.5916),(29 2145.208),(30 2217.1143),(31 2305.7554),(32 2368.9158),(33 2379.7673),(34 2347.401),(35 2300.752),(36 2276.5637),(37 2257.446),(38 2187.1216),(39 2170.93),(40 2210.6292),(41 2337.3362),(42 2391.881),(43 2395.43),(44 2365.3752),(45 2385.9614),(46 2341.509),(47 2316.8435),(48 2245.0496),(49 2235.1646),(50 2242.628),(51 2290.6848),(52 2278.1252),(53 2268.4988),(54 2251.3125),(55 2195.9097),(56 2191.3162),(57 2206.9988),(58 2183.7805),(59 2150.9348),(60 2099.9788),(61 2025.3494),(62 2022.6223),(63 2117.0913),(64 2136.471),(65 2103.2444),(66 2072.6885),(67 2049.9749),(68 2012.5271),(69 2038.5338),(70 2082.8835),(71 2124.3828),(72 2135.9785),(73 2090.498),(74 2061.7126),(75 2104.2502),(76 2110.5908),(77 2113.1243),(78 2130.7173),(79 2192.321),
(1 1022.9067),(2 1998.776),(3 2300.8103),(4 2330.6526),(5 2170.7412),(6 2010.3834),(7 1923.112),(8 1799.048),(9 1796.5569),(10 1877.9272),(11 2081.2158),(12 2235.2764),(13 2262.187),(14 2220.9487),(15 2173.2847),(16 2035.5492),(17 1947.8461),(18 1936.5774),(19 1960.0482),(20 2074.5364),(21 2208.1877),(22 2277.3079),(23 2316.845),(24 2262.99),(25 2115.9883),(26 2016.3934),(27 1957.7877),(28 1979.1411),(29 2056.3486),(30 2157.3623),(31 2186.1482),(32 2212.29),(33 2214.7441),(34 2199.742),(35 2170.0818),(36 2163.1252),(37 2121.5042),(38 2081.2114),(39 2144.8079),(40 2152.3376),(41 2208.285),(42 2210.4417),(43 2214.4585),(44 2163.3945),(45 2134.8147),(46 2158.0325),(47 2129.2383),(48 2092.5803),(49 2095.5464),(50 2089.472),(51 2091.7048),(52 2063.9517),(53 2035.7164),(54 2069.4487),(55 2077.7512),(56 2071.7766),(57 2068.5515),(58 2037.1226),(59 1990.761),(60 1917.9176),(61 1861.0575),(62 1878.6664),(63 1924.3458),(64 1950.1306),(65 1948.7904),(66 1923.0115),(67 1897.0059),(68 1857.9819),(69 1857.8954),(70 1889.3373),(71 1908.2222),(72 1969.7424),(73 2005.4631),(74 1983.4949),(75 1986.7263),(76 1995.0441),(77 2039.4945),(78 2077.2922),(79 2042.1952),
(1 1015.636),(2 1969.1223),(3 2249.6868),(4 2282.637),(5 2146.4255),(6 1981.1106),(7 1889.3806),(8 1756.0481),(9 1759.0913),(10 1900.9186),(11 2130.884),(12 2260.058),(13 2246.8762),(14 2161.2),(15 2094.1616),(16 1969.1447),(17 1922.5287),(18 1999.2046),(19 2063.7466),(20 2135.6328),(21 2192.6084),(22 2210.7551),(23 2235.9927),(24 2197.9192),(25 2079.0078),(26 2014.3423),(27 1977.7771),(28 2001.1531),(29 2088.4578),(30 2171.9785),(31 2243.0562),(32 2240.919),(33 2261.1953),(34 2198.6),(35 2118.2083),(36 2058.5215),(37 2087.7405),(38 2113.5286),(39 2167.125),(40 2205.6772),(41 2248.9993),(42 2231.975),(43 2184.971),(44 2145.7563),(45 2137.8953),(46 2159.7856),(47 2197.4866),(48 2150.4573),(49 2097.6494),(50 2089.1826),(51 2123.3943),(52 2103.9832),(53 2099.0808),(54 2114.5173),(55 2105.668),(56 2058.0452),(57 2009.9205),(58 1948.8754),(59 1923.768),(60 1931.0813),(61 1912.5432),(62 1920.1648),(63 1970.6469),(64 1945.121),(65 1867.9684),(66 1828.3588),(67 1823.3484),(68 1854.6461),(69 1911.35),(70 1963.7633),(71 1933.2957),(72 1904.0834),(73 1918.1943),(74 1924.4768),(75 1915.2511),(76 1894.1398),(77 1914.8346),(78 2004.2449),(79 2034.2252),
(1 912.79004),(2 1745.1481),(3 2001.3066),(4 1978.2401),(5 1833.3413),(6 1769.2228),(7 1748.0309),(8 1645.8418),(9 1652.8528),(10 1754.741),(11 1931.3374),(12 2028.9565),(13 2027.9474),(14 1981.126),(15 1915.7643),(16 1833.1443),(17 1832.7576),(18 1917.9274),(19 1972.672),(20 2027.4941),(21 2050.6902),(22 2033.7092),(23 2015.6538),(24 2010.5217),(25 1994.3832),(26 1986.5288),(27 1916.9556),(28 1895.8676),(29 1948.2972),(30 2048.015),(31 2125.5889),(32 2101.1077),(33 2081.529),(34 2013.6493),(35 1976.2689),(36 1972.0621),(37 2011.8701),(38 2019.6787),(39 2068.8928),(40 2067.825),(41 2079.4705),(42 2097.282),(43 2072.7769),(44 2029.3972),(45 2010.2666),(46 2029.6028),(47 2016.1537),(48 1980.7607),(49 1927.0352),(50 1926.6334),(51 1988.548),(52 1960.8501),(53 1905.947),(54 1931.0962),(55 1940.4463),(56 1890.1874),(57 1840.6603),(58 1777.2771),(59 1754.2346),(60 1776.1569),(61 1789.0668),(62 1803.4487),(63 1773.0518),(64 1727.3363),(65 1731.034),(66 1731.3462),(67 1717.7974),(68 1671.2764),(69 1719.5177),(70 1770.3119),(71 1776.4338),(72 1759.1722),(73 1748.1061),(74 1779.3036),(75 1808.8591),(76 1791.7577),(77 1801.3661),(78 1853.2354),(79 1893.4021),
(1 867.59485),(2 1618.4784),(3 1801.0967),(4 1791.6108),(5 1660.4615),(6 1599.9426),(7 1592.6571),(8 1528.5648),(9 1553.6359),(10 1665.927),(11 1805.8253),(12 1853.6268),(13 1839.3235),(14 1808.7301),(15 1762.8883),(16 1726.7645),(17 1732.3217),(18 1842.6819),(19 1888.7339),(20 1929.714),(21 1944.5571),(22 1898.5829),(23 1893.7463),(24 1904.2135),(25 1850.7882),(26 1860.1891),(27 1832.8834),(28 1845.098),(29 1942.3209),(30 1994.3878),(31 2034.787),(32 1976.7836),(33 1958.8846),(34 1928.9773),(35 1931.5344),(36 1957.8033),(37 1975.2297),(38 2010.9229),(39 2028.0674),(40 2017.8153),(41 2015.3783),(42 2003.7675),(43 2012.6819),(44 2008.448),(45 1961.475),(46 1972.7773),(47 2004.6503),(48 1978.6661),(49 1948.021),(50 1909.1501),(51 1957.1459),(52 1960.4736),(53 1907.7708),(54 1906.7416),(55 1851.5178),(56 1818.6891),(57 1795.0066),(58 1763.6927),(59 1746.5066),(60 1742.4924),(61 1734.804),(62 1735.412),(63 1735.124),(64 1669.0635),(65 1633.037),(66 1656.4745),(67 1675.0507),(68 1678.0895),(69 1694.0425),(70 1733.4177),(71 1735.6826),(72 1707.6846),(73 1691.0786),(74 1676.2192),(75 1704.1294),(76 1738.231),(77 1772.8125),(78 1765.7719),(79 1788.9197),
(1 802.72925),(2 1453.7482),(3 1630.0182),(4 1598.4241),(5 1440.571),(6 1413.7324),(7 1437.3953),(8 1438.1735),(9 1504.3896),(10 1547.2566),(11 1607.7397),(12 1653.8188),(13 1628.2205),(14 1573.521),(15 1578.0646),(16 1582.4324),(17 1615.6238),(18 1685.3901),(19 1712.481),(20 1683.2357),(21 1673.7731),(22 1677.1536),(23 1725.5228),(24 1789.1802),(25 1755.8098),(26 1722.3633),(27 1687.4315),(28 1668.4293),(29 1761.2915),(30 1831.4799),(31 1893.4387),(32 1875.5731),(33 1864.8481),(34 1833.4208),(35 1773.6686),(36 1750.782),(37 1782.0166),(38 1820.1194),(39 1872.8268),(40 1890.7893),(41 1836.2109),(42 1870.7225),(43 1886.8735),(44 1918.5146),(45 1864.5198),(46 1825.707),(47 1792.7855),(48 1793.9512),(49 1796.631),(50 1761.2899),(51 1791.1893),(52 1786.8029),(53 1776.8053),(54 1791.9851),(55 1766.5386),(56 1719.1724),(57 1667.6807),(58 1654.4429),(59 1666.662),(60 1672.5406),(61 1614.5939),(62 1577.0137),(63 1585.3689),(64 1544.1587),(65 1521.6647),(66 1519.0214),(67 1504.0356),(68 1505.6898),(69 1513.3567),(70 1556.1207),(71 1595.4266),(72 1557.656),(73 1526.7479),(74 1498.7433),(75 1523.2322),(76 1572.4027),(77 1635.4246),(78 1674.635),(79 1650.1978),
(1 765.7701),(2 1383.959),(3 1495.6758),(4 1449.4165),(5 1300.5164),(6 1298.8685),(7 1358.9318),(8 1346.6454),(9 1327.9839),(10 1396.3003),(11 1460.3599),(12 1492.6261),(13 1495.4023),(14 1457.3961),(15 1445.1823),(16 1438.4817),(17 1466.7104),(18 1555.1881),(19 1585.3533),(20 1566.3234),(21 1527.685),(22 1548.248),(23 1589.5104),(24 1590.2325),(25 1566.5059),(26 1566.7001),(27 1556.7135),(28 1563.2341),(29 1589.0748),(30 1612.701),(31 1672.5784),(32 1681.2837),(33 1692.8884),(34 1716.7518),(35 1697.6053),(36 1676.4069),(37 1647.3761),(38 1638.0797),(39 1677.9147),(40 1702.2576),(41 1699.9613),(42 1703.0848),(43 1707.9478),(44 1723.3652),(45 1709.5284),(46 1748.8862),(47 1737.5238),(48 1690.9893),(49 1665.0791),(50 1652.1663),(51 1694.7316),(52 1751.7124),(53 1739.7477),(54 1712.9108),(55 1699.705),(56 1653.8895),(57 1646.862),(58 1630.0725),(59 1634.262),(60 1615.4031),(61 1555.8119),(62 1520.9125),(63 1510.4873),(64 1511.2758),(65 1523.1542),(66 1527.3008),(67 1530.5193),(68 1531.241),(69 1492.1613),(70 1500.1251),(71 1520.9086),(72 1526.2328),(73 1523.7837),(74 1501.6921),(75 1459.1006),(76 1474.6755),(77 1505.3168),(78 1532.565),(79 1549.9758),
(1 799.7462),(2 1432.7183),(3 1531.8407),(4 1506.1896),(5 1354.9788),(6 1313.5714),(7 1355.2605),(8 1316.6543),(9 1300.9941),(10 1380.6793),(11 1451.5521),(12 1484.3134),(13 1472.8862),(14 1419.4917),(15 1423.6492),(16 1408.308),(17 1414.0663),(18 1508.6267),(19 1536.2762),(20 1516.515),(21 1491.3376),(22 1494.7463),(23 1556.0486),(24 1596.0267),(25 1565.1399),(26 1555.1432),(27 1552.1783),(28 1537.9636),(29 1578.3887),(30 1567.387),(31 1567.9219),(32 1576.733),(33 1593.265),(34 1618.5514),(35 1646.1726),(36 1660.8677),(37 1636.7999),(38 1595.5188),(39 1599.1527),(40 1638.4395),(41 1631.8821),(42 1617.0049),(43 1633.9596),(44 1678.9437),(45 1693.3086),(46 1683.2054),(47 1650.3644),(48 1609.8564),(49 1608.3094),(50 1582.8882),(51 1581.5005),(52 1609.1475),(53 1626.6907),(54 1602.6177),(55 1588.4973),(56 1565.335),(57 1580.9296),(58 1556.6268),(59 1547.5586),(60 1531.1295),(61 1475.6359),(62 1453.92),(63 1459.66),(64 1446.7075),(65 1441.7142),(66 1433.5142),(67 1461.8971),(68 1500.4434),(69 1511.0986),(70 1525.4912),(71 1522.3167),(72 1516.9875),(73 1543.4957),(74 1524.4777),(75 1516.9188),(76 1530.2813),(77 1548.219),(78 1533.8717),(79 1535.8942),
(1 820.3815),(2 1504.5853),(3 1636.9979),(4 1594.3951),(5 1435.6283),(6 1334.597),(7 1306.6627),(8 1278.6077),(9 1308.8817),(10 1428.5685),(11 1526.928),(12 1558.5415),(13 1525.5319),(14 1449.8203),(15 1413.4412),(16 1376.6166),(17 1393.8536),(18 1500.4058),(19 1498.6034),(20 1484.8942),(21 1483.9166),(22 1476.4973),(23 1515.7616),(24 1514.3633),(25 1480.9178),(26 1488.4736),(27 1497.559),(28 1560.13),(29 1564.4902),(30 1569.5905),(31 1576.9681),(32 1537.5763),(33 1525.4485),(34 1520.6072),(35 1548.9064),(36 1603.8662),(37 1595.0492),(38 1599.3193),(39 1631.7279),(40 1641.6736),(41 1634.3304),(42 1594.3375),(43 1568.4812),(44 1594.8119),(45 1621.2848),(46 1655.0414),(47 1679.3021),(48 1612.6523),(49 1583.6442),(50 1557.3812),(51 1552.0757),(52 1595.6736),(53 1602.3456),(54 1610.0176),(55 1596.5739),(56 1551.8241),(57 1576.9572),(58 1573.7529),(59 1553.1943),(60 1521.8911),(61 1478.3931),(62 1465.7596),(63 1450.3492),(64 1407.3),(65 1417.5592),(66 1423.7925),(67 1434.0083),(68 1460.2327),(69 1476.0585),(70 1498.3019),(71 1506.335),(72 1494.2152),(73 1495.361),(74 1488.2867),(75 1506.2891),(76 1527.6863),(77 1516.9153),(78 1535.5632),(79 1565.538),
(1 820.99713),(2 1533.1055),(3 1704.1515),(4 1702.6808),(5 1527.3934),(6 1374.194),(7 1326.6149),(8 1262.9146),(9 1291.96),(10 1431.8418),(11 1592.0284),(12 1646.3553),(13 1607.2675),(14 1495.5828),(15 1383.3236),(16 1338.093),(17 1371.7051),(18 1469.7888),(19 1529.4191),(20 1548.3817),(21 1559.0305),(22 1538.3605),(23 1533.8846),(24 1511.4528),(25 1454.7065),(26 1454.1958),(27 1493.2706),(28 1558.4344),(29 1619.8633),(30 1626.2186),(31 1607.8318),(32 1579.0208),(33 1550.8557),(34 1537.9056),(35 1530.3397),(36 1557.6228),(37 1584.2413),(38 1636.6417),(39 1661.2275),(40 1666.3705),(41 1609.887),(42 1557.9945),(43 1556.5966),(44 1606.6149),(45 1585.808),(46 1604.7534),(47 1618.46),(48 1587.4001),(49 1581.1747),(50 1574.4385),(51 1530.013),(52 1520.121),(53 1525.6576),(54 1557.1563),(55 1527.0149),(56 1465.8416),(57 1459.6205),(58 1475.5438),(59 1474.1971),(60 1459.1028),(61 1423.9941),(62 1405.3754),(63 1424.6865),(64 1412.8644),(65 1379.125),(66 1350.6906),(67 1362.1863),(68 1400.8875),(69 1428.4163),(70 1470.6193),(71 1478.2),(72 1446.7726),(73 1440.3937),(74 1446.4067),(75 1473.4999),(76 1495.8844),(77 1469.7147),(78 1442.5358),(79 1467.9609),
(1 814.48083),(2 1486.1073),(3 1629.963),(4 1635.2045),(5 1458.6488),(6 1327.6652),(7 1294.809),(8 1224.4078),(9 1215.2874),(10 1380.0272),(11 1547.2415),(12 1630.5499),(13 1578.6305),(14 1455.7413),(15 1357.936),(16 1307.5271),(17 1341.9642),(18 1441.2266),(19 1493.0723),(20 1524.429),(21 1534.3796),(22 1518.8777),(23 1513.821),(24 1452.6289),(25 1397.8202),(26 1411.6073),(27 1484.7574),(28 1531.5887),(29 1607.2914),(30 1608.1403),(31 1556.1934),(32 1543.7845),(33 1530.1483),(34 1527.3295),(35 1524.229),(36 1528.3552),(37 1544.5889),(38 1567.6613),(39 1614.6268),(40 1651.9597),(41 1627.3461),(42 1573.6901),(43 1535.676),(44 1577.0582),(45 1573.2435),(46 1586.8851),(47 1573.9583),(48 1537.4292),(49 1524.9473),(50 1518.0587),(51 1500.9913),(52 1490.9968),(53 1476.2559),(54 1540.375),(55 1524.1892),(56 1462.6995),(57 1464.544),(58 1451.4889),(59 1429.92),(60 1430.7043),(61 1406.5667),(62 1383.9381),(63 1369.5778),(64 1374.4087),(65 1385.134),(66 1365.4833),(67 1362.8292),(68 1354.3596),(69 1368.1583),(70 1400.2932),(71 1407.1753),(72 1408.6589),(73 1428.6804),(74 1404.3892),(75 1387.2524),(76 1403.7318),(77 1410.1061),(78 1403.8699),(79 1415.2351),
(1 777.1476),(2 1364.485),(3 1457.7463),(4 1478.8085),(5 1341.5303),(6 1260.2863),(7 1246.7682),(8 1176.7706),(9 1155.2216),(10 1294.927),(11 1462.89),(12 1513.275),(13 1471.4462),(14 1391.2294),(15 1324.1051),(16 1259.6241),(17 1276.855),(18 1356.1862),(19 1428.0305),(20 1455.7517),(21 1468.0829),(22 1467.1167),(23 1461.8842),(24 1431.9584),(25 1343.946),(26 1341.6854),(27 1402.4235),(28 1463.2162),(29 1518.0388),(30 1505.8436),(31 1486.0581),(32 1462.8788),(33 1490.0994),(34 1495.8201),(35 1480.8502),(36 1439.464),(37 1483.1873),(38 1520.4054),(39 1535.9584),(40 1538.0135),(41 1537.9502),(42 1515.5905),(43 1535.1604),(44 1545.6511),(45 1496.9958),(46 1473.8141),(47 1480.0581),(48 1495.6444),(49 1514.8608),(50 1513.7463),(51 1490.225),(52 1445.865),(53 1440.4921),(54 1475.0077),(55 1473.6802),(56 1405.4346),(57 1405.047),(58 1391.8098),(59 1363.1045),(60 1384.8326),(61 1388.4303),(62 1383.6563),(63 1363.5972),(64 1325.6139),(65 1314.0758),(66 1306.6057),(67 1314.9469),(68 1319.1283),(69 1332.347),(70 1366.6357),(71 1340.2793),(72 1348.3646),(73 1359.5708),(74 1353.2488),(75 1347.6016),(76 1340.0262),(77 1332.3894),(78 1327.3772),(79 1340.4373),
(1 775.85175),(2 1322.3895),(3 1345.162),(4 1327.3538),(5 1255.8984),(6 1208.663),(7 1198.0831),(8 1147.9445),(9 1151.1425),(10 1277.8762),(11 1407.4175),(12 1423.9656),(13 1387.9692),(14 1305.6053),(15 1247.5571),(16 1222.6588),(17 1247.847),(18 1317.6096),(19 1352.4481),(20 1364.036),(21 1382.4379),(22 1407.1145),(23 1413.1396),(24 1381.4741),(25 1326.7728),(26 1333.0594),(27 1350.0332),(28 1400.7004),(29 1423.8372),(30 1426.5989),(31 1443.5302),(32 1443.2953),(33 1447.2599),(34 1458.7275),(35 1454.0502),(36 1388.1344),(37 1444.8726),(38 1476.7572),(39 1497.1166),(40 1496.681),(41 1508.1586),(42 1488.7162),(43 1454.6995),(44 1456.6556),(45 1453.9634),(46 1456.216),(47 1472.7168),(48 1439.76),(49 1438.093),(50 1446.2559),(51 1450.9711),(52 1463.8743),(53 1435.684),(54 1444.48),(55 1421.4282),(56 1372.0513),(57 1372.757),(58 1348.5012),(59 1332.1652),(60 1347.4252),(61 1331.9069),(62 1336.9458),(63 1325.6345),(64 1300.8868),(65 1287.5562),(66 1281.8505),(67 1274.0769),(68 1254.0405),(69 1264.1886),(70 1279.9064),(71 1279.0278),(72 1262.3156),(73 1293.8756),(74 1303.8668),(75 1316.553),(76 1338.9852),(77 1317.8126),(78 1293.4963),(79 1316.1434),
(1 700.1053),(2 1171.9255),(3 1164.2528),(4 1158.3253),(5 1105.8948),(6 1075.2245),(7 1102.6681),(8 1053.7446),(9 1065.2705),(10 1186.4661),(11 1269.5051),(12 1284.5088),(13 1213.0056),(14 1145.282),(15 1111.6887),(16 1138.2136),(17 1227.201),(18 1272.8816),(19 1264.918),(20 1241.7177),(21 1242.77),(22 1279.7054),(23 1328.4169),(24 1296.3752),(25 1268.5154),(26 1284.3113),(27 1315.7201),(28 1324.6981),(29 1334.9789),(30 1327.1215),(31 1331.9991),(32 1346.8634),(33 1347.2323),(34 1359.26),(35 1348.2638),(36 1350.5636),(37 1347.0913),(38 1368.6127),(39 1378.8434),(40 1402.6097),(41 1401.5122),(42 1388.0757),(43 1368.7275),(44 1387.3925),(45 1380.97),(46 1346.6536),(47 1338.1307),(48 1332.236),(49 1357.1163),(50 1356.8582),(51 1367.9259),(52 1378.9508),(53 1378.2559),(54 1390.4696),(55 1382.7458),(56 1334.3599),(57 1322.426),(58 1285.511),(59 1253.3867),(60 1256.8877),(61 1258.3899),(62 1249.7753),(63 1246.9149),(64 1248.378),(65 1251.4856),(66 1222.9592),(67 1202.9701),(68 1204.9581),(69 1219.3751),(70 1232.7073),(71 1214.9412),(72 1184.1511),(73 1191.431),(74 1192.6125),(75 1202.2151),(76 1235.3027),(77 1227.1533),(78 1188.8606),(79 1195.3308),
(1 697.3767),(2 1143.2079),(3 1125.6625),(4 1115.186),(5 1051.8857),(6 1052.1241),(7 1075.6425),(8 1046.0361),(9 1057.4368),(10 1168.1312),(11 1227.9974),(12 1195.508),(13 1151.1157),(14 1098.1339),(15 1108.1163),(16 1124.8049),(17 1189.7295),(18 1211.7109),(19 1208.0287),(20 1184.602),(21 1162.8013),(22 1182.6797),(23 1222.2197),(24 1234.914),(25 1217.801),(26 1257.7701),(27 1276.9407),(28 1270.247),(29 1239.411),(30 1227.5764),(31 1242.4382),(32 1263.9858),(33 1295.6292),(34 1290.4049),(35 1287.3907),(36 1299.7555),(37 1320.7391),(38 1303.2037),(39 1294.3687),(40 1302.2769),(41 1305.9573),(42 1309.6958),(43 1297.0612),(44 1314.4875),(45 1328.7867),(46 1324.186),(47 1322.7556),(48 1293.0618),(49 1303.5581),(50 1305.9838),(51 1323.4076),(52 1320.1821),(53 1284.6615),(54 1307.9252),(55 1323.3627),(56 1316.8378),(57 1309.6901),(58 1262.961),(59 1220.3474),(60 1208.0413),(61 1189.32),(62 1189.9154),(63 1193.2043),(64 1192.9984),(65 1210.3846),(66 1216.2291),(67 1213.6005),(68 1197.092),(69 1194.6819),(70 1232.0038),(71 1248.9424),(72 1230.4874),(73 1230.4274),(74 1198.123),(75 1201.4141),(76 1227.9653),(77 1269.0018),(78 1261.7295),(79 1250.0713),
(1 675.2998),(2 1057.545),(3 1031.5095),(4 1075.051),(5 995.7061),(6 966.7017),(7 989.98914),(8 963.1029),(9 985.43085),(10 1079.8992),(11 1127.1747),(12 1110.861),(13 1082.8077),(14 1047.3011),(15 1062.7786),(16 1057.0663),(17 1107.626),(18 1157.054),(19 1150.5715),(20 1133.3241),(21 1093.7891),(22 1104.7137),(23 1140.4342),(24 1154.1428),(25 1158.2856),(26 1193.2375),(27 1235.2263),(28 1215.1716),(29 1191.2354),(30 1160.1245),(31 1167.0789),(32 1204.8757),(33 1209.6101),(34 1251.3977),(35 1254.9906),(36 1251.3766),(37 1234.5295),(38 1220.2651),(39 1212.652),(40 1209.7389),(41 1224.4957),(42 1249.5627),(43 1244.5127),(44 1270.6278),(45 1268.1554),(46 1270.3496),(47 1261.241),(48 1236.4998),(49 1249.7513),(50 1219.1055),(51 1214.4088),(52 1216.5868),(53 1213.4058),(54 1262.0581),(55 1271.8091),(56 1258.5018),(57 1251.7815),(58 1209.236),(59 1200.5123),(60 1201.0964),(61 1169.8591),(62 1174.1083),(63 1171.9063),(64 1165.3318),(65 1188.3964),(66 1171.8812),(67 1151.8446),(68 1147.0349),(69 1157.225),(70 1166.5323),(71 1196.4124),(72 1189.7634),(73 1180.3566),(74 1174.2118),(75 1156.8379),(76 1153.2302),(77 1158.6661),(78 1190.4961),(79 1215.378),
