1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59108.8),(2 78669.65),(3 68071.86),(4 146341.05),(5 201460.89),(6 220042.92),(7 307908.06),(8 381273.4),(9 388765.22),(10 498230.6),(11 642296.44),(12 697813.94),(13 840934.06),(14 960951),(15 1014140.3),(16 1163041.5),(17 1271265.4),(18 1320989.6),(19 1447004),(20 1555239.9),(21 1603558.4),(22 1744504),(23 1876976.4),(24 1929126.5),(25 2075434.4),(26 2195303.3),(27 2249982.8),(28 2398073.8),(29 2495543),(30 2537784.3),(31 2687659.8),(32 2779249.8),(33 2788608.8),(34 2910044.8),(35 2991891.3),(36 3009532),(37 3145074.8),(38 3238131.3),(39 3253845),(40 3396923.8),(41 3507438),(42 3553832),(43 3721439),(44 3825260),(45 3873372.8),(46 4032419.3),(47 4160113.3),(48 4210441.5),(49 4375042),(50 4512070),(51 4597553.5),(52 4797761),(53 4975184.5),(54 5070390),(55 5279804.5),(56 5443605.5),(57 5535370.5),(58 5715626),(59 5864248.5),(60 5947752),(61 6141901.5),(62 6299973.5),(63 6387509.5),(64 6593404),(65 6740702.5),(66 6848274),(67 7052922.5),(68 7229432),(69 7346946.5),(70 7569500.5),(71 7735840),(72 7871044),(73 8088137.5),(74 8240083.5),(75 8381972),(76 8580481),(77 8721629),(78 8860059),(79 9094371),
(1 6123.0986),(2 17493.795),(3 28503.643),(4 37284.87),(5 43743.79),(6 48513.027),(7 52606.902),(8 56276.555),(9 59619.3),(10 63106.563),(11 65667.71),(12 67947.01),(13 70447.234),(14 72848.55),(15 75320.695),(16 77454.914),(17 79043.8),(18 80647.36),(19 81498.086),(20 81297.234),(21 80551.78),(22 79578.91),(23 78456.266),(24 78009.695),(25 78476.4),(26 79066.22),(27 80161.42),(28 81024.97),(29 81474.29),(30 82078.67),(31 83207.26),(32 84751.625),(33 85833.195),(34 87240.26),(35 88605.38),(36 89109.086),(37 89154.875),(38 88973.07),(39 88612.71),(40 88545.195),(41 88557.67),(42 89339.305),(43 90656.49),(44 91694.555),(45 92322),(46 92502.945),(47 92120.05),(48 92650.55),(49 93717.5),(50 94857.4),(51 95345.72),(52 95731.86),(53 95395.18),(54 95034.664),(55 94610.305),(56 93722.18),(57 93250.586),(58 92876.25),(59 93006.914),(60 93602.6),(61 94627.52),(62 95497.04),(63 95303.63),(64 94995.305),(65 94442.21),(66 93836.25),(67 93095.766),(68 92791.836),(69 92404.47),(70 92143.86),(71 92171.56),(72 91912.65),(73 91596.586),(74 91213.695),(75 91445.6),(76 91309.48),(77 91211.14),(78 91333.64),(79 91814.875),
(1 5827.9536),(2 16916.693),(3 27668.713),(4 36113.03),(5 42073.418),(6 46398.586),(7 49627.83),(8 52419.543),(9 54896.6),(10 57232.465),(11 59223.96),(12 61256.426),(13 63132.332),(14 64885.74),(15 66113.33),(16 66911.67),(17 68181.99),(18 69982.06),(19 71987.67),(20 73859.836),(21 75385.48),(22 76103.03),(23 75831.2),(24 75735.79),(25 76016.68),(26 76374.82),(27 76889.51),(28 77175.72),(29 77514.08),(30 78250.6),(31 79023.266),(32 80064.27),(33 80876.02),(34 82358.2),(35 83719.9),(36 84632.51),(37 84909.28),(38 84231.49),(39 83999.71),(40 84115.625),(41 84667.42),(42 85841.42),(43 86938.914),(44 87555.984),(45 87361.19),(46 86723.914),(47 86271.92),(48 86338.18),(49 87260.67),(50 88057.94),(51 88210.57),(52 88784.64),(53 88890.4),(54 88974.1),(55 88486.29),(56 87292.89),(57 86515.02),(58 86384.55),(59 86875.49),(60 87080.32),(61 87534.5),(62 88202.54),(63 88831.82),(64 89696.18),(65 90446.42),(66 91190.93),(67 91466.22),(68 91223.85),(69 91003.33),(70 90592.305),(71 90190.99),(72 89839.17),(73 89391.83),(74 88557.78),(75 87916.08),(76 87478.37),(77 87358.02),(78 86954.69),(79 86568.06),
(1 5692.5337),(2 16248.198),(3 26803.057),(4 34540.918),(5 39957.46),(6 43958.25),(7 47305.355),(8 50588.613),(9 53519.113),(10 55897.05),(11 57786.65),(12 59709.137),(13 61392.07),(14 62953.98),(15 64236.64),(16 64911.35),(17 65966.48),(18 67375.85),(19 69085.51),(20 70543.21),(21 71751.53),(22 73026.63),(23 73582.59),(24 74005.85),(25 74643.14),(26 74986.72),(27 75188.61),(28 75176.73),(29 75261.68),(30 76060.06),(31 76899.83),(32 77648.414),(33 78050.83),(34 79341.695),(35 80490.79),(36 81713.59),(37 82782.5),(38 83426.18),(39 84309.03),(40 84759.8),(41 84797.47),(42 85852.54),(43 86719.32),(44 87525.9),(45 88044.445),(46 88264.78),(47 88253.82),(48 88274.15),(49 88867.54),(50 89289.664),(51 89257.15),(52 88996.96),(53 88779.664),(54 88498.055),(55 88084.37),(56 87482.695),(57 87220.305),(58 86679.4),(59 86536.63),(60 86176.65),(61 85307.766),(62 85033.445),(63 85288.31),(64 85951.11),(65 86562.46),(66 86959.37),(67 86635.055),(68 86120.76),(69 85695.3),(70 85735.695),(71 86084.53),(72 86169.87),(73 85837.91),(74 85690.766),(75 85820.65),(76 86480.21),(77 86869.47),(78 87051.89),(79 87104.42),
(1 5621.4346),(2 15840.167),(3 25967.725),(4 33742.246),(5 39721.56),(6 44226.242),(7 47932.652),(8 51224.836),(9 54261.96),(10 57401.43),(11 59999.74),(12 62727.406),(13 64881.727),(14 66370.91),(15 67274.27),(16 67498.22),(17 68341.086),(18 69196.3),(19 69980.086),(20 70884.27),(21 72119.59),(22 73362.43),(23 74769.92),(24 76046.055),(25 77806.62),(26 79692.22),(27 80909.58),(28 81343.445),(29 81984.086),(30 82683.18),(31 83546.93),(32 84715.05),(33 85398.42),(34 86144.3),(35 85999.94),(36 85747.13),(37 85630.34),(38 85793.18),(39 85644.66),(40 85612.25),(41 85488.914),(42 85540.55),(43 85405.22),(44 84987.125),(45 84938.51),(46 85289.734),(47 85607.7),(48 86104.79),(49 86755.81),(50 87426.36),(51 88161.664),(52 88871.67),(53 89166.52),(54 89601.43),(55 89733.016),(56 89494.13),(57 89576.38),(58 89140.34),(59 88569.71),(60 87830.5),(61 87492.98),(62 87843.14),(63 88346.34),(64 88811.1),(65 89105.18),(66 88938.35),(67 88610.71),(68 88033.99),(69 87661.78),(70 87299.74),(71 86762.82),(72 85804.89),(73 85269.79),(74 85791.55),(75 86566.48),(76 87243.87),(77 87958.37),(78 88595.336),(79 89173.5),
(1 5512.5034),(2 15544.438),(3 25461.477),(4 33314.457),(5 38890.203),(6 43299.074),(7 46608.09),(8 49660.457),(9 52380.363),(10 54574.72),(11 56692.32),(12 59167.676),(13 61328.277),(14 62703.42),(15 63721.78),(16 64547.254),(17 65504.477),(18 66203.414),(19 66702.8),(20 67488.33),(21 68468.32),(22 69449.695),(23 70691.94),(24 71844.64),(25 72962.96),(26 74000.49),(27 75158.49),(28 76523.9),(29 78071.516),(30 79260.414),(31 79936.125),(32 80994.09),(33 81276.055),(34 82078.83),(35 82678.53),(36 82878.82),(37 82720.65),(38 82334.086),(39 82881.164),(40 83214.84),(41 83579.89),(42 83840.61),(43 84105.88),(44 84152.71),(45 84460.96),(46 85314.95),(47 86647.85),(48 88121.016),(49 88724.92),(50 88556.914),(51 88118.055),(52 88031.73),(53 87726.55),(54 87346.96),(55 87345.016),(56 87337.53),(57 87244.44),(58 86771.29),(59 86427.664),(60 86460.23),(61 86851.47),(62 87608.9),(63 87817.555),(64 87924.93),(65 87676.91),(66 87591.805),(67 87572.74),(68 87644.445),(69 87725.56),(70 87474.125),(71 86837.03),(72 85987.73),(73 85459.164),(74 85280.59),(75 85496.7),(76 85788.69),(77 85703.94),(78 85669.016),(79 85429.555),
(1 5503.7935),(2 15328.205),(3 25083.955),(4 32967.656),(5 38595.523),(6 42873.67),(7 46517),(8 49806.6),(9 52218.504),(10 54281.844),(11 55996.98),(12 57753.94),(13 59402.355),(14 60881.586),(15 62369.258),(16 63517.418),(17 65001.703),(18 67028.32),(19 68884.016),(20 70070.484),(21 71046.72),(22 72221.39),(23 72956.79),(24 73723.41),(25 74818.7),(26 75740.47),(27 76868.45),(28 77608.305),(29 78400),(30 79958.43),(31 81481.516),(32 83366.02),(33 84478.24),(34 86306.1),(35 87217.625),(36 87595.63),(37 88289.05),(38 88410.38),(39 89560.28),(40 89417.87),(41 88947.26),(42 88731.77),(43 88719.38),(44 88896.08),(45 89263.47),(46 89695.23),(47 90328.04),(48 90531.94),(49 90615.33),(50 91103.164),(51 91310.734),(52 91630.54),(53 91688.57),(54 91564.516),(55 91022.02),(56 90288.92),(57 90082.195),(58 89841.06),(59 89507.445),(60 88705.03),(61 88586.945),(62 88869.09),(63 89139.94),(64 89706.1),(65 90505.2),(66 91328.89),(67 91617.74),(68 91055.7),(69 90373.92),(70 90241.16),(71 89879.08),(72 89464.48),(73 89516.164),(74 89727.78),(75 89881.24),(76 90274.836),(77 90430.375),(78 90506.4),(79 90595.88),
(1 5368.7705),(2 14939.685),(3 23870.04),(4 30906.82),(5 36268.46),(6 40501.344),(7 43810.082),(8 46884.742),(9 49447.758),(10 51672.313),(11 53239.184),(12 54274.92),(13 55385.176),(14 56639.254),(15 58362.39),(16 59459.117),(17 60501.83),(18 61407.723),(19 62521.887),(20 64024.77),(21 65816.49),(22 67361.945),(23 68696.945),(24 70062.28),(25 72298.49),(26 73950.67),(27 75411.83),(28 76578.94),(29 77567.59),(30 78758.93),(31 80082.16),(32 81584.26),(33 82654.43),(34 84310.55),(35 85086.62),(36 85212.234),(37 85706.99),(38 84965.625),(39 85010.65),(40 84222.85),(41 83317.76),(42 82997.03),(43 82618.08),(44 82218.48),(45 82578.07),(46 83324.22),(47 84058.2),(48 84771.94),(49 85027.57),(50 84798.46),(51 84103.92),(52 83581.88),(53 83267.61),(54 83333.68),(55 83524.64),(56 83493.93),(57 83731.42),(58 83465.336),(59 83852.9),(60 84181.33),(61 84619.59),(62 85264.945),(63 85737.14),(64 85900.95),(65 85859.96),(66 85734.72),(67 85656.75),(68 85829.7),(69 85761.64),(70 85705.59),(71 85233.5),(72 84148.49),(73 83366.664),(74 82713.77),(75 81883.41),(76 81069.26),(77 80148.25),(78 79268.33),(79 78545.75),
(1 5335.7656),(2 15133.758),(3 24554.17),(4 31757.602),(5 36638.434),(6 40112.523),(7 42911.277),(8 44855.563),(9 46274.996),(10 47671.277),(11 49187.64),(12 50522.395),(13 51511.816),(14 52474.074),(15 53676.05),(16 54421.758),(17 55140.715),(18 56047.574),(19 57384.508),(20 59207.566),(21 61151.203),(22 62831.582),(23 63669.69),(24 64563.816),(25 65437.418),(26 66114.15),(27 66644.664),(28 67526.94),(29 68824.78),(30 70620.75),(31 72523.2),(32 74232.19),(33 74531.25),(34 75035.19),(35 74936),(36 74742.43),(37 75175.6),(38 74781.195),(39 75287.06),(40 74979.664),(41 74673.7),(42 74854.03),(43 74991.805),(44 75374.87),(45 75724.51),(46 75745.55),(47 75848.586),(48 75794.38),(49 75444.66),(50 75217.164),(51 74940.75),(52 75073.39),(53 75263.016),(54 75436.91),(55 75171.74),(56 74695.75),(57 74622.76),(58 74364.69),(59 74321.484),(60 74516.81),(61 74921.88),(62 76063.09),(63 76919.02),(64 77692.43),(65 78318.85),(66 78878.2),(67 78852.72),(68 78376.55),(69 78233.95),(70 78330.445),(71 78660.88),(72 78803.37),(73 78855.26),(74 78676.68),(75 77890.766),(76 77092.4),(77 76496.07),(78 76286.164),(79 76320.06),
(1 5168.646),(2 14408.528),(3 23307.88),(4 29986.36),(5 34770.406),(6 38420.65),(7 41452.523),(8 44125.906),(9 46645.613),(10 48960.63),(11 50962.145),(12 52705.402),(13 53780.734),(14 54434.445),(15 55084.31),(16 55722.566),(17 56663.723),(18 58010.24),(19 59494.31),(20 60845.38),(21 62223.02),(22 63612.125),(23 64812.316),(24 66531.08),(25 68761.08),(26 70524.21),(27 71568.82),(28 72085.89),(29 72121.055),(30 72135.34),(31 72223.65),(32 72387.89),(33 72375),(34 72586.1),(35 72450.336),(36 72293.62),(37 72833.695),(38 72808.19),(39 73565.32),(40 73800.83),(41 74003.4),(42 74600.664),(43 75157.586),(44 75737.445),(45 76292.414),(46 76566.125),(47 76645.336),(48 76538.59),(49 76516.83),(50 76478.95),(51 76496.79),(52 76679.586),(53 76386.62),(54 75695.984),(55 75118.02),(56 74469.18),(57 73855.445),(58 73255.47),(59 73146.43),(60 73122.41),(61 72967.766),(62 72702.2),(63 72075.266),(64 72001.11),(65 72417.02),(66 73393.3),(67 74155.625),(68 74258.33),(69 74575.74),(70 74788.18),(71 75003.84),(72 75105.13),(73 75318.375),(74 75220.61),(75 75028.305),(76 75226.46),(77 75921.086),(78 76732.99),(79 77145.04),
(1 5116.0107),(2 14040.861),(3 22387.488),(4 28688.188),(5 33148.895),(6 36496.5),(7 39071.86),(8 41405.996),(9 43501.117),(10 45374.754),(11 46636.574),(12 47995.168),(13 49551.105),(14 50939.32),(15 52135.18),(16 52717.094),(17 53608.082),(18 54604.543),(19 55900.492),(20 56878.258),(21 57578.41),(22 58713.6),(23 59991.023),(24 61129.59),(25 62722.527),(26 64277.06),(27 65794),(28 66842.55),(29 67430.47),(30 67632.7),(31 67663.69),(32 68591.55),(33 69094.79),(34 70028.52),(35 70527.3),(36 70937.45),(37 71727.016),(38 72009.36),(39 72446.24),(40 72326.59),(41 71993.56),(42 71674.03),(43 71078.94),(44 70446.12),(45 69890.57),(46 69546.64),(47 69395.5),(48 69045.555),(49 68706.95),(50 68948.84),(51 69035.39),(52 68973.41),(53 68070.8),(54 67131.74),(55 66524.664),(56 66018.99),(57 66013.2),(58 66363.28),(59 67105.11),(60 67714.67),(61 68097.45),(62 68176.6),(63 67896.76),(64 67892.69),(65 68251.36),(66 69063.73),(67 69703.62),(68 69623.336),(69 69880.62),(70 70382.234),(71 71132.52),(72 71220.61),(73 71113.37),(74 70901.79),(75 70808.24),(76 71196.805),(77 71478.45),(78 71752.125),(79 72096.61),
(1 5237.5303),(2 14472.962),(3 23033.877),(4 29536.018),(5 34323.95),(6 38090.395),(7 40908.84),(8 43408.293),(9 45635.473),(10 47436.438),(11 48844.383),(12 50757.58),(13 52517.035),(14 54258.62),(15 55806.37),(16 56576.574),(17 57459.74),(18 58513.457),(19 59674.188),(20 60339.395),(21 60725.25),(22 61181.855),(23 61839.24),(24 62961.883),(25 64319.145),(26 65342.33),(27 66124.79),(28 66612.52),(29 66956.05),(30 67591.734),(31 68257.4),(32 70228.93),(33 71087.26),(34 72017.02),(35 72235.75),(36 72559.914),(37 73503.57),(38 73983.99),(39 74824.59),(40 75256.46),(41 75504.125),(42 75237.76),(43 74650.23),(44 73991.61),(45 73258.05),(46 72616.06),(47 72466.125),(48 72172.984),(49 72136.836),(50 72512.56),(51 72624.79),(52 72941.03),(53 72734.15),(54 72507.53),(55 72182.79),(56 71555.68),(57 70879.99),(58 70738.32),(59 71580.98),(60 72452.16),(61 73025.43),(62 73432.11),(63 73701.555),(64 74454.125),(65 75029.125),(66 75966.91),(67 76487.22),(68 76633.47),(69 76583.42),(70 76121.14),(71 75838.28),(72 75614.82),(73 75831.17),(74 75624.93),(75 75241.81),(76 74843.4),(77 74966.99),(78 75348.42),(79 75465.26),
(1 5215.6934),(2 14203.518),(3 22529.145),(4 28926.617),(5 33682.16),(6 37319.156),(7 40573.31),(8 43606.85),(9 46424.11),(10 48469.73),(11 49656.16),(12 50480.23),(13 51063.434),(14 51566.453),(15 51874.023),(16 52211.53),(17 53234.887),(18 54296.605),(19 55364.742),(20 56384.508),(21 57098.72),(22 57662.246),(23 58323.6),(24 59197.387),(25 60289.152),(26 60795.164),(27 61576.05),(28 62329.92),(29 62977.93),(30 64100.08),(31 64842.43),(32 65997.55),(33 66176.77),(34 66753.28),(35 67369.11),(36 68430.45),(37 69870.266),(38 70514.375),(39 70555.2),(40 70117.2),(41 69826.82),(42 69770.414),(43 70332.67),(44 70923.91),(45 71100.68),(46 71034.484),(47 71168.99),(48 71036.43),(49 70940.586),(50 70810.62),(51 70346.87),(52 70001.56),(53 69286.76),(54 68716.99),(55 68135.09),(56 67551.414),(57 66971.52),(58 66371.266),(59 66285.44),(60 66516.87),(61 66697.266),(62 66845.79),(63 66982.5),(64 67184.77),(65 67004.734),(66 67044.97),(67 66810.664),(68 66732.82),(69 67074.44),(70 67022.63),(71 67134.1),(72 67048.15),(73 67170.8),(74 67148.55),(75 66832.4),(76 66455.33),(77 65949.94),(78 65842.01),(79 65553.375),
(1 4996.171),(2 13622.293),(3 21208.406),(4 26830.678),(5 31138.006),(6 34717.383),(7 37612.78),(8 40049.98),(9 41906.223),(10 43180.832),(11 44175.22),(12 44907.86),(13 45767.49),(14 46862.445),(15 47855.883),(16 48829.176),(17 50081.043),(18 51280.78),(19 52364.52),(20 53521.348),(21 54629.555),(22 55551.586),(23 56440.188),(24 57460.7),(25 58516.9),(26 59117.773),(27 60133.344),(28 61478.863),(29 62599.58),(30 63996.035),(31 64941.277),(32 66173.48),(33 66745.234),(34 67272.11),(35 67762.125),(36 68153.984),(37 68557.375),(38 68425.7),(39 68474.69),(40 68353.805),(41 68060.41),(42 67658.7),(43 67946.875),(44 68001.234),(45 68200.8),(46 68503.72),(47 68727.58),(48 68755.02),(49 68868.71),(50 68816.82),(51 68458.19),(52 68214.16),(53 67542.92),(54 67112.7),(55 66706.375),(56 65884.766),(57 65474.83),(58 65281.055),(59 65575.65),(60 65555.67),(61 65622),(62 65816.5),(63 65790.11),(64 66041.03),(65 66057.79),(66 65893.22),(67 65568.266),(68 65418.605),(69 65234.24),(70 64685.45),(71 64395.215),(72 64102.645),(73 64087.965),(74 63957.24),(75 63707.055),(76 63913.813),(77 64123.895),(78 64430.23),(79 64267.066),
(1 5104.6943),(2 13867.141),(3 21703.3),(4 27692.867),(5 32329.277),(6 35916.477),(7 38917.137),(8 41429.23),(9 43962.7),(10 45682.605),(11 46776.08),(12 47768.76),(13 48148.645),(14 48273.934),(15 48138.08),(16 47940.855),(17 48170.723),(18 48384.22),(19 48983.285),(20 49775.445),(21 50916.45),(22 52226.14),(23 53564.188),(24 54862.69),(25 56620.07),(26 58063.883),(27 59645.03),(28 60773.527),(29 61996.105),(30 63065.496),(31 63990.508),(32 65070.492),(33 65547.13),(34 66512.12),(35 67662.35),(36 68785.85),(37 69586.016),(38 69975.18),(39 70215.64),(40 69835.01),(41 69568.11),(42 69726.914),(43 69575.94),(44 69072.09),(45 69011.42),(46 68807.88),(47 69011.086),(48 69058.44),(49 68564.28),(50 67898.086),(51 67196.484),(52 67071.766),(53 66614.65),(54 66560.82),(55 66468.16),(56 66353.73),(57 66214.57),(58 66107),(59 66281.9),(60 66338.02),(61 66348.875),(62 66297.305),(63 66212.98),(64 65912.26),(65 65872.85),(66 66407.26),(67 67001.56),(68 67500.11),(69 67752.52),(70 67880.41),(71 67917.04),(72 67731.12),(73 67639.7),(74 67475.21),(75 67037.484),(76 66552.08),(77 66357.15),(78 66878.78),(79 66726.45),
(1 4835.959),(2 13047.898),(3 20539.041),(4 26160.59),(5 30478.041),(6 33792.15),(7 36198.258),(8 38382.637),(9 40370.37),(10 42010.48),(11 43059.15),(12 43843.027),(13 44351.637),(14 44617.355),(15 44983.8),(16 45441.926),(17 46619.582),(18 47640.977),(19 48377.832),(20 49274.77),(21 50222.99),(22 51423.125),(23 52593.914),(24 53924.125),(25 55374.3),(26 56094.977),(27 56950.633),(28 57559.777),(29 58046.656),(30 58730.613),(31 58967.477),(32 59854.473),(33 60657.65),(34 61688.18),(35 62688.082),(36 63750.11),(37 65019.79),(38 65282.582),(39 65566.98),(40 65132.1),(41 64799.84),(42 64930.9),(43 65371.04),(44 66158.82),(45 66778.41),(46 67016.03),(47 67434.1),(48 67433.27),(49 67211.83),(50 67093.74),(51 66906.66),(52 67079.9),(53 67151.18),(54 66928.91),(55 66288.055),(56 65278.184),(57 64130.316),(58 63230.734),(59 63122.707),(60 63123.7),(61 62731.574),(62 62403.62),(63 62135.81),(64 62130.93),(65 62190.805),(66 62819.684),(67 63671.81),(68 64409.438),(69 64972.113),(70 64754.965),(71 64722.4),(72 64666.473),(73 64576.85),(74 64482.82),(75 64573.438),(76 64240.094),(77 63958.875),(78 63744.71),(79 63943.15),
(1 4649.205),(2 12463.419),(3 19579.64),(4 24776.715),(5 28756.816),(6 31949.115),(7 34306.11),(8 36307.25),(9 38295.465),(10 39927.117),(11 40947.63),(12 41815.58),(13 42731.688),(14 43169.523),(15 44207.305),(16 44674.652),(17 45487.047),(18 46284.473),(19 47094.527),(20 47664.5),(21 47858.36),(22 48460.184),(23 49536.707),(24 50871.56),(25 52465.336),(26 53441.605),(27 54462.01),(28 55155.54),(29 55866.813),(30 56754.434),(31 57224.676),(32 57807.01),(33 58190.305),(34 58881.46),(35 59555.68),(36 60207.285),(37 60886.297),(38 61020.83),(39 61517.727),(40 61543.64),(41 61513.207),(42 61514.695),(43 61613.332),(44 61804.977),(45 61997.582),(46 62585.676),(47 63567.613),(48 64331.58),(49 64892.676),(50 65566.8),(51 65610.46),(52 65450.69),(53 64892.504),(54 64447.543),(55 64476.516),(56 64158.387),(57 63806.207),(58 63619.05),(59 63577.258),(60 63425.293),(61 62787.27),(62 62377.11),(63 62157.6),(64 62388.004),(65 62891.58),(66 63691.977),(67 64180.72),(68 64508.38),(69 65009.336),(70 64858.824),(71 64544.246),(72 64097.875),(73 63947.2),(74 63936.305),(75 63823.742),(76 63740.074),(77 63668.973),(78 63717.28),(79 63430.086),
(1 4785.438),(2 12907.776),(3 20245.992),(4 26075.053),(5 30463.66),(6 33871.324),(7 36432.59),(8 38521.023),(9 40243.563),(10 41615.38),(11 42620.902),(12 43295.992),(13 43752.094),(14 44010.62),(15 44153.074),(16 44210.125),(17 44906.234),(18 45664.133),(19 46547.043),(20 47046.95),(21 47336.492),(22 48075.438),(23 49182.277),(24 50420.453),(25 52044.41),(26 53322.625),(27 54532.883),(28 55449.79),(29 56165.73),(30 57258.676),(31 58228.133),(32 59261.324),(33 59958.656),(34 60953.984),(35 61497.09),(36 62221.04),(37 62971.824),(38 62746.83),(39 63350.305),(40 63087.92),(41 63307.938),(42 63832.586),(43 63827.777),(44 63850.945),(45 63852.188),(46 63741.05),(47 63839.89),(48 63510.84),(49 63274.277),(50 63041.01),(51 62131.176),(52 61207.637),(53 60413.63),(54 59786.984),(55 59523.465),(56 59252.516),(57 59080.004),(58 58831.48),(59 58732.266),(60 58780.52),(61 58587.13),(62 58691.934),(63 58346.523),(64 58333.6),(65 58345.082),(66 58498.664),(67 58442.523),(68 58629.863),(69 58923.117),(70 58649.156),(71 58636.906),(72 58814.523),(73 59053.332),(74 59339.137),(75 59584.016),(76 59837.07),(77 59578.703),(78 59697.863),(79 59498.504),
