1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11462.945),(2 37147.92),(3 75030.195),(4 119878.445),(5 173397.08),(6 229960.19),(7 291694.9),(8 355182.6),(9 418068.84),(10 476375.25),(11 531091.8),(12 577358.3),(13 614807.06),(14 652565),(15 685591),(16 709644.94),(17 735206),(18 742322.8),(19 759621.75),(20 776791.94),(21 790953.8),(22 804295.5),(23 813030.2),(24 827127.8),(25 848751.06),(26 869630.94),(27 899886),(28 934828.25),(29 990585.2),(30 1044786.2),(31 1104995.4),(32 1172073),(33 1244495.4),(34 1314836.4),(35 1391375.8),(36 1462138.6),(37 1541757.4),(38 1608717),(39 1680000),(40 1744774),(41 1821707.6),(42 1888564),(43 1960652.6),(44 2029661.4),(45 2084975.9),(46 2134579),(47 2170400),(48 2185609.3),(49 2214393.3),(50 2229915.3),(51 2257514.5),(52 2270373.8),(53 2294427.3),(54 2326912.8),(55 2378149.3),(56 2411373),(57 2445587.5),(58 2473102.3),(59 2505991.3),(60 2541535.8),(61 2577868),(62 2617213.5),(63 2646270.3),(64 2684767),(65 2725180.3),(66 2756269.5),(67 2819741.3),(68 2879114),(69 2938201.3),(70 2989674),(71 3040069.8),(72 3073438.8),(73 3111904.3),(74 3145615.3),(75 3167358.8),(76 3184993.3),(77 3209357.8),(78 3217822.8),(79 3248281.3),
(1 3674.5818),(2 8954.888),(3 13489.984),(4 16456.82),(5 18915.459),(6 21372.387),(7 23813.318),(8 26198.203),(9 28115.408),(10 30217.04),(11 31880.178),(12 33438.855),(13 35755.92),(14 38205.215),(15 41084.707),(16 43895.855),(17 47051.01),(18 49495.53),(19 52112.83),(20 55019.145),(21 57753.824),(22 61255.832),(23 64175.813),(24 67224.81),(25 70226.4),(26 72556.61),(27 75471.73),(28 78106.555),(29 80988.52),(30 83169.6),(31 84871.41),(32 85633.62),(33 86481.09),(34 87280.664),(35 87585.19),(36 88067.15),(37 88246.28),(38 87737.63),(39 87379.37),(40 87266.195),(41 86969.38),(42 86473.42),(43 85455.125),(44 83874.586),(45 82462.59),(46 81554.9),(47 80452.63),(48 79367.76),(49 78695.305),(50 77647.086),(51 76890.43),(52 75909.51),(53 75153.43),(54 74910.69),(55 74833.055),(56 74927.18),(57 74726.13),(58 74626.51),(59 74705.445),(60 74628.086),(61 74708.56),(62 75131.695),(63 75542.836),(64 75766.875),(65 76108.086),(66 76421.85),(67 76918.16),(68 77382.695),(69 78324.4),(70 78888.414),(71 79284.6),(72 79741.73),(73 80312.09),(74 81151.15),(75 81098.92),(76 80903.48),(77 80818.74),(78 80545.62),(79 80606.52),
(1 3615.6594),(2 8845.497),(3 13568.142),(4 16745.098),(5 19667.934),(6 22152.836),(7 24543.576),(8 26902.27),(9 28832.701),(10 30744.73),(11 32262.686),(12 34352.78),(13 37102.684),(14 39344.504),(15 42363.824),(16 45060.63),(17 48107.97),(18 50487.4),(19 53562.984),(20 56266.824),(21 58591.168),(22 62072.01),(23 64902.55),(24 67669.164),(25 70490.81),(26 73017.59),(27 76309.07),(28 79045.164),(29 81606.18),(30 83938.484),(31 85962.695),(32 87307.37),(33 87984.55),(34 88794.73),(35 89612.414),(36 89825.5),(37 89791.02),(38 88989.73),(39 88379.02),(40 87425.11),(41 86620.69),(42 85695.56),(43 84250.77),(44 82827.65),(45 81676.9),(46 80873.6),(47 79549.53),(48 78089.26),(49 77307.93),(50 75995.02),(51 74956.086),(52 74089.5),(53 73433.78),(54 73315.195),(55 72770.03),(56 72871.79),(57 73175.016),(58 73550.5),(59 73594),(60 73231.6),(61 72950.984),(62 72853.06),(63 73139.58),(64 73329.484),(65 73392.66),(66 73671.59),(67 74432.38),(68 75288.1),(69 76462.56),(70 77409.02),(71 78107.5),(72 78967.2),(73 79488.125),(74 80299.98),(75 80239.86),(76 80177.89),(77 80229.5),(78 80048.11),(79 79970.555),
(1 3701.3865),(2 8848.8955),(3 13613.495),(4 16914.492),(5 19720.57),(6 22338.516),(7 24520.695),(8 26626.336),(9 28458.342),(10 30549.4),(11 31984.55),(12 33764.234),(13 36602.184),(14 39198.453),(15 41953.844),(16 44183.242),(17 46990.58),(18 49500.06),(19 52465.902),(20 55256.914),(21 57597.402),(22 60974.867),(23 64015.984),(24 67637.33),(25 71851.664),(26 75405.484),(27 79337.66),(28 82441.5),(29 85168.875),(30 87377.945),(31 89537.87),(32 91044.53),(33 91845.04),(34 92416.44),(35 92127.88),(36 91961.62),(37 92131.805),(38 91661.18),(39 90854.41),(40 90065.63),(41 89373.17),(42 89097.83),(43 88167.71),(44 86876.58),(45 86054.42),(46 85371.49),(47 83762.4),(48 81838.086),(49 81017.875),(50 79577.875),(51 79110),(52 78602.484),(53 78065.05),(54 78250.63),(55 78271.195),(56 78668.016),(57 79085.33),(58 79300.6),(59 79383.14),(60 79830.12),(61 80390.055),(62 80569.34),(63 80558.57),(64 80705.5),(65 81242.46),(66 82152.84),(67 83136.805),(68 83842.78),(69 84680.33),(70 84939.266),(71 85210.29),(72 85502.32),(73 85640.484),(74 85852.234),(75 85579.53),(76 85154.32),(77 84907.34),(78 84170.055),(79 83763.555),
(1 3735.4407),(2 8947.101),(3 13710.455),(4 16821.705),(5 19157.5),(6 21359.719),(7 23310.072),(8 25219.12),(9 26825.443),(10 28470.092),(11 29897.453),(12 31610.572),(13 34176.195),(14 36869.215),(15 39623.582),(16 41639.26),(17 44116.906),(18 46499.45),(19 49339.094),(20 52318.1),(21 55192.13),(22 59159.555),(23 62593.156),(24 66156.59),(25 69349.06),(26 72380.89),(27 75232.56),(28 77689.56),(29 79443.99),(30 80866.79),(31 82481.016),(32 83644.38),(33 84338.84),(34 84722.21),(35 84497.63),(36 84315.89),(37 84013.87),(38 83279.23),(39 82405.88),(40 81629.195),(41 80944.32),(42 80407.77),(43 79519.43),(44 78558.125),(45 77930.08),(46 77133.96),(47 76096.89),(48 74895.77),(49 73981.38),(50 72947.6),(51 72029.51),(52 71441.94),(53 71236.01),(54 71197.445),(55 70951.95),(56 70746.46),(57 70589.875),(58 70307.76),(59 69919.01),(60 69651.01),(61 69684.89),(62 69773.98),(63 70218.27),(64 70572.49),(65 70847.836),(66 71222.9),(67 72035.336),(68 72737.71),(69 73370.98),(70 73558.98),(71 73614.414),(72 73748.79),(73 73642.71),(74 74046.68),(75 74068.805),(76 74237.35),(77 74684.91),(78 74739.69),(79 75337.78),
(1 3481.0386),(2 8176.3843),(3 12260.245),(4 14824.307),(5 17121.47),(6 19409.395),(7 21635.66),(8 23898.371),(9 25595.908),(10 27230.879),(11 28759.96),(12 30553.176),(13 32812.258),(14 35118.78),(15 37736.16),(16 39905.79),(17 42369.96),(18 44449.35),(19 47001.688),(20 49911.56),(21 52522.137),(22 56050.68),(23 59011.727),(24 61850.37),(25 64726.305),(26 67002.99),(27 68889.85),(28 70808.75),(29 72578.984),(30 73822.1),(31 74819.375),(32 75085.18),(33 75025.16),(34 75065.3),(35 74826.76),(36 74506.46),(37 73985.39),(38 73359.984),(39 72763.086),(40 72302.83),(41 71737.25),(42 71234.11),(43 70419.5),(44 69736.18),(45 69472.96),(46 68973.09),(47 67900.56),(48 66652.13),(49 66068.32),(50 65432.832),(51 65097.14),(52 64670.617),(53 64314.637),(54 64216.105),(55 63839.754),(56 63666.492),(57 63545.92),(58 63736.043),(59 64068.21),(60 64513.043),(61 64961.957),(62 65148.727),(63 65288.63),(64 65463.914),(65 65638.08),(66 65797.79),(67 66476.734),(68 67236.26),(69 67932.84),(70 68289.516),(71 68319.23),(72 68289.68),(73 68303.586),(74 68914.28),(75 69033.22),(76 69179.56),(77 69387.77),(78 68988.46),(79 69163.8),
(1 3527.691),(2 8428.118),(3 12562.355),(4 15095.618),(5 17238.58),(6 19195.814),(7 21138.936),(8 23099.166),(9 24914.268),(10 26489.281),(11 27847.04),(12 29665.82),(13 31786.473),(14 33999.707),(15 36244.805),(16 38275.48),(17 40777.68),(18 43028.348),(19 45455.035),(20 48341.29),(21 50860.46),(22 53966.242),(23 56459.184),(24 59140.637),(25 61992.793),(26 64437.313),(27 66704.43),(28 68855.99),(29 71236.234),(30 73456.08),(31 75362.63),(32 76120.875),(33 76585.27),(34 76849.41),(35 77138.555),(36 76994.67),(37 76501.195),(38 75578.47),(39 74511.945),(40 73563.89),(41 72542.23),(42 71611.516),(43 70554.27),(44 69415.05),(45 68833.88),(46 68467.984),(47 68045.04),(48 66942.09),(49 66271.27),(50 65372.44),(51 64839.082),(52 64376.727),(53 63786.617),(54 63558.293),(55 63017.363),(56 62712.97),(57 62663.406),(58 62669.918),(59 62567.555),(60 62793.152),(61 63214.625),(62 63479.05),(63 63966.117),(64 64449.902),(65 65105.934),(66 65806.89),(67 66538.46),(68 66963.586),(69 67336.35),(70 67440.44),(71 67750.27),(72 68462.15),(73 69190.555),(74 70322.02),(75 70894.164),(76 71457.71),(77 72093.26),(78 72059.766),(79 72403.17),
(1 3558.6501),(2 8591.2705),(3 12701.467),(4 15083.966),(5 17150.309),(6 19211.268),(7 21130.459),(8 23074.379),(9 24809.635),(10 26589.72),(11 27947.828),(12 29606.502),(13 31738.572),(14 33895.68),(15 36122.13),(16 38021.598),(17 40467.344),(18 42473.176),(19 44803.75),(20 47508.79),(21 49864.184),(22 52684.164),(23 55034.6),(24 57868.434),(25 60242.31),(26 62175.168),(27 63942.47),(28 65459.676),(29 66945.78),(30 68131.16),(31 69093.484),(32 69258.42),(33 69193.18),(34 69187.555),(35 68798.67),(36 68429.97),(37 67607.164),(38 66540.44),(39 65404.336),(40 64310.51),(41 63188.51),(42 62472.855),(43 61725.523),(44 61049.484),(45 60381.023),(46 59927.824),(47 59181.97),(48 57937.098),(49 57297.3),(50 56609.465),(51 55992.906),(52 55256.66),(53 54574),(54 54347.098),(55 54213.45),(56 54400.58),(57 54660.01),(58 54835.57),(59 54966.73),(60 55097.184),(61 55426.99),(62 55532.57),(63 55764.836),(64 56050.59),(65 56087.754),(66 56008.414),(67 56309.414),(68 56396.297),(69 56923.758),(70 57080.137),(71 57173.805),(72 57534.004),(73 58339.4),(74 59382.535),(75 60299.58),(76 60850.24),(77 61251.96),(78 61143.133),(79 61515.99),
(1 3467.106),(2 8269.605),(3 12123.618),(4 14413.383),(5 16578.688),(6 18699.941),(7 20515.455),(8 22813.56),(9 24805.068),(10 26893.426),(11 28653.188),(12 30718.785),(13 32950.715),(14 35098.6),(15 37525.54),(16 39516.58),(17 41808.06),(18 43857.316),(19 46356.33),(20 49287.063),(21 51931.594),(22 55298.758),(23 57721.305),(24 60495.926),(25 63412.094),(26 65689.17),(27 68327.28),(28 70226.04),(29 72025.3),(30 73790.69),(31 75113.98),(32 75683.945),(33 75737.28),(34 76037.49),(35 75956.23),(36 75679.13),(37 75295.9),(38 74588.41),(39 73876.16),(40 73210.516),(41 72637.305),(42 71928.57),(43 70825.02),(44 69920.336),(45 68789.586),(46 67704.52),(47 66297.02),(48 65052.016),(49 64525.42),(50 63380.848),(51 62350.76),(52 61272.6),(53 60447.76),(54 60453.26),(55 60259),(56 60211.42),(57 60189.152),(58 60171.223),(59 60148.29),(60 60262.438),(61 60623.49),(62 60960.906),(63 61985.906),(64 62707.277),(65 63347.03),(66 64125.92),(67 64763.74),(68 65511.535),(69 66415.93),(70 66684.164),(71 66833.17),(72 67155.67),(73 67626.69),(74 68346.2),(75 68528.81),(76 68766.34),(77 68826.555),(78 68151.88),(79 67985.36),
(1 3425.9604),(2 8276.65),(3 12297.525),(4 14856.329),(5 16927.639),(6 18908.3),(7 20873.977),(8 23094.314),(9 24860.713),(10 26511.03),(11 27949.865),(12 29670.37),(13 31803.93),(14 33422.453),(15 35392.547),(16 37066.26),(17 39268.875),(18 41479.645),(19 44098.69),(20 46834.23),(21 49239.684),(22 52333.484),(23 55013.586),(24 58290.79),(25 61622.57),(26 64365.68),(27 67002.97),(28 68999.516),(29 70402.65),(30 71442.414),(31 72453.96),(32 72825.03),(33 73200.27),(34 73277.01),(35 73088.87),(36 72675.78),(37 72155.41),(38 71330.36),(39 70612.74),(40 69864.44),(41 68797.02),(42 67906.36),(43 66861.61),(44 66014.164),(45 64855.453),(46 64113.934),(47 63326.73),(48 62465.973),(49 62058.035),(50 61135.63),(51 60459.21),(52 59711.92),(53 59001.074),(54 58502.094),(55 57822.76),(56 57614.41),(57 57496.25),(58 57474.055),(59 57542.9),(60 57767.758),(61 58392.508),(62 58744.117),(63 59316.88),(64 59557.387),(65 59747.184),(66 60404.45),(67 61278.242),(68 62057.81),(69 62784.766),(70 63289.156),(71 63567.086),(72 63952.844),(73 63958.36),(74 64403.535),(75 64657.973),(76 65248.62),(77 65588.5),(78 65373.49),(79 65697.49),
(1 3461.739),(2 8221.435),(3 11834.249),(4 14223.534),(5 16154.892),(6 17827.611),(7 19424.303),(8 21074.396),(9 22439.43),(10 24011.783),(11 25247.027),(12 26928.096),(13 29211.021),(14 31203.838),(15 33713.72),(16 35860.883),(17 38701.11),(18 41029.45),(19 43532.137),(20 46146.223),(21 48815.176),(22 52425.777),(23 55173.727),(24 58108.902),(25 60926.117),(26 63628.773),(27 66483.516),(28 68656.06),(29 70347.05),(30 71650.93),(31 73070.26),(32 74094.91),(33 74644.52),(34 75288.02),(35 75382.91),(36 75181.67),(37 74797.52),(38 74188.086),(39 73400.125),(40 72250.516),(41 71017.54),(42 69805.51),(43 68479.41),(44 66931.555),(45 65577.086),(46 64379.566),(47 62956.53),(48 61534.434),(49 60823.305),(50 59728.066),(51 59167.504),(52 58803.34),(53 58299.434),(54 58205.77),(55 57752.27),(56 57447.586),(57 57306.008),(58 57478.953),(59 57515.94),(60 57589.246),(61 58048.445),(62 58510.457),(63 59152.605),(64 59333.59),(65 59647.633),(66 60381.777),(67 60603.344),(68 60963.844),(69 61222.457),(70 61449.797),(71 62028.26),(72 62884.82),(73 63701.67),(74 64728.348),(75 65251.98),(76 65687.92),(77 66445.54),(78 66805.38),(79 67463.055),
(1 3268.7146),(2 7683.482),(3 11337.248),(4 13786.694),(5 15768.187),(6 17808.703),(7 19719.162),(8 21401.777),(9 22873.16),(10 24527.45),(11 26214.66),(12 27901.184),(13 29909.354),(14 32251.78),(15 34520.03),(16 36465.2),(17 38851.81),(18 41014.664),(19 43392.707),(20 45975.727),(21 48479.438),(22 51755.24),(23 54468.42),(24 57251.777),(25 59863.234),(26 62262.086),(27 64504.4),(28 66272.35),(29 67252.31),(30 68081.93),(31 69051.27),(32 69391.05),(33 69278.17),(34 69243.93),(35 69208.63),(36 69052.93),(37 68598.805),(38 67808.92),(39 67008.64),(40 66157.625),(41 65424.617),(42 64806.348),(43 63743.06),(44 62778.98),(45 61658.316),(46 60924.523),(47 59750.004),(48 58588.566),(49 57982.496),(50 57217.168),(51 56774.973),(52 56213.973),(53 55685.953),(54 55396.484),(55 55099.836),(56 55095.684),(57 55173.2),(58 55419.996),(59 55559.957),(60 55566.26),(61 55766.76),(62 55884.727),(63 56120.746),(64 56341.098),(65 56625.406),(66 57142.992),(67 57608.387),(68 58272.234),(69 58691.72),(70 59048.523),(71 59300.406),(72 59886.707),(73 60535.383),(74 61451.36),(75 61960.688),(76 62147.16),(77 62379.727),(78 62179.395),(79 62388.254),
(1 3258.7815),(2 7756.1284),(3 11557.695),(4 13963.19),(5 15882.582),(6 17846.324),(7 19748.389),(8 21768.521),(9 23475.535),(10 25241.756),(11 26896.266),(12 28850.4),(13 31160.143),(14 33346.395),(15 35761.02),(16 38006.863),(17 40648.176),(18 43042.03),(19 45679.03),(20 48210.05),(21 50300.332),(22 53284.44),(23 55898.113),(24 58446.445),(25 60873.86),(26 62920.625),(27 64627.98),(28 66153.47),(29 67378.48),(30 68491.17),(31 69254.3),(32 69340.29),(33 69382.33),(34 69381.84),(35 68831.45),(36 68310.88),(37 67877.234),(38 66921.484),(39 65981.54),(40 65265.652),(41 64553.688),(42 63948.664),(43 62991.36),(44 62065.516),(45 61162.883),(46 60160.992),(47 58843.44),(48 57416.863),(49 56719.94),(50 55972.918),(51 55493.49),(52 55086.78),(53 54871.152),(54 54843.52),(55 54637.047),(56 54813.625),(57 55180.11),(58 55287.313),(59 55151.67),(60 55144.535),(61 55309.133),(62 55313.426),(63 55269.414),(64 55430.285),(65 55789.316),(66 56299.96),(67 56853.047),(68 57478.184),(69 58242.51),(70 58731.24),(71 59051.363),(72 59229.727),(73 59498.742),(74 60338.074),(75 60860.938),(76 61160.645),(77 61484.375),(78 61271.35),(79 61509.734),
(1 3220.3433),(2 7660.038),(3 11359.506),(4 13760.725),(5 15871.52),(6 17978.732),(7 19896.248),(8 21759.115),(9 23314.32),(10 25027.19),(11 26726.32),(12 28825.453),(13 31406.732),(14 33673.79),(15 36340.125),(16 38312.582),(17 40682.523),(18 42641.21),(19 44918.63),(20 47236.203),(21 49193.566),(22 52316.195),(23 55129.656),(24 58289.64),(25 61370.355),(26 63967.516),(27 65989.94),(28 67514.445),(29 68610.01),(30 69237.58),(31 70044.06),(32 70334.88),(33 70611.58),(34 70781.766),(35 70238.96),(36 69057.625),(37 67797.71),(38 66350.69),(39 65198.75),(40 63993.516),(41 62871.777),(42 61911.35),(43 60597.055),(44 59170.844),(45 57982.742),(46 57180.64),(47 55880.824),(48 54521.082),(49 54138.684),(50 53567.207),(51 53389.035),(52 53065.547),(53 52882.777),(54 53040.324),(55 53059.492),(56 53037.363),(57 52954.08),(58 53365.402),(59 54040.58),(60 54588.73),(61 55011.023),(62 55243.824),(63 55243.266),(64 55291.664),(65 55413.797),(66 55929.49),(67 56336.883),(68 56717.605),(69 57365.45),(70 57913.83),(71 58587.676),(72 59064.496),(73 59055.457),(74 59311.836),(75 59083.676),(76 59160.516),(77 59514.543),(78 59286.72),(79 59373.742),
(1 3278.8508),(2 7583.238),(3 10924.995),(4 13086.818),(5 15097.727),(6 17144.094),(7 19009.557),(8 20798.037),(9 22288.465),(10 23867.64),(11 25497.5),(12 27522.479),(13 29923.281),(14 31846.217),(15 33971.957),(16 35758.027),(17 37936.566),(18 39789.06),(19 41986.65),(20 44375.035),(21 46549.227),(22 49613.234),(23 52210.53),(24 55029.164),(25 57524.887),(26 59749.754),(27 61606.72),(28 63280.93),(29 64306.3),(30 64891.94),(31 65493.61),(32 65611.41),(33 65717.625),(34 65757.59),(35 65107.492),(36 64074.934),(37 62941.33),(38 61584.406),(39 60325.05),(40 59103.66),(41 57939.504),(42 56993.05),(43 55888.504),(44 54615.277),(45 53289.016),(46 52458.47),(47 51622.984),(48 50574.65),(49 50130.055),(50 49722.027),(51 49811.156),(52 49704.31),(53 49563.44),(54 49594.266),(55 49433.71),(56 49712.85),(57 49836.594),(58 50004.887),(59 50260.977),(60 50633.504),(61 50890.316),(62 51249.945),(63 51968.453),(64 52289.08),(65 52411.227),(66 52892.336),(67 53308.93),(68 53772.336),(69 54350.08),(70 54886.74),(71 55246.035),(72 55775.344),(73 56250.64),(74 56699.188),(75 56760.273),(76 56812.53),(77 57176.71),(78 57169.406),(79 57571.633),
(1 3111.928),(2 7160.852),(3 10490.365),(4 12763.555),(5 14736.478),(6 16646.215),(7 18426.496),(8 20406.068),(9 22055.295),(10 23905.68),(11 25797.533),(12 27788.445),(13 30111.365),(14 32753.963),(15 35711.176),(16 37932.742),(17 40575.473),(18 42649.477),(19 44990.484),(20 47922.93),(21 50514.03),(22 53684.605),(23 56192.914),(24 58716.477),(25 61466.652),(26 63579.453),(27 65392.47),(28 67178.33),(29 68151.625),(30 68700.555),(31 69278.17),(32 69389.984),(33 69166.375),(34 68794.57),(35 67821.54),(36 66524.266),(37 65362.402),(38 64279.28),(39 63472.926),(40 62397.227),(41 60849.008),(42 59381.344),(43 57821.402),(44 56277.418),(45 54830.766),(46 53630.086),(47 52378.703),(48 51319.406),(49 51037.832),(50 50411.742),(51 50063.113),(52 49728.996),(53 49650.563),(54 49848.86),(55 49924.12),(56 50576.406),(57 51191.926),(58 51957.18),(59 52361.293),(60 52361.27),(61 52373.45),(62 52247),(63 52523.45),(64 52750.938),(65 52822.457),(66 53220.14),(67 53512.793),(68 53910.64),(69 54512.594),(70 54865.547),(71 55188.78),(72 55253.234),(73 55462.566),(74 55860.82),(75 56073.86),(76 56319.844),(77 56682.73),(78 56558.516),(79 56919.113),
(1 3147.7349),(2 7196.508),(3 10500.895),(4 12734.763),(5 14833.991),(6 16606.422),(7 18383.645),(8 20326.455),(9 21993.709),(10 23855.049),(11 25345.303),(12 26738.412),(13 28638.041),(14 30871.52),(15 33494.797),(16 35525.418),(17 37726.83),(18 39708.26),(19 41816.133),(20 44003.37),(21 46242.816),(22 49268.266),(23 52029.6),(24 54881.508),(25 57531.96),(26 59456.383),(27 61336.016),(28 63280.363),(29 64674.1),(30 65024.66),(31 65364.938),(32 65578.336),(33 65785.26),(34 65663.31),(35 64998.754),(36 64118.01),(37 63519.094),(38 62895.17),(39 62327.65),(40 61670.64),(41 60801.277),(42 59761.75),(43 58403.164),(44 56976.4),(45 55748.203),(46 54705.79),(47 53607.355),(48 52592.85),(49 52402.188),(50 51547.31),(51 50971.125),(52 50404.965),(53 49839.258),(54 49593.223),(55 49174.773),(56 49203.582),(57 49051.09),(58 49136.27),(59 49342.316),(60 49437.734),(61 49566.87),(62 49642.83),(63 50012.207),(64 50255.223),(65 50250.29),(66 50660.13),(67 50840.61),(68 51002.75),(69 51461.684),(70 51771.44),(71 52405.297),(72 52969.355),(73 53534.63),(74 54247.227),(75 54676.586),(76 55074.855),(77 55470.04),(78 55475.813),(79 55835.23),
(1 3111.9126),(2 7081.5366),(3 10173.922),(4 12152.144),(5 13946.565),(6 15765.492),(7 17598.307),(8 19571.455),(9 21170.285),(10 22722.434),(11 24316.578),(12 26080.832),(13 28225.172),(14 30158.545),(15 32328.92),(16 34047.293),(17 36139.836),(18 38033.66),(19 40308.77),(20 42693.55),(21 44571.96),(22 47538.465),(23 50031.17),(24 52596.23),(25 54888.89),(26 56595.04),(27 58244.633),(28 60047.906),(29 61098.84),(30 61229.56),(31 61536.16),(32 61485.617),(33 61265.54),(34 60660.637),(35 59684.918),(36 58507.938),(37 57350.586),(38 56417.6),(39 55400.055),(40 54460.367),(41 53359.734),(42 52474.688),(43 51378.363),(44 50018.516),(45 48922.523),(46 48122.285),(47 47232.164),(48 46244.63),(49 45757.793),(50 44990.52),(51 44808.035),(52 44573.61),(53 44313.414),(54 44213.9),(55 44062.02),(56 44274.902),(57 44334.98),(58 44462.785),(59 44459.406),(60 44575.813),(61 45030.023),(62 45431.066),(63 46105.03),(64 46492.117),(65 46780.07),(66 47499.86),(67 48049.668),(68 48672.26),(69 49492.477),(70 50068.324),(71 50531.26),(72 51075.363),(73 51731.4),(74 52400.184),(75 52868.688),(76 53327.867),(77 53783.44),(78 53721.223),(79 53828.44),
