1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33709.457),(2 109627.336),(3 218473.45),(4 343965.53),(5 475726.72),(6 604158.06),(7 725759.5),(8 837764),(9 926765.8),(10 1006445),(11 1194194.6),(12 1326285),(13 1464932.6),(14 1617598.5),(15 1729854.1),(16 1827081),(17 1930079.6),(18 2016611.6),(19 2117807.3),(20 2262266.3),(21 2451417),(22 2661324.8),(23 2882262.8),(24 3119411.8),(25 3371878),(26 3731075.8),(27 4051103.8),(28 4409172.5),(29 4754698.5),(30 5076185.5),(31 5425989.5),(32 5650046),(33 5904113.5),(34 6089268),(35 6245179.5),(36 6393233.5),(37 6573114.5),(38 6726618.5),(39 6893431.5),(40 7056246),(41 7213167.5),(42 7302340),(43 7365591.5),(44 7373498.5),(45 7360206),(46 7315501.5),(47 7214145.5),(48 7070381.5),(49 6896466.5),(50 6685775.5),(51 6488110),(52 6312979.5),(53 6199714),(54 6070516),(55 6007944),(56 5947950.5),(57 5934900),(58 5895694.5),(59 5905712.5),(60 5891684),(61 5871789.5),(62 5875838.5),(63 5811412.5),(64 5783760),(65 5784414.5),(66 5763920),(67 5747651.5),(68 5653299.5),(69 5624061.5),(70 5550359),(71 5488422.5),(72 5450941.5),(73 5421197.5),(74 5403980),(75 5408117.5),(76 5429833.5),(77 5478410.5),(78 5461153),(79 5425200.5),
(1 10757.424),(2 29221.113),(3 49563.766),(4 69761.57),(5 87429.016),(6 102221.36),(7 113194.1),(8 121291.91),(9 127901.984),(10 134471.92),(11 140615.3),(12 145207.69),(13 149231.89),(14 154433.14),(15 158770.38),(16 163643.28),(17 166938.36),(18 170474.61),(19 173575.98),(20 176829.92),(21 180644.83),(22 183860.97),(23 187068.08),(24 190693.33),(25 193046.48),(26 196502.33),(27 199691),(28 202929.5),(29 206500.86),(30 210122.77),(31 213789.44),(32 217188.47),(33 219592.03),(34 222341.63),(35 223452.3),(36 224189.44),(37 224212.52),(38 225495.83),(39 226723.48),(40 227267.98),(41 228165.13),(42 228980.08),(43 229495.4),(44 230719.33),(45 231168.5),(46 230696.89),(47 231081.44),(48 231686.03),(49 233005.23),(50 234043.14),(51 234485.98),(52 234730.7),(53 234727.78),(54 234461),(55 234241.39),(56 234298.3),(57 234085.72),(58 234948.13),(59 234557.44),(60 234091.42),(61 234424.52),(62 235197.47),(63 235077.38),(64 235213.78),(65 234963.19),(66 234630.86),(67 233977.33),(68 234016.22),(69 232325.38),(70 231269.22),(71 228915.2),(72 227517.52),(73 225360.98),(74 224470.63),(75 223904.22),(76 223289.73),(77 222992.61),(78 222976.88),(79 223979.77),
(1 9902.372),(2 26886.408),(3 45568.613),(4 63499.2),(5 79534.805),(6 92996.72),(7 103845.2),(8 113187.72),(9 120096.75),(10 125276.03),(11 129280.49),(12 132095.6),(13 134912.45),(14 139513.05),(15 143099.61),(16 147476.92),(17 151339.55),(18 155536.63),(19 159886.16),(20 164253.28),(21 168924.44),(22 171805.28),(23 174254.3),(24 176776.17),(25 178860.52),(26 182223.72),(27 183735.47),(28 185772.38),(29 187534.03),(30 188956.45),(31 191381.83),(32 193383.13),(33 195344),(34 197132.72),(35 197965.23),(36 199073.05),(37 199539.47),(38 200351.06),(39 200244.08),(40 199686.44),(41 199949.08),(42 199869.14),(43 199823.2),(44 199492.53),(45 199613.42),(46 199930.06),(47 201212.1),(48 202533.56),(49 203125.17),(50 204127.66),(51 203967.39),(52 203836.25),(53 204132.89),(54 203834.92),(55 204717.34),(56 206519.63),(57 208103.75),(58 209259.45),(59 209919.83),(60 209708.22),(61 208721.14),(62 208842.19),(63 208916.36),(64 209340.23),(65 211111.05),(66 212665.52),(67 213685.55),(68 214249.16),(69 213785.13),(70 212481.75),(71 210584.63),(72 209053.39),(73 206258.81),(74 204719.3),(75 202514.47),(76 201626.83),(77 201230.28),(78 201310.36),(79 201702.33),
(1 9706.843),(2 26586.555),(3 44220.47),(4 61626.324),(5 76386),(6 88821.46),(7 98115.04),(8 105297.71),(9 110667.586),(10 115726.51),(11 119603.15),(12 122597.03),(13 125199.66),(14 130260.64),(15 134428.88),(16 138308.81),(17 141872.47),(18 145027.9),(19 148705.95),(20 153453.83),(21 158701.77),(22 162462.06),(23 165948.58),(24 168042.36),(25 170792.95),(26 173628.83),(27 176129.92),(28 178033.55),(29 179981.28),(30 181665.03),(31 182923.5),(32 183952.05),(33 185013.69),(34 185871.8),(35 186373.17),(36 186480.5),(37 186383.27),(38 187143.02),(39 188815.92),(40 190356.67),(41 192799.69),(42 193962.52),(43 194904.19),(44 194886.53),(45 194178.61),(46 192743.31),(47 191452.98),(48 190658.06),(49 190942.66),(50 192773.5),(51 193169.3),(52 193653.98),(53 193207.08),(54 193033.19),(55 193044.4),(56 193389.06),(57 194196.95),(58 195897.88),(59 196125.27),(60 197081.53),(61 198040.23),(62 199994.98),(63 201027.8),(64 202069.1),(65 202056.28),(66 202031.56),(67 202029.36),(68 202477.66),(69 201995.56),(70 200667.52),(71 199438.95),(72 198155.75),(73 196336.36),(74 196571.33),(75 196111.86),(76 196849.84),(77 197275.72),(78 197567.73),(79 197880.45),
(1 9772.433),(2 26494.043),(3 44159.918),(4 61815.117),(5 76989.26),(6 89300.51),(7 99199.49),(8 106682.43),(9 113323.59),(10 118623.8),(11 122934.74),(12 125968.59),(13 129346.68),(14 134043.6),(15 138143.94),(16 141431.23),(17 144558.98),(18 147293.73),(19 150455.95),(20 154056.22),(21 156255.38),(22 158845.55),(23 160054.9),(24 162007.4),(25 164581.3),(26 169062.33),(27 172067.72),(28 174486.17),(29 176826.9),(30 178796.9),(31 180135.44),(32 180961.44),(33 181699.61),(34 182330.34),(35 182899.08),(36 185012.66),(37 187737.22),(38 189456.16),(39 190262.73),(40 190842.1),(41 191561.83),(42 191697.48),(43 191573.67),(44 190759.17),(45 188869.16),(46 187136.08),(47 186058.69),(48 186313.5),(49 187741.95),(50 189906.03),(51 191134.84),(52 191741.55),(53 191918.27),(54 192227.5),(55 192581.05),(56 193120.7),(57 193201.94),(58 194126.1),(59 194027.14),(60 194303.44),(61 194066.52),(62 194067.78),(63 194217.42),(64 194850.1),(65 195061.42),(66 195728.92),(67 196286.73),(68 196386.33),(69 195345.75),(70 193916.27),(71 192131.67),(72 191340.98),(73 191686.28),(74 192144.47),(75 191107.89),(76 190739.98),(77 189734.58),(78 189925.8),(79 189101.83),
(1 9315.365),(2 24812.637),(3 41626.664),(4 57865.56),(5 71276.12),(6 82468.14),(7 91291.22),(8 99205.53),(9 105148.03),(10 110485),(11 114679.2),(12 118415.93),(13 122162.32),(14 127319.125),(15 131201.47),(16 136936.8),(17 141266.42),(18 145746.17),(19 149594.48),(20 152693.55),(21 155438.44),(22 157762.14),(23 159603.25),(24 160509.52),(25 162267.78),(26 164227.14),(27 165793.31),(28 166935.03),(29 168021.67),(30 168819.67),(31 170322.5),(32 172464.48),(33 174290.97),(34 176243.55),(35 178355.69),(36 179948.92),(37 181179.06),(38 182401.39),(39 182770.56),(40 183346.67),(41 183400.9),(42 184418.16),(43 185720.23),(44 186492.25),(45 187783.53),(46 189008.81),(47 189876.98),(48 191859.9),(49 193746.6),(50 196336.1),(51 197076.58),(52 197771.14),(53 197603.94),(54 197843.86),(55 198974.94),(56 199960.19),(57 200191.4),(58 200232.89),(59 199898.92),(60 199152.22),(61 198705.58),(62 198948.33),(63 199190.5),(64 199604.14),(65 200787.7),(66 202242.08),(67 204179.89),(68 204022.48),(69 203865.78),(70 203564),(71 202514.58),(72 201874.2),(73 202376.69),(74 202105.92),(75 201824.5),(76 200683.81),(77 199179.5),(78 198093.52),(79 196811.81),
(1 9358.975),(2 24977.213),(3 41508.09),(4 57933.67),(5 72261.63),(6 84408.71),(7 93420.414),(8 101102.82),(9 107133.94),(10 111546.11),(11 115136.234),(12 118364.28),(13 120954.22),(14 124973.6),(15 128363.914),(16 131476.19),(17 134223.72),(18 137096.48),(19 140341.77),(20 143234.38),(21 146571.73),(22 149351.33),(23 153442.94),(24 157082.9),(25 160877.63),(26 164679.67),(27 166561.8),(28 166842.97),(29 167368.64),(30 167295.5),(31 168143.06),(32 169468.84),(33 171162.25),(34 173169.63),(35 174346.84),(36 175718.67),(37 177019.83),(38 179365.84),(39 180657.72),(40 181682.02),(41 183041.33),(42 184290),(43 184661.78),(44 184990.53),(45 186166.5),(46 186210.2),(47 186405.13),(48 187177.5),(49 188499.56),(50 190787.53),(51 191056.28),(52 190911.88),(53 190656.13),(54 189387.7),(55 189203.8),(56 188896.39),(57 190511.31),(58 190785.78),(59 191137.55),(60 190931.97),(61 190652.53),(62 190417.64),(63 190541.77),(64 190131.9),(65 190811.05),(66 190439.73),(67 190854.45),(68 189105.66),(69 188241.89),(70 186611.92),(71 185247.06),(72 184474.67),(73 183989.72),(74 183873.08),(75 183263.4),(76 181755.16),(77 181544.97),(78 181976.53),(79 181853.63),
(1 9301.864),(2 25532.041),(3 42709.133),(4 59640.14),(5 73938.17),(6 85596.2),(7 94041.43),(8 100193.52),(9 104939.26),(10 108813.414),(11 112703.26),(12 116461.11),(13 119399.46),(14 122406.65),(15 124457.32),(16 125258.22),(17 126596.45),(18 128487.19),(19 131005.195),(20 134110.1),(21 136820.77),(22 138567.44),(23 141709.61),(24 145127.16),(25 148367.61),(26 151308.64),(27 152718.16),(28 153420.72),(29 154095.48),(30 154996.83),(31 155305.88),(32 155298.34),(33 155854.9),(34 157339.2),(35 157878.42),(36 158708.31),(37 159388.19),(38 160168.17),(39 161024.33),(40 161410.48),(41 161833.14),(42 162830.11),(43 163190.45),(44 162923.66),(45 162782.5),(46 162054.39),(47 161103.25),(48 160336.95),(49 160847.22),(50 162243.97),(51 161643.25),(52 161409.38),(53 162144.98),(54 163214.67),(55 163633.17),(56 163996.67),(57 165019.84),(58 166425.23),(59 167687.3),(60 168705.08),(61 169378.97),(62 170381.7),(63 170870.69),(64 171901.08),(65 171874.92),(66 172902.3),(67 173185.48),(68 173770.22),(69 173995.53),(70 173083.31),(71 170926.92),(72 169346.58),(73 169056.4),(74 170132.47),(75 169938.23),(76 170249.34),(77 171245.16),(78 172993.22),(79 174299.33),
(1 9161.705),(2 24894.816),(3 41553.277),(4 57937.734),(5 71677.98),(6 82279.72),(7 89775.93),(8 96074.25),(9 100713.266),(10 105375.07),(11 109104.586),(12 112671.3),(13 116019.05),(14 120138.24),(15 122545.86),(16 124630.82),(17 126767.62),(18 128621.3),(19 131386.64),(20 133626.28),(21 135222.3),(22 136767.2),(23 139454.34),(24 141819.25),(25 143533.19),(26 146138.23),(27 147446.52),(28 148112.17),(29 148940.94),(30 149289.53),(31 150144.97),(32 150687.2),(33 150987.08),(34 151194.17),(35 151461.06),(36 151286.16),(37 151123.33),(38 152457.06),(39 153470.17),(40 153789.84),(41 153315.7),(42 153378.14),(43 153028.69),(44 152066.7),(45 151538.56),(46 151837.73),(47 151441.11),(48 151217.73),(49 151117.67),(50 152572.42),(51 152706.25),(52 153938.67),(53 155786.45),(54 157803.22),(55 159492.33),(56 161149.67),(57 163162.77),(58 165099.14),(59 165633.23),(60 166269.7),(61 166154.72),(62 166897.66),(63 166300.36),(64 165436.14),(65 164411.95),(66 163989.95),(67 164675.72),(68 165929),(69 167216.52),(70 168631.03),(71 168796.97),(72 168375.28),(73 168572.14),(74 169208.06),(75 170208.31),(76 171486.02),(77 172385.53),(78 172380.8),(79 171970),
(1 9137.173),(2 24704.016),(3 40916.03),(4 56535.89),(5 69570.93),(6 79561.56),(7 86937.68),(8 92980.21),(9 97054.61),(10 100753.35),(11 103796.33),(12 107128.14),(13 109804.766),(14 112381.336),(15 114581.84),(16 117318.21),(17 120225.97),(18 123396.68),(19 126300.125),(20 128949.24),(21 131521.72),(22 133967.89),(23 136893.55),(24 138960.66),(25 140837.92),(26 143017.84),(27 144422.05),(28 145027.63),(29 146724.88),(30 148435.39),(31 150372.02),(32 151881.27),(33 152587.94),(34 154347.72),(35 155179.02),(36 155892),(37 156408.34),(38 157677.1),(39 158066.48),(40 158522.45),(41 159595.66),(42 160706.34),(43 161588.64),(44 162098.23),(45 162773.73),(46 163274.58),(47 163900.4),(48 164648.28),(49 163682.8),(50 162700.1),(51 161554.06),(52 160961.52),(53 160554.95),(54 160740.3),(55 160420.66),(56 159981.7),(57 160176.88),(58 160880.97),(59 160793.88),(60 161337.33),(61 162247.83),(62 163145.6),(63 162913.67),(64 162063.83),(65 161547.23),(66 161607.9),(67 163164.3),(68 163406.88),(69 163766.72),(70 163972.5),(71 163793.7),(72 163908.5),(73 164740.63),(74 165117.67),(75 164490.16),(76 163877.36),(77 163198.9),(78 162393.98),(79 161570.55),
(1 8655.008),(2 22550.48),(3 37109.586),(4 51503.87),(5 64330.566),(6 74620.64),(7 82860.49),(8 89851.78),(9 95098.6),(10 99788.88),(11 103151.99),(12 106177.35),(13 108913.28),(14 112300.16),(15 114142.96),(16 115412.79),(17 116855.97),(18 117796.26),(19 119158.98),(20 120638.195),(21 122004.9),(22 123434.7),(23 125883.164),(24 128043.664),(25 130184.58),(26 133179.08),(27 134830.98),(28 135753.84),(29 137111.66),(30 138669.81),(31 141183.8),(32 143406.77),(33 144256.98),(34 144858.25),(35 145311.25),(36 146016.1),(37 147604.06),(38 149689.31),(39 150671.69),(40 151260.8),(41 152831.55),(42 153977.63),(43 155005.03),(44 156280.06),(45 156898.2),(46 156962.23),(47 156698.88),(48 155959.02),(49 154881.94),(50 153616.84),(51 152171.7),(52 150502.31),(53 148601.22),(54 147403.63),(55 146682.14),(56 146192.13),(57 145543.8),(58 145893.6),(59 145621.83),(60 146626.05),(61 147693.9),(62 149012.78),(63 148973.66),(64 147943.88),(65 146444.8),(66 145382.7),(67 145919.69),(68 146329),(69 146666.1),(70 147859),(71 148647.02),(72 149342.63),(73 149801),(74 149992.16),(75 149151.52),(76 148231.77),(77 148169.13),(78 148135.95),(79 147311),
(1 8494.163),(2 22212.889),(3 36338.582),(4 50620.293),(5 62520.92),(6 72126.766),(7 79799.44),(8 85688.91),(9 90071.21),(10 93724.48),(11 96573.04),(12 99697.375),(13 102759.37),(14 107276.67),(15 109928.34),(16 112157.5),(17 114615.414),(18 117108.19),(19 118701.04),(20 119664.98),(21 121252.375),(22 122928.83),(23 125444.99),(24 127065.71),(25 127742.266),(26 129652.195),(27 129954.31),(28 129609.945),(29 129345.58),(30 129949.13),(31 131342.67),(32 132772),(33 133559.89),(34 134768.48),(35 134991.48),(36 135012.61),(37 135525.27),(38 137474.14),(39 138386.58),(40 139620.88),(41 140583.17),(42 141400.05),(43 142287.02),(44 143162.45),(45 142776.81),(46 142658.92),(47 141975.77),(48 140995.3),(49 140076.03),(50 139965.77),(51 139562.72),(52 139511.66),(53 140286.23),(54 140796.28),(55 142130.22),(56 143233),(57 144634.72),(58 146233.11),(59 147051.89),(60 147649.75),(61 147717.89),(62 148060.97),(63 147951.3),(64 147224.44),(65 146035.6),(66 144112.78),(67 142485.73),(68 140795.98),(69 139834.98),(70 139864.14),(71 139652.67),(72 139841.42),(73 139501.86),(74 140026.98),(75 139712.89),(76 139807.17),(77 140436.67),(78 141616.8),(79 143230.28),
(1 8211.0625),(2 21543.904),(3 35292.7),(4 48961.2),(5 60221.855),(6 69638.48),(7 76722.93),(8 82680.77),(9 86942.75),(10 90182.33),(11 93103.14),(12 96159.59),(13 100343.266),(14 105075.875),(15 108944.914),(16 112638.85),(17 115865.086),(18 118370.15),(19 119541.55),(20 119868.28),(21 120070.195),(22 120362.98),(23 121355.41),(24 122380.57),(25 123635.67),(26 125133.17),(27 125857.88),(28 126281.79),(29 127021.9),(30 128080.234),(31 128981.57),(32 130301.95),(33 130531.02),(34 130413.87),(35 129874.55),(36 129304.625),(37 129073.14),(38 129781.32),(39 130119.26),(40 129785.82),(41 130010.84),(42 130588.89),(43 132540.34),(44 133683.16),(45 134365),(46 135385.42),(47 134842.52),(48 135241.08),(49 134948.23),(50 134085.31),(51 133233.95),(52 132692.6),(53 132470.1),(54 132213.52),(55 131723.22),(56 132138.72),(57 132989.92),(58 133874.75),(59 134454.83),(60 135082.92),(61 135378.53),(62 137159.11),(63 137327.03),(64 137043.34),(65 135431.78),(66 134473.14),(67 132649.1),(68 131937.5),(69 130726.1),(70 130573.09),(71 131586.27),(72 132573.56),(73 132886.48),(74 133776.58),(75 134151.5),(76 134939.75),(77 135447.05),(78 135636.47),(79 135270.97),
(1 8062.9653),(2 21109.941),(3 33895.367),(4 46877.418),(5 57745.383),(6 66488.805),(7 72565.3),(8 78178.34),(9 82651.23),(10 86584.93),(11 89837.69),(12 92356.34),(13 95089.05),(14 98918.06),(15 101675.75),(16 104962.28),(17 107248.67),(18 108875.4),(19 109783.76),(20 111099.086),(21 111589.19),(22 112072.92),(23 113468.125),(24 115289.74),(25 117465.56),(26 119552.3),(27 120321.45),(28 120940.62),(29 121536.21),(30 122531.414),(31 124016.19),(32 125354.79),(33 126283.23),(34 126805.43),(35 126411.93),(36 126316.05),(37 126123.36),(38 126684.66),(39 127067.266),(40 127262.2),(41 128058.91),(42 129049.62),(43 130158.95),(44 130527.81),(45 130212),(46 129665.49),(47 129392.66),(48 128974.85),(49 128691.01),(50 128756.47),(51 127400.695),(52 126388.59),(53 125066.74),(54 124653.17),(55 125222.836),(56 126186.52),(57 127707.44),(58 128848.16),(59 128914.05),(60 128625.54),(61 128774.33),(62 129368.07),(63 128983.12),(64 128579.8),(65 128712.52),(66 128799.91),(67 128413.57),(68 129019.6),(69 128417.445),(70 128554.77),(71 128803.99),(72 129499.59),(73 129959.305),(74 131063.68),(75 130956.74),(76 130784.99),(77 130500.34),(78 130035.336),(79 130055.75),
(1 7668.8364),(2 20170.908),(3 32575.084),(4 45037.6),(5 55610.445),(6 64177.355),(7 70443.75),(8 76456.266),(9 80550.13),(10 84131.95),(11 86762.88),(12 89162.305),(13 91160.6),(14 94427.32),(15 96600.05),(16 98918.59),(17 101149.79),(18 103445.41),(19 106162.69),(20 108464.65),(21 109907.75),(22 110477.1),(23 111173.38),(24 111736.97),(25 112678.54),(26 114474.1),(27 115411.71),(28 116545.914),(29 117552.6),(30 118776),(31 119807.31),(32 120059.08),(33 120044.305),(34 120474.5),(35 121210.69),(36 121839.45),(37 122227.945),(38 122897.484),(39 123637.96),(40 123617.05),(41 123580.83),(42 123449.664),(43 123302.03),(44 123041.17),(45 123051.72),(46 123304.48),(47 123926.21),(48 124475.05),(49 124814.125),(50 125478.62),(51 125195.51),(52 125576.305),(53 126491.65),(54 127243.695),(55 127824.266),(56 128119.555),(57 128329.77),(58 128660.375),(59 128366.336),(60 128137.2),(61 127519.27),(62 127021.836),(63 126882.6),(64 127301.984),(65 127323.4),(66 126968.7),(67 126414.1),(68 126006.55),(69 125823.72),(70 125632.55),(71 125255.34),(72 125068.97),(73 124867.15),(74 126123.84),(75 126723.51),(76 126943.51),(77 126875.63),(78 127192.64),(79 127508.39),
(1 7623.909),(2 19960.33),(3 32867.05),(4 45472.58),(5 56306.47),(6 65529.727),(7 72382.87),(8 78295.77),(9 82370.32),(10 85552.16),(11 88979.1),(12 91341.09),(13 94938.695),(14 98553.21),(15 101174.36),(16 103015.44),(17 104230.78),(18 105643.195),(19 107333.15),(20 108086.59),(21 108656.48),(22 109369.92),(23 110718.2),(24 111903.336),(25 112887.5),(26 114833.94),(27 115790.375),(28 116200.19),(29 117120.35),(30 117565.945),(31 118037.83),(32 118857.58),(33 119419.84),(34 120491.83),(35 121288.65),(36 121987.56),(37 123261.35),(38 125671.305),(39 127210.15),(40 127392.03),(41 127454.22),(42 128142.375),(43 128792.85),(44 128909.055),(45 128631.45),(46 128866.64),(47 128300.87),(48 127622.54),(49 127622.234),(50 128165.19),(51 128236.55),(52 128287.766),(53 128498.59),(54 128296.48),(55 128080.1),(56 127622.29),(57 126872.95),(58 126284.88),(59 124980.49),(60 123553.36),(61 122312.336),(62 122213.945),(63 121712.95),(64 121255.195),(65 120669.33),(66 120152.45),(67 119605.164),(68 119468.9),(69 119121.695),(70 119389.27),(71 118826.35),(72 118807.414),(73 119263.52),(74 120049.17),(75 120724.37),(76 120969.945),(77 121514.86),(78 121625.75),(79 120586.266),
(1 7509.531),(2 19965.658),(3 32715.172),(4 44853.016),(5 55081.223),(6 63127.9),(7 68926.04),(8 73949.33),(9 77651.414),(10 80411.055),(11 83137.34),(12 85260.49),(13 87718.95),(14 90768.18),(15 93171.45),(16 94742.28),(17 95907.77),(18 96389.39),(19 96463.836),(20 96261.64),(21 96327.13),(22 96831.32),(23 97317.625),(24 98420.625),(25 99246.56),(26 100389.23),(27 101511.74),(28 102458.31),(29 103276.98),(30 104538.38),(31 105337.17),(32 105494.55),(33 105684.91),(34 106586.94),(35 107895.95),(36 109328.91),(37 111314.766),(38 112589.04),(39 113396.85),(40 113799.27),(41 114438.27),(42 114669.53),(43 115215.66),(44 116256.49),(45 116693.34),(46 118137.414),(47 119337.57),(48 120308.63),(49 120963.195),(50 121390.23),(51 121372.75),(52 120580.79),(53 120067.695),(54 120060.734),(55 119386.46),(56 118899.195),(57 118636.59),(58 118155.04),(59 117988.484),(60 117983.984),(61 117493.125),(62 118240.34),(63 118154.836),(64 118374.17),(65 117997.91),(66 118488.75),(67 119219.68),(68 119414.17),(69 119585.18),(70 120150.54),(71 120352.234),(72 120748.75),(73 120632.31),(74 121040.91),(75 120978.07),(76 120963.05),(77 120687.266),(78 119766.65),(79 118951.164),
(1 7360.31),(2 19268.982),(3 31298.154),(4 42381.387),(5 51763.547),(6 59629.555),(7 64919.027),(8 69318.25),(9 72773.2),(10 75976.69),(11 78336.41),(12 80606.6),(13 82559.28),(14 85485.4),(15 87982.2),(16 90409.87),(17 92656.48),(18 94590.33),(19 96230.23),(20 97393.75),(21 98287.125),(22 99350.57),(23 99962.74),(24 100773.164),(25 101702.49),(26 102634.836),(27 102479.87),(28 102260.36),(29 101993.67),(30 101958.19),(31 102063.984),(32 101849.96),(33 101884.49),(34 102004.34),(35 102103.59),(36 102000.55),(37 102356.39),(38 103877.74),(39 104631.625),(40 105093.54),(41 106388.4),(42 107154.48),(43 108134.664),(44 109262.63),(45 110431.25),(46 111147.37),(47 111199.77),(48 111649.21),(49 111455.38),(50 111734.875),(51 111836.6),(52 112237.5),(53 112407.195),(54 112718.445),(55 112510.64),(56 112242.22),(57 112403.695),(58 112198.73),(59 112433.05),(60 112303.31),(61 112005.56),(62 113214.46),(63 113986.44),(64 114306.266),(65 114602.02),(66 114814.7),(67 115140.09),(68 115508.79),(69 115350.03),(70 115978.664),(71 115667.375),(72 115729.09),(73 115788.016),(74 116437.586),(75 116747.84),(76 117581.266),(77 118330.96),(78 118570.24),(79 118076.07),
