1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 660339),(2 2712842.3),(3 6521639.5),(4 11929675),(5 19062098),(6 28296762),(7 38665596),(8 54218644),(9 69772650),(10 87531050),(11 108959520),(12 132710340),(13 158302720),(14 189194190),(15 217097490),(16 242432400),(17 269395300),(18 293977900),(19 320609630),(20 349465060),(21 376750850),(22 403612160),(23 426110980),(24 442579550),(25 454132900),(26 462339680),(27 465957630),(28 466828640),(29 463416220),(30 460495070),(31 452660770),(32 444924400),(33 433544450),(34 420228260),(35 403857920),(36 386235870),(37 369127400),(38 349552400),(39 331201800),(40 310614500),(41 288773600),(42 268475870),(43 249064430),(44 230936780),(45 214585780),(46 199638850),(47 186224510),(48 173718130),(49 162516450),(50 153589900),(51 145584030),(52 139465740),(53 134020440),(54 129045570),(55 124918460),(56 121588490),(57 118777060),(58 116272024),(59 114734360),(60 113670550),(61 113413096),(62 113610240),(63 114241630),(64 115705976),(65 116996770),(66 118966070),(67 121853910),(68 125399850),(69 129456030),(70 135034380),(71 140490270),(72 148083310),(73 156706610),(74 166531020),(75 175779060),(76 185382000),(77 195348030),(78 207973460),(79 220096130),
(1 95225.95),(2 117755.35),(3 107958.336),(4 144996.33),(5 139672.08),(6 149899.98),(7 153747.67),(8 157419),(9 163391.02),(10 163120.78),(11 169062.28),(12 169947.38),(13 170779.28),(14 167382.61),(15 179045.27),(16 181690.86),(17 189087.8),(18 184264.08),(19 186246.83),(20 191894.11),(21 191807.08),(22 195808.39),(23 190747.92),(24 197115.22),(25 200537.3),(26 197314.86),(27 204636.53),(28 203866.39),(29 204369.14),(30 209612.42),(31 205705.64),(32 209001.17),(33 215899.8),(34 216246.33),(35 222630.86),(36 221993.97),(37 224899.03),(38 226575.7),(39 228205.58),(40 227409.38),(41 230353.72),(42 229185.89),(43 229897.8),(44 228832.11),(45 228894.44),(46 226751.17),(47 225103.94),(48 226332.5),(49 229465),(50 230225.64),(51 228392.4),(52 229804.13),(53 231330.42),(54 232009.4),(55 231773.56),(56 230110.6),(57 229004.53),(58 229039.61),(59 228867),(60 233154.61),(61 235543.33),(62 238697.03),(63 233342.3),(64 239871.11),(65 238103.97),(66 233715.56),(67 241796.53),(68 246021.88),(69 241074.83),(70 247713.36),(71 250467.1),(72 248706.97),(73 258958.48),(74 248156.06),(75 256371.22),(76 250978.88),(77 250401.1),(78 253069.27),(79 260678.6),
(1 92844.37),(2 108567.375),(3 100688.16),(4 135020.31),(5 127554.234),(6 143844.02),(7 142508.17),(8 148217.9),(9 152422.7),(10 152864.48),(11 157998.89),(12 160412.13),(13 162471.06),(14 156344.02),(15 169976.27),(16 173571.75),(17 183875.08),(18 178532.92),(19 177474.8),(20 188461.08),(21 183846.45),(22 186607.16),(23 185595.64),(24 187606.23),(25 196440.28),(26 193124.55),(27 198138.14),(28 197385.6),(29 194698.22),(30 198493.16),(31 199114.4),(32 198523.83),(33 201469.69),(34 204025.67),(35 206705.31),(36 211805.38),(37 213855.33),(38 213246.72),(39 214782.73),(40 218041.05),(41 217120.94),(42 218701.23),(43 219279.23),(44 218953.11),(45 218412.23),(46 216652.98),(47 217421.44),(48 217600.69),(49 219004.05),(50 221515.03),(51 221841.5),(52 221673.02),(53 224024.31),(54 223438.36),(55 221923.88),(56 221627.06),(57 218088.56),(58 217703.19),(59 218983.1),(60 221132.72),(61 222324.13),(62 225655.2),(63 222954.58),(64 227956.05),(65 231381.86),(66 225860.86),(67 233912.19),(68 236874.39),(69 232803.11),(70 229313.23),(71 243803.69),(72 232759.22),(73 243464.81),(74 239343.58),(75 235054.88),(76 237510.86),(77 237619.86),(78 235075.97),(79 242076.31),
(1 96632.67),(2 108470.41),(3 103716.37),(4 137122.81),(5 122863.445),(6 140979.75),(7 137356.7),(8 137463.86),(9 140658.25),(10 144109.55),(11 146480.67),(12 151224.5),(13 156759.28),(14 152079.42),(15 160128.7),(16 163787.34),(17 168915.53),(18 170555.52),(19 166088.6),(20 174466.25),(21 172982.89),(22 176697.39),(23 177341.98),(24 171855.92),(25 179825.2),(26 176091.02),(27 176282.4),(28 181388.67),(29 178747.8),(30 182975.55),(31 183959.95),(32 185488.3),(33 188708.03),(34 190423.95),(35 192607.9),(36 195628.28),(37 196337.34),(38 198780.38),(39 200229.77),(40 198571.23),(41 199795.5),(42 199958.47),(43 199589.25),(44 197082.31),(45 198231.06),(46 198841.38),(47 200539.3),(48 199754.44),(49 201364.7),(50 201314.58),(51 200869.64),(52 200976.98),(53 203131.77),(54 201619.69),(55 200113.13),(56 199376.89),(57 197194.38),(58 198712.16),(59 198043.86),(60 200946.05),(61 200699.14),(62 210897.8),(63 203356.75),(64 213483.17),(65 214527.6),(66 207915.61),(67 211109.06),(68 215983.64),(69 211524.44),(70 211852.88),(71 224322.81),(72 215709.08),(73 224633.55),(74 223264.77),(75 217751.11),(76 219145.5),(77 223103.31),(78 220756.42),(79 227860.72),
(1 98985.94),(2 109204.73),(3 106959.734),(4 140331.33),(5 128537.305),(6 140791.95),(7 137473.25),(8 137700.6),(9 142104.34),(10 143826.84),(11 143894.38),(12 151236.2),(13 155770.78),(14 153554.28),(15 163974.22),(16 161397.88),(17 167024.98),(18 169485.75),(19 165529.23),(20 173430.78),(21 171502.31),(22 172550.3),(23 178279.17),(24 174729.97),(25 181063.48),(26 178906.39),(27 177476.38),(28 186598.67),(29 181017.1),(30 183283.33),(31 187635.7),(32 187959.23),(33 192538.17),(34 193564.56),(35 199612.39),(36 198221.9),(37 200738.92),(38 202462.48),(39 202811.06),(40 200787.2),(41 201828.2),(42 202435.95),(43 200942.16),(44 198339.81),(45 198198.56),(46 199684.08),(47 200935.7),(48 202230.56),(49 201387.64),(50 203982.33),(51 204987.66),(52 202987.88),(53 208595.25),(54 205758.02),(55 201517.42),(56 202795.94),(57 202336.23),(58 200958.98),(59 201550.88),(60 200738.31),(61 204422.45),(62 204199.11),(63 205656.16),(64 211049.3),(65 213257.39),(66 210808.67),(67 215075.94),(68 216192.61),(69 219524.95),(70 209027.23),(71 224352.97),(72 214144.28),(73 220962.11),(74 227669.4),(75 216720.94),(76 220480.8),(77 230171.56),(78 220750.03),(79 220985.77),
(1 98747.3),(2 105015.24),(3 103200.18),(4 134936.39),(5 124154.266),(6 131724.58),(7 134975.9),(8 132728.64),(9 136591.25),(10 140413.81),(11 141464.25),(12 145244.78),(13 151235.02),(14 149765.95),(15 159056.08),(16 160589.4),(17 164000.23),(18 166814.42),(19 161847.73),(20 169660.81),(21 169437.17),(22 167665.95),(23 172050.61),(24 167137.84),(25 172545.75),(26 172750.4),(27 167180.75),(28 176909.8),(29 172720.89),(30 174972.47),(31 177183.23),(32 177995.05),(33 176766.08),(34 180226.33),(35 182262.17),(36 183715.14),(37 186124.98),(38 187271.81),(39 187499.45),(40 186514.3),(41 185478.36),(42 186667.77),(43 186578.84),(44 185109.58),(45 183509.89),(46 183509.94),(47 186628.94),(48 187640.67),(49 189624.98),(50 190317.27),(51 190482.23),(52 191406.1),(53 191871.55),(54 192127),(55 191064.31),(56 190016.56),(57 189872),(58 189766.16),(59 187540.5),(60 188146.8),(61 190834.22),(62 195543.53),(63 190875.48),(64 199917.98),(65 197426.72),(66 198937.6),(67 202341.16),(68 204146.9),(69 204141.47),(70 196420.95),(71 207001.75),(72 205478),(73 204985.5),(74 211134.84),(75 209157.94),(76 209748.56),(77 212839.1),(78 205927.2),(79 208785.61),
(1 94497.12),(2 101124.62),(3 98602.234),(4 128225.84),(5 116051.08),(6 122323.08),(7 127584.47),(8 123032.84),(9 128415.95),(10 133439.67),(11 132100.31),(12 137047.72),(13 141653.55),(14 139831.9),(15 148212.27),(16 148388.08),(17 147816.94),(18 152896.13),(19 148735.08),(20 153605.03),(21 156947.16),(22 153254.64),(23 157716.2),(24 156197.14),(25 158684.3),(26 165429.98),(27 159554.9),(28 165515.66),(29 163060.81),(30 164950.2),(31 165846.97),(32 168366.47),(33 168465.48),(34 172227.66),(35 170043.1),(36 171837.03),(37 174088.75),(38 172294.47),(39 176210.02),(40 175900.78),(41 174647.81),(42 175118.56),(43 176401.61),(44 173341.14),(45 175133.81),(46 176710.61),(47 174746.25),(48 174061.42),(49 176360.06),(50 176662.17),(51 178114.17),(52 177359.03),(53 178350.81),(54 177938.25),(55 177138.9),(56 180229.55),(57 180780.25),(58 179077.45),(59 181412.1),(60 179555.73),(61 181932.19),(62 183089.45),(63 180988.16),(64 184065.8),(65 194306.92),(66 184964.94),(67 194738.48),(68 192476.16),(69 197444.81),(70 188929.66),(71 197690.17),(72 200099.64),(73 190935.06),(74 208837.23),(75 202572),(76 201586.97),(77 204349.13),(78 201094.75),(79 198829.05),
(1 91721.875),(2 100912.08),(3 101762.375),(4 128041.61),(5 117580.38),(6 118837.35),(7 126076.695),(8 120012.53),(9 128021.81),(10 130829.086),(11 131683.81),(12 134388.23),(13 138957.3),(14 137407.61),(15 142967.73),(16 146267.58),(17 145845.17),(18 147121.48),(19 145377.28),(20 150494.63),(21 155997.84),(22 152452.53),(23 155415.52),(24 151433.42),(25 151462.4),(26 160620.88),(27 153987.88),(28 155197.92),(29 158010.28),(30 156662.86),(31 157982.1),(32 160984.7),(33 162127.7),(34 162204.67),(35 164174.9),(36 167228.81),(37 168785.89),(38 163822.61),(39 166710.45),(40 166762.67),(41 165892.61),(42 164132.08),(43 165294.14),(44 165826.05),(45 167265.66),(46 167346.3),(47 167845.88),(48 167674.44),(49 168120.83),(50 171469.31),(51 170589.88),(52 169073.4),(53 169889.64),(54 169499.08),(55 171124.69),(56 172166.27),(57 170064.11),(58 173320.06),(59 169687.08),(60 171763.33),(61 168698.89),(62 172901.14),(63 173668.28),(64 174127.81),(65 180852.06),(66 174037.83),(67 180845.1),(68 176886.31),(69 182970.88),(70 181549.34),(71 179859.88),(72 189195.95),(73 178188.22),(74 186300.98),(75 192512.44),(76 185683.42),(77 187249.1),(78 187657.45),(79 185698.52),
(1 93733.5),(2 104067.22),(3 104873.62),(4 130262.555),(5 118085.87),(6 118421.445),(7 129104.016),(8 116954.02),(9 125566.266),(10 129363.25),(11 126612.43),(12 128314.11),(13 131966.7),(14 135370.42),(15 140491.14),(16 141806.67),(17 140471.6),(18 142608.77),(19 140240.05),(20 144524.67),(21 154239.83),(22 147655.11),(23 149814),(24 149613.03),(25 145788.8),(26 157710.61),(27 154213.28),(28 153365.28),(29 159343.47),(30 155609.83),(31 157160.03),(32 162895.83),(33 161042.75),(34 164051.27),(35 165724.61),(36 167158.66),(37 168582.33),(38 168022.98),(39 165950.61),(40 167441.28),(41 168791.73),(42 167286.8),(43 169448.53),(44 169556.53),(45 171321.22),(46 169909.95),(47 166943.5),(48 172697.36),(49 171893.53),(50 171178.56),(51 173012.48),(52 173089.83),(53 172469.94),(54 173979.6),(55 172742.06),(56 176781.69),(57 175942.77),(58 178848.39),(59 179977.6),(60 180320.4),(61 180403.22),(62 179106.98),(63 180055.47),(64 180482.3),(65 185352.03),(66 182265.36),(67 194964.1),(68 186973.17),(69 194492.14),(70 190677.98),(71 186022.58),(72 196803.22),(73 185231.89),(74 191809.52),(75 199490.06),(76 191343.97),(77 191540.67),(78 195262.17),(79 185026.47),
(1 86834.24),(2 95338.86),(3 95728.414),(4 117488.51),(5 110835.25),(6 106732.29),(7 117427.65),(8 108872.78),(9 114585.32),(10 119524.84),(11 120088.625),(12 120147.766),(13 120486.28),(14 127218.516),(15 129243.44),(16 133873.3),(17 130723.914),(18 133154.75),(19 133218.67),(20 131758.11),(21 139078.03),(22 138259.47),(23 139315.7),(24 143637.95),(25 138959.53),(26 146505.25),(27 147868.2),(28 145531.97),(29 149949.03),(30 149892.81),(31 149801.05),(32 153892.72),(33 152556.58),(34 154809.05),(35 155407.34),(36 157269.2),(37 157958.1),(38 158226.2),(39 157194.33),(40 159589.34),(41 159887.9),(42 160779.67),(43 161948.92),(44 160397.17),(45 163180.63),(46 160894.69),(47 160461.81),(48 163829.17),(49 163583.11),(50 164082.89),(51 164115.58),(52 162338.86),(53 163994.44),(54 163077.2),(55 165973.98),(56 167062.63),(57 167879.94),(58 171393.52),(59 169764.69),(60 171597.73),(61 168237.33),(62 173138.03),(63 175931.88),(64 173806.47),(65 179986.61),(66 174706.72),(67 182373.17),(68 182113.23),(69 182631.61),(70 192190.28),(71 182516.67),(72 190744),(73 190876.61),(74 185596.13),(75 192625.38),(76 189931.02),(77 188596),(78 194008.97),(79 188443.08),
(1 82374.06),(2 89823.37),(3 88088.38),(4 106687.74),(5 101791.914),(6 97220.21),(7 104872.63),(8 100153.84),(9 107927.21),(10 110817.41),(11 111359.39),(12 113646.266),(13 112315.164),(14 117529.2),(15 120286.2),(16 123893.25),(17 123984.48),(18 122513.5),(19 126717.59),(20 128024.336),(21 131713.72),(22 132196.67),(23 130206.75),(24 135447.16),(25 133403.7),(26 134470.48),(27 138034.63),(28 135258.14),(29 140022.06),(30 139807.17),(31 142112.53),(32 143988.86),(33 143788.06),(34 149924.88),(35 150699.67),(36 150618.38),(37 149788.06),(38 148955.77),(39 147533.67),(40 149532.98),(41 149822.4),(42 151185.77),(43 155131.86),(44 154314.31),(45 156026.66),(46 155644.06),(47 152509.72),(48 155653.67),(49 154384.19),(50 156889.61),(51 158195.48),(52 158748.36),(53 157506.38),(54 157830.97),(55 159077.61),(56 156807.95),(57 160001.23),(58 160257.25),(59 160934.72),(60 164244.66),(61 159682.75),(62 162311.08),(63 169794.67),(64 160646.73),(65 164021.16),(66 164357.5),(67 167307.77),(68 169511.52),(69 171654.66),(70 175300.25),(71 170310.27),(72 172181.47),(73 171397.73),(74 168293.4),(75 173593.67),(76 172566.84),(77 170644.48),(78 174364.1),(79 170511.73),
(1 82431.4),(2 91569.414),(3 92159.664),(4 106679.805),(5 101812.234),(6 97976.9),(7 104463.234),(8 102416.11),(9 107736.78),(10 110023.266),(11 109767.35),(12 113109.61),(13 112805.04),(14 119269.016),(15 120626.67),(16 122989.73),(17 126758.766),(18 122067.375),(19 126970.46),(20 127778.055),(21 130889.91),(22 132133.78),(23 130628.1),(24 136075.97),(25 135431.19),(26 135114.53),(27 144255.36),(28 138139.4),(29 143204.98),(30 145309.75),(31 145040.42),(32 145849.73),(33 148332.19),(34 150769.44),(35 151508.55),(36 152742.98),(37 154993.86),(38 153724.98),(39 155333.7),(40 155485.73),(41 155973.08),(42 158468.16),(43 159368.77),(44 160721.28),(45 161925.83),(46 161086.56),(47 161476.47),(48 164813.69),(49 162250.78),(50 163635.89),(51 165323.36),(52 164140.64),(53 165955.56),(54 164965.45),(55 164681.8),(56 169154.42),(57 168704.52),(58 170812.89),(59 173361.77),(60 175600.08),(61 174271.48),(62 175329.7),(63 182374.66),(64 179708.06),(65 176494.23),(66 185698.05),(67 179861.11),(68 187437.2),(69 180766.03),(70 189738.3),(71 184888.7),(72 183277.61),(73 190229.98),(74 179361.02),(75 187654.61),(76 187680.17),(77 185774.4),(78 183908.8),(79 188307.33),
(1 76265.6),(2 84222.19),(3 86410.3),(4 99164.21),(5 97705.15),(6 92392.68),(7 99568.195),(8 96316.42),(9 99309.51),(10 106699.22),(11 107357.6),(12 109163.75),(13 108386.4),(14 113282.83),(15 117751.91),(16 119098.94),(17 120031.21),(18 119717.016),(19 120761.36),(20 121940.38),(21 127856.55),(22 129849.484),(23 126506.016),(24 130255.336),(25 133521.61),(26 129249.21),(27 137613.22),(28 134067.73),(29 135674.67),(30 138962.3),(31 138695.9),(32 142035.31),(33 143798.28),(34 145376.63),(35 148997.97),(36 151170.4),(37 151360.7),(38 152955.89),(39 151802.33),(40 153224.53),(41 153710.38),(42 151911.6),(43 154639.75),(44 156144.75),(45 156225.31),(46 156292.13),(47 159093.45),(48 158880),(49 157646.3),(50 158939.94),(51 157857.89),(52 158842.72),(53 159954.84),(54 160304.95),(55 162700),(56 162289.13),(57 162257.05),(58 161762.5),(59 163901.36),(60 167554.72),(61 166090.05),(62 168025.61),(63 175129.33),(64 173495.4),(65 169991.61),(66 174915.44),(67 174469.61),(68 176423.94),(69 179338.1),(70 181368.92),(71 181079.61),(72 179233.81),(73 184673.2),(74 179833.83),(75 178371.64),(76 182259.89),(77 180425.58),(78 180573.25),(79 181505.28),
(1 75839.2),(2 83859.87),(3 85478.25),(4 96078.125),(5 94718.28),(6 89164.35),(7 94572.77),(8 95323.22),(9 97819.93),(10 103432.086),(11 104596.26),(12 104811.98),(13 102644.6),(14 108685.516),(15 113565.68),(16 114451.445),(17 118771.74),(18 117188.36),(19 121120.28),(20 121214.94),(21 125500.09),(22 130990.84),(23 127147.06),(24 128728.61),(25 132456.78),(26 128733),(27 135012.31),(28 135867.27),(29 136263.06),(30 141634.05),(31 143361.02),(32 144202.27),(33 147915.77),(34 148822.72),(35 152109.86),(36 154374.72),(37 154254.7),(38 155431.66),(39 157303.05),(40 158020.69),(41 157531.14),(42 159678.05),(43 162643.67),(44 162382.23),(45 165571.77),(46 163698.19),(47 164628.47),(48 168731.34),(49 167018.56),(50 169709.64),(51 172667.42),(52 170722.34),(53 170119.69),(54 171013.88),(55 167897.53),(56 168637.75),(57 169820.94),(58 170648.8),(59 176807.58),(60 175670.2),(61 173271.2),(62 173489.53),(63 182446.05),(64 173793.56),(65 175437.19),(66 180664.63),(67 176086.3),(68 179454.8),(69 174622.55),(70 179683.1),(71 180930.14),(72 177207.16),(73 183120.84),(74 181977.5),(75 175792.94),(76 179523.14),(77 178580.16),(78 175858.16),(79 178116.08),
(1 67450.945),(2 75500.7),(3 80889.13),(4 88513.21),(5 86167.875),(6 82287.586),(7 86726.21),(8 88933.65),(9 93048.08),(10 97762),(11 97881.56),(12 99704.516),(13 101547.78),(14 104557.44),(15 111629.29),(16 112041.23),(17 113894.91),(18 113305.37),(19 116476.22),(20 117082.66),(21 119017.52),(22 124628.25),(23 123857.31),(24 122814.42),(25 126873.664),(26 122565.1),(27 127802.85),(28 129254.66),(29 128209.63),(30 130438.6),(31 131424.98),(32 133222.2),(33 135926.86),(34 138765.73),(35 139726.75),(36 140177.27),(37 141506.6),(38 144788.77),(39 144707.42),(40 144584.61),(41 146921.97),(42 146002.11),(43 149602.88),(44 150348.6),(45 150403.27),(46 151413.7),(47 153010.23),(48 154393.67),(49 152581.72),(50 155128.27),(51 155849.78),(52 157133.58),(53 157902.86),(54 156869.27),(55 157644.4),(56 159372.27),(57 158994.23),(58 160420.47),(59 165643.08),(60 164739.8),(61 162243.75),(62 164970.45),(63 170230.5),(64 166831.02),(65 165219.08),(66 171033.78),(67 169038.27),(68 168380.34),(69 167402.53),(70 169623.4),(71 175195.36),(72 171936.84),(73 174452.78),(74 179016.73),(75 171246.98),(76 170903.19),(77 172076.03),(78 167436.89),(79 168260.14),
(1 63930.45),(2 71238.64),(3 77561.805),(4 83113.82),(5 82270.08),(6 80454.03),(7 82426.43),(8 84009.68),(9 88234.8),(10 92323.945),(11 95209.02),(12 94340.945),(13 95793.38),(14 100280.664),(15 104293.625),(16 105108.055),(17 108321.6),(18 106532.35),(19 106879.49),(20 109573.31),(21 110574.09),(22 115213.66),(23 115417.15),(24 114689.9),(25 116085.36),(26 114869.06),(27 116773.04),(28 120164.586),(29 119392.36),(30 123095.086),(31 123823.26),(32 125288.27),(33 128878.305),(34 130811.13),(35 132849.78),(36 134086.69),(37 134960.94),(38 136401.16),(39 137883.7),(40 139404.48),(41 138918.39),(42 140507.13),(43 144365.63),(44 144486.06),(45 143015.9),(46 146130.9),(47 146549.34),(48 146845.9),(49 146427.17),(50 148092.19),(51 151953.1),(52 153367.3),(53 152019.3),(54 153244.31),(55 151069.5),(56 152798.16),(57 154829.5),(58 152588.06),(59 161005.92),(60 159189.7),(61 160018.89),(62 159558.3),(63 168824.64),(64 162513.1),(65 160913.22),(66 166743.23),(67 163064.16),(68 164560.19),(69 163807.88),(70 164997.94),(71 171595.13),(72 171427.42),(73 170869.92),(74 172483.86),(75 168174.11),(76 165872.1),(77 167915.14),(78 163896.16),(79 168112.03),
(1 58520.68),(2 66305.23),(3 75422.766),(4 80546.56),(5 80498.98),(6 79253.24),(7 80580.32),(8 81467.15),(9 84053.92),(10 89008.17),(11 93873.68),(12 93491.15),(13 96133.57),(14 102115.84),(15 105918.18),(16 105046.8),(17 107124.95),(18 107597.7),(19 109722.32),(20 112131.09),(21 113800.59),(22 118098.03),(23 116064.46),(24 116797.375),(25 117545.93),(26 118410.71),(27 117911.64),(28 124857.555),(29 122259.37),(30 126414.77),(31 127608.36),(32 130305.88),(33 133056.11),(34 132724.56),(35 135681.34),(36 138417.5),(37 137168.75),(38 141341.31),(39 142426.92),(40 142023.28),(41 144803.63),(42 144927.9),(43 146498.3),(44 147924.47),(45 148608.94),(46 148714.47),(47 151309.39),(48 152413.27),(49 151554.67),(50 155313.33),(51 158835.63),(52 158039.47),(53 158143.38),(54 156948.33),(55 157477.78),(56 160986.16),(57 160187.86),(58 161820.16),(59 164806.34),(60 165758.97),(61 165785.97),(62 167163.31),(63 170732.7),(64 168315.25),(65 167596.34),(66 171311.42),(67 167989.64),(68 168644.27),(69 169359.39),(70 169125.72),(71 174136.81),(72 172541.16),(73 170544.36),(74 173515.27),(75 166958.27),(76 169929.17),(77 168808.23),(78 164197.73),(79 164048.69),
(1 54639.426),(2 64426.324),(3 76101.086),(4 79010.336),(5 78185.76),(6 77165.555),(7 77614.47),(8 80811.63),(9 84070.79),(10 86186.445),(11 90067.85),(12 90691.37),(13 93773.68),(14 96566.91),(15 100101.83),(16 99564.17),(17 100804.93),(18 100266.92),(19 101485.29),(20 105527.72),(21 105036.43),(22 109743.44),(23 109086.19),(24 109232.31),(25 110119.11),(26 113051.95),(27 112156.47),(28 115273.67),(29 115122.96),(30 116224.34),(31 117986.81),(32 118513.58),(33 121717.8),(34 123571.914),(35 124142.41),(36 126094.13),(37 127800.26),(38 130453.23),(39 131791.5),(40 132848.27),(41 132651.34),(42 133465.58),(43 136276.4),(44 136333.33),(45 136638.44),(46 138196.6),(47 137548.02),(48 137313.11),(49 136492.67),(50 138659.19),(51 140958.06),(52 143186.1),(53 142557.97),(54 142290.19),(55 144966.45),(56 143790.64),(57 146486.83),(58 144814.86),(59 150536.69),(60 148562.9),(61 150093.4),(62 148938.47),(63 154924.03),(64 150452.33),(65 151901.63),(66 153333.36),(67 151771.55),(68 149377.55),(69 151793.19),(70 148883.14),(71 150632.45),(72 151224.98),(73 151630.06),(74 153030.72),(75 150028.27),(76 146426.45),(77 147550.69),(78 144406.6),(79 143882.28),
(1 53577.203),(2 62587.65),(3 75841.51),(4 77755.46),(5 77532.44),(6 76284.22),(7 74138.84),(8 77336.06),(9 82892.75),(10 83489.8),(11 87804.266),(12 86938.02),(13 89194.84),(14 93263.1),(15 94919.75),(16 94652.15),(17 96409.65),(18 97622.9),(19 97387.57),(20 101966.76),(21 101111.86),(22 102201.516),(23 102178.5),(24 101571.24),(25 103898.43),(26 105279.625),(27 105055.55),(28 107884.86),(29 108400.164),(30 109201.95),(31 112862.1),(32 114494.5),(33 118836.86),(34 121176.805),(35 121039.13),(36 122508.125),(37 123488.18),(38 126251.414),(39 128274.555),(40 128412.555),(41 128102.34),(42 128694.54),(43 131460.56),(44 131207.25),(45 132592.92),(46 132025.11),(47 132511.7),(48 133093.52),(49 132317.95),(50 133469.44),(51 136503.95),(52 136701.5),(53 138065.17),(54 138421.92),(55 138132.19),(56 142589.36),(57 140027.88),(58 140629.64),(59 142723.06),(60 143569.77),(61 141099.47),(62 144050.84),(63 147820.16),(64 143860.45),(65 145661.44),(66 146619.16),(67 145150.52),(68 146183.4),(69 146902.06),(70 146624.27),(71 147379.64),(72 146495.2),(73 143126.2),(74 146213.53),(75 145311.56),(76 142273.56),(77 142560.1),(78 139780.25),(79 135770.78),
