1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11790.065),(2 36594.67),(3 72158.445),(4 110662.43),(5 150138.77),(6 192808.7),(7 236365.92),(8 284523.03),(9 334768.06),(10 384643.16),(11 445370.13),(12 497921.88),(13 562668.3),(14 624126.06),(15 690301.2),(16 756456.06),(17 818312.5),(18 868651.5),(19 911127.56),(20 955635.7),(21 1005083.7),(22 1050274.1),(23 1096230.6),(24 1142843.9),(25 1187309.4),(26 1236738.3),(27 1269800.4),(28 1307204.5),(29 1349311),(30 1384902.4),(31 1416599.5),(32 1435152.4),(33 1464704),(34 1493715.4),(35 1529082),(36 1555532.4),(37 1580274.9),(38 1589772),(39 1604690),(40 1617752),(41 1637327.6),(42 1661101),(43 1684459.4),(44 1687903.6),(45 1704989.6),(46 1718164.6),(47 1742699),(48 1762717.1),(49 1793975.4),(50 1833960.6),(51 1890874.6),(52 1956579.4),(53 2033632.5),(54 2098077.8),(55 2182046.8),(56 2246608.3),(57 2315227),(58 2367534.3),(59 2412108.8),(60 2458222),(61 2511018),(62 2558702.3),(63 2623069.3),(64 2677804),(65 2760106.3),(66 2854778.3),(67 2961093),(68 3084493.3),(69 3212770.8),(70 3329463.3),(71 3452508),(72 3542863),(73 3635067),(74 3689759.8),(75 3740323.8),(76 3778448.3),(77 3817451.3),(78 3840953.8),(79 3882134.3),
(1 5736.294),(2 16295.421),(3 25680.002),(4 32660.78),(5 37584.64),(6 41136.723),(7 43563.938),(8 45714.69),(9 47847.426),(10 49793.055),(11 50800.895),(12 52312.434),(13 53621.11),(14 54641.734),(15 55347.9),(16 56128.965),(17 57569.305),(18 58667.484),(19 60762.324),(20 63108.344),(21 65886.836),(22 68068.1),(23 69769.57),(24 70664.43),(25 71902.445),(26 74409.33),(27 75918.15),(28 76936.445),(29 77374.52),(30 77487.78),(31 77597.68),(32 78127.19),(33 78808.13),(34 78583.79),(35 78074.81),(36 78072.68),(37 77830.76),(38 78018.58),(39 77276.305),(40 76282.21),(41 74648.27),(42 72972.086),(43 71443.35),(44 70254.58),(45 69755.8),(46 68243.02),(47 67018.39),(48 65829.75),(49 64807.78),(50 64859.38),(51 65079.668),(52 65443.063),(53 65862.5),(54 65162.98),(55 64122.785),(56 62853.848),(57 63127.324),(58 63440.316),(59 64635.18),(60 66483.5),(61 66765.43),(62 67295.734),(63 67595.76),(64 68772.97),(65 69689.39),(66 71186.25),(67 73446.8),(68 74886.26),(69 78063.984),(70 80160.56),(71 82061.875),(72 85122.41),(73 87912.41),(74 91951.69),(75 96124.05),(76 100491.28),(77 105628.41),(78 110710.414),(79 116094.83),
(1 5916.377),(2 16340.63),(3 25346.89),(4 31821.104),(5 36475.836),(6 39846.19),(7 42416.402),(8 44877.418),(9 47451.414),(10 49307.98),(11 50483.555),(12 51590.117),(13 52794.6),(14 54576.992),(15 56224.777),(16 57771.684),(17 59962.082),(18 61645.043),(19 63529.863),(20 65062.26),(21 66988.19),(22 67985.39),(23 68819.91),(24 69268.69),(25 69729.75),(26 70870.66),(27 71948.46),(28 72896.87),(29 73259.01),(30 73458.04),(31 73991.75),(32 74400.92),(33 74828.6),(34 74670.64),(35 74553.766),(36 74536.35),(37 74521.414),(38 74296.92),(39 73270.57),(40 71884.2),(41 70507.04),(42 69594.055),(43 68420.27),(44 67681.836),(45 67565.305),(46 66373.29),(47 65717.75),(48 64635.547),(49 63239.656),(50 62918.74),(51 63298.727),(52 63698.453),(53 63176.656),(54 61868.465),(55 60498.81),(56 59089.492),(57 59256.918),(58 59916.344),(59 61234.918),(60 62631.926),(61 63520.348),(62 63999.863),(63 64037.793),(64 65267.375),(65 67217.836),(66 69717.2),(67 72444.22),(68 73907.11),(69 76747.805),(70 79187.83),(71 80910.1),(72 83919.61),(73 87166.14),(74 91662.63),(75 95871.14),(76 100271.15),(77 105193.03),(78 109196.3),(79 114051.945),
(1 6070.1855),(2 17020.291),(3 26812.29),(4 33852.01),(5 38241.145),(6 41053.99),(7 43232.723),(8 45379.145),(9 47772.56),(10 50263.723),(11 51704.105),(12 53052.88),(13 54150.25),(14 55397.13),(15 56223.184),(16 56918.01),(17 58256.816),(18 59371.715),(19 61471.742),(20 63853.15),(21 66612.484),(22 67658.13),(23 68267.48),(24 69061.516),(25 69564.01),(26 70326.555),(27 71308.94),(28 71870.81),(29 72785.39),(30 73618.54),(31 74252.234),(32 74422.23),(33 74785.96),(34 73922.71),(35 72968.41),(36 72446.49),(37 71694.64),(38 71123.555),(39 70502.5),(40 69890.234),(41 68736.66),(42 67915.55),(43 66980.45),(44 66096.414),(45 65759.69),(46 64361.09),(47 63728.176),(48 62485.2),(49 61197.75),(50 60885.117),(51 60457.945),(52 60599.594),(53 60508.293),(54 60240.12),(55 60365.02),(56 60067.414),(57 61005.43),(58 61669.67),(59 62498.777),(60 63072.707),(61 63048.355),(62 63108.11),(63 63124.04),(64 63851.09),(65 64479.44),(66 65578.08),(67 67719.64),(68 68664.4),(69 71163.65),(70 73368.055),(71 75405.02),(72 78086.61),(73 80359.34),(74 83661.74),(75 87563.96),(76 91856.82),(77 96382.17),(78 100519.89),(79 104959.95),
(1 5747.088),(2 16268.748),(3 25686.969),(4 32560.477),(5 36980.574),(6 39460.227),(7 41023.715),(8 42685.66),(9 44652.953),(10 46952.824),(11 48356.11),(12 49632.387),(13 50480.277),(14 51485.145),(15 52233.37),(16 53317.08),(17 55101.38),(18 57013.215),(19 59466.95),(20 61935.207),(21 64019.246),(22 65273.008),(23 66072.586),(24 66546.46),(25 67620.5),(26 69300.516),(27 70848.66),(28 71951.445),(29 72728.24),(30 73067.56),(31 73765.15),(32 73874.164),(33 73667.46),(34 73144.13),(35 72715.586),(36 72654.375),(37 72085.73),(38 70916.086),(39 69332.54),(40 68384.39),(41 67218.664),(42 66298.65),(43 65310.94),(44 64821.95),(45 64226.645),(46 62578.297),(47 61627.367),(48 60818.24),(49 60391.336),(50 60238.1),(51 60177.78),(52 60147.883),(53 59618.22),(54 59008.336),(55 59185.03),(56 59102.78),(57 59702.344),(58 60010.88),(59 60674.98),(60 61599.64),(61 62463.168),(62 64185.348),(63 65680.51),(64 67509.88),(65 68327.86),(66 69760.77),(67 72337.94),(68 74294.59),(69 77776.836),(70 80626.45),(71 82699.25),(72 84853.19),(73 86027.016),(74 88445.984),(75 91523.71),(76 95282.555),(77 99396.39),(78 103562.04),(79 107960.46),
(1 5573.6045),(2 15571.457),(3 24098.646),(4 30559.41),(5 34783.62),(6 37737.668),(7 40154.18),(8 42681.176),(9 45275.445),(10 47935.316),(11 50294.348),(12 51724.46),(13 52442.313),(14 53165.57),(15 53969.594),(16 55165.855),(17 57122.31),(18 58889.125),(19 60757.93),(20 61984.293),(21 63100.727),(22 63646.652),(23 63887.7),(24 64367.9),(25 65207.26),(26 66587.305),(27 67468.85),(28 67775.48),(29 68145.45),(30 68819.305),(31 69711.88),(32 69955.195),(33 69792.445),(34 68982.24),(35 68448.39),(36 68572.61),(37 67692.93),(38 66517.695),(39 64631.773),(40 63425.555),(41 62441.273),(42 61489.69),(43 59941.156),(44 59160.33),(45 58477.87),(46 57195.668),(47 56402.9),(48 55563.766),(49 55085.72),(50 55216.793),(51 55307.293),(52 55304.402),(53 54922.016),(54 54686.324),(55 55100.254),(56 54953.543),(57 55055.938),(58 54660.94),(59 55669.715),(60 56939.613),(61 58004.836),(62 59792.773),(63 61829.246),(64 64185.883),(65 64606.09),(66 65837.914),(67 67917.734),(68 69395.91),(69 72136.13),(70 74789.55),(71 77381.766),(72 80098.96),(73 81623.66),(74 83735.41),(75 86958.195),(76 90487.305),(77 94847.75),(78 98819.8),(79 103069.63),
(1 5608.76),(2 15383.226),(3 23771.504),(4 29948.496),(5 34270.266),(6 37197.26),(7 39511.45),(8 41998.453),(9 44620.63),(10 46729.684),(11 47790.363),(12 48524.176),(13 48770.83),(14 49469.895),(15 49910.516),(16 51100.21),(17 52561.184),(18 53701.26),(19 55451.516),(20 56811.223),(21 58049.387),(22 58334.34),(23 58984.332),(24 59907.57),(25 61341.55),(26 62917.203),(27 63664.652),(28 63834.09),(29 64215.74),(30 64517.766),(31 65215.43),(32 65874.1),(33 66391.09),(34 66240.58),(35 66433.51),(36 66819.74),(37 66341.39),(38 65540.766),(39 63983.445),(40 62542.38),(41 61115.125),(42 59990.01),(43 58429.727),(44 56902.32),(45 55749.125),(46 54651.457),(47 54145.734),(48 53630.7),(49 53404.75),(50 53441.457),(51 53302.676),(52 53272.09),(53 52836.91),(54 52676.87),(55 52841.49),(56 52767.21),(57 53480.066),(58 54144.01),(59 55612.38),(60 57186.098),(61 58025.04),(62 58878.805),(63 59775.41),(64 61034.438),(65 61243.7),(66 62187.19),(67 63841.145),(68 64862.117),(69 66948.35),(70 69162.13),(71 71770.9),(72 74997.4),(73 77237.83),(74 79936.484),(75 83350.9),(76 87113.84),(77 91329.32),(78 94856.38),(79 98349.63),
(1 5450.0596),(2 15033.401),(3 23597.838),(4 29884.592),(5 34131.605),(6 36747.914),(7 38665.137),(8 40943.676),(9 43709.04),(10 45596.12),(11 46726.08),(12 47363.465),(13 48181.25),(14 49096.85),(15 49575.023),(16 50109.51),(17 51222.355),(18 52093.45),(19 53760.72),(20 55439.734),(21 56877.04),(22 57672.33),(23 58722.07),(24 59944.24),(25 61675.703),(26 63705.063),(27 64763.766),(28 65264.887),(29 65407.617),(30 65300.44),(31 65983.29),(32 66500.805),(33 67024.84),(34 66823.266),(35 66473.836),(36 66225.37),(37 64994.875),(38 63487.156),(39 62465.63),(40 61938.008),(41 60803.793),(42 59856.832),(43 58756.426),(44 57657.7),(45 56573.29),(46 55353.805),(47 55135.867),(48 55090.414),(49 55251.555),(50 55372.844),(51 55282.96),(52 55358.56),(53 54821.492),(54 54865.02),(55 55508.73),(56 55756.836),(57 56359.01),(58 56464.574),(59 56853.203),(60 57823.586),(61 58260.96),(62 59002.652),(63 59274.824),(64 59610.38),(65 59340.3),(66 59940.434),(67 61831.69),(68 63330.906),(69 66330.48),(70 69118.89),(71 71419.76),(72 74240.11),(73 76087.836),(74 79142.77),(75 82806.76),(76 86818.29),(77 90974.41),(78 94433.695),(79 98017.92),
(1 5315.713),(2 14220.059),(3 21677.184),(4 27322.258),(5 31512.637),(6 34737.285),(7 37809.4),(8 41146.805),(9 43884.97),(10 45194.816),(11 45706.57),(12 46416.23),(13 46731.484),(14 47419.56),(15 48070.09),(16 48902.85),(17 50618.47),(18 52315.86),(19 54854),(20 57169.68),(21 59256.582),(22 60411.66),(23 61824.563),(24 63567.72),(25 65133.254),(26 66520.33),(27 66950.2),(28 67284.14),(29 67886.55),(30 68138.46),(31 68663.98),(32 69139.88),(33 69331.984),(34 68718.28),(35 68616.51),(36 68314.49),(37 67653.33),(38 67135.336),(39 66100.5),(40 65460.23),(41 64263.543),(42 62860.574),(43 61107.71),(44 59765.03),(45 58781.75),(46 58085.41),(47 58060.727),(48 57655.766),(49 56918.563),(50 56616.156),(51 56019.348),(52 55780.94),(53 55152.33),(54 54384.37),(55 54597.395),(56 54253.09),(57 54200.37),(58 54262.555),(59 54806.227),(60 55801.563),(61 56811.973),(62 58589.34),(63 60240.93),(64 62513.313),(65 63781.91),(66 66131.086),(67 69098.34),(68 71707.53),(69 75763.26),(70 78703.805),(71 80951.484),(72 83591.53),(73 85457.97),(74 88171.13),(75 91224.85),(76 95294.35),(77 99816.38),(78 104203.516),(79 108878.06),
(1 5173.6187),(2 14071.108),(3 21796.55),(4 27408.484),(5 31464.195),(6 34258.465),(7 36570.043),(8 39060.707),(9 41487.664),(10 43886.754),(11 45399.22),(12 47376.902),(13 48920.89),(14 50433.957),(15 51740.62),(16 52774.645),(17 54328.234),(18 56250.31),(19 59326.574),(20 62106.5),(21 64833.156),(22 66023.32),(23 67082.914),(24 68525.86),(25 69614.164),(26 70874.54),(27 71094.38),(28 70536.766),(29 70836.58),(30 71096.805),(31 71229.56),(32 71277.15),(33 71393.73),(34 70897.58),(35 70680.44),(36 70852.98),(37 70659.016),(38 69952.234),(39 68824.54),(40 67251.19),(41 65092.074),(42 63139.62),(43 61228.297),(44 59733.914),(45 59034.53),(46 57831.99),(47 56656.39),(48 55413.89),(49 54426.145),(50 54151.465),(51 53452.91),(52 53620.52),(53 53129.223),(54 52425.56),(55 52559),(56 51747.613),(57 51701.188),(58 51993.367),(59 53080.79),(60 54496.098),(61 55376.676),(62 56781.254),(63 57466.58),(64 59078.72),(65 60052.246),(66 61557.254),(67 64111.832),(68 66370.57),(69 70377.28),(70 73403.71),(71 75846.766),(72 79329.13),(73 82171.62),(74 86144.055),(75 90857.516),(76 95780.12),(77 101119.375),(78 105877.69),(79 111461.17),
(1 5198.772),(2 14146.411),(3 21945.45),(4 27804.932),(5 31791.238),(6 34733.797),(7 37426.41),(8 39826.848),(9 41606.992),(10 42773.992),(11 43798.1),(12 44962.86),(13 45379.41),(14 46166.336),(15 46895.523),(16 47869.49),(17 49335.363),(18 51028.15),(19 53654.047),(20 56073),(21 58223.375),(22 59389.492),(23 60584.06),(24 61668.04),(25 62601.484),(26 64018.168),(27 65058.785),(28 65613.58),(29 66545.914),(30 67610.65),(31 68533.984),(32 68562.21),(33 68324.09),(34 68137.125),(35 68579.13),(36 69182.12),(37 69673.234),(38 68988.69),(39 67660.71),(40 66010.28),(41 64445.188),(42 63706.375),(43 62508.36),(44 61261.523),(45 60386.31),(46 59500.496),(47 58913.82),(48 58125.695),(49 57415.414),(50 57448.195),(51 57234.457),(52 57436.33),(53 57246.824),(54 56601.348),(55 56918.664),(56 56582.344),(57 56926.92),(58 57042.477),(59 57634.395),(60 58630.336),(61 59209.8),(62 60041.03),(63 60421.24),(64 61813.27),(65 62785.652),(66 64055.543),(67 66092.164),(68 67682.734),(69 70744.44),(70 72783.43),(71 74476.52),(72 77092.86),(73 78939.11),(74 81753.914),(75 85294.27),(76 89211.55),(77 93667.26),(78 98082.305),(79 103207.76),
(1 5198.1304),(2 14089.775),(3 21739.072),(4 27154.857),(5 30885.355),(6 33878.836),(7 36374.445),(8 37965.055),(9 39149.508),(10 40084.91),(11 40899.957),(12 42225.14),(13 43034.59),(14 44207.555),(15 45121.81),(16 46050.098),(17 47351.48),(18 48857.59),(19 51114.215),(20 53235.434),(21 55441.41),(22 56915.953),(23 58096.434),(24 59155.176),(25 60344.92),(26 61771.38),(27 62230.91),(28 62754.863),(29 63781.043),(30 64903.715),(31 65545.8),(32 65427.99),(33 65214.656),(34 64933.37),(35 65108.23),(36 65535.805),(37 65508),(38 65148.887),(39 63970.92),(40 62609.117),(41 60930.734),(42 59577.08),(43 58404.24),(44 57399.98),(45 56779.48),(46 55739.227),(47 55100.934),(48 54241.813),(49 53328.83),(50 53223.113),(51 52647.184),(52 52768.06),(53 52373.23),(54 51840.242),(55 52013.15),(56 51960.035),(57 52737.94),(58 53231.555),(59 53789.92),(60 54466.76),(61 54731.285),(62 55206.723),(63 55610.99),(64 57009.195),(65 57851.324),(66 59014.85),(67 61058.07),(68 62858.957),(69 66098.914),(70 68439.84),(71 70120.3),(72 72619.24),(73 74522.734),(74 77316.625),(75 80509.13),(76 84269.12),(77 88060.31),(78 91600.055),(79 95268.02),
(1 4995.447),(2 13623.093),(3 20963.344),(4 26136.824),(5 29563.328),(6 32400.17),(7 34954.543),(8 37185.39),(9 39058.254),(10 40196.97),(11 40697.566),(12 41511.535),(13 42045.594),(14 42957.02),(15 44093.492),(16 45670.71),(17 47586.17),(18 49400.867),(19 51285.055),(20 52632.586),(21 53769.83),(22 54869.223),(23 55604.844),(24 56045.87),(25 56453.598),(26 56876.344),(27 57165.297),(28 57852.277),(29 58901.64),(30 60252.074),(31 61494.074),(32 62095.582),(33 62276.375),(34 62182.066),(35 62122.418),(36 62287.863),(37 61663.797),(38 60994.063),(39 60668.33),(40 59995.965),(41 59158.137),(42 58428.66),(43 57330.883),(44 56368.465),(45 55674.574),(46 54390.574),(47 53573.234),(48 52580.35),(49 51435.402),(50 50801.2),(51 49899.39),(52 49475.168),(53 48952.03),(54 48206.37),(55 47854.563),(56 47256.754),(57 47429.69),(58 48230.227),(59 49569.02),(60 50904.992),(61 51563.305),(62 51867.543),(63 52269.773),(64 53671.844),(65 54940.81),(66 57113.223),(67 59221.066),(68 60606.234),(69 63096.223),(70 65114.51),(71 67691.41),(72 70413.016),(73 72664.5),(74 75038.1),(75 77461.59),(76 80320.43),(77 83485.73),(78 86149.15),(79 88499.75),
(1 4774.584),(2 12704.827),(3 19396.633),(4 23987.027),(5 27083.434),(6 29543.045),(7 31479.803),(8 33093.56),(9 34351.24),(10 35313.574),(11 35805.223),(12 36688.32),(13 37492.37),(14 38917.316),(15 40557.492),(16 42465.258),(17 44517.605),(18 46412.95),(19 48664.29),(20 50454.84),(21 52112.875),(22 53406.27),(23 54581.71),(24 54947.754),(25 55276.465),(26 55990.703),(27 56198.855),(28 57142.055),(29 58384.887),(30 59132.72),(31 60219.96),(32 61211.484),(33 61793.41),(34 61498.97),(35 60964.88),(36 60521.42),(37 59669.586),(38 59001.605),(39 58199.832),(40 57730.258),(41 57317.426),(42 56746.742),(43 54809.434),(44 52991.27),(45 51510.67),(46 50065.645),(47 49431.707),(48 48811.465),(49 48250.152),(50 47653.62),(51 46824.32),(52 46917.44),(53 46687.5),(54 46205.555),(55 46098.566),(56 45330.734),(57 45456.066),(58 45609.35),(59 46445.3),(60 47792.8),(61 48715.574),(62 49865.68),(63 50552.813),(64 51922.855),(65 52895.65),(66 54706.188),(67 56786.863),(68 58309.555),(69 60652.848),(70 62681.426),(71 64624.68),(72 68043.33),(73 70485.77),(74 73199.48),(75 75748.49),(76 78848.695),(77 82281.78),(78 85114.69),(79 88266.48),
(1 4736.2725),(2 12756.567),(3 19790.352),(4 24804.14),(5 28399.463),(6 31236.322),(7 33370.89),(8 34791.15),(9 35998.332),(10 36931.87),(11 37595.16),(12 38500.82),(13 39567.94),(14 40893.273),(15 42095.508),(16 43127.223),(17 44558.402),(18 46014.24),(19 47781.098),(20 49479.445),(21 51192.53),(22 52199.21),(23 52962.46),(24 53256.227),(25 53695.215),(26 54939.273),(27 55866.516),(28 56635.26),(29 57652.094),(30 58703.906),(31 59601.848),(32 60278.063),(33 60723.14),(34 60532.66),(35 60094.074),(36 59760.906),(37 59000.434),(38 58342.145),(39 57643.492),(40 56929.14),(41 55662.727),(42 54329.543),(43 52600.824),(44 51120.492),(45 50322.773),(46 49663.063),(47 49455.156),(48 49124.684),(49 48760.586),(50 48409.086),(51 47670.027),(52 47612.82),(53 47168.223),(54 46337.21),(55 45682.145),(56 44490.953),(57 44498.52),(58 44885.47),(59 46078.742),(60 47608.54),(61 48683.96),(62 50403.918),(63 51465.695),(64 52885.367),(65 53399.344),(66 54057.926),(67 55375.965),(68 56398.785),(69 58417.074),(70 59856.76),(71 60962.844),(72 62953.434),(73 64735.93),(74 67592.43),(75 70833.52),(76 73987.43),(77 77482.78),(78 80871.625),(79 84036.78),
(1 4803.877),(2 12739.289),(3 19429.135),(4 24504.965),(5 27898.232),(6 30439.63),(7 32358.256),(8 34230.883),(9 36061.176),(10 37587.703),(11 38535.977),(12 39521.17),(13 40030.56),(14 40878.496),(15 42047.914),(16 43136.605),(17 44539.68),(18 45978.355),(19 48595.78),(20 51347.813),(21 53575.59),(22 54615.58),(23 55362.066),(24 55668.645),(25 56054.13),(26 57255.76),(27 58253.42),(28 59266.934),(29 60342.176),(30 60815.11),(31 61355.08),(32 61940.195),(33 62379.695),(34 62270.48),(35 61469.586),(36 60592.566),(37 59581.758),(38 59045.88),(39 58363.133),(40 57632.12),(41 56553.22),(42 55428.59),(43 54149.195),(44 53117.438),(45 52369.33),(46 50903.375),(47 49970.98),(48 49182.3),(49 48339.21),(50 47898.887),(51 47472.297),(52 47479.523),(53 46980.664),(54 46385.24),(55 46314.36),(56 45766.246),(57 46202.133),(58 46770.457),(59 47752.08),(60 48856.39),(61 49892.45),(62 51346.145),(63 52370.03),(64 53796.645),(65 54428.91),(66 55622.98),(67 57480.242),(68 58535.33),(69 60403.926),(70 61980.676),(71 63025.105),(72 65078.914),(73 66873.89),(74 69713.63),(75 73109.96),(76 76480.625),(77 80306.164),(78 83781.305),(79 87301.86),
(1 4631.522),(2 12278.726),(3 18590.887),(4 23283.979),(5 26387.168),(6 28419.537),(7 30145),(8 31914.12),(9 33444.168),(10 35087.96),(11 36216.715),(12 37180.055),(13 37987.418),(14 39208.22),(15 40279.04),(16 41270.668),(17 42801.188),(18 43937.74),(19 45987.91),(20 47687.207),(21 49511.332),(22 50673.11),(23 51669.305),(24 52319.273),(25 52921.32),(26 54395.793),(27 55285.43),(28 56270.53),(29 57313.813),(30 57946.813),(31 58596.06),(32 59181.58),(33 59753.72),(34 59656.973),(35 59316.44),(36 58427.8),(37 57337.633),(38 56356.15),(39 55719.027),(40 54907.77),(41 53913.867),(42 53259.496),(43 52437.52),(44 51845.27),(45 51311.152),(46 49697.47),(47 48559.83),(48 47421.773),(49 46444.473),(50 46242.543),(51 45867.676),(52 45713.793),(53 45043.215),(54 44397.477),(55 44221.895),(56 43700.047),(57 44234.527),(58 44820.79),(59 45745.707),(60 46976.688),(61 47836.316),(62 48740.36),(63 48991.64),(64 49669.664),(65 49924.6),(66 50959.004),(67 52876.348),(68 54361.496),(69 57220.54),(70 59285.348),(71 60862.566),(72 63907.996),(73 66072.12),(74 69555.58),(75 73434.86),(76 77376.47),(77 81963.15),(78 86005.95),(79 90076.42),
(1 4604.1655),(2 12280.66),(3 18837.053),(4 23592.955),(5 26623.563),(6 28939.771),(7 30990.906),(8 33072.715),(9 34964.59),(10 36600.383),(11 37570.918),(12 38085.855),(13 38460.934),(14 39291.01),(15 40410.625),(16 41779.4),(17 43962.69),(18 45705.285),(19 47924.105),(20 49864.563),(21 51643.895),(22 52944.152),(23 54262.516),(24 55096.59),(25 56108.227),(26 57460.76),(27 58132.758),(28 59019.47),(29 59955.54),(30 60518.188),(31 61220.29),(32 61945.992),(33 62835.85),(34 63069.492),(35 62988.41),(36 62440.414),(37 61657.336),(38 60518.055),(39 59325.566),(40 58280.254),(41 57153.066),(42 56283.64),(43 55118.883),(44 53687.645),(45 52688.84),(46 51264.047),(47 49972.617),(48 48637.914),(49 47795.406),(50 47777.164),(51 47298.31),(52 46965.02),(53 46339.695),(54 45682.434),(55 45307.07),(56 45139.62),(57 46117.09),(58 47158.78),(59 48263.656),(60 49162.598),(61 49823.785),(62 50578.668),(63 50798.39),(64 51641.53),(65 52345.918),(66 53785.313),(67 55686.813),(68 57243.03),(69 60263.254),(70 62318.883),(71 64066.934),(72 66415.68),(73 68597.58),(74 71943.73),(75 75389.89),(76 78696.766),(77 82611.055),(78 86410.41),(79 90515.375),
