1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9452.156),(2 10069.163),(3 22993.408),(4 28413.828),(5 47781.83),(6 58589.08),(7 82826.18),(8 95184.76),(9 122192.414),(10 141165.83),(11 172110.14),(12 193896.38),(13 229366.58),(14 254127.83),(15 290725.3),(16 314517.72),(17 354182.16),(18 377816.25),(19 416394.03),(20 448489.9),(21 491644.34),(22 527664.7),(23 569416.2),(24 606584.5),(25 653270.2),(26 689599.8),(27 734017.06),(28 762819.2),(29 815849.7),(30 845444.7),(31 894504.5),(32 931028.8),(33 982442.06),(34 1024556.8),(35 1078376.5),(36 1119294.1),(37 1175103.4),(38 1219534.4),(39 1273574),(40 1326257.6),(41 1377232.4),(42 1417711),(43 1471717.4),(44 1514290.9),(45 1559303.1),(46 1597884.1),(47 1648844),(48 1686964),(49 1743571),(50 1785523),(51 1839427.6),(52 1884216.6),(53 1936114.9),(54 1976501.4),(55 2031311),(56 2072793.4),(57 2127005),(58 2180225.3),(59 2230846.8),(60 2285085.8),(61 2332541.8),(62 2385122.3),(63 2445606.5),(64 2501051.3),(65 2560867),(66 2618065.3),(67 2679763),(68 2737475.3),(69 2798046.8),(70 2853302.3),(71 2928103.3),(72 2993917.3),(73 3073081.3),(74 3136521.3),(75 3210883.3),(76 3280575.8),(77 3365275.3),(78 3450202.8),(79 3530651),
(1 1892.0364),(2 5119.306),(3 7715.3467),(4 9184.429),(5 10014.197),(6 10745.687),(7 11267.761),(8 11415.362),(9 11222.318),(10 10888.871),(11 10506.165),(12 10008.35),(13 9399.701),(14 8889.583),(15 8630.649),(16 8831.364),(17 9290.231),(18 9860.597),(19 10331.734),(20 10728.878),(21 10980.794),(22 10988.609),(23 10854.71),(24 10707.769),(25 10682.667),(26 10721.99),(27 10692.047),(28 10596.907),(29 10431.497),(30 10245.616),(31 10070.987),(32 10074.404),(33 10345.779),(34 10716.002),(35 10894.853),(36 10855.768),(37 10848.111),(38 10970.319),(39 11070.932),(40 11067.588),(41 10983.619),(42 10885.531),(43 10724.603),(44 10660.375),(45 10728.658),(46 10837.968),(47 10924.014),(48 10995.589),(49 11075.068),(50 11110.306),(51 10994.888),(52 10831.636),(53 10752.712),(54 10699.965),(55 10672.233),(56 10660.045),(57 10717.515),(58 10777.312),(59 10945.495),(60 11102.135),(61 11432.024),(62 11822.225),(63 11936.988),(64 11795.017),(65 11513.7),(66 11322.26),(67 11183.589),(68 11223.006),(69 11306.003),(70 11566.27),(71 11782.149),(72 11927.709),(73 11938.531),(74 11944.241),(75 11920.409),(76 11972.712),(77 11989.907),(78 12111.694),(79 12257.025),
(1 1703.7798),(2 4612.1997),(3 7055.216),(4 8595.055),(5 9587.948),(6 10428.555),(7 10970.49),(8 11093.606),(9 10949.863),(10 10605.633),(11 10129.732),(12 9577.242),(13 8907.584),(14 8303.382),(15 7969.382),(16 8057.4927),(17 8461.204),(18 9057.516),(19 9471.876),(20 9831.57),(21 10094.51),(22 10289.034),(23 10368.779),(24 10382.892),(25 10400.712),(26 10371.61),(27 10277.953),(28 10114.768),(29 9938.597),(30 9706.21),(31 9460.873),(32 9413.297),(33 9567.235),(34 9681.442),(35 9708.084),(36 9775.158),(37 9951.201),(38 10275.213),(39 10480.125),(40 10495.559),(41 10401.675),(42 10366.701),(43 10243.927),(44 10167.118),(45 10254.072),(46 10469.101),(47 10558.527),(48 10652.473),(49 10734.578),(50 10809.305),(51 10781.721),(52 10650.615),(53 10526.373),(54 10419.108),(55 10302.912),(56 10201.5),(57 10184.697),(58 10295.287),(59 10478.649),(60 10642.937),(61 10856.571),(62 11070.766),(63 11079.47),(64 10936.282),(65 10835.668),(66 10868.555),(67 10831.291),(68 10849.413),(69 10811.25),(70 10883.859),(71 10995.999),(72 11061.622),(73 10925.937),(74 10713.899),(75 10499.464),(76 10374.2705),(77 10325.81),(78 10470.125),(79 10646.959),
(1 1656.781),(2 4469.9956),(3 6770.682),(4 8148.353),(5 8979.342),(6 9588.414),(7 9971.041),(8 10159.261),(9 10193.214),(10 10020.559),(11 9595.157),(12 8986.7),(13 8322.437),(14 7842.9873),(15 7548.1245),(16 7587.166),(17 7924),(18 8430.627),(19 8894.8545),(20 9142.671),(21 9253.195),(22 9329.244),(23 9400.872),(24 9603.212),(25 9812.321),(26 9932.198),(27 9909.511),(28 9730.111),(29 9501.618),(30 9213.922),(31 9033.754),(32 9019.6045),(33 9097.986),(34 9096.832),(35 9011.175),(36 8941.129),(37 8974.394),(38 9207.944),(39 9390.343),(40 9370.274),(41 9296.902),(42 9251.216),(43 9215.486),(44 9200.393),(45 9199.232),(46 9313.251),(47 9421.055),(48 9510.552),(49 9601.013),(50 9750.654),(51 9861.127),(52 9882.297),(53 9832.002),(54 9821.276),(55 9766.689),(56 9662.583),(57 9593.714),(58 9518.564),(59 9448.612),(60 9386.186),(61 9378.397),(62 9402.904),(63 9483.582),(64 9439.119),(65 9407.962),(66 9467.071),(67 9633.527),(68 9793.227),(69 9846.93),(70 9974.434),(71 10052.544),(72 10094.56),(73 9974.264),(74 9823.007),(75 9645.986),(76 9535.78),(77 9482.436),(78 9584.754),(79 9834.234),
(1 1569.9269),(2 4166.108),(3 6191.593),(4 7338.028),(5 7969.074),(6 8385.151),(7 8629.429),(8 8606.505),(9 8491.507),(10 8403.397),(11 8328.7295),(12 8199.961),(13 7894.993),(14 7540.9985),(15 7272.5317),(16 7210.29),(17 7325.614),(18 7524.3125),(19 7839.697),(20 8151.987),(21 8503.392),(22 8821.227),(23 9007.114),(24 9087.098),(25 9074.069),(26 9050.154),(27 8969.615),(28 8946.999),(29 9010.335),(30 9040.46),(31 9028.183),(32 9054.002),(33 9152.28),(34 9067.903),(35 8865.948),(36 8716.054),(37 8595.09),(38 8656.722),(39 8714.992),(40 8714.474),(41 8744.509),(42 8846.484),(43 8844.228),(44 8869.685),(45 8876.393),(46 8867.823),(47 8858.797),(48 8845.831),(49 8983.646),(50 9196.602),(51 9360.549),(52 9314.262),(53 9257.873),(54 9194.912),(55 9058.363),(56 8905.375),(57 8913.444),(58 8955.6045),(59 8940.434),(60 8920.765),(61 8942.047),(62 8978.184),(63 8993.817),(64 8850.971),(65 8591.702),(66 8446.263),(67 8466.376),(68 8646.299),(69 8860.61),(70 9089.192),(71 9328.173),(72 9469.125),(73 9468.746),(74 9382.819),(75 9252.571),(76 9082.305),(77 8906.545),(78 8729.389),(79 8586.937),
(1 1526.7692),(2 4010.7139),(3 5967.178),(4 7084.765),(5 7758.574),(6 8278.507),(7 8546.415),(8 8590.5625),(9 8433.022),(10 8193.099),(11 7940.8276),(12 7614.511),(13 7228.3706),(14 6916.1274),(15 6764.4414),(16 6728.096),(17 6844.6797),(18 7046.8037),(19 7344),(20 7582.076),(21 7791.824),(22 7829.087),(23 7801.3853),(24 7760.6504),(25 7824.0146),(26 7942.5),(27 7973.463),(28 8029.325),(29 8013.5),(30 7923.012),(31 7859.935),(32 7903.1343),(33 7951.589),(34 7861.2573),(35 7726.3647),(36 7582.864),(37 7659.1147),(38 7881.4863),(39 8033.2925),(40 8031.9907),(41 8008.0757),(42 7884.2046),(43 7797.2944),(44 7833.898),(45 7968.2397),(46 8152.31),(47 8295.65),(48 8388.985),(49 8553.626),(50 8641.425),(51 8660.934),(52 8654.661),(53 8614.828),(54 8571.179),(55 8467.678),(56 8310.644),(57 8246.809),(58 8238.744),(59 8309.44),(60 8436.1875),(61 8579.4375),(62 8697.966),(63 8825.113),(64 8871.84),(65 8834.166),(66 8810.507),(67 8824.863),(68 9010.883),(69 9200.527),(70 9377.493),(71 9473.884),(72 9455.961),(73 9276.941),(74 9040.403),(75 8863.074),(76 8755.533),(77 8723.627),(78 8669.956),(79 8552.606),
(1 1424.9353),(2 3698.9832),(3 5519.534),(4 6714.288),(5 7597.6123),(6 8325.619),(7 8708.719),(8 8811.751),(9 8666.774),(10 8256.401),(11 7869.59),(12 7452.2734),(13 7083.878),(14 6820.8345),(15 6866.447),(16 7055.4526),(17 7256.891),(18 7477.5317),(19 7685.329),(20 7792.5854),(21 7825.9316),(22 7786.059),(23 7745.4556),(24 7796.6475),(25 7833.881),(26 7813.056),(27 7798.9053),(28 7816.06),(29 7744.24),(30 7646.1636),(31 7560.1597),(32 7567.723),(33 7719.2725),(34 7771.4316),(35 7738.8564),(36 7742.971),(37 7850.237),(38 7987.751),(39 8052.55),(40 7958.0215),(41 7895.0522),(42 7849.643),(43 7849.9673),(44 7851.254),(45 7792.411),(46 7758.3047),(47 7791.0996),(48 7845.942),(49 8011.7397),(50 8105.011),(51 8258.54),(52 8441.395),(53 8517.833),(54 8467.777),(55 8378.553),(56 8307.175),(57 8302.324),(58 8264.144),(59 8226.49),(60 8205.076),(61 8241.23),(62 8320.062),(63 8453.399),(64 8541.094),(65 8673.496),(66 8771.322),(67 8859.0205),(68 8912.179),(69 8985.299),(70 9008.624),(71 8977.168),(72 8926.126),(73 8717.5),(74 8449.307),(75 8194.803),(76 8117.2256),(77 8130.013),(78 8170.279),(79 8229.874),
(1 1307.6664),(2 3347.0017),(3 4963.282),(4 5978.757),(5 6811.843),(6 7615.9214),(7 8152.0034),(8 8300.766),(9 8154.7876),(10 7788.6826),(11 7423.327),(12 7138.4214),(13 6844.54),(14 6534.277),(15 6472.7466),(16 6580.1274),(17 6804.9956),(18 7002.157),(19 7119.4634),(20 7196.118),(21 7265.4243),(22 7293.799),(23 7327.9834),(24 7414.852),(25 7606.7397),(26 7783.425),(27 7820.273),(28 7846.194),(29 7809.7354),(30 7730.229),(31 7661.4116),(32 7631.9614),(33 7545.549),(34 7534.0044),(35 7518.686),(36 7549.5376),(37 7655.0356),(38 7745.874),(39 7777.647),(40 7769.562),(41 7852.493),(42 7913.957),(43 7915.312),(44 7878.8394),(45 7822.513),(46 7855.126),(47 7875.6714),(48 7936.9937),(49 8022.418),(50 8132.263),(51 8354.365),(52 8378.954),(53 8362.413),(54 8337.639),(55 8269.292),(56 8101.291),(57 8022.5894),(58 7970.083),(59 7975.491),(60 7988.456),(61 7969.0156),(62 7966.759),(63 8012.4146),(64 7987.1426),(65 8022.407),(66 8057.248),(67 8129.6006),(68 8185.2466),(69 8121.958),(70 8048.3896),(71 8016.0684),(72 7987.773),(73 7938.18),(74 7806.048),(75 7755.833),(76 7851.6313),(77 7989.759),(78 8055.743),(79 7999.7764),
(1 1407.2048),(2 3599.9373),(3 5252.005),(4 6304.373),(5 7108.846),(6 7827.924),(7 8247.145),(8 8263.61),(9 7945.608),(10 7510.8057),(11 7121.8643),(12 6777.811),(13 6462.091),(14 6267.6157),(15 6324.8604),(16 6561.353),(17 6866.737),(18 7105.7656),(19 7194.8086),(20 7197.656),(21 7233.7275),(22 7266.7236),(23 7317.3003),(24 7361.438),(25 7434.328),(26 7564.332),(27 7748.125),(28 7862.6665),(29 7824.017),(30 7681.9385),(31 7546.637),(32 7394.3027),(33 7222.304),(34 7161.808),(35 7117.117),(36 7178.936),(37 7213.6265),(38 7260.0806),(39 7319.9126),(40 7373.267),(41 7424.1055),(42 7490.7163),(43 7545.412),(44 7518.015),(45 7462.4473),(46 7441.255),(47 7492.4917),(48 7568.717),(49 7656.7534),(50 7716.445),(51 7812.699),(52 7741.518),(53 7646.2163),(54 7632.049),(55 7560.478),(56 7495.361),(57 7424.098),(58 7373.889),(59 7430.804),(60 7519.697),(61 7634.412),(62 7700.548),(63 7766.4155),(64 7825.9536),(65 7816.2554),(66 7722.2827),(67 7634.0327),(68 7612.5034),(69 7598.1987),(70 7587.578),(71 7578.4844),(72 7615.824),(73 7646.4966),(74 7583.0654),(75 7440.1846),(76 7429.418),(77 7479.949),(78 7586.502),(79 7639.1357),
(1 1313.1995),(2 3418.0361),(3 5095.2446),(4 6129.351),(5 6809.1475),(6 7345.657),(7 7656.9595),(8 7710.955),(9 7516.748),(10 7119.0313),(11 6667.0366),(12 6288.3555),(13 5991.308),(14 5768.2075),(15 5790.843),(16 6076.491),(17 6449.496),(18 6734.4272),(19 6852.2876),(20 6892.564),(21 6933.319),(22 7001.2686),(23 7061.1616),(24 7147.706),(25 7177.986),(26 7218.2363),(27 7228.919),(28 7206.5366),(29 7075.497),(30 6927.3633),(31 6794.471),(32 6683.911),(33 6618.9976),(34 6561.4805),(35 6499.71),(36 6456.5596),(37 6519.6113),(38 6590.2173),(39 6747.8535),(40 6862.0454),(41 7016.3936),(42 7058.1167),(43 6983.9497),(44 6900.61),(45 6903.298),(46 6976.453),(47 6954.2563),(48 6916.92),(49 6831.6733),(50 6777.947),(51 6823.137),(52 6782.659),(53 6797.24),(54 6775.288),(55 6708.884),(56 6638.088),(57 6730.0313),(58 6815.691),(59 6865.3677),(60 6948.9917),(61 7028.331),(62 7020.2144),(63 6924.158),(64 6870.089),(65 6755.5566),(66 6671.322),(67 6677.286),(68 6739.641),(69 6790.8643),(70 6844.218),(71 6858.462),(72 6839.242),(73 6774.7397),(74 6677.912),(75 6685.338),(76 6827.9146),(77 6915.7285),(78 6960.053),(79 6925.8677),
(1 1298.714),(2 3267.8054),(3 4650.2734),(4 5451.5845),(5 5940.059),(6 6385.466),(7 6659.507),(8 6734.3594),(9 6643.3057),(10 6423.3574),(11 6184.19),(12 5897.3677),(13 5610.02),(14 5535.1284),(15 5736.372),(16 6040.027),(17 6378.338),(18 6552.0586),(19 6563.4155),(20 6616.5737),(21 6634.764),(22 6617.5996),(23 6556.207),(24 6611.4814),(25 6704.0137),(26 6799.253),(27 6842.107),(28 6887.494),(29 6922.3135),(30 6899.5127),(31 6818.0986),(32 6755.846),(33 6658.141),(34 6559.8877),(35 6452.554),(36 6365.0493),(37 6306.404),(38 6286.1206),(39 6345.9165),(40 6418.219),(41 6498.8555),(42 6552.407),(43 6556.0854),(44 6527.7754),(45 6414.0107),(46 6436.6113),(47 6413.701),(48 6496.6294),(49 6465.253),(50 6486.5034),(51 6560.382),(52 6565.9297),(53 6530.189),(54 6488.4746),(55 6560.1904),(56 6730.426),(57 6851.5728),(58 6861.8066),(59 6826.722),(60 6758.827),(61 6799.2915),(62 6878.7544),(63 6868.555),(64 6794.145),(65 6628.0596),(66 6555.479),(67 6518.8525),(68 6569.7373),(69 6606.785),(70 6664.877),(71 6637.3936),(72 6538.688),(73 6425.8306),(74 6423.5825),(75 6455.674),(76 6541.644),(77 6561.279),(78 6477.764),(79 6405.5103),
(1 1378.8889),(2 3459.85),(3 4944.7056),(4 5803.485),(5 6410.6616),(6 6943.0664),(7 7168.9683),(8 7030.947),(9 6640.556),(10 6271.038),(11 6007.232),(12 5776.953),(13 5583.3667),(14 5604.231),(15 5919.7876),(16 6229.3364),(17 6469.5493),(18 6624.574),(19 6660.497),(20 6598.5425),(21 6476.168),(22 6392.894),(23 6401.6045),(24 6421.454),(25 6462.9224),(26 6520.662),(27 6595.36),(28 6690.152),(29 6752.553),(30 6830.885),(31 6774.569),(32 6673.6494),(33 6600.373),(34 6533.8916),(35 6414.2334),(36 6247.286),(37 6188.0645),(38 6255.479),(39 6443.653),(40 6572.341),(41 6670.682),(42 6745.237),(43 6706.1333),(44 6615.962),(45 6516.4336),(46 6507.9224),(47 6515.4224),(48 6504.876),(49 6467.397),(50 6440.1724),(51 6534.0195),(52 6578.1704),(53 6574.8677),(54 6497.2646),(55 6442.964),(56 6486.239),(57 6558.8823),(58 6627.6826),(59 6673.2686),(60 6673.8765),(61 6699.092),(62 6710.777),(63 6687.4478),(64 6634.8804),(65 6529.5933),(66 6382.223),(67 6284.573),(68 6267.666),(69 6225.8096),(70 6302.6685),(71 6338.3423),(72 6344.6973),(73 6387.5234),(74 6430.211),(75 6515.9526),(76 6614.254),(77 6701.6304),(78 6752.0864),(79 6803.9453),
(1 1238.678),(2 3105.5884),(3 4431.296),(4 5279.4854),(5 5905.8057),(6 6318.8164),(7 6422.6),(8 6240.1733),(9 5917.1885),(10 5610.431),(11 5360.7427),(12 5134.2324),(13 4998.153),(14 5192.151),(15 5558.589),(16 5832.597),(17 6011.8335),(18 6118.2554),(19 6121.716),(20 6106.356),(21 6078.063),(22 6106.237),(23 6157.033),(24 6159.1387),(25 6135.467),(26 6088.0405),(27 6095.9805),(28 6130.4985),(29 6173.567),(30 6194.011),(31 6178.768),(32 6107.7095),(33 6034.7754),(34 6017.9463),(35 6031.767),(36 6052.9976),(37 6012.5137),(38 6059.874),(39 6122.807),(40 6160.3403),(41 6146.7817),(42 6124.5723),(43 6114.9087),(44 6100.652),(45 6098.317),(46 6121.589),(47 6116.173),(48 6113.8125),(49 6062.8066),(50 6003.764),(51 5924.1123),(52 5825.6304),(53 5810.1865),(54 5792.2476),(55 5823.559),(56 5956.647),(57 6126.193),(58 6301.1787),(59 6403.691),(60 6450.3267),(61 6480.896),(62 6489.5464),(63 6414.621),(64 6336.943),(65 6199.518),(66 6034.0015),(67 5900.004),(68 5850.8506),(69 5772.148),(70 5763.9004),(71 5706.1323),(72 5725.1763),(73 5807.778),(74 5874.036),(75 5982.9985),(76 6112.5444),(77 6251.004),(78 6345.2285),(79 6380.3965),
(1 1201.3973),(2 2967.2368),(3 4183.917),(4 4981.1626),(5 5596.593),(6 6029.7173),(7 6080.5747),(8 5883.291),(9 5606.5703),(10 5403.0337),(11 5176.477),(12 5026.5347),(13 4961.5405),(14 5127.222),(15 5472.7544),(16 5749.137),(17 5937.199),(18 6048.454),(19 6093.424),(20 6066.0625),(21 5998.641),(22 6034.0596),(23 6068.8867),(24 6050.562),(25 5941.0684),(26 5819.003),(27 5828.4194),(28 5930.3965),(29 6086.0537),(30 6209.284),(31 6212.095),(32 6145.8423),(33 6131.664),(34 6170.089),(35 6244.609),(36 6285.1436),(37 6269.032),(38 6310.251),(39 6214.859),(40 6120.07),(41 6102.4263),(42 6157.7534),(43 6247.0107),(44 6260.456),(45 6172.594),(46 6044.859),(47 5983.261),(48 5976.96),(49 6053.2524),(50 6095.3535),(51 6081.004),(52 6045.3423),(53 5993.171),(54 5996.9487),(55 6110.804),(56 6276.291),(57 6414.6973),(58 6539.44),(59 6651.4834),(60 6669.8555),(61 6625.4443),(62 6568.6104),(63 6419.402),(64 6266.2827),(65 6074.7334),(66 5923.886),(67 5841.0923),(68 5756.5215),(69 5679.049),(70 5639.6587),(71 5692.4897),(72 5730.8823),(73 5849.757),(74 5980.239),(75 6129.8604),(76 6255.9063),(77 6347.6045),(78 6363.4424),(79 6230.6914),
(1 1228.5541),(2 3039.9624),(3 4219.553),(4 4896.8027),(5 5381.275),(6 5781.552),(7 5949.304),(8 5814.2803),(9 5570.5747),(10 5335.787),(11 5176.235),(12 5062.078),(13 5000.7417),(14 5214.8975),(15 5557.716),(16 5773.5024),(17 5840.8906),(18 5803.0605),(19 5682.863),(20 5475.5396),(21 5363.495),(22 5424.3237),(23 5512.255),(24 5535.404),(25 5481.221),(26 5434.2383),(27 5437.198),(28 5557.2583),(29 5746.463),(30 5905.616),(31 5985.1816),(32 6038.046),(33 6010.4727),(34 5896.079),(35 5782.77),(36 5720.4556),(37 5636.09),(38 5647.256),(39 5690.541),(40 5729.6636),(41 5739.387),(42 5745.4063),(43 5755.013),(44 5763.317),(45 5803.777),(46 5856.443),(47 5909.7344),(48 5928.0317),(49 6010.8286),(50 6058.988),(51 5990.016),(52 5853.6455),(53 5793.998),(54 5680.8467),(55 5670.4307),(56 5835.2583),(57 5996.1665),(58 6051.612),(59 6086.6143),(60 6098.951),(61 6104.224),(62 6091.3564),(63 6044.7847),(64 5991.993),(65 5960.9717),(66 5892.1084),(67 5748.262),(68 5597.6914),(69 5516.535),(70 5520.2896),(71 5557.389),(72 5659.3984),(73 5786.2026),(74 5804.5137),(75 5846.116),(76 5843.826),(77 5866.4897),(78 5833.546),(79 5782.3276),
(1 1229.4474),(2 3085.5251),(3 4377.2617),(4 5239.225),(5 5899.8467),(6 6338.0225),(7 6417.3887),(8 6224.54),(9 5911.7944),(10 5554.9536),(11 5168.247),(12 4871.785),(13 4715.607),(14 4860.502),(15 5224.137),(16 5569.9927),(17 5718.743),(18 5697.5664),(19 5613.3945),(20 5534.7446),(21 5465.582),(22 5459.1045),(23 5440.7275),(24 5441.991),(25 5466.6797),(26 5458.526),(27 5459.595),(28 5540.0415),(29 5596.3765),(30 5683.3975),(31 5701.7524),(32 5708.6025),(33 5674.3022),(34 5674.8047),(35 5668.8467),(36 5570.8247),(37 5454.723),(38 5385.356),(39 5334.3525),(40 5303.6436),(41 5379.3247),(42 5497.3804),(43 5500.5913),(44 5532.2705),(45 5572.7964),(46 5601.668),(47 5639.313),(48 5668.568),(49 5660.463),(50 5602.178),(51 5513.7144),(52 5477.278),(53 5486.674),(54 5500.214),(55 5538.852),(56 5608.7407),(57 5625.1167),(58 5608.798),(59 5595.281),(60 5706.1636),(61 5862.674),(62 5994.5557),(63 6035.13),(64 6032.731),(65 5988.3936),(66 5855.381),(67 5667.1885),(68 5575.477),(69 5555.433),(70 5565.7793),(71 5583.5894),(72 5694.8916),(73 5856.9316),(74 6032.0176),(75 6139.9844),(76 6151.485),(77 6143.125),(78 6132.951),(79 6066.3594),
(1 1240.4667),(2 3058.149),(3 4301.47),(4 5037.854),(5 5554.3926),(6 5900.328),(7 5968.1797),(8 5850.0093),(9 5624.846),(10 5307.163),(11 5025.5605),(12 4775.453),(13 4645.1216),(14 4777.524),(15 5083.594),(16 5383.2485),(17 5522.206),(18 5545.515),(19 5501.863),(20 5422.64),(21 5383.6606),(22 5433.9644),(23 5480.3096),(24 5515.5835),(25 5503.97),(26 5389.3257),(27 5280.666),(28 5301.8623),(29 5399.711),(30 5493.39),(31 5514.0093),(32 5518.5938),(33 5470.86),(34 5471.8813),(35 5421.1064),(36 5383.1),(37 5361.436),(38 5281.067),(39 5242.956),(40 5297.3687),(41 5405.6514),(42 5480.2446),(43 5513.2354),(44 5547.9365),(45 5539.0586),(46 5551.176),(47 5601.0034),(48 5652.1597),(49 5671.9634),(50 5639.496),(51 5516.1836),(52 5395.5293),(53 5330.2886),(54 5370.3633),(55 5470.4023),(56 5561.3047),(57 5634.9883),(58 5669.819),(59 5750.7305),(60 5851.683),(61 5991.27),(62 6049.4463),(63 6024.919),(64 5978.246),(65 5928.9487),(66 5757.9624),(67 5558.016),(68 5428.9917),(69 5400.3374),(70 5410.248),(71 5502.262),(72 5643.519),(73 5757.628),(74 5821.0933),(75 5898.365),(76 5982.8174),(77 6024.6143),(78 6008.6675),(79 5923.8965),
(1 1154.6392),(2 2778.9888),(3 3749.4475),(4 4229.301),(5 4619.636),(6 4949.758),(7 5093.269),(8 5063.5015),(9 4920.0483),(10 4746.744),(11 4589.937),(12 4395.2026),(13 4285.675),(14 4423.5776),(15 4686.4272),(16 4905.592),(17 5012.4077),(18 5006.393),(19 4949.975),(20 4928.631),(21 4983.8555),(22 5031.208),(23 5023.1445),(24 5029.7314),(25 5005.1606),(26 4920.098),(27 4861.53),(28 4872.527),(29 4884.242),(30 4912.401),(31 4902.7007),(32 4874.031),(33 4856.5537),(34 4905.018),(35 4907.4297),(36 4887.668),(37 4846.3438),(38 4838.5527),(39 4879.641),(40 4945.9775),(41 4996.1523),(42 5037.5137),(43 5031.963),(44 5011.2866),(45 4997.228),(46 4940.829),(47 4910.9883),(48 4920.101),(49 4986.3545),(50 5093.828),(51 5096.1143),(52 5032.7417),(53 5011.2485),(54 5019.304),(55 5067.171),(56 5148.8545),(57 5216.804),(58 5287.5874),(59 5367.9316),(60 5422.6904),(61 5477.789),(62 5494.4873),(63 5444.5386),(64 5396.016),(65 5331.995),(66 5215.539),(67 5090.4385),(68 5028.6187),(69 5010.3374),(70 5055.8877),(71 5152.207),(72 5270.129),(73 5380.5024),(74 5404.201),(75 5365.324),(76 5311.4604),(77 5247.2256),(78 5252.349),(79 5278.234),
