1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 37235.387),(2 102886.94),(3 228776.44),(4 382162.1),(5 582398.3),(6 819424.7),(7 1095051.9),(8 1425914),(9 1798262),(10 2209231.3),(11 2657125.8),(12 3154875.8),(13 3696426.8),(14 4287250.5),(15 4929974),(16 5621954.5),(17 6397879.5),(18 7219202.5),(19 8091105.5),(20 8996882),(21 9993415),(22 11000178),(23 12058931),(24 13128681),(25 14199968),(26 15304184),(27 16477683),(28 17617328),(29 18818520),(30 20000930),(31 21211278),(32 22497856),(33 23831264),(34 25193168),(35 26531018),(36 27878618),(37 29350182),(38 30839618),(39 32368114),(40 33953572),(41 35587900),(42 37274196),(43 38915996),(44 40571576),(45 42172830),(46 43656028),(47 45093828),(48 46463264),(49 47779508),(50 49072496),(51 50258156),(52 51366964),(53 52378612),(54 53309984),(55 54127604),(56 54899780),(57 55635840),(58 56349524),(59 56951564),(60 57469844),(61 57853804),(62 58159044),(63 58379772),(64 58514508),(65 58656076),(66 58818560),(67 59001984),(68 59328320),(69 59650564),(70 60035732),(71 60436210),(72 60948770),(73 61538668),(74 62264416),(75 63070932),(76 63903508),(77 64791980),(78 65715490),(79 66682644),
(1 9101.584),(2 26791.207),(3 42977.46),(4 54404.633),(5 62427.098),(6 69329.21),(7 75232.01),(8 78413.58),(9 80093.36),(10 80969.68),(11 79875.93),(12 78321.05),(13 77519.09),(14 77563.38),(15 78034.56),(16 79060.586),(17 81244.16),(18 84004.44),(19 86841.29),(20 88913.27),(21 89321.31),(22 88791.74),(23 87465.26),(24 86721),(25 87126.99),(26 88735.62),(27 89945.14),(28 90416.805),(29 89291.19),(30 88171.82),(31 88005.16),(32 88057.72),(33 88141.664),(34 88319.8),(35 88582.91),(36 89452.87),(37 90480.39),(38 91325.22),(39 92192.21),(40 92019.52),(41 91096.6),(42 89824.48),(43 88059.68),(44 86742.07),(45 86237.77),(46 86180.875),(47 86132.414),(48 85619.625),(49 84720.41),(50 84275.945),(51 84321.91),(52 84727.99),(53 84418.055),(54 83741.89),(55 83754.28),(56 84375.375),(57 85598.53),(58 87453.2),(59 88722.305),(60 88245.516),(61 86787.01),(62 86241.92),(63 86631.44),(64 86637.65),(65 85971.65),(66 85288.91),(67 84566.445),(68 83491.555),(69 83476.32),(70 84824.92),(71 86996.45),(72 88999.27),(73 89849.13),(74 89631.24),(75 89312.17),(76 88238.91),(77 86364.91),(78 85039.55),(79 84390.11),
(1 9085.736),(2 26641.283),(3 42842.453),(4 54532.684),(5 63208.668),(6 69989.05),(7 74505.19),(8 76555.77),(9 77186.91),(10 77645.13),(11 77641.305),(12 78306.336),(13 79102.15),(14 79874.31),(15 79971.46),(16 79760.586),(17 79484.305),(18 79737.47),(19 80328.2),(20 81568.79),(21 82980.766),(22 84036.016),(23 84494.72),(24 85409.65),(25 86623.97),(26 86944.195),(27 86022.91),(28 84410.14),(29 83067.22),(30 82032.59),(31 81810.54),(32 82812.3),(33 84237.14),(34 85773.56),(35 86771.055),(36 88050.84),(37 89665.21),(38 90587.25),(39 90690.31),(40 89280.31),(41 87241.164),(42 85232.04),(43 84157.5),(44 84246.11),(45 84797.22),(46 85519.336),(47 84810.04),(48 84406.5),(49 83675.5),(50 83294.3),(51 83947.664),(52 85373.26),(53 86556.57),(54 87442.87),(55 88391.11),(56 89502.31),(57 90185.35),(58 89333.734),(59 87157.29),(60 84364.336),(61 82243.555),(62 81390.9),(63 82069.14),(64 81919.234),(65 81731.516),(66 81261.26),(67 80635.28),(68 80565.78),(69 81517.35),(70 83529.016),(71 85562.51),(72 85922.1),(73 85070.59),(74 83843.836),(75 82756.76),(76 81434.695),(77 80446.91),(78 80313.81),(79 80614.09),
(1 8576.261),(2 25085.201),(3 40146.42),(4 50181.586),(5 57255.926),(6 62838.445),(7 66605.62),(8 68508.48),(9 69129.13),(10 69752.51),(11 70401.43),(12 70857.336),(13 71055.54),(14 71478.02),(15 71481.17),(16 71166.78),(17 71325.56),(18 72341.93),(19 73285.766),(20 74265.88),(21 75523.125),(22 76056.23),(23 76047.805),(24 75422.76),(25 75039.27),(26 74240.82),(27 73471.98),(28 72524.14),(29 71955.19),(30 71916.6),(31 72732.766),(32 73241.51),(33 73545.56),(34 74260.58),(35 74783.38),(36 75893.66),(37 76924.86),(38 77697.91),(39 78037.56),(40 77359.25),(41 76642.11),(42 76005.35),(43 75630.93),(44 75381.74),(45 75630.85),(46 76061.805),(47 76114.96),(48 76433.695),(49 77192.64),(50 78658.78),(51 80064.875),(52 80512.47),(53 79588.15),(54 78981.23),(55 79300.22),(56 79753.72),(57 79742.06),(58 79472.695),(59 79649.555),(60 80158.43),(61 80355.63),(62 80403.734),(63 79766.11),(64 78787.89),(65 78118.16),(66 77718.72),(67 77909.33),(68 78941.61),(69 80453.58),(70 81583.86),(71 82087.68),(72 81751.125),(73 81171.484),(74 80793.87),(75 80104.23),(76 78908.164),(77 77864.28),(78 77530.125),(79 77807.87),
(1 8439.548),(2 24985.59),(3 40147.168),(4 51093.09),(5 58740.664),(6 63864.2),(7 67045.37),(8 68922.78),(9 69727.46),(10 69974.6),(11 69750.94),(12 70183.83),(13 71222.81),(14 71924.67),(15 72224.42),(16 71987.36),(17 71942),(18 72532.41),(19 72973.93),(20 73654.43),(21 74639.86),(22 75989.734),(23 77062.38),(24 77497.914),(25 78403.984),(26 78951.555),(27 78254.68),(28 77337.21),(29 77224.26),(30 77594.414),(31 77222.15),(32 76511.86),(33 75969.03),(34 76225.195),(35 76212.875),(36 76598.6),(37 77375.8),(38 77816.47),(39 77364.484),(40 76560.586),(41 76795.49),(42 77323.664),(43 77237.6),(44 76916),(45 77526.45),(46 78150.94),(47 77903.24),(48 77368.94),(49 77238.586),(50 77526.625),(51 77819.18),(52 77644.96),(53 77795.85),(54 78995.25),(55 80221.91),(56 81621.57),(57 82122.29),(58 81742.23),(59 81848.68),(60 81875.04),(61 81792.8),(62 81620.48),(63 80937.89),(64 80332.79),(65 80114.305),(66 79567.95),(67 79203.83),(68 79293.58),(69 79756.74),(70 80431.875),(71 80685.33),(72 80296.66),(73 79788.84),(74 78993.94),(75 77378.984),(76 76189.55),(77 75123.89),(78 75285.8),(79 75875.805),
(1 8091.406),(2 23459.324),(3 37668.36),(4 47565.62),(5 53871.652),(6 58045.707),(7 60374.72),(8 61042.133),(9 60826.875),(10 60123.797),(11 59445.05),(12 59624.88),(13 60602.707),(14 61945.645),(15 62782.47),(16 63377.62),(17 64584.973),(18 65448.086),(19 66550.836),(20 67807.66),(21 69109.14),(22 69734.05),(23 69767.33),(24 70065.914),(25 70868.58),(26 71565.305),(27 72188.6),(28 73112.71),(29 74443),(30 75459.555),(31 75668.57),(32 75169.625),(33 75270.664),(34 75853.56),(35 76237.47),(36 76662.3),(37 77180.25),(38 77110.695),(39 76434.54),(40 75967.26),(41 75372.87),(42 73895.984),(43 72103.336),(44 71160.46),(45 71585.87),(46 72449.445),(47 72442.11),(48 73047.49),(49 73905.484),(50 74494.99),(51 74752.96),(52 74889.1),(53 74866.55),(54 75625.13),(55 77246.914),(56 79035.86),(57 79468.89),(58 79356.89),(59 78871.92),(60 78113.4),(61 77528.14),(62 76763.15),(63 76066.99),(64 75366.87),(65 74537.91),(66 74265.44),(67 74812.33),(68 75921.914),(69 76658.875),(70 76798.23),(71 76088.56),(72 74739.27),(73 73627.055),(74 72614.2),(75 71881.91),(76 71929.984),(77 71792.77),(78 71729.09),(79 71786.914),
(1 8055.636),(2 23312.195),(3 37185.617),(4 46763.62),(5 52850.35),(6 56833.477),(7 59059.477),(8 60214.543),(9 61084.45),(10 61631.023),(11 61568.426),(12 61980.65),(13 63412.785),(14 64759.79),(15 65661.695),(16 66620.65),(17 67581.93),(18 68426.66),(19 69255.51),(20 70282.97),(21 70366.93),(22 69312.23),(23 67325.96),(24 66494.766),(25 66808.09),(26 66790.48),(27 67072.02),(28 67391.17),(29 68178.47),(30 68917.17),(31 68751.914),(32 68903.38),(33 69856.97),(34 70684.98),(35 70695.26),(36 70766.11),(37 71165.266),(38 70922.32),(39 70303.35),(40 70608.27),(41 71286.984),(42 70895.09),(43 70746.09),(44 70796.28),(45 71300.07),(46 71992.03),(47 71932.04),(48 72259.85),(49 72504.5),(50 72129.2),(51 71951.11),(52 71639.64),(53 71480.95),(54 71342.59),(55 72006.88),(56 73469.98),(57 74779.016),(58 75385.16),(59 75450.6),(60 75007.586),(61 74929.32),(62 74740.516),(63 74310.88),(64 73555.98),(65 73481.9),(66 73779.016),(67 73703.62),(68 73034.93),(69 72209.03),(70 71852.305),(71 71642.125),(72 71442.46),(73 71018.76),(74 70491.875),(75 70309.51),(76 70340.41),(77 69950.37),(78 69934.73),(79 70672.15),
(1 7690.7944),(2 22162.543),(3 34643.938),(4 42786.24),(5 47840.734),(6 51901.313),(7 55257.344),(8 57648.9),(9 59070.6),(10 59209.297),(11 58815.855),(12 59083.39),(13 60197.277),(14 61196.676),(15 61700.125),(16 61949.984),(17 62282.52),(18 62428.51),(19 62605.652),(20 63175.254),(21 63383),(22 63330.082),(23 63389.926),(24 63661.695),(25 63829.402),(26 64072.89),(27 64200.81),(28 64192.598),(29 64623.688),(30 64509.49),(31 63601.355),(32 63069.402),(33 62847.145),(34 63289.297),(35 64032.684),(36 64721.098),(37 65075.46),(38 64514.21),(39 63865.12),(40 63343.95),(41 62523.113),(42 61607.125),(43 61240.082),(44 61437.64),(45 62019.77),(46 63039.574),(47 63968.598),(48 64353.984),(49 64380.926),(50 64111.652),(51 63761.785),(52 62740.582),(53 62320.563),(54 62571.594),(55 63672.76),(56 65344.88),(57 66443.23),(58 66882.33),(59 66786.8),(60 66225.625),(61 65759.14),(62 65669.54),(63 65843.52),(64 65774.414),(65 65758.445),(66 65666.75),(67 65773.68),(68 65252.76),(69 64834.06),(70 64794.406),(71 64797.758),(72 64551.844),(73 63951.06),(74 63859.188),(75 64758.668),(76 65704.11),(77 66066.38),(78 66205.08),(79 65161.023),
(1 7406.164),(2 21024.82),(3 32681.307),(4 40062.41),(5 44868.74),(6 48794.867),(7 51033.547),(8 52547.168),(9 52983.41),(10 53156.7),(11 53092.348),(12 54192.055),(13 56288.145),(14 57731.215),(15 58429.758),(16 58168.164),(17 58192.605),(18 58636.844),(19 59854.188),(20 60948.156),(21 60974.45),(22 61134.96),(23 61222.16),(24 61379.758),(25 61277.273),(26 61070.063),(27 61742.7),(28 62653.086),(29 63958.22),(30 64686.94),(31 64821.707),(32 64592.56),(33 64178.914),(34 63566.465),(35 62858.836),(36 62385.684),(37 62132.188),(38 61881.953),(39 61612.816),(40 60999.727),(41 60770.867),(42 60668.01),(43 61098.07),(44 61619.242),(45 61922.246),(46 62037.063),(47 61691.027),(48 61812.19),(49 62094.293),(50 61431.723),(51 60346.73),(52 59261.42),(53 59136.324),(54 59733.88),(55 60759.516),(56 61662.97),(57 62425.92),(58 62458.938),(59 62567.965),(60 62310.246),(61 61833.402),(62 61385.54),(63 61480.293),(64 61826.457),(65 62792.117),(66 63671.355),(67 63930.742),(68 64288.55),(69 64918.43),(70 65343.496),(71 65478.613),(72 65209.176),(73 65264.12),(74 65765.67),(75 66049.055),(76 65732.87),(77 65003.84),(78 64195.813),(79 63233.81),
(1 7602.7095),(2 21424.088),(3 32950.453),(4 39631.684),(5 43735.05),(6 47157.5),(7 49528.758),(8 51272.918),(9 52228.77),(10 52854.867),(11 53912.984),(12 55832.555),(13 57951.21),(14 59009.82),(15 59262.457),(16 58656.5),(17 58019.793),(18 57105.457),(19 56617.477),(20 56571.617),(21 57301.75),(22 58317.316),(23 59242.74),(24 60043.734),(25 61360.85),(26 62899.703),(27 64323.082),(28 65364.434),(29 66334.83),(30 66949.64),(31 67369.51),(32 67475.49),(33 67346.695),(34 67135.87),(35 66489.3),(36 66192.266),(37 65930.375),(38 65072.74),(39 64540.94),(40 64031.035),(41 63352.867),(42 63138.16),(43 63749.207),(44 64378.105),(45 65234.684),(46 65512.273),(47 65448.926),(48 65303.523),(49 64918.67),(50 64009.867),(51 63056.68),(52 62592.92),(53 62781.426),(54 63525.09),(55 64352.008),(56 64705.32),(57 64584.875),(58 63913.508),(59 63640.992),(60 63630.33),(61 63304.035),(62 63578.59),(63 64938.137),(64 66481.51),(65 67721.91),(66 67931.52),(67 67593.17),(68 66844.875),(69 66071.8),(70 65606.91),(71 65133.457),(72 64067.6),(73 63166.742),(74 63160.992),(75 63660),(76 64168.77),(77 64003.766),(78 63471.168),(79 62622.66),
(1 7483.3135),(2 21170.762),(3 32649.965),(4 40057.43),(5 45025.473),(6 49040.953),(7 51864.074),(8 53146.766),(9 53165.22),(10 52903.035),(11 53302.156),(12 54354.563),(13 55017.195),(14 55128.145),(15 54750.15),(16 54927),(17 54965.31),(18 55184.902),(19 55938.508),(20 57301.215),(21 59057.445),(22 60660.605),(23 61816.117),(24 62261.906),(25 62009.727),(26 61733.38),(27 61505.633),(28 62060.69),(29 63626.348),(30 65705.38),(31 66845.49),(32 66983.01),(33 67026.01),(34 66902.63),(35 66403.78),(36 66186.836),(37 65452.906),(38 64211.402),(39 63041.684),(40 62343.176),(41 62556.465),(42 62995.49),(43 63387.797),(44 63711.188),(45 63564.063),(46 63063.402),(47 62981.62),(48 63165.957),(49 63787.547),(50 64662.605),(51 64971.906),(52 65693.72),(53 65962.07),(54 66530.45),(55 66343.87),(56 65531.27),(57 64221.47),(58 63617.78),(59 63662.605),(60 63773.277),(61 63652.73),(62 64078.168),(63 64614.234),(64 65651.914),(65 66980.03),(66 67450.15),(67 66864.09),(68 66016.24),(69 65329.594),(70 65211.633),(71 65640.38),(72 66014.93),(73 65859.414),(74 66173.66),(75 66452.83),(76 66464),(77 65593.05),(78 64288.234),(79 62887.215),
(1 7272.617),(2 20600.469),(3 31429.572),(4 37756.082),(5 41334.383),(6 43686.395),(7 45191.945),(8 45244.855),(9 44969.984),(10 45548.215),(11 46704.47),(12 48225.105),(13 49602.88),(14 50174.67),(15 50134.6),(16 50045.08),(17 50609.67),(18 51728.07),(19 53014.14),(20 54711.34),(21 56829.625),(22 58296.125),(23 58613.098),(24 58199.605),(25 57759.785),(26 57585.164),(27 58189.027),(28 59155.207),(29 59804.96),(30 59617.625),(31 58571.36),(32 58131.863),(33 57964.695),(34 57852.39),(35 57948.38),(36 58643.605),(37 58880.65),(38 58325.35),(39 57658.023),(40 57681.543),(41 58090.445),(42 58322.09),(43 58434.223),(44 58185.88),(45 57471.566),(46 56883.46),(47 57209.24),(48 57122.24),(49 57193.25),(50 57380.83),(51 57860.504),(52 58406.566),(53 58691.266),(54 59226.066),(55 59579.36),(56 59722.363),(57 59652.94),(58 59527.63),(59 58991.773),(60 58363.594),(61 58158.785),(62 58188.105),(63 58887.52),(64 60133.56),(65 60945.33),(66 61088.5),(67 60564.98),(68 59885.39),(69 59996.965),(70 60034.254),(71 60328.035),(72 60114.16),(73 59880.055),(74 59586.49),(75 59549.816),(76 59018.836),(77 58305.8),(78 56953.99),(79 55762.793),
(1 7487.2383),(2 21402.906),(3 33330.656),(4 40945.848),(5 45692.816),(6 48779.473),(7 50416.195),(8 50592.023),(9 50450.344),(10 50928.098),(11 51694.816),(12 52560.277),(13 52947.395),(14 52382.664),(15 51257.207),(16 50074.895),(17 49786.977),(18 50431.266),(19 51573.93),(20 53144.438),(21 54678.62),(22 56010.08),(23 56969.62),(24 58041.01),(25 58413.285),(26 58774.594),(27 60055.44),(28 61129.82),(29 61477.105),(30 61224.863),(31 60765.727),(32 60731.88),(33 61174.5),(34 62041.457),(35 62830.387),(36 63331.316),(37 63462.645),(38 63127.465),(39 63196.574),(40 63270.367),(41 63277.293),(42 63163.94),(43 63214.58),(44 62866.023),(45 61943.516),(46 61616.12),(47 61522.117),(48 62014.254),(49 62633.46),(50 63314.35),(51 64123.36),(52 64803.53),(53 65126.605),(54 65131.445),(55 64906.383),(56 64344.83),(57 63600.9),(58 62746.367),(59 61471.438),(60 59757.61),(61 58841.016),(62 58284.09),(63 57959.336),(64 57939.19),(65 57842.27),(66 57654.598),(67 57486.363),(68 57149.965),(69 56350.617),(70 55313.742),(71 54623.098),(72 54308.027),(73 54569.52),(74 55037.902),(75 55099.06),(76 54618.66),(77 53795.668),(78 52718.68),(79 52123.723),
(1 6768.086),(2 18620.365),(3 28622.238),(4 35180.613),(5 39467.05),(6 42557.28),(7 44388.605),(8 44864.637),(9 44837.125),(10 44844.09),(11 45242.816),(12 45907.188),(13 46184.05),(14 46135.15),(15 45984.32),(16 45722.44),(17 45810.45),(18 46009.277),(19 46454.54),(20 47219.387),(21 47966.86),(22 48548.957),(23 49262.965),(24 49489.25),(25 49030.164),(26 49031.57),(27 49802.18),(28 50960.117),(29 51819.918),(30 52232.66),(31 52834.402),(32 53854.723),(33 54665.297),(34 55581.55),(35 56393.016),(36 56615.332),(37 56354.645),(38 55978.52),(39 56234.73),(40 56158.355),(41 56058.32),(42 55686.176),(43 55662.457),(44 55397.69),(45 54740.945),(46 53951.504),(47 52855.145),(48 52259.68),(49 51941.7),(50 51542.71),(51 51624.48),(52 52209.25),(53 53119.79),(54 53659.895),(55 53500.54),(56 52771.793),(57 51692.91),(58 50578.027),(59 49502.555),(60 48824.91),(61 48847.023),(62 48895.88),(63 49093.227),(64 49240.5),(65 49435.234),(66 49876.434),(67 50148.09),(68 50273.293),(69 49725.05),(70 48933.273),(71 48741.95),(72 49040.79),(73 49772.773),(74 49607.742),(75 49084.895),(76 48404.27),(77 48031.703),(78 47903.94),(79 47832.117),
(1 6914.8364),(2 19180.313),(3 29611.05),(4 36177.316),(5 39728.348),(6 42118.07),(7 43343.293),(8 43095.98),(9 42531.445),(10 42764.29),(11 43638.74),(12 44638.855),(13 45169.055),(14 44921.703),(15 44235.457),(16 43886.965),(17 43686.707),(18 43936.832),(19 44738.21),(20 45961.535),(21 46883.88),(22 46965.723),(23 46944.906),(24 46683.527),(25 47067.48),(26 48095.508),(27 49694.016),(28 51225.066),(29 52480.434),(30 53524.402),(31 54449.215),(32 54970.41),(33 55318.363),(34 55325.82),(35 55530.97),(36 55786.69),(37 55454.94),(38 55022.164),(39 55390.94),(40 55487.664),(41 55791.85),(42 56171.273),(43 56607.566),(44 56389.62),(45 55636.61),(46 54745.008),(47 53697.63),(48 52742.434),(49 52533.492),(50 52887.695),(51 53640.848),(52 54524.934),(53 55380.844),(54 55451.38),(55 55222.203),(56 54632.418),(57 53829.83),(58 52628.48),(59 51662.316),(60 51006.414),(61 50280.98),(62 49640.098),(63 49589.22),(64 50106.348),(65 50787.664),(66 51668.29),(67 52042.504),(68 51499.56),(69 50554.797),(70 49989.316),(71 49825.03),(72 49837.664),(73 50095.03),(74 49987.66),(75 49710.88),(76 48928.52),(77 48052.395),(78 47901.125),(79 48443.48),
(1 6638.7036),(2 18094.873),(3 27457.176),(4 33243.742),(5 36676.813),(6 39257.938),(7 40681.53),(8 40825.61),(9 40619.797),(10 41139.05),(11 42079.96),(12 42745.59),(13 42573.14),(14 41849.883),(15 41341.51),(16 41465.918),(17 41639.215),(18 42438.117),(19 43544.953),(20 45037.594),(21 46066.8),(22 46641.875),(23 47026.184),(24 47594.36),(25 48437.805),(26 49429.582),(27 49887.36),(28 49519.918),(29 49442.074),(30 49398.203),(31 49441.336),(32 49675.53),(33 49878.992),(34 50332.33),(35 51446.07),(36 52949.02),(37 54169.98),(38 54751.49),(39 54863.11),(40 54956.88),(41 54963.95),(42 54235.133),(43 53046.195),(44 51776.55),(45 50858.516),(46 50181.363),(47 49292.445),(48 48880.066),(49 49586.656),(50 51287.52),(51 53077.46),(52 54349.96),(53 54491.13),(54 53505.945),(55 52695.93),(56 52245.45),(57 52057.734),(58 51547.45),(59 50383.656),(60 49232.492),(61 48868.84),(62 49275.117),(63 49642.023),(64 49742.566),(65 50105.406),(66 50159.86),(67 49647.08),(68 48862.023),(69 48629.777),(70 48416.285),(71 48654.38),(72 48845.07),(73 48915.7),(74 48820.805),(75 48019.332),(76 46394.617),(77 44953.758),(78 43930.965),(79 43604.99),
(1 6628.313),(2 18035.072),(3 27129.047),(4 32996.758),(5 36898.637),(6 39629.484),(7 40566.996),(8 40290.56),(9 39828.18),(10 39746.43),(11 40378.656),(12 41258.324),(13 41770.906),(14 41862.344),(15 42136.273),(16 42092.168),(17 42004.78),(18 42721.92),(19 44144.375),(20 45633.21),(21 45858.625),(22 45683.62),(23 45378.836),(24 45110.902),(25 45312.2),(26 45281.117),(27 44800.223),(28 44075.42),(29 43848.152),(30 43944.68),(31 44385.625),(32 45327.773),(33 46399.746),(34 47388.64),(35 48592.297),(36 49483.273),(37 49194.77),(38 48593.49),(39 48877.297),(40 49355.813),(41 49283.11),(42 48642.77),(43 47394.855),(44 46388.344),(45 45671.313),(46 44915.047),(47 44498.98),(48 45016.086),(49 46246.44),(50 47545.87),(51 48181.516),(52 48232.61),(53 48250.348),(54 48439.246),(55 48356.273),(56 48011.85),(57 47980.457),(58 48432.22),(59 49229.426),(60 50227.387),(61 51372.58),(62 51843.6),(63 51450.355),(64 50184.43),(65 48325.44),(66 46546.38),(67 45684.26),(68 45907.46),(69 46406.15),(70 46913.215),(71 46875.574),(72 46578.9),(73 46354.848),(74 45813.96),(75 44938.445),(76 43878.05),(77 43352.414),(78 43919.844),(79 44809.883),
(1 6163.8853),(2 16792.049),(3 25437.879),(4 30797.129),(5 33720.137),(6 35279.25),(7 35711.254),(8 35724.543),(9 35576.207),(10 35784.79),(11 36600.85),(12 37485.656),(13 37885.14),(14 38179.066),(15 38499.92),(16 39028.707),(17 39742.242),(18 40769.6),(19 41656.207),(20 41864.305),(21 41246.11),(22 40687.48),(23 40577.86),(24 40444.242),(25 40568.02),(26 41156.258),(27 41654.17),(28 42245.28),(29 43026.387),(30 43612.523),(31 44275.41),(32 44689.844),(33 44901.45),(34 45347.598),(35 46014.17),(36 46046.633),(37 45665.508),(38 45320.418),(39 45839.6),(40 46074.64),(41 46145.91),(42 45740.566),(43 44981.332),(44 44397.977),(45 43898.824),(46 43832.438),(47 43706.438),(48 44481.727),(49 45002.066),(50 45163.68),(51 44959.58),(52 44518.992),(53 43998.6),(54 43371.04),(55 42885.797),(56 43053.742),(57 43960.207),(58 45094.566),(59 45932.887),(60 46565.22),(61 47309.41),(62 47798.664),(63 47698.86),(64 46834.05),(65 45950.906),(66 45589.016),(67 45584.547),(68 45734.145),(69 45841.957),(70 46120.055),(71 46159.902),(72 46002.95),(73 45563.813),(74 45056.293),(75 44434.36),(76 44024.477),(77 43973.04),(78 43939.79),(79 43803.805),
(1 6073.2295),(2 16526.713),(3 25150.248),(4 30269.982),(5 32671.97),(6 34095.184),(7 34845.96),(8 34778.164),(9 34409.527),(10 34748.543),(11 35597.066),(12 36072.37),(13 36314.676),(14 36536.64),(15 37120.18),(16 37647.367),(17 38601.195),(18 40147.52),(19 41189.816),(20 41548.797),(21 41144.48),(22 40599.934),(23 40496.16),(24 40844.668),(25 41558.246),(26 41710.863),(27 41548.76),(28 41734.496),(29 42200.633),(30 42777.117),(31 43157.066),(32 43501.03),(33 43637.53),(34 44084.17),(35 44682.71),(36 44734.367),(37 44381.48),(38 44568.7),(39 45016.07),(40 45099.83),(41 44770.027),(42 44394.875),(43 43997.5),(44 43671.88),(45 43679.215),(46 43200.29),(47 42890.863),(48 43691.78),(49 44844.805),(50 45433.113),(51 45374.605),(52 45167.35),(53 44601.305),(54 43575.004),(55 42821.367),(56 42687.88),(57 42841.418),(58 43321.375),(59 43666.695),(60 43845.582),(61 44341.066),(62 44512.332),(63 44449.434),(64 44390.33),(65 43836.137),(66 43150.15),(67 42676.582),(68 42603.145),(69 43350.25),(70 44565.367),(71 45270.914),(72 45284.75),(73 44880.277),(74 44070.836),(75 43205.473),(76 42742.195),(77 43221.863),(78 43888.445),(79 44160.46),
