1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 76690.66),(2 95744.9),(3 79649.46),(4 177868.75),(5 214952.67),(6 194637.55),(7 373091.34),(8 455458.66),(9 494075.47),(10 618638),(11 699254.06),(12 735061),(13 854533.2),(14 926090.3),(15 975468.2),(16 1130615.1),(17 1238981.1),(18 1328382.6),(19 1493616.5),(20 1622970.6),(21 1703521),(22 1880635),(23 2003346.6),(24 2079502.6),(25 2251832.8),(26 2341640.3),(27 2398095.5),(28 2522905),(29 2569546.3),(30 2580517.3),(31 2713173.8),(32 2771675.3),(33 2831038.8),(34 2988170.8),(35 3090798),(36 3152736.8),(37 3362865.3),(38 3493060),(39 3604169),(40 3830513.3),(41 3998673.8),(42 4159090.8),(43 4435742.5),(44 4643945),(45 4832269.5),(46 5112370.5),(47 5340747.5),(48 5610278),(49 5957070),(50 6222931.5),(51 6508616),(52 6921814.5),(53 7022194.5),(54 7251874.5),(55 7594549.5),(56 7860425.5),(57 8108798.5),(58 8452159),(59 8709208),(60 8927563),(61 9274244),(62 9477505),(63 9744624),(64 10047738),(65 10258910),(66 10470845),(67 10786050),(68 11048595),(69 11289753),(70 11619648),(71 11872603),(72 12109248),(73 12409772),(74 12704303),(75 13001631),(76 13380561),(77 13705952),(78 14029228),(79 14277891),
(1 7474.5186),(2 21793.678),(3 35580.953),(4 45353.063),(5 51360.613),(6 55374.03),(7 58681.504),(8 60795.477),(9 61753.406),(10 62396.746),(11 63254.45),(12 63940.293),(13 64166.61),(14 64184.21),(15 64176.67),(16 64789.008),(17 66151.18),(18 67317.34),(19 68359.9),(20 69479.96),(21 70937.586),(22 72373.72),(23 73216.5),(24 73570.79),(25 73875.76),(26 74335.9),(27 74520.52),(28 73943.59),(29 73285.67),(30 72450.23),(31 71598.72),(32 71145.55),(33 71174.26),(34 70873.5),(35 70949.54),(36 71971.57),(37 73650.016),(38 75690.375),(39 76333.18),(40 76673.484),(41 77267.97),(42 78028.016),(43 78525.625),(44 78650.37),(45 78262.46),(46 77410.34),(47 76412.46),(48 75480.734),(49 74871.74),(50 74693.266),(51 74581.99),(52 74204.195),(53 73342.16),(54 72640.22),(55 71968.84),(56 71513.41),(57 71504.84),(58 71376.82),(59 70845.03),(60 70989.516),(61 71581.69),(62 71767.65),(63 70995.89),(64 70893.625),(65 71287.59),(66 72071.18),(67 72908.34),(68 73107.96),(69 73079.98),(70 73365.7),(71 73873.82),(72 74692.99),(73 75317.15),(74 75389.28),(75 75381.1),(76 75302.63),(77 75139.38),(78 75332.58),(79 75436.086),
(1 7117.7017),(2 20649.49),(3 33695.94),(4 43141.773),(5 48874.55),(6 52538.867),(7 55125.023),(8 56655.965),(9 57382.266),(10 58293.97),(11 59394.477),(12 60159.535),(13 60379.89),(14 60200.09),(15 60340.19),(16 61829.06),(17 63397.844),(18 64323.613),(19 64545.1),(20 65020.188),(21 65737.195),(22 66765.625),(23 67999.414),(24 68713.41),(25 69212.65),(26 70073.32),(27 70259.734),(28 69576.95),(29 68511.4),(30 67391.85),(31 66804.38),(32 66824.52),(33 66845.83),(34 66772.38),(35 67121.45),(36 68374.984),(37 69957.05),(38 71013.19),(39 71075.54),(40 70152.94),(41 69209.45),(42 68737.805),(43 68389.44),(44 68427.15),(45 68343.73),(46 68242.23),(47 68119.52),(48 68085.41),(49 68013.695),(50 67679.01),(51 67129.38),(52 66418.516),(53 65958.53),(54 66589.87),(55 67948.3),(56 68855.16),(57 69268.375),(58 68852.53),(59 67906.6),(60 67578.65),(61 66661.09),(62 65538.56),(63 64111.145),(64 63319.7),(65 63497.758),(66 64048.934),(67 65292.613),(68 66065.71),(69 66371.5),(70 66997.9),(71 67923.69),(72 68807.16),(73 69154.89),(74 69350.42),(75 69484.98),(76 69655.195),(77 70176.195),(78 70315.36),(79 70298.92),
(1 7277.124),(2 21318.877),(3 34731.38),(4 44132.176),(5 49873.594),(6 53380.33),(7 55754.066),(8 57323.05),(9 58136.734),(10 58858.066),(11 59678.86),(12 60136.75),(13 60576.406),(14 61247.99),(15 62218.547),(16 64705.605),(17 66977.28),(18 68350.26),(19 68509.94),(20 68778.234),(21 69090.7),(22 69916.26),(23 70674.055),(24 71169.84),(25 71421.484),(26 71524.055),(27 71118.875),(28 70274.8),(29 69463.91),(30 68805.805),(31 68601.25),(32 68495.086),(33 68185.914),(34 67759.31),(35 67270.38),(36 66869.984),(37 66725.38),(38 66370.32),(39 65509.445),(40 64246.88),(41 63147.9),(42 62279.645),(43 61549.9),(44 61075.918),(45 60842.348),(46 61463.215),(47 62798.9),(48 64438.258),(49 66059.79),(50 67304.836),(51 67653.125),(52 67533.125),(53 67852.21),(54 68146.94),(55 67936.766),(56 67556.62),(57 67478.07),(58 66659.4),(59 65763.09),(60 65790.08),(61 66079.53),(62 66365.89),(63 66347.234),(64 66693.81),(65 67429.13),(66 68149.805),(67 68830.69),(68 69629.37),(69 70167.19),(70 70663.77),(71 71234.43),(72 70856.34),(73 70174.51),(74 69833.72),(75 69592.31),(76 69472.35),(77 68861.414),(78 68030.03),(79 68010.695),
(1 7106.682),(2 20359.063),(3 32861.7),(4 41326.61),(5 46548.42),(6 50101.53),(7 52977.117),(8 54936.25),(9 56057.9),(10 57076.75),(11 57914.09),(12 58437.492),(13 58773.195),(14 58790.734),(15 59551.76),(16 61215.043),(17 62638.426),(18 63208.62),(19 63464.297),(20 64271.71),(21 65745.336),(22 66990.38),(23 67821.18),(24 67906.09),(25 67648.16),(26 67718.17),(27 67941.31),(28 67861.016),(29 67229.85),(30 66451.21),(31 65823.32),(32 65526.863),(33 64996.953),(34 64441.86),(35 64738.492),(36 65180.516),(37 65514.977),(38 64915.574),(39 63462.203),(40 62029.273),(41 60986.25),(42 60340.91),(43 59891.74),(44 59387.266),(45 58995.055),(46 58981.953),(47 59172.516),(48 59746.152),(49 60374.336),(50 60675.94),(51 60640.176),(52 60203.066),(53 59779.69),(54 59563.043),(55 59904.863),(56 60017.242),(57 60540.125),(58 60791.117),(59 60981.74),(60 61217.254),(61 61621.113),(62 62656.23),(63 64343.227),(64 65973.5),(65 66963.28),(66 66436.96),(67 65381.47),(68 64640.09),(69 64460.55),(70 64595.39),(71 64494.906),(72 64167),(73 64212.348),(74 64028.805),(75 64322.23),(76 64658.3),(77 65148.188),(78 65191.383),(79 65844.6),
(1 7175.069),(2 20526.422),(3 32985.203),(4 41072.24),(5 45325.344),(6 47573.566),(7 48969.68),(8 49883.406),(9 50379.52),(10 51233.582),(11 52322.21),(12 52940.617),(13 54046.086),(14 54827.37),(15 55567.184),(16 56917.574),(17 57777.832),(18 58072.63),(19 58175.758),(20 58753.17),(21 60004.508),(22 61104.184),(23 61595.684),(24 61859.035),(25 62320.758),(26 62914.68),(27 63585.555),(28 63375.875),(29 62298.945),(30 61322.715),(31 60763.47),(32 60477.273),(33 60080.625),(34 60083.055),(35 61216.84),(36 62787.977),(37 64067.863),(38 64396.063),(39 63817.31),(40 62788.383),(41 62092.066),(42 61959.246),(43 61408.992),(44 60251.168),(45 59305.055),(46 59388.65),(47 59828.406),(48 60741.395),(49 61969.84),(50 62804.754),(51 63289.223),(52 63430.598),(53 63040.47),(54 62350.11),(55 61412.63),(56 60574.766),(57 60317.957),(58 60798.535),(59 61517.11),(60 62334.8),(61 62914.957),(62 63733.7),(63 64388.33),(64 64496.863),(65 63968),(66 62247.457),(67 60102.02),(68 58651.85),(69 58587.297),(70 59274.625),(71 60330.258),(72 61593.36),(73 62409.05),(74 63077.37),(75 62952.598),(76 62589.055),(77 62279.49),(78 61805.344),(79 61820.395),
(1 7026.813),(2 19731.14),(3 31376.428),(4 39233.535),(5 43467.914),(6 45532.234),(7 47246.715),(8 48208.527),(9 48497.8),(10 49066.816),(11 50148.363),(12 50862.945),(13 51356.152),(14 52044.91),(15 53163.402),(16 54716.164),(17 55812.27),(18 55897.207),(19 55870.68),(20 56390.76),(21 56879.434),(22 57091.41),(23 57063.055),(24 57020.62),(25 57032.93),(26 57429.043),(27 57682.27),(28 57755.37),(29 58283.855),(30 59292.61),(31 60140.02),(32 60190.855),(33 60151.145),(34 60564.3),(35 61085.723),(36 61636.188),(37 61649.605),(38 61228.426),(39 60441.02),(40 59963.082),(41 59546.96),(42 59256.527),(43 58473.99),(44 58115.1),(45 58011.02),(46 57826.992),(47 57424.063),(48 56885.42),(49 56781.516),(50 56677.156),(51 56590.46),(52 56942.168),(53 57843.215),(54 58434.504),(55 58430.65),(56 58221.465),(57 58506.56),(58 59004.54),(59 59399.38),(60 59453.66),(61 59483.977),(62 60050.945),(63 60715.496),(64 61503.09),(65 61853.555),(66 61316.88),(67 60259.215),(68 59629.836),(69 59634.492),(70 59732.516),(71 59274.75),(72 58911.535),(73 58602.875),(74 58546.04),(75 58556.75),(76 58555.824),(77 59324.73),(78 60133.527),(79 60685.977),
(1 6922.3613),(2 19539.094),(3 31020.86),(4 38424.332),(5 42628.082),(6 44892.89),(7 46125.613),(8 46358.004),(9 46126.48),(10 46494.45),(11 47534.273),(12 48173.69),(13 48677.19),(14 49724.293),(15 51537.13),(16 53616.035),(17 55256.145),(18 55955.938),(19 56193.47),(20 56440.32),(21 56762.223),(22 57009.25),(23 56908.35),(24 56800.93),(25 57169.918),(26 58213.625),(27 59289.87),(28 59681.973),(29 59751.094),(30 59832.773),(31 59671.45),(32 59281.715),(33 59025.94),(34 59709.05),(35 60504.8),(36 60946.04),(37 60994.797),(38 60550.13),(39 60387.19),(40 60326.574),(41 60261.637),(42 60100.31),(43 60081.76),(44 59766.82),(45 59327.434),(46 58946.01),(47 58076.58),(48 56796.023),(49 55933.414),(50 55355.31),(51 55462.527),(52 55999.707),(53 56390.31),(54 56921.86),(55 57467.824),(56 57956.598),(57 58199.58),(58 58173.004),(59 58293.703),(60 58185.777),(61 58318.563),(62 58733.496),(63 59375.938),(64 59752.316),(65 59481.996),(66 58688.32),(67 58288.902),(68 57922.86),(69 57833.65),(70 58347.824),(71 59120.82),(72 59419.14),(73 59045.637),(74 58617.367),(75 58312.95),(76 58437.33),(77 59291.848),(78 59943.473),(79 59976.848),
(1 6703.404),(2 18744.588),(3 29206.494),(4 36106.598),(5 39790.793),(6 41850.59),(7 42922.453),(8 43205.01),(9 43284.64),(10 44109.117),(11 45262.902),(12 46238.223),(13 46682.465),(14 47282.957),(15 48702.258),(16 50581.945),(17 52055.16),(18 52455.72),(19 52206.184),(20 52136.703),(21 52828.48),(22 53638.508),(23 54290.59),(24 55207.727),(25 56487),(26 58275.14),(27 59643.758),(28 60317.098),(29 60380.27),(30 60086.055),(31 59829.66),(32 59928.883),(33 60198.51),(34 61269.426),(35 62050.992),(36 62286.652),(37 62099.652),(38 61699.676),(39 61248.617),(40 61029.09),(41 60832.02),(42 60899.24),(43 60600.14),(44 60208.33),(45 59671.824),(46 59222.37),(47 58315.293),(48 57239.945),(49 56479.92),(50 55732.293),(51 55249.793),(52 54702.215),(53 54160.16),(54 53767),(55 53866.523),(56 53811.977),(57 53703.88),(58 53733.164),(59 53936.895),(60 54235.977),(61 54791.805),(62 55340.727),(63 55441.207),(64 55397.64),(65 55108.75),(66 54989.945),(67 54999.566),(68 55047.152),(69 55218.47),(70 55631.957),(71 56606.98),(72 57209.03),(73 57568.855),(74 57838.105),(75 57981.664),(76 58455.727),(77 59127.01),(78 59197.51),(79 58786.08),
(1 6737.608),(2 18617.02),(3 29504.174),(4 36525.727),(5 40385.484),(6 42385.867),(7 43901.805),(8 44281.836),(9 44488.586),(10 44926.11),(11 45834.555),(12 46279.37),(13 46481.152),(14 46709.45),(15 47968.79),(16 49413.11),(17 50679.547),(18 51084.11),(19 51346.344),(20 51849.973),(21 52411.324),(22 52750.26),(23 53224.164),(24 53604.047),(25 53906.566),(26 54433.234),(27 54842.707),(28 55241.688),(29 55448.145),(30 55645.453),(31 55814.133),(32 56602.96),(33 57476.742),(34 58756.418),(35 59837.652),(36 60349.75),(37 60458.996),(38 60412),(39 60978.16),(40 61402.57),(41 61614.293),(42 61755.56),(43 61791.72),(44 61898.53),(45 61812.08),(46 61003.63),(47 59684.76),(48 58584.234),(49 58052.543),(50 57910.504),(51 57852.023),(52 57626.633),(53 57196.805),(54 56964.527),(55 56821.527),(56 56510.813),(57 55516.176),(58 54681.37),(59 54017.016),(60 53613.453),(61 53410.023),(62 53410.027),(63 53484.383),(64 53572.305),(65 53673.4),(66 54077.246),(67 54662.367),(68 54898.88),(69 55007.77),(70 55377.086),(71 55389.6),(72 54757.99),(73 53748.965),(74 52708.56),(75 51928.484),(76 51451.543),(77 51418.41),(78 51852.348),(79 51771.527),
(1 6486.914),(2 17906.158),(3 28085.908),(4 34564.082),(5 38393.46),(6 40909.46),(7 42648.03),(8 43074.215),(9 42856.08),(10 43194.72),(11 44117.652),(12 44092.76),(13 43479.266),(14 43610.105),(15 45051.465),(16 46941.81),(17 48113.4),(18 48470.875),(19 48984.336),(20 50105.473),(21 51414.15),(22 52329.887),(23 53037.438),(24 53730.785),(25 54123.008),(26 54258.953),(27 54638.848),(28 55268.59),(29 56473.945),(30 57641.492),(31 58100.105),(32 58016.77),(33 57662.555),(34 57907.137),(35 58064.094),(36 58227.184),(37 58334.895),(38 58816.215),(39 59204.98),(40 59152.434),(41 58908.85),(42 58579.277),(43 58292.785),(44 58918.76),(45 59112.55),(46 58826.824),(47 57766.598),(48 56491.688),(49 55486.324),(50 54868.598),(51 54377.727),(52 54082.414),(53 53850.03),(54 53657.31),(55 53267.824),(56 52869.61),(57 52568.383),(58 52123.94),(59 51599.68),(60 51368.25),(61 50942.383),(62 50670.605),(63 50236.46),(64 50090.574),(65 50225.215),(66 50226.74),(67 50531.047),(68 50899.78),(69 51034.344),(70 51335.598),(71 51543.08),(72 51517.816),(73 51077.734),(74 50735.29),(75 50685.895),(76 50786.574),(77 50662.26),(78 50670.555),(79 50592.426),
(1 6696.516),(2 18607.982),(3 28928.443),(4 35113.355),(5 38226.37),(6 39985.67),(7 41602.805),(8 42183.813),(9 42763.984),(10 44315.29),(11 46062.094),(12 46935.2),(13 47329.73),(14 47632.543),(15 48316.258),(16 49137.434),(17 49195.402),(18 49038.3),(19 49099.887),(20 49836.426),(21 50775.184),(22 51046.816),(23 50686.86),(24 50823.07),(25 51414.52),(26 52174.91),(27 52708.01),(28 53124.188),(29 54477.434),(30 55602.516),(31 55817.566),(32 55869.977),(33 56014.992),(34 56412.16),(35 56013.434),(36 55664.297),(37 55482.46),(38 55621.773),(39 55874.47),(40 55800.215),(41 56070.58),(42 56186.31),(43 56331.86),(44 56497.445),(45 55989.426),(46 54696.13),(47 53450.117),(48 52805.137),(49 52602.605),(50 52505.543),(51 52223.816),(52 51752.336),(53 51676.13),(54 52196.895),(55 52631.47),(56 52775.76),(57 52390.957),(58 51947.508),(59 51309.414),(60 50902.29),(61 50695.633),(62 50063.953),(63 49326.1),(64 48748.88),(65 48562.746),(66 48314.85),(67 48239.008),(68 48463.875),(69 49216.13),(70 50064.215),(71 51001.965),(72 51635.74),(73 51698.14),(74 51643.656),(75 51494.746),(76 51426.438),(77 51261.36),(78 51057.555),(79 51041.633),
(1 6197.9624),(2 17137.227),(3 26816.535),(4 32725.35),(5 35698.8),(6 37846.324),(7 39678.684),(8 40503.914),(9 40967.66),(10 41729.406),(11 42556.96),(12 42905.98),(13 43079.137),(14 43830.04),(15 45383.777),(16 46919.004),(17 47448.926),(18 47161.258),(19 47396.234),(20 48136.867),(21 48602.484),(22 48717.125),(23 48739.79),(24 49196.72),(25 49687.07),(26 50089.9),(27 50753.22),(28 51383.332),(29 51589.938),(30 51527.23),(31 51490.406),(32 51722.55),(33 52254.78),(34 53220.332),(35 54215.54),(36 54996.23),(37 55344.816),(38 55655.07),(39 55383.047),(40 54829.563),(41 54727.875),(42 54830.22),(43 54543.72),(44 54309.387),(45 53528.2),(46 52564.05),(47 51892.668),(48 51332.684),(49 50844.28),(50 50770.918),(51 50602.414),(52 50172),(53 49437.496),(54 48862.49),(55 48752.918),(56 48965.65),(57 49375.69),(58 49538.29),(59 49595.094),(60 49765.113),(61 50256.15),(62 50193.82),(63 50146.563),(64 50353.1),(65 50703.438),(66 50809.7),(67 51081.11),(68 51372.207),(69 51143.918),(70 50796.43),(71 50646.33),(72 50745.598),(73 50899.793),(74 51487.695),(75 51715.145),(76 51957.61),(77 52000.133),(78 51178.277),(79 50546.99),
(1 6386.27),(2 17755.523),(3 27879.994),(4 34202.152),(5 37575.69),(6 39810.492),(7 41294.44),(8 41879.047),(9 42446.656),(10 43445.69),(11 44359.12),(12 44889.24),(13 45386.47),(14 46707.88),(15 48099.484),(16 49200.695),(17 49701.24),(18 50302.195),(19 51466.28),(20 52585.848),(21 53114.95),(22 53121.195),(23 52832.383),(24 52575.867),(25 52159.004),(26 52183.555),(27 52427.508),(28 53355.246),(29 54195.605),(30 54508.086),(31 54524.863),(32 54728.855),(33 54931.48),(34 55039.926),(35 54405.36),(36 53823.285),(37 53783.973),(38 53943.496),(39 54093.42),(40 53710.547),(41 53273.164),(42 53169.74),(43 53211.848),(44 52979.27),(45 52407.223),(46 52002.207),(47 51477.15),(48 51156.63),(49 51338.707),(50 51630.973),(51 51413.965),(52 50940.035),(53 50579.023),(54 50598.24),(55 50887.22),(56 50880.707),(57 51383.11),(58 51965.875),(59 52767.21),(60 53668.484),(61 54085.1),(62 54207.56),(63 54454.555),(64 54432.64),(65 54109.38),(66 53303.05),(67 52675.508),(68 52476.016),(69 52337.656),(70 52727.344),(71 53307.336),(72 53689.086),(73 53825.91),(74 53839.676),(75 54094.664),(76 54070.73),(77 53586.93),(78 52823.184),(79 52749.324),
(1 6496.3315),(2 17838.059),(3 27628.861),(4 33789.992),(5 37776.383),(6 40361.816),(7 41789.285),(8 42156.73),(9 42316.348),(10 43072.863),(11 44042.59),(12 44781.47),(13 45014.613),(14 45353.44),(15 46231.363),(16 47169.797),(17 47550.098),(18 47816.742),(19 48565.004),(20 48999.938),(21 49009.316),(22 48700.47),(23 48458.305),(24 48391.844),(25 48495.906),(26 48511.88),(27 48455.227),(28 48842.418),(29 49105.69),(30 49363.117),(31 49867.28),(32 50653.773),(33 51347.09),(34 51967.625),(35 52145.16),(36 52339.63),(37 52456.36),(38 52404.586),(39 52362.703),(40 52171.293),(41 52401.066),(42 52304.68),(43 51953.13),(44 51712.76),(45 51316.05),(46 51209.547),(47 50998.72),(48 50832.31),(49 51017.387),(50 51068.563),(51 50825.53),(52 50196.25),(53 49519.316),(54 49074.402),(55 49254.76),(56 49503.656),(57 49939.64),(58 49880.6),(59 49511.543),(60 49088.39),(61 48824.63),(62 48846.824),(63 48771.668),(64 48870.45),(65 48959.516),(66 48653.348),(67 48768.188),(68 48625.348),(69 48515.695),(70 48472.254),(71 48555.477),(72 48975.316),(73 49722.137),(74 50201.48),(75 50445.24),(76 50563.55),(77 50437.15),(78 50021.215),(79 49625.13),
(1 6205.9995),(2 17128.543),(3 26574.564),(4 32463.084),(5 36286.98),(6 39221.348),(7 40820.97),(8 41061.336),(9 41178.61),(10 41839.15),(11 42799.855),(12 43136.387),(13 43307.355),(14 43905.336),(15 44789.668),(16 45361.816),(17 45137.258),(18 44890.406),(19 45331.164),(20 46045.855),(21 46370.934),(22 46610.12),(23 47171.156),(24 47967.184),(25 48334.074),(26 48791.973),(27 49074.887),(28 49453.895),(29 49617.332),(30 49635.523),(31 49637.035),(32 49920.047),(33 50195.69),(34 50455.395),(35 49919.41),(36 49507.395),(37 49474.063),(38 49285.4),(39 49096.465),(40 48980.234),(41 49501.69),(42 50063.652),(43 50669.844),(44 51162.105),(45 51153.637),(46 50803.934),(47 49754.195),(48 48752.535),(49 47773.613),(50 46803.16),(51 46046.434),(52 45869.73),(53 45827.09),(54 45990.563),(55 46019.746),(56 45841.926),(57 46265.133),(58 46816.234),(59 47020.254),(60 46862.918),(61 46635.836),(62 46391.754),(63 46221.62),(64 46354.055),(65 46508.71),(66 46595.824),(67 46772.883),(68 46841.816),(69 47401.527),(70 48378.797),(71 49324.535),(72 49859.836),(73 49869.094),(74 49487.684),(75 49222.92),(76 49006.63),(77 48710.914),(78 48387.703),(79 48592.5),
(1 6027.2095),(2 16528.793),(3 25459.037),(4 30956.94),(5 34513.875),(6 37075.78),(7 38439.33),(8 38873.887),(9 39618.082),(10 40546.242),(11 40973.4),(12 40387.113),(13 40139.1),(14 40694.832),(15 41573.684),(16 42547.254),(17 42891.3),(18 43115.65),(19 44153.707),(20 44853.066),(21 44989.965),(22 44793.05),(23 44649.94),(24 45002.7),(25 45197.016),(26 45406.438),(27 45666.21),(28 46150.332),(29 46572.855),(30 46706.117),(31 46647.37),(32 47259.984),(33 48148.44),(34 48400.996),(35 47988.168),(36 47619.535),(37 47199.78),(38 46518.836),(39 46291.68),(40 46316.18),(41 46604.918),(42 46565.918),(43 46310.73),(44 46003.84),(45 45963.24),(46 46069.938),(47 45629.637),(48 45383.777),(49 45599.273),(50 45667.527),(51 45856.02),(52 45864.29),(53 45754.82),(54 45634.543),(55 45425.152),(56 45121.918),(57 45202.117),(58 45401.996),(59 45596.54),(60 45223.83),(61 44824.496),(62 44783.945),(63 45050.727),(64 45829.89),(65 46485.56),(66 46830.86),(67 47199.09),(68 47000.066),(69 47312.84),(70 47976.492),(71 48482.082),(72 48940.477),(73 49652.105),(74 50663.883),(75 51522.574),(76 52071.4),(77 52023.094),(78 51344.574),(79 50954.13),
(1 6167.73),(2 16803.904),(3 25618.352),(4 30951.223),(5 33992.184),(6 36207.832),(7 37461.54),(8 37737.496),(9 38087.145),(10 38892.914),(11 39890.297),(12 39986.617),(13 40250.04),(14 41363.66),(15 42622.684),(16 43764.277),(17 44111.42),(18 44444.625),(19 45687.195),(20 46718.035),(21 47056.52),(22 46852.254),(23 46615.254),(24 46458.613),(25 46060.637),(26 45934.727),(27 46067.48),(28 46749.016),(29 47392.445),(30 47682.92),(31 48296.78),(32 48827.133),(33 48714.836),(34 48390.34),(35 48030.617),(36 47904.72),(37 47663.31),(38 47487.6),(39 47342.11),(40 47216.035),(41 46918.074),(42 46586.418),(43 46412.594),(44 46530.02),(45 46767.832),(46 46716.176),(47 46036.406),(48 45652.28),(49 45830.07),(50 45919.99),(51 46029.145),(52 46189.133),(53 46602.81),(54 47023.164),(55 47391.03),(56 47395.313),(57 47272.523),(58 47031.438),(59 46844.773),(60 46666.316),(61 46403.27),(62 46422.926),(63 46420.76),(64 46226.453),(65 46492.313),(66 46651.848),(67 46588.02),(68 46798.273),(69 46899.324),(70 47086.18),(71 47219.97),(72 47418.047),(73 47603.945),(74 47644.555),(75 47864.33),(76 48067.76),(77 48053.074),(78 47680.758),(79 47642.855),
