1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1470166.4),(2 1670623.1),(3 545811.6),(4 2241146),(5 2622938.8),(6 1570018.6),(7 3263461.3),(8 3768659.3),(9 2870363.3),(10 4408740.5),(11 4980217.5),(12 4202848.5),(13 5655276),(14 6226492),(15 5420386),(16 6855815.5),(17 7361890.5),(18 6592413.5),(19 7787273.5),(20 8232952.5),(21 7237159.5),(22 8232480),(23 8565133),(24 7502405.5),(25 8258808),(26 8543644),(27 7524649.5),(28 8218038.5),(29 8611129),(30 7733113.5),(31 8584483),(32 9135812),(33 8704915),(34 9527925),(35 10249145),(36 9988683),(37 10880884),(38 11760467),(39 11715085),(40 12701293),(41 13711551),(42 13790712),(43 14715293),(44 15541085),(45 15396841),(46 15962120),(47 16566717),(48 16556672),(49 16989018),(50 17559682),(51 17365134),(52 17869224),(53 18510472),(54 18270950),(55 18805756),(56 19384944),(57 19063162),(58 19803854),(59 20509426),(60 20329218),(61 21341146),(62 22283994),(63 22751702),(64 23635704),(65 24761606),(66 25030310),(67 26352656),(68 27723310),(69 27961968),(70 29271878),(71 30453798),(72 30970414),(73 32213198),(74 33401102),(75 33743372),(76 34617710),(77 35695350),(78 36209116),(79 37155612),
(1 8357.267),(2 13145.674),(3 15358.076),(4 17149.996),(5 17011.299),(6 16848.502),(7 17236.924),(8 17675.066),(9 18282.477),(10 19051.197),(11 19612.857),(12 20279.072),(13 20139.555),(14 20493.6),(15 21380.535),(16 21770.59),(17 21871.365),(18 22001.986),(19 22221.117),(20 22388.96),(21 22474.191),(22 22541.027),(23 22918.154),(24 23078.93),(25 23269.055),(26 23688.652),(27 23607.47),(28 23955.412),(29 24225.797),(30 24496.654),(31 24609.79),(32 24584.787),(33 24846.18),(34 24912.1),(35 25192.734),(36 25712.322),(37 25814.354),(38 26107.088),(39 26080.482),(40 26029.26),(41 26477.504),(42 26627.428),(43 26939.158),(44 26810.916),(45 26838.625),(46 26978.713),(47 26634.586),(48 26390.436),(49 26674.45),(50 26973.285),(51 27451.725),(52 27601.977),(53 27577.816),(54 27503.158),(55 27448.268),(56 27075.938),(57 26740.512),(58 26795.164),(59 26546.563),(60 26426.676),(61 26318.498),(62 25941.852),(63 26191.535),(64 26013.275),(65 25813.914),(66 25999.854),(67 25791.324),(68 25715.75),(69 25556.72),(70 25484.428),(71 25596.762),(72 25822.736),(73 26419.838),(74 26131.357),(75 25958.3),(76 26337.01),(77 26500.592),(78 26906.86),(79 26923.123),
(1 8053.837),(2 12463.979),(3 14227.39),(4 15667.448),(5 15523.423),(6 15469.182),(7 15941.77),(8 16516.742),(9 17409.975),(10 17570.16),(11 18580.33),(12 19631.023),(13 19511.037),(14 20247.76),(15 20470.783),(16 20879.895),(17 21316.736),(18 21655.518),(19 21941.643),(20 22307.555),(21 22506.578),(22 22805.969),(23 23105.387),(24 23516.791),(25 23803.701),(26 24164.55),(27 23926.723),(28 24239.793),(29 24306.023),(30 24598.896),(31 24828.295),(32 24891.766),(33 25116.225),(34 25098.854),(35 25269.107),(36 25555.428),(37 25569.54),(38 25761.162),(39 25846.244),(40 26053.803),(41 26487.686),(42 26763.484),(43 26662.719),(44 26407.969),(45 26337.248),(46 26228.264),(47 26524.91),(48 26749.506),(49 26920.914),(50 26966.717),(51 27207.574),(52 27014.678),(53 27060.719),(54 27192.14),(55 27486.178),(56 27532.506),(57 27208.002),(58 26719.463),(59 26042.117),(60 25758.094),(61 25733.729),(62 25558.227),(63 25509.393),(64 25337.848),(65 25485.586),(66 25249.607),(67 24797.205),(68 24934.373),(69 24927.742),(70 25500.035),(71 25033.865),(72 25049.174),(73 25491.781),(74 25457.947),(75 25510.049),(76 25749.094),(77 26186.598),(78 26480.693),(79 26736.408),
(1 8323.906),(2 13172.446),(3 15268.938),(4 16697.04),(5 16446.615),(6 16438.98),(7 16837.64),(8 17357.92),(9 18332.031),(10 18654.434),(11 19670.322),(12 20427.14),(13 20365.703),(14 20839.072),(15 21164.34),(16 21761.986),(17 22420.81),(18 22749.035),(19 22843.61),(20 23263.324),(21 23448.988),(22 23202.578),(23 23298.555),(24 23772.127),(25 24269.273),(26 24967.896),(27 24956.309),(28 24842.781),(29 24629.947),(30 24875.238),(31 25366.684),(32 25811.434),(33 26011.648),(34 26002.555),(35 26135.234),(36 26389.502),(37 26600.049),(38 26750.486),(39 27380.719),(40 27469.785),(41 27672.566),(42 27825.848),(43 27961.354),(44 27990.05),(45 27997.648),(46 27845.813),(47 28055.025),(48 28386.916),(49 28521.535),(50 28837.873),(51 28663.12),(52 28235.293),(53 28247.027),(54 28056.11),(55 28364.096),(56 28129.863),(57 27897.713),(58 28120.604),(59 27495.957),(60 27168.773),(61 27069.854),(62 26562.424),(63 25970.455),(64 25893.172),(65 25856.502),(66 25719.693),(67 25820.676),(68 25796.996),(69 25697.15),(70 25559.744),(71 25060.443),(72 25140.521),(73 25801.877),(74 26467.316),(75 26894.484),(76 26961.037),(77 27526.463),(78 27750.238),(79 27549.021),
(1 8197.816),(2 12835.861),(3 14817.599),(4 16273.834),(5 15934.353),(6 16161.966),(7 16244.765),(8 16692.398),(9 17469.16),(10 17765.266),(11 18574.377),(12 19189.898),(13 19242.709),(14 20034.33),(15 20496.607),(16 21120.322),(17 21400.555),(18 21579.994),(19 21917.723),(20 22294.916),(21 22679.273),(22 22562.893),(23 23016.38),(24 23369.86),(25 23655.262),(26 24002.307),(27 24222.367),(28 24515.08),(29 24636.93),(30 24893.941),(31 25218.488),(32 25292.615),(33 25510.398),(34 25862.799),(35 26272.72),(36 26762.113),(37 27186.787),(38 27507.42),(39 27519.283),(40 27659.742),(41 27589.78),(42 27489.176),(43 27970.945),(44 27914.277),(45 27953.559),(46 27909.145),(47 27962.027),(48 27987.498),(49 27779.709),(50 27834.744),(51 28144.463),(52 27962.066),(53 28156.266),(54 28064.602),(55 28415.152),(56 27903.13),(57 27609.982),(58 27408.484),(59 27100.176),(60 27127.49),(61 27155.424),(62 26362.375),(63 25783.908),(64 25721.238),(65 25528.787),(66 25352.97),(67 25657.95),(68 26063.379),(69 26055.273),(70 25999.941),(71 25417.656),(72 25327.033),(73 25635.43),(74 26128.38),(75 26847.541),(76 27282.18),(77 27438.37),(78 27789.045),(79 27880.064),
(1 8096.7),(2 12367.603),(3 14193.26),(4 15485.814),(5 15263.736),(6 15303.323),(7 15195.174),(8 15538.186),(9 16373.14),(10 16360.615),(11 17419.88),(12 18121.25),(13 17840.781),(14 18431.186),(15 19022.967),(16 19543.611),(17 20034.045),(18 20348.734),(19 20803.361),(20 21368.518),(21 21799.223),(22 21579.334),(23 21837.51),(24 22203.518),(25 22575.223),(26 23007.396),(27 23289.98),(28 23493.838),(29 23314.713),(30 23796.854),(31 24445.814),(32 24609.686),(33 24590.057),(34 24817.16),(35 25291.139),(36 25743.264),(37 26090.236),(38 26122.695),(39 26228.035),(40 26628.924),(41 26713.424),(42 26946.883),(43 27406.063),(44 27462.193),(45 27450.588),(46 27533.537),(47 27430.34),(48 27065.328),(49 27027.494),(50 27423.967),(51 27698.889),(52 27209.684),(53 27175.922),(54 27115.396),(55 27225.973),(56 27081.047),(57 27063.912),(58 26578.75),(59 26148.365),(60 25819.773),(61 25761.21),(62 25309.213),(63 25080.57),(64 24830.674),(65 24821.32),(66 24778.162),(67 24689.328),(68 25073.828),(69 24927.12),(70 24883.46),(71 24439.598),(72 24172.832),(73 24416.43),(74 24528.95),(75 24705.326),(76 25231.826),(77 25243.416),(78 25337.504),(79 25667.846),
(1 7709.0835),(2 11740.918),(3 13441.179),(4 14950.238),(5 14393.79),(6 14557.398),(7 14997.088),(8 15159.397),(9 15770.878),(10 15775.249),(11 16678.11),(12 17384.283),(13 17159.115),(14 17626.604),(15 17998.115),(16 18429.236),(17 18803.012),(18 18852.875),(19 19155.262),(20 19529.295),(21 19792.154),(22 19818.33),(23 20123.055),(24 20401.44),(25 20723.227),(26 21161.05),(27 21203.537),(28 21329.72),(29 21566.613),(30 22066.627),(31 22326.215),(32 22504.732),(33 22165.857),(34 22280.36),(35 22777.438),(36 23225.361),(37 23417.795),(38 23748.541),(39 24144.756),(40 24513.412),(41 24495.398),(42 24503.049),(43 24821.648),(44 24889.502),(45 24754.512),(46 24816.957),(47 24706.326),(48 24508.094),(49 24855.51),(50 25091.422),(51 25440.777),(52 25048.973),(53 24759.469),(54 24825.42),(55 24745.264),(56 24742.895),(57 24736.236),(58 24106.629),(59 23843.1),(60 23602.09),(61 23486.713),(62 23122.105),(63 22934.469),(64 22681.016),(65 22808.91),(66 22711.383),(67 22703.447),(68 22980.238),(69 22812.162),(70 22631.646),(71 22269.232),(72 22115.367),(73 22467.152),(74 22301.996),(75 22576.928),(76 23092.31),(77 23439.598),(78 23779.31),(79 24310.477),
(1 7726.95),(2 11951.08),(3 13670.716),(4 15186.767),(5 14710.12),(6 14900.8955),(7 15325.258),(8 15557.256),(9 16023.672),(10 16126.95),(11 16805.441),(12 17489.62),(13 17679.555),(14 18062.19),(15 18197.686),(16 18828.285),(17 19261.742),(18 19624.746),(19 19949.447),(20 20298.299),(21 20575.426),(22 20427.162),(23 20549.895),(24 20949.969),(25 21316.436),(26 21644.719),(27 21879.152),(28 21835),(29 21751.82),(30 22129.162),(31 22919.74),(32 23246.531),(33 23237.91),(34 23325.793),(35 23538.53),(36 23800.615),(37 24159.203),(38 24217.541),(39 24242.006),(40 24430.73),(41 24506.184),(42 24818.418),(43 25114.887),(44 24803.252),(45 24640.82),(46 24741.914),(47 24709.633),(48 24968.873),(49 25208.203),(50 25217.219),(51 25477.053),(52 25393.43),(53 25151.797),(54 25053.475),(55 24948.02),(56 24936.85),(57 24721.8),(58 24266.535),(59 24077.777),(60 24207.393),(61 24400.72),(62 24249.604),(63 23732.465),(64 23338.217),(65 23792.453),(66 23920.035),(67 23866.285),(68 24206.207),(69 23981.549),(70 23644.18),(71 23468.555),(72 23313.227),(73 23685.586),(74 24037.406),(75 24093.217),(76 24356.084),(77 24900.799),(78 25306.223),(79 25441.354),
(1 7581.22),(2 11847.771),(3 13519.932),(4 14738.212),(5 14273.773),(6 14237.76),(7 14640.035),(8 15000.428),(9 15636.205),(10 15976.204),(11 16748.346),(12 17164.873),(13 17148.508),(14 17556.732),(15 17831.512),(16 18505.043),(17 18868.922),(18 19057.129),(19 19483.203),(20 19963.959),(21 20424.426),(22 20066.496),(23 20491.047),(24 20365.367),(25 20690.033),(26 20845.666),(27 20618.285),(28 20665.086),(29 20976.793),(30 21487.04),(31 22072.838),(32 22286.512),(33 22424.93),(34 22423.4),(35 22485.084),(36 22716.465),(37 22987.953),(38 23125.021),(39 23259.82),(40 23329.617),(41 23689.916),(42 23865.38),(43 24197.988),(44 24292.756),(45 24092.922),(46 23895.666),(47 24130.883),(48 24210.299),(49 24466.693),(50 24618.229),(51 24574.025),(52 24099.148),(53 23734.844),(54 23789.943),(55 24324.887),(56 24310.322),(57 24113.984),(58 23730.979),(59 23649.139),(60 23668.506),(61 23810.191),(62 23315.244),(63 23082.008),(64 22664.303),(65 22840.678),(66 23092.43),(67 23204.857),(68 23356.316),(69 22952.15),(70 22690.373),(71 22780.031),(72 22792.756),(73 23187.414),(74 23604.197),(75 23520.61),(76 23618.412),(77 23650.176),(78 23991.012),(79 23988.084),
(1 7348.657),(2 11142.499),(3 12710.223),(4 13905.55),(5 13752.416),(6 13941.9795),(7 14272.104),(8 14426.328),(9 15065.16),(10 15072.64),(11 15476.874),(12 15997.536),(13 16145.952),(14 16551.309),(15 17103.969),(16 17582.008),(17 17963.309),(18 18277.285),(19 18573.629),(20 18898.205),(21 19292.004),(22 19426.316),(23 19746.826),(24 19874.42),(25 20149.107),(26 20451.408),(27 20577.549),(28 20720.543),(29 20920.223),(30 21349.076),(31 22075.955),(32 22132.102),(33 22088.883),(34 21912.002),(35 21841.928),(36 22130.078),(37 22457.744),(38 22536.414),(39 22602.443),(40 22932.443),(41 23304.473),(42 23395.477),(43 23605.361),(44 23904.045),(45 24102.463),(46 23840.66),(47 23811.785),(48 23610.098),(49 23544.865),(50 23608.998),(51 24190.996),(52 24262.527),(53 24123.723),(54 23654.734),(55 23491.111),(56 23513.709),(57 23399.611),(58 23400.041),(59 23205.355),(60 22958.836),(61 22865.957),(62 22265.205),(63 21908.723),(64 21789.377),(65 21718.863),(66 22143.602),(67 22245.78),(68 22437.203),(69 22497.367),(70 22178.617),(71 21902.8),(72 21929.023),(73 22024.266),(74 21858.863),(75 22167.164),(76 22417.248),(77 22727.94),(78 22626.037),(79 23078.832),
(1 7231.2905),(2 10811.068),(3 12550.965),(4 13905.527),(5 13596.789),(6 13709.48),(7 13853.66),(8 14131.322),(9 14951.69),(10 14881.736),(11 15717.517),(12 16133.771),(13 16315.423),(14 16956.74),(15 17101.736),(16 17765.379),(17 18066.432),(18 18148.258),(19 18644.361),(20 18765.053),(21 19247.854),(22 19351.088),(23 19668.998),(24 19867.287),(25 20086.133),(26 20436.135),(27 20546.672),(28 20607.697),(29 20794.389),(30 21312.514),(31 21755.553),(32 21317.691),(33 21411.326),(34 21629.795),(35 21737.398),(36 22115.229),(37 22456.287),(38 22771.428),(39 23035.357),(40 23004.412),(41 23423.178),(42 23611.408),(43 23648.174),(44 23453.545),(45 23448.908),(46 23282.193),(47 23409.443),(48 23661.465),(49 23799.24),(50 24159.56),(51 24449.918),(52 23892.574),(53 24040.031),(54 23868.656),(55 24191.305),(56 24065.629),(57 23643.547),(58 23212.867),(59 23056.666),(60 23250.508),(61 23120.771),(62 22593.605),(63 22299.918),(64 22094.732),(65 21962.785),(66 21944.787),(67 22353.443),(68 22253.205),(69 22205.854),(70 21755.588),(71 21531.602),(72 21513.115),(73 22003.52),(74 21922.795),(75 22188.695),(76 22529.373),(77 22777.438),(78 22861.902),(79 23111.912),
(1 6831.012),(2 10379.486),(3 12107.646),(4 13059.572),(5 12770.983),(6 12901.782),(7 13264.205),(8 13491.634),(9 13947.003),(10 14002.414),(11 14551.224),(12 15192.939),(13 15314.651),(14 15725.328),(15 15990.639),(16 16635.762),(17 17091.354),(18 17375.057),(19 17817.621),(20 18065.234),(21 18275.049),(22 18212.332),(23 18232.102),(24 18305.826),(25 18631.328),(26 19154.21),(27 19249),(28 19584.066),(29 19568.11),(30 19929.11),(31 20317.564),(32 20307.473),(33 20248.814),(34 20309.777),(35 20427.729),(36 20886.002),(37 21010.738),(38 20819.723),(39 20950.844),(40 21249.787),(41 21588.398),(42 21755.148),(43 22038.697),(44 22029.82),(45 22200.955),(46 22215.809),(47 22388.445),(48 22471.004),(49 22475.096),(50 22739.254),(51 22794.537),(52 22360.436),(53 22274.926),(54 22251.957),(55 22733.068),(56 22448.977),(57 22455.93),(58 22038.197),(59 21586.656),(60 21347.516),(61 21629.867),(62 21229.277),(63 21082.477),(64 20761.465),(65 20294.623),(66 20072.736),(67 20249.266),(68 20542.854),(69 20404.252),(70 20045.758),(71 19723.324),(72 19796.48),(73 20328.223),(74 20408.729),(75 20292.049),(76 20312.781),(77 20539.57),(78 20785.672),(79 21046.615),
(1 6912.1226),(2 10323.505),(3 11865.756),(4 12798.231),(5 12460.401),(6 12592.858),(7 12923.21),(8 13302.97),(9 13751.967),(10 13853.343),(11 14395.911),(12 14936.168),(13 15271.628),(14 15808.145),(15 15975.017),(16 16578.08),(17 16799.107),(18 16989.74),(19 17231.02),(20 17547.158),(21 18052.205),(22 17882.418),(23 17971.67),(24 17927.836),(25 18280.043),(26 18572.943),(27 18666.064),(28 18807.371),(29 18985.607),(30 19247.855),(31 19392.186),(32 19294.021),(33 19370.582),(34 19610.256),(35 19997.262),(36 20398.596),(37 20333.924),(38 20476.172),(39 20527.092),(40 20707.314),(41 20717.295),(42 20846.314),(43 21144.754),(44 20958.926),(45 21040.45),(46 20953.693),(47 20913.37),(48 21042.3),(49 21136.979),(50 21382.584),(51 21390.8),(52 21254.492),(53 21092.457),(54 20946.03),(55 21205.053),(56 21075.998),(57 21048.184),(58 20791.8),(59 20475.44),(60 20373.457),(61 20397.91),(62 20174.006),(63 20172.168),(64 20119.37),(65 20009.553),(66 20014.877),(67 19791.213),(68 19869.62),(69 19779.658),(70 19495.924),(71 19336.78),(72 19372.543),(73 19678.586),(74 19935.555),(75 20003.523),(76 19791.746),(77 19863.74),(78 20276.691),(79 20620.09),
(1 6687.5815),(2 9897.413),(3 11651.026),(4 12757.587),(5 12620.001),(6 12706.529),(7 12922.658),(8 13095.4795),(9 13648.496),(10 13822.172),(11 14238.472),(12 14329.417),(13 14198.192),(14 14564.537),(15 14842.737),(16 15481.752),(17 15663.106),(18 15952.712),(19 16443.93),(20 16942.863),(21 17227.613),(22 17072.752),(23 17253.113),(24 17282.611),(25 17577.984),(26 17659.424),(27 17693.793),(28 18080.531),(29 18422.826),(30 18587.113),(31 18999.734),(32 18946.254),(33 19088.68),(34 19305.148),(35 19572.494),(36 19844.191),(37 19925.04),(38 20103.492),(39 20176.059),(40 20182.578),(41 20181.285),(42 20375.793),(43 20847.895),(44 20959.742),(45 20940.084),(46 20828.406),(47 21086.674),(48 20965.861),(49 21035.633),(50 20957.281),(51 21094.668),(52 21067.605),(53 21304.885),(54 21194.455),(55 21072.766),(56 21028.682),(57 20961.113),(58 20929.408),(59 20662.908),(60 20173.299),(61 20390.121),(62 20208.313),(63 20049.832),(64 19892.68),(65 19818.732),(66 19723.447),(67 19472.053),(68 19490.877),(69 19583.195),(70 19099.313),(71 19105.104),(72 19010.582),(73 19444.322),(74 19519.96),(75 19723.617),(76 19995.865),(77 20022.383),(78 20353.537),(79 20559.717),
(1 6227.2925),(2 9204.567),(3 10720.335),(4 11762.979),(5 11738.376),(6 12009.356),(7 12231.153),(8 12422.937),(9 12993.416),(10 13037.022),(11 13233.346),(12 13706.408),(13 13769.268),(14 14047.962),(15 14186.646),(16 14566.349),(17 14431.397),(18 14728.176),(19 15184.977),(20 15775.058),(21 16252.336),(22 16173.637),(23 16418.648),(24 16619.36),(25 16587.285),(26 16757.148),(27 16486.783),(28 16577.58),(29 16856.828),(30 17057.316),(31 17589.936),(32 17511.691),(33 17454.709),(34 17425.453),(35 17628.818),(36 17699.57),(37 17680.268),(38 17743.422),(39 18012.66),(40 18222.533),(41 18264.777),(42 18405.162),(43 18446.709),(44 18352.93),(45 18292.615),(46 18348.494),(47 18165.56),(48 18327.303),(49 18580.865),(50 18836.434),(51 19063.045),(52 18884.26),(53 18805.445),(54 18665.697),(55 18780.883),(56 18810.068),(57 18761.596),(58 18706.975),(59 18615.701),(60 18511.99),(61 18507.623),(62 18343.354),(63 18195.418),(64 17845.018),(65 17834.64),(66 17836.936),(67 17859.875),(68 17996.178),(69 17781.988),(70 17646.19),(71 17453.951),(72 17492.928),(73 17789.525),(74 17673.857),(75 17630.154),(76 17903.168),(77 18213.475),(78 18398.959),(79 18702.633),
(1 6314.727),(2 9367.867),(3 10816.536),(4 11746.941),(5 11651.805),(6 11799.528),(7 12001.916),(8 12206.677),(9 12604.361),(10 12692.255),(11 12830.731),(12 13158.87),(13 13467.583),(14 13859.276),(15 14200.604),(16 14256.947),(17 14327.12),(18 14605.163),(19 15010.973),(20 15279.843),(21 15531.028),(22 15788.32),(23 15736.804),(24 15850.146),(25 15999.355),(26 16142.136),(27 16275.635),(28 16509.957),(29 16436.883),(30 16618),(31 16644.889),(32 16643.943),(33 16923.246),(34 17046.563),(35 17113.682),(36 17003.572),(37 17190.705),(38 17449.14),(39 17489.955),(40 17649.484),(41 17901.984),(42 18279.697),(43 18544.51),(44 18360.75),(45 18241.682),(46 18250.363),(47 18279.861),(48 18599.414),(49 18806.97),(50 18928.705),(51 19246.87),(52 18989.445),(53 18785.691),(54 18814.512),(55 18673.04),(56 18437.168),(57 18364.13),(58 18272.102),(59 18050.11),(60 18171.23),(61 18283.096),(62 18021.102),(63 17722.21),(64 17348.113),(65 17393.24),(66 17289.832),(67 17103.549),(68 17406.854),(69 17237.307),(70 17278.662),(71 17368.154),(72 17298.734),(73 17545.219),(74 17489.592),(75 17464.002),(76 17721.816),(77 17875.428),(78 17952.266),(79 17883.975),
(1 6169.2715),(2 9138.52),(3 10829.758),(4 11694.989),(5 11438.456),(6 11448.395),(7 11628.3),(8 11713.589),(9 12115.154),(10 12421.766),(11 12671.424),(12 13056.199),(13 13259.729),(14 13567.0205),(15 14031.93),(16 14390.651),(17 14607.425),(18 14697.582),(19 15013.373),(20 15362.382),(21 15615.482),(22 15499.477),(23 15399.76),(24 15511.893),(25 15706.455),(26 15856.352),(27 15837.16),(28 16087.077),(29 16168.348),(30 16270.262),(31 16371.447),(32 16338.51),(33 16688.021),(34 17026.928),(35 17505.746),(36 17431.21),(37 17390.213),(38 17176.15),(39 17096.4),(40 17257.535),(41 17568.324),(42 18096.244),(43 18103.367),(44 18025.135),(45 18116.467),(46 18075.348),(47 18190.49),(48 18384.553),(49 18537.48),(50 18528.686),(51 18723.822),(52 18536.861),(53 18588.768),(54 18596.338),(55 18552.652),(56 18296.428),(57 18099.13),(58 17776.295),(59 17666.236),(60 17666.354),(61 17750.162),(62 17643.316),(63 17591.094),(64 17384.418),(65 17213.648),(66 17031.73),(67 16870.563),(68 17099.693),(69 17105.021),(70 17269.793),(71 16871.39),(72 16861.107),(73 17350.053),(74 17280.576),(75 17436.535),(76 17563.072),(77 17543.74),(78 17624.959),(79 17756.262),
(1 6150.5273),(2 9033.783),(3 10629.687),(4 11347.38),(5 11285.576),(6 11364.902),(7 11568.022),(8 11998.802),(9 12479.843),(10 12641.282),(11 12800.951),(12 13161.536),(13 13624.253),(14 14031.431),(15 14260.942),(16 14534.5625),(17 14823.282),(18 14939.078),(19 15276.199),(20 15505.556),(21 15723.195),(22 15633.796),(23 15738.771),(24 15590.6455),(25 15717.908),(26 15968.356),(27 16120.938),(28 16327.028),(29 16359.156),(30 16339.261),(31 16675.459),(32 16479.695),(33 16593.766),(34 16816.266),(35 17069.367),(36 17094.309),(37 17165.797),(38 17346.62),(39 17510.736),(40 17608.322),(41 17911.664),(42 18192.94),(43 18402.639),(44 18434.19),(45 18390.527),(46 18236.133),(47 18273.662),(48 18418.975),(49 18498.076),(50 18432.928),(51 18952.982),(52 18714.727),(53 18563.14),(54 18414.947),(55 18506.535),(56 18504.385),(57 18205.936),(58 18014.447),(59 17933.375),(60 17806.256),(61 17879.393),(62 17551.043),(63 17635.959),(64 17261.398),(65 17156.205),(66 17142.709),(67 17043.334),(68 17282.676),(69 17189.828),(70 17051.271),(71 16683.475),(72 16567.4),(73 16860.307),(74 16975.977),(75 17039.977),(76 16953.482),(77 16767.977),(78 16958.658),(79 17205.787),
(1 5904.4204),(2 8531.145),(3 9848.376),(4 10512.845),(5 10496.6045),(6 10668.536),(7 10825.395),(8 11145.727),(9 11431.66),(10 11510.075),(11 11807.214),(12 12021.244),(13 12274.785),(14 12621.252),(15 12832.987),(16 13304.49),(17 13692.23),(18 13929.318),(19 14201.942),(20 14465.813),(21 14534.392),(22 14474.393),(23 14493.067),(24 14591.01),(25 14642.587),(26 14766.929),(27 14963.022),(28 15282.657),(29 15373.743),(30 15638.91),(31 15709.13),(32 15452.452),(33 15566.454),(34 15849.812),(35 16081.033),(36 16114.773),(37 16352.939),(38 16494.482),(39 16746.121),(40 16629.064),(41 16902.357),(42 16844.457),(43 16981.268),(44 17097.582),(45 17168.59),(46 17128.012),(47 17344.111),(48 17238.719),(49 17177.666),(50 17401.64),(51 17556.201),(52 17526.55),(53 17463.193),(54 17368.451),(55 17660.586),(56 17457.61),(57 17225.258),(58 17157.662),(59 17104.686),(60 16989.002),(61 16783.174),(62 16676.91),(63 16705.625),(64 16315.165),(65 16288.674),(66 16151.797),(67 16418.309),(68 16743.174),(69 16654.379),(70 16252.872),(71 16173.779),(72 16253.513),(73 16494.898),(74 16718.125),(75 16564.215),(76 16604.434),(77 16480.78),(78 16663.166),(79 17068.758),
