1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43891.28),(2 66007.43),(3 74909.914),(4 141367.5),(5 184815.39),(6 185850.52),(7 246803.88),(8 313454.66),(9 309973.13),(10 412610.13),(11 459639.53),(12 463045.4),(13 550666.5),(14 634484.8),(15 656411.8),(16 802254),(17 920463.5),(18 965466.8),(19 1103558.4),(20 1225542.6),(21 1277080.1),(22 1445458.6),(23 1582513.5),(24 1624952),(25 1786148),(26 1914547.1),(27 1957578.6),(28 2140567.8),(29 2281226.3),(30 2341255),(31 2522289.8),(32 2672555.5),(33 2716915.3),(34 2892246.8),(35 3022980),(36 3092723),(37 3254176.8),(38 3409078),(39 3477534.8),(40 3664103.3),(41 3832965.8),(42 3942700.3),(43 4156728.8),(44 4355818.5),(45 4440533.5),(46 4656583.5),(47 4835585),(48 4921824),(49 5094343.5),(50 5249298.5),(51 5288212),(52 5489221.5),(53 5651610.5),(54 5682782),(55 5811678.5),(56 5948146.5),(57 5969630.5),(58 6126442),(59 6268182.5),(60 6287397.5),(61 6416568),(62 6558341.5),(63 6574737.5),(64 6695389.5),(65 6791903.5),(66 6774688.5),(67 6817296.5),(68 6920456),(69 6880093.5),(70 6945725.5),(71 7011297.5),(72 6978500),(73 7018670.5),(74 7080434),(75 7011388.5),(76 7067264),(77 7106010.5),(78 7066382),(79 7095684.5),
(1 6903.325),(2 21974.29),(3 40082.418),(4 57271.02),(5 71149.32),(6 80381.22),(7 85992.984),(8 89844.64),(9 92628.805),(10 95770.25),(11 99250.58),(12 102250.63),(13 104432.04),(14 106510.3),(15 109352.45),(16 112765.45),(17 115739.3),(18 118374.75),(19 120960.57),(20 122049.63),(21 121930.5),(22 121234.41),(23 120580.2),(24 120996.99),(25 121654.4),(26 122658.414),(27 124284.45),(28 125896.805),(29 127137.734),(30 127425.87),(31 127353.25),(32 128083.57),(33 128547.62),(34 129362.82),(35 129896.7),(36 130460.84),(37 130735.18),(38 130462.555),(39 130360.02),(40 130236.2),(41 129862.22),(42 129944.586),(43 130215.945),(44 130256.65),(45 131066.49),(46 132193.17),(47 133255.97),(48 134252.89),(49 135302.95),(50 135862.2),(51 136295.36),(52 136801.17),(53 138440.55),(54 140218.75),(55 141974.19),(56 144239.66),(57 145372.03),(58 146272.8),(59 146883.9),(60 147140.33),(61 147287.47),(62 147117.86),(63 146839.03),(64 146962.77),(65 147451.27),(66 147975.73),(67 148476.47),(68 148664.97),(69 149366.56),(70 148850.97),(71 147558.94),(72 145899.98),(73 143995.81),(74 141640.9),(75 139412.92),(76 137470.81),(77 135359.31),(78 133362.53),(79 131071.914),
(1 6934.605),(2 22192.658),(3 40567.01),(4 57996.125),(5 72212.78),(6 81995.53),(7 87854.11),(8 91644.87),(9 93363.13),(10 94567.52),(11 95796.305),(12 96878.055),(13 98724.42),(14 100810.695),(15 103108.93),(16 105340.65),(17 107471.555),(18 109091.164),(19 110190.15),(20 111202.71),(21 112338.37),(22 113278),(23 114173.64),(24 115565.74),(25 117074.87),(26 117909.83),(27 118427.47),(28 117653.04),(29 116172.71),(30 114676.06),(31 114052.56),(32 115098.88),(33 115966.62),(34 116829.18),(35 118180.94),(36 119637.72),(37 120475.58),(38 120049.34),(39 118807.46),(40 118041.58),(41 117365.734),(42 117119.836),(43 117613.695),(44 117840.914),(45 118338.45),(46 118759.1),(47 119331.02),(48 120497.64),(49 121867.12),(50 122852.06),(51 124354.94),(52 125319.15),(53 126761.59),(54 129046.266),(55 131607.1),(56 134577.02),(57 137717.7),(58 140446.73),(59 142758.77),(60 144954.45),(61 146985.86),(62 147575.55),(63 147676.77),(64 147131.1),(65 147029.38),(66 147163.5),(67 147998.05),(68 148936.78),(69 149547.36),(70 149176.25),(71 148513.58),(72 147140.78),(73 146009.67),(74 144125.14),(75 142390.11),(76 140318.8),(77 137394.52),(78 133877.73),(79 130224.945),
(1 6532.0054),(2 20381.775),(3 36773.938),(4 52027.184),(5 64296.77),(6 72894.875),(7 78872.664),(8 82992),(9 85553.07),(10 87638.85),(11 89583.82),(12 91172.29),(13 92804.375),(14 94339.56),(15 96205.266),(16 98172.27),(17 100854.12),(18 103060.57),(19 104928.305),(20 106747.25),(21 108493.95),(22 109723.04),(23 110124.37),(24 111407.234),(25 112094.91),(26 111708.32),(27 111454.016),(28 110769.57),(29 110617.17),(30 110548.01),(31 110881.27),(32 110953.62),(33 110824.01),(34 111657.055),(35 112289.15),(36 112532.35),(37 111689.375),(38 109447.375),(39 107122.625),(40 105643.46),(41 105489.06),(42 105104.125),(43 104699.445),(44 105264.36),(45 105737.83),(46 107052.27),(47 108998.625),(48 111135.86),(49 112760.95),(50 114044.234),(51 114569.41),(52 114718.21),(53 116930.15),(54 120046.766),(55 122930.25),(56 125464.516),(57 127978.414),(58 130021.28),(59 131783.05),(60 133418.72),(61 134814.69),(62 135617.8),(63 136400.33),(64 136898.16),(65 137485.3),(66 138166.08),(67 138567.25),(68 138258.4),(69 137783.67),(70 137036.69),(71 136030.25),(72 135261.63),(73 135008.36),(74 134460.34),(75 134211.84),(76 133670.88),(77 132851.75),(78 131877.83),(79 130789.984),
(1 6325.478),(2 20022.697),(3 36295.227),(4 51699.234),(5 64080.99),(6 72153.66),(7 77068.57),(8 80170.12),(9 82445.97),(10 85198.74),(11 88076.32),(12 91437.13),(13 94316.02),(14 96375.64),(15 98503.34),(16 100531.8),(17 102924.99),(18 105045.7),(19 105986.37),(20 106482.23),(21 107076.46),(22 107204.8),(23 107323.516),(24 107679.82),(25 108149.47),(26 109667.1),(27 111465.38),(28 112334.266),(29 113122.3),(30 113746.06),(31 114482.11),(32 114678.984),(33 114585.95),(34 114022.63),(35 113339.11),(36 112572.664),(37 111557.52),(38 110763.55),(39 110120.6),(40 109621.57),(41 109214.625),(42 108594.52),(43 108480.586),(44 108836.71),(45 109057.945),(46 109750.34),(47 109836.44),(48 109607.6),(49 109543.94),(50 110118.086),(51 110694.05),(52 111298.5),(53 112525.44),(54 113850.98),(55 115470.13),(56 117599.555),(57 120083.7),(58 122119.92),(59 124058.28),(60 124464.03),(61 123914.41),(62 122588.695),(63 121494.305),(64 120444.336),(65 119917.055),(66 119546.23),(67 119456.375),(68 118588.68),(69 117982.43),(70 117740.68),(71 117340.85),(72 117148.34),(73 117495.23),(74 117666.055),(75 118150.51),(76 118457.305),(77 117825.24),(78 116551.82),(79 115314.11),
(1 6090.7007),(2 19158.611),(3 35103.26),(4 50002.12),(5 61815.074),(6 70080.65),(7 75437),(8 79470.52),(9 81732.375),(10 83223.19),(11 84192.375),(12 85053.39),(13 86745.47),(14 88705.086),(15 91182.06),(16 93748.45),(17 96404.79),(18 98533.66),(19 100567.96),(20 102090.28),(21 103276.24),(22 103602.63),(23 103730.836),(24 103851.88),(25 104648.51),(26 106279.516),(27 108141.41),(28 109882.68),(29 111099.73),(30 111477.27),(31 111370.96),(32 110810.93),(33 109754.61),(34 109310.22),(35 107906.164),(36 106889.91),(37 106502.12),(38 106026.27),(39 105977.01),(40 106257.16),(41 106717.195),(42 107059.336),(43 107359.086),(44 107137.836),(45 106451.71),(46 105972.04),(47 105202.836),(48 104855.69),(49 105206.45),(50 106218.13),(51 108200.36),(52 109486.08),(53 110424.77),(54 111116.414),(55 111592.74),(56 112161.4),(57 113006.17),(58 113316.5),(59 113268.375),(60 112795.914),(61 112147.2),(62 111918.06),(63 112178.65),(64 112847.51),(65 113715.26),(66 114578.836),(67 115278.984),(68 115998.266),(69 116537.36),(70 115754.62),(71 114056.18),(72 112585.29),(73 112018.266),(74 111168.99),(75 110592.3),(76 109781.51),(77 109036.25),(78 108320.875),(79 107701.14),
(1 6225.028),(2 19382.19),(3 34797.65),(4 48715.477),(5 59844.227),(6 67613.46),(7 72728.01),(8 77292.625),(9 81066.266),(10 84498.1),(11 87497.805),(12 89612.27),(13 90633.336),(14 91206.375),(15 92498.05),(16 94189.97),(17 96020.98),(18 97482.67),(19 98383.27),(20 98683.79),(21 98672.414),(22 98099.67),(23 97545.8),(24 97223.984),(25 97370.85),(26 97449.57),(27 97831.94),(28 98338.25),(29 98840.484),(30 99414.61),(31 99723.57),(32 100151.13),(33 100491.516),(34 100754.22),(35 100328.19),(36 100351.41),(37 100492.26),(38 100657.305),(39 101448.87),(40 103178.19),(41 104266.39),(42 105016.62),(43 105656.14),(44 105402.47),(45 105146.48),(46 105184.04),(47 105970.086),(48 107058.88),(49 107667.46),(50 107763.74),(51 107718.484),(52 107448.83),(53 107532.01),(54 107819.484),(55 107116.055),(56 106494.21),(57 106705.75),(58 107798.25),(59 109381.71),(60 110541.72),(61 111224.07),(62 111664.44),(63 112403.125),(64 112821.94),(65 112989.21),(66 113025.61),(67 112725.8),(68 112430.27),(69 111768.69),(70 110441.445),(71 109566.94),(72 108771.516),(73 108074.28),(74 107442.28),(75 106978.79),(76 106693.95),(77 106721.04),(78 106389.38),(79 105946.62),
(1 6243.744),(2 19520.143),(3 35018.656),(4 48923.34),(5 60103.38),(6 67964.836),(7 73811.99),(8 78160.33),(9 81036.69),(10 83419.805),(11 85185.914),(12 87201.805),(13 88974.13),(14 90982.49),(15 93175.86),(16 95162.055),(17 96501.86),(18 97790.7),(19 98391.26),(20 98236.23),(21 97446.49),(22 96820.305),(23 96218.766),(24 96051.914),(25 95883.7),(26 96041.875),(27 96768.37),(28 97884.055),(29 98530.15),(30 99012.82),(31 99356.93),(32 99745.94),(33 99802.04),(34 99451.266),(35 98819.414),(36 98107.13),(37 96843.96),(38 96365.8),(39 96325.94),(40 96731.73),(41 97636.99),(42 98270.89),(43 98807.98),(44 99620.99),(45 101123.1),(46 102850.3),(47 104178.164),(48 105142.67),(49 105205.695),(50 105011.79),(51 105640),(52 106278.8),(53 107525.914),(54 108892.086),(55 109538.4),(56 109907.02),(57 111335.1),(58 113342.7),(59 115477.69),(60 116702.586),(61 117234.62),(62 117230.62),(63 117254.28),(64 117421.05),(65 117575.36),(66 117596.836),(67 117151.78),(68 115573.555),(69 113920.77),(70 112139.29),(71 110605.49),(72 108896.73),(73 107487.9),(74 106639.42),(75 105697.875),(76 105528.66),(77 106165.52),(78 107158.55),(79 107463.5),
(1 6050.866),(2 18852.492),(3 33644.81),(4 47336.605),(5 58254.863),(6 66010.25),(7 71852.16),(8 76392.88),(9 79659.84),(10 82385.12),(11 84874.36),(12 86971.14),(13 88116.54),(14 88656.68),(15 89017.53),(16 89610.78),(17 90604.45),(18 91628.5),(19 92275.45),(20 92531.74),(21 92461.914),(22 92694.93),(23 92841.055),(24 92924.945),(25 92606.78),(26 91891.5),(27 91174.695),(28 90971.85),(29 91133.54),(30 91398.9),(31 91896.18),(32 92598.28),(33 93522.86),(34 93973.95),(35 94600.086),(36 95487.414),(37 96259.3),(38 97566.555),(39 99757.664),(40 101929.73),(41 103458.73),(42 104000.98),(43 103974.77),(44 104139.45),(45 104904.016),(46 105978.02),(47 107236.63),(48 109318.89),(49 110613.58),(50 110568.65),(51 110311.914),(52 109623.88),(53 109504.555),(54 109210.984),(55 109194.87),(56 109150.61),(57 109481.06),(58 110575.59),(59 111897.14),(60 113581.586),(61 115104.734),(62 116557.17),(63 118075.9),(64 118868.07),(65 118711.61),(66 117943.64),(67 117147.87),(68 115440.39),(69 113710.15),(70 112587.74),(71 111508.305),(72 111032.75),(73 110780.8),(74 109814.51),(75 109132.16),(76 108850.78),(77 108628.6),(78 108117.664),(79 107495.69),
(1 5995.385),(2 18667.297),(3 33317.29),(4 46727.016),(5 57644.363),(6 65233.676),(7 70169.81),(8 73480.2),(9 75610.305),(10 77695.23),(11 79570.41),(12 81326.08),(13 82497.82),(14 83143.95),(15 84322.48),(16 84933.08),(17 85313.29),(18 85249.84),(19 85245.16),(20 85649.586),(21 85627.01),(22 85881.734),(23 86241.87),(24 86603.97),(25 86524.2),(26 86738.1),(27 86746.7),(28 86875.29),(29 87636.7),(30 88698.1),(31 89806.5),(32 90997.09),(33 91483.74),(34 91424.555),(35 91196.17),(36 91321.01),(37 91755.016),(38 92108.56),(39 92897.88),(40 93540.29),(41 94067.47),(42 94479.77),(43 94674.98),(44 94726.664),(45 94312.945),(46 94095.76),(47 94406.32),(48 95298.375),(49 96644.445),(50 97520.836),(51 98767.5),(52 98613.21),(53 98401.695),(54 97933.32),(55 97358.13),(56 97401.04),(57 97102.59),(58 96758.94),(59 96978.83),(60 97479.53),(61 98247.5),(62 99056.59),(63 99856.305),(64 100691.27),(65 101396.77),(66 101892.75),(67 102295.08),(68 101931.83),(69 101645.586),(70 100860.516),(71 100244.82),(72 100135.45),(73 100845.164),(74 101742.4),(75 102815.664),(76 103971.61),(77 104470.56),(78 104414.48),(79 103764.52),
(1 6055.774),(2 18737.828),(3 33713.566),(4 47551.996),(5 58407.418),(6 65783.125),(7 70841.445),(8 73778.99),(9 75572.1),(10 77139.52),(11 78291.914),(12 79012.766),(13 79099.19),(14 79170),(15 79721.36),(16 80481.95),(17 80993.71),(18 80593.88),(19 80055.13),(20 79754.46),(21 80000.81),(22 80738.625),(23 81168.19),(24 82060.6),(25 83362.84),(26 84454.71),(27 84904.97),(28 85519.64),(29 86638.766),(30 87615.63),(31 87982.34),(32 87845.67),(33 87393.46),(34 86915.8),(35 86552.336),(36 86033.586),(37 85722.3),(38 86094.83),(39 87083.08),(40 87224.7),(41 87551.24),(42 87301.48),(43 87423.44),(44 88513.445),(45 89042.016),(46 89225.54),(47 89463.94),(48 90015.19),(49 90590.98),(50 90509.3),(51 90372.99),(52 90126.086),(53 89960.23),(54 90037.375),(55 90043.484),(56 89946.28),(57 89779.54),(58 90006.85),(59 91136.29),(60 92881.734),(61 95014.01),(62 96699.23),(63 97386.414),(64 97603.07),(65 97379.26),(66 97309.83),(67 97386.77),(68 97577.54),(69 98091.38),(70 97862.414),(71 97688.664),(72 97627.66),(73 98191.71),(74 99146.445),(75 100487.4),(76 101974.4),(77 103036.805),(78 103675.57),(79 103631.08),
(1 6098.968),(2 18724.287),(3 33197.47),(4 46201.23),(5 56320.07),(6 63234.043),(7 68009.75),(8 71990.03),(9 74912.47),(10 77886.61),(11 79640.414),(12 80222.086),(13 80407.33),(14 80490.82),(15 80276.586),(16 79836.15),(17 79598.54),(18 79331.24),(19 79370.336),(20 79031.95),(21 78743.91),(22 78892.98),(23 79387.03),(24 80388.72),(25 81431.77),(26 82253.31),(27 83120.31),(28 83999.34),(29 84841.34),(30 84992.195),(31 84397.984),(32 83659.2),(33 82697.42),(34 81692.484),(35 80854.46),(36 80217.08),(37 79999.33),(38 80363.82),(39 81740.41),(40 83378.75),(41 85910.23),(42 87885.15),(43 89301.586),(44 90251.914),(45 90301.914),(46 90187.586),(47 90147.57),(48 89820.88),(49 90272.17),(50 90307.29),(51 89908.02),(52 89557.22),(53 89771.984),(54 90793.36),(55 92168.95),(56 93615.72),(57 95245.9),(58 96083.03),(59 96080.52),(60 95998.836),(61 95894.75),(62 95981.56),(63 95533.21),(64 95223.05),(65 94799.06),(66 94817.36),(67 94925.984),(68 95375.67),(69 95882.25),(70 96421.52),(71 96806.94),(72 97573.055),(73 98524.625),(74 99994.164),(75 101273.336),(76 102479.15),(77 102534),(78 101668.18),(79 100601.72),
(1 5973.496),(2 18592.434),(3 32892.965),(4 45277.105),(5 54282.28),(6 60182.73),(7 64371.62),(8 67078.35),(9 69059.1),(10 70758.5),(11 71684.445),(12 72607.516),(13 73737.19),(14 75498.82),(15 77375.34),(16 79062.74),(17 79735.23),(18 79536.98),(19 79224.66),(20 78469.24),(21 77511.43),(22 76934.55),(23 76578.4),(24 76794.1),(25 77644.18),(26 77920.766),(27 77915.42),(28 77530.33),(29 77568.52),(30 77256.94),(31 76706.266),(32 76171.81),(33 75515.89),(34 74750.6),(35 74414.23),(36 75129.14),(37 76715.17),(38 78154.04),(39 79180.52),(40 79029.66),(41 78399.82),(42 77456.63),(43 77182.9),(44 77946.53),(45 78787.414),(46 79604.77),(47 80874.62),(48 82386.555),(49 83651.664),(50 84590.54),(51 85189.57),(52 85900.42),(53 86791.586),(54 88061.52),(55 89036.52),(56 89495.75),(57 88980.805),(58 87830.98),(59 86901.74),(60 86467.39),(61 86058.95),(62 86331.42),(63 86530.75),(64 86590.49),(65 86369.63),(66 86322.34),(67 86358.25),(68 86550.74),(69 86894.03),(70 87084.25),(71 87290.48),(72 87589.04),(73 87364.664),(74 86672.04),(75 86216.93),(76 86307.734),(77 86515.01),(78 86837.32),(79 87513.234),
(1 5882.7515),(2 18105.557),(3 31890.344),(4 43897.094),(5 52869.063),(6 58836.746),(7 62632.26),(8 65546.91),(9 67176.95),(10 68586.805),(11 69802.31),(12 70154.9),(13 70388.41),(14 70821.96),(15 71399.555),(16 72264.06),(17 73261.35),(18 74119.336),(19 74818.81),(20 76096.984),(21 77709.586),(22 79858.97),(23 81602.48),(24 82804.33),(25 83388.07),(26 82938.164),(27 82334.17),(28 82123.35),(29 82573.22),(30 83048.195),(31 82825.63),(32 82263.61),(33 81593.25),(34 80576.516),(35 79966.36),(36 79858.51),(37 79844.85),(38 79621.39),(39 79578.61),(40 79735.88),(41 80125.04),(42 80310.73),(43 80954.62),(44 81563.055),(45 81868.336),(46 82066.85),(47 82280.92),(48 82680.28),(49 83539.45),(50 85205.02),(51 86501.67),(52 87091.63),(53 88110.21),(54 88698.72),(55 88676.73),(56 88452.945),(57 87973.7),(58 87487.18),(59 87367.74),(60 87367.19),(61 86618.83),(62 85763.88),(63 84582.14),(64 83368.555),(65 82379.3),(66 82042.54),(67 82284.97),(68 82234.38),(69 82443.67),(70 82749.305),(71 82203.484),(72 81604.73),(73 81201.19),(74 80445.45),(75 79910.14),(76 79874.39),(77 79959.83),(78 80345.875),(79 80540.38),
(1 5879.2104),(2 18231.686),(3 32379.607),(4 44517.19),(5 53649.78),(6 59760.277),(7 63547.38),(8 65904.164),(9 67155.52),(10 68139.93),(11 68754.875),(12 69257.26),(13 69051.44),(14 68585.65),(15 68732.57),(16 69323.84),(17 70336.03),(18 71710.85),(19 72598.016),(20 73505),(21 74621.04),(22 75579.414),(23 76226.875),(24 77044.58),(25 77527.12),(26 78305.42),(27 79024.85),(28 79557.266),(29 79867.445),(30 79688.03),(31 79198.93),(32 79154.85),(33 79078.695),(34 78972.125),(35 79563.44),(36 80469.086),(37 81896.99),(38 82930.195),(39 83818.33),(40 84427.83),(41 84554.22),(42 84468.25),(43 84262.85),(44 84230.72),(45 84633),(46 84569.49),(47 83985.3),(48 83711.53),(49 83538.25),(50 84698.1),(51 85671.66),(52 86040.5),(53 86044.27),(54 85698.54),(55 84968.51),(56 83789.35),(57 82239.734),(58 81059.46),(59 81110.43),(60 81607.15),(61 81758.65),(62 82070.914),(63 82315.19),(64 82108.414),(65 81756.44),(66 81648.445),(67 81481.08),(68 81165.89),(69 80587.21),(70 79981.33),(71 79087.55),(72 78592.47),(73 78579.805),(74 78771.65),(75 79403.82),(76 80067.03),(77 80572.62),(78 81076.9),(79 80872.82),
(1 5729.3135),(2 17353.701),(3 29990.695),(4 40490.766),(5 48269.3),(6 53928.22),(7 57784.63),(8 60343.3),(9 62039.67),(10 63238.2),(11 64169.793),(12 64893.29),(13 65224.184),(14 65860.234),(15 66733.44),(16 67980.914),(17 69632.39),(18 70869.46),(19 71593.914),(20 72121.58),(21 72546.86),(22 73087.52),(23 73513.95),(24 74333.7),(25 75230.15),(26 76477.484),(27 77288.24),(28 77755.24),(29 77818.51),(30 77940.4),(31 77937.48),(32 77647.64),(33 77312.67),(34 76845.64),(35 77787.94),(36 79179.86),(37 81020.414),(38 82586.086),(39 83822.92),(40 85077.71),(41 86540.016),(42 87514.16),(43 88090.914),(44 88504.414),(45 88707.72),(46 88542.77),(47 87749.3),(48 87140.87),(49 86323.984),(50 86663.88),(51 87252.055),(52 87408.875),(53 87507.086),(54 87537.25),(55 87563.86),(56 87461.48),(57 87151),(58 86013.58),(59 84354.7),(60 83099.14),(61 82241.805),(62 82139.93),(63 82088.586),(64 82426.75),(65 82763.086),(66 83078.125),(67 83620.29),(68 84103.62),(69 84562.98),(70 84398.62),(71 83568.35),(72 82982.36),(73 82350.78),(74 81741.71),(75 81803.586),(76 82062.234),(77 82695.945),(78 83232.55),(79 83491.14),
(1 5466.6655),(2 16526.014),(3 28570.959),(4 38596.047),(5 46274.926),(6 51343.883),(7 54728.367),(8 57279.945),(9 59609.43),(10 61657.566),(11 63204.7),(12 64279.66),(13 65149.176),(14 66188.375),(15 67270.414),(16 67921.375),(17 68411.49),(18 68484.6),(19 68828.93),(20 69209.99),(21 69659.02),(22 70599.19),(23 71522.03),(24 72883.75),(25 74047.914),(26 74898.625),(27 74645.63),(28 74440.92),(29 74680.71),(30 74828.49),(31 75267.61),(32 75698.29),(33 76022.766),(34 76187.125),(35 77088.13),(36 77963.734),(37 78903.16),(38 80599.85),(39 81837.74),(40 82157.67),(41 83408.41),(42 84287.37),(43 84452.77),(44 84927.08),(45 85726.19),(46 86463.49),(47 86699.11),(48 87188.13),(49 87217.96),(50 87070.14),(51 87301.305),(52 86969.98),(53 86575.34),(54 86388.81),(55 86360.21),(56 86286.86),(57 85661.82),(58 84497.32),(59 83232.586),(60 82079.414),(61 81164.87),(62 80215.164),(63 79422.516),(64 78814.02),(65 78705.414),(66 78565.69),(67 78101.25),(68 77373.234),(69 76588.71),(70 75399.95),(71 74840.29),(72 74581.03),(73 74506.62),(74 74368.945),(75 74664.69),(76 75176.64),(77 76098.61),(78 76913.35),(79 77722.266),
(1 5481.839),(2 16566.586),(3 29054.059),(4 39725.008),(5 47770.78),(6 53132.566),(7 56742.4),(8 59439.77),(9 61738.047),(10 63002.09),(11 63622.832),(12 64384.29),(13 65230.754),(14 66382.875),(15 67289.984),(16 68480.08),(17 69123.74),(18 69070.875),(19 68635.07),(20 68511.28),(21 68620.734),(22 68857.43),(23 69285.09),(24 69813.18),(25 70560.13),(26 70433.72),(27 69445.35),(28 68222.65),(29 67680.55),(30 67179.305),(31 66525.05),(32 65954.85),(33 66082.086),(34 66329.03),(35 67524.72),(36 68516.7),(37 69006.4),(38 68871.12),(39 68869.89),(40 68732.1),(41 68682.02),(42 69578.46),(43 70192.875),(44 70806.9),(45 71460.695),(46 72237.336),(47 72905.164),(48 74185.46),(49 75720.09),(50 76620.67),(51 76656.39),(52 76687.43),(53 77405.17),(54 78784.8),(55 80192.875),(56 81462.82),(57 82362.87),(58 82412.836),(59 81944.56),(60 81112.92),(61 80271.1),(62 79984.54),(63 79619.15),(64 78938.22),(65 77999.695),(66 76304.016),(67 74715.54),(68 73254.52),(69 72059.2),(70 71098.87),(71 70375.64),(72 69874.23),(73 69484.43),(74 69276.85),(75 69056.67),(76 69351.984),(77 70279.65),(78 71163.484),(79 72104.44),
