1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 79968.5),(2 287553.34),(3 640973.9),(4 1111552.9),(5 1710631.1),(6 2453861.8),(7 3313199.8),(8 4320218.5),(9 5494197),(10 6846318.5),(11 8387188),(12 10069677),(13 11898195),(14 13872037),(15 15899707),(16 17921342),(17 20020182),(18 22022088),(19 24213294),(20 26380534),(21 28526650),(22 30733712),(23 33042440),(24 35233404),(25 37494820),(26 39685050),(27 41890860),(28 44160948),(29 46418436),(30 48585196),(31 50680684),(32 52646524),(33 54641876),(34 56541108),(35 58317180),(36 60120212),(37 62060140),(38 63999904),(39 66142196),(40 68131750),(41 70288970),(42 72712776),(43 75359510),(44 78035280),(45 80679704),(46 83507400),(47 86574920),(48 90051800),(49 93386376),(50 96836344),(51 100344310),(52 103803130),(53 107344960),(54 111064260),(55 114724184),(56 118458530),(57 122194090),(58 125825410),(59 129769090),(60 133703144),(61 137699140),(62 141749060),(63 146303000),(64 150635870),(65 154837490),(66 159026510),(67 162896860),(68 166535550),(69 169629860),(70 172510500),(71 175399730),(72 177938050),(73 180311150),(74 182514480),(75 184564420),(76 186591700),(77 188452220),(78 190081740),(79 191178930),
(1 6213.275),(2 7933.9976),(3 8503.909),(4 9349.5205),(5 9922.17),(6 10107.677),(7 10674.405),(8 11138.371),(9 11137.211),(10 11625.569),(11 11783.783),(12 11954.792),(13 12278.72),(14 12673.426),(15 12985.833),(16 12655.908),(17 12632.119),(18 12855.607),(19 13004.262),(20 12899.813),(21 12824.982),(22 13248.532),(23 13557.465),(24 13738.013),(25 14080.889),(26 14068.396),(27 14571.212),(28 15252.88),(29 15369.373),(30 15644.51),(31 15629.995),(32 15812.398),(33 16095.352),(34 16159.316),(35 16425.926),(36 16735.775),(37 17089.123),(38 17038.15),(39 17139.56),(40 17380.537),(41 17469.463),(42 17807.992),(43 17711.66),(44 18131.32),(45 18352.88),(46 18283.754),(47 18156.145),(48 18116.611),(49 18238.967),(50 18295.977),(51 18079.775),(52 17774.652),(53 17732.98),(54 17784.922),(55 17597.553),(56 17523.883),(57 17634.06),(58 17463.322),(59 17376.025),(60 17492.072),(61 17371.596),(62 17174.396),(63 16757.123),(64 16737.182),(65 16605.646),(66 16470.004),(67 16705.627),(68 16359.434),(69 16169.302),(70 16083.405),(71 15749.46),(72 15890.519),(73 15954.067),(74 15862.968),(75 15858.962),(76 15773.092),(77 15637.083),(78 15675.739),(79 15506.04),
(1 6232.719),(2 8011.1504),(3 8840.727),(4 9631.45),(5 10046.481),(6 10311.261),(7 10808.246),(8 11103.447),(9 11577.091),(10 11968.914),(11 11961.895),(12 12163.737),(13 12297.446),(14 12642.208),(15 12801.499),(16 12480.841),(17 12681.812),(18 12712.874),(19 12975.655),(20 13030.231),(21 13069.566),(22 12985.916),(23 12937.366),(24 13285.406),(25 13659.145),(26 13670.584),(27 13994.473),(28 14147.531),(29 14182.457),(30 14565.832),(31 14599.725),(32 14729.124),(33 15068.549),(34 15343.562),(35 15568.501),(36 15913.789),(37 16308.608),(38 16505.387),(39 16737.205),(40 16783.586),(41 16959.7),(42 17545.605),(43 17690.264),(44 18019.492),(45 18233.154),(46 18117.21),(47 18114.988),(48 18150.992),(49 18186.17),(50 18184.701),(51 18144.771),(52 18061.219),(53 18187.344),(54 18281.443),(55 18317.576),(56 18260.38),(57 18094.852),(58 17825.928),(59 17623.791),(60 17544.283),(61 17729.625),(62 17604.664),(63 17157.191),(64 17288.986),(65 17098.232),(66 17111.936),(67 17340.994),(68 17046.408),(69 17023.736),(70 17071.951),(71 16851.168),(72 16999.322),(73 16768.025),(74 16587.928),(75 16345.138),(76 16219.924),(77 16162.449),(78 16404.326),(79 16265.196),
(1 5985.121),(2 7428.0415),(3 8008.397),(4 8958.888),(5 9351.222),(6 9427.406),(7 9830.882),(8 10164.668),(9 10388.151),(10 10612.007),(11 10926.432),(12 10980.952),(13 11025.271),(14 11512.045),(15 11623.462),(16 11701.6045),(17 11538.677),(18 11577.447),(19 11739.309),(20 11829.585),(21 12095.177),(22 12074.915),(23 12098.05),(24 12557.119),(25 12692.972),(26 12754.851),(27 13215.412),(28 13107.312),(29 13116.174),(30 13704.82),(31 13571.87),(32 13759.18),(33 14006.559),(34 14204.687),(35 14702.15),(36 14975.942),(37 15316.745),(38 15393.166),(39 15526.407),(40 15606.954),(41 15870.868),(42 15803.274),(43 16092.985),(44 16255.702),(45 16165.884),(46 16082.596),(47 16007.941),(48 15781.898),(49 15792.581),(50 15847.657),(51 15811.585),(52 15865.076),(53 15776.25),(54 15825.433),(55 15940.67),(56 15896.533),(57 15773.886),(58 15599.536),(59 15266.953),(60 15250.63),(61 15248.652),(62 15230.518),(63 14796.588),(64 14867.76),(65 14808.852),(66 14712.005),(67 14710.987),(68 14426.49),(69 14377.835),(70 14301.34),(71 14226.511),(72 14210.751),(73 13950.048),(74 13887.032),(75 13606.989),(76 13424.503),(77 13612.18),(78 13432.77),(79 13585.445),
(1 5948.501),(2 7489.976),(3 8039.658),(4 8593.896),(5 8940.734),(6 9122.562),(7 9369.895),(8 9534.465),(9 9835.994),(10 10147.639),(11 10330.517),(12 10513.184),(13 10740.647),(14 11158.559),(15 11232.736),(16 11169.691),(17 11073.1455),(18 11136.897),(19 11275.148),(20 11347.951),(21 11725.91),(22 11682.581),(23 11763.611),(24 11812.762),(25 11815.799),(26 11959.083),(27 12576.394),(28 12735.473),(29 12810.475),(30 13145.226),(31 13103.38),(32 13478.794),(33 13435.076),(34 13474.142),(35 13899.97),(36 14049.735),(37 14161.58),(38 14183.6455),(39 14027.558),(40 14036.075),(41 14106.308),(42 14044.836),(43 14366.184),(44 14233.173),(45 14032.636),(46 13998.561),(47 14041.848),(48 13980.049),(49 13796.558),(50 13831.248),(51 13898.924),(52 13669.306),(53 13433.871),(54 13447.361),(55 13452.248),(56 13309.804),(57 13316.116),(58 13285.601),(59 13109.85),(60 13200.532),(61 13429.157),(62 13449.7705),(63 13157.343),(64 13348.954),(65 13259.3),(66 13090.71),(67 12966.773),(68 12706.032),(69 12726.759),(70 12773.465),(71 12891.107),(72 12730.438),(73 12538.625),(74 12582.262),(75 12476.848),(76 12587.331),(77 12808.837),(78 12850.787),(79 12758.227),
(1 5747.7437),(2 7201.8696),(3 7867.215),(4 8284.39),(5 8788.788),(6 8989.119),(7 9117.923),(8 9060.888),(9 9388.258),(10 9755.185),(11 9975.75),(12 10159.009),(13 10325.914),(14 10552.824),(15 10632.126),(16 10673.487),(17 10501.472),(18 10517.737),(19 10676.238),(20 10752.763),(21 10840.293),(22 11013.764),(23 11162.35),(24 11266.759),(25 11508.758),(26 11557.099),(27 11880.345),(28 12005.249),(29 12140.918),(30 12447.865),(31 12452.75),(32 12681.062),(33 12899.968),(34 12886.323),(35 13084.685),(36 13016.608),(37 13245.546),(38 13474.232),(39 13434.879),(40 13830.7705),(41 14126.565),(42 14187.202),(43 14292.749),(44 14484.327),(45 14752.589),(46 14674.529),(47 14699.304),(48 14620.663),(49 14796.224),(50 14915.539),(51 14722.972),(52 14597.676),(53 14505.007),(54 14374.809),(55 14305.055),(56 14124.729),(57 14103.146),(58 13960.836),(59 13954.388),(60 13912.894),(61 13900.155),(62 14024.339),(63 13947.507),(64 13952.863),(65 13812.586),(66 13802.668),(67 13585.189),(68 13347.788),(69 13260.418),(70 13476.626),(71 13376.462),(72 13254.954),(73 13233.009),(74 13267.807),(75 13032.681),(76 12966.481),(77 13141.947),(78 13120.522),(79 12958.451),
(1 5550.231),(2 6768.763),(3 7569.482),(4 8033.4),(5 8681.291),(6 8782.003),(7 8975.327),(8 9120.004),(9 9398.834),(10 9627.65),(11 9808.494),(12 10026.909),(13 10367.102),(14 10605.763),(15 10611.827),(16 10685.778),(17 10689.462),(18 10858.71),(19 10853.204),(20 10854.846),(21 11044.956),(22 11365.508),(23 11407.885),(24 11497.444),(25 11656.104),(26 11878.203),(27 11992.069),(28 12109.167),(29 12334.342),(30 12379.076),(31 12533.367),(32 12691.774),(33 12796.116),(34 12878.148),(35 13052.006),(36 13177.069),(37 13048.198),(38 12889.64),(39 13032.023),(40 13318.306),(41 13512.232),(42 13348.547),(43 13414.321),(44 13746.664),(45 14023.025),(46 13999.804),(47 14077.925),(48 14047.216),(49 13977.235),(50 13974.961),(51 13943.464),(52 13944.847),(53 13650.86),(54 13537.461),(55 13653.508),(56 13638.897),(57 13456.859),(58 13624.637),(59 13653.238),(60 13596.045),(61 13523.55),(62 13677.0625),(63 13486.422),(64 13366.408),(65 13487.064),(66 13391.601),(67 13457.887),(68 13300.521),(69 13158.794),(70 13135.717),(71 12931.762),(72 13001.866),(73 13207.167),(74 13226.832),(75 13192.393),(76 13117.692),(77 13235.082),(78 12995.616),(79 12930.533),
(1 5399.0615),(2 6575.668),(3 7450.0933),(4 8108.3315),(5 8461.448),(6 8757.384),(7 8892.531),(8 8983.717),(9 9217.15),(10 9518.695),(11 9699.577),(12 10191.377),(13 10419.95),(14 10747.942),(15 10613.407),(16 10756.031),(17 10777.57),(18 11030.381),(19 11147.598),(20 11215.758),(21 11397.794),(22 11681.157),(23 11594.517),(24 11589.533),(25 11856.776),(26 12169.983),(27 12130.956),(28 12148.981),(29 12478.5625),(30 12563.755),(31 12631.469),(32 12703.606),(33 12814.706),(34 13127.658),(35 13461.999),(36 13669.839),(37 13705.752),(38 13624.0625),(39 14119.765),(40 14260.529),(41 14209.144),(42 14240.961),(43 14164.127),(44 14345.299),(45 14475.759),(46 14458.589),(47 14817.319),(48 14683.5205),(49 14538.074),(50 14623.037),(51 14907.183),(52 14908.718),(53 14785.131),(54 14817.423),(55 14844.361),(56 14836.288),(57 14790.235),(58 14837.812),(59 14853.527),(60 14647.912),(61 14626.905),(62 14724.343),(63 14526.704),(64 14543.8545),(65 14504.748),(66 14351.561),(67 14258.206),(68 14043.215),(69 13895.72),(70 13954.5205),(71 13815.8955),(72 13693.488),(73 13669.708),(74 13705.543),(75 13503.101),(76 13292.652),(77 13167.398),(78 12951.376),(79 12981.824),
(1 5169.3765),(2 6340.6914),(3 7171.3516),(4 7630.2505),(5 7827.796),(6 8069.2954),(7 8404.886),(8 8681.237),(9 8906.438),(10 8834.55),(11 9137.326),(12 9492.072),(13 9891.6045),(14 10099.127),(15 10058.313),(16 10157.353),(17 10202.343),(18 10291.206),(19 10414.804),(20 10578.188),(21 10657.725),(22 10811.231),(23 10989.491),(24 10949.658),(25 11092.6875),(26 11356.984),(27 11448.157),(28 11486.525),(29 11711.757),(30 11775.797),(31 12028.749),(32 12182.504),(33 12349.345),(34 12573.117),(35 12807.564),(36 13015.955),(37 13351.42),(38 13550.69),(39 13806.862),(40 13885.38),(41 14030.563),(42 14276.81),(43 14163.687),(44 14107.178),(45 14044.29),(46 13928.934),(47 13937.651),(48 13605.1045),(49 13478.818),(50 13784.202),(51 13592.895),(52 13494.279),(53 13556.463),(54 13585.883),(55 13596.852),(56 13572.315),(57 13673.822),(58 13606.6875),(59 13544.239),(60 13652.38),(61 13565.664),(62 13332.339),(63 13293.549),(64 13407.059),(65 13251.796),(66 13137.035),(67 13079.483),(68 12896.719),(69 12888.286),(70 12976.249),(71 12788.0205),(72 12810.693),(73 12907.072),(74 13020.267),(75 13088.469),(76 12791.425),(77 12703.998),(78 12666.882),(79 12554.004),
(1 5120.956),(2 6319.805),(3 7020.567),(4 7678.498),(5 7863.054),(6 8125.8525),(7 8161.0347),(8 8404.101),(9 8604.3),(10 8798.158),(11 8984.45),(12 9214.655),(13 9683.775),(14 9768.15),(15 9601.092),(16 9817.276),(17 9771.059),(18 9955.114),(19 10295.613),(20 10328.726),(21 10501.312),(22 10753.18),(23 10945.092),(24 11102.452),(25 11154.508),(26 11521.954),(27 11615.776),(28 11525.323),(29 11940.484),(30 12252.077),(31 12145.319),(32 12540.106),(33 12681.988),(34 12767.645),(35 13027.1),(36 13280.347),(37 13358.608),(38 13437.511),(39 13674.122),(40 14000.406),(41 14151.302),(42 14341.505),(43 14162.276),(44 14132.941),(45 14004.35),(46 13971.015),(47 14070.362),(48 14098.353),(49 14101.002),(50 14069.408),(51 14075.128),(52 14080.027),(53 14126.302),(54 13983.867),(55 13869.705),(56 13899.374),(57 13811.384),(58 13778.888),(59 13798.819),(60 13967.237),(61 13872.405),(62 13852.013),(63 13741.238),(64 13827.381),(65 13642.056),(66 13779.364),(67 13772.261),(68 13697.569),(69 13803.971),(70 13898.593),(71 13845.988),(72 13840.06),(73 13561.128),(74 13645.951),(75 13692.604),(76 13370.121),(77 13532.711),(78 13471.943),(79 13218.648),
(1 4866.5903),(2 6065.0747),(3 6878.188),(4 7371.4644),(5 7556.405),(6 7909.2183),(7 8063.1587),(8 8472.37),(9 8709.477),(10 8880.84),(11 9151.62),(12 9432.59),(13 9822.429),(14 9958.775),(15 9828.38),(16 10018.458),(17 10143.507),(18 10102.495),(19 10152.413),(20 10123.482),(21 10192.699),(22 10369.135),(23 10607.945),(24 10847.351),(25 10987.221),(26 11204.991),(27 11238.068),(28 11249.129),(29 11602.932),(30 11668.022),(31 11753.714),(32 12048.929),(33 12141.201),(34 12123.041),(35 12305.87),(36 12655.293),(37 12691.925),(38 12794.88),(39 13004.331),(40 13062.034),(41 13140.389),(42 13356.661),(43 13461.985),(44 13429.205),(45 13342.342),(46 13434.545),(47 13336.549),(48 13346.511),(49 13614.777),(50 13851.874),(51 13870.52),(52 13668.698),(53 13536.309),(54 13677.104),(55 13673.489),(56 13756.681),(57 13848.183),(58 13669.549),(59 13557),(60 13517.231),(61 13568.689),(62 13468.478),(63 13321.689),(64 13343.951),(65 13008.276),(66 13113.425),(67 13117.224),(68 13070.379),(69 13130.102),(70 13129.279),(71 12856.09),(72 12820.623),(73 12647.596),(74 12788.399),(75 12862.765),(76 12701.317),(77 12677.256),(78 12415.101),(79 12243.419),
(1 4995.5405),(2 5939.175),(3 6743.0376),(4 7045.6694),(5 7406.382),(6 7934.507),(7 7900.3237),(8 8225.099),(9 8588.422),(10 8958.021),(11 9260.548),(12 9471.301),(13 9898.817),(14 10162.608),(15 10042.422),(16 10282.208),(17 10210.134),(18 9977.936),(19 10160.965),(20 10136.793),(21 10207.115),(22 10230.372),(23 10431.087),(24 10572.299),(25 10554.52),(26 10880.363),(27 11121.395),(28 11291.867),(29 11552.691),(30 11575.767),(31 11887.229),(32 12130.277),(33 12321.306),(34 12570.336),(35 12556.85),(36 12891.541),(37 13027.482),(38 13233.352),(39 13500.305),(40 13580.295),(41 13766.3),(42 13933.669),(43 13924.652),(44 13972.35),(45 14054.02),(46 14161.684),(47 14218.116),(48 14363.972),(49 14493.356),(50 14458.155),(51 14382.781),(52 14562.622),(53 14651.39),(54 14801.301),(55 14721.067),(56 14794.518),(57 14745.432),(58 14586.699),(59 14436.65),(60 14481.256),(61 14469.907),(62 14437.125),(63 14268.835),(64 14321.856),(65 14058.07),(66 14012.432),(67 14028.681),(68 13999.075),(69 14087.257),(70 14017.132),(71 13784.368),(72 13726.41),(73 13669.301),(74 13760.651),(75 13674.117),(76 13691.332),(77 13674.799),(78 13467.168),(79 13409.261),
(1 4743.975),(2 5795.2695),(3 6696.782),(4 7103.167),(5 7491.8164),(6 7763.5537),(7 7853.327),(8 8123.864),(9 8469.523),(10 8908.726),(11 9146.657),(12 9364.78),(13 9635.447),(14 10038.469),(15 10033.673),(16 10097.62),(17 10023.763),(18 10139.222),(19 10313.66),(20 10416.867),(21 10332.232),(22 10342.919),(23 10597.642),(24 10701.953),(25 10845.205),(26 10989.24),(27 11074.342),(28 11298.761),(29 11465.443),(30 11590.511),(31 11839.79),(32 12040.668),(33 12219.433),(34 12435.411),(35 12364.211),(36 12466.042),(37 12475.656),(38 12640.264),(39 12892.808),(40 13097.662),(41 13347.621),(42 13501.367),(43 13503.559),(44 13510.295),(45 13497.044),(46 13648.227),(47 13705.361),(48 13551.048),(49 13588.338),(50 13506.973),(51 13556.248),(52 13577.437),(53 13508.302),(54 13410.416),(55 13397.939),(56 13374.53),(57 13346.031),(58 13134.981),(59 13033.124),(60 12967.476),(61 12850.055),(62 12799.753),(63 12545.209),(64 12480.0625),(65 12440.424),(66 12314.574),(67 12188.853),(68 12150.382),(69 12333.177),(70 12312.527),(71 12243.948),(72 12194.318),(73 12011.922),(74 11833.418),(75 11720.251),(76 11737.272),(77 11847.786),(78 11719.262),(79 11687.668),
(1 4614.2285),(2 5794.603),(3 6553.3696),(4 6959.666),(5 7283.846),(6 7597.2607),(7 7823.9307),(8 8026.9917),(9 8313.298),(10 8523.972),(11 8570.147),(12 8917.68),(13 9181.183),(14 9159.408),(15 9204.402),(16 9363.239),(17 9155.012),(18 9353.083),(19 9539.416),(20 9575.129),(21 9532.942),(22 9569.99),(23 9632.092),(24 9515.668),(25 9704.323),(26 9996.478),(27 10094.802),(28 10223.104),(29 10258.337),(30 10213.221),(31 10359.192),(32 10402.786),(33 10709.429),(34 10686.76),(35 10516.764),(36 10672.338),(37 10741.459),(38 10859.788),(39 10857.193),(40 10889.172),(41 10995.924),(42 10923.866),(43 10944.33),(44 11118.916),(45 11246.75),(46 11281.062),(47 11331.211),(48 11267.726),(49 11271.145),(50 11126.438),(51 11166.371),(52 11332.593),(53 11400.413),(54 11262.859),(55 11340.645),(56 11477.883),(57 11391.959),(58 11241.276),(59 11152.255),(60 11110.117),(61 10937.123),(62 11063.116),(63 11072.874),(64 11118.877),(65 11097.945),(66 10959.127),(67 10921.867),(68 10909.0625),(69 11073.913),(70 11119.14),(71 11040.325),(72 11011.104),(73 10830.496),(74 10751.665),(75 10735.474),(76 10855.269),(77 10873.506),(78 10887.466),(79 10854.536),
(1 4735.2266),(2 5963.5073),(3 6622.5),(4 7084.086),(5 7400.446),(6 7832.5264),(7 7824.085),(8 8062.1465),(9 8292.232),(10 8479.584),(11 8745.278),(12 8913.019),(13 9141.98),(14 9101.922),(15 8950.517),(16 9161.768),(17 8974.68),(18 9089.55),(19 9202.108),(20 9342.765),(21 9313.107),(22 9430.947),(23 9498.578),(24 9495.477),(25 9811.19),(26 10063.251),(27 10202.195),(28 10340.173),(29 10181.511),(30 10414.543),(31 10633.037),(32 10809.575),(33 11022.043),(34 10857.282),(35 10896.099),(36 11188.963),(37 11277.667),(38 11550.593),(39 11508.283),(40 11369.386),(41 11486.075),(42 11457.752),(43 11399.321),(44 11654.392),(45 11595.987),(46 11577.582),(47 11464.109),(48 11418.629),(49 11353.877),(50 11417.377),(51 11544.161),(52 11495.1),(53 11375.426),(54 11177.744),(55 11250.7295),(56 11339.14),(57 11346.482),(58 11296.282),(59 11009.907),(60 10834.119),(61 10780.515),(62 10789.309),(63 10784.252),(64 10828.635),(65 10942.225),(66 10915.411),(67 11036.93),(68 10827.593),(69 10862.452),(70 10913.601),(71 10779.684),(72 10735.095),(73 10597.075),(74 10688.153),(75 10587.614),(76 10609.239),(77 10628.823),(78 10488.574),(79 10470.999),
(1 4602.051),(2 5852.893),(3 6563.2217),(4 7008.2554),(5 7297.672),(6 7679.607),(7 7903.595),(8 7956.5566),(9 8269.739),(10 8396.417),(11 8593.576),(12 8818.251),(13 8768.873),(14 8883.798),(15 8784.626),(16 8894.165),(17 8772.097),(18 8990.173),(19 8835.009),(20 8972.481),(21 9033.533),(22 9016.569),(23 9089.197),(24 9218.012),(25 9516.363),(26 9456.127),(27 9692.233),(28 9671.902),(29 9677.354),(30 9902.318),(31 9837.982),(32 10083.886),(33 10191.593),(34 10239.439),(35 10435.562),(36 10557.813),(37 10635.267),(38 10678.996),(39 10755.268),(40 10869.963),(41 11122.21),(42 11059.567),(43 10888.27),(44 10964.606),(45 10895.251),(46 10791.318),(47 10852.176),(48 10481.171),(49 10581.256),(50 10783.142),(51 10712.571),(52 10370.863),(53 10317.322),(54 10272.359),(55 10325.982),(56 10337.929),(57 10278.799),(58 10127.398),(59 10210.057),(60 10299.1),(61 10135.042),(62 10159.056),(63 10176.524),(64 10296.6),(65 10232.837),(66 10261.09),(67 10448.501),(68 10368.842),(69 10528.129),(70 10736.563),(71 10556.436),(72 10510.278),(73 10510.407),(74 10442.621),(75 10526.529),(76 10604.84),(77 10653.116),(78 10642.599),(79 10589.786),
(1 4659.9287),(2 5980.715),(3 6700.267),(4 6951.7993),(5 7183.616),(6 7443.905),(7 7659.2637),(8 7713.0996),(9 7987.0166),(10 8096.4336),(11 8342.076),(12 8573.257),(13 8643.957),(14 8944.628),(15 9047.254),(16 8864.612),(17 8861.878),(18 9048.462),(19 8923.692),(20 9069.676),(21 9203.418),(22 9115.516),(23 9138.819),(24 9347.188),(25 9724.137),(26 9660.002),(27 9844.667),(28 9905.828),(29 9926.717),(30 10152.574),(31 10165.987),(32 10215.624),(33 10243.256),(34 10252.192),(35 10407.973),(36 10501.771),(37 10665.469),(38 10810.837),(39 11083.897),(40 11121.596),(41 11366.764),(42 11534.956),(43 11523.105),(44 11435.243),(45 11249.082),(46 11266.889),(47 11178.256),(48 11053.662),(49 11187.294),(50 11120.615),(51 10897.21),(52 10801.345),(53 10806.476),(54 10744.962),(55 10586.471),(56 10638.457),(57 10751.822),(58 10626.497),(59 10657.451),(60 10643),(61 10555.168),(62 10713.572),(63 10691.317),(64 10733.604),(65 10682.152),(66 10834.796),(67 10976.442),(68 10968.336),(69 11047.252),(70 11140.723),(71 11025.532),(72 10890.781),(73 10856.353),(74 10963.697),(75 11185.822),(76 11125.364),(77 11013.581),(78 10964.521),(79 10918.717),
(1 4418.3154),(2 5577.027),(3 6194.2104),(4 6626.19),(5 6859.966),(6 7048.8105),(7 7379.437),(8 7506.418),(9 7551.4443),(10 7852.857),(11 8140.2896),(12 8392.348),(13 8533.778),(14 8655.502),(15 8737.369),(16 8647.0205),(17 8690.256),(18 8633.488),(19 8546.723),(20 8753.689),(21 8798.132),(22 8727.098),(23 8657.831),(24 8787.672),(25 9051.113),(26 9064.478),(27 9279.068),(28 9357.442),(29 9232.483),(30 9270.123),(31 9360.756),(32 9402.417),(33 9395.682),(34 9525.577),(35 9638.553),(36 9655.223),(37 9597.829),(38 9741.087),(39 9958.909),(40 10032.296),(41 10067.776),(42 10133.929),(43 10030.852),(44 10034.987),(45 10147.924),(46 10018.396),(47 10019.732),(48 9883.356),(49 9945.029),(50 10132.865),(51 9978.068),(52 9937.482),(53 9830.61),(54 9740.171),(55 9830.544),(56 9890.004),(57 10067.268),(58 10017.271),(59 9994.147),(60 9983.871),(61 9921.265),(62 9946.308),(63 10006.638),(64 10045.923),(65 10083.3125),(66 10116.035),(67 10177.989),(68 10200.055),(69 10141.109),(70 10324.385),(71 10287.793),(72 10264.682),(73 10271.617),(74 10320.299),(75 10304.405),(76 10208.374),(77 10193.849),(78 10241.845),(79 10155.988),
