1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 979.33704),(2 1366.2123),(3 1556.5939),(4 1742.3611),(5 1938.2305),(6 2064.9463),(7 2182.9834),(8 2296.644),(9 2418.8108),(10 2506.7173),(11 2601.1047),(12 2667.1165),(13 2722.6987),(14 2759.065),(15 2834.7998),(16 2884.8367),(17 2908.1216),(18 2909.2725),(19 2946.1904),(20 3009.5327),(21 3078.3926),(22 3131.3694),(23 3220.0117),(24 3256.0461),(25 3305.8855),(26 3339.3015),(27 3400.0269),(28 3473.1577),(29 3519.1921),(30 3593.39),(31 3618.446),(32 3692.2126),(33 3722.0923),(34 3760.7495),(35 3782.0679),(36 3824.2458),(37 3806.3481),(38 3862.8586),(39 3878.0515),(40 3866.7214),(41 3901.561),(42 3867.173),(43 3849.508),(44 3802.3257),(45 3739.7632),(46 3716.034),(47 3678.6604),(48 3615.6255),(49 3570.0078),(50 3527.0278),(51 3473.0166),(52 3431.929),(53 3346.3274),(54 3300.3496),(55 3265.6672),(56 3235.7483),(57 3201.8245),(58 3162.6914),(59 3132.3684),(60 3132.135),(61 3116.3542),(62 3101.8225),(63 3071.3464),(64 3080.7004),(65 3069.054),(66 3094.8044),(67 3139.5488),(68 3137.258),(69 3142.7476),(70 3167.2449),(71 3187.2288),(72 3179.2744),(73 3191.2305),(74 3187.085),(75 3207.3728),(76 3198.1858),(77 3211.392),(78 3201.4263),(79 3186.5957),
(1 973.6301),(2 1327.9136),(3 1510.2734),(4 1676.1478),(5 1836.0127),(6 1951.942),(7 2052.3843),(8 2153.8865),(9 2266.1965),(10 2337.4246),(11 2420.6116),(12 2463.619),(13 2526.7927),(14 2551.245),(15 2616.2449),(16 2650.7808),(17 2661.191),(18 2696.5588),(19 2742.5073),(20 2773.46),(21 2867.9238),(22 2943.9556),(23 2982.898),(24 3021.7058),(25 3089.2441),(26 3135.5527),(27 3217.6162),(28 3292.088),(29 3394.247),(30 3472.3337),(31 3531.667),(32 3615.4111),(33 3689.2402),(34 3727.9192),(35 3752.0605),(36 3786.453),(37 3813.8928),(38 3846.1563),(39 3842.692),(40 3862.2122),(41 3868.1777),(42 3840.196),(43 3818.9126),(44 3797.1553),(45 3782.4727),(46 3737.765),(47 3665.2144),(48 3627.35),(49 3582.7854),(50 3541.505),(51 3479.4797),(52 3422.4004),(53 3378.1108),(54 3286.0886),(55 3232.6553),(56 3170.9521),(57 3114.88),(58 3081.7913),(59 3031.9128),(60 3018.647),(61 2992.146),(62 2975.3035),(63 2959.5237),(64 2954.1829),(65 2930.2866),(66 2942.5823),(67 2935.0786),(68 2947.0188),(69 2990.1826),(70 3000.6897),(71 3006.3455),(72 2997.8513),(73 2997.4683),(74 2989.1843),(75 3005.0413),(76 2995.942),(77 2990.46),(78 3004.8687),(79 2988.4043),
(1 959.1953),(2 1330.2407),(3 1482.7006),(4 1669.9036),(5 1834.943),(6 1942.6416),(7 2046.1027),(8 2175.7163),(9 2300.455),(10 2389.4873),(11 2477.1558),(12 2541.2588),(13 2584.7747),(14 2630.5586),(15 2673.3086),(16 2699.274),(17 2717.1865),(18 2721.715),(19 2772.5928),(20 2807.488),(21 2870.8037),(22 2940.0574),(23 2988.1196),(24 3052.8652),(25 3130.119),(26 3196.2837),(27 3301.663),(28 3383.693),(29 3470.7847),(30 3530.5535),(31 3614.0288),(32 3728.6052),(33 3771.906),(34 3809.3223),(35 3847.519),(36 3881.3542),(37 3915.1074),(38 3937.9236),(39 3953.379),(40 3951.5037),(41 3947.2292),(42 3942.9607),(43 3920.5151),(44 3903.8354),(45 3868.4736),(46 3805.1348),(47 3740.2495),(48 3678.7505),(49 3598.4421),(50 3557.3826),(51 3492.4653),(52 3413.995),(53 3370.4849),(54 3294.912),(55 3239.7944),(56 3186.0867),(57 3130.6897),(58 3111.1047),(59 3078.6882),(60 3069.6238),(61 3034.92),(62 3013.7146),(63 3023.3008),(64 2995.991),(65 2984.122),(66 2992.6685),(67 2972.0098),(68 2974.826),(69 3011.0298),(70 3041.753),(71 3059.2168),(72 3051.7153),(73 3037.6707),(74 3042.389),(75 3056.3357),(76 3040.562),(77 3050.3293),(78 3033.6191),(79 3012.2478),
(1 957.26166),(2 1311.8076),(3 1493.0554),(4 1635.2208),(5 1807.2139),(6 1925.72),(7 2011.2552),(8 2145.4268),(9 2275.8616),(10 2350.5667),(11 2446.2617),(12 2487.026),(13 2548.1233),(14 2577.275),(15 2612.5835),(16 2656.4539),(17 2675.233),(18 2687.313),(19 2742.9412),(20 2799.5833),(21 2850.8691),(22 2892.2021),(23 2957.0742),(24 2999.0874),(25 3070.7483),(26 3146.3413),(27 3213.2012),(28 3314.2725),(29 3427.6465),(30 3482.563),(31 3583.6187),(32 3688.9063),(33 3729.5688),(34 3791.9722),(35 3835.953),(36 3894.0427),(37 3920.1255),(38 3970.6973),(39 3982.9685),(40 3985.5398),(41 3967.6123),(42 3971.9216),(43 3971.4246),(44 3960.286),(45 3943.7283),(46 3898.1787),(47 3828.945),(48 3758.9065),(49 3702.711),(50 3624.3079),(51 3575.3647),(52 3496.5486),(53 3406.7202),(54 3322.66),(55 3265.1145),(56 3204.619),(57 3142.971),(58 3075.4497),(59 3040.4722),(60 2978.5625),(61 2966.2212),(62 2909.0642),(63 2906.2002),(64 2882.65),(65 2879.3298),(66 2883.6323),(67 2888.7383),(68 2883.4827),(69 2921.631),(70 2955.391),(71 2955.9792),(72 2945.793),(73 2955.454),(74 2939.9517),(75 2964.1191),(76 2992.5063),(77 2984.862),(78 2991.65),(79 2993.3752),
(1 938.4004),(2 1272.6974),(3 1430.5349),(4 1607.4061),(5 1774.5337),(6 1894.701),(7 2002.8989),(8 2113.1968),(9 2262.0938),(10 2367.2012),(11 2453.4763),(12 2508.7195),(13 2587.2935),(14 2613.483),(15 2695.5283),(16 2729.3325),(17 2751.8452),(18 2791.9673),(19 2835.7979),(20 2889.1226),(21 2942.1018),(22 3004.1638),(23 3049.1296),(24 3097.9219),(25 3163.549),(26 3216.0525),(27 3307.829),(28 3389.633),(29 3487.4265),(30 3563.7458),(31 3638.421),(32 3708.1365),(33 3752.5725),(34 3786.9668),(35 3844.8257),(36 3909.6204),(37 3919.419),(38 3951.806),(39 4005.256),(40 4014.759),(41 3994.3389),(42 3979.2922),(43 3971.5994),(44 3949.159),(45 3909.215),(46 3881.7676),(47 3813.7058),(48 3759.7405),(49 3707.3599),(50 3637.4023),(51 3569.1277),(52 3498.4954),(53 3439.0647),(54 3367.6355),(55 3299.242),(56 3267.6921),(57 3207.032),(58 3166.8208),(59 3119.4937),(60 3055.5146),(61 3030.144),(62 3004.644),(63 2981.5286),(64 2970.3816),(65 2961.2715),(66 2972.6775),(67 2976.3535),(68 2948.0618),(69 2953.2676),(70 2950.6687),(71 2947.3735),(72 2941.3657),(73 2946.0938),(74 2933.6821),(75 2938.696),(76 2921.459),(77 2897.6843),(78 2908.715),(79 2890.6948),
(1 930.0008),(2 1248.358),(3 1422.1853),(4 1619.8685),(5 1773.4965),(6 1888.8503),(7 2004.0566),(8 2114.4604),(9 2230.4795),(10 2359.53),(11 2425.3066),(12 2473.8442),(13 2529.2888),(14 2558.9407),(15 2622.4705),(16 2629.2566),(17 2650.2021),(18 2714.1575),(19 2735.6045),(20 2784.6226),(21 2828.3438),(22 2873.085),(23 2968.3567),(24 3024.0173),(25 3096.948),(26 3159.2607),(27 3225.9521),(28 3322.0105),(29 3431.238),(30 3525.946),(31 3584.3445),(32 3679.4197),(33 3735.9336),(34 3802.1558),(35 3846.8818),(36 3878.1724),(37 3917.1953),(38 3952.938),(39 3981.3862),(40 3985.07),(41 3996.5415),(42 4027.1719),(43 4049.3513),(44 4028.1514),(45 4017.0022),(46 3972.2517),(47 3903.8696),(48 3868.137),(49 3793.3884),(50 3687.7424),(51 3618.8896),(52 3551.1335),(53 3479.8047),(54 3410.2163),(55 3350.7163),(56 3285.4507),(57 3236.3062),(58 3202.3398),(59 3175.7983),(60 3139.155),(61 3145.3042),(62 3113.8093),(63 3095.4167),(64 3054.4944),(65 3035.2737),(66 3032.4292),(67 3036.9258),(68 3026.3289),(69 3046.8064),(70 3058.6023),(71 3057.0264),(72 3046.87),(73 3084.4946),(74 3059.207),(75 3052.7893),(76 3068.0742),(77 3053.1023),(78 3028.2969),(79 3005.3735),
(1 927.0597),(2 1247.2909),(3 1425.0262),(4 1608.1998),(5 1763.2413),(6 1875.3799),(7 1990.664),(8 2098.0012),(9 2199.122),(10 2311.4534),(11 2400.6313),(12 2464.9915),(13 2532.4724),(14 2561.227),(15 2588.8452),(16 2600.2588),(17 2609.391),(18 2675.431),(19 2678.524),(20 2727.8928),(21 2791.6204),(22 2830.032),(23 2920.7588),(24 2985.9556),(25 3036.7603),(26 3095.8706),(27 3183.671),(28 3285.5967),(29 3404.2327),(30 3499.0513),(31 3576.4814),(32 3673.843),(33 3721.368),(34 3800.2705),(35 3877.1921),(36 3929.4717),(37 3971.0305),(38 4051.2957),(39 4089.8665),(40 4084.7815),(41 4124.6313),(42 4136.4785),(43 4152.467),(44 4126.9883),(45 4126.425),(46 4111.646),(47 4060.0132),(48 4005.9956),(49 3933.8938),(50 3857.2773),(51 3807.8955),(52 3727.3547),(53 3650.2114),(54 3573.7322),(55 3515.884),(56 3450.2253),(57 3415.5024),(58 3376.9612),(59 3370.5708),(60 3322.8765),(61 3279.3794),(62 3247.2986),(63 3246.6985),(64 3207.9785),(65 3174.5544),(66 3161.4631),(67 3178.4014),(68 3171.4343),(69 3195.634),(70 3206.4517),(71 3201.316),(72 3203.1384),(73 3206.8267),(74 3190.7117),(75 3170.5789),(76 3152.8916),(77 3129.3936),(78 3106.3262),(79 3067.948),
(1 909.0577),(2 1238.0487),(3 1410.3187),(4 1579.786),(5 1746.5701),(6 1857.8248),(7 1963.5854),(8 2101.0688),(9 2195.1602),(10 2285.4595),(11 2397.3667),(12 2466.0474),(13 2509.315),(14 2559.4795),(15 2597.1714),(16 2588.5886),(17 2607.7764),(18 2631.3828),(19 2653.9756),(20 2654.8328),(21 2703.8872),(22 2726.891),(23 2791.4065),(24 2854.1504),(25 2915.8606),(26 2971.1316),(27 3056.8867),(28 3166.0718),(29 3279.8406),(30 3390.6711),(31 3460.7458),(32 3558.6646),(33 3626.5576),(34 3697.5027),(35 3732.394),(36 3785.364),(37 3796.1472),(38 3851.6292),(39 3858.833),(40 3895.0093),(41 3877.2556),(42 3884.2122),(43 3887.375),(44 3878.2708),(45 3831.2607),(46 3765.0369),(47 3700.1118),(48 3622.3928),(49 3545.7349),(50 3469.1584),(51 3420.9907),(52 3333.6091),(53 3247.6506),(54 3179.3293),(55 3110.8113),(56 3051.37),(57 3019.6484),(58 2987.9407),(59 2969.3772),(60 2943.4893),(61 2900.675),(62 2881.1892),(63 2888.341),(64 2874.0789),(65 2872.9976),(66 2875.3936),(67 2876.6694),(68 2888.9592),(69 2932.6497),(70 2921.2407),(71 2955.3345),(72 2984.202),(73 2981.2117),(74 2950.7185),(75 2950.4692),(76 2917.8489),(77 2896.0166),(78 2867.798),(79 2840.273),
(1 901.7057),(2 1226.8844),(3 1381.712),(4 1534.2118),(5 1691.937),(6 1810.5325),(7 1904.4725),(8 2012.5153),(9 2101.2693),(10 2189.159),(11 2255.9248),(12 2318.1917),(13 2381.939),(14 2435.7817),(15 2458.7288),(16 2486.8608),(17 2532.0093),(18 2573.904),(19 2621.416),(20 2640.922),(21 2697.7761),(22 2755.153),(23 2822.207),(24 2850.6538),(25 2924.682),(26 2988.3154),(27 3063.0027),(28 3162.6777),(29 3274.4124),(30 3390.288),(31 3473.237),(32 3550.2195),(33 3644.6213),(34 3712.8318),(35 3757.5608),(36 3838.6409),(37 3878.7527),(38 3936.4722),(39 3952.3196),(40 3979.6377),(41 4007.308),(42 4042.4353),(43 4054.7236),(44 4053.2466),(45 4037.4512),(46 4003.9),(47 3978.053),(48 3918.8662),(49 3836.8167),(50 3776.2024),(51 3709.099),(52 3633.942),(53 3554.2944),(54 3464.674),(55 3380.6567),(56 3308.5154),(57 3273.3596),(58 3211.786),(59 3161.7832),(60 3146.8347),(61 3106.918),(62 3061.7776),(63 3054.2512),(64 3020.8147),(65 3022.06),(66 3009.3105),(67 2978.2417),(68 2977.3774),(69 2969.266),(70 2971.6018),(71 2992.9094),(72 2995.0542),(73 2981.538),(74 2961.3936),(75 2952.124),(76 2955.6228),(77 2953.2126),(78 2931.6448),(79 2924.9739),
(1 872.05133),(2 1180.0592),(3 1328.6764),(4 1499.7084),(5 1639.7811),(6 1757.0538),(7 1856.5092),(8 1958.2738),(9 2070.479),(10 2152.7356),(11 2209.6301),(12 2270.9917),(13 2318.6587),(14 2371.4038),(15 2426.07),(16 2456.3367),(17 2491.3538),(18 2521.138),(19 2535.3381),(20 2562.9385),(21 2602.4326),(22 2647.0647),(23 2714.0105),(24 2746.417),(25 2791.5962),(26 2853.997),(27 2926.4043),(28 3013.2227),(29 3079.737),(30 3146.9163),(31 3256.7583),(32 3314.7593),(33 3366.15),(34 3443.0232),(35 3477.4526),(36 3543.1655),(37 3586.9285),(38 3647.8286),(39 3685.0806),(40 3720.0369),(41 3749.09),(42 3772.1387),(43 3781.5447),(44 3779.0688),(45 3770.3467),(46 3729.5715),(47 3689.178),(48 3632.0884),(49 3587.608),(50 3524.6406),(51 3496.0667),(52 3436.8337),(53 3370.2012),(54 3307.0388),(55 3245.9255),(56 3201.7793),(57 3144.1),(58 3105.4207),(59 3062.0466),(60 3027.6262),(61 3005.1729),(62 2977.3162),(63 2965.642),(64 2917.356),(65 2903.4744),(66 2891.2007),(67 2883.1045),(68 2875.6157),(69 2886.7908),(70 2889.9573),(71 2894.9465),(72 2898.7285),(73 2878.795),(74 2858.231),(75 2869.877),(76 2833.051),(77 2807.4126),(78 2788.6177),(79 2780.823),
(1 867.3824),(2 1164.5203),(3 1329.4473),(4 1526.0145),(5 1700.0619),(6 1813.3002),(7 1906.0468),(8 2005.0319),(9 2098.9656),(10 2162.7173),(11 2225.7336),(12 2262.6436),(13 2328.3372),(14 2356.0781),(15 2387.7507),(16 2400.904),(17 2431.525),(18 2452.7148),(19 2489.4265),(20 2516.623),(21 2548.658),(22 2586.047),(23 2643.6274),(24 2685.6233),(25 2738.9148),(26 2792.5195),(27 2854.2097),(28 2939.8657),(29 3028.911),(30 3117.0059),(31 3206.937),(32 3277.9783),(33 3344.1265),(34 3412.4863),(35 3454.096),(36 3485.9583),(37 3531.3997),(38 3572.2463),(39 3628.0818),(40 3645.8152),(41 3693.4995),(42 3734.7456),(43 3732.115),(44 3740.8428),(45 3725.2773),(46 3711.3684),(47 3689.2664),(48 3660.5347),(49 3623.6782),(50 3587.846),(51 3539.2627),(52 3470.383),(53 3405.9082),(54 3356.16),(55 3288.1128),(56 3215.6023),(57 3156.66),(58 3122.421),(59 3101.5828),(60 3037.9197),(61 2990.2195),(62 2956.7942),(63 2954.0232),(64 2895.897),(65 2879.3625),(66 2885.557),(67 2890.2283),(68 2878.967),(69 2871.5476),(70 2871.7703),(71 2891.479),(72 2871.753),(73 2862.7227),(74 2856.8125),(75 2854.597),(76 2812.006),(77 2777.4001),(78 2778.997),(79 2772.5671),
(1 841.5552),(2 1141.2264),(3 1278.886),(4 1485.2249),(5 1633.4869),(6 1737.7549),(7 1844.1129),(8 1956.4962),(9 2088.2783),(10 2159.8691),(11 2239.1196),(12 2296.4302),(13 2361.58),(14 2388.1943),(15 2432.3843),(16 2457.843),(17 2471.2053),(18 2500.9146),(19 2521.1802),(20 2534.7173),(21 2579.143),(22 2601.41),(23 2644.2322),(24 2694.9063),(25 2744.4475),(26 2809.9268),(27 2906.4612),(28 3000.513),(29 3085.6233),(30 3172.258),(31 3259.185),(32 3367.999),(33 3421.5374),(34 3500.2617),(35 3565.1948),(36 3617.0313),(37 3681.0042),(38 3744.1719),(39 3790.4243),(40 3820.2888),(41 3875.369),(42 3910.508),(43 3917.6704),(44 3946.5605),(45 3939.8523),(46 3957.7568),(47 3948.077),(48 3940.402),(49 3905.6765),(50 3867.2551),(51 3837.6965),(52 3774.486),(53 3699.1934),(54 3637.805),(55 3561.6382),(56 3506.55),(57 3452.4539),(58 3417.5762),(59 3365.6196),(60 3308.2202),(61 3248.5857),(62 3200.532),(63 3173.6091),(64 3151.829),(65 3151.2166),(66 3164.4204),(67 3166.9153),(68 3123.1067),(69 3118.4998),(70 3109.603),(71 3103.5874),(72 3098.8726),(73 3119.941),(74 3133.569),(75 3142.7556),(76 3103.9568),(77 3085.9678),(78 3055.877),(79 3015.2205),
(1 845.93964),(2 1133.1937),(3 1287.5586),(4 1458.579),(5 1592.2063),(6 1677.8313),(7 1749.6437),(8 1859.0082),(9 1948.878),(10 2021.3049),(11 2094.5046),(12 2164.3765),(13 2227.073),(14 2279.4194),(15 2329.886),(16 2352.4258),(17 2383.706),(18 2415.7993),(19 2461.9543),(20 2474.9832),(21 2513.0107),(22 2532.907),(23 2597.4922),(24 2633.027),(25 2676.8916),(26 2717.246),(27 2795.5286),(28 2865.8364),(29 2957.1045),(30 3033.3423),(31 3119.441),(32 3202.7908),(33 3265.8008),(34 3317.5842),(35 3381.0825),(36 3453.1523),(37 3526.8662),(38 3594.206),(39 3657.925),(40 3704.0952),(41 3740.8562),(42 3765.4412),(43 3786.248),(44 3819.533),(45 3821.5889),(46 3797.3),(47 3744.391),(48 3692.6846),(49 3666.637),(50 3621.936),(51 3588.197),(52 3517.6338),(53 3439.0566),(54 3380.9822),(55 3318.5637),(56 3274.187),(57 3220.649),(58 3182.3037),(59 3129.3257),(60 3079.32),(61 3018.4243),(62 2995.7644),(63 2974.519),(64 2939.7642),(65 2916.1758),(66 2916.7607),(67 2917.4514),(68 2893.1199),(69 2897.0598),(70 2909.8977),(71 2913.773),(72 2913.3635),(73 2918.6836),(74 2923.1),(75 2923.1775),(76 2892.7239),(77 2906.688),(78 2891.3662),(79 2875.9736),
(1 813.07825),(2 1088.5051),(3 1253.7576),(4 1401.8516),(5 1539.7855),(6 1645.6682),(7 1740.0845),(8 1858.3241),(9 1978.2598),(10 2072.4202),(11 2122.7349),(12 2168.094),(13 2223.8315),(14 2248.7437),(15 2286.5984),(16 2297.3015),(17 2339.6155),(18 2350.663),(19 2375.216),(20 2396.039),(21 2443.406),(22 2487.8413),(23 2539.7512),(24 2600.3215),(25 2649.9492),(26 2720.7937),(27 2796.6023),(28 2893.8284),(29 3000.9595),(30 3091.2568),(31 3183.8997),(32 3281.6995),(33 3373.5017),(34 3441.6074),(35 3520.403),(36 3600.4998),(37 3671.04),(38 3720.6045),(39 3774.0872),(40 3860.7092),(41 3909.5374),(42 3965.189),(43 3975.968),(44 4008.1467),(45 4017.2104),(46 4035.226),(47 4016.421),(48 3987.8381),(49 3948.524),(50 3907.664),(51 3874.5547),(52 3805.0854),(53 3738.419),(54 3642.9758),(55 3596.5825),(56 3523.291),(57 3450.4316),(58 3407.6812),(59 3350.9304),(60 3287.411),(61 3234.346),(62 3190.6926),(63 3124.817),(64 3084.7566),(65 3060.0964),(66 3048.6038),(67 3017.626),(68 3033.0315),(69 3014.929),(70 3026.0823),(71 3028.242),(72 3002.9663),(73 2974.9614),(74 2972.6545),(75 2972.8616),(76 2951.7363),(77 2918.0603),(78 2896.2341),(79 2877.126),
(1 779.15283),(2 1046.6136),(3 1208.7806),(4 1379.8217),(5 1493.4329),(6 1603.4927),(7 1696.2479),(8 1800.0426),(9 1923.3894),(10 2005.8911),(11 2053.7456),(12 2111.6133),(13 2188.0383),(14 2198.37),(15 2228.4614),(16 2238.253),(17 2263.5977),(18 2284.908),(19 2301.269),(20 2336.7898),(21 2384.8296),(22 2410.1855),(23 2488.0242),(24 2529.072),(25 2574.0105),(26 2646.4375),(27 2740.4912),(28 2825.4834),(29 2921.0713),(30 2998.4639),(31 3079.235),(32 3171.777),(33 3277.0002),(34 3343.4358),(35 3407.8984),(36 3487.223),(37 3560.8105),(38 3625.2917),(39 3705.8828),(40 3755.7659),(41 3807.8096),(42 3866.4685),(43 3923.5698),(44 3944.5874),(45 3953.747),(46 3953.2776),(47 3930.1377),(48 3883.7715),(49 3821.947),(50 3759.4575),(51 3693.2043),(52 3603.296),(53 3519.2075),(54 3446.2288),(55 3366.1226),(56 3298.4175),(57 3214.178),(58 3144.223),(59 3087.8052),(60 3032.7742),(61 2996.4988),(62 2986.8162),(63 2951.2124),(64 2894.4534),(65 2871.5027),(66 2833.7634),(67 2821.3496),(68 2810.4187),(69 2785.4343),(70 2781.6816),(71 2801.4365),(72 2782.7012),(73 2787.6035),(74 2805.696),(75 2809.0322),(76 2791.2073),(77 2798.7268),(78 2800.3708),(79 2791.98),
(1 781.01624),(2 1050.7323),(3 1203.2618),(4 1355.3182),(5 1491.8744),(6 1591.999),(7 1660.7406),(8 1736.6887),(9 1836.8821),(10 1910.6742),(11 1962.2347),(12 2006.1626),(13 2079.958),(14 2101.7568),(15 2141.8809),(16 2174.4238),(17 2210.427),(18 2230.7166),(19 2267.6099),(20 2301.517),(21 2338.3877),(22 2376.946),(23 2431.1584),(24 2481.457),(25 2543.3535),(26 2594.762),(27 2690.6167),(28 2758.5603),(29 2840.8367),(30 2929.3484),(31 3007.428),(32 3075.9063),(33 3153.0269),(34 3210.4753),(35 3282.2996),(36 3348.1245),(37 3432),(38 3453.6724),(39 3521.4153),(40 3565.059),(41 3600.8674),(42 3636.9353),(43 3652.9084),(44 3668.9607),(45 3667.79),(46 3678.6208),(47 3651.7058),(48 3613.156),(49 3549.7568),(50 3511.1504),(51 3460.9795),(52 3376.2498),(53 3300.0369),(54 3259.3318),(55 3202.9124),(56 3145.6636),(57 3088.7922),(58 3037.943),(59 2997.8542),(60 2943.0762),(61 2905.382),(62 2867.0034),(63 2834.3838),(64 2815.9397),(65 2809.9158),(66 2778.8284),(67 2766.9795),(68 2751.793),(69 2743.5298),(70 2742.2053),(71 2743.034),(72 2746.272),(73 2737.0085),(74 2744.3179),(75 2765.321),(76 2736.6987),(77 2748.1118),(78 2749.3206),(79 2753.5986),
(1 761.96387),(2 1029.2657),(3 1173.8662),(4 1344.9956),(5 1475.465),(6 1555.8944),(7 1623.7803),(8 1713.8915),(9 1808.5507),(10 1871.9138),(11 1909.1278),(12 1962.9628),(13 2002.9673),(14 2035.0007),(15 2057.7783),(16 2087.96),(17 2122.4878),(18 2139.3445),(19 2160.1558),(20 2186.9417),(21 2214.7107),(22 2251.6123),(23 2301.7075),(24 2330.744),(25 2363.617),(26 2396.1123),(27 2481.4797),(28 2539.1082),(29 2599.544),(30 2658.5076),(31 2740.3623),(32 2798.18),(33 2870.1487),(34 2941.8499),(35 3002.7222),(36 3063.2053),(37 3133.3757),(38 3200.159),(39 3259.568),(40 3294.0205),(41 3354.1414),(42 3395.2288),(43 3427.8616),(44 3463.436),(45 3499.044),(46 3514.42),(47 3511.262),(48 3510.921),(49 3479.0396),(50 3452.6506),(51 3406.316),(52 3357.708),(53 3307.372),(54 3245.5156),(55 3192.4324),(56 3116.022),(57 3062.8582),(58 3002.685),(59 2961.0142),(60 2904.2761),(61 2877.7397),(62 2839.1917),(63 2808.3408),(64 2770.9282),(65 2787.8184),(66 2768.8848),(67 2738.7234),(68 2740.0332),(69 2725.8218),(70 2732.2427),(71 2725.3538),(72 2701.783),(73 2696.16),(74 2686.4038),(75 2691.329),(76 2687.581),(77 2679.8525),(78 2688.1836),(79 2684.8372),
