1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98721.94),(2 313428.53),(3 603777.25),(4 1044225.8),(5 1569419.9),(6 2139041),(7 2855123.3),(8 3632546),(9 4405339.5),(10 5258122),(11 6173908),(12 7028678.5),(13 8030824),(14 9090117),(15 10144415),(16 11349228),(17 12656679),(18 13979643),(19 15467091),(20 16954530),(21 18352778),(22 19885558),(23 21423966),(24 22869914),(25 24445974),(26 25995136),(27 27518016),(28 29200104),(29 30834558),(30 32485632),(31 34309770),(32 36077844),(33 37871468),(34 39862944),(35 41839796),(36 43758852),(37 45844348),(38 47982092),(39 50173012),(40 52614412),(41 54924000),(42 57132304),(43 59596256),(44 62082212),(45 64613664),(46 67396890),(47 70260376),(48 73048910),(49 75982040),(50 78823656),(51 81557816),(52 84470264),(53 87417224),(54 90346500),(55 93538090),(56 96676070),(57 99820136),(58 103334460),(59 106500760),(60 109241690),(61 112163336),(62 114945960),(63 117415896),(64 119901530),(65 122258280),(66 124300010),(67 126604440),(68 128702330),(69 130628860),(70 133108310),(71 135513020),(72 137577010),(73 140024320),(74 142373650),(75 144344900),(76 146694640),(77 149026900),(78 151196260),(79 153763600),
(1 10195.7),(2 20781.996),(3 25159.89),(4 27953.42),(5 28766.502),(6 28304.229),(7 28813.047),(8 30093.06),(9 30495.65),(10 31240.656),(11 32247.67),(12 32183.15),(13 31784.445),(14 31816.31),(15 31966.633),(16 32564.797),(17 33753.574),(18 34094.09),(19 34639.168),(20 34743.832),(21 34644.14),(22 34776.34),(23 34745.07),(24 34905.3),(25 35643.766),(26 35878.535),(27 36262.773),(28 36214.117),(29 36243.074),(30 36271.387),(31 36470.324),(32 36559.383),(33 36473.637),(34 37016.168),(35 37214.496),(36 37301.613),(37 37472.094),(38 37611.22),(39 37636.117),(40 37612.285),(41 38223.066),(42 38234.293),(43 38039.402),(44 38296.395),(45 38214.777),(46 38279.4),(47 38886.418),(48 38981.105),(49 38617.73),(50 38958.938),(51 40152.45),(52 40265.707),(53 40431.06),(54 40480.645),(55 40134.418),(56 40005.11),(57 40240.043),(58 40084.055),(59 39719.836),(60 39593.49),(61 39501.05),(62 39640.777),(63 39947.906),(64 40063.832),(65 39690.246),(66 39685.973),(67 39902.313),(68 39964.297),(69 40258.563),(70 40160.36),(71 40304.895),(72 40211.863),(73 40435.05),(74 40652.445),(75 41035.03),(76 41687.03),(77 42239.684),(78 42338.19),(79 42470.637),
(1 9639.657),(2 20029.24),(3 25178.418),(4 27992.465),(5 29001.537),(6 29043.363),(7 30242.838),(8 31252.95),(9 31582.148),(10 32119.21),(11 32053.928),(12 31773.592),(13 32211.834),(14 32280.256),(15 32233.682),(16 32171.465),(17 32742.822),(18 33171.414),(19 32811.01),(20 32844.348),(21 33561.203),(22 33915.297),(23 34168.535),(24 34680.605),(25 35155.36),(26 34991.74),(27 34958.625),(28 34760.063),(29 34875.547),(30 34871.004),(31 35173.055),(32 35815.094),(33 36157.383),(34 36514.285),(35 36691.688),(36 36791.926),(37 36943.863),(38 37319.21),(39 37350.34),(40 37547.332),(41 37503.684),(42 36428.074),(43 35749.832),(44 36281.668),(45 36583.754),(46 36541.086),(47 36913.855),(48 36963.46),(49 37053.97),(50 37474.082),(51 37862.434),(52 38256.242),(53 38782.11),(54 38148.168),(55 37457.508),(56 37499.152),(57 37733.5),(58 37985.54),(59 37975.164),(60 38021.445),(61 37856.11),(62 37902.758),(63 37941.273),(64 38296.3),(65 38688.81),(66 38817.527),(67 38942.37),(68 39662.1),(69 39786.87),(70 39429.645),(71 39562.24),(72 39578.08),(73 39937.664),(74 39876.93),(75 40253.363),(76 40703.332),(77 40344.883),(78 39829.348),(79 40176.863),
(1 9591.802),(2 19276.756),(3 23521.477),(4 26249.53),(5 27588.176),(6 27822.95),(7 28812.451),(8 30371.93),(9 30037.684),(10 30210.139),(11 30535.717),(12 30570.508),(13 31038.027),(14 30994.813),(15 31025.463),(16 31506.818),(17 32440.107),(18 32393.422),(19 32019.418),(20 32051.357),(21 32362.875),(22 32848.97),(23 33916.74),(24 34373.082),(25 34318.78),(26 34162.426),(27 33791.25),(28 33771.766),(29 33833.35),(30 34537.285),(31 35164.465),(32 35455.055),(33 35603.715),(34 35338.37),(35 35746.156),(36 35905.32),(37 36173.266),(38 36264.664),(39 36014.57),(40 35756.156),(41 35453.508),(42 35705.883),(43 36615.426),(44 36472.098),(45 36368.48),(46 36906.74),(47 37867.613),(48 37812.207),(49 38122.254),(50 38496.03),(51 38876.348),(52 38858.84),(53 38674.95),(54 38294.742),(55 38795.13),(56 39910.047),(57 40615.918),(58 39853.246),(59 39132.707),(60 38688.33),(61 38692),(62 38745.383),(63 39533.844),(64 39479.844),(65 38902.496),(66 38571.29),(67 38430.19),(68 38808.844),(69 38859.164),(70 38665.508),(71 39300.76),(72 39105.97),(73 39111.914),(74 39505.664),(75 39302.785),(76 38724.457),(77 38964.547),(78 39078.188),(79 39415.777),
(1 9394.273),(2 18758.342),(3 23176.852),(4 26073.951),(5 27143.777),(6 27263.867),(7 28202.072),(8 28956.482),(9 29265.244),(10 29836.049),(11 30249.234),(12 30557.322),(13 30536.143),(14 30630.48),(15 31086.807),(16 31090.01),(17 31899.883),(18 32644.377),(19 32470.328),(20 32965.492),(21 32679.625),(22 32001.04),(23 32162.36),(24 32349.148),(25 32068.217),(26 31436.88),(27 31573.64),(28 31782.541),(29 31954.38),(30 32419.906),(31 33043.344),(32 33178.164),(33 33313.54),(34 33301.605),(35 33245.914),(36 33286.516),(37 33427.152),(38 33297.664),(39 33327.69),(40 33013.137),(41 33195.594),(42 33981.02),(43 34822.676),(44 35259.38),(45 35272.867),(46 35670.406),(47 36409.773),(48 37145.344),(49 37410.43),(50 37409.48),(51 38051.53),(52 38452.332),(53 38590.695),(54 38539.473),(55 38733.906),(56 39520.75),(57 40274.73),(58 40317.656),(59 39776.645),(60 38839.813),(61 38232.164),(62 38407.7),(63 38553.117),(64 38350.97),(65 38121.867),(66 38370.324),(67 38504.164),(68 38286.32),(69 37739.3),(70 37600.805),(71 37604.67),(72 36941.48),(73 37052.703),(74 36603.438),(75 36206.957),(76 36228.58),(77 36867.53),(78 37709.62),(79 38380.855),
(1 8976.921),(2 17983.545),(3 21991.268),(4 24618.088),(5 25478.396),(6 25308.154),(7 25704.85),(8 26590.703),(9 27310.82),(10 28059.537),(11 28148.49),(12 27577.736),(13 28136.16),(14 28387.232),(15 28652.17),(16 29224.574),(17 29488.904),(18 29546.113),(19 29590.346),(20 30261.004),(21 30793.947),(22 31065.797),(23 30888.635),(24 30398.87),(25 29987.074),(26 29774.771),(27 30047.611),(28 30144.04),(29 29599.83),(30 29480.363),(31 30126.541),(32 30318.629),(33 30164.152),(34 30434.664),(35 30968.936),(36 31271.756),(37 31593.004),(38 31619.754),(39 32084.445),(40 32047.553),(41 32059.52),(42 32962.93),(43 33647.344),(44 33800.902),(45 33338.855),(46 33755.64),(47 34617.426),(48 35227.797),(49 34957.145),(50 35013.18),(51 35561.2),(52 35778.535),(53 35233.15),(54 34686.51),(55 34640.016),(56 34710.465),(57 34779.91),(58 34932.12),(59 34668.49),(60 34750.824),(61 34621.344),(62 34636.188),(63 34474.48),(64 34110.387),(65 34018.31),(66 34156.332),(67 34255.727),(68 34410.457),(69 34524.375),(70 35007.25),(71 34818.934),(72 34176.19),(73 34119.414),(74 33739.363),(75 33809.473),(76 34382.68),(77 35243.383),(78 35369.426),(79 35066.258),
(1 9031.714),(2 18059.04),(3 22118.883),(4 24699.904),(5 25446.361),(6 25016.273),(7 25388.328),(8 25850.438),(9 26254.639),(10 27437.19),(11 28041.736),(12 28113.904),(13 28598.438),(14 28690.63),(15 28687.938),(16 29408.924),(17 30216.432),(18 30011.615),(19 30238.256),(20 30458.621),(21 30501.3),(22 30821.33),(23 31496.326),(24 31237.361),(25 30509.498),(26 30064.89),(27 30267.926),(28 30461.65),(29 30001.814),(30 30148.838),(31 30133.785),(32 29917.605),(33 30383.008),(34 30936.297),(35 31332.326),(36 31118.814),(37 30844.098),(38 30868.81),(39 31363.084),(40 32027.309),(41 32790.18),(42 33799.26),(43 33965.87),(44 33957.695),(45 33288.848),(46 33402.258),(47 33573.39),(48 33180.27),(49 33092.87),(50 33335.7),(51 34045.734),(52 34354.523),(53 34206.375),(54 34646.266),(55 35157.043),(56 34968.945),(57 35117.45),(58 34861.723),(59 34418.25),(60 34449.285),(61 34868.184),(62 34505.508),(63 33743.938),(64 33929.254),(65 34234.785),(66 34028.67),(67 34130.83),(68 33903.12),(69 34291.49),(70 34698.742),(71 34745.9),(72 34790.4),(73 34642.074),(74 34461.086),(75 35054.99),(76 35718.9),(77 35937.438),(78 36072.46),(79 36519.57),
(1 8960.448),(2 17673.992),(3 21769.428),(4 24484.094),(5 25214.371),(6 25130.012),(7 25773.732),(8 26028.045),(9 26317.729),(10 26946.494),(11 26846.994),(12 26708.006),(13 26923.162),(14 27388.252),(15 28126.04),(16 28751.332),(17 29638.643),(18 29946.922),(19 29733.453),(20 29386.113),(21 29628.262),(22 30251.764),(23 30881.443),(24 30744.234),(25 30243.824),(26 30288.928),(27 30634.594),(28 29800.268),(29 29490.803),(30 29916.348),(31 29834.29),(32 29706.916),(33 30076.86),(34 30275.443),(35 30682.236),(36 30723.336),(37 30503.87),(38 30516.46),(39 30339.262),(40 30026.459),(41 30208.715),(42 30533.744),(43 30876.082),(44 31204.887),(45 31292.855),(46 31464.994),(47 31450.537),(48 31862.252),(49 31974.828),(50 32299.994),(51 32145.473),(52 31845.838),(53 31426.88),(54 31541.521),(55 31940.305),(56 31867.99),(57 31565.78),(58 31556.676),(59 31921.096),(60 32335.158),(61 32354.879),(62 31871.67),(63 31784.51),(64 31784.182),(65 32029.275),(66 32208.63),(67 32175.572),(68 32588.975),(69 33125.477),(70 33151.645),(71 33035.715),(72 33482.434),(73 33449.137),(74 34260.832),(75 35084.06),(76 35588.156),(77 36342.31),(78 36405.156),(79 36743.18),
(1 8872.804),(2 17213.436),(3 20489.492),(4 23180.236),(5 24439.697),(6 24950.986),(7 25998.115),(8 26489.963),(9 26829.455),(10 27049.555),(11 26658.787),(12 26586.945),(13 26994.596),(14 27420.79),(15 27580.621),(16 27714.082),(17 28405.715),(18 27856.447),(19 27861.818),(20 28530.736),(21 28271.264),(22 28843.96),(23 29714.389),(24 29576.326),(25 29460.447),(26 29607.318),(27 29581.006),(28 29230.457),(29 29563.404),(30 30009.8),(31 29786.096),(32 29427.816),(33 29453.4),(34 29537.969),(35 29991.389),(36 30024.416),(37 30376.79),(38 30309.078),(39 30348.715),(40 29810.197),(41 29342.05),(42 29810.555),(43 30541.707),(44 30931.758),(45 31132.05),(46 31218.215),(47 31100.559),(48 31347.248),(49 31550.87),(50 32278.795),(51 32667.725),(52 32191.543),(53 32147.684),(54 31781.803),(55 30720.674),(56 30638.969),(57 31245.69),(58 31793.535),(59 32250.771),(60 32083.578),(61 32230.82),(62 32488.684),(63 32473.32),(64 32731.71),(65 32430.74),(66 31919.72),(67 31615.281),(68 31715.611),(69 32139.855),(70 32307),(71 32672.18),(72 32898.055),(73 33209.36),(74 33717.71),(75 34208.23),(76 34369.785),(77 34756.56),(78 35522.17),(79 35835.39),
(1 8514.614),(2 16637.332),(3 20198.533),(4 22329.43),(5 23286.951),(6 23800.313),(7 24513.953),(8 25269.316),(9 25537.463),(10 25843.08),(11 26293.523),(12 26858.166),(13 27237.678),(14 27094.092),(15 27054.379),(16 27695.273),(17 27599.982),(18 26711.742),(19 26843.115),(20 27411.137),(21 27366.67),(22 27738.2),(23 28044.852),(24 27867.586),(25 28141.785),(26 28724.45),(27 28863.59),(28 28341.254),(29 28062.504),(30 28001.361),(31 27859.738),(32 27963.578),(33 28183.797),(34 28960.787),(35 29651.033),(36 29717.014),(37 29715.787),(38 29884.072),(39 29905.078),(40 29620.84),(41 29520.139),(42 29783.43),(43 30262.947),(44 30771.953),(45 30864.88),(46 30486.756),(47 30602.277),(48 30696.174),(49 30294.527),(50 30627.742),(51 30488.688),(52 30282.947),(53 30886.637),(54 31272.732),(55 30885.238),(56 30666.277),(57 30691),(58 30638.264),(59 30861.8),(60 31194.69),(61 31581.586),(62 31723.996),(63 31600.482),(64 31202.492),(65 30764.96),(66 30305.105),(67 30230.117),(68 30643.178),(69 31021.83),(70 30832.576),(71 30806.586),(72 31221.732),(73 31859.893),(74 32761.973),(75 32702.232),(76 32760.18),(77 33081.27),(78 33178.98),(79 33443.285),
(1 8567.226),(2 16378.248),(3 19602.277),(4 21842.793),(5 22634.271),(6 22542.97),(7 22900.207),(8 23675.29),(9 24404.299),(10 24796.236),(11 25042.672),(12 25342.555),(13 25863.313),(14 26236.904),(15 26937.232),(16 27271.79),(17 27145.72),(18 26810.479),(19 27050.814),(20 26990.87),(21 27067.676),(22 27665.242),(23 28021.744),(24 28018.766),(25 27996.11),(26 28272.004),(27 28421.846),(28 28321.014),(29 28471.982),(30 28541.16),(31 28613.033),(32 28199.742),(33 28485.686),(34 28529.62),(35 28136.023),(36 27672.207),(37 27712.262),(38 27798.418),(39 27861.55),(40 28120.588),(41 28752.498),(42 28782.072),(43 29123.527),(44 29339.336),(45 29255.215),(46 29055.01),(47 29339.695),(48 29280.633),(49 28989.002),(50 29292.229),(51 29597.523),(52 29829.432),(53 30016.742),(54 30223.193),(55 30245.998),(56 30579.371),(57 31133.697),(58 31484.783),(59 31280.092),(60 30949.957),(61 30838.174),(62 30490.266),(63 30435.438),(64 30762.764),(65 30592.195),(66 30851.379),(67 31160.145),(68 31352.273),(69 31888.977),(70 32356.156),(71 32360.012),(72 32802.426),(73 33509.66),(74 33691.344),(75 33618.277),(76 33932.32),(77 34534.91),(78 35362.65),(79 36168.28),
(1 8530.267),(2 16850.684),(3 20262.74),(4 22311.357),(5 22634.533),(6 22503.258),(7 23162.129),(8 23931.68),(9 24215.96),(10 24505.943),(11 24846.252),(12 25524.178),(13 25680.063),(14 25685.662),(15 26101.252),(16 27193.373),(17 27603.34),(18 27186.19),(19 26978.32),(20 26894.129),(21 27170.102),(22 28144.033),(23 28501.504),(24 27937.49),(25 28222.951),(26 28731.06),(27 29029.193),(28 29359.63),(29 29299.178),(30 29066.908),(31 29238.46),(32 29315.668),(33 29878.78),(34 29865.33),(35 29606.861),(36 29742.854),(37 29722.678),(38 29055.053),(39 28983.33),(40 29113.037),(41 29147.617),(42 29749.508),(43 30603.229),(44 30938.307),(45 30849.748),(46 30736.467),(47 31008.518),(48 30972.873),(49 30906.033),(50 31299.19),(51 31946.229),(52 32438.184),(53 32851.676),(54 32617.719),(55 32761.334),(56 33318.543),(57 33615.234),(58 33921.023),(59 34118.152),(60 33842.074),(61 33543.656),(62 33941.414),(63 33981.527),(64 34026.16),(65 34163.5),(66 34488.215),(67 34435.113),(68 34076.063),(69 33846.36),(70 33899.695),(71 34005.883),(72 34019.316),(73 33663.664),(74 33430.992),(75 33783.18),(76 33980.098),(77 34160.52),(78 34157.957),(79 34146.34),
(1 8553.296),(2 16473.488),(3 19425.637),(4 21523.53),(5 22028.146),(6 22225.17),(7 23119.648),(8 23815.129),(9 24972.414),(10 25419.209),(11 25373.12),(12 25802.057),(13 26148.746),(14 26003.521),(15 26428.434),(16 26970.514),(17 27186.053),(18 27069.055),(19 27027.324),(20 26845.676),(21 27306.479),(22 27855.371),(23 27975.652),(24 28123.727),(25 28353.447),(26 28628.898),(27 28895.457),(28 29065.104),(29 28800.723),(30 29072.32),(31 29257.47),(32 29356.441),(33 29289.43),(34 28810.896),(35 28901.955),(36 28536.975),(37 28512.076),(38 28513.145),(39 28599.385),(40 28789.28),(41 28852.21),(42 29007.254),(43 28977.768),(44 29275.848),(45 29593.592),(46 29821.945),(47 29419.287),(48 29094.162),(49 29429.178),(50 29862.865),(51 29622.623),(52 29414.08),(53 29306.754),(54 29463.92),(55 30021.93),(56 30341.426),(57 30563.371),(58 30631.092),(59 30891.736),(60 31230.914),(61 31429.625),(62 31014.48),(63 30539.646),(64 30264.854),(65 30705.703),(66 30730.61),(67 30685.178),(68 30437.242),(69 30605.725),(70 30540.648),(71 30490.28),(72 31085.549),(73 31105.963),(74 31354.88),(75 31447.469),(76 31725.477),(77 32163.521),(78 32293.336),(79 32584.893),
(1 8455.65),(2 16432.242),(3 19746.893),(4 21931.096),(5 22815.143),(6 23405.258),(7 24298.227),(8 24723.148),(9 24850.871),(10 24941.672),(11 25308.832),(12 25591.984),(13 25925.936),(14 25720.54),(15 25258.295),(16 25252.135),(17 25308.322),(18 25703.998),(19 26724.059),(20 26965.098),(21 27646.836),(22 27944.33),(23 27664.559),(24 28035.494),(25 28496.28),(26 28706.611),(27 28647.426),(28 28723.246),(29 28916.098),(30 28854.742),(31 28485.418),(32 29032.705),(33 29398.541),(34 28758.992),(35 28269.654),(36 28118.574),(37 28373.104),(38 28644.68),(39 28770.906),(40 28825.158),(41 29285.82),(42 29219.19),(43 29496.99),(44 29515.988),(45 29180.238),(46 28131.322),(47 28096.871),(48 28342.031),(49 28722.654),(50 29123.531),(51 29451.697),(52 29449.803),(53 29204.445),(54 29112.871),(55 28939.133),(56 29342.459),(57 29911.379),(58 29913.805),(59 29657.092),(60 29508.63),(61 29967.725),(62 29854.266),(63 29306.219),(64 29024.752),(65 29337.742),(66 29323.404),(67 29230.846),(68 29116.484),(69 29285.707),(70 29523.969),(71 29854.346),(72 30403.799),(73 30428.568),(74 30706.291),(75 30843.113),(76 30735.602),(77 30535.182),(78 30780.158),(79 31183.969),
(1 8401.687),(2 15900.204),(3 19121.828),(4 21094.396),(5 21919.055),(6 22167.24),(7 22837.22),(8 23262.498),(9 24161.215),(10 24359.758),(11 24690.957),(12 25360.412),(13 25897.465),(14 26015.447),(15 25894.496),(16 25684.857),(17 25556.902),(18 26095.572),(19 26389.807),(20 26365.002),(21 26909.613),(22 27225.836),(23 27168.541),(24 27043.672),(25 27255.102),(26 27342.014),(27 27222.88),(28 27334.838),(29 27643.94),(30 27676.201),(31 27808.05),(32 27815.508),(33 28344.535),(34 28378.129),(35 28370.537),(36 28178.861),(37 28121.049),(38 28444.283),(39 28852.36),(40 28704.729),(41 28550.871),(42 28926.936),(43 29147.887),(44 28999.947),(45 28381.148),(46 28272.932),(47 28482.217),(48 28875.268),(49 29335.36),(50 28898.078),(51 28489.504),(52 28573.742),(53 28589.389),(54 29022.406),(55 29175.836),(56 28918.45),(57 29589.59),(58 29861.951),(59 29734.785),(60 30042.387),(61 30063.824),(62 29742.328),(63 29865.193),(64 29908.012),(65 29920.281),(66 29726.967),(67 29340.371),(68 29341.305),(69 29268.002),(70 29258.26),(71 29822.037),(72 30063.203),(73 30280.246),(74 31070.695),(75 31440.682),(76 31060.602),(77 30795.428),(78 30734.885),(79 30848.363),
(1 8368.353),(2 15424.754),(3 18274.191),(4 20249.246),(5 20645.277),(6 20951.582),(7 21927.908),(8 22382.77),(9 23024.66),(10 23216.879),(11 23309.477),(12 23878.15),(13 24276.293),(14 24324.408),(15 24224.93),(16 24304.986),(17 24176.879),(18 24286.873),(19 24708.377),(20 24965.463),(21 25167.9),(22 25423.83),(23 25304.398),(24 25462.777),(25 25669.025),(26 25998.521),(27 26319.174),(28 26487.793),(29 27016.57),(30 27072.613),(31 26830.773),(32 27043.412),(33 26832.873),(34 27056.238),(35 27262.193),(36 27026.121),(37 27485.299),(38 27775.094),(39 28042.527),(40 27920.004),(41 27372.527),(42 27154.975),(43 27335.906),(44 27346),(45 27596.477),(46 27652.328),(47 27337.873),(48 27838.66),(49 28002.604),(50 27792.988),(51 27975.42),(52 27569.56),(53 27430.56),(54 27429.783),(55 27471.121),(56 27763.223),(57 28169.932),(58 28462.252),(59 28503.947),(60 28221.125),(61 28157.1),(62 27871.807),(63 28087.9),(64 28334.473),(65 28288.629),(66 28392.73),(67 28528.576),(68 28484.51),(69 28298.754),(70 28494.047),(71 28926.877),(72 28807.42),(73 29308.293),(74 30155),(75 30342.867),(76 29720.205),(77 29277.273),(78 28976.01),(79 29096.254),
(1 8110.3203),(2 15277.19),(3 18085.752),(4 20141.266),(5 20534.672),(6 20556.848),(7 21198.52),(8 21600.045),(9 22188.508),(10 22506.879),(11 22330.889),(12 22658.291),(13 23223.965),(14 23487.322),(15 23698.668),(16 23631.633),(17 23411.36),(18 23428.785),(19 23557.998),(20 23758.65),(21 24362.168),(22 24664.45),(23 24252.566),(24 24051.83),(25 24430.607),(26 25207.531),(27 25656.434),(28 25752.38),(29 25951.098),(30 26249.824),(31 26529.508),(32 26886.135),(33 26945.074),(34 26611.97),(35 26532.084),(36 26745.35),(37 27504.078),(38 27476.482),(39 27095.861),(40 26724.188),(41 26472.727),(42 26071.145),(43 25747.541),(44 25956.14),(45 26525.021),(46 26742.096),(47 26604.375),(48 26881.475),(49 27124.139),(50 27503.492),(51 28011.28),(52 27643.459),(53 27539.848),(54 27592.098),(55 27795.207),(56 28153.178),(57 28040.889),(58 27448.037),(59 27782.744),(60 27755.629),(61 27379.902),(62 27350.102),(63 27352.346),(64 27444.45),(65 27634.697),(66 27619.484),(67 27355.51),(68 27546.508),(69 27618.66),(70 27473.473),(71 27627.72),(72 28083.186),(73 28431.906),(74 28754.916),(75 28765.955),(76 28422.396),(77 28204.016),(78 28289.81),(79 28639.746),
(1 8060.934),(2 15055.131),(3 17837.742),(4 19739.014),(5 20289.922),(6 20782.635),(7 21607.291),(8 21812.72),(9 22161.338),(10 22062.672),(11 21743.89),(12 22097.506),(13 22292.223),(14 22876.143),(15 23273.025),(16 23064.484),(17 23015.422),(18 22966.418),(19 23468.973),(20 23736.35),(21 23672.54),(22 23654.941),(23 23701.264),(24 24198.021),(25 24600.951),(26 24639.646),(27 24628.385),(28 24749.506),(29 24897.436),(30 25284.27),(31 24998.959),(32 24978.318),(33 24778.834),(34 24588.639),(35 24861.285),(36 25645.191),(37 25979.273),(38 25894.176),(39 26053.07),(40 25647.883),(41 25290.623),(42 25354.684),(43 25316.76),(44 25502.516),(45 25698.74),(46 25469.877),(47 25610.836),(48 26178.156),(49 25987.6),(50 26165.578),(51 26225.838),(52 26179.82),(53 26261.166),(54 26157.303),(55 26400.453),(56 27139.404),(57 26942.68),(58 26338.574),(59 26559.242),(60 27028.467),(61 27059.854),(62 26956.467),(63 26980.951),(64 27308.488),(65 27477.379),(66 27324.834),(67 26827.057),(68 26505.662),(69 26638.662),(70 27032.91),(71 27335.236),(72 27981.264),(73 28349.3),(74 28485.031),(75 28365.893),(76 28338.207),(77 27739.807),(78 27905.506),(79 28766.45),
(1 7949.934),(2 14294.257),(3 16992.678),(4 18933.887),(5 19593.07),(6 20074.008),(7 21021.936),(8 21356.434),(9 21854.402),(10 21729.875),(11 21625.715),(12 21814.408),(13 21819.9),(14 22246.695),(15 22904.56),(16 22782.941),(17 22345.615),(18 22264.389),(19 22269.424),(20 22562.924),(21 22958.299),(22 23100.607),(23 23139.111),(24 23253.32),(25 23426.791),(26 23402.81),(27 23471.404),(28 23667.678),(29 23711.486),(30 23859.303),(31 23918.088),(32 23677.238),(33 23628.459),(34 24214.959),(35 24241.059),(36 24301.701),(37 24480.379),(38 24620.672),(39 24568.297),(40 24409.824),(41 24674.041),(42 24374.25),(43 24199.914),(44 24620.473),(45 24308.533),(46 24134.541),(47 24294.676),(48 24372.564),(49 24413.121),(50 24661.246),(51 24549.363),(52 24153.027),(53 23941.492),(54 24141.313),(55 24317.996),(56 24514.477),(57 24750.828),(58 24866.824),(59 24875.342),(60 25327.234),(61 25830.709),(62 25974.252),(63 25520.904),(64 25690.732),(65 26087.223),(66 26125.55),(67 26194.852),(68 26087.564),(69 26038.799),(70 26148.746),(71 26516.99),(72 26561.473),(73 26455.254),(74 26571.889),(75 26848.777),(76 27044.828),(77 27695.303),(78 28023.18),(79 27866.06),
