1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3688.8962),(2 9294.407),(3 15611.237),(4 22432.25),(5 29780.666),(6 37683.86),(7 47253.24),(8 57758.965),(9 70020.586),(10 82446.164),(11 94369.23),(12 107312.68),(13 123683.21),(14 140292.83),(15 158418.48),(16 178718.38),(17 196260.2),(18 217242.31),(19 242310.5),(20 265022.84),(21 287613.9),(22 315614.75),(23 345011.53),(24 368343.25),(25 399978.88),(26 425003.03),(27 447532.66),(28 469306.78),(29 485618.34),(30 500332.34),(31 510392.25),(32 520801.53),(33 531118.25),(34 537778.1),(35 544912),(36 550306.56),(37 549189.56),(38 548283.2),(39 543884),(40 538470.94),(41 530782.56),(42 523282.25),(43 509458.9),(44 499308.34),(45 489112.25),(46 476881.16),(47 460892.84),(48 442004.72),(49 420440.16),(50 403067.9),(51 385499.78),(52 371585.6),(53 358970.53),(54 349765.25),(55 346954.56),(56 346899.5),(57 351344.25),(58 347647.13),(59 355690),(60 368246.72),(61 385505.16),(62 403931.1),(63 422198.03),(64 451976.34),(65 478305.84),(66 505318),(67 538502.06),(68 572933.75),(69 613231.44),(70 650179.44),(71 691681.44),(72 736318.3),(73 782400.94),(74 818518.25),(75 858887.7),(76 904604.06),(77 941821.44),(78 969749),(79 999842),
(1 2792.6904),(2 7828.0537),(3 14113.325),(4 20459.686),(5 26739.598),(6 32562.635),(7 37908.215),(8 42480.844),(9 45907.266),(10 48790.69),(11 50906.164),(12 52726.06),(13 54404.355),(14 55830.785),(15 57308.27),(16 59076.11),(17 61208.387),(18 63566.766),(19 65647.016),(20 67273.15),(21 68274.7),(22 69189.914),(23 69804.98),(24 70251.72),(25 70165.34),(26 70365.375),(27 70597.57),(28 71557.734),(29 72581.47),(30 73849),(31 75213.14),(32 76800.08),(33 78511.33),(34 80109.05),(35 81477.016),(36 82534.125),(37 82808.02),(38 83195.88),(39 83393.35),(40 83624.57),(41 84054.68),(42 85169.08),(43 86791.375),(44 88227.336),(45 89788.46),(46 91880.625),(47 93686.92),(48 95120),(49 96343.445),(50 97242.664),(51 97890.83),(52 98155.19),(53 98909.97),(54 99378.97),(55 100024.33),(56 101059.6),(57 101956.234),(58 102566.695),(59 103602),(60 104582.52),(61 105617.73),(62 106448.6),(63 107498.555),(64 108220.17),(65 108795.49),(66 109211.24),(67 109118.74),(68 109290.74),(69 109140.85),(70 109363.54),(71 109774.25),(72 110238.875),(73 111213.195),(74 111865.78),(75 112786.18),(76 113675.82),(77 114414.266),(78 115089.56),(79 115149.86),
(1 2704.0742),(2 7535.0293),(3 13149.264),(4 18717.957),(5 23999.902),(6 28817.008),(7 33482.36),(8 37898.945),(9 41793.625),(10 44921.035),(11 47527.273),(12 49759.46),(13 51950.64),(14 53411.9),(15 54851.05),(16 56380.098),(17 58029.617),(18 59737.08),(19 61548.023),(20 63344.35),(21 65587.45),(22 67425.41),(23 68579.63),(24 68958.27),(25 68631.34),(26 68249.4),(27 68036.01),(28 68114.69),(29 68450.984),(30 69234.71),(31 70419.57),(32 71957.63),(33 73614.5),(34 75191.484),(35 76417.35),(36 77148.266),(37 77592.625),(38 77768.195),(39 77652.75),(40 77548.93),(41 77829.914),(42 78488.195),(43 79640.54),(44 80614.945),(45 82184.58),(46 84615.86),(47 87476.81),(48 89978.74),(49 91869.82),(50 94021.85),(51 95773.31),(52 97010.3),(53 97904.26),(54 98601.07),(55 99175.04),(56 99959.805),(57 100754.02),(58 101503.86),(59 102383.92),(60 103420.26),(61 104674.6),(62 105256.9),(63 105761.96),(64 106341.07),(65 106752.98),(66 107077.04),(67 106906.95),(68 106760.75),(69 106996.086),(70 107815.375),(71 108586.67),(72 109845.75),(73 111741.555),(74 112937.805),(75 113613.57),(76 114143.164),(77 114524.58),(78 114589.92),(79 114705.875),
(1 2750.8147),(2 7597.7354),(3 13424.2705),(4 19112.768),(5 24619.201),(6 29815.246),(7 34510.207),(8 38934.094),(9 42724.92),(10 45856.008),(11 48471.844),(12 51018.766),(13 53616.043),(14 55583.15),(15 57569.54),(16 59316.35),(17 61190.508),(18 63111.44),(19 65146.234),(20 67352.44),(21 69458.67),(22 71503.586),(23 73464.805),(24 75279.37),(25 76475.82),(26 77475.58),(27 78039.55),(28 78466.91),(29 78818.17),(30 79346.86),(31 80147.34),(32 81262.375),(33 82391.91),(34 82927.54),(35 83424.06),(36 83584.25),(37 83665.74),(38 83767.86),(39 83919.95),(40 84157.84),(41 84575.47),(42 85252.484),(43 86496.33),(44 87902.2),(45 89426.7),(46 91592.44),(47 94422.58),(48 96975.37),(49 98561.42),(50 99729.24),(51 100589.07),(52 101435.24),(53 102146.234),(54 103027.44),(55 103927.6),(56 104753.805),(57 105282.1),(58 105400.81),(59 105689.82),(60 106129.79),(61 106645.2),(62 107190),(63 107837.61),(64 108416.4),(65 108890.914),(66 109622.97),(67 110166.99),(68 110073.234),(69 110321.35),(70 110807.57),(71 111518.72),(72 112587.61),(73 113563.66),(74 114190.055),(75 114608.875),(76 114809.09),(77 115148.11),(78 115619.055),(79 116006.73),
(1 2854.8894),(2 8023.0073),(3 14013.52),(4 20076.623),(5 26064.557),(6 31523.037),(7 36535.535),(8 40711.5),(9 44014.227),(10 46557.734),(11 48704.387),(12 50936.547),(13 53458.395),(14 55869.223),(15 58581.867),(16 61102.754),(17 63454.71),(18 65481.34),(19 67322.02),(20 68950.03),(21 70438.89),(22 71652.77),(23 72682.92),(24 73450.98),(25 74065.18),(26 74519.27),(27 75180.02),(28 76182.516),(29 77089.586),(30 78070.516),(31 79502.3),(32 80960.93),(33 82829.26),(34 83638.2),(35 84238.53),(36 84852.99),(37 85454.6),(38 85526.48),(39 85671.22),(40 85517.19),(41 85478.73),(42 85139.19),(43 85013.15),(44 85150.19),(45 85869.375),(46 87027.68),(47 88923.86),(48 90959.766),(49 92873.36),(50 94541.92),(51 96241.766),(52 97502.305),(53 98677.2),(54 99887.19),(55 101272.19),(56 102530.72),(57 103771.4),(58 104649.62),(59 105540.24),(60 106598.36),(61 107366.25),(62 107692.32),(63 108243.55),(64 109036.97),(65 109869.25),(66 111010.64),(67 112319.31),(68 113283.78),(69 114587.39),(70 115682.516),(71 116491.49),(72 117332.41),(73 117937.01),(74 118127.21),(75 118378.164),(76 118502.81),(77 118794.48),(78 118871.66),(79 119426.484),
(1 2756.226),(2 7634.549),(3 13399.799),(4 18935.322),(5 24075.8),(6 28711.205),(7 32567.441),(8 35607.742),(9 38140.027),(10 39911.547),(11 41514.637),(12 43213.523),(13 45561.566),(14 47507.13),(15 49979.836),(16 52589.926),(17 55265.043),(18 57909.855),(19 60301.664),(20 62260.414),(21 64034.082),(22 65720.28),(23 67253.33),(24 68411.66),(25 69558.84),(26 70166.13),(27 70839.03),(28 71451.26),(29 72104.41),(30 72869.875),(31 74027.055),(32 75873.67),(33 77490.47),(34 78633.1),(35 79143.984),(36 79427.76),(37 79627.016),(38 79840.336),(39 79710.14),(40 79639.27),(41 79346.19),(42 79371.664),(43 79935.67),(44 80354.76),(45 81199.734),(46 82118.54),(47 83676.484),(48 85943.51),(49 88234.72),(50 90259.12),(51 91965.44),(52 93364.47),(53 94119.96),(54 94621.33),(55 95213.125),(56 96208.87),(57 97445.36),(58 98685.23),(59 99892.46),(60 101226.58),(61 102047.97),(62 102652.58),(63 103462.28),(64 104085.336),(65 105222.35),(66 106791.62),(67 108527.26),(68 109609.87),(69 110645.21),(70 111859.28),(71 112792.46),(72 113490.695),(73 114336.82),(74 115121.836),(75 115460.73),(76 116093.35),(77 117058.64),(78 118128.67),(79 118458.69),
(1 2665.0864),(2 7417.402),(3 12924.847),(4 18404.072),(5 23726.281),(6 28590.35),(7 32864.65),(8 36442.88),(9 39267.7),(10 41496.715),(11 43231.14),(12 45001.26),(13 46902.875),(14 48370.45),(15 50248.023),(16 52249.59),(17 54240.67),(18 56477.777),(19 58536.523),(20 60225.875),(21 61815.586),(22 63471.39),(23 64866.895),(24 65660.664),(25 66456.33),(26 67331.63),(27 68217.91),(28 69349.19),(29 70824.914),(30 72267.44),(31 73631.625),(32 74992.3),(33 76398.516),(34 77793.766),(35 78531.77),(36 78883.016),(37 78838.164),(38 78503.695),(39 78272.805),(40 78008.44),(41 78018.97),(42 78303.875),(43 79079.164),(44 79760.305),(45 80956.38),(46 82410.57),(47 83868.35),(48 85837.96),(49 87786.71),(50 88984.66),(51 90029.89),(52 90919.68),(53 91604.08),(54 92451.914),(55 93263.57),(56 93981.89),(57 94669.484),(58 95599.586),(59 96866.68),(60 98302.48),(61 99747.625),(62 100906.695),(63 102436.04),(64 103541.09),(65 104408.16),(66 105124.17),(67 106025.91),(68 106629.45),(69 106515.195),(70 106396.29),(71 106184.22),(72 106186.9),(73 106206.86),(74 106309.41),(75 106721.25),(76 107384.54),(77 107372.74),(78 107400.016),(79 107270.5),
(1 2758.8394),(2 7641.4023),(3 13318.717),(4 18788.256),(5 23977.02),(6 28653.037),(7 32832.504),(8 36390.76),(9 39308.96),(10 41243.35),(11 42646.3),(12 44095.95),(13 45546.215),(14 46837.88),(15 48449.043),(16 50030.51),(17 51608.02),(18 53401.8),(19 55078.08),(20 56417.34),(21 57567.32),(22 58671.645),(23 59512.58),(24 59882.875),(25 60436.805),(26 61088.313),(27 61562.043),(28 62210.813),(29 63189.78),(30 64338.523),(31 65694.15),(32 67286.1),(33 68946.03),(34 70625.414),(35 72145.484),(36 73380.36),(37 74357.25),(38 75271.85),(39 75969.02),(40 76860.336),(41 77779.305),(42 78957.69),(43 79923.15),(44 80754.58),(45 81691.12),(46 82738.64),(47 83713.04),(48 85206.83),(49 87157.34),(50 88997.68),(51 90934.945),(52 92742.77),(53 94404.64),(54 96015.75),(55 97759.86),(56 99247.16),(57 100294.266),(58 101151.766),(59 102063.74),(60 102700.84),(61 103031.86),(62 103148.234),(63 103140.7),(64 103271.13),(65 103565.52),(66 104025.914),(67 104987.19),(68 106215.96),(69 107444.19),(70 108579.58),(71 109818.72),(72 110834.375),(73 111722.57),(74 112317.56),(75 112957.7),(76 113562.25),(77 113904.805),(78 114016.44),(79 113904.87),
(1 2689.32),(2 7417.3267),(3 13032.722),(4 18397.717),(5 23391.129),(6 27865.898),(7 31776.057),(8 34905.68),(9 37342.547),(10 39263.836),(11 41129.297),(12 42979.527),(13 45200.65),(14 47283.668),(15 49580.06),(16 51838.88),(17 53812.586),(18 55543.656),(19 57350.32),(20 58879.703),(21 60026.246),(22 60950.152),(23 61603.195),(24 61776.563),(25 62236.387),(26 63019.438),(27 63658.47),(28 64898),(29 66555.89),(30 68392.7),(31 70357.21),(32 72204.98),(33 73840.164),(34 75382.86),(35 76637.48),(36 77825.88),(37 78689.3),(38 79627.5),(39 80478.34),(40 81028.016),(41 82019.664),(42 83080.82),(43 84295.234),(44 85155.93),(45 86098.15),(46 87124.79),(47 88104.54),(48 89709.58),(49 90629.61),(50 90956.18),(51 91034.83),(52 91610.17),(53 92500.34),(54 93608.41),(55 95277.21),(56 96811),(57 98476.05),(58 100053.31),(59 101417.77),(60 102127.12),(61 102420.375),(62 102451.68),(63 102350.72),(64 101961.414),(65 101537.2),(66 101411.59),(67 101700.16),(68 102143.914),(69 102800.54),(70 103795.836),(71 105080.484),(72 106378.7),(73 107110.95),(74 107995.51),(75 108497.664),(76 108913.43),(77 109213.15),(78 109481.88),(79 109290.984),
(1 2630.8108),(2 7291.78),(3 12639.669),(4 17849.389),(5 22723.111),(6 27249.346),(7 31061.086),(8 34261.668),(9 36816.426),(10 38661.04),(11 40399.977),(12 42304.094),(13 44351.906),(14 46000.496),(15 47889.71),(16 49805.617),(17 51462.957),(18 53028.688),(19 54433.234),(20 55847.773),(21 56939.54),(22 57958.09),(23 58984.426),(24 59546.145),(25 60520.676),(26 61686.316),(27 63023.145),(28 64733.25),(29 66177.92),(30 67634.73),(31 69112.16),(32 70603.26),(33 71612.3),(34 72305.586),(35 72839.41),(36 73162.07),(37 73161.87),(38 73219.57),(39 73410.34),(40 73806.33),(41 74440.445),(42 75260.89),(43 76526.85),(44 77684.28),(45 78776.59),(46 79586.05),(47 80586.06),(48 81586.52),(49 82142.04),(50 82486.07),(51 82765.195),(52 83146.32),(53 83679.805),(54 84076.6),(55 84774.28),(56 85557.445),(57 86424.98),(58 87437.36),(59 88237.414),(60 89087.45),(61 90297.125),(62 91294.555),(63 92215.78),(64 93310.14),(65 94120.766),(66 94995.984),(67 95673.625),(68 96338.96),(69 97305.64),(70 98445.44),(71 99762.77),(72 100813.19),(73 101901.01),(74 102577.56),(75 102962.03),(76 103157.93),(77 103166.43),(78 103268.5),(79 103467.414),
(1 2613.5562),(2 7284.5747),(3 12697.278),(4 18054.973),(5 23210.684),(6 27835.354),(7 31837.234),(8 35156.742),(9 37848.246),(10 39949.977),(11 41761.594),(12 43456.633),(13 45268.152),(14 46634.016),(15 48432.563),(16 50186.902),(17 51483.36),(18 52650.484),(19 53955.26),(20 55060.64),(21 55965.94),(22 56582.188),(23 57017.32),(24 57449.523),(25 57909.223),(26 58515.316),(27 59347.746),(28 60667.113),(29 62192.566),(30 63808.91),(31 65280.836),(32 66830.12),(33 68295.53),(34 69588.95),(35 70876.164),(36 72063.336),(37 73242.09),(38 74353.99),(39 75425.05),(40 76507.75),(41 77448.35),(42 78184.3),(43 78965.97),(44 79369.44),(45 79999.48),(46 80620.48),(47 81383.67),(48 82171.28),(49 82578.414),(50 82952.61),(51 83128.89),(52 83115.11),(53 83432.87),(54 83822.85),(55 84254.3),(56 84502.07),(57 85221.45),(58 86013.51),(59 86789.95),(60 87884.94),(61 89114.03),(62 89812.72),(63 90563.59),(64 91343.195),(65 92301.02),(66 93038.91),(67 93564.44),(68 94204.45),(69 94944.08),(70 95558.984),(71 96353.55),(72 96871.984),(73 97249.66),(74 97501.95),(75 97549.94),(76 97574.97),(77 97571.87),(78 97889.27),(79 97772.1),
(1 2533.7917),(2 6955.414),(3 11943.948),(4 16741.73),(5 21194.824),(6 25061.234),(7 28301.607),(8 30936.967),(9 33144.63),(10 34958.89),(11 36905.184),(12 39031.367),(13 41226.22),(14 43020.41),(15 44960.43),(16 46688.99),(17 48304.402),(18 49833.92),(19 51341.26),(20 52742.59),(21 54081.71),(22 55049.73),(23 55951.875),(24 56758.98),(25 57449.254),(26 58284.332),(27 59452.15),(28 61032.73),(29 62456.45),(30 63687.098),(31 64865.67),(32 65847.66),(33 67028.016),(34 68133.51),(35 69290.74),(36 70495.22),(37 71422.51),(38 72462.67),(39 73435.18),(40 74341.1),(41 74967.51),(42 75310.25),(43 75636.875),(44 75993.516),(45 76382.3),(46 77079.56),(47 77521.3),(48 78123.12),(49 78990.32),(50 79668.94),(51 80111.69),(52 80567.49),(53 81301.305),(54 82283.7),(55 83300.38),(56 83767.625),(57 84192.38),(58 84825.766),(59 85510.71),(60 86425.46),(61 87472.58),(62 88629.1),(63 89508.78),(64 90428.62),(65 91534.08),(66 92208.04),(67 92676.35),(68 92876.02),(69 93041.62),(70 92692.98),(71 92973.94),(72 93489.32),(73 93725.914),(74 93860.016),(75 94036.78),(76 94368.24),(77 94841.336),(78 95342.695),(79 95391.414),
(1 2650.1863),(2 7274.11),(3 12465.721),(4 17448.701),(5 22109.914),(6 26204.602),(7 29700.125),(8 32602.418),(9 35104.94),(10 37197.676),(11 39296.188),(12 41429.684),(13 43883.426),(14 45897.29),(15 47823.36),(16 49475.906),(17 51016.41),(18 52462.207),(19 53598.91),(20 54358.89),(21 54728.08),(22 54984.555),(23 55098.375),(24 55169.36),(25 55701.098),(26 56708.67),(27 58137.73),(28 59780.207),(29 61376.79),(30 63110.68),(31 64685.688),(32 66201.086),(33 67987.99),(34 69805.055),(35 71261.66),(36 72373.945),(37 72953.19),(38 73837.31),(39 74386.664),(40 75124.18),(41 75755.19),(42 76744.52),(43 77883.375),(44 78874.36),(45 79986.34),(46 81048.66),(47 81750.9),(48 82424.92),(49 83080.83),(50 83144.46),(51 83178.32),(52 83050.016),(53 83062.305),(54 83658.734),(55 84304.664),(56 84504.7),(57 84839.34),(58 85056.34),(59 85196.91),(60 85151.88),(61 85327.55),(62 85691.77),(63 85965.73),(64 86429.34),(65 87143.08),(66 87551.2),(67 87805.7),(68 87884.7),(69 87904.01),(70 87523.516),(71 87159.96),(72 86673.08),(73 86233.2),(74 85932.13),(75 85864.08),(76 85717.85),(77 85912.85),(78 86245.03),(79 86662.234),
(1 2573.0942),(2 7090.3047),(3 12176.662),(4 17114.783),(5 21406.193),(6 25270.209),(7 29067.135),(8 32463.807),(9 35397.344),(10 38053.84),(11 40468.33),(12 42792.426),(13 45246.902),(14 47269.234),(15 49063.21),(16 50793.867),(17 52448.88),(18 53920.645),(19 55434.1),(20 56657.133),(21 57736.926),(22 58410.91),(23 59026.58),(24 59792.02),(25 60940.44),(26 62488.51),(27 64022.496),(28 65461.66),(29 66414.88),(30 67364.555),(31 67770.39),(32 68238.375),(33 68862.39),(34 69725.05),(35 70312.02),(36 71219.6),(37 72021.61),(38 72965.55),(39 73886.9),(40 74666.445),(41 75352.38),(42 76163.45),(43 77112.445),(44 78057.26),(45 79006.27),(46 79709.62),(47 80540.73),(48 81553.13),(49 82115.77),(50 82409.266),(51 82456.28),(52 82616.12),(53 82775.82),(54 82964.21),(55 83451.59),(56 83610.016),(57 83697.41),(58 83759.25),(59 83979.414),(60 84172.56),(61 84345.18),(62 84835.62),(63 85429.83),(64 86255.97),(65 87303.586),(66 88183.52),(67 88826.49),(68 89354.164),(69 89813.54),(70 89941.5),(71 89722.32),(72 89478.45),(73 89210.07),(74 89023.58),(75 89443.59),(76 89878.92),(77 90460.44),(78 91587.45),(79 92519.93),
(1 2531.4846),(2 6870.749),(3 11727.016),(4 16427.393),(5 20492.354),(6 24067.09),(7 27219.523),(8 30017.158),(9 32525.023),(10 34663.26),(11 36770.07),(12 38953.582),(13 40974.418),(14 42871.125),(15 44694.684),(16 46201.23),(17 47784.656),(18 49537.66),(19 51189.727),(20 52638.438),(21 53873.938),(22 54589.67),(23 55245.38),(24 55551.715),(25 55982.984),(26 56622.426),(27 57444.676),(28 58565.344),(29 59249.516),(30 59793.445),(31 59927.2),(32 59844.027),(33 60218.83),(34 61259.5),(35 62085.41),(36 62949.71),(37 64161.383),(38 65142.11),(39 66240.28),(40 67120.73),(41 67721.95),(42 68165.336),(43 68862.53),(44 69608.45),(45 70472.87),(46 71229.26),(47 72118.586),(48 73100.14),(49 73816.78),(50 74441.73),(51 75213.06),(52 76164.914),(53 76934.06),(54 77675.97),(55 78453.47),(56 79068.805),(57 79564.25),(58 79615.336),(59 80035.78),(60 80393.15),(61 80793.914),(62 81212.47),(63 81636.97),(64 82439.234),(65 83321.22),(66 84094.3),(67 84472.984),(68 84972.36),(69 85427.805),(70 85709.414),(71 85959.71),(72 85992.52),(73 85725.69),(74 85457.47),(75 85384.55),(76 85013.805),(77 84596.305),(78 84082.97),(79 83570.49),
(1 2614.9817),(2 7180.179),(3 12358.594),(4 17339.564),(5 21495.941),(6 25161.822),(7 28375.113),(8 31051.055),(9 33324.145),(10 35245.13),(11 37155.113),(12 39237.42),(13 41223.363),(14 43128.188),(15 45181.594),(16 46901.375),(17 48347.355),(18 49645.26),(19 51206.766),(20 52414.836),(21 53351.688),(22 53872.066),(23 54386.363),(24 54995.63),(25 55873.03),(26 57121.3),(27 58325.082),(28 59383.457),(29 60320.15),(30 60719.23),(31 60899.707),(32 61041.504),(33 61790.457),(34 62749.85),(35 63841.42),(36 64599.844),(37 65607.1),(38 66712.055),(39 67805.84),(40 68585.96),(41 68827.4),(42 68784.55),(43 69246.05),(44 69867.38),(45 70386.38),(46 70948.49),(47 71520.63),(48 71980.21),(49 72602.734),(50 73376),(51 74211.97),(52 75353.5),(53 76575.19),(54 77916.83),(55 79189.055),(56 80116.97),(57 80929.805),(58 80942.38),(59 81163.02),(60 81161.59),(61 81409.73),(62 81954.32),(63 82614.66),(64 83656.555),(65 84767.89),(66 85453.28),(67 85880.484),(68 86293.96),(69 86641.95),(70 86688.97),(71 86596.42),(72 86416.4),(73 85977.45),(74 85624.38),(75 85770.97),(76 85748.6),(77 86081.13),(78 86227.5),(79 86399.59),
(1 2570.1428),(2 7042.114),(3 12032.887),(4 16740.793),(5 21102.867),(6 24811.084),(7 27940.678),(8 30564.684),(9 32749.236),(10 34594.992),(11 36503.887),(12 38499.5),(13 40154.316),(14 41642.313),(15 43207.418),(16 44369.004),(17 45603.992),(18 46774.51),(19 47918.215),(20 48688.86),(21 49490.145),(22 50451.94),(23 51292.254),(24 52122.12),(25 52956.59),(26 53873.457),(27 54562.492),(28 55450.305),(29 56650.168),(30 57898.992),(31 58792.496),(32 59636.324),(33 60772.953),(34 61992.676),(35 63381.375),(36 64452.434),(37 65504.4),(38 66487.14),(39 67390.46),(40 68160.92),(41 68734.68),(42 69263.06),(43 70329.01),(44 71068.445),(45 72174.1),(46 73352.24),(47 74573.07),(48 75677.42),(49 76612.875),(50 77626.32),(51 78287.27),(52 78694.58),(53 79207.7),(54 79970.87),(55 80576.484),(56 80816.24),(57 80948.38),(58 81011.61),(59 81394.836),(60 81985.35),(61 82496.55),(62 83101.04),(63 83893.64),(64 84641.47),(65 84952.17),(66 85272.8),(67 85570.76),(68 86139.414),(69 86817.26),(70 87879.28),(71 88469.24),(72 88983.39),(73 89142.055),(74 89228.35),(75 89515.57),(76 89533.04),(77 89269.91),(78 88997.42),(79 88657.46),
(1 2511.5703),(2 6822.376),(3 11713.709),(4 16489.035),(5 20755.03),(6 24355.285),(7 27406.043),(8 30133.781),(9 32465.787),(10 34303.754),(11 36024.215),(12 37836.66),(13 39738.45),(14 41488.484),(15 43458.035),(16 44897.72),(17 46383.277),(18 47710.156),(19 49064.78),(20 49910.543),(21 50476.066),(22 51081.18),(23 51647.45),(24 52412.953),(25 53258.43),(26 54039.65),(27 54721.23),(28 55220.008),(29 55989.176),(30 56742.875),(31 57513.727),(32 58491.574),(33 59641.83),(34 60770.4),(35 61876.93),(36 62583),(37 63494.555),(38 64269.598),(39 65044.535),(40 65462.234),(41 65814.555),(42 66067.62),(43 66407.414),(44 66960.27),(45 67682.586),(46 68600.875),(47 69680.07),(48 70583.48),(49 71507.54),(50 72189.88),(51 72941.25),(52 73771.06),(53 74822.31),(54 75879.375),(55 76946.336),(56 77976.97),(57 79028.38),(58 79633.19),(59 80008.414),(60 80671.82),(61 81452.56),(62 82689.19),(63 83950.914),(64 84869.086),(65 85294.4),(66 85503.45),(67 85980.09),(68 86566.79),(69 87208.18),(70 87860.125),(71 88441.04),(72 89244.32),(73 90083.5),(74 90418.984),(75 90545.07),(76 90409.99),(77 90125.88),(78 89644.35),(79 89178.82),
