1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 66292.805),(2 84721.9),(3 49769.49),(4 127652.75),(5 155575.83),(6 124768.9),(7 203755.67),(8 246352.5),(9 205140.06),(10 283483.72),(11 311983.22),(12 283493.25),(13 372274.34),(14 382246.13),(15 346697.78),(16 424197.9),(17 452925.6),(18 421610.72),(19 504061.84),(20 528511.7),(21 496923.47),(22 577643),(23 647810.5),(24 598639.2),(25 694920.06),(26 752571.3),(27 727022.94),(28 837315.94),(29 898859.7),(30 863505.8),(31 979123.8),(32 1052100.4),(33 1031276.44),(34 1143472.8),(35 1238548.5),(36 1215229.6),(37 1349159.6),(38 1494794),(39 1470079.5),(40 1604021.1),(41 1719586.9),(42 1708392),(43 1855952),(44 1971279.4),(45 1985034),(46 2142359.5),(47 2289405.3),(48 2313432.3),(49 2479145.8),(50 2640170.3),(51 2685763),(52 2881170),(53 3109619.8),(54 3153779.8),(55 3367962),(56 3553165.8),(57 3631363),(58 3781772.8),(59 3942202.3),(60 4002759.3),(61 4187044),(62 4366251.5),(63 4446550),(64 4633640),(65 4813984.5),(66 4894544),(67 5062742.5),(68 5282247.5),(69 5336976.5),(70 5491710.5),(71 5633272.5),(72 5663090.5),(73 5800301.5),(74 5888817.5),(75 5895992.5),(76 5993356),(77 6108322.5),(78 6098696.5),(79 6238019.5),
(1 12006.761),(2 41239.35),(3 82420.336),(4 128831.37),(5 175659.86),(6 220090.44),(7 258753.67),(8 291081.2),(9 315006.4),(10 333442.38),(11 347007.84),(12 356537.72),(13 362591.2),(14 366002.8),(15 367642.38),(16 368405.97),(17 370208.44),(18 374021.56),(19 378774.1),(20 383803.8),(21 388383.13),(22 391690.63),(23 392807.47),(24 392279.47),(25 392732.8),(26 394325.72),(27 395598.56),(28 395938.53),(29 396337.28),(30 396915.06),(31 397297.34),(32 395832.5),(33 392323.25),(34 386977.78),(35 382248.6),(36 378282.47),(37 377060.06),(38 378444.72),(39 380905.44),(40 382921.03),(41 382717.94),(42 381590.4),(43 379603.34),(44 376522.84),(45 374564.28),(46 373930.5),(47 374557.1),(48 376555),(49 379325.66),(50 383026.8),(51 386068.88),(52 389379.6),(53 392563.47),(54 397036.28),(55 401317.03),(56 405106.2),(57 408320.2),(58 411603.63),(59 412149.13),(60 411593.6),(61 410239.7),(62 408109.44),(63 405927.94),(64 402991.3),(65 400446.66),(66 400206),(67 401720.34),(68 404406.84),(69 409384.47),(70 414856.28),(71 421480.28),(72 428660.75),(73 435273),(74 443137.38),(75 449701.25),(76 455650.47),(77 460245.97),(78 463112.16),(79 464345.28),
(1 10902.921),(2 37009.1),(3 73056.68),(4 111905.4),(5 150153.17),(6 185075.52),(7 214804.72),(8 239416.5),(9 257979.52),(10 272114.84),(11 283309.28),(12 292831.34),(13 301010.7),(14 306830.03),(15 312242.94),(16 318420.28),(17 324903.88),(18 332215.53),(19 339768.72),(20 347160.44),(21 352911.53),(22 356204.28),(23 358682.25),(24 360009.88),(25 361311.34),(26 362285.06),(27 363846.44),(28 364584.1),(29 366249.84),(30 368681.97),(31 370480.2),(32 371553.16),(33 371644.66),(34 369783.6),(35 367640.1),(36 366183.25),(37 365968.7),(38 367624.5),(39 369200.56),(40 371356.03),(41 371926.22),(42 372440),(43 371394.56),(44 370220.38),(45 369574.88),(46 368707.25),(47 368076.75),(48 368884.88),(49 369122.97),(50 368512.3),(51 367424.22),(52 367073.94),(53 367235.78),(54 368368.5),(55 371269.8),(56 375187.5),(57 379626.28),(58 385137.25),(59 389696.75),(60 392466.63),(61 394527.1),(62 395083.6),(63 394285.34),(64 394926.9),(65 395958.34),(66 397173.53),(67 398238.53),(68 399305.6),(69 400607.1),(70 401722.16),(71 402537.34),(72 403069.34),(73 402666.66),(74 401408.13),(75 399776.2),(76 397267.4),(77 394937.47),(78 392432.8),(79 390970.44),
(1 10556.952),(2 35885.9),(3 70744.58),(4 109120.19),(5 145764.22),(6 178662.78),(7 206115.27),(8 227180.5),(9 242473.33),(10 253380.42),(11 261800.95),(12 267663.44),(13 272025.03),(14 274858.56),(15 277704.34),(16 281260.63),(17 284546.34),(18 288633.72),(19 294726.94),(20 303059.53),(21 310149.94),(22 316846.63),(23 323848.25),(24 330933.94),(25 336541.44),(26 341877.25),(27 348105.84),(28 352982.25),(29 356747.56),(30 359614.22),(31 361520.06),(32 361490),(33 360513.47),(34 359242.8),(35 359307.75),(36 360460.66),(37 362972.97),(38 366741),(39 371026.56),(40 374982.84),(41 377890.44),(42 381168.2),(43 382504.38),(44 381862.38),(45 380709.66),(46 378950.38),(47 377504.28),(48 374314.7),(49 370485.28),(50 366972.56),(51 364369.1),(52 365048.13),(53 367412.63),(54 369919.16),(55 373475.78),(56 377095.94),(57 380781.3),(58 383450.84),(59 384904.97),(60 385343.34),(61 385153.63),(62 383154.56),(63 379404.78),(64 374859.06),(65 370910),(66 368388.38),(67 367412.44),(68 366923.06),(69 368082.13),(70 369095.06),(71 368958.06),(72 367282.22),(73 364591.06),(74 361092),(75 360883.75),(76 362009.84),(77 365288.06),(78 370078.16),(79 375050.44),
(1 11013.621),(2 37980.605),(3 75486.37),(4 116353.95),(5 156324.9),(6 192670.52),(7 223265.9),(8 248227.66),(9 267053.22),(10 280786.3),(11 290910.97),(12 299733.8),(13 306294.6),(14 310355.7),(15 312570.56),(16 315999.47),(17 319165.38),(18 323173.97),(19 327957.8),(20 333287.66),(21 337661.16),(22 340801.94),(23 344085.66),(24 348439.53),(25 353136.66),(26 355701.06),(27 355786.66),(28 354198.75),(29 352189.47),(30 348442.4),(31 346545.63),(32 344364.1),(33 343190.28),(34 345439.28),(35 352375.5),(36 361701.8),(37 371899.75),(38 381752.38),(39 390868.7),(40 397751.03),(41 402972.53),(42 405688.47),(43 405591.16),(44 403747.25),(45 401130.28),(46 398057.4),(47 395536.16),(48 394579.3),(49 397362.1),(50 402229.66),(51 409507.66),(52 416508.53),(53 423037.47),(54 427554.72),(55 429089.63),(56 427126.9),(57 420977.44),(58 413116.28),(59 404826.28),(60 396669.34),(61 388852.56),(62 380700.4),(63 373463.25),(64 367061.53),(65 363155.22),(66 360905.53),(67 360981.6),(68 362536.88),(69 364700.4),(70 368706.97),(71 371756.53),(72 375041.63),(73 377894.5),(74 379658.28),(75 382102.75),(76 382715.03),(77 382403.47),(78 383003.94),(79 382708.94),
(1 11377.109),(2 39652.22),(3 78279.32),(4 120613.24),(5 161394.22),(6 197217.63),(7 226542.6),(8 248208.23),(9 263028.72),(10 272871.3),(11 278194.34),(12 280262.4),(13 280189.97),(14 278056.3),(15 275372.56),(16 273173.6),(17 272633.9),(18 274565.1),(19 277811.6),(20 282987.5),(21 288132.8),(22 292214.1),(23 295659.03),(24 298686.25),(25 301369.1),(26 303090.84),(27 303994.22),(28 303526.8),(29 302020),(30 297941.34),(31 293848.78),(32 290573.97),(33 289305.44),(34 290429.94),(35 293309.1),(36 297258.6),(37 300788),(38 303443.44),(39 305822.13),(40 307097.88),(41 306706.13),(42 305173.06),(43 302762.3),(44 301531.56),(45 302944.44),(46 307833.44),(47 312647.13),(48 318953.56),(49 325596.3),(50 332447.03),(51 338437),(52 344612.56),(53 351023.7),(54 357064.28),(55 362491.34),(56 366438.7),(57 369258),(58 370627.6),(59 369718.63),(60 366844.2),(61 363588.13),(62 360118.22),(63 356061.78),(64 352573.88),(65 349466.66),(66 346449.7),(67 344820.97),(68 344050.16),(69 344105.44),(70 344157.16),(71 343139.7),(72 341895.28),(73 340814.97),(74 339705.56),(75 339710.66),(76 338755.97),(77 338418.3),(78 339095.16),(79 339220.66),
(1 10937.827),(2 37168.375),(3 71601.7),(4 109224.05),(5 146042.4),(6 179020.17),(7 205294.53),(8 225786.47),(9 240683.38),(10 252111.28),(11 261300.53),(12 268822.25),(13 275132.34),(14 281058.25),(15 288044.66),(16 294908.75),(17 302556.28),(18 310524.03),(19 317654.5),(20 324351.56),(21 329321.38),(22 331289),(23 333235.94),(24 335928.25),(25 336975.34),(26 336401.66),(27 333679.13),(28 329122.75),(29 323734.63),(30 316574.78),(31 308133.84),(32 300565.5),(33 295360.63),(34 292383.47),(35 291441.2),(36 292512.72),(37 294073.25),(38 296101.53),(39 299371.06),(40 301718.2),(41 303330.94),(42 304798.75),(43 306318.28),(44 307573.66),(45 309363.66),(46 311705.13),(47 312804.28),(48 314881.72),(49 315746.06),(50 316784),(51 316053.16),(52 315311.34),(53 315056.25),(54 315675.75),(55 317209.66),(56 318862.66),(57 321993.56),(58 324101.34),(59 326463.1),(60 328542),(61 330364),(62 332417.9),(63 334530.84),(64 336608.1),(65 338717.8),(66 339605.44),(67 339777.13),(68 339595.8),(69 339091.75),(70 338596.66),(71 337685.7),(72 335789.97),(73 333756.75),(74 332632.84),(75 332823.06),(76 332593.56),(77 333115.53),(78 332875.53),(79 332169.2),
(1 10464.593),(2 35695.902),(3 68991.375),(4 104724.4),(5 139385.08),(6 170275.58),(7 196359.75),(8 217157.05),(9 232799.4),(10 244783.16),(11 253802.55),(12 261354.48),(13 265989.6),(14 271179.84),(15 276931.56),(16 284799.94),(17 293151.66),(18 300690.78),(19 308465.9),(20 314706.53),(21 318702),(22 321109.13),(23 321896.8),(24 321532.72),(25 319555.34),(26 317745.6),(27 316929.44),(28 315230.8),(29 313867.94),(30 311687.06),(31 308748.56),(32 307138.03),(33 307240.4),(34 308801.6),(35 310891.25),(36 312375),(37 311883.28),(38 308827.9),(39 304637.56),(40 299417.28),(41 294646.56),(42 290645.63),(43 288212.28),(44 287021.9),(45 286913.84),(46 288410.03),(47 291644.8),(48 294291.63),(49 295294.94),(50 295986.75),(51 295862.56),(52 294460.75),(53 293148),(54 292378.44),(55 291003.7),(56 289321.3),(57 288175.44),(58 286676.2),(59 287349.13),(60 287265.78),(61 288079.75),(62 289934.06),(63 292967.72),(64 297054.06),(65 302867.6),(66 308764.47),(67 315291.9),(68 320864.13),(69 325826.22),(70 330883.63),(71 333815.97),(72 335936.88),(73 337951.13),(74 339026.88),(75 340732.2),(76 341975.13),(77 344397.4),(78 345675.25),(79 346013.56),
(1 10525.575),(2 35836.223),(3 69278.086),(4 105264.92),(5 139068.63),(6 168725.78),(7 191620.84),(8 207504.1),(9 217268.25),(10 222821.55),(11 225057.28),(12 225513.13),(13 225919.2),(14 227883.95),(15 231561.33),(16 236509.36),(17 242526.06),(18 249220.58),(19 256659.66),(20 263283),(21 268034.3),(22 271825.56),(23 273924.75),(24 275750.5),(25 276922.13),(26 278559.88),(27 278803.72),(28 277087.34),(29 274740.44),(30 274817.34),(31 276157.53),(32 279663.84),(33 283949.8),(34 287818.66),(35 291435.75),(36 294024.94),(37 294502.66),(38 294258.8),(39 292939.2),(40 291622.78),(41 291044.38),(42 290009.63),(43 289469.1),(44 290189.56),(45 289879.88),(46 290242.03),(47 288996.84),(48 288288.53),(49 287906.25),(50 287265.44),(51 285728.56),(52 284097.63),(53 282343.6),(54 279371.75),(55 275658.2),(56 272656.56),(57 269497.56),(58 269026.13),(59 268444.66),(60 266892.97),(61 265849.22),(62 264849.84),(63 265315.53),(64 268086.84),(65 272394.03),(66 278247.78),(67 284835.66),(68 290648.7),(69 295158.6),(70 299700.75),(71 304860.56),(72 311408.88),(73 317711.03),(74 324321.88),(75 330293),(76 333270.03),(77 335415.75),(78 337516.25),(79 339696.75),
(1 11005.136),(2 37528.87),(3 73316.31),(4 111117.23),(5 146362.56),(6 176454.97),(7 199402.5),(8 215052.63),(9 224043.72),(10 228183.56),(11 228589.03),(12 227234.13),(13 226346.17),(14 227328.58),(15 230308.63),(16 235718.22),(17 243873.03),(18 254247.6),(19 265544.25),(20 275599.28),(21 282267.25),(22 285852),(23 287381.34),(24 286561),(25 284587.66),(26 281639.63),(27 277262.72),(28 273544.5),(29 270118.53),(30 268465.34),(31 268280.2),(32 269546.06),(33 270619.34),(34 271792.47),(35 273424.94),(36 274965.03),(37 274258.97),(38 271474.44),(39 267249.16),(40 262237.4),(41 257079.78),(42 252170.22),(43 247987.66),(44 244233.83),(45 242165.1),(46 241642.23),(47 243063.39),(48 245150.16),(49 245802.16),(50 245786.56),(51 244919.36),(52 242268.97),(53 240536.9),(54 238868.61),(55 238496.17),(56 239378.02),(57 241630.5),(58 244908.56),(59 249141.64),(60 254125.42),(61 260088.52),(62 265652.7),(63 270729.97),(64 276168.9),(65 281865.03),(66 288040.8),(67 293786.53),(68 298216.6),(69 301313.2),(70 304117.38),(71 306668.9),(72 309792.1),(73 313400.34),(74 316995.13),(75 320637.66),(76 322974.4),(77 323784.1),(78 323198.63),(79 322655.88),
(1 9790.72),(2 33287.727),(3 63784.434),(4 95795.75),(5 125873.01),(6 151717.08),(7 172104.98),(8 185802.66),(9 193350.66),(10 196946.2),(11 198037.56),(12 197524.2),(13 196915.72),(14 197294.02),(15 200505.39),(16 205167.73),(17 211105.67),(18 217857.48),(19 225412.06),(20 230981.78),(21 233834.3),(22 235939.9),(23 237015.13),(24 237408),(25 237055.89),(26 235123.3),(27 232692.38),(28 229899.27),(29 227991.3),(30 226200.98),(31 226583.1),(32 228746.11),(33 231640.48),(34 235620.89),(35 238762.73),(36 240141.44),(37 238592.95),(38 235287.28),(39 231794.38),(40 229445.45),(41 228191.17),(42 229166.72),(43 232582.52),(44 235985.7),(45 241341.34),(46 245789.4),(47 249621.02),(48 252388.72),(49 253189.98),(50 252494.11),(51 250930.39),(52 249602.02),(53 248677.28),(54 248331.23),(55 248435.1),(56 248440.44),(57 248314.13),(58 249966.1),(59 252247.48),(60 255436.1),(61 259221.66),(62 262221.72),(63 264487.4),(64 264884.97),(65 263553.8),(66 260783.56),(67 258240),(68 255412.95),(69 253122.1),(70 251122.56),(71 249597.73),(72 249007.95),(73 248732.61),(74 248627.22),(75 248214.17),(76 247722.05),(77 247826.56),(78 247417.78),(79 246491.66),
(1 10093.508),(2 34090.805),(3 64980.617),(4 97157.125),(5 126307.02),(6 151223.83),(7 170310.19),(8 184076.4),(9 192378.34),(10 197520.17),(11 200889.39),(12 202897.6),(13 204466.48),(14 206552.28),(15 208840.05),(16 211201.86),(17 213787.89),(18 216210.3),(19 218988.63),(20 221678.36),(21 223989.44),(22 225132.8),(23 225543.33),(24 224550.28),(25 222959.2),(26 222094.19),(27 221978.2),(28 221002.61),(29 221134.86),(30 221793.14),(31 222711.52),(32 223380.42),(33 224260.47),(34 226261.02),(35 227910.77),(36 228613.6),(37 228189.16),(38 227330.06),(39 225673.98),(40 224053.03),(41 223343.03),(42 225220.6),(43 228022.95),(44 230615.5),(45 234881.44),(46 239512.67),(47 243558.86),(48 245639.23),(49 245800.02),(50 243949.66),(51 242202.55),(52 240280.97),(53 238754.48),(54 237700.77),(55 238161.6),(56 239221.47),(57 240107.17),(58 241325.27),(59 242455.02),(60 243643.77),(61 245776.05),(62 248729.77),(63 251858.63),(64 255120.61),(65 257775.08),(66 259495.83),(67 260509.16),(68 261273.1),(69 261470.25),(70 261089.38),(71 260028.92),(72 258664.13),(73 257225.7),(74 256243.69),(75 255849.94),(76 254728.8),(77 252894.28),(78 250677.6),(79 248588.6),
(1 9851.309),(2 33006.45),(3 63264.383),(4 94972.914),(5 123695.484),(6 148425.25),(7 167821.7),(8 181950.53),(9 191317.83),(10 197645.13),(11 201282.3),(12 202923.1),(13 203620.55),(14 203768.36),(15 205537.39),(16 207141.06),(17 209026.13),(18 211361.45),(19 213594.89),(20 216087.78),(21 219054.34),(22 222254.38),(23 223805.39),(24 225924.2),(25 227392.2),(26 228777.06),(27 230360.23),(28 231308.22),(29 232495.53),(30 233819.53),(31 235755.63),(32 237899.13),(33 239503.28),(34 240095.95),(35 239990.14),(36 238527.25),(37 235688),(38 233162.55),(39 230671.69),(40 227166.89),(41 223820.53),(42 221391.02),(43 220891.69),(44 222095.5),(45 224643.17),(46 227325.5),(47 230339.17),(48 232373.06),(49 233765.23),(50 234831.55),(51 237272.83),(52 239582.45),(53 242127.53),(54 245541.86),(55 249871.39),(56 254291.64),(57 257759.61),(58 258723.69),(59 257569.31),(60 254823.28),(61 252044.22),(62 250125.48),(63 249820.97),(64 250568.22),(65 252645.95),(66 255897.75),(67 259748.9),(68 263240.4),(69 266395.72),(70 269762.44),(71 273023.3),(72 276050.6),(73 277287.8),(74 277026.25),(75 275790.94),(76 273360.47),(77 270281.53),(78 265771),(79 259985.39),
(1 10128.986),(2 33812.887),(3 63836.164),(4 94713.98),(5 122722.63),(6 146597.84),(7 165260.3),(8 179078.4),(9 188568.33),(10 194729.66),(11 199293.81),(12 202482.16),(13 205593.94),(14 209306.13),(15 213981.13),(16 218847.92),(17 222902.98),(18 227319.73),(19 231493.19),(20 234287.6),(21 236184.73),(22 237939.06),(23 238509.22),(24 239153.58),(25 238906.28),(26 239234.2),(27 240044.92),(28 239486.06),(29 240463.47),(30 240832.72),(31 241444.53),(32 242059.84),(33 242553.48),(34 242354.98),(35 241271.61),(36 240409.92),(37 240482.05),(38 241424.4),(39 242943.11),(40 243629.11),(41 244394.2),(42 245685),(43 247101.92),(44 248524.58),(45 249672.08),(46 250917.73),(47 252329.02),(48 253942.55),(49 256474.4),(50 258709.72),(51 260454.86),(52 262264.22),(53 264576.84),(54 266314.06),(55 267934.66),(56 269145.6),(57 268552.9),(58 266453.56),(59 262101.13),(60 255975.11),(61 249365.19),(62 243191.84),(63 238099.58),(64 234841.31),(65 233534.45),(66 234703.42),(67 236780.67),(68 239894.2),(69 243622.28),(70 247234.48),(71 251064.2),(72 253878.92),(73 254428.25),(74 253455.88),(75 252055.39),(76 250306.13),(77 248530.66),(78 246331.89),(79 242359.78),
(1 9315.339),(2 31259.373),(3 59015.465),(4 87928.68),(5 113794.79),(6 135084.2),(7 151197.3),(8 162616.7),(9 170389.73),(10 175791.95),(11 179491.78),(12 182019.08),(13 183658.77),(14 186173.25),(15 190522.67),(16 195092.84),(17 200666.77),(18 206140.56),(19 210411.23),(20 212949.58),(21 214918.73),(22 216683.66),(23 216758.73),(24 216695.67),(25 215787.56),(26 214265.9),(27 213008.42),(28 212340.33),(29 212919.84),(30 213909.33),(31 215844.69),(32 218033.22),(33 220344.4),(34 221742.88),(35 220639.67),(36 217302.47),(37 212353.86),(38 206514.95),(39 200861.33),(40 195317.61),(41 191704.08),(42 190296.14),(43 190972.06),(44 193525.78),(45 199084.63),(46 205734.95),(47 211879.16),(48 217441.73),(49 221117.98),(50 223688.64),(51 226113.52),(52 228440.78),(53 230664.61),(54 232509.39),(55 234039.36),(56 233924.08),(57 232865.94),(58 229440.13),(59 225607.67),(60 222029.94),(61 220485.13),(62 219965.5),(63 218331.58),(64 217939.36),(65 218262.67),(66 219133.66),(67 219808.08),(68 220877.6),(69 221454.67),(70 222043.02),(71 222467.94),(72 222496.67),(73 221537.23),(74 219424.5),(75 218031.3),(76 216308.02),(77 215666.63),(78 214214.84),(79 212328.64),
(1 9394.73),(2 31238.344),(3 59454.523),(4 88254.41),(5 113717.88),(6 134901.64),(7 149990.48),(8 158952.31),(9 163258.27),(10 164783.84),(11 165199.13),(12 165235.81),(13 166246.23),(14 169491.1),(15 174312.75),(16 179702.58),(17 186100),(18 191672.36),(19 195725.47),(20 196937.83),(21 196880.88),(22 196671.13),(23 196719.92),(24 198996.75),(25 201486.94),(26 204955.66),(27 207813.31),(28 211231.31),(29 214463.2),(30 217904.72),(31 221534.66),(32 224718.94),(33 227387.13),(34 227640.13),(35 225984.72),(36 222924.58),(37 219923.64),(38 217803.9),(39 216021.06),(40 215074.88),(41 215018.17),(42 216480.22),(43 219366.02),(44 222545.27),(45 225771.92),(46 228005.05),(47 229811.53),(48 230743.02),(49 229911.66),(50 226953.64),(51 223832.77),(52 221249.86),(53 218491.88),(54 215611.4),(55 212887.86),(56 210748.75),(57 209965.7),(58 208536.81),(59 207946.58),(60 206382.36),(61 204325.34),(62 202188.72),(63 199776.64),(64 198230.89),(65 197832.5),(66 198566.22),(67 199284.1),(68 199970.39),(69 200823.88),(70 201686.22),(71 203700.52),(72 207320.23),(73 211153.55),(74 214943.64),(75 219206.47),(76 223189.47),(77 226708.88),(78 228722.22),(79 229016.98),
(1 9529.946),(2 31174.059),(3 58559.816),(4 85906.234),(5 109243.41),(6 127930.59),(7 141289.44),(8 149486.6),(9 152499.47),(10 152285.1),(11 151665.75),(12 151542.86),(13 152213.33),(14 154375.98),(15 158717.94),(16 164236.13),(17 170320.19),(18 175641.81),(19 178954.08),(20 178934.67),(21 177097.89),(22 174625.98),(23 172805.06),(24 173019.44),(25 173712.06),(26 175646.08),(27 178249.94),(28 181810.44),(29 185320.36),(30 189980.1),(31 194127.48),(32 198013.83),(33 201975.7),(34 204788.75),(35 207060.64),(36 208609.7),(37 209371.3),(38 209289.98),(39 208938.19),(40 208472.73),(41 208470.9),(42 209187.61),(43 210379.9),(44 211747.44),(45 212462.72),(46 211302.66),(47 208224.28),(48 205374.3),(49 201685.88),(50 198438.84),(51 195655.55),(52 193948.7),(53 193026.02),(54 191895.58),(55 189994.47),(56 188294.78),(57 186631.75),(58 183051.25),(59 179856.73),(60 176762.55),(61 173858.9),(62 171678.89),(63 171156.81),(64 172260.33),(65 174366.88),(66 177853.1),(67 181641.56),(68 184491.16),(69 187896.9),(70 190760.25),(71 193730.9),(72 196515.63),(73 198835.25),(74 200147.52),(75 201186.88),(76 202589.13),(77 204281.9),(78 205886.34),(79 207991.17),
(1 9185.248),(2 30347.01),(3 57030.816),(4 83296.305),(5 104532.95),(6 119749.875),(7 129997.984),(8 136803.6),(9 139962.1),(10 140979.2),(11 141665.05),(12 142686.67),(13 143993.58),(14 146183.97),(15 149895.81),(16 154456.5),(17 159693.27),(18 164603.34),(19 167891.81),(20 168706.03),(21 168221.1),(22 167012.31),(23 165612.66),(24 164927.61),(25 164511.66),(26 165193.14),(27 166495.8),(28 168732.48),(29 171407.16),(30 174373.14),(31 176414.6),(32 177857.17),(33 178676.13),(34 178439.97),(35 177718.34),(36 175945.19),(37 174120.1),(38 172208.06),(39 170776.3),(40 169417.67),(41 169041.64),(42 169221.17),(43 171317.97),(44 173843.8),(45 176192.23),(46 177424.03),(47 176376.86),(48 175414),(49 173982.95),(50 173561.14),(51 172949.34),(52 171826.97),(53 171071.94),(54 170479.34),(55 169930.56),(56 169931.69),(57 170135.69),(58 169430.67),(59 168498.33),(60 167169.7),(61 166460.11),(62 166332.72),(63 168067.89),(64 170745.33),(65 173818.31),(66 177545.02),(67 181679.16),(68 185491.48),(69 188757.3),(70 190633.3),(71 192145.55),(72 193076.98),(73 193274.44),(74 193179.05),(75 194095.98),(76 194656.44),(77 195502.08),(78 195912.22),(79 196893.05),
(1 9059.273),(2 29889.678),(3 55800.69),(4 81316.875),(5 102984.86),(6 119542.516),(7 131032.79),(8 138247.98),(9 141284.55),(10 142420.75),(11 143155.92),(12 144591.78),(13 147488.1),(14 151994.73),(15 157319.75),(16 162853.42),(17 168431.42),(18 174079.13),(19 178672.6),(20 180185.94),(21 180427.9),(22 180717.19),(23 179482.44),(24 178294.77),(25 177455.13),(26 177562.17),(27 177682.31),(28 178784.13),(29 179916.23),(30 181262.17),(31 183012.67),(32 185499.36),(33 187456.89),(34 188056.89),(35 187368.22),(36 185941.94),(37 185057.1),(38 184223.72),(39 182382.3),(40 179672.28),(41 177416.98),(42 175384.6),(43 173973.11),(44 173433.84),(45 173805.39),(46 174932.69),(47 175927.1),(48 176278.34),(49 176640.47),(50 177476.2),(51 178546.05),(52 180114.23),(53 181579.06),(54 182847.45),(55 183638.34),(56 183465.25),(57 183418.42),(58 183440.67),(59 183345.19),(60 183654.64),(61 184490.17),(62 186249.16),(63 188994.97),(64 192497.94),(65 196613.56),(66 200430.67),(67 203881.56),(68 206963.11),(69 209792.8),(70 213414.42),(71 217031.05),(72 219513.27),(73 220595.05),(74 219886.39),(75 218667.95),(76 216524.23),(77 213781.83),(78 212534.94),(79 212119.02),
