1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80120.06),(2 216411.8),(3 407789.34),(4 701719.7),(5 985827.8),(6 1287097.6),(7 1648004),(8 1994989),(9 2330686.5),(10 2710764.8),(11 3060194.8),(12 3384686.8),(13 3726406.3),(14 4049348.8),(15 4348848),(16 4681786.5),(17 5017947.5),(18 5311162),(19 5681136.5),(20 6096229.5),(21 6520672),(22 7045890.5),(23 7600447.5),(24 8136474),(25 8756471),(26 9427535),(27 10135456),(28 11002026),(29 11832800),(30 12629225),(31 13489179),(32 14402467),(33 15250984),(34 16210903),(35 17147934),(36 18048524),(37 19011562),(38 20028058),(39 20950142),(40 21856258),(41 22783054),(42 23608494),(43 24395552),(44 25322922),(45 26202378),(46 27085514),(47 28008694),(48 28843970),(49 29712954),(50 30743736),(51 31686352),(52 32726040),(53 34060080),(54 35329092),(55 36885760),(56 38683080),(57 40417412),(58 42374236),(59 44374390),(60 46251132),(61 48325540),(62 50453120),(63 52368400),(64 54520588),(65 56727004),(66 58775332),(67 60861492),(68 62826804),(69 64252492),(70 65734484),(71 67286840),(72 68697704),(73 70319800),(74 71872616),(75 73099290),(76 74409390),(77 75625610),(78 76544050),(79 77440024),
(1 11646.677),(2 24820.928),(3 30118.42),(4 32892.254),(5 34596.02),(6 36290.32),(7 38804.41),(8 41042.21),(9 41732.07),(10 41753.402),(11 41782.57),(12 41640.87),(13 41650.973),(14 42511.496),(15 43743.383),(16 43502.617),(17 42283.32),(18 41542.676),(19 41776.21),(20 42266.44),(21 42486.477),(22 41702.43),(23 41350.117),(24 41675.684),(25 42375.164),(26 42233.242),(27 41987.242),(28 42015.58),(29 41829.684),(30 42200.543),(31 42892.703),(32 43110.523),(33 43000.645),(34 42741.617),(35 43071.484),(36 42915.137),(37 42256.39),(38 42084.19),(39 42628.043),(40 42235.34),(41 42650.324),(42 43259.293),(43 43852.742),(44 44503.477),(45 44428.117),(46 44389.348),(47 44728.73),(48 45349.633),(49 46015.723),(50 46498.563),(51 46670.52),(52 46772.805),(53 46277.33),(54 45665.92),(55 45906.043),(56 46712.574),(57 45917.23),(58 45538.484),(59 45235.594),(60 44939.07),(61 45109.273),(62 46001.31),(63 46737.85),(64 46789.75),(65 46753.777),(66 47133.027),(67 47941.91),(68 48764.08),(69 48934.68),(70 49507.617),(71 49892.516),(72 50294.863),(73 50608.863),(74 50736.277),(75 51287.23),(76 51241.844),(77 50599.17),(78 50454.184),(79 51443.637),
(1 10903.189),(2 23014.738),(3 28525.365),(4 32085.557),(5 33731.438),(6 34259.766),(7 35426.816),(8 36893.1),(9 37856.656),(10 37952.145),(11 37659.063),(12 37587.113),(13 38320.402),(14 39719.434),(15 40789.426),(16 40393.25),(17 39712.348),(18 39141.668),(19 39657.254),(20 39961.848),(21 39927.547),(22 39446.86),(23 39986.855),(24 40559.33),(25 41662.96),(26 41357.426),(27 41517.04),(28 41245.69),(29 40742.258),(30 40351.28),(31 40503.09),(32 40845.875),(33 40022.344),(34 39285.016),(35 39607.86),(36 39814.563),(37 40061.316),(38 40684.348),(39 40911.64),(40 41087.176),(41 41869.707),(42 42110.73),(43 42211.586),(44 42182.324),(45 41890.58),(46 41382.46),(47 41260.934),(48 41997.16),(49 43108.465),(50 43500.03),(51 43737.902),(52 43223.105),(53 42756.715),(54 42832.816),(55 43091.96),(56 44161.297),(57 44887.938),(58 45048.113),(59 44763.65),(60 45660.242),(61 46631.316),(62 46378.836),(63 45994.895),(64 46015.555),(65 46532.516),(66 47067.39),(67 47257.754),(68 47603.258),(69 48246.285),(70 49077.063),(71 49098.883),(72 49251.926),(73 49561.074),(74 50124.316),(75 50600.484),(76 50293.594),(77 50417.055),(78 50028.074),(79 50227.324),
(1 10888.011),(2 23086.607),(3 27990.934),(4 30394.824),(5 31450.188),(6 31646.701),(7 32471.02),(8 33278.66),(9 33923.66),(10 34367.457),(11 34173.88),(12 33410.633),(13 33853.543),(14 34802.81),(15 35104.977),(16 35180.69),(17 35184.047),(18 35560.023),(19 36787.23),(20 37123.563),(21 37245.504),(22 37278.844),(23 37327.535),(24 37806.79),(25 38227.23),(26 38160.81),(27 38253.33),(28 38676.87),(29 38584.78),(30 38738.504),(31 39761.16),(32 40377.875),(33 39623.574),(34 39733.645),(35 39915.574),(36 39918.668),(37 40329.1),(38 40334.42),(39 40969.867),(40 41346.82),(41 41664.59),(42 42550.516),(43 42667.656),(44 42998.1),(45 43015.434),(46 42736.723),(47 43050.715),(48 44263.957),(49 45557.965),(50 45373.855),(51 45331.016),(52 45661.42),(53 45251.836),(54 44945.62),(55 45129.445),(56 45193.16),(57 44549.313),(58 44253.56),(59 44562.23),(60 44613.867),(61 44969.902),(62 45665.6),(63 45959.387),(64 46323.73),(65 46291.445),(66 46125.27),(67 46177.426),(68 46453.375),(69 47114.324),(70 46892.74),(71 46625.277),(72 47051.145),(73 47285.72),(74 47498.492),(75 47685.14),(76 48119.063),(77 48233.113),(78 47999.66),(79 47751.95),
(1 10595.384),(2 21979.215),(3 27111.785),(4 29740.844),(5 30502.428),(6 30895.275),(7 31847.396),(8 33236.652),(9 33976.047),(10 34324.88),(11 34488.465),(12 34315.73),(13 34941.78),(14 35760.402),(15 36424.43),(16 36077.227),(17 35463.79),(18 35119.434),(19 35231.348),(20 36204.766),(21 37621.895),(22 38001.31),(23 38097.25),(24 37947.02),(25 38097.5),(26 38183.59),(27 38094.773),(28 38286.84),(29 38810.152),(30 39182.66),(31 39430.668),(32 39685.266),(33 39384.54),(34 38504.5),(35 38334.43),(36 38773.84),(37 39307.25),(38 39635.4),(39 39930.363),(40 39868.465),(41 39357.2),(42 40258.01),(43 41125.523),(44 41532.87),(45 41806.555),(46 42557.227),(47 43495.34),(48 44361.54),(49 45044.164),(50 44852.15),(51 44971.42),(52 44900.88),(53 44459.234),(54 44462.273),(55 44770.09),(56 45509),(57 45091.324),(58 45244.105),(59 45480.145),(60 45744.773),(61 45854.805),(62 46432.086),(63 47248.746),(64 48097.72),(65 48406.18),(66 48433.676),(67 48203.332),(68 48260.33),(69 48275.75),(70 47721.49),(71 47337.047),(72 47261.836),(73 47778.668),(74 48138.617),(75 47894.273),(76 47077.88),(77 46637.086),(78 46645.855),(79 47358.418),
(1 10645.81),(2 22269.393),(3 27970.986),(4 30680.703),(5 31262.27),(6 31711.775),(7 32509.871),(8 33902.293),(9 34725.254),(10 34514.793),(11 34702.633),(12 34723.625),(13 35599.613),(14 36672.86),(15 37267.34),(16 37311.836),(17 37099.863),(18 37448.61),(19 38319.094),(20 38250.242),(21 37974.727),(22 37318.168),(23 36692.367),(24 36222.945),(25 36601.3),(26 36248.098),(27 36035.633),(28 36397.152),(29 36796.758),(30 36935.46),(31 36715.18),(32 36082.63),(33 36029.797),(34 36675.9),(35 37764.258),(36 38169.87),(37 37830.242),(38 37930.77),(39 38576.96),(40 38908.24),(41 38938.598),(42 39601.918),(43 39854.438),(44 39486.99),(45 39485.7),(46 39796.996),(47 40671.86),(48 41345.36),(49 41936.87),(50 42264.56),(51 41812.61),(52 41349.723),(53 41289.348),(54 40925.363),(55 41486.914),(56 41750.81),(57 41870.613),(58 42050.26),(59 42931.836),(60 43538.688),(61 43836.477),(62 44355.82),(63 45196.594),(64 45774.688),(65 45848.41),(66 45825.977),(67 46675.414),(68 47254.223),(69 47163.203),(70 46715.504),(71 46170.81),(72 45912.133),(73 46262.867),(74 46461.316),(75 46831.18),(76 47102.7),(77 47108.73),(78 46780.82),(79 47014.832),
(1 10763.136),(2 22415.049),(3 27638.984),(4 29935.09),(5 30152.086),(6 30198.928),(7 30894.275),(8 31997.203),(9 32344.78),(10 32332),(11 33049.168),(12 32982.824),(13 32930.355),(14 32706.928),(15 32947.75),(16 33487.55),(17 34233.285),(18 34837.19),(19 35099.91),(20 34953.8),(21 35006.207),(22 34633.68),(23 34391.523),(24 34805.004),(25 34999.043),(26 34882.94),(27 35224.883),(28 35944.477),(29 36329.754),(30 36999.355),(31 37194.445),(32 37304.016),(33 37732.16),(34 37978.246),(35 37923.7),(36 38236.945),(37 38544.188),(38 38720.26),(39 39098.19),(40 39675.363),(41 40410.86),(42 41074.33),(43 41141.29),(44 40624.977),(45 39993.37),(46 40210.19),(47 41433.33),(48 42075.098),(49 42550.527),(50 42923.72),(51 42569.535),(52 41773.848),(53 41062.707),(54 40970.836),(55 41212.02),(56 40949.484),(57 41219),(58 41593.348),(59 41995.48),(60 42107.023),(61 42780.746),(62 43023.55),(63 43225.266),(64 43567.06),(65 43709.055),(66 43757.31),(67 44245.605),(68 44788.027),(69 45273.523),(70 44664.742),(71 44732.66),(72 44955.18),(73 45146.49),(74 45571.598),(75 45998.16),(76 45699.676),(77 45575.7),(78 45861.527),(79 46723.836),
(1 10375.316),(2 21466.719),(3 25990.266),(4 28235.34),(5 29347.686),(6 29713.453),(7 30603.037),(8 32131.557),(9 32673.572),(10 33365.457),(11 34151.367),(12 34257.547),(13 33878.777),(14 34104.668),(15 34135.594),(16 33923.742),(17 34573.04),(18 35138.504),(19 35647.223),(20 35383.594),(21 34825.156),(22 34111.11),(23 33474.688),(24 33594.547),(25 33523.27),(26 33250.617),(27 32696.803),(28 32862.07),(29 32823.453),(30 32941.28),(31 33801.938),(32 33989.89),(33 34482.266),(34 34622.164),(35 34802.918),(36 35801.402),(37 37060.24),(38 37165.207),(39 37374.9),(40 37227.01),(41 37568.074),(42 37967.652),(43 38273.94),(44 38319.07),(45 38207.918),(46 38520.914),(47 39161.918),(48 40253.117),(49 41496.39),(50 42053.67),(51 41671.094),(52 40432.965),(53 40153.555),(54 39975.652),(55 40476),(56 41222.44),(57 41550.188),(58 41550.59),(59 41916.4),(60 42080.2),(61 42504.543),(62 42746.234),(63 43320.906),(64 43739.793),(65 43542.258),(66 43261.395),(67 42900.984),(68 42767.9),(69 42597.367),(70 42470.492),(71 41911.69),(72 42022.074),(73 41680.914),(74 42199.51),(75 43013.625),(76 42582.277),(77 41851.918),(78 41603.063),(79 41712.094),
(1 10316.249),(2 21433.201),(3 25381.09),(4 27758.2),(5 28763.81),(6 29319.098),(7 30194.41),(8 30848.117),(9 31016.545),(10 31733.713),(11 32640.053),(12 32684.416),(13 32740.121),(14 32763.756),(15 32539.494),(16 33024.582),(17 33756.14),(18 33967.25),(19 33905.6),(20 34663.81),(21 34865.844),(22 34329.875),(23 34277.67),(24 34271.215),(25 34136.887),(26 34118.62),(27 33979.242),(28 33969.8),(29 34201.527),(30 34962.848),(31 35840.33),(32 36130.445),(33 36729.844),(34 36699.066),(35 36448.36),(36 37072.95),(37 37726.957),(38 37483.242),(39 36790.895),(40 36708.496),(41 36769.28),(42 37176.79),(43 37872.43),(44 37717.953),(45 37457.227),(46 37213.996),(47 37687.703),(48 38094.293),(49 37953.86),(50 37913),(51 37230.16),(52 37072.984),(53 37232.605),(54 37214.367),(55 37555.926),(56 37777.727),(57 38059.57),(58 38136.66),(59 38418.563),(60 38425.195),(61 38438.168),(62 38825.67),(63 39290.465),(64 39251.15),(65 38846.844),(66 38652.414),(67 38536.6),(68 38983.875),(69 39727.07),(70 40033.29),(71 39980.48),(72 39694.953),(73 39480.31),(74 39884.125),(75 40348.47),(76 40295.402),(77 40090.17),(78 40598.844),(79 40505.297),
(1 9875.339),(2 20275.854),(3 24390.166),(4 26469.232),(5 26991.822),(6 27190.49),(7 27950.174),(8 29095.205),(9 29537.28),(10 30568.992),(11 31337.525),(12 31338.08),(13 31091.725),(14 30697.37),(15 30886.44),(16 31900.53),(17 32943.27),(18 33190.527),(19 33480.055),(20 33004.176),(21 33163.848),(22 33369.07),(23 33280.504),(24 33355.824),(25 33632.652),(26 33318.215),(27 33419.395),(28 33689.668),(29 33766.45),(30 33941.914),(31 33786.26),(32 33917.19),(33 34706.71),(34 34648.434),(35 34391.582),(36 34664.176),(37 35389.598),(38 35195.043),(39 34706.137),(40 34656.086),(41 34707.63),(42 35221.63),(43 35521.3),(44 36024.2),(45 35775.824),(46 36153.027),(47 37137.816),(48 37577.2),(49 37567.293),(50 37035.27),(51 36186.48),(52 35320.12),(53 35304.19),(54 35993.69),(55 36411.81),(56 36768.89),(57 37391.74),(58 37808.324),(59 37978.84),(60 37734.395),(61 38107.477),(62 38778.074),(63 39124.355),(64 39488.08),(65 38910.793),(66 39008.49),(67 38878.418),(68 39553.434),(69 40129.688),(70 40285.973),(71 39768.582),(72 39396.84),(73 39189.285),(74 39309.133),(75 39125.027),(76 39339.035),(77 39978.133),(78 40223.832),(79 39752.62),
(1 9791.757),(2 20151.379),(3 24058.957),(4 25782.514),(5 26458.352),(6 27014.441),(7 28115.709),(8 29020.744),(9 28870.047),(10 29047.158),(11 29713.39),(12 29600.096),(13 29772.752),(14 30425.715),(15 31339.717),(16 31836.328),(17 32243.773),(18 32094.357),(19 31779.01),(20 31528.629),(21 32059.814),(22 32538.916),(23 32794.094),(24 32994.137),(25 33048.27),(26 33709.445),(27 33888.71),(28 33482.6),(29 33147.242),(30 33133.617),(31 33562.895),(32 33509.78),(33 33515.758),(34 32967.707),(35 33194.746),(36 33230.04),(37 33658.72),(38 33699.77),(39 33105.586),(40 32699.305),(41 32816.46),(42 33562.727),(43 34391.863),(44 34787.7),(45 34661.07),(46 34058.64),(47 34292.195),(48 35171.637),(49 35549.145),(50 35250.547),(51 34934.414),(52 34697.914),(53 34962.938),(54 35616.227),(55 36206.88),(56 35856.746),(57 35802.563),(58 36146.91),(59 36690.49),(60 36973.6),(61 37492.79),(62 37694.87),(63 38087.16),(64 38338.645),(65 38463.973),(66 38192.805),(67 38140.316),(68 38526.35),(69 38606.637),(70 38161.027),(71 37959.227),(72 37449.703),(73 37169.227),(74 37711.4),(75 37702.945),(76 37252.01),(77 37156.45),(78 37295.695),(79 37495.48),
(1 10132.204),(2 20703.299),(3 24687.588),(4 26169.928),(5 26766.752),(6 27253.021),(7 27815.645),(8 28918.781),(9 29163.813),(10 29303.508),(11 29667.861),(12 29734.154),(13 29539.412),(14 29430.963),(15 29831.256),(16 30610.166),(17 31206.727),(18 30609.658),(19 30220.834),(20 30728.201),(21 31183.375),(22 31381.594),(23 31474.535),(24 31886.182),(25 32066.621),(26 32026.668),(27 32102.85),(28 32851.785),(29 33319.35),(30 33351.836),(31 33829.83),(32 34037.605),(33 34274.1),(34 33258.35),(35 33228.285),(36 33371.684),(37 33625.684),(38 34032.25),(39 34122.355),(40 34026.75),(41 34144.85),(42 34499.17),(43 35125.305),(44 35291.93),(45 35050.816),(46 34670.03),(47 35260.074),(48 35473.902),(49 34680.777),(50 33823.344),(51 33929.73),(52 34187.844),(53 34245.535),(54 34713.8),(55 34347.54),(56 34059.598),(57 34575.363),(58 35483.773),(59 35736.625),(60 36116.39),(61 36603.105),(62 36532.715),(63 36499.242),(64 36206.42),(65 36069.14),(66 36525.016),(67 36924.637),(68 36939.38),(69 37171.297),(70 37172.41),(71 36461.746),(72 36395.43),(73 36857.867),(74 37374.863),(75 37560.215),(76 37775.14),(77 37429.445),(78 37255.156),(79 36568.344),
(1 9995.342),(2 19807.766),(3 23442.525),(4 24515.201),(5 24759.883),(6 25686.457),(7 27373.178),(8 28268.002),(9 28455.994),(10 29263.908),(11 29688.475),(12 29151.574),(13 28573.09),(14 27924.877),(15 28305.072),(16 29926.436),(17 31006.95),(18 31144.967),(19 30838.426),(20 30494.566),(21 30407.043),(22 30488.598),(23 31103.1),(24 31616.832),(25 32256.736),(26 32747.832),(27 32746.277),(28 33115.313),(29 33178.66),(30 32882.582),(31 32695.998),(32 32909.316),(33 32725.71),(34 32493.873),(35 32372.7),(36 32605.88),(37 32482.916),(38 33076.39),(39 33083.363),(40 32692.672),(41 32763.77),(42 33538.703),(43 34097.586),(44 34152.348),(45 33966.69),(46 33976.527),(47 34251.53),(48 34479.78),(49 34491.684),(50 34504.813),(51 34977.402),(52 35038.76),(53 35287.402),(54 35486.332),(55 35806.03),(56 35615.836),(57 35859.777),(58 35872.77),(59 35830.67),(60 36027.117),(61 36369.863),(62 36533.082),(63 36299.68),(64 37048.07),(65 37030.81),(66 36844.047),(67 36301.063),(68 36368.18),(69 36662.94),(70 36781.836),(71 36720.91),(72 36652.836),(73 36938.105),(74 37501.242),(75 37679.004),(76 37513.816),(77 37399.625),(78 37761.883),(79 38217.387),
(1 9334.489),(2 18526.08),(3 22227.404),(4 23703.514),(5 24146.404),(6 25072.912),(7 26434.344),(8 27244.258),(9 27106.102),(10 27474.865),(11 27980.977),(12 28282.736),(13 28442.906),(14 28587.82),(15 28590.053),(16 28769.85),(17 29235.229),(18 29019.938),(19 29159.39),(20 29425.463),(21 29597.172),(22 29424.56),(23 29344.83),(24 29179.295),(25 29451.285),(26 29164.613),(27 29067.725),(28 29567.4),(29 29858.86),(30 29843.445),(31 29843.857),(32 29650.125),(33 29646.584),(34 29565.836),(35 29706.275),(36 29865.213),(37 29845.908),(38 30277.604),(39 29995.62),(40 30228.09),(41 30411.814),(42 30712.053),(43 31307.643),(44 31579.363),(45 31414.662),(46 31401.662),(47 31344.195),(48 31575.055),(49 31660.787),(50 32149.611),(51 32753.71),(52 32952.523),(53 33456.47),(54 33534.22),(55 32879.86),(56 32008.496),(57 32001.357),(58 32175.682),(59 33052.457),(60 33449.848),(61 33603.477),(62 33762.176),(63 33753.92),(64 34068.934),(65 34504.73),(66 34340.15),(67 34169.31),(68 34417.867),(69 35046.855),(70 35130.574),(71 35021.836),(72 35189.56),(73 35254.246),(74 35619.508),(75 35889.973),(76 35507.336),(77 35516.047),(78 35697.957),(79 35774.695),
(1 9885.926),(2 20199.746),(3 24076.344),(4 25225.098),(5 25517.32),(6 25953.574),(7 27277.318),(8 28008.861),(9 28001.066),(10 28388.621),(11 28713.81),(12 28607.14),(13 28784.902),(14 29379.879),(15 29826.252),(16 29801.33),(17 29932.113),(18 29488.379),(19 29213.352),(20 29357.438),(21 28928.809),(22 29227.457),(23 30229.434),(24 30797.354),(25 31129.744),(26 30581.396),(27 30011.525),(28 30109.838),(29 30736.254),(30 30086.527),(31 29514.027),(32 29815.748),(33 30856.39),(34 30988.6),(35 30826.17),(36 30635.219),(37 30623.04),(38 30754.219),(39 31197.924),(40 31302.197),(41 31200.969),(42 31058.861),(43 31260.777),(44 31274.084),(45 31314.7),(46 31713.158),(47 31799.2),(48 31969.795),(49 32900.68),(50 33274.11),(51 33336.168),(52 33351.973),(53 32918.85),(54 32464.36),(55 32398.77),(56 31922.646),(57 31592.563),(58 32001.46),(59 33165.707),(60 33516.496),(61 33211.46),(62 33162.527),(63 33697.48),(64 34180.13),(65 33846.293),(66 33608.71),(67 34012.176),(68 34379.324),(69 34611.742),(70 34744.36),(71 34650.855),(72 34810.355),(73 35294.613),(74 35566.625),(75 35695.633),(76 35830.324),(77 35795.586),(78 36126.51),(79 36941.375),
(1 9451.2705),(2 18619.445),(3 21810.027),(4 23361.828),(5 23746.682),(6 24785.088),(7 26037.498),(8 27012.139),(9 27056.63),(10 27363.469),(11 27329.182),(12 26911.252),(13 26886.79),(14 26965.05),(15 27609.252),(16 27946.418),(17 28055.387),(18 27694.479),(19 27673.887),(20 27666.695),(21 27845.738),(22 28700.408),(23 29580.291),(24 30300.3),(25 30241.395),(26 29827.857),(27 29341.68),(28 29795.04),(29 30289.521),(30 29644.006),(31 28819.744),(32 28952.068),(33 29588.049),(34 29876.049),(35 29474.785),(36 29626.729),(37 30068.607),(38 30762.262),(39 31016.715),(40 31423.488),(41 31707.53),(42 31323.945),(43 31374.086),(44 31165.822),(45 31201.984),(46 31536.143),(47 31630.719),(48 31724.64),(49 32404.066),(50 32918.04),(51 33120.305),(52 33624.906),(53 34000.027),(54 34203.086),(55 34233.824),(56 34354.004),(57 33983.92),(58 34127.137),(59 34257.35),(60 33959.61),(61 33653.035),(62 33915.504),(63 34169.043),(64 34113.832),(65 33541.51),(66 33557.594),(67 33743.098),(68 33879.32),(69 33691.117),(70 33055.26),(71 32934.305),(72 33423.3),(73 33835.38),(74 33938.035),(75 33812.58),(76 33926.465),(77 33734.38),(78 33799.582),(79 33997.094),
(1 9114.498),(2 17975.875),(3 21024.703),(4 22372.764),(5 22729.71),(6 23729.096),(7 24919.105),(8 25462.51),(9 25718.047),(10 26118.637),(11 26177.672),(12 25847.547),(13 25634.816),(14 26174.348),(15 26927.182),(16 27635.75),(17 28033.568),(18 27848.994),(19 27668.127),(20 27381.44),(21 27340.963),(22 27800.764),(23 28745.348),(24 28927.592),(25 28696.658),(26 28153.555),(27 28033.422),(28 28391.65),(29 28512.096),(30 28414.87),(31 28171.805),(32 28085.225),(33 28136.445),(34 27878.076),(35 27724.297),(36 28150.2),(37 28273.62),(38 28623.857),(39 28985.8),(40 29605.494),(41 29991.54),(42 30684.764),(43 31014.863),(44 31152.865),(45 31413.158),(46 32246.68),(47 32595.752),(48 32555.053),(49 32646.373),(50 32974.906),(51 33021.93),(52 32821.832),(53 33200.453),(54 33733.105),(55 33410.723),(56 33454.227),(57 33018.4),(58 32809.832),(59 33247.22),(60 33314.203),(61 32800.973),(62 32317.402),(63 32139.934),(64 32108.895),(65 31928.174),(66 32245.918),(67 32495.176),(68 32318.453),(69 32234.643),(70 31953.422),(71 32366.121),(72 32268.547),(73 32544.195),(74 32607.857),(75 32767.348),(76 32791.566),(77 32887.664),(78 33509.51),(79 33720.914),
(1 8999.118),(2 17870.568),(3 21494.137),(4 22846.057),(5 22894.18),(6 23385.209),(7 23880.293),(8 24476.121),(9 24904.2),(10 25802.758),(11 25601.146),(12 24814.068),(13 24977.861),(14 25603.082),(15 26182.256),(16 26760.232),(17 27199.707),(18 27234.785),(19 26975.678),(20 26753.86),(21 27052.107),(22 27680.098),(23 28226.127),(24 28491.709),(25 28323.39),(26 27767.395),(27 27583.033),(28 27889.805),(29 27942.81),(30 27373.38),(31 26798.373),(32 26828.236),(33 27608.04),(34 27697.582),(35 27477.092),(36 27434.785),(37 27627.225),(38 27907.467),(39 27965.176),(40 28283.676),(41 28584.596),(42 28929.217),(43 28872.557),(44 28565.625),(45 28650.16),(46 28877.697),(47 29171.17),(48 29212.04),(49 29464.277),(50 29491.736),(51 29706.922),(52 29724.678),(53 29405.82),(54 29305.762),(55 29068.844),(56 28830.342),(57 29186.4),(58 30084.824),(59 30858.068),(60 31251.637),(61 30904.732),(62 30678.082),(63 31217.146),(64 31539.576),(65 31590.895),(66 31585.959),(67 31862.451),(68 31692.785),(69 31735.46),(70 31824.375),(71 31730.883),(72 31866.244),(73 31986.227),(74 31814.303),(75 31529.99),(76 31372.814),(77 31724.9),(78 32101.697),(79 32432.037),
(1 8909.697),(2 17359.043),(3 20520.365),(4 21780.307),(5 22114.445),(6 22886.28),(7 24087.018),(8 24841.697),(9 24811.629),(10 25057.129),(11 25171.85),(12 25314.62),(13 25544.406),(14 25777.396),(15 25906.672),(16 25841.479),(17 25910.898),(18 26006.773),(19 26017.031),(20 25430.105),(21 25692.346),(22 26189.512),(23 26691.354),(24 27020.94),(25 26587.21),(26 26234.932),(27 26364.014),(28 26894.754),(29 27152.502),(30 27031.686),(31 26843.334),(32 26916.395),(33 26871.426),(34 27037.813),(35 27139.988),(36 27094.02),(37 27437.848),(38 28382.355),(39 29234.072),(40 29299.514),(41 29616.723),(42 30139.35),(43 30111.125),(44 30618.145),(45 30782.92),(46 31136.799),(47 31579.285),(48 31502.314),(49 31077.13),(50 31453.348),(51 31687.732),(52 32037.941),(53 31925.285),(54 31569.14),(55 31200.98),(56 31174.105),(57 31273.174),(58 31608.467),(59 31359.623),(60 30927.223),(61 30663.363),(62 30766.01),(63 31398.512),(64 31786.266),(65 31813.84),(66 31834.023),(67 32055.398),(68 32219.033),(69 32505.916),(70 32804.39),(71 33019.87),(72 33325.79),(73 33585.996),(74 33714.965),(75 33635.61),(76 33976.82),(77 34281.28),(78 34785.445),(79 34728.45),
