1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42341.215),(2 106031.77),(3 187498.2),(4 334413.94),(5 457536),(6 561103.1),(7 713420.8),(8 842559.7),(9 950493.3),(10 1118661),(11 1261395.5),(12 1364443.3),(13 1545466.6),(14 1663956.9),(15 1747325),(16 1891197),(17 2008959.9),(18 2084653.4),(19 2213228),(20 2299776.3),(21 2344918),(22 2431261.3),(23 2500110.5),(24 2567575),(25 2704037.5),(26 2781727.3),(27 2810967),(28 2885865.3),(29 2856628.3),(30 2842329.3),(31 2891229),(32 2926582),(33 2945759.3),(34 3024022.3),(35 3100941.3),(36 3157066.8),(37 3291659),(38 3426352.3),(39 3548850),(40 3728788.3),(41 3888046),(42 4045450),(43 4263612.5),(44 4477150.5),(45 4694108.5),(46 4993481),(47 5297154),(48 5588166),(49 5897877.5),(50 6115136),(51 6291810.5),(52 6515204.5),(53 6744616),(54 6957790.5),(55 7210856),(56 7414677.5),(57 7571718.5),(58 7757826.5),(59 7901765.5),(60 8032308.5),(61 8234576),(62 8426380),(63 8574485),(64 8757423),(65 8913925),(66 9027705),(67 9199450),(68 9372607),(69 9490606),(70 9630286),(71 9746984),(72 9794416),(73 9923972),(74 10052617),(75 10154375),(76 10330055),(77 10497743),(78 10651109),(79 10857039),
(1 6778.2134),(2 16139.268),(3 20315.547),(4 20348.117),(5 19980.244),(6 20064.156),(7 20004.441),(8 19686.488),(9 20114.918),(10 21485.006),(11 22320.244),(12 22521.715),(13 22593.334),(14 22744.908),(15 23027.932),(16 23444.195),(17 23876.078),(18 23623.098),(19 22934.174),(20 22405.123),(21 22345.361),(22 22946.88),(23 23859.674),(24 24596.33),(25 24701.607),(26 24377.988),(27 24217.617),(28 24607.902),(29 25262.037),(30 25504.357),(31 25772.549),(32 25777.373),(33 25599.367),(34 25668.906),(35 25752.705),(36 26054.234),(37 26255.55),(38 26101.291),(39 26513.77),(40 27172.357),(41 27483.541),(42 27662.984),(43 27616.938),(44 27802.424),(45 27996.521),(46 27783.97),(47 27601.2),(48 27330.762),(49 27234.45),(50 27035.932),(51 26811.627),(52 26902.107),(53 27193.967),(54 27260.332),(55 27015.8),(56 27443.213),(57 27833.654),(58 27703.594),(59 27394.902),(60 27103.27),(61 27217.07),(62 27223.09),(63 27225.521),(64 27636.844),(65 28057.31),(66 28010.928),(67 27847.324),(68 27983.295),(69 28292.15),(70 28603.047),(71 28720.893),(72 28928.48),(73 28965.436),(74 29205.572),(75 29038.488),(76 29077.354),(77 29608.076),(78 30155.65),(79 30086.28),
(1 6348.164),(2 15097.688),(3 18833.908),(4 19297.875),(5 19289.494),(6 19243.61),(7 18776.31),(8 18865.227),(9 19898.785),(10 21336.96),(11 22210.344),(12 22178.213),(13 22247.686),(14 22504.959),(15 22819.201),(16 23342.385),(17 23633.975),(18 23607.697),(19 23595.686),(20 23618.4),(21 23542.89),(22 23708.736),(23 24371.879),(24 25026.918),(25 25153.178),(26 24778.105),(27 24329.793),(28 24654.209),(29 25224.918),(30 25796.176),(31 25870.438),(32 25798.479),(33 25918.162),(34 25866.566),(35 26117.664),(36 26069.023),(37 25909.232),(38 25900.291),(39 25963.701),(40 25991.193),(41 26146.902),(42 26483.23),(43 26388.574),(44 26104.336),(45 26451.098),(46 26508.172),(47 26570.668),(48 26608.715),(49 26669.275),(50 26782.16),(51 26736.393),(52 26899.748),(53 26993.414),(54 26955.28),(55 27070.229),(56 27269.553),(57 27032.541),(58 26925.764),(59 26920.361),(60 26947.438),(61 27010.482),(62 26916.992),(63 27025.73),(64 27211.646),(65 27167.287),(66 27109.652),(67 27452.23),(68 27602.51),(69 27343.943),(70 27612.434),(71 27439.43),(72 27089.37),(73 27150.66),(74 27396.066),(75 27413.744),(76 27520.816),(77 28025.787),(78 28432.107),(79 28658.367),
(1 6611.7695),(2 15651.328),(3 19151.738),(4 19477.914),(5 19351.479),(6 19483.104),(7 19238.666),(8 19004.066),(9 19623.68),(10 20742.693),(11 21177.648),(12 20987.945),(13 21098.834),(14 21605.479),(15 22293.953),(16 22771.78),(17 22715.547),(18 22927.99),(19 22690.58),(20 22349.25),(21 22593.773),(22 22864.654),(23 23320.947),(24 23871.584),(25 24153.295),(26 24392.467),(27 24440.99),(28 24461.377),(29 24798.297),(30 25258.768),(31 25190.697),(32 24750.635),(33 24955.225),(34 25055.367),(35 25193.26),(36 25264.002),(37 25505.729),(38 25478.047),(39 25138.18),(40 25184.414),(41 25368.016),(42 25410.148),(43 25438.813),(44 25561.346),(45 25537.299),(46 25456.336),(47 25536.033),(48 25322.14),(49 25291.916),(50 25563.086),(51 25555.69),(52 25636.729),(53 25594.275),(54 25676.225),(55 25946.828),(56 26150.889),(57 26388.822),(58 26366.031),(59 26619.227),(60 27037.213),(61 26829.35),(62 26582.041),(63 26459.697),(64 26493.143),(65 26063.967),(66 25979.814),(67 26488.006),(68 26483.912),(69 26647.197),(70 27018.127),(71 27160.693),(72 27270.916),(73 27287.93),(74 27501.514),(75 27596.537),(76 27925.807),(77 28338.756),(78 28308.438),(79 28076.08),
(1 6462.7227),(2 14891.396),(3 17896.494),(4 17670.502),(5 17219.982),(6 17364.57),(7 17453.129),(8 17448.24),(9 18070.992),(10 19105.158),(11 19657.432),(12 19468.21),(13 19529.03),(14 20159.926),(15 20961.146),(16 21833.727),(17 22384.521),(18 22145.178),(19 21492.799),(20 21267.045),(21 21591.768),(22 22099.336),(23 22675.387),(24 23024.379),(25 22910.363),(26 22995.605),(27 23114.984),(28 23032.338),(29 23132.604),(30 23410.572),(31 23374.941),(32 23298.016),(33 23714.17),(34 24450.904),(35 24529.469),(36 24197.277),(37 23977.074),(38 24166.037),(39 23900.059),(40 23916.867),(41 24148.969),(42 24270.424),(43 24204.193),(44 24395.002),(45 24545.727),(46 24474.56),(47 23895.256),(48 23335.54),(49 23530.654),(50 23812.576),(51 23942.863),(52 23955.113),(53 23988.834),(54 24024.928),(55 24202.281),(56 24231.238),(57 24384.857),(58 24379.318),(59 24463.691),(60 24400.365),(61 24261.805),(62 24684.387),(63 25004.53),(64 25148.572),(65 24878.701),(66 24864.203),(67 24958.006),(68 25080.953),(69 25195.121),(70 25402.043),(71 25156.424),(72 24908.8),(73 24896.383),(74 25471.64),(75 25687.576),(76 25552.707),(77 25878.672),(78 26135.277),(79 26403.39),
(1 6048.3184),(2 13945.092),(3 16714.236),(4 16442.44),(5 16198.408),(6 16512.89),(7 16116.088),(8 16059.019),(9 16758.35),(10 18005.652),(11 18782.523),(12 18508.727),(13 18671.045),(14 19042.61),(15 19601.25),(16 20220.855),(17 20567.459),(18 20663.176),(19 20517.389),(20 20459.668),(21 20827.049),(22 21002.02),(23 21434.389),(24 21888.201),(25 21976.861),(26 22154.295),(27 22325.639),(28 22481.639),(29 22932.102),(30 23095.766),(31 22888.266),(32 22668.684),(33 22916.56),(34 23033.215),(35 22760.031),(36 22774.133),(37 22771.92),(38 22782.625),(39 22745.13),(40 22711.08),(41 23035.459),(42 23210.664),(43 23192.346),(44 23391.77),(45 23814.893),(46 23714.553),(47 23618.775),(48 23547.521),(49 23570.057),(50 23793.299),(51 23928.785),(52 24107.848),(53 24229.406),(54 24294.277),(55 24539.299),(56 24628.676),(57 24385.992),(58 24143.244),(59 24141.13),(60 24282.225),(61 24022.262),(62 24055.74),(63 23793.857),(64 23796),(65 23915.893),(66 24003.361),(67 24464.963),(68 24776.725),(69 25221.594),(70 25554.867),(71 25130.566),(72 24982.77),(73 25361.418),(74 26113.379),(75 26861.875),(76 26937.305),(77 26728.744),(78 26554.566),(79 26922.268),
(1 6020.329),(2 13677.042),(3 16528.254),(4 16365.9795),(5 16014.303),(6 16168.315),(7 16046.944),(8 16240.524),(9 16927.928),(10 18092.188),(11 18513.738),(12 18161.484),(13 18430.994),(14 18833.03),(15 19476.246),(16 20035.11),(17 20200.063),(18 20435.074),(19 20418.285),(20 20395.002),(21 20408.055),(22 20791.783),(23 21433.682),(24 21547.803),(25 21166.016),(26 21054.303),(27 21509.498),(28 21651.459),(29 21708.81),(30 21854.965),(31 22084.1),(32 22104.85),(33 22402.852),(34 22512.643),(35 22296.518),(36 22457.406),(37 22241.906),(38 22250.91),(39 22707.822),(40 22931.994),(41 22956.5),(42 22833.98),(43 22636.172),(44 22552.402),(45 22526.31),(46 22455.666),(47 22535.25),(48 22689.09),(49 22994.994),(50 23367.482),(51 23462.441),(52 23534.428),(53 23449.791),(54 23432.758),(55 23545.799),(56 23722.05),(57 23517.967),(58 23513.867),(59 23617.328),(60 23545.441),(61 23744.406),(62 24174.785),(63 24058.299),(64 23708.244),(65 23790.672),(66 23819.502),(67 23911.014),(68 24124.16),(69 24205.209),(70 24543.299),(71 24985.299),(72 25277.684),(73 25254.697),(74 25623.334),(75 26064.172),(76 26055.834),(77 25897.734),(78 26116.766),(79 26489.135),
(1 5974.745),(2 13386.7),(3 15918.719),(4 15794.7705),(5 15449.849),(6 15598.607),(7 15572.652),(8 15953.352),(9 16829.238),(10 17519.658),(11 17401.299),(12 17192.977),(13 17655.834),(14 17990.807),(15 18485.428),(16 19162.35),(17 19790.135),(18 19685.768),(19 19400.947),(20 19168.951),(21 19265.686),(22 19583.227),(23 19940.346),(24 19899.465),(25 19606.916),(26 19699.543),(27 20141.299),(28 20235.014),(29 20310.467),(30 20314.197),(31 20115.29),(32 20343.445),(33 20987.785),(34 21218.996),(35 21052.299),(36 21090.03),(37 20939.283),(38 20867.072),(39 21042.58),(40 21487.473),(41 21960.143),(42 22115.611),(43 21918.184),(44 21672.926),(45 21553.78),(46 21640.371),(47 21836.094),(48 21982.477),(49 22261.896),(50 22536.957),(51 22611.182),(52 22467.71),(53 22551.625),(54 22610.254),(55 22654.164),(56 22600.613),(57 22495.695),(58 22332.816),(59 22505.154),(60 22559.795),(61 22564.656),(62 22586.605),(63 22447.15),(64 22513.992),(65 22715.602),(66 22560.85),(67 22527.637),(68 22824.86),(69 23132.785),(70 23168.959),(71 23212.588),(72 23336.904),(73 23271),(74 23372.227),(75 23475.129),(76 23351.629),(77 23388.764),(78 23515.584),(79 23745.135),
(1 5869.1826),(2 13186.708),(3 15428.249),(4 15199.805),(5 15380.09),(6 15666.38),(7 15501.093),(8 15800.872),(9 16779.684),(10 17484.334),(11 17373.033),(12 17254.52),(13 17787.154),(14 18237.627),(15 18253.982),(16 18589.248),(17 18888.688),(18 18935.254),(19 18569.682),(20 18524.277),(21 18723.22),(22 19111.895),(23 19620.256),(24 20014.273),(25 19897.555),(26 19735.809),(27 19882.178),(28 20437.328),(29 20887.65),(30 21000.916),(31 20472.752),(32 20603.625),(33 21277.35),(34 21181.441),(35 21299.752),(36 21626.031),(37 21772.4),(38 21290.963),(39 21330.834),(40 21488.268),(41 21688.91),(42 21795.943),(43 21877.574),(44 21714.607),(45 21438.514),(46 21378.8),(47 21625.654),(48 21716.469),(49 22063.887),(50 22324.3),(51 22266.092),(52 21784.271),(53 21521.809),(54 21492.178),(55 21550.057),(56 21447.137),(57 21439.568),(58 21617.525),(59 22007.705),(60 22109.115),(61 22022.844),(62 21596.354),(63 21479.088),(64 21522.736),(65 21459.479),(66 21354.24),(67 21465.35),(68 21644.264),(69 21737.604),(70 21824.879),(71 21831.36),(72 21895.236),(73 21933.926),(74 22141.707),(75 22275.084),(76 22252.277),(77 22549.637),(78 23031.115),(79 23434.879),
(1 5666.03),(2 12653.152),(3 14964.904),(4 14957.219),(5 15061.634),(6 15202.586),(7 15110.2705),(8 15398.788),(9 16049.655),(10 16557.479),(11 16750.857),(12 16644.455),(13 16994.492),(14 17339.246),(15 17352.676),(16 17806.318),(17 18188.578),(18 18065.645),(19 17783.227),(20 17805.914),(21 18031.61),(22 18604.145),(23 19179.023),(24 19405.172),(25 19249.262),(26 19309.71),(27 19488.086),(28 19741.76),(29 19967.525),(30 20025.758),(31 19786.752),(32 19995.729),(33 20787.105),(34 21093.822),(35 21137.164),(36 21048.309),(37 21052.984),(38 20842.055),(39 20775.701),(40 20865.965),(41 21103.027),(42 21226.52),(43 21295.293),(44 21311.836),(45 20993.67),(46 20734.107),(47 20815.758),(48 21157.818),(49 21406.047),(50 21292.904),(51 21182.178),(52 21208.094),(53 21300.158),(54 21147.662),(55 20938.541),(56 20856.934),(57 20979.97),(58 21197.586),(59 21168.215),(60 21184.62),(61 21382.37),(62 21239.068),(63 21032.035),(64 20994.547),(65 21043.95),(66 20930.32),(67 21060.586),(68 21459.246),(69 21678.746),(70 21728.443),(71 21992.773),(72 22183.814),(73 21934.133),(74 22079.758),(75 22187.082),(76 22391.123),(77 22681.268),(78 22792.818),(79 22668.582),
(1 5665.9604),(2 12445.232),(3 14600.117),(4 14444.356),(5 14493.698),(6 14842.541),(7 15000.929),(8 15453.323),(9 16320.737),(10 16770.512),(11 16856.541),(12 16785),(13 16931.834),(14 17081.332),(15 17262.363),(16 17548.15),(17 17689.256),(18 17906.063),(19 17717.453),(20 17646.799),(21 17724.2),(22 18188.479),(23 18565.46),(24 18735.621),(25 18622.672),(26 18811.705),(27 19251.957),(28 19562.652),(29 19546.912),(30 19537.922),(31 19463.45),(32 19604.87),(33 19949.008),(34 20176.38),(35 20243.684),(36 20329.426),(37 20392.844),(38 20206.102),(39 20175.959),(40 20430.924),(41 20442.447),(42 20490.512),(43 20587.93),(44 20670.121),(45 20407.969),(46 20281.863),(47 20295.809),(48 20533.643),(49 20679.736),(50 20588.518),(51 20444.297),(52 20479.24),(53 20520.482),(54 20731.143),(55 20902.38),(56 20855.281),(57 20767.732),(58 20679.615),(59 20753.055),(60 20478.244),(61 20598.76),(62 20713.012),(63 20988.818),(64 21005.38),(65 20960.521),(66 20950.197),(67 20625.564),(68 20481.623),(69 20685.371),(70 20980.97),(71 21265.045),(72 21519.75),(73 21032.334),(74 20775.393),(75 20784.896),(76 21272.852),(77 21425.488),(78 21117.2),(79 21037.887),
(1 5483.1597),(2 12289.657),(3 14473.925),(4 14194.832),(5 14158.78),(6 14077.441),(7 13783.119),(8 14068.765),(9 15076.427),(10 15928.843),(11 15873.4375),(12 15691.856),(13 15722.979),(14 15939.72),(15 16251.22),(16 16665.695),(17 17008.408),(18 16816.684),(19 16644.053),(20 16717.936),(21 16982.031),(22 17383.922),(23 18119.576),(24 18374.063),(25 18279.963),(26 18467.318),(27 18892.557),(28 19268.223),(29 19589.803),(30 19429.004),(31 19154.072),(32 19431.941),(33 19661.55),(34 19892.32),(35 20268.379),(36 20202.533),(37 20093.62),(38 20155.924),(39 20297.293),(40 20665.43),(41 20897.424),(42 20929.422),(43 20772.986),(44 20467.84),(45 20487.217),(46 20385.33),(47 20280.004),(48 20361.799),(49 20432.533),(50 20533.805),(51 20997.424),(52 20853.6),(53 20679.89),(54 20911.543),(55 21015.287),(56 20963.205),(57 21055.205),(58 21092.605),(59 21248.098),(60 21369.238),(61 21261.674),(62 20987.34),(63 20808.48),(64 20971.139),(65 20972.736),(66 20733.744),(67 20766.61),(68 20911.037),(69 21008.89),(70 21155.695),(71 21339.441),(72 21442.59),(73 21176.346),(74 21095.32),(75 21298.063),(76 21558.273),(77 21722.018),(78 21627.865),(79 21879.69),
(1 5292.468),(2 11796.053),(3 13608.555),(4 13427.28),(5 13301.417),(6 13259.087),(7 13088.057),(8 13382.404),(9 14290.11),(10 15074.808),(11 15217.864),(12 14830.394),(13 14770.612),(14 14946.298),(15 15213.343),(16 15765.517),(17 16263.551),(18 16190.167),(19 16341.259),(20 16442.78),(21 16476.18),(22 16893.39),(23 17616.855),(24 17806.295),(25 17793.76),(26 18099.145),(27 18647.447),(28 18878.898),(29 18807.385),(30 18598.527),(31 18726.38),(32 19124.018),(33 19232.389),(34 19358.533),(35 19676.379),(36 19577.184),(37 19509.865),(38 19638.154),(39 20053.988),(40 20329.002),(41 20446.777),(42 20080.344),(43 20134.21),(44 20225.982),(45 20198.906),(46 20172.467),(47 20083.006),(48 20142.676),(49 20061.305),(50 20233.188),(51 20386.912),(52 20111.121),(53 19760.08),(54 19767.22),(55 19848.21),(56 19921.963),(57 20020.629),(58 20191.727),(59 20398.018),(60 20181.113),(61 19965.838),(62 19897.283),(63 19989.508),(64 20019.371),(65 20196.414),(66 20134.771),(67 20205.021),(68 20257.232),(69 20346.176),(70 20438.754),(71 20483.615),(72 20571.986),(73 20464.521),(74 20436.146),(75 20442.523),(76 20492.47),(77 20483.656),(78 20577.885),(79 20565.754),
(1 5350.2573),(2 11711.514),(3 13485.708),(4 13105.934),(5 12777.801),(6 12656.859),(7 12595.1045),(8 13071.544),(9 13936.2295),(10 14528.235),(11 14540.361),(12 14344.685),(13 14614.87),(14 15022.336),(15 15179.75),(16 15291.45),(17 15475.926),(18 15439.325),(19 15595.16),(20 15989.041),(21 16412.803),(22 16520.748),(23 16898.678),(24 17207.693),(25 17566.49),(26 17881.178),(27 18238.713),(28 18173.213),(29 17769.174),(30 17757.229),(31 18259.559),(32 18524.719),(33 18335.934),(34 18281.043),(35 18377.777),(36 18397.29),(37 18491.557),(38 18539.963),(39 18872.473),(40 19110.32),(41 19185.826),(42 18774.783),(43 18594.154),(44 18681.129),(45 18831.541),(46 18860.354),(47 18830.184),(48 18790.014),(49 18953.021),(50 19220.748),(51 19307.162),(52 19322.19),(53 19345.36),(54 19223.54),(55 19145.938),(56 19007.834),(57 19080.78),(58 19285.264),(59 19260.514),(60 19184.129),(61 19171.854),(62 19101.396),(63 18944.309),(64 18864.303),(65 18741.29),(66 18770.37),(67 18920.354),(68 19147.389),(69 19729.504),(70 20203.717),(71 20326.744),(72 20118.732),(73 19881.238),(74 19958.13),(75 20326.66),(76 20496.533),(77 20518.29),(78 20711.6),(79 20711.783),
(1 5225.317),(2 11391.891),(3 13286.474),(4 12979.19),(5 12762.855),(6 12522.882),(7 12292.338),(8 12867.833),(9 13698.032),(10 14121.279),(11 13997.534),(12 13878.6045),(13 14375.596),(14 14880.992),(15 15100.806),(16 15434.872),(17 15626.304),(18 15604.107),(19 15423.451),(20 15555.193),(21 15918.213),(22 16319.962),(23 16789.215),(24 16854.047),(25 16801.742),(26 17018.951),(27 17188.781),(28 17497.426),(29 17670.281),(30 17616.01),(31 17773.213),(32 17873.975),(33 17743.848),(34 17747.225),(35 18007.12),(36 18124.336),(37 18159.146),(38 18423.184),(39 18672.926),(40 18860.246),(41 18781.535),(42 18521.682),(43 18394.992),(44 18502.566),(45 18898.135),(46 19062.326),(47 19064.719),(48 18937.168),(49 18888.52),(50 19152.559),(51 19494.697),(52 19553.535),(53 19542.916),(54 19445.037),(55 19276.469),(56 19092.535),(57 19081.451),(58 19155.406),(59 19269.168),(60 19325.113),(61 19223.135),(62 19284.809),(63 19230.281),(64 19120.166),(65 19176.76),(66 19165.146),(67 19233.621),(68 19303.648),(69 19478.203),(70 19547.416),(71 19385.576),(72 19287.164),(73 19240.326),(74 19568.855),(75 19892.256),(76 20016.455),(77 20147.111),(78 20061.938),(79 19991.941),
(1 5162.609),(2 11220.264),(3 13018.372),(4 12919.987),(5 12834.038),(6 12878.665),(7 12488.208),(8 12995.418),(9 14114.35),(10 14631.418),(11 14665.149),(12 14441.363),(13 14535.957),(14 14762.798),(15 15046.681),(16 15269.916),(17 15102.109),(18 14827.64),(19 14708.594),(20 14886.601),(21 15162.473),(22 15474.893),(23 16068.312),(24 16299.524),(25 16264.325),(26 16453.602),(27 16806.535),(28 17084.975),(29 17019.967),(30 16949.684),(31 17023.01),(32 17100.559),(33 17405.527),(34 17839.65),(35 17966.16),(36 18071.078),(37 18199.928),(38 18552.299),(39 18718.438),(40 18597.498),(41 18240.855),(42 18026.506),(43 18281.547),(44 18720.414),(45 18861.498),(46 18951.012),(47 18817.525),(48 18684.947),(49 18609.555),(50 18856.488),(51 18977.545),(52 19035.775),(53 18938.438),(54 19096.447),(55 19297.828),(56 19486.99),(57 19739.002),(58 19622.105),(59 19439.06),(60 19188.12),(61 19281.928),(62 19622.879),(63 19691.438),(64 19776.863),(65 19521.385),(66 19276.086),(67 19084.79),(68 19201.867),(69 19446.121),(70 19792.602),(71 20014.152),(72 20191.012),(73 20140.172),(74 20000.398),(75 20111.557),(76 20131.744),(77 20096.504),(78 20041.12),(79 20210.887),
(1 5000.095),(2 10749.172),(3 12357.635),(4 12266.166),(5 12286.71),(6 12145.813),(7 12004.909),(8 12598.0205),(9 13540.213),(10 14122.719),(11 14026.789),(12 13811.043),(13 13950.566),(14 14187.597),(15 14496.144),(16 14934.731),(17 15081.104),(18 14958.607),(19 14838.949),(20 14818.166),(21 15123.309),(22 15738.404),(23 16200.826),(24 16483.568),(25 16552.242),(26 16784.934),(27 17327.777),(28 17458.48),(29 17653.236),(30 17788.021),(31 17993.025),(32 18118.184),(33 18263.4),(34 18571.092),(35 18625.182),(36 18628.957),(37 18591.535),(38 18677.877),(39 18889.414),(40 18721.582),(41 18460.81),(42 18318.094),(43 18179.332),(44 18504.254),(45 19022.787),(46 19272.945),(47 19323.893),(48 19011.934),(49 18952.46),(50 18751.229),(51 18470.08),(52 18501.238),(53 18586.94),(54 18838.64),(55 18883.81),(56 18719.543),(57 18691.543),(58 18711.06),(59 18719.342),(60 18684.691),(61 18514.297),(62 18606.467),(63 18719.367),(64 18820.697),(65 18792.443),(66 18712.232),(67 18548.068),(68 18468.582),(69 18633.693),(70 18838.041),(71 19129.479),(72 19290.432),(73 19312.715),(74 19211.9),(75 19135.785),(76 19361.67),(77 19685.855),(78 19645.73),(79 19518.533),
(1 4926.056),(2 10536.397),(3 12043.323),(4 11989.495),(5 11956.797),(6 11782.842),(7 11533.341),(8 12206.953),(9 12869.058),(10 13310.681),(11 13233.164),(12 13068.783),(13 13244.8955),(14 13433.127),(15 13756.322),(16 14144.508),(17 14117.46),(18 14132.947),(19 13945.862),(20 13911.749),(21 14075.101),(22 14475.377),(23 15008.623),(24 15307.371),(25 15370.316),(26 15656.9795),(27 16179.625),(28 16175.962),(29 16162.859),(30 16289.139),(31 16321.624),(32 16250.345),(33 16406.549),(34 16580.828),(35 16706.605),(36 16641.215),(37 16635.7),(38 16843.223),(39 17007.18),(40 17071.916),(41 16802.86),(42 16502.016),(43 16516.713),(44 16628.736),(45 17111.021),(46 17537.035),(47 17393.293),(48 17143.746),(49 17147.713),(50 17139.162),(51 17077.838),(52 16799.44),(53 16719.1),(54 16850.01),(55 16770.775),(56 16789.615),(57 17014.863),(58 17030.027),(59 17021.932),(60 17020.027),(61 16942.246),(62 17053.18),(63 17300.426),(64 17421.691),(65 17271.385),(66 16979.889),(67 16894.332),(68 16907.258),(69 17142.348),(70 17456.373),(71 17423.354),(72 17486.264),(73 17576.184),(74 17544.746),(75 17444.678),(76 17626.486),(77 17662.002),(78 17658.766),(79 17839.045),
