1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 80683.2),(2 142426.64),(3 170870.75),(4 327259.16),(5 462068.13),(6 564329.44),(7 802569.2),(8 1001106.2),(9 1136308),(10 1436710.1),(11 1683298.6),(12 1887292.1),(13 2277041.3),(14 2613894.3),(15 2878750.8),(16 3310506.8),(17 3709327),(18 4005518),(19 4461050),(20 4875692.5),(21 5195545.5),(22 5660862.5),(23 6128000.5),(24 6459972),(25 6909380),(26 7350064),(27 7702360.5),(28 8153977.5),(29 8596518),(30 8994322),(31 9491741),(32 10045294),(33 10469315),(34 10949291),(35 11454373),(36 11871784),(37 12312545),(38 12794285),(39 13180248),(40 13667821),(41 14176733),(42 14564155),(43 15043376),(44 15552733),(45 15966580),(46 16434584),(47 16974210),(48 17413576),(49 17941954),(50 18555270),(51 19055898),(52 19631928),(53 20265432),(54 20737538),(55 21367408),(56 22033968),(57 22535072),(58 23179104),(59 23861638),(60 24410742),(61 25062486),(62 25775890),(63 26413098),(64 27175334),(65 27978966),(66 28623002),(67 29479562),(68 30398568),(69 31113648),(70 32014126),(71 32962982),(72 33769404),(73 34642416),(74 35638630),(75 36481376),(76 37411908),(77 38378950),(78 39251236),(79 40203670),
(1 3507.9973),(2 6270.5845),(3 6660.448),(4 6999.687),(5 7387.142),(6 7526.04),(7 7564.6714),(8 7682.4404),(9 7895.9556),(10 7844.514),(11 7759.962),(12 8086.33),(13 8113.1597),(14 8019.555),(15 8344.855),(16 8251.986),(17 8286.12),(18 8325.405),(19 8369.278),(20 8456.054),(21 8590.345),(22 8672.2295),(23 8793.202),(24 8897.838),(25 8954.764),(26 8992.758),(27 8998.953),(28 9029.431),(29 8977.254),(30 8942.249),(31 9116.728),(32 9211.535),(33 9131.485),(34 8901.747),(35 9051.841),(36 9285.34),(37 9372.917),(38 9376.155),(39 9543.372),(40 9491.527),(41 9614.818),(42 9775.613),(43 9848.005),(44 9823.727),(45 9874.55),(46 10005.864),(47 10102.841),(48 10011.551),(49 9985.722),(50 10125.061),(51 10331.823),(52 10331.751),(53 10383.529),(54 10532.084),(55 10543.197),(56 10582.385),(57 10710.369),(58 10734.072),(59 10745.878),(60 10913.417),(61 10922.664),(62 10910.378),(63 10885.81),(64 10863.733),(65 10767.986),(66 10664.841),(67 10756.992),(68 10840.78),(69 10729.17),(70 10670.176),(71 10631.947),(72 10478.283),(73 10435.376),(74 10438.826),(75 10505.716),(76 10479.306),(77 10352.357),(78 10426.099),(79 10377.33),
(1 3467.6472),(2 6178.791),(3 6591.849),(4 6801.2275),(5 7048.8833),(6 7242.7925),(7 7375.3765),(8 7576.0425),(9 7826.676),(10 7713.385),(11 7653.9805),(12 7916.496),(13 7810.833),(14 7877.213),(15 8222.069),(16 8309.971),(17 8486.744),(18 8526.564),(19 8494.467),(20 8538.999),(21 8579.957),(22 8641.985),(23 8588.847),(24 8563.149),(25 8583.578),(26 8760.638),(27 8938.819),(28 9135.586),(29 9113.236),(30 9079.331),(31 9295.811),(32 9360.124),(33 9250.416),(34 9211.445),(35 9405.964),(36 9582.26),(37 9577.271),(38 9638.935),(39 9706.362),(40 9684.345),(41 9510.253),(42 9667.0625),(43 9792.004),(44 9770.687),(45 9886.324),(46 10103.724),(47 10044.527),(48 9926.88),(49 10090.067),(50 10250.1),(51 10094.196),(52 9973.602),(53 10109.23),(54 10112.845),(55 10023.251),(56 10198.137),(57 10408.369),(58 10425.679),(59 10315.242),(60 10118.246),(61 10195.323),(62 10208.718),(63 10256.062),(64 10243.668),(65 10018.519),(66 9918.743),(67 9976.293),(68 9951.093),(69 9883.948),(70 9910.104),(71 9822.352),(72 9816.444),(73 9858.0205),(74 9842.736),(75 9789.492),(76 9785.945),(77 9668.886),(78 9760.974),(79 9809.102),
(1 3464.866),(2 6080.0254),(3 6451.0156),(4 6767.6797),(5 6991.0444),(6 7047.703),(7 7146.3296),(8 7383.891),(9 7586.4487),(10 7399.271),(11 7342.343),(12 7540.517),(13 7564.7217),(14 7784.9434),(15 7954.49),(16 7893.796),(17 7976.4976),(18 8025.5996),(19 8035.0493),(20 8186.811),(21 8322.908),(22 8247.882),(23 8244.413),(24 8306.954),(25 8293.48),(26 8431.858),(27 8561.784),(28 8765.794),(29 8668.866),(30 8616.483),(31 8673.138),(32 8791.538),(33 8753.691),(34 8732.875),(35 8909.756),(36 8975.915),(37 8993.534),(38 9042.322),(39 9156.141),(40 9176.797),(41 9286.661),(42 9407.249),(43 9473.833),(44 9447.893),(45 9567.342),(46 9707.927),(47 9676.947),(48 9615.633),(49 9711.172),(50 9823.966),(51 9605.183),(52 9548.96),(53 9762.185),(54 9831.811),(55 9785.065),(56 9839.786),(57 9964.384),(58 9998.266),(59 10054.92),(60 9993.905),(61 9929.298),(62 9902.686),(63 9993.314),(64 9991.652),(65 9874.1),(66 9823.485),(67 9692.383),(68 9537.131),(69 9576.836),(70 9615.767),(71 9595.713),(72 9635.425),(73 9551.197),(74 9467.316),(75 9485.721),(76 9396.934),(77 9345.742),(78 9152.639),(79 8935.246),
(1 3351.3142),(2 5971.91),(3 6408.9033),(4 6693.263),(5 7076.724),(6 7094.9883),(7 7270.472),(8 7331.453),(9 7435.457),(10 7291.044),(11 7294.212),(12 7556.767),(13 7581.5835),(14 7822.5615),(15 8003.7153),(16 7955.751),(17 8131.92),(18 7938.3),(19 8006.479),(20 8182.5903),(21 8288.117),(22 8228.932),(23 8242.867),(24 8422.953),(25 8434.497),(26 8539.352),(27 8601.412),(28 8583.542),(29 8556.696),(30 8690.298),(31 8730.127),(32 8638.767),(33 8583.32),(34 8781.518),(35 8957.982),(36 8918.071),(37 8983.571),(38 9012.634),(39 9011.123),(40 9010.548),(41 9161.354),(42 9323.107),(43 9364.871),(44 9341.524),(45 9371.711),(46 9389.389),(47 9343.256),(48 9384.283),(49 9535.468),(50 9612.98),(51 9599.381),(52 9545.484),(53 9439.048),(54 9429.656),(55 9618.254),(56 9759.192),(57 9781.45),(58 9756.996),(59 9720.842),(60 9663.214),(61 9615.3545),(62 9709.969),(63 9773.964),(64 9702.864),(65 9593.77),(66 9632.288),(67 9593.72),(68 9521.084),(69 9452.766),(70 9437.344),(71 9400.222),(72 9478.789),(73 9532.924),(74 9496.632),(75 9543.923),(76 9590.567),(77 9500.416),(78 9346.447),(79 9407.228),
(1 3291.5608),(2 5759.253),(3 6056.3325),(4 6334.918),(5 6599.4297),(6 6645.394),(7 6728.595),(8 6800.119),(9 6941.5566),(10 6842.4443),(11 6881.7954),(12 7025.68),(13 7023.431),(14 7136.328),(15 7284.157),(16 7307.6387),(17 7451.7974),(18 7440.1094),(19 7565.2026),(20 7627.103),(21 7656.071),(22 7643.0283),(23 7654.311),(24 7730.832),(25 7821.0796),(26 7946.346),(27 8154.141),(28 8164.7783),(29 7958.5107),(30 8085.327),(31 8155.0015),(32 8042.785),(33 8003.235),(34 8032.568),(35 8122.2783),(36 8149.1084),(37 8164.681),(38 8310.257),(39 8354.695),(40 8324.218),(41 8433.558),(42 8536.904),(43 8418.62),(44 8367.7295),(45 8544.224),(46 8486.704),(47 8443.486),(48 8585.393),(49 8723.251),(50 8693.214),(51 8687.294),(52 8786.722),(53 8815.93),(54 8664.136),(55 8779.908),(56 8998.037),(57 8893.369),(58 8838.522),(59 8796.68),(60 8836.361),(61 8936.93),(62 8975.137),(63 8988.304),(64 8990.846),(65 8989.961),(66 8935.87),(67 8923.306),(68 8938.945),(69 8813.175),(70 8747.008),(71 8826.041),(72 8830.646),(73 8768.303),(74 8594.132),(75 8565.832),(76 8605.357),(77 8595.576),(78 8533.282),(79 8601.137),
(1 3207.91),(2 5700.4443),(3 6026.165),(4 6385.8735),(5 6721.1733),(6 6629.782),(7 6702.8267),(8 6889.0747),(9 7010.7363),(10 6956.29),(11 6984.1206),(12 7129.7734),(13 7164.5527),(14 7432.3374),(15 7538.9087),(16 7497.399),(17 7658.8896),(18 7632.327),(19 7797.3613),(20 7821.127),(21 7702.002),(22 7681.9204),(23 7872.0273),(24 7920.3496),(25 7906.3633),(26 8036.575),(27 8177.3335),(28 8090.2725),(29 8007.9136),(30 8127.746),(31 8111.62),(32 8036.5137),(33 8087.7075),(34 8209.856),(35 8230.25),(36 8147.2207),(37 8180.3267),(38 8154.7847),(39 8104.0977),(40 8205.935),(41 8378.962),(42 8365.831),(43 8411.603),(44 8488.233),(45 8472.255),(46 8363.377),(47 8357.355),(48 8488.678),(49 8680.13),(50 8694.155),(51 8800.504),(52 8870.179),(53 8563.941),(54 8486.864),(55 8603.877),(56 8748.024),(57 8820),(58 8720.909),(59 8646.442),(60 8615.174),(61 8562.135),(62 8544.369),(63 8520.671),(64 8545.107),(65 8482.384),(66 8435.073),(67 8416.455),(68 8304.318),(69 8333.769),(70 8404.271),(71 8453.709),(72 8607.661),(73 8551.078),(74 8478.1),(75 8472.509),(76 8511.6875),(77 8558.512),(78 8369.24),(79 8274.61),
(1 3130.858),(2 5441.3237),(3 5736.6616),(4 6081.147),(5 6321.334),(6 6392.415),(7 6481.9546),(8 6570.614),(9 6610.987),(10 6489.5093),(11 6659.9814),(12 6813.775),(13 6795.3706),(14 7027.992),(15 7097.1543),(16 7091.4688),(17 7202.1396),(18 7171.147),(19 7305.7007),(20 7318.531),(21 7244.8467),(22 7194.7017),(23 7254.4814),(24 7324.6035),(25 7353.738),(26 7495.0547),(27 7574.159),(28 7541.554),(29 7522.2646),(30 7616.4863),(31 7615.4834),(32 7614.542),(33 7703.382),(34 7786.638),(35 7730.491),(36 7778.1353),(37 7854.974),(38 7973.809),(39 7877.7007),(40 7901.695),(41 8051.0527),(42 7933.867),(43 7897.0093),(44 8110.7183),(45 8241.938),(46 8215.637),(47 8196.123),(48 8205.538),(49 8181.311),(50 8113.298),(51 8390.569),(52 8408.081),(53 8222.024),(54 8380.119),(55 8416.9375),(56 8519.112),(57 8517.265),(58 8490),(59 8538.587),(60 8559.581),(61 8535.286),(62 8482.92),(63 8403.503),(64 8448.785),(65 8587.972),(66 8559.399),(67 8459.5205),(68 8319.917),(69 8244.309),(70 8260.155),(71 8249.764),(72 8250.2295),(73 8161.99),(74 8133.7563),(75 8148.6147),(76 8183.488),(77 8181.0723),(78 8254.491),(79 8177.842),
(1 3164.4092),(2 5522.0996),(3 5805.614),(4 6138.686),(5 6433.3296),(6 6343.6333),(7 6401.4487),(8 6571.828),(9 6704.4805),(10 6671.1733),(11 6808.9253),(12 6837.277),(13 6831.8003),(14 7070.9194),(15 7155.712),(16 7220.213),(17 7210.863),(18 7197.888),(19 7363.6533),(20 7384.137),(21 7317.1626),(22 7288.952),(23 7445.7036),(24 7445.707),(25 7480.815),(26 7643.8833),(27 7713.897),(28 7614.9624),(29 7593.6895),(30 7667.8403),(31 7698.2964),(32 7866.3477),(33 8089.4824),(34 8082.324),(35 8010.349),(36 7922.988),(37 8007.945),(38 8099.682),(39 8068.3154),(40 8097.369),(41 8162.4824),(42 8095.485),(43 8070.779),(44 8167.0747),(45 8285.617),(46 8248.342),(47 8439.018),(48 8538.412),(49 8464.165),(50 8379.58),(51 8635.46),(52 8710.958),(53 8647.366),(54 8741.724),(55 8735.748),(56 8779.372),(57 8757.887),(58 8725.322),(59 8777.534),(60 8744.507),(61 8876.686),(62 8872.612),(63 8898.494),(64 8858.112),(65 8841.803),(66 8879.464),(67 8778.054),(68 8753.651),(69 8723.238),(70 8700.865),(71 8815.8545),(72 8763.396),(73 8559.719),(74 8621.981),(75 8622.528),(76 8517.528),(77 8499.561),(78 8629.903),(79 8423.14),
(1 3066.842),(2 5258.4385),(3 5479.7256),(4 5746.1777),(5 5995.552),(6 5921.3325),(7 6021.33),(8 6149.899),(9 6231.783),(10 6263.913),(11 6384.5845),(12 6471.1504),(13 6508.866),(14 6782.677),(15 6933.551),(16 7108.8726),(17 7104.38),(18 6910.922),(19 6987.1646),(20 7068.141),(21 7092.116),(22 7086.3647),(23 7205.599),(24 7297.6045),(25 7297.899),(26 7391.6245),(27 7443.116),(28 7382.593),(29 7345.078),(30 7417.261),(31 7447.0557),(32 7445.7446),(33 7563.1294),(34 7593.7114),(35 7572.0234),(36 7566.8247),(37 7602.5386),(38 7581.9907),(39 7623.261),(40 7864.8423),(41 7905.7915),(42 7867.8184),(43 7910.4243),(44 7968.648),(45 7959.988),(46 7955.5576),(47 8059.492),(48 8185.778),(49 8136.903),(50 8159.1846),(51 8327.357),(52 8258.088),(53 8318.197),(54 8329.722),(55 8334.733),(56 8349.286),(57 8291.154),(58 8257.175),(59 8176.508),(60 8222.059),(61 8257.96),(62 8235.895),(63 8159.2803),(64 8089.0737),(65 8083.902),(66 8108.0356),(67 7993.592),(68 7883.2495),(69 7897.001),(70 8043.4834),(71 8131.6416),(72 8043.544),(73 8030.538),(74 8105.183),(75 8039.247),(76 7878.5503),(77 7901.0225),(78 8001.1367),(79 7863.7773),
(1 3022.9893),(2 5165.616),(3 5468.1885),(4 5828.4863),(5 6049.2896),(6 6033.5327),(7 6132.2344),(8 6293.2),(9 6389.5225),(10 6349.9546),(11 6493.088),(12 6503.5723),(13 6563.9326),(14 6705.7217),(15 6741.6904),(16 6876.899),(17 6955.8555),(18 6864.133),(19 6855.359),(20 6972.3555),(21 7051.9204),(22 7072.0596),(23 7174.8384),(24 7211.9653),(25 7262.8716),(26 7470.7256),(27 7548.429),(28 7375.596),(29 7273.723),(30 7401.612),(31 7454.17),(32 7583.805),(33 7771.0615),(34 7735.868),(35 7700.2803),(36 7785.7886),(37 7841.921),(38 7839.787),(39 7934.325),(40 8085.15),(41 8059.326),(42 7946.7974),(43 8038.551),(44 8110.548),(45 8016.4272),(46 7996.376),(47 8075.439),(48 8148.889),(49 8174.4688),(50 8307.881),(51 8371.931),(52 8319.641),(53 8629.964),(54 8611.943),(55 8525.35),(56 8476.487),(57 8516.622),(58 8493.556),(59 8412.707),(60 8483.519),(61 8527.564),(62 8426.25),(63 8446.809),(64 8475.724),(65 8487.352),(66 8397.698),(67 8229.611),(68 8190.7188),(69 8206.799),(70 8173.009),(71 8088.9297),(72 8138.0273),(73 8219.696),(74 8097.7783),(75 8025.6367),(76 8037.5674),(77 8030.3716),(78 7924.2295),(79 7881.7437),
(1 3103.4504),(2 5298.193),(3 5669.71),(4 6102.1143),(5 6211.642),(6 6177.546),(7 6297.279),(8 6428.831),(9 6496.346),(10 6538.9585),(11 6631.1533),(12 6671.1025),(13 6733.634),(14 6840.0605),(15 6892.125),(16 6931.5547),(17 6927.3325),(18 6897.4775),(19 7057),(20 7136.643),(21 7164.3857),(22 7159.7295),(23 7264.6294),(24 7243.7866),(25 7221.0903),(26 7469.6494),(27 7415.7266),(28 7323.996),(29 7332.3237),(30 7226.157),(31 7332.1387),(32 7633.169),(33 7752.8438),(34 7688.6694),(35 7659.9316),(36 7716.822),(37 7769.587),(38 7693.675),(39 7778.787),(40 7844.132),(41 7801.232),(42 7775.885),(43 7905.8516),(44 7902.357),(45 7830.137),(46 7898.728),(47 8049.1),(48 8017.0938),(49 8076.2847),(50 8202.628),(51 8150.944),(52 8173.1465),(53 8256.919),(54 8309.492),(55 8355.038),(56 8265.132),(57 8264.682),(58 8258.649),(59 8281.525),(60 8303.381),(61 8316.149),(62 8248.786),(63 8244.642),(64 8296.851),(65 8325.01),(66 8259.428),(67 8212.371),(68 8209.351),(69 8150.926),(70 8182.5513),(71 8062.39),(72 8138.8716),(73 8181.6743),(74 8007.5117),(75 7887.2695),(76 7784.579),(77 7693.407),(78 7724.323),(79 7918.238),
(1 2957.6545),(2 4962.155),(3 5223.0405),(4 5644.2505),(5 5834.559),(6 5839.4736),(7 6015.951),(8 6149.9893),(9 6242.216),(10 6234.186),(11 6246.6055),(12 6278.276),(13 6386.6265),(14 6558.3096),(15 6500.6797),(16 6586.632),(17 6538.826),(18 6478.127),(19 6552.283),(20 6686.5977),(21 6695.163),(22 6678.0645),(23 6724.153),(24 6750.0723),(25 6843.8667),(26 6899.113),(27 6989.148),(28 6946.9834),(29 6927.273),(30 6912.302),(31 6957.8286),(32 7104.855),(33 7244.568),(34 7163.0747),(35 7228.8193),(36 7357.245),(37 7410.089),(38 7390.716),(39 7476.0435),(40 7558.253),(41 7437.964),(42 7459.7373),(43 7614.387),(44 7679.324),(45 7642.813),(46 7732.9287),(47 7667.0464),(48 7766.5176),(49 7844.2144),(50 7869.6934),(51 7856.6206),(52 7912.986),(53 7966.9634),(54 8022.039),(55 7955.4673),(56 7981.5176),(57 7978.6226),(58 7880.329),(59 7900.473),(60 7844.2417),(61 7822.168),(62 7786.213),(63 7705.5337),(64 7753.304),(65 7764.9146),(66 7700.5176),(67 7635.7603),(68 7706.725),(69 7697.339),(70 7593.442),(71 7596.413),(72 7640.8804),(73 7611.1816),(74 7555.944),(75 7582.172),(76 7416.6646),(77 7326.278),(78 7447.921),(79 7502.427),
(1 3028.691),(2 5141.0645),(3 5420.2183),(4 5834.7803),(5 6066.5356),(6 6118.7144),(7 6250.721),(8 6407.05),(9 6541.3335),(10 6513.033),(11 6559.268),(12 6563.242),(13 6703.7397),(14 6740.227),(15 6706.99),(16 6590.9575),(17 6374.554),(18 6434.3228),(19 6625.893),(20 6802.26),(21 6840.755),(22 6774.185),(23 6812.3184),(24 6812.9087),(25 6922.798),(26 7097.62),(27 7051.1543),(28 6961.2954),(29 7032.1206),(30 7124.3613),(31 7155.654),(32 7297.514),(33 7458.838),(34 7479.324),(35 7436.0254),(36 7442.7646),(37 7480.2856),(38 7498.276),(39 7625.016),(40 7659.2827),(41 7666.8105),(42 7686.243),(43 7643.071),(44 7546.628),(45 7556.394),(46 7705.0317),(47 7726.6567),(48 7721.379),(49 7741.1006),(50 7761.853),(51 7708.081),(52 7811.6807),(53 7849.5566),(54 7858.8237),(55 7884.378),(56 7905.0464),(57 7927.3027),(58 7971.769),(59 7999.302),(60 8052.3037),(61 7956.029),(62 7856.536),(63 7888.448),(64 7850.924),(65 7779.5073),(66 7651.0737),(67 7629.352),(68 7631.8433),(69 7664.97),(70 7621.8994),(71 7553.379),(72 7470.6655),(73 7472.996),(74 7485.4644),(75 7414.3374),(76 7456.344),(77 7461.2686),(78 7471.2383),(79 7433.501),
(1 2959.412),(2 4917.4966),(3 5142.9155),(4 5578.979),(5 5812.578),(6 5811.101),(7 5989.787),(8 6170.0327),(9 6252.0293),(10 6242.57),(11 6219.819),(12 6251.033),(13 6333.1104),(14 6389.532),(15 6383.401),(16 6297.9927),(17 6217.5073),(18 6258.157),(19 6444.3945),(20 6552.466),(21 6535.368),(22 6573.354),(23 6636.1255),(24 6518.92),(25 6623.588),(26 6677.2773),(27 6721.596),(28 6663.5566),(29 6576.0225),(30 6644.994),(31 6796.784),(32 6902.672),(33 6910.604),(34 6865.605),(35 6852.0635),(36 6828.374),(37 6909.0283),(38 6885.4453),(39 6983.4683),(40 7025.5483),(41 7056.8096),(42 7117.073),(43 7081.5723),(44 7033.2544),(45 7171.495),(46 7237.899),(47 7146.544),(48 7137.832),(49 7163.465),(50 7133.179),(51 7222.2095),(52 7363.4575),(53 7271.834),(54 7320.2734),(55 7459.331),(56 7545.3057),(57 7522.7915),(58 7475.4565),(59 7549.001),(60 7598.652),(61 7613.292),(62 7594.6133),(63 7584.144),(64 7585.3403),(65 7554.3564),(66 7587.456),(67 7659.054),(68 7653.0806),(69 7647.1406),(70 7571.9897),(71 7456.988),(72 7417.7944),(73 7342.4727),(74 7279.336),(75 7340.162),(76 7309.336),(77 7201.406),(78 7143.5034),(79 7200.8335),
(1 2913.4463),(2 4892.7407),(3 5200.111),(4 5610.474),(5 5821.824),(6 5869.1943),(7 6041.696),(8 6144.647),(9 6189.828),(10 6184.9556),(11 6275.8667),(12 6279.452),(13 6336.2983),(14 6374.822),(15 6322.1035),(16 6274.162),(17 6247.9795),(18 6321.2085),(19 6263.2866),(20 6418.6494),(21 6420.799),(22 6362.838),(23 6458.9834),(24 6479.35),(25 6535.534),(26 6649.344),(27 6644.6577),(28 6544.4414),(29 6575.606),(30 6680.711),(31 6783.564),(32 6875.532),(33 6961.8843),(34 6870.752),(35 6839.187),(36 6942.717),(37 7044.3257),(38 7094.893),(39 7123.953),(40 7005.9126),(41 7199.4434),(42 7354.46),(43 7217.0566),(44 7171.182),(45 7256.814),(46 7380.2197),(47 7422.2344),(48 7384.086),(49 7509.0854),(50 7440.4526),(51 7407.9717),(52 7453.2617),(53 7493.1563),(54 7503.8057),(55 7535.9688),(56 7533.875),(57 7405.547),(58 7431.467),(59 7510.777),(60 7496.494),(61 7345.709),(62 7349.0786),(63 7352.7734),(64 7226.248),(65 7156.732),(66 7229.611),(67 7212.3594),(68 7184.8755),(69 7254.6353),(70 7252.062),(71 7285.65),(72 7220.5337),(73 7132.8813),(74 7149.104),(75 7222.763),(76 7181.499),(77 7130.113),(78 7002.897),(79 7006.479),
(1 2949.9019),(2 4828.33),(3 5088.058),(4 5596.855),(5 5780.385),(6 5672.127),(7 5855.569),(8 6045.652),(9 6076.4453),(10 6109.9326),(11 6085.4575),(12 6094.1064),(13 6190.87),(14 6265.676),(15 6289.5513),(16 6108.633),(17 6069.3193),(18 6137.581),(19 6195.2354),(20 6279.2964),(21 6335.3843),(22 6326.709),(23 6379.914),(24 6421.655),(25 6498.7725),(26 6460.1187),(27 6408.573),(28 6374.363),(29 6340.307),(30 6463.294),(31 6611.319),(32 6687.151),(33 6671.3286),(34 6754.9272),(35 6708.101),(36 6765.7026),(37 6802.91),(38 6846.8623),(39 6988.3657),(40 6977.691),(41 7040.901),(42 7056.6763),(43 7139.6885),(44 7139.9795),(45 7199.4053),(46 7197.918),(47 7170.158),(48 7186.0415),(49 7277.1826),(50 7251.627),(51 7288.3687),(52 7175.7227),(53 7202.493),(54 7271.3364),(55 7215.0356),(56 7221.767),(57 7161.559),(58 7208.086),(59 7244.996),(60 7191.266),(61 7227.8164),(62 7225.7026),(63 7239.749),(64 7185.7466),(65 7034.013),(66 6945.2944),(67 6982.146),(68 7001.545),(69 7016.2666),(70 7042.3833),(71 7009.3384),(72 7063.391),(73 7057.006),(74 7048.816),(75 7118.94),(76 6990.911),(77 6971.654),(78 6990.755),(79 6899.11),
(1 2882.5364),(2 4748.397),(3 4944.0947),(4 5307.0884),(5 5575.319),(6 5620.3804),(7 5815.024),(8 5925.9536),(9 6029.633),(10 6054.862),(11 6118.974),(12 6121.2656),(13 6120.533),(14 6075.0483),(15 6055.5874),(16 5939.219),(17 5875.212),(18 6022.8394),(19 6045.738),(20 6161.0713),(21 6255.22),(22 6268.926),(23 6249.0566),(24 6288.541),(25 6465.046),(26 6486.942),(27 6557.152),(28 6481.2925),(29 6391.095),(30 6503.5723),(31 6638.3984),(32 6696.2017),(33 6762.0386),(34 6823.3613),(35 6797.232),(36 6856.077),(37 6846.2905),(38 6936.336),(39 6898.867),(40 6851.79),(41 6925.012),(42 6998.538),(43 6928.9277),(44 6922.926),(45 6959.3516),(46 7081.262),(47 7027.428),(48 7007.093),(49 7060.21),(50 7106.58),(51 7234.0723),(52 7198.3594),(53 7214.8735),(54 7199.468),(55 7233.1743),(56 7289.458),(57 7180.5737),(58 7226.582),(59 7222.1216),(60 7262.033),(61 7245.6123),(62 7273.002),(63 7365.628),(64 7362.3267),(65 7153.5093),(66 7084.27),(67 7093.4155),(68 7107.1826),(69 7123.4556),(70 7020.535),(71 6951.2534),(72 6908.6064),(73 6820.009),(74 6794.7773),(75 6810.2534),(76 6762.0186),(77 6787.099),(78 6837.0913),(79 6751.6143),
