1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23605.787),(2 72787.46),(3 162424.63),(4 289664.94),(5 452663.16),(6 635920.56),(7 831765),(8 1088119.9),(9 1371996.1),(10 1714618.6),(11 2062223.5),(12 2444639.8),(13 2802780.8),(14 3227706.8),(15 3670809),(16 4189693),(17 4757907),(18 5318257.5),(19 5873426),(20 6503410.5),(21 7090739.5),(22 7637389.5),(23 8151447.5),(24 8665360),(25 9156417),(26 9587495),(27 9960185),(28 10324380),(29 10672530),(30 10960183),(31 11265160),(32 11529933),(33 11744993),(34 11944572),(35 12163400),(36 12321011),(37 12514629),(38 12665331),(39 12855416),(40 13009523),(41 13168099),(42 13277316),(43 13436917),(44 13563517),(45 13756460),(46 13935985),(47 14153251),(48 14459723),(49 14873275),(50 15348220),(51 15828349),(52 16304764),(53 16786882),(54 17324678),(55 17852662),(56 18331030),(57 18710896),(58 19002200),(59 19190656),(60 19282264),(61 19313226),(62 19288280),(63 19220580),(64 19160142),(65 19140144),(66 19253634),(67 19404546),(68 19646074),(69 19851960),(70 20003564),(71 20071152),(72 20097362),(73 20210848),(74 20377510),(75 20528328),(76 20646752),(77 20785226),(78 21035666),(79 21373644),
(1 10662.834),(2 24504.098),(3 30776.72),(4 33926.566),(5 36923.832),(6 38899.176),(7 40941.418),(8 41896.938),(9 41652.336),(10 41365.39),(11 41707.848),(12 41520.836),(13 42146.375),(14 43295.344),(15 43642.957),(16 43301.246),(17 44405.19),(18 44445.793),(19 44008.45),(20 43610.703),(21 44225.926),(22 44733.08),(23 45764.457),(24 47332.137),(25 47901.387),(26 47411.293),(27 46339.418),(28 45956.008),(29 45618.785),(30 45825.363),(31 46574.703),(32 47090.19),(33 49030.957),(34 50366.047),(35 50869.28),(36 51278.117),(37 51439.34),(38 50566.418),(39 49061.008),(40 47580.914),(41 46611.55),(42 46555.48),(43 46322.367),(44 46074.715),(45 46707.535),(46 47512.176),(47 47063.367),(48 46987.195),(49 47595.105),(50 47821.035),(51 47312.46),(52 47454.113),(53 47940.652),(54 47696.28),(55 46784.395),(56 45267.895),(57 44360.465),(58 44091.09),(59 44655.734),(60 45636.473),(61 46168.97),(62 46193.016),(63 46359.652),(64 46451.375),(65 46327.727),(66 45766.336),(67 44961.8),(68 44806.266),(69 45200.29),(70 45816.266),(71 47024.723),(72 48198.574),(73 48705.887),(74 47912.33),(75 47625.13),(76 47586.184),(77 47479.375),(78 47483.273),(79 46907.887),
(1 10234.439),(2 23679.021),(3 30277.588),(4 33813.75),(5 36595.523),(6 38745.867),(7 40334.797),(8 41165.16),(9 41495.438),(10 41598.605),(11 41699.176),(12 41292.67),(13 41984.625),(14 42702.96),(15 42106.41),(16 42152.81),(17 43008.87),(18 43400.723),(19 43099.313),(20 43554.184),(21 45425.582),(22 46150.266),(23 46203.54),(24 46889.594),(25 46980.08),(26 46280.78),(27 45163.2),(28 44343.676),(29 43744.414),(30 44247.508),(31 44403.29),(32 45801.406),(33 47604.914),(34 49314.01),(35 50046.242),(36 50298.715),(37 49509.617),(38 48928.277),(39 47668.875),(40 45875.844),(41 44874.043),(42 44801.48),(43 45038.227),(44 45691.957),(45 46621.23),(46 47602.246),(47 47682.3),(48 47789.664),(49 48871.39),(50 49914.45),(51 49520.4),(52 48950.746),(53 47843.03),(54 46473.043),(55 44757.355),(56 43332.883),(57 42296.53),(58 41844.785),(59 42167.79),(60 42471.676),(61 42611.65),(62 42871.527),(63 43071.945),(64 42849.355),(65 42038.867),(66 41568.902),(67 40734.914),(68 40558.563),(69 41960.953),(70 43499.754),(71 44936.203),(72 45696.285),(73 45841.06),(74 45291.902),(75 44650.293),(76 43801.133),(77 43633.848),(78 44430.277),(79 44239.793),
(1 10033.5205),(2 22597.477),(3 28161.158),(4 30815.322),(5 33613.496),(6 35603.098),(7 37008.035),(8 38097.066),(9 38898.074),(10 39661.63),(11 39386.83),(12 39306.418),(13 40007.516),(14 40523.63),(15 40113.22),(16 40099.438),(17 40934.715),(18 41386.438),(19 40764.28),(20 41055.184),(21 42069.035),(22 42040.42),(23 41877.594),(24 42263.76),(25 41508.27),(26 40572.668),(27 40339.77),(28 40175.62),(29 40455.938),(30 41115.53),(31 41497.605),(32 43184.273),(33 44456.617),(34 45456.535),(35 46007.4),(36 46249.715),(37 45648.473),(38 44887.926),(39 45049.05),(40 44652.97),(41 43748.785),(42 42862.97),(43 43033.41),(44 43279.984),(45 43367.14),(46 43668.38),(47 43145.266),(48 42545.617),(49 43014.99),(50 43505.156),(51 44034.95),(52 44562.6),(53 43504.945),(54 41899.277),(55 40650.938),(56 40147.805),(57 39668.37),(58 39181.984),(59 38825.74),(60 38623.785),(61 39253.383),(62 39580.15),(63 39627.95),(64 39540.438),(65 39201.984),(66 38421.695),(67 37640.395),(68 37789.785),(69 39124.996),(70 40304.617),(71 41604.637),(72 42307.54),(73 42704.28),(74 42255.18),(75 41639.582),(76 41469.516),(77 41962.54),(78 42469.41),(79 41705.742),
(1 9613.893),(2 21532.613),(3 27219.371),(4 30415.988),(5 32943.477),(6 34142.156),(7 35311.816),(8 36788.21),(9 38283.105),(10 39020.023),(11 38683.426),(12 39099.45),(13 40985.92),(14 41918.355),(15 41443.383),(16 40941.117),(17 41698.87),(18 41991.3),(19 41114.52),(20 41853.844),(21 42885.676),(22 42585.797),(23 41764.516),(24 41356.184),(25 40467.293),(26 40438.254),(27 41126.586),(28 41405.27),(29 41480.934),(30 42597.484),(31 43262.707),(32 43741.01),(33 43725),(34 43758.223),(35 43669.773),(36 43907.156),(37 43646.96),(38 43555.9),(39 43296.426),(40 42842.008),(41 42654.49),(42 42652.953),(43 43057.22),(44 42766.434),(45 42564.21),(46 42955.656),(47 42587.55),(48 41837.566),(49 41753.293),(50 41979.105),(51 42450.55),(52 43221.32),(53 43084.234),(54 42498.156),(55 41898.984),(56 41637.234),(57 41468.69),(58 41000.305),(59 40389.27),(60 39552.277),(61 39025.4),(62 39061.074),(63 38836.91),(64 37896.234),(65 37634.867),(66 37335.266),(67 37235.867),(68 37840.984),(69 38841.918),(70 39123.13),(71 40024.273),(72 40841.6),(73 41019.215),(74 41150.086),(75 41794.84),(76 42988.04),(77 43384.797),(78 43097.754),(79 43085.45),
(1 9519.269),(2 21210.664),(3 26814.791),(4 30054.527),(5 31761.775),(6 32259.164),(7 33563.12),(8 35100.367),(9 36123.48),(10 37014.945),(11 37554.016),(12 38385.492),(13 39987.215),(14 40857.887),(15 40478.336),(16 40127.203),(17 41574.746),(18 40869.242),(19 40062.543),(20 40988.168),(21 41716.746),(22 41674.79),(23 41992.332),(24 41691.688),(25 41046.082),(26 41746.203),(27 42140.305),(28 41992.32),(29 41844.684),(30 41962.36),(31 42213.336),(32 42368.875),(33 41903.156),(34 41313.582),(35 40701.46),(36 40692.43),(37 40879.26),(38 40934.75),(39 40864.188),(40 40609.363),(41 40393.63),(42 40488.035),(43 40678.71),(44 40404.766),(45 40412.504),(46 40713.05),(47 40494.484),(48 40323.363),(49 40503.953),(50 40226.684),(51 39985.316),(52 40876.55),(53 40707.64),(54 40106.855),(55 39596.688),(56 39395.75),(57 39294.043),(58 39318.02),(59 39498.58),(60 39584.914),(61 39243.293),(62 38872.13),(63 38396.4),(64 37909.883),(65 37770.72),(66 38019.367),(67 38107.484),(68 38766.39),(69 39646.742),(70 39378.75),(71 39405.33),(72 39484.57),(73 39084.098),(74 39752.797),(75 41060.33),(76 41967.95),(77 41658.258),(78 41357.953),(79 41667.28),
(1 9203.888),(2 20765.943),(3 26388.059),(4 29299.295),(5 31128.764),(6 32204.768),(7 34118.445),(8 35217.273),(9 35952.16),(10 37314.01),(11 38279.914),(12 38555.313),(13 38910.5),(14 39096.754),(15 38699.477),(16 38648.117),(17 39529.273),(18 38668.324),(19 38915.457),(20 39856.434),(21 40510.273),(22 40785.066),(23 41821.777),(24 41806.785),(25 41774.625),(26 42613.375),(27 42711.79),(28 42571.008),(29 42331.617),(30 41706.508),(31 41897.78),(32 42107.27),(33 42283.188),(34 41869.5),(35 41791.555),(36 41360.734),(37 40832.785),(38 40831.574),(39 40437.543),(40 40463.883),(41 40106.797),(42 40195.586),(43 40121.375),(44 39199.125),(45 38208.37),(46 37986.906),(47 37921.44),(48 38578.39),(49 39002.33),(50 38730.207),(51 38759.195),(52 39684.65),(53 40370.03),(54 40060.94),(55 39532.49),(56 39271.87),(57 38575.676),(58 38056.76),(59 38293.73),(60 38718.184),(61 38917.676),(62 38220.145),(63 37945.137),(64 37786.473),(65 37660.543),(66 37045.273),(67 37498.195),(68 38223.105),(69 38858.516),(70 37809.65),(71 37420.83),(72 36891.066),(73 36623),(74 37560.375),(75 39173.176),(76 40009.746),(77 39536.87),(78 40016.55),(79 40671.03),
(1 9112.763),(2 20174.307),(3 25455.402),(4 28653.352),(5 31027.555),(6 32346.086),(7 33704.75),(8 34299.754),(9 35391.69),(10 37168.09),(11 38262.492),(12 38445.16),(13 38651.008),(14 38342.105),(15 37757.625),(16 37888.76),(17 38062.195),(18 37053.1),(19 37290.258),(20 37804.363),(21 38048.453),(22 38591.434),(23 39510.89),(24 39212.902),(25 39235.773),(26 40427.152),(27 41049.977),(28 41589.973),(29 41602.332),(30 41203.387),(31 40881.93),(32 40746.027),(33 40167.066),(34 39911.332),(35 40457.2),(36 40524.17),(37 40720.65),(38 40291.637),(39 39613.8),(40 39113.195),(41 38441.57),(42 38321.145),(43 38208.89),(44 37419.26),(45 36095.793),(46 35768.22),(47 36181.7),(48 36750.805),(49 37233.074),(50 37688.92),(51 37728.195),(52 38081.676),(53 38479.07),(54 38248.586),(55 37514.41),(56 37205.78),(57 36788.633),(58 36067.16),(59 35923.008),(60 35952.23),(61 36393.215),(62 36648.92),(63 36614.453),(64 35909.52),(65 35526.848),(66 35322.645),(67 35953.684),(68 36531.22),(69 36418.957),(70 35291.16),(71 34743.895),(72 34649.93),(73 34920.78),(74 36091.07),(75 37730.918),(76 38999.8),(77 39216.215),(78 39473.203),(79 39783.863),
(1 8522.48),(2 18753.045),(3 24167.625),(4 28102.393),(5 30628.043),(6 31917.15),(7 32750.914),(8 33433.543),(9 34872.605),(10 36615.11),(11 37457.824),(12 37671.66),(13 37832.84),(14 37360.1),(15 36917.086),(16 37356.586),(17 37338.875),(18 36732.55),(19 37094.617),(20 37584.977),(21 37769.26),(22 38164.51),(23 38921.195),(24 38914.324),(25 38614.22),(26 39001.184),(27 39202.477),(28 39205.71),(29 39174.3),(30 39217.145),(31 39313.563),(32 39095.92),(33 38275.87),(34 38222.984),(35 38699.445),(36 38563.547),(37 38451.85),(38 37914.465),(39 37303.566),(40 36865.984),(41 37175.51),(42 37115.105),(43 36853.844),(44 36632.215),(45 36425.895),(46 36514.17),(47 36259.17),(48 36513.547),(49 36931.06),(50 37130.17),(51 36705.273),(52 36486.75),(53 36184.387),(54 36080.965),(55 35906.203),(56 35737.49),(57 35343.098),(58 34795.266),(59 34766.402),(60 34626.047),(61 34785.027),(62 35418.297),(63 35691.605),(64 35375.38),(65 35140.9),(66 35033.945),(67 35195.594),(68 35191.59),(69 34939.41),(70 34706.906),(71 34885.004),(72 35514.383),(73 35853.36),(74 36414.36),(75 37338.703),(76 38155.67),(77 38283.18),(78 38271.613),(79 38209.703),
(1 8220.706),(2 18301.396),(3 23867.668),(4 27668.691),(5 30462.389),(6 32125.709),(7 32468.84),(8 32605.627),(9 33867.99),(10 35368.32),(11 36392.56),(12 36870.59),(13 37002.188),(14 37217.285),(15 37419.297),(16 37827.46),(17 37056.254),(18 36610.207),(19 36877.547),(20 37112.25),(21 37343.156),(22 37454.16),(23 38099.234),(24 38339.813),(25 38126.78),(26 38055.18),(27 37285.05),(28 37193.813),(29 37422.98),(30 37323.64),(31 37491.797),(32 37491.664),(33 36655.457),(34 36492.746),(35 36571.477),(36 36101.434),(37 36210.727),(38 36520.305),(39 35990.77),(40 35894.875),(41 36008.215),(42 35593.46),(43 35190.895),(44 34985.297),(45 35449.64),(46 35434.586),(47 34934.055),(48 34770.074),(49 34549.484),(50 34520.984),(51 34170.793),(52 34384.805),(53 34723.72),(54 34502.688),(55 34239.33),(56 33950.043),(57 33860.508),(58 33625.965),(59 33719.51),(60 33949.754),(61 34197.184),(62 34741.145),(63 35425.45),(64 35658.875),(65 35656.86),(66 35766.875),(67 35898.04),(68 35666.434),(69 35683.906),(70 35811.492),(71 36046.316),(72 36452.637),(73 36883.074),(74 37289.188),(75 37536.04),(76 37551.492),(77 37706.88),(78 37648.535),(79 36876.164),
(1 8378.618),(2 18134.123),(3 22851.436),(4 25677.813),(5 27815.422),(6 28961.383),(7 29510.37),(8 30082.402),(9 31016.523),(10 31873.287),(11 32023.932),(12 32066.375),(13 32109.209),(14 31943.32),(15 32443.748),(16 33489.27),(17 32716.238),(18 32219.775),(19 33435.684),(20 34203.11),(21 34756.25),(22 34943.254),(23 34852.164),(24 34304.332),(25 34267.035),(26 34248.137),(27 34100.8),(28 33938.45),(29 33867.266),(30 33724.504),(31 33348.152),(32 33040.06),(33 32862.484),(34 33095.277),(35 33276.094),(36 33573.074),(37 33516.473),(38 33292.21),(39 32924.016),(40 32606.16),(41 31848.025),(42 31092.928),(43 30892.336),(44 30886.445),(45 31431.926),(46 31568.006),(47 31380.484),(48 31247.223),(49 31090.914),(50 30938.945),(51 30645.742),(52 30611.176),(53 30872.32),(54 30488.883),(55 30311.902),(56 30419.146),(57 30747.898),(58 31314.238),(59 31444.086),(60 31370.814),(61 31371.375),(62 31523.637),(63 31963.514),(64 32445.986),(65 32071.215),(66 31968.307),(67 32041.965),(68 32959.074),(69 33785.145),(70 34123.145),(71 34318.875),(72 34565.066),(73 34905.414),(74 35210.594),(75 35026.09),(76 35272.727),(77 34807.16),(78 34954.05),(79 34626.598),
(1 8176.9253),(2 17738.057),(3 22293.87),(4 24750.14),(5 26812.9),(6 28230.117),(7 28903.563),(8 29061.105),(9 29574.152),(10 29786.84),(11 29760.777),(12 30159.553),(13 30553.953),(14 30637.957),(15 31140.184),(16 32055.191),(17 31464.447),(18 31250.78),(19 31917.291),(20 32250.826),(21 31945.191),(22 31947.336),(23 31538.805),(24 31158.664),(25 30932.666),(26 31004.295),(27 30947.291),(28 31029.918),(29 30587.021),(30 30772.94),(31 30595.049),(32 30655.361),(33 30578.822),(34 30861.03),(35 30844.24),(36 31080.744),(37 31080.322),(38 30478.969),(39 30201.379),(40 30582.414),(41 30209.943),(42 30061.809),(43 30122.34),(44 30589.127),(45 30895.418),(46 30807.03),(47 30311.422),(48 29777.318),(49 29580.44),(50 29763.934),(51 30022.914),(52 30259.266),(53 30182.057),(54 29644.223),(55 29240.596),(56 29144.771),(57 29312.658),(58 29608.506),(59 29717.086),(60 29795.96),(61 29580.922),(62 29890.922),(63 30525.021),(64 30318.299),(65 30133.553),(66 30082.67),(67 30219.357),(68 31036.451),(69 32022.486),(70 32448.621),(71 32846.547),(72 33704.355),(73 34222.31),(74 34422.637),(75 34462.08),(76 34330.71),(77 34138.324),(78 34337.81),(79 33858.566),
(1 7789.6577),(2 16799.19),(3 21016.72),(4 23152.117),(5 24986.83),(6 26829.693),(7 27891.516),(8 28591.31),(9 28965.383),(10 29020.01),(11 28813.594),(12 28578.271),(13 28361.979),(14 28406.596),(15 28683.63),(16 28655.537),(17 28219.813),(18 28710.654),(19 29400.248),(20 29125.059),(21 28573.133),(22 28578.375),(23 28486.45),(24 28340.488),(25 28058.135),(26 28019.08),(27 28180.154),(28 28316.969),(29 28411.148),(30 28645.115),(31 29007.572),(32 29238.125),(33 29447.904),(34 29534.307),(35 29216.51),(36 29431.87),(37 29390.604),(38 29249.941),(39 28870.646),(40 28865.008),(41 29204.275),(42 29534.158),(43 29244.387),(44 29322.477),(45 29378.05),(46 29306.861),(47 29305.64),(48 28939.71),(49 28681.84),(50 28941.463),(51 29637.244),(52 29747.559),(53 29175.67),(54 28594.318),(55 28211.424),(56 28249.096),(57 28276.316),(58 28475.102),(59 28738.328),(60 28982.875),(61 29289.95),(62 29684.51),(63 30280.951),(64 29940.037),(65 29555.438),(66 29313.563),(67 29398.725),(68 29919.676),(69 30687.979),(70 31271.166),(71 31943.11),(72 32228.424),(73 32341.445),(74 32435.375),(75 32006.096),(76 31657.566),(77 31910.555),(78 31876.537),(79 31531.846),
(1 7720.7773),(2 16467.514),(3 20203.547),(4 22280.813),(5 23907.955),(6 25191.615),(7 26226.867),(8 27289.404),(9 27958.893),(10 27771.39),(11 27191.76),(12 26397.89),(13 26175.559),(14 25811.375),(15 25845.773),(16 25750.178),(17 25448.658),(18 25630.018),(19 26045.557),(20 25933.229),(21 26332.313),(22 26856.281),(23 26931.643),(24 26843.527),(25 26718.09),(26 26642.664),(27 26850.97),(28 27115.6),(29 27293.26),(30 27413.076),(31 27638),(32 27596.506),(33 27872.4),(34 28593.838),(35 28312.947),(36 27722.965),(37 27295.783),(38 27812.73),(39 28124.775),(40 28786.586),(41 29221.451),(42 29280.5),(43 29072.771),(44 29061.38),(45 28728.729),(46 28223.322),(47 28189.604),(48 27997.785),(49 28060.555),(50 28339.938),(51 28965.654),(52 29265.377),(53 28632.309),(54 28067.232),(55 28063.758),(56 28414.713),(57 27846.367),(58 27213.668),(59 27208.646),(60 27175.424),(61 27514.553),(62 27878.082),(63 27963.13),(64 27875.834),(65 27733.336),(66 27349.113),(67 27445.113),(68 28161.814),(69 28249.45),(70 28391.479),(71 29055.596),(72 29551.686),(73 29747.004),(74 29949.188),(75 29996.414),(76 29812.186),(77 29741.258),(78 29099.37),(79 28651.771),
(1 7887.301),(2 16591.898),(3 20131.406),(4 22100.992),(5 23900.691),(6 25503.48),(7 26915.904),(8 27732.875),(9 28269.691),(10 28367.99),(11 28210.18),(12 27485.1),(13 27456.89),(14 26734.973),(15 26849.547),(16 27130.371),(17 27143.861),(18 26908.953),(19 26614.422),(20 26400.908),(21 26788.04),(22 27191.041),(23 26915.652),(24 26156.52),(25 26221.459),(26 26552.385),(27 26475.047),(28 26743.256),(29 26487.459),(30 26422.215),(31 26597.996),(32 26596.596),(33 26875.572),(34 27298.021),(35 27765.877),(36 27532.836),(37 27108.68),(38 27034.197),(39 27426.748),(40 28212.861),(41 28640.871),(42 28620.68),(43 28750.146),(44 29204.32),(45 29352.285),(46 29200.45),(47 29022.977),(48 28963.17),(49 28935.531),(50 29247.945),(51 29511.914),(52 29327.45),(53 28983.441),(54 28753.518),(55 28376.441),(56 28133.184),(57 27782.256),(58 27351.361),(59 26971.533),(60 26539.52),(61 26416.764),(62 26715.152),(63 26977.23),(64 27250.307),(65 27906.79),(66 27402.553),(67 27248.873),(68 27882.72),(69 28026.123),(70 28094.162),(71 28714.51),(72 29296.72),(73 29357.414),(74 29695.426),(75 29659.28),(76 29680.729),(77 29383.115),(78 28327.375),(79 27642.014),
(1 7363.658),(2 15238.858),(3 18457.91),(4 20074.283),(5 21159.27),(6 22551.938),(7 23649.125),(8 24130.717),(9 25012.164),(10 25508.172),(11 25600.158),(12 25358.781),(13 25823.123),(14 25618.986),(15 26010.658),(16 25992.998),(17 25745.791),(18 25646.332),(19 25119.07),(20 24844.05),(21 24740.791),(22 24634.143),(23 24231.254),(24 23846.08),(25 24171.006),(26 24770.92),(27 25099.842),(28 25403.254),(29 25214.555),(30 25339.035),(31 24906.084),(32 24731.207),(33 24713.111),(34 24765.855),(35 25389.2),(36 24800.625),(37 24133.96),(38 24129.836),(39 24592.984),(40 25078.367),(41 25293.777),(42 25571.906),(43 25653.754),(44 25648.441),(45 25578.07),(46 25768.922),(47 25649.697),(48 25448.229),(49 25482.857),(50 26114.836),(51 26271.307),(52 25750.006),(53 25649.719),(54 25479.434),(55 25106.44),(56 24850.049),(57 25125.947),(58 25092.412),(59 25013.553),(60 24697.088),(61 24616.896),(62 24997.506),(63 25701.43),(64 25982.357),(65 26435.674),(66 26514.09),(67 26401.672),(68 26749.186),(69 26839.828),(70 26407.967),(71 26669.426),(72 27118.875),(73 27524.123),(74 27752.791),(75 27610.42),(76 27240.54),(77 26813.559),(78 26598.043),(79 26442.406),
(1 7061.4043),(2 14855.911),(3 17945.975),(4 19510.008),(5 20995.121),(6 22069.236),(7 22948.137),(8 23617.342),(9 24669.865),(10 24871.559),(11 24663.41),(12 24845.658),(13 25499.066),(14 25549.074),(15 25644.396),(16 25182.646),(17 25119.482),(18 24972.475),(19 24733.928),(20 24620.342),(21 24545.088),(22 24388.975),(23 23794.83),(24 23474.633),(25 23825.2),(26 24859.56),(27 25550.674),(28 25835.633),(29 25965.09),(30 26431.828),(31 26182.85),(32 26134.094),(33 25708.777),(34 25212.814),(35 25134.182),(36 24609.025),(37 24438.514),(38 24509.613),(39 24621.479),(40 24989.951),(41 24892.232),(42 24617.422),(43 24661.701),(44 24754.273),(45 24819.957),(46 25069.195),(47 24874.25),(48 24757.545),(49 24643.846),(50 24938.723),(51 25029.459),(52 24882.86),(53 24516.99),(54 24280.531),(55 24055.547),(56 23650.451),(57 23903.822),(58 23971.453),(59 23866.813),(60 23905.7),(61 24186.313),(62 24363.883),(63 25036.074),(64 25362.535),(65 25683.215),(66 26074.035),(67 26134.742),(68 26446.734),(69 26553.52),(70 26073.16),(71 25960.264),(72 25885.178),(73 26241.58),(74 26697.947),(75 26347.486),(76 25524.027),(77 25235.7),(78 25780.078),(79 26528.363),
(1 6900.164),(2 14320.435),(3 17178.426),(4 18805.139),(5 20381.541),(6 21413.305),(7 22142.445),(8 22844.252),(9 24106.102),(10 24017.234),(11 23671.795),(12 23595.412),(13 24202.412),(14 24153.73),(15 24210.193),(16 24329.617),(17 24216.625),(18 24058.16),(19 23875.775),(20 23170.043),(21 23074.375),(22 23241.875),(23 23038.592),(24 22844.234),(25 23156.813),(26 23445.607),(27 24201.113),(28 24837.342),(29 24937.314),(30 24807.553),(31 24630.332),(32 24473.96),(33 23965.414),(34 23338.496),(35 23038.932),(36 22911.02),(37 22921.666),(38 22993.92),(39 22942.154),(40 23055.145),(41 23438.383),(42 23462.574),(43 23219.98),(44 22964.223),(45 23266.922),(46 23748.785),(47 23885.053),(48 23781.393),(49 23580.912),(50 23562.494),(51 23709.695),(52 23564.277),(53 23056.795),(54 22678.324),(55 22408.99),(56 22563.088),(57 22958.03),(58 22910.363),(59 22681.465),(60 22597.932),(61 22439.344),(62 22580.395),(63 23215.451),(64 23482.117),(65 23762.016),(66 23740.814),(67 23836.75),(68 23817.07),(69 23869.268),(70 23618.924),(71 23593.281),(72 23429.68),(73 23722.38),(74 23911.68),(75 23315.555),(76 23019.365),(77 23184.168),(78 23968.82),(79 24744.588),
(1 6676.098),(2 13700.982),(3 16543.885),(4 18215.79),(5 19348.504),(6 20388.436),(7 21269.35),(8 21798.68),(9 22902.531),(10 23008.666),(11 22791.307),(12 22882.822),(13 23789.125),(14 23688.29),(15 23806.95),(16 23717.191),(17 23453.27),(18 23622.207),(19 23397.139),(20 22894.934),(21 23082.842),(22 23327.281),(23 23293.914),(24 23550.568),(25 23624.648),(26 23667.459),(27 24173.012),(28 24903.625),(29 25038.186),(30 24914.89),(31 24231.842),(32 23814.162),(33 23417.23),(34 23004.953),(35 22820.58),(36 22737.148),(37 22466.754),(38 22675.65),(39 22794.127),(40 22900.383),(41 23342.111),(42 23532.33),(43 23209.72),(44 22791.64),(45 22883.34),(46 23559.408),(47 23538.375),(48 22706.99),(49 22157.545),(50 22137.324),(51 22306.605),(52 22484),(53 22191.682),(54 22116.38),(55 21996.053),(56 22254.158),(57 22585.953),(58 22550.39),(59 22424.518),(60 22178.488),(61 21875.07),(62 21617.348),(63 21848.826),(64 22200.314),(65 22387.553),(66 22466.352),(67 22470.053),(68 22442.014),(69 22415.549),(70 22290.63),(71 22576.25),(72 22599.988),(73 22367.01),(74 22554.025),(75 22498.428),(76 22585.848),(77 22451.67),(78 23087.564),(79 23729.037),
