1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 169254.83),(2 463810),(3 793416.5),(4 1202980.1),(5 1608182.4),(6 1952046.6),(7 2324070.3),(8 2698090.8),(9 2980483.8),(10 3275501.8),(11 3561113.3),(12 3661250.3),(13 3694328.3),(14 3741347.3),(15 3764650.3),(16 3737022.8),(17 3633175.3),(18 3565280.3),(19 3613369.3),(20 3590779.3),(21 3555647),(22 3601955.3),(23 3725123.8),(24 3764456),(25 3757916.8),(26 3974414),(27 4404733),(28 4807266.5),(29 5313965.5),(30 6221090),(31 7017115.5),(32 7441190),(33 8296191.5),(34 9248479),(35 9921252),(36 10229265),(37 10864444),(38 11471333),(39 12285363),(40 12906000),(41 13272815),(42 13745216),(43 14366565),(44 14823520),(45 15255299),(46 15536581),(47 15815309),(48 16133863),(49 16187720),(50 16302328),(51 16563779),(52 16467932),(53 16451052),(54 16368004),(55 16093925),(56 16009619),(57 15957296),(58 15663072),(59 15474136),(60 15442187),(61 15341469),(62 15102357),(63 14836495),(64 14571216),(65 14340851),(66 14031439),(67 13701924),(68 13408855),(69 13290828),(70 13283196),(71 13130261),(72 13072416),(73 13400485),(74 13393333),(75 13190360),(76 13655515),(77 14685699),(78 15888173),(79 17221778),
(1 895.7263),(2 1300.532),(3 1432.8988),(4 1431.3052),(5 1420.9644),(6 1414.1904),(7 1465.7142),(8 1472.4468),(9 1454.1577),(10 1432.3488),(11 1465.0862),(12 1436.4724),(13 1459.4117),(14 1473.0173),(15 1523.095),(16 1502.5955),(17 1507.6229),(18 1478.8533),(19 1467.4105),(20 1442.2051),(21 1475.1506),(22 1486.8673),(23 1485.6239),(24 1469.8036),(25 1475.9546),(26 1459.6445),(27 1476.1942),(28 1460.3842),(29 1483.8242),(30 1495.1422),(31 1528.5211),(32 1532.401),(33 1538.1782),(34 1508.339),(35 1513.3466),(36 1501.8857),(37 1513.0236),(38 1508.8774),(39 1499.8232),(40 1515.7684),(41 1561.6735),(42 1556.2512),(43 1550.665),(44 1513.8462),(45 1500.9371),(46 1529.4034),(47 1571.9136),(48 1529.7561),(49 1547.2941),(50 1533.9452),(51 1563.8805),(52 1537.3802),(53 1528.1577),(54 1507.8429),(55 1558.956),(56 1563.5958),(57 1562.4812),(58 1544.8262),(59 1546.1118),(60 1541.5073),(61 1549.3553),(62 1542.936),(63 1551.9087),(64 1535.3186),(65 1564.2189),(66 1560.8258),(67 1561.8615),(68 1527.9086),(69 1535.8064),(70 1547.1979),(71 1529.6664),(72 1476.7937),(73 1474.3777),(74 1474.4667),(75 1523.1182),(76 1491.0311),(77 1525.1461),(78 1519.2936),(79 1526.8778),
(1 851.915),(2 1217.9167),(3 1336.5293),(4 1341.911),(5 1346.7035),(6 1336.4285),(7 1376.6947),(8 1370.9716),(9 1349.4757),(10 1345.7633),(11 1372.23),(12 1347.7512),(13 1384.8469),(14 1382.0392),(15 1409.8944),(16 1384.3572),(17 1400.0587),(18 1394.1141),(19 1394.8936),(20 1373.4774),(21 1422.9944),(22 1415.4938),(23 1402.1113),(24 1412.9683),(25 1410.4226),(26 1390.1846),(27 1418.08),(28 1436.9711),(29 1442.3468),(30 1441.4009),(31 1456.3824),(32 1452.8224),(33 1436.3706),(34 1431.0164),(35 1474.37),(36 1447.4052),(37 1442.2496),(38 1403.6948),(39 1446.3173),(40 1454.6465),(41 1472.3064),(42 1462.4185),(43 1466.8031),(44 1429.5173),(45 1427.7251),(46 1398.6797),(47 1437.8536),(48 1409.424),(49 1447.5747),(50 1465.6746),(51 1500.4204),(52 1473.037),(53 1469.8185),(54 1447.3446),(55 1489.6766),(56 1493.2471),(57 1516.0529),(58 1479.2947),(59 1479.7395),(60 1425.4178),(61 1449.7888),(62 1455.4255),(63 1470.0325),(64 1442.2465),(65 1458.7235),(66 1471.0775),(67 1456.7916),(68 1408.8601),(69 1420.6573),(70 1424.8828),(71 1419.9735),(72 1371.7817),(73 1383.6411),(74 1390.8507),(75 1429.9243),(76 1413.7667),(77 1433.9053),(78 1425.0453),(79 1466.1858),
(1 804.6441),(2 1154.5972),(3 1271.2944),(4 1271.9985),(5 1272.3489),(6 1290.7504),(7 1316.0096),(8 1307.2988),(9 1320.0178),(10 1318.2778),(11 1332.0082),(12 1318.3627),(13 1329.9781),(14 1321.1931),(15 1351.9181),(16 1333.1125),(17 1350.6808),(18 1339.4573),(19 1347.3398),(20 1354.8516),(21 1369.7811),(22 1336.9863),(23 1341.8647),(24 1355.9033),(25 1363.7727),(26 1349.0544),(27 1353.3247),(28 1359.3341),(29 1339.6233),(30 1354.1067),(31 1362.942),(32 1371.4845),(33 1364.9213),(34 1366.1989),(35 1364.7588),(36 1371.3062),(37 1373.4938),(38 1341.5486),(39 1364.1603),(40 1345.4829),(41 1388.8676),(42 1384.544),(43 1392.2863),(44 1377.5999),(45 1383.2343),(46 1363.9519),(47 1374.7734),(48 1345.9138),(49 1384.2667),(50 1395.8416),(51 1430.4402),(52 1413.3403),(53 1415.8525),(54 1400.7622),(55 1465.9742),(56 1461.9246),(57 1462.4269),(58 1394.2993),(59 1387.1769),(60 1358.9456),(61 1405.0425),(62 1399.2136),(63 1391.4017),(64 1358.0802),(65 1382.1871),(66 1366.7665),(67 1378.177),(68 1342.3315),(69 1359.0796),(70 1365.3783),(71 1384.1587),(72 1372.0017),(73 1374.2583),(74 1358.8073),(75 1407.0752),(76 1355.0726),(77 1374.5696),(78 1354.4005),(79 1377.8242),
(1 780.2541),(2 1123.0944),(3 1256.9219),(4 1259.38),(5 1245.6683),(6 1238.8844),(7 1285.734),(8 1291.9886),(9 1285.0076),(10 1282.0695),(11 1290.2334),(12 1248.9528),(13 1277.3473),(14 1265.5101),(15 1296.2263),(16 1299.9113),(17 1302.2493),(18 1287.9089),(19 1289.0979),(20 1294.2118),(21 1309.2716),(22 1278.1182),(23 1282.6626),(24 1280.3009),(25 1308.2815),(26 1291.2919),(27 1324.7783),(28 1297.2319),(29 1293.4155),(30 1288.1436),(31 1319.0457),(32 1318.1173),(33 1313.5846),(34 1318.3381),(35 1324.0391),(36 1293.9218),(37 1327.794),(38 1314.7185),(39 1337.5677),(40 1355.9763),(41 1392.5148),(42 1374.5745),(43 1373.5524),(44 1345.189),(45 1381.9246),(46 1364.3066),(47 1381.5007),(48 1346.1254),(49 1356.518),(50 1361.1389),(51 1382.1646),(52 1373.0768),(53 1368.444),(54 1339.347),(55 1378.3422),(56 1391.595),(57 1399.0328),(58 1360.4155),(59 1356.6642),(60 1343.6832),(61 1376.6024),(62 1363.5557),(63 1364.0634),(64 1352.8909),(65 1357.9889),(66 1320.0172),(67 1303.5397),(68 1276.9254),(69 1308.9207),(70 1315.6809),(71 1347.3518),(72 1315.1749),(73 1304.5573),(74 1298.568),(75 1329.3525),(76 1315.0444),(77 1340.291),(78 1298.1495),(79 1328.3943),
(1 774.05054),(2 1094.6421),(3 1212.922),(4 1201.4114),(5 1222.4138),(6 1227.0038),(7 1255.5282),(8 1262.8975),(9 1241.8586),(10 1226.4718),(11 1211.8508),(12 1217.8711),(13 1249.6204),(14 1233.8475),(15 1255.0311),(16 1220.7745),(17 1235.3727),(18 1234.4857),(19 1232.7452),(20 1250.0898),(21 1257.1216),(22 1240.2771),(23 1230.4944),(24 1215.7236),(25 1254.238),(26 1258.3225),(27 1268.0579),(28 1261.7649),(29 1252.1719),(30 1248.8738),(31 1268.6877),(32 1262.1064),(33 1285.1443),(34 1293.5994),(35 1294.0115),(36 1251.5773),(37 1273.637),(38 1258.546),(39 1278.1508),(40 1297.9703),(41 1308.3232),(42 1322.2307),(43 1324.4435),(44 1299.3259),(45 1313.1766),(46 1311.3578),(47 1320.5348),(48 1315.5419),(49 1340.3352),(50 1326.8105),(51 1353.4932),(52 1312.179),(53 1337.9368),(54 1284.6963),(55 1299.9781),(56 1340.5201),(57 1366.81),(58 1341.2926),(59 1336.7247),(60 1318.9976),(61 1344.5906),(62 1332.8041),(63 1337.5123),(64 1323.2047),(65 1344.4631),(66 1310.503),(67 1309.8325),(68 1275.4727),(69 1298.5912),(70 1305.9502),(71 1325.1536),(72 1310.3119),(73 1318.4976),(74 1306.7256),(75 1319.1173),(76 1295.9019),(77 1304.5599),(78 1277.111),(79 1288.3474),
(1 740.04285),(2 1053.7856),(3 1166.3247),(4 1164.0171),(5 1169.2992),(6 1207.5385),(7 1236.7587),(8 1237.1498),(9 1217.9159),(10 1197.6199),(11 1216.4722),(12 1192.2021),(13 1205.0775),(14 1220.2843),(15 1235.1141),(16 1206.272),(17 1214.4774),(18 1206.883),(19 1213.0399),(20 1202.4203),(21 1213.7954),(22 1208.4689),(23 1204.6082),(24 1168.8483),(25 1186.2213),(26 1206.6687),(27 1221.431),(28 1209.3926),(29 1238.7178),(30 1208.9698),(31 1200.0686),(32 1197.2391),(33 1218.9514),(34 1227.4491),(35 1227.6948),(36 1198.2174),(37 1224.3496),(38 1198.2646),(39 1218.2535),(40 1235.8833),(41 1271.841),(42 1258.3877),(43 1266.7905),(44 1263.9015),(45 1297.6422),(46 1276.5802),(47 1264.5333),(48 1278.5604),(49 1312.7445),(50 1293.2246),(51 1321.742),(52 1305.8833),(53 1283.6199),(54 1270.0886),(55 1290.1307),(56 1312.3881),(57 1310.48),(58 1274.2117),(59 1283.487),(60 1278.9672),(61 1290.6067),(62 1268.0138),(63 1285.5991),(64 1258.6882),(65 1270.0764),(66 1236.4086),(67 1262.6984),(68 1237.8271),(69 1266.9056),(70 1257.6527),(71 1282.5702),(72 1266.6232),(73 1268.7758),(74 1251.3469),(75 1289.9171),(76 1271.9929),(77 1263.704),(78 1240.8718),(79 1263.2699),
(1 735.02734),(2 1011.72675),(3 1108.3467),(4 1109.8816),(5 1126.2365),(6 1156.7737),(7 1189.2971),(8 1184.7755),(9 1168.679),(10 1151.1206),(11 1157.9019),(12 1136.9872),(13 1152.9708),(14 1134.8025),(15 1167.482),(16 1177.2644),(17 1200.8387),(18 1166.6804),(19 1200.074),(20 1183.7275),(21 1201.239),(22 1195.5083),(23 1197.3683),(24 1180.7542),(25 1205.6194),(26 1198.5061),(27 1201.1003),(28 1192.5518),(29 1210.6215),(30 1214.4695),(31 1207.2279),(32 1193.8064),(33 1181.7217),(34 1187.559),(35 1194.5616),(36 1193.3264),(37 1209.8981),(38 1210.2628),(39 1224.3176),(40 1214.3384),(41 1228.818),(42 1239.3032),(43 1247.9878),(44 1215.234),(45 1234.628),(46 1208.4196),(47 1201.1713),(48 1190.0731),(49 1210.2577),(50 1210.1901),(51 1215.963),(52 1211.8031),(53 1211.0455),(54 1212.0013),(55 1238.4833),(56 1252.3859),(57 1272.035),(58 1236.5173),(59 1219.9482),(60 1222.4222),(61 1232.9994),(62 1211.3147),(63 1233.2076),(64 1215.0566),(65 1243.122),(66 1215.4462),(67 1214.0903),(68 1205.0352),(69 1214.4336),(70 1216.8246),(71 1226.7229),(72 1199.1334),(73 1214.0146),(74 1208.3444),(75 1272.0148),(76 1242.4644),(77 1263.7584),(78 1240.1019),(79 1250.8794),
(1 686.56903),(2 943.7531),(3 1063.6094),(4 1069.9027),(5 1100.7675),(6 1107.5627),(7 1117.4456),(8 1104.6427),(9 1105.5743),(10 1092.4657),(11 1102.3933),(12 1085.9891),(13 1094.0245),(14 1082.665),(15 1121.2078),(16 1136.3756),(17 1145.6808),(18 1125.7985),(19 1138.5923),(20 1133.1996),(21 1146.3629),(22 1150.2388),(23 1139.3304),(24 1085.1328),(25 1117.5184),(26 1116.4618),(27 1133.8193),(28 1112.5785),(29 1145.8928),(30 1155.9797),(31 1156.8024),(32 1122.5093),(33 1093.6107),(34 1105.0051),(35 1116.2345),(36 1106.7909),(37 1132.2273),(38 1103.3215),(39 1131.8099),(40 1129.6292),(41 1156.539),(42 1145.2809),(43 1144.5217),(44 1123.4462),(45 1155.6278),(46 1147.299),(47 1166.9728),(48 1143.5449),(49 1153.9342),(50 1159.1997),(51 1180.2914),(52 1159.6346),(53 1161.1354),(54 1161.54),(55 1193.8558),(56 1182.241),(57 1181.6357),(58 1155.479),(59 1171.3566),(60 1168.0892),(61 1166.8375),(62 1173.4584),(63 1181.0588),(64 1172.8942),(65 1179.3875),(66 1142.8256),(67 1157.0682),(68 1137.1449),(69 1143.693),(70 1139.0917),(71 1168.767),(72 1148.5823),(73 1164.2021),(74 1143.2406),(75 1164.6769),(76 1155.8964),(77 1176.564),(78 1145.7278),(79 1155.8239),
(1 690.6235),(2 947.6818),(3 1046.1084),(4 1050.9609),(5 1043.7233),(6 1052.5427),(7 1067.0233),(8 1057.8319),(9 1077.6053),(10 1070.7867),(11 1080.4257),(12 1088.3306),(13 1097.27),(14 1068.7244),(15 1082.7683),(16 1078.3569),(17 1093.9341),(18 1086.4989),(19 1097.0391),(20 1094.6385),(21 1120.3326),(22 1102.6888),(23 1096.5211),(24 1068.0731),(25 1070.4288),(26 1081.4425),(27 1114.3461),(28 1100.2803),(29 1119.2953),(30 1123.2368),(31 1131.0214),(32 1106.8401),(33 1097.0814),(34 1081.215),(35 1096.266),(36 1076.5216),(37 1078.887),(38 1064.17),(39 1124.4476),(40 1125.8129),(41 1167.7612),(42 1129.6892),(43 1137.9296),(44 1121.6223),(45 1127.6519),(46 1127.0074),(47 1147.0076),(48 1090.1083),(49 1120.8213),(50 1116.2194),(51 1137.4415),(52 1130.3),(53 1146.2264),(54 1144.6891),(55 1151.683),(56 1170.2719),(57 1171.5919),(58 1134.078),(59 1145.9551),(60 1142.9043),(61 1128.2068),(62 1114.7941),(63 1128.7878),(64 1117.4982),(65 1123.0726),(66 1106.4607),(67 1102.1965),(68 1066.547),(69 1099.7004),(70 1099.0071),(71 1114.7556),(72 1097.1205),(73 1096.093),(74 1082.5588),(75 1106.9324),(76 1085.6261),(77 1109.3744),(78 1111.2025),(79 1111.9443),
(1 684.1137),(2 925.74005),(3 1018.75836),(4 1008.2323),(5 1035.4297),(6 1042.0663),(7 1055.3528),(8 1063.0078),(9 1042.5096),(10 1045.2395),(11 1064.6987),(12 1038.8497),(13 1054.6224),(14 1039.5466),(15 1043.8157),(16 1049.1511),(17 1064.7717),(18 1068.5787),(19 1085.0715),(20 1074.41),(21 1078.7609),(22 1073.5137),(23 1085.6981),(24 1065.0168),(25 1061.2059),(26 1051.7505),(27 1074.0168),(28 1045.642),(29 1058.4388),(30 1072.8303),(31 1074.6703),(32 1086.6476),(33 1087.4974),(34 1081.0289),(35 1087.7103),(36 1078.2175),(37 1079.0721),(38 1060.9017),(39 1091.4276),(40 1108.793),(41 1132.5894),(42 1113.2682),(43 1095.4973),(44 1096.8812),(45 1131.4349),(46 1143.479),(47 1145.7498),(48 1111.6338),(49 1109.0049),(50 1098.8561),(51 1123.7023),(52 1123.6349),(53 1138.0345),(54 1138.941),(55 1140.1431),(56 1141.8337),(57 1143.5244),(58 1101.3846),(59 1111.5168),(60 1101.8188),(61 1104.3661),(62 1101.4355),(63 1105.2407),(64 1103.3887),(65 1109.6539),(66 1093.9893),(67 1112.5427),(68 1083.5814),(69 1109.2303),(70 1098.7394),(71 1106.9204),(72 1074.4125),(73 1067.3275),(74 1067.7849),(75 1078.8142),(76 1060.1042),(77 1084.945),(78 1089.498),(79 1092.1454),
(1 666.773),(2 899.89264),(3 992.22424),(4 994.5445),(5 1006.7504),(6 1019.5141),(7 1035.6163),(8 1039.6915),(9 1036.2622),(10 1015.53784),(11 1027.687),(12 1008.36475),(13 1022.3558),(14 1002.8101),(15 1016.93115),(16 1014.7524),(17 1035.2458),(18 1024.4751),(19 1027.2692),(20 1020.18884),(21 1050.6549),(22 1036.9915),(23 1035.5585),(24 1019.9722),(25 1041.2092),(26 1056.7095),(27 1048.4691),(28 1016.1038),(29 1030.065),(30 1052.6644),(31 1058.9246),(32 1061.8708),(33 1061.61),(34 1035.6917),(35 1038.7281),(36 1049.2373),(37 1060.1085),(38 1036.3094),(39 1060.2343),(40 1077.3514),(41 1093.831),(42 1060.8071),(43 1066.863),(44 1054.9337),(45 1082.2687),(46 1100.0355),(47 1089.3877),(48 1081.986),(49 1076.2836),(50 1060.829),(51 1084.2134),(52 1085.0762),(53 1096.7761),(54 1112.3817),(55 1118.0032),(56 1096.4517),(57 1109.3137),(58 1092.6761),(59 1093.8392),(60 1083.9451),(61 1088.6016),(62 1084.4852),(63 1086.7402),(64 1083.4885),(65 1109.9894),(66 1113.5697),(67 1121.7046),(68 1068.7583),(69 1075.8971),(70 1074.8668),(71 1069.4386),(72 1050.6924),(73 1046.7134),(74 1029.3257),(75 1055.8013),(76 1037.2596),(77 1057.4823),(78 1057.4609),(79 1069.3676),
(1 622.8695),(2 852.8715),(3 925.3274),(4 946.0034),(5 972.8697),(6 973.031),(7 997.0863),(8 998.27893),(9 1003.1259),(10 991.9556),(11 996.61),(12 986.46375),(13 982.5286),(14 963.5115),(15 971.5055),(16 973.31995),(17 978.9847),(18 985.2509),(19 981.8787),(20 993.25287),(21 1009.4176),(22 985.3236),(23 987.9378),(24 968.23785),(25 961.3996),(26 986.41003),(27 1004.5844),(28 983.58545),(29 984.7297),(30 983.79205),(31 1017.397),(32 1014.9748),(33 1006.46643),(34 1004.4243),(35 1005.8405),(36 993.5866),(37 1004.0483),(38 987.7549),(39 1016.3716),(40 1012.2648),(41 1030.3373),(42 1031.9425),(43 1013.6842),(44 1021.5579),(45 1037.9603),(46 1043.4496),(47 1049.7438),(48 1039.5918),(49 1033.1335),(50 1008.9415),(51 1028.4348),(52 1033.1841),(53 1039.7778),(54 1057.1436),(55 1077.1239),(56 1054.0133),(57 1059.7716),(58 1053.9476),(59 1056.1465),(60 1047.9359),(61 1048.8267),(62 1046.2661),(63 1045.5543),(64 1031.3315),(65 1036.8577),(66 1045.7114),(67 1042.7415),(68 1021.12616),(69 1018.2279),(70 1013.3048),(71 1009.67084),(72 1000.14856),(73 999.76575),(74 999.4732),(75 1020.77655),(76 991.47205),(77 997.81213),(78 999.8086),(79 1014.45984),
(1 617.227),(2 829.2469),(3 907.75854),(4 912.27405),(5 925.0165),(6 926.4504),(7 950.6526),(8 952.388),(9 946.74634),(10 945.148),(11 958.65497),(12 944.83307),(13 937.85626),(14 928.32886),(15 938.59546),(16 951.54895),(17 963.15826),(18 971.6386),(19 962.5186),(20 954.39905),(21 973.1432),(22 959.5971),(23 959.91315),(24 957.1709),(25 942.21625),(26 937.8238),(27 963.12317),(28 946.7185),(29 972.9011),(30 976.9695),(31 980.92596),(32 976.3973),(33 990.4475),(34 979.6416),(35 986.22003),(36 979.2605),(37 996.0537),(38 996.4239),(39 1027.1205),(40 1015.52594),(41 1043.853),(42 1024.2611),(43 1026.7432),(44 1006.903),(45 1029.4073),(46 1032.3159),(47 1053.9232),(48 1035.5118),(49 1034.2296),(50 1012.872),(51 1032.5702),(52 1022.51666),(53 1035.1364),(54 1029.5869),(55 1049.6561),(56 1033.3214),(57 1044.5153),(58 1014.6521),(59 1017.7534),(60 1011.8979),(61 1008.9468),(62 1017.9386),(63 1019.6335),(64 992.9738),(65 1011.59375),(66 1011.7839),(67 1018.33014),(68 1002.4544),(69 1010.6503),(70 1019.0018),(71 1008.9765),(72 984.1775),(73 996.8804),(74 991.40265),(75 1015.01825),(76 993.1383),(77 985.208),(78 970.5517),(79 993.74536),
(1 613.2119),(2 817.90594),(3 900.7781),(4 886.54266),(5 893.85345),(6 887.4607),(7 906.8226),(8 912.10504),(9 924.9196),(10 922.64734),(11 938.1041),(12 920.60223),(13 935.1781),(14 923.97876),(15 941.7226),(16 937.3145),(17 936.0455),(18 946.6687),(19 947.70374),(20 935.9093),(21 950.38153),(22 930.12683),(23 940.5436),(24 916.6355),(25 920.6362),(26 929.2263),(27 956.1193),(28 947.65356),(29 951.2479),(30 952.8081),(31 951.54535),(32 932.656),(33 942.6664),(34 942.1512),(35 934.69934),(36 939.5195),(37 953.976),(38 959.5023),(39 995.14246),(40 958.9703),(41 990.48615),(42 973.6671),(43 981.11194),(44 952.7831),(45 974.80725),(46 980.2848),(47 1013.225),(48 996.15985),(49 990.31525),(50 965.058),(51 987.1351),(52 974.60144),(53 986.91833),(54 985.77527),(55 996.5716),(56 994.7446),(57 1004.4283),(58 962.82245),(59 969.67285),(60 973.553),(61 990.6696),(62 991.13727),(63 984.89056),(64 962.3525),(65 981.54956),(66 987.9958),(67 990.90546),(68 973.1985),(69 978.52545),(70 978.03925),(71 982.09),(72 956.05817),(73 957.1134),(74 949.88885),(75 976.1092),(76 950.35474),(77 962.80896),(78 948.7807),(79 955.78235),
(1 595.24927),(2 792.6408),(3 874.3876),(4 863.2463),(5 878.9779),(6 877.7161),(7 888.4906),(8 881.95264),(9 901.03674),(10 914.65485),(11 920.5003),(12 912.12805),(13 911.2163),(14 906.5088),(15 944.1129),(16 931.2464),(17 937.9464),(18 939.80426),(19 937.697),(20 935.64575),(21 955.73456),(22 941.2962),(23 948.3472),(24 918.51794),(25 928.675),(26 923.7966),(27 934.6023),(28 940.0867),(29 949.29694),(30 938.87994),(31 935.2742),(32 934.5337),(33 941.34485),(34 933.96893),(35 916.30707),(36 911.92706),(37 913.75586),(38 930.1808),(39 959.849),(40 935.2832),(41 939.69226),(42 932.9695),(43 934.3476),(44 924.66034),(45 944.25726),(46 943.3028),(47 956.54504),(48 947.5738),(49 969.0933),(50 944.1607),(51 952.36053),(52 932.8097),(53 949.0447),(54 960.2392),(55 964.9001),(56 942.2599),(57 977.56445),(58 954.1412),(59 929.12573),(60 936.17535),(61 959.61505),(62 957.26776),(63 957.37823),(64 956.99036),(65 962.01447),(66 946.40704),(67 947.1768),(68 922.1413),(69 919.67163),(70 940.7815),(71 956.77814),(72 914.5968),(73 917.15924),(74 906.2924),(75 933.6967),(76 920.6581),(77 930.90625),(78 912.4403),(79 920.95557),
(1 556.73175),(2 757.5529),(3 836.20935),(4 821.97784),(5 849.80304),(6 845.59796),(7 858.934),(8 857.1032),(9 881.4819),(10 872.9041),(11 875.1079),(12 858.45593),(13 864.00867),(14 853.4794),(15 881.014),(16 878.82666),(17 888.40717),(18 894.3688),(19 879.5672),(20 878.9407),(21 911.1987),(22 899.268),(23 886.9179),(24 869.0095),(25 881.7785),(26 890.88837),(27 902.6986),(28 899.8647),(29 910.9822),(30 893.6596),(31 897.9249),(32 897.04755),(33 889.8328),(34 876.50684),(35 868.3725),(36 875.6961),(37 886.6562),(38 882.1343),(39 904.9354),(40 898.3475),(41 904.44446),(42 902.76984),(43 896.91077),(44 886.5064),(45 912.9267),(46 902.9357),(47 901.7893),(48 905.2368),(49 914.02026),(50 903.7883),(51 919.8973),(52 903.5448),(53 912.0866),(54 899.4222),(55 916.49994),(56 914.8383),(57 932.0179),(58 905.85284),(59 915.42334),(60 897.0062),(61 920.37604),(62 906.603),(63 919.12616),(64 912.5112),(65 932.12),(66 921.99725),(67 932.03973),(68 895.9535),(69 911.10547),(70 935.9571),(71 927.0517),(72 905.5309),(73 892.3192),(74 893.76385),(75 930.9809),(76 910.9419),(77 920.0862),(78 898.2276),(79 921.3659),
