1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 593453.94),(2 950048.44),(3 998595.7),(4 2030403),(5 2780571.8),(6 3026946.3),(7 4125187.3),(8 4949871),(9 5065904.5),(10 6050705.5),(11 6645439.5),(12 6639856),(13 7521234.5),(14 8094774.5),(15 8071955.5),(16 8886381),(17 9493634),(18 9443013),(19 10290120),(20 10894497),(21 10880333),(22 11806005),(23 12433465),(24 12400719),(25 13332564),(26 14006139),(27 14051208),(28 14959291),(29 15575796),(30 15611368),(31 16392444),(32 17196360),(33 17445462),(34 18408126),(35 19522938),(36 19887472),(37 20989826),(38 22327468),(39 22576120),(40 23577866),(41 24712608),(42 24951878),(43 25735282),(44 26581290),(45 26631234),(46 27188072),(47 27940566),(48 27846744),(49 28315498),(50 28921614),(51 28706810),(52 29054448),(53 29653334),(54 29394182),(55 29797208),(56 30334018),(57 30028634),(58 30318678),(59 30733766),(60 30384646),(61 30454838),(62 30928976),(63 30641046),(64 30661050),(65 31272346),(66 31088202),(67 31307088),(68 32161750),(69 32166554),(70 32366256),(71 33169702),(72 33171994),(73 33487926),(74 34427744),(75 34730188),(76 35134624),(77 36400444),(78 37262580),(79 38032268),
(1 15459.622),(2 21903.424),(3 23173.027),(4 24627.537),(5 24940.25),(6 26230.824),(7 26633.705),(8 26866.373),(9 27045.387),(10 26778.408),(11 27595.168),(12 28257.463),(13 28453.393),(14 28595.3),(15 28401.434),(16 28864.508),(17 29310.768),(18 29395.332),(19 29915.002),(20 30225.873),(21 30754.896),(22 31217.564),(23 31273.346),(24 32147.5),(25 32731.813),(26 32312.008),(27 32449.953),(28 32338.555),(29 32526.967),(30 33050.152),(31 33075.55),(32 32867.133),(33 33091.17),(34 33166.19),(35 32570.95),(36 32311.63),(37 31538.395),(38 30792.94),(39 30504.781),(40 30014.14),(41 29067.61),(42 28335.8),(43 27677.521),(44 27417.682),(45 27301.79),(46 26929.549),(47 27057.822),(48 27500.932),(49 26816.139),(50 26334.691),(51 26482.463),(52 27196.244),(53 27861.777),(54 27564.898),(55 27172.916),(56 27777.75),(57 28017.357),(58 28086.55),(59 28342.254),(60 28651.666),(61 28773.379),(62 29136.219),(63 29622.854),(64 29764.836),(65 30085.834),(66 30118.191),(67 31176.084),(68 31548.887),(69 31412.563),(70 31456.139),(71 31702.307),(72 31337.156),(73 31757.973),(74 32156.281),(75 32280.646),(76 32172.916),(77 32732.143),(78 32836.785),(79 32451.076),
(1 14558.897),(2 20481.4),(3 21999.299),(4 23193.44),(5 23232.031),(6 24713.729),(7 25401.799),(8 25314.813),(9 25581.33),(10 26049.729),(11 26739.273),(12 27547.135),(13 27812.09),(14 28047.83),(15 28531.574),(16 28471.426),(17 28963.52),(18 29255.504),(19 29566.38),(20 30185.63),(21 30708.148),(22 30843.62),(23 31413.889),(24 31744.547),(25 31953.656),(26 31943.977),(27 31933.27),(28 32571.361),(29 32994.156),(30 32692.336),(31 32632.508),(32 32718.92),(33 32173.742),(34 31985.4),(35 31717.41),(36 31216.889),(37 30301.033),(38 29943.094),(39 29769.938),(40 28770.598),(41 27827.705),(42 27360.783),(43 27496.652),(44 27207.613),(45 26904.889),(46 26555.549),(47 26140.7),(48 25880.422),(49 25829.188),(50 26455.719),(51 26446.143),(52 26205.258),(53 26246.422),(54 26674.855),(55 26976.258),(56 27505.588),(57 28080.756),(58 28834.277),(59 28693.95),(60 28623.29),(61 29176.064),(62 29875.162),(63 29853.06),(64 30055.115),(65 30093.38),(66 30298.408),(67 30293.377),(68 30527.71),(69 30504.082),(70 30255.018),(71 30130.643),(72 30406.139),(73 31048.207),(74 30921.998),(75 30980.354),(76 31025.756),(77 31767.32),(78 32399.996),(79 31983.023),
(1 15294.77),(2 21539.3),(3 22798.39),(4 23843.76),(5 24634.273),(6 25452.97),(7 26035.945),(8 25719.666),(9 26205.053),(10 26660.064),(11 27161.406),(12 27436.918),(13 28055.375),(14 28754.291),(15 29031.707),(16 28836.982),(17 29336.748),(18 29801.617),(19 29757.682),(20 29820.574),(21 30243.416),(22 30432.102),(23 30837.496),(24 30970.873),(25 31206.518),(26 31290.389),(27 31753.773),(28 32144.605),(29 32365.717),(30 31632.346),(31 31056.998),(32 31460.43),(33 30934.623),(34 30897.209),(35 30907.719),(36 30291.182),(37 30159.36),(38 29366.53),(39 28151.822),(40 27578.713),(41 27183.537),(42 26729.348),(43 26833.57),(44 26578.584),(45 26182.3),(46 25544.281),(47 25399.496),(48 25247.605),(49 25155.324),(50 25927.785),(51 26273.797),(52 26465.887),(53 26915.219),(54 27480.547),(55 27679.658),(56 27991.014),(57 27921.225),(58 27853.943),(59 28195.934),(60 28826.58),(61 29335.982),(62 30002.43),(63 29903.557),(64 29860.688),(65 30166.086),(66 30358.283),(67 30218.234),(68 30210.844),(69 30550.084),(70 31316.148),(71 31743.088),(72 31756.574),(73 32107.088),(74 31360.715),(75 31404.357),(76 32073.783),(77 32476.41),(78 32105.31),(79 31595.086),
(1 14850.573),(2 20800.338),(3 22084.852),(4 23111.389),(5 23577.313),(6 24448.799),(7 24599.033),(8 24037.168),(9 24965.818),(10 25059.06),(11 25287.762),(12 25964.01),(13 26347.18),(14 26323.053),(15 26789.922),(16 26736.068),(17 27156.912),(18 27998.11),(19 28026.133),(20 28206.95),(21 28206.797),(22 28316.063),(23 28880.28),(24 29270.58),(25 29705.078),(26 29953.2),(27 29954.201),(28 29781.164),(29 29856),(30 29159.563),(31 28969.193),(32 29140.736),(33 29270.309),(34 28969.363),(35 29111.951),(36 28902.09),(37 28048.93),(38 28013.309),(39 27749.62),(40 26852.988),(41 26245.834),(42 25693.021),(43 25339.47),(44 25469.588),(45 25327.598),(46 25072.197),(47 25083.477),(48 24969.045),(49 25052.996),(50 25352.783),(51 25589.38),(52 25525.84),(53 25973.787),(54 26933.348),(55 27067.62),(56 26480.2),(57 25872.502),(58 25957.408),(59 26539.223),(60 27508.592),(61 27722.11),(62 27454.373),(63 27344.803),(64 28112.324),(65 28526.969),(66 28282.637),(67 28044.018),(68 27743.89),(69 28259.47),(70 28638.725),(71 28590.72),(72 28615.607),(73 29248.672),(74 29112.09),(75 29432.82),(76 29857.29),(77 29901.643),(78 29523.201),(79 29681.158),
(1 14002.79),(2 19751.504),(3 21055.973),(4 22082.926),(5 22411.309),(6 22775.234),(7 23361.635),(8 23660.092),(9 23643.723),(10 24036.22),(11 24757.04),(12 24936.154),(13 26005.943),(14 26064.291),(15 26267.844),(16 26749.977),(17 26705.996),(18 27254.96),(19 27564.11),(20 27162.164),(21 27243.477),(22 27724.715),(23 27741.24),(24 28236.094),(25 28774.191),(26 28529.145),(27 28079.307),(28 28547.824),(29 29262.879),(30 29498.88),(31 28994.422),(32 28516.887),(33 28635.281),(34 28421.813),(35 28420.174),(36 28149.191),(37 27552.307),(38 26853.508),(39 26010.227),(40 25772.297),(41 25196.465),(42 24800.316),(43 24846.488),(44 24839.723),(45 24625.533),(46 24511.951),(47 23833.549),(48 23894.482),(49 23909.273),(50 24046.07),(51 24543.012),(52 24876.906),(53 25058.432),(54 24865.602),(55 24701.85),(56 25354.082),(57 25806.834),(58 25507.531),(59 25612.516),(60 26132.36),(61 26925.902),(62 27594.746),(63 27116.25),(64 27593.936),(65 27764.05),(66 27601.99),(67 27816.145),(68 27478.414),(69 27887.656),(70 28085.152),(71 28241.23),(72 28655.518),(73 29018.334),(74 28730.824),(75 28543.998),(76 28283.871),(77 28240.326),(78 28461.074),(79 28896.656),
(1 14621.43),(2 20170.322),(3 20795.598),(4 22482.205),(5 22248.105),(6 23132.703),(7 23317.676),(8 23390.893),(9 23865.951),(10 24274.87),(11 24830.127),(12 25569.799),(13 26372.09),(14 25880.643),(15 26182.744),(16 26649.58),(17 26347.482),(18 26428.871),(19 27117.793),(20 27487.629),(21 27557.305),(22 27428.676),(23 27702.646),(24 27902.371),(25 28245.664),(26 28313.434),(27 28646.922),(28 28800.295),(29 29114.297),(30 29159.35),(31 29279.361),(32 29478.857),(33 29557.316),(34 29688.008),(35 29797.193),(36 29076.156),(37 28238.1),(38 27518.535),(39 26840.041),(40 26225.912),(41 26053.695),(42 25967.598),(43 25308.91),(44 25085.178),(45 25170.016),(46 25015.322),(47 24495.402),(48 25300.566),(49 25612.646),(50 25464.922),(51 25637.395),(52 25660.07),(53 26238.588),(54 25994.885),(55 26053.408),(56 26516.418),(57 26883.885),(58 27179.627),(59 27293.082),(60 27504.664),(61 27031.34),(62 27321.564),(63 27837.203),(64 27955.283),(65 28208.74),(66 28144.633),(67 28587.756),(68 27997.178),(69 28207.844),(70 28875.912),(71 28528.086),(72 28022.951),(73 28381.26),(74 28431.91),(75 28588.387),(76 28357.56),(77 27950.176),(78 28122.932),(79 28611.666),
(1 13643.356),(2 18838.822),(3 19334.941),(4 20273.291),(5 20680.418),(6 21755.545),(7 22383.19),(8 22188.393),(9 22329.166),(10 22476.314),(11 23177.877),(12 23504.3),(13 23908.955),(14 24068.193),(15 23943.479),(16 24239.895),(17 24232.877),(18 24272.834),(19 24993.908),(20 25019.133),(21 25022.426),(22 25515.803),(23 25760.615),(24 25873.857),(25 25909.592),(26 25779.352),(27 25707.707),(28 26235.402),(29 26172.117),(30 26054.703),(31 26379.818),(32 26205.873),(33 25877.814),(34 25749.418),(35 25544.914),(36 25277.863),(37 25244.209),(38 24566.703),(39 24314.008),(40 23728.924),(41 23654.447),(42 23638.455),(43 23173.783),(44 22857.533),(45 23056.34),(46 23069.648),(47 22547.572),(48 22671.807),(49 23094.143),(50 23245.625),(51 23418.406),(52 23113.402),(53 23341.623),(54 23502),(55 23691.35),(56 24110.9),(57 24189.46),(58 24392.984),(59 25168.854),(60 24708.883),(61 24394.918),(62 24634.285),(63 25253.877),(64 25622.576),(65 25672.428),(66 25591.578),(67 25732.871),(68 25352.523),(69 25408.443),(70 25747.332),(71 26146.201),(72 26209.857),(73 26283.11),(74 26241.455),(75 26103.02),(76 26084.555),(77 26603.55),(78 26207.516),(79 25603.893),
(1 13880.687),(2 19286.04),(3 20190.701),(4 21016.994),(5 21718.6),(6 22204.69),(7 22816.498),(8 22961.818),(9 23232.219),(10 23515.016),(11 23938.479),(12 24102.477),(13 24798.611),(14 25518.508),(15 24859.92),(16 24832.32),(17 24779.678),(18 25708.955),(19 26001.78),(20 26028.666),(21 26342.848),(22 26707.646),(23 27143.121),(24 27074.34),(25 27285.223),(26 27542.48),(27 27790.865),(28 27892.059),(29 27921.848),(30 27983.166),(31 28290.816),(32 28459.637),(33 27446.678),(34 27314.875),(35 27342.863),(36 26705.26),(37 26158.072),(38 25606.896),(39 25335.436),(40 24809.488),(41 24517.348),(42 24263.67),(43 23774.803),(44 23315.756),(45 22903.13),(46 22831.736),(47 22859.63),(48 23125.598),(49 23743.676),(50 23870.094),(51 23656.182),(52 23833.922),(53 24333.77),(54 24408.514),(55 24324.549),(56 24519.088),(57 25362.05),(58 25346.479),(59 25157.83),(60 24890.271),(61 25670.23),(62 26363.6),(63 26115.44),(64 25908.064),(65 26223.182),(66 26591.424),(67 26696.781),(68 26497.572),(69 26847.588),(70 27067.174),(71 27024.736),(72 27199.48),(73 27187.416),(74 26639.586),(75 26378.566),(76 26676.453),(77 26899.281),(78 27225.14),(79 27682.979),
(1 13502.796),(2 18302.4),(3 19553.209),(4 20800.021),(5 20916.502),(6 21612.584),(7 22930.473),(8 22399.12),(9 22839.365),(10 23543.664),(11 23612.846),(12 23575.49),(13 24153.064),(14 24556.928),(15 25032.879),(16 25307.158),(17 25344.268),(18 25752.928),(19 26115.475),(20 26062.068),(21 26326.9),(22 26781.955),(23 27205.268),(24 27519.592),(25 27776.875),(26 27733.08),(27 27513.54),(28 27688.67),(29 27497.516),(30 27760.592),(31 28018.314),(32 27600.781),(33 27153.488),(34 26905.943),(35 26810.05),(36 26754.488),(37 26562.91),(38 25775.021),(39 24779.639),(40 23991.996),(41 23688.754),(42 23510.531),(43 23303.875),(44 23169.17),(45 22702.414),(46 22941.623),(47 23032.615),(48 23160.738),(49 23444.191),(50 23730.54),(51 24198.256),(52 24164.502),(53 24170.582),(54 24241.516),(55 24656.016),(56 25121.135),(57 25084.838),(58 25195.486),(59 25321.154),(60 25537.496),(61 26240.6),(62 26372.434),(63 26498.713),(64 26920.498),(65 27122.725),(66 27282.486),(67 27603.719),(68 27789.94),(69 27533.277),(70 27757.621),(71 27911.846),(72 27850.176),(73 27927.879),(74 27775.85),(75 27815.023),(76 27711.291),(77 27372.514),(78 27126.016),(79 27583.75),
(1 13178.692),(2 17773.371),(3 18935.191),(4 20293.076),(5 20807.662),(6 21938.938),(7 22587.521),(8 22385.686),(9 22662.875),(10 22979.658),(11 23668.643),(12 24069.557),(13 24700.607),(14 25420.455),(15 26089.547),(16 26005.527),(17 26364.49),(18 26621.033),(19 26712.533),(20 26783.125),(21 27187.408),(22 27811.451),(23 28323.697),(24 28339.416),(25 28406.852),(26 28605.537),(27 28416.13),(28 28445.75),(29 28287.97),(30 28201.807),(31 28430.334),(32 28119.047),(33 27466.914),(34 27520.15),(35 26597.133),(36 25779.768),(37 25169.215),(38 24507.498),(39 24386.377),(40 23449.451),(41 22832.67),(42 22488.385),(43 22145.95),(44 21448.658),(45 21540.268),(46 21885.48),(47 21949.307),(48 22402.17),(49 22400.006),(50 22612),(51 23082.8),(52 22755.096),(53 22682.107),(54 23363.447),(55 23589.336),(56 24035.352),(57 24368.352),(58 24787.688),(59 25377.158),(60 26028.59),(61 26467.924),(62 27195.744),(63 27506.025),(64 27349.424),(65 28020.299),(66 28436.727),(67 28523.02),(68 28121.844),(69 28150.137),(70 28439.469),(71 28511.057),(72 29022.46),(73 28487.113),(74 28735.395),(75 29184.92),(76 28972.02),(77 28593.129),(78 28400.023),(79 28562.54),
(1 13138.28),(2 17991.549),(3 19483.65),(4 20739.766),(5 20673.088),(6 21970.912),(7 22841.62),(8 23310.193),(9 24080.465),(10 24254.795),(11 24945.86),(12 25823.1),(13 26670.861),(14 27012.846),(15 27338.498),(16 27476.91),(17 27997.35),(18 28439.697),(19 28883.742),(20 29230.59),(21 29541.82),(22 30108.72),(23 30303.664),(24 30035.314),(25 30667.564),(26 30631.111),(27 30640.791),(28 30576.953),(29 30200.58),(30 29850.951),(31 29783.443),(32 29545.98),(33 28941.35),(34 28906.47),(35 27846.477),(36 26780.676),(37 26086.15),(38 25253.771),(39 24608.934),(40 23585.54),(41 23057.244),(42 22527.506),(43 22287.264),(44 21937.088),(45 21921.549),(46 22136.11),(47 22209.053),(48 22732.184),(49 22836.012),(50 23145.814),(51 23394.242),(52 23119.516),(53 23574.324),(54 24455.805),(55 24985.146),(56 25265.594),(57 25361.547),(58 25720.064),(59 26637.256),(60 26851.398),(61 27214.729),(62 27630.762),(63 27857.05),(64 28574.605),(65 29497.379),(66 29823.24),(67 30229.832),(68 30173.117),(69 30426.578),(70 30906.783),(71 30527.182),(72 30870.773),(73 31044.154),(74 30971.914),(75 31099.246),(76 30854.31),(77 30479.082),(78 30515.13),(79 30466.865),
(1 13128.694),(2 17521.893),(3 18723.057),(4 20443.879),(5 20063.455),(6 22037.758),(7 22911.658),(8 22768.117),(9 23570.225),(10 23619.547),(11 24764.953),(12 25255.94),(13 25811.836),(14 25729.568),(15 26078.957),(16 26758.004),(17 27302.346),(18 27494.256),(19 27970.832),(20 28294.756),(21 29024.08),(22 29412.773),(23 29718.594),(24 29809.482),(25 30089.637),(26 30191.281),(27 30857.65),(28 30642.89),(29 29723.51),(30 29362.254),(31 29013.1),(32 28769.146),(33 28739.465),(34 28527.42),(35 27588.395),(36 27130.563),(37 26223.969),(38 25029.842),(39 24214.152),(40 23387.033),(41 22736.799),(42 22031.104),(43 21751.564),(44 21381.76),(45 21418.963),(46 21325.844),(47 21166.133),(48 21641.445),(49 22174.031),(50 22496.078),(51 22432.682),(52 22661.62),(53 23004.797),(54 23458.84),(55 24259.637),(56 24508.012),(57 24459.783),(58 25013.918),(59 25450.465),(60 26016.086),(61 26663.148),(62 27296.441),(63 27451.443),(64 28006.178),(65 28947.273),(66 29149.482),(67 29273.418),(68 29725.637),(69 29985.75),(70 30187.436),(71 30070.172),(72 29954.396),(73 29995.268),(74 30108.875),(75 30460.84),(76 29908.232),(77 29811.635),(78 29693.662),(79 29803.611),
(1 12753.3955),(2 16827.484),(3 17940.934),(4 19422.232),(5 19664.959),(6 21076.375),(7 21692.295),(8 22118.293),(9 22795.26),(10 23162.076),(11 24317.957),(12 24950.12),(13 25330.332),(14 25397.75),(15 25586.492),(16 25882.686),(17 26209.996),(18 26862.031),(19 26799.262),(20 27146.008),(21 27216.262),(22 26959.41),(23 27702.826),(24 28226.719),(25 28256.145),(26 28075.531),(27 29060.848),(28 29367.557),(29 28696.252),(30 28673.941),(31 28218.943),(32 28068.977),(33 27727.412),(34 27198.836),(35 26323.807),(36 25889.834),(37 25530.848),(38 24383.678),(39 23598.836),(40 22824.701),(41 22345.143),(42 21726.787),(43 21248.121),(44 20934.943),(45 20518.76),(46 20543.629),(47 20987.041),(48 21198.123),(49 21658.055),(50 22311.93),(51 22652.895),(52 23113.967),(53 23618.26),(54 23692.828),(55 24043.535),(56 24250.96),(57 24400.39),(58 25183.105),(59 25998.46),(60 26295.617),(61 26509.275),(62 26878.229),(63 27211.355),(64 28174.06),(65 28523.742),(66 29245.402),(67 29700.855),(68 29884.443),(69 29790.934),(70 30287.135),(71 30398.15),(72 30263.246),(73 29938.82),(74 29781.123),(75 30096.775),(76 30084.53),(77 29541.336),(78 28929.39),(79 28872.078),
(1 12359.205),(2 16088.042),(3 17044.53),(4 18373.45),(5 18802.383),(6 20092.568),(7 20405.76),(8 20541.092),(9 21157.291),(10 21130.775),(11 22324.797),(12 23174.838),(13 23341.232),(14 23370.89),(15 24130.467),(16 24311.592),(17 24637.605),(18 25233.62),(19 25320.379),(20 25783.768),(21 26039.863),(22 26391.266),(23 27129.523),(24 26765.14),(25 26641.482),(26 26552.42),(27 26653.346),(28 27141.197),(29 27044.195),(30 26919.775),(31 26794.516),(32 26367.805),(33 25919.469),(34 25305.736),(35 24945.254),(36 24681.615),(37 23899.383),(38 22546.125),(39 21800.807),(40 21471.271),(41 20954.584),(42 20321.977),(43 19962.191),(44 19676.168),(45 19709.625),(46 19697.693),(47 20061.117),(48 20260.727),(49 20480.865),(50 20719.758),(51 21198.93),(52 21422.307),(53 22345.42),(54 22438.086),(55 22544.904),(56 22771.016),(57 23164.693),(58 23381.967),(59 24216.916),(60 24722.016),(61 24990.719),(62 25831.93),(63 26178.186),(64 26491.336),(65 26813.803),(66 27100.955),(67 27647.074),(68 27621.703),(69 27545.965),(70 27660.518),(71 27582.629),(72 27284.783),(73 27042.668),(74 27068.21),(75 27279.541),(76 27480.162),(77 27549.834),(78 27224.383),(79 26633.643),
(1 12582.845),(2 16281.762),(3 17358.648),(4 18985.621),(5 19131.846),(6 20349.328),(7 21118.477),(8 21303.98),(9 21970.299),(10 22252.64),(11 23493.102),(12 23465.576),(13 23792.314),(14 24493.836),(15 25196.72),(16 25224.363),(17 25402.523),(18 25633.799),(19 25335.012),(20 25765.07),(21 26210.984),(22 26579.643),(23 26776.27),(24 27222.844),(25 27262.994),(26 27150.047),(27 27385.916),(28 27258.592),(29 27376.967),(30 27347.955),(31 27066.314),(32 26933.771),(33 26478.615),(34 25842.682),(35 25212.957),(36 24545.15),(37 24187.473),(38 23043.926),(39 22292.607),(40 21978.508),(41 21689.98),(42 21199.213),(43 20966.223),(44 20649.795),(45 20173.275),(46 20072.549),(47 20327.178),(48 20308.643),(49 20369.633),(50 20885.11),(51 21776.248),(52 21894.742),(53 22674.67),(54 22940.018),(55 22761.64),(56 23410.361),(57 23565.963),(58 23934.906),(59 24261.146),(60 24922.85),(61 25456.021),(62 25556.016),(63 25913.07),(64 26173.402),(65 26394.54),(66 26574.102),(67 26832.787),(68 27068.193),(69 27568.041),(70 27360.656),(71 27645.22),(72 27427.617),(73 27319.379),(74 27824.422),(75 27621.256),(76 27522.41),(77 27580.168),(78 27089.6),(79 27111.867),
(1 12538.54),(2 16130.8545),(3 16622.543),(4 17846.1),(5 18102.104),(6 19256.875),(7 19764.719),(8 20102.379),(9 20464.576),(10 20784.916),(11 21813.172),(12 21956.564),(13 22156.012),(14 22655.65),(15 22826.406),(16 22883.66),(17 23069.898),(18 23542.896),(19 23688.729),(20 23785.506),(21 23959.07),(22 23892),(23 24119.447),(24 24231.28),(25 24264.701),(26 24581.541),(27 24620.79),(28 24459.35),(29 24566.406),(30 24499.271),(31 23989.69),(32 23585.586),(33 23583.758),(34 22990.672),(35 22472.82),(36 21766.021),(37 21586.248),(38 20871.8),(39 20224.523),(40 19972.586),(41 19580.58),(42 19644.041),(43 19619.182),(44 19194.582),(45 19207.781),(46 19315.264),(47 19705.535),(48 20214.943),(49 20123.709),(50 20518.408),(51 20903.814),(52 21499.521),(53 22030.287),(54 21981.537),(55 21564.846),(56 22379.326),(57 22630.55),(58 23123.84),(59 23733.494),(60 23762.123),(61 24251.49),(62 24366.95),(63 25098.164),(64 25281.168),(65 25575.107),(66 25111.635),(67 25050.188),(68 25438.514),(69 25612.234),(70 25620.809),(71 25602.754),(72 25784.07),(73 25595.438),(74 25367.111),(75 25085.533),(76 25102.61),(77 25256.03),(78 24885.658),(79 24823.85),
(1 12066.887),(2 15166.417),(3 16156.749),(4 17177.53),(5 17516.613),(6 18439.553),(7 18608.852),(8 18661.66),(9 19463.46),(10 19588.121),(11 20488.475),(12 20640.275),(13 20799.91),(14 20679.355),(15 20619.918),(16 21015.057),(17 21406.287),(18 21585.639),(19 21821.611),(20 22013.416),(21 21915.932),(22 22113.986),(23 22699.352),(24 22798.563),(25 23023.332),(26 23554.727),(27 23437.434),(28 23233.867),(29 23241.39),(30 23203.105),(31 22714.842),(32 22358.324),(33 22047.672),(34 21676.969),(35 21465.879),(36 21029.77),(37 20249.973),(38 20012.148),(39 19564.232),(40 18906.822),(41 18546.324),(42 18058.215),(43 18559.805),(44 18721.758),(45 18684.584),(46 18608.408),(47 18808.566),(48 18970.121),(49 19118.105),(50 19786.986),(51 20481.84),(52 20316.504),(53 20759.768),(54 20942.342),(55 20868.098),(56 21376.816),(57 21597.621),(58 21531.734),(59 21701.889),(60 22146.043),(61 22460.975),(62 22797.676),(63 22886.088),(64 23525.703),(65 23718.139),(66 23663.23),(67 23503.066),(68 23679.139),(69 23508.717),(70 23745.494),(71 23874.473),(72 23489.73),(73 23579.258),(74 23727.498),(75 23709.53),(76 23474.75),(77 23382.594),(78 23100.293),(79 23105.936),
(1 12020.924),(2 15428.843),(3 16057.395),(4 16790.496),(5 17126.412),(6 18175.055),(7 18533.09),(8 18571.771),(9 19058.834),(10 18765.084),(11 19472.982),(12 19501.896),(13 19667.652),(14 19899.295),(15 19910.371),(16 20195.16),(17 20563.01),(18 20767.123),(19 21001.86),(20 20958.197),(21 21037.168),(22 21428.924),(23 22028.803),(24 21739.951),(25 21683.012),(26 22281.445),(27 22582.914),(28 22398.264),(29 22405.723),(30 22257.713),(31 22034.018),(32 21929.744),(33 21439.719),(34 21323.313),(35 21410.773),(36 21114.742),(37 20487.656),(38 20094.305),(39 19604.32),(40 18971.998),(41 18588.857),(42 18441.559),(43 18810.248),(44 18948.88),(45 18861.162),(46 18941.479),(47 18982.652),(48 19090.771),(49 19195.834),(50 19600.072),(51 19920.564),(52 19813.82),(53 19962.645),(54 19924.158),(55 20128.686),(56 20083.967),(57 20319.277),(58 20555.115),(59 20884.012),(60 21159.084),(61 21602.992),(62 21969.545),(63 22059.412),(64 21834.533),(65 21874.05),(66 22011.607),(67 21905.697),(68 21916.383),(69 21966.053),(70 21964.422),(71 21979.146),(72 21991.49),(73 21889.447),(74 21435.355),(75 21807.66),(76 21970.664),(77 21600.186),(78 21117.682),(79 21499.256),
