1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 21391.945),(2 66564.66),(3 132435.3),(4 220510.95),(5 325385.34),(6 446990.5),(7 586407.7),(8 742490.7),(9 899759.5),(10 1054739.1),(11 1204664.9),(12 1328830.9),(13 1440100.1),(14 1499537.9),(15 1526615.5),(16 1530765.1),(17 1521872.4),(18 1501910),(19 1496855.6),(20 1503573.1),(21 1517394.9),(22 1548497.6),(23 1585551.4),(24 1629335),(25 1684430.6),(26 1754940.6),(27 1848279),(28 1965202.1),(29 2114396),(30 2239515.5),(31 2403788),(32 2566945.3),(33 2729037.5),(34 2875601.3),(35 2989412.8),(36 3077058),(37 3119936.3),(38 3129185),(39 3134289),(40 3112382),(41 3096185),(42 3093951),(43 3114231.3),(44 3157684),(45 3233909.3),(46 3371044.8),(47 3500632.3),(48 3700901.3),(49 3973698),(50 4325240),(51 4737750.5),(52 5231571.5),(53 5732929.5),(54 6294913.5),(55 6895501.5),(56 7492845.5),(57 8095290),(58 8689724),(59 9273313),(60 9813955),(61 10333461),(62 10829105),(63 11337761),(64 11818409),(65 12194469),(66 12536615),(67 12859265),(68 13079423),(69 13298847),(70 13471287),(71 13580827),(72 13591092),(73 13607584),(74 13623003),(75 13623952),(76 13643584),(77 13675620),(78 13741389),(79 13805875),
(1 14335.987),(2 46849.344),(3 83089.57),(4 112624.88),(5 129286.92),(6 134312),(7 134208.9),(8 133108.58),(9 134352.84),(10 138855.95),(11 143441),(12 147271.77),(13 149007.36),(14 149675.72),(15 149916.89),(16 149446.3),(17 149209.27),(18 149325.36),(19 150921.88),(20 152436.86),(21 153946.7),(22 155435.4),(23 156009.03),(24 156011.9),(25 156271.63),(26 156685.05),(27 156676.25),(28 155191.63),(29 152480.92),(30 149408.06),(31 147757.22),(32 146648.11),(33 146536.17),(34 148062.5),(35 151230.83),(36 153435.64),(37 154126.8),(38 152384.45),(39 150813.83),(40 150303.53),(41 152666.45),(42 156254.2),(43 157952.05),(44 158050.78),(45 156330.06),(46 153487.86),(47 151312.98),(48 149375.88),(49 148104.94),(50 148450.33),(51 150013.8),(52 151878.97),(53 153109.4),(54 154140.53),(55 155032.9),(56 155047.16),(57 155503.14),(58 156015.61),(59 154984.92),(60 152767.14),(61 150022.75),(62 146698.13),(63 143860.17),(64 142587.8),(65 143190.58),(66 146610.67),(67 150837.19),(68 152527.77),(69 153299.61),(70 152262.83),(71 150505.4),(72 148661.1),(73 148285.94),(74 149148.7),(75 149879.67),(76 149645.83),(77 149145.4),(78 147976.25),(79 147159.67),
(1 14005.391),(2 45243.273),(3 80773.016),(4 109978.33),(5 126744.29),(6 132158.14),(7 130663.05),(8 127816.625),(9 127510.84),(10 130183.81),(11 134972.14),(12 140796.67),(13 144694.9),(14 146502.19),(15 146135.42),(16 145566.17),(17 145459.94),(18 146602.8),(19 149097.48),(20 151316.22),(21 153965),(22 157064.64),(23 159042.64),(24 161354.56),(25 163668.48),(26 165215.7),(27 164790.58),(28 162328.38),(29 159801.67),(30 157019.23),(31 154253.17),(32 153194.98),(33 151177.33),(34 149964.47),(35 151785.8),(36 153246.56),(37 153936.27),(38 151793.77),(39 148940.48),(40 147258.47),(41 146953.1),(42 147026.02),(43 147292.34),(44 147532.5),(45 146125.3),(46 143919.3),(47 141957.58),(48 140387.92),(49 139193.92),(50 139097.4),(51 140986.67),(52 143808.5),(53 146431.11),(54 147916.31),(55 148486.75),(56 148138.78),(57 147718.5),(58 148827.16),(59 149580),(60 148626.75),(61 146704.5),(62 145317.19),(63 143422.89),(64 140990.5),(65 139911.28),(66 141192.92),(67 143838.48),(68 145826.08),(69 147179.02),(70 147549.44),(71 147775.56),(72 148979.3),(73 151131.5),(74 152273.9),(75 151006.16),(76 150116.28),(77 150288.95),(78 151070.78),(79 152082.72),
(1 13355.631),(2 42886.9),(3 75770.09),(4 101906.72),(5 116214.79),(6 119905.82),(7 117535.77),(8 114412.55),(9 114941.51),(10 118912.17),(11 125775.68),(12 131135.05),(13 134329.02),(14 135513.66),(15 135372.45),(16 135395.38),(17 135796.69),(18 136873.33),(19 138258.64),(20 139426.8),(21 141115.56),(22 144230.56),(23 147266.63),(24 150148.28),(25 152122.1),(26 152568.64),(27 151603.6),(28 149825.73),(29 149075.2),(30 149379),(31 149536.92),(32 148708.45),(33 146762.81),(34 145711.58),(35 147546.25),(36 150311.97),(37 152928.17),(38 153193.72),(39 152844.27),(40 153112.89),(41 153770.63),(42 153942.53),(43 151338.1),(44 147253.23),(45 142791.69),(46 139123.97),(47 137407.73),(48 136336.75),(49 135615.36),(50 135815.61),(51 136186.97),(52 136024.77),(53 136378.75),(54 137965.95),(55 140208.45),(56 141667.6),(57 142008.58),(58 142209.5),(59 141961),(60 141032.61),(61 139894.5),(62 139307.05),(63 137479.16),(64 135288.58),(65 133826.8),(66 133241.81),(67 133613.27),(68 135441.03),(69 137963.88),(70 140773.9),(71 142981.3),(72 144236.86),(73 144142.45),(74 142554.47),(75 139754.92),(76 138090.84),(77 139017.72),(78 140329.5),(79 142034.11),
(1 13005.021),(2 41411.348),(3 73154.96),(4 98348.32),(5 112916.8),(6 117464.46),(7 116653.77),(8 114942.99),(9 115988.59),(10 119982.75),(11 125429.09),(12 129531.234),(13 132365.33),(14 133890.44),(15 134457.4),(16 134970.73),(17 136261.39),(18 137957.02),(19 139436.1),(20 140495.73),(21 141263.36),(22 142867.31),(23 144039.9),(24 144242.56),(25 143417.55),(26 141372.5),(27 139238.28),(28 135988.14),(29 133821.42),(30 133158.86),(31 133570.84),(32 133547.72),(33 132671.5),(34 131877.52),(35 131037.5),(36 131288.72),(37 132363.08),(38 133136.05),(39 134852.19),(40 137443.83),(41 139557.6),(42 140504.27),(43 139031.39),(44 136045.67),(45 132525.36),(46 130123.86),(47 128386.56),(48 126956.086),(49 126445.02),(50 127154.27),(51 127950.16),(52 128236.59),(53 128323.93),(54 129148.46),(55 130403.195),(56 131377.73),(57 132393.23),(58 132039.9),(59 131098.9),(60 129602.41),(61 127768.375),(62 126335.68),(63 125062.766),(64 124332.26),(65 123307.54),(66 121327.25),(67 119802.33),(68 119881.25),(69 121393.945),(70 123160.16),(71 125796.62),(72 127743.125),(73 127422.36),(74 125316.55),(75 122286.77),(76 121397.83),(77 122537.11),(78 125121.06),(79 128406.69),
(1 13811.958),(2 43664.168),(3 77035.625),(4 103372.95),(5 117941.21),(6 121748.195),(7 121387.9),(8 120804.6),(9 123611.52),(10 129290),(11 134995.66),(12 139692.5),(13 142699.02),(14 144486.42),(15 144592.48),(16 145554.2),(17 146902.7),(18 146798.06),(19 145817.81),(20 144435.77),(21 143722.66),(22 144766.92),(23 146102),(24 147599.33),(25 148603.56),(26 148085.22),(27 146765.2),(28 143994.33),(29 141165.52),(30 138423.88),(31 136899.03),(32 137485.75),(33 138302.1),(34 139031.5),(35 140180.89),(36 140736.78),(37 139788.5),(38 138187.9),(39 136361.52),(40 136340.63),(41 139048.06),(42 142645.05),(43 143763.64),(44 143041.83),(45 139982.13),(46 136385.36),(47 134156.33),(48 133178.69),(49 133462.92),(50 134183.78),(51 134848.42),(52 135599.92),(53 135325.92),(54 134621.28),(55 134188.31),(56 133626.42),(57 134085.61),(58 134144.11),(59 133430.39),(60 133195.56),(61 133340.25),(62 133639.23),(63 133907.83),(64 134263.25),(65 133011.31),(66 130575.75),(67 130384.57),(68 129861.33),(69 128785.23),(70 128756.66),(71 129362.72),(72 130165.195),(73 130117.43),(74 130173.88),(75 129870.43),(76 129489.164),(77 131037.7),(78 133770.03),(79 135474.6),
(1 13111.304),(2 41495.53),(3 72853.54),(4 96516.54),(5 108476.695),(6 110522.33),(7 108299.04),(8 107364.28),(9 109247.69),(10 113717.15),(11 118745.38),(12 122422.81),(13 123514.33),(14 122716.43),(15 122088.58),(16 122213.75),(17 123632.22),(18 124284.94),(19 124190.664),(20 124073.94),(21 124127.375),(22 124575.07),(23 125531.375),(24 128238.695),(25 130640.46),(26 130981.67),(27 129575.23),(28 126269.07),(29 124233.22),(30 123981.63),(31 124388.81),(32 126682.89),(33 129796.58),(34 131288.55),(35 132991.88),(36 133465.13),(37 133317.64),(38 132193.72),(39 132563.64),(40 132931.8),(41 134386.23),(42 135829.88),(43 135306.97),(44 133645.25),(45 130900.484),(46 128156.12),(47 127135.92),(48 125799.48),(49 125201.86),(50 124416.82),(51 124148.78),(52 124266.8),(53 124093.5),(54 124162.62),(55 124982.04),(56 125681.53),(57 126305.94),(58 126420.37),(59 125999.96),(60 125731.32),(61 125595.414),(62 126313.02),(63 128710),(64 131082.23),(65 131542.7),(66 130862.9),(67 130345.83),(68 127987.69),(69 125298.12),(70 124313.45),(71 124508.35),(72 125798.586),(73 126451.57),(74 125930.66),(75 124402.31),(76 124156.85),(77 125276.26),(78 126995.38),(79 128284.31),
(1 12916.533),(2 40879.293),(3 71437.586),(4 94315.484),(5 105032.586),(6 106407.336),(7 104830.42),(8 105081.27),(9 108936.12),(10 114847.02),(11 119362.625),(12 121309.875),(13 121955.2),(14 121101.22),(15 120093.2),(16 119711.2),(17 120818.625),(18 122122.21),(19 122944.125),(20 122500.91),(21 121995.22),(22 122024.23),(23 123060.85),(24 124905.79),(25 125563.6),(26 124993.41),(27 124798.57),(28 124919.48),(29 125634.68),(30 126039.58),(31 125425.375),(32 125048.96),(33 126127.06),(34 127426.87),(35 127992.484),(36 126620.34),(37 125223.86),(38 123733.93),(39 122691.945),(40 121816.88),(41 122589.08),(42 123482.31),(43 124440.37),(44 125339.734),(45 125065.195),(46 124404.64),(47 124298.73),(48 124172.055),(49 124104.98),(50 124045.13),(51 124275.02),(52 124419.234),(53 124499.63),(54 124187.88),(55 123864.64),(56 124012.92),(57 124990.85),(58 125255.29),(59 125045.29),(60 124539.46),(61 124453.08),(62 124773.445),(63 126111.15),(64 128393.97),(65 129922.484),(66 129678.484),(67 129235.27),(68 127530.95),(69 125571.36),(70 124209.96),(71 123330.1),(72 122958.88),(73 122970.086),(74 123885.875),(75 124744.695),(76 123637.12),(77 122676.3),(78 122475.55),(79 123948.31),
(1 12280.329),(2 38555.098),(3 66182.94),(4 86407.234),(5 95494.69),(6 96833.95),(7 96624.05),(8 99111.2),(9 104293.2),(10 110702.17),(11 115530.74),(12 118092.33),(13 117769.39),(14 116251.82),(15 115866.22),(16 116542.69),(17 118348.74),(18 119611.28),(19 120413.5),(20 120504.07),(21 120247.086),(22 120852.34),(23 122548.61),(24 124463.55),(25 125503.984),(26 125359.44),(27 126007.97),(28 127565.38),(29 130158.234),(30 132894.64),(31 133363.98),(32 133991.39),(33 133966.55),(34 134121.52),(35 134706.95),(36 133365.27),(37 131402.77),(38 128159.78),(39 124846),(40 121913.336),(41 120335.42),(42 119774.14),(43 120173.836),(44 121022.14),(45 121454.484),(46 121119.914),(47 120078.016),(48 118754.29),(49 118251.875),(50 117552.03),(51 116955.01),(52 116775.23),(53 116805.6),(54 116790.62),(55 117009.97),(56 117337.48),(57 117777.6),(58 118341.89),(59 118734.76),(60 118118.36),(61 117157.3),(62 116305.55),(63 116272.15),(64 118086.81),(65 119509.266),(66 120360.5),(67 121591.914),(68 122453.12),(69 123064.69),(70 123650.4),(71 123546.38),(72 123376.74),(73 122779.86),(74 122141.266),(75 121598.58),(76 120435.05),(77 119516.92),(78 119387.82),(79 119848.47),
(1 12223.301),(2 38216.016),(3 65074.875),(4 83847.53),(5 91410.86),(6 92149.9),(7 91966.01),(8 94702.02),(9 99710.875),(10 105610.805),(11 109676.78),(12 111120.875),(13 111338.15),(14 110957.016),(15 110206.85),(16 109761.07),(17 109508),(18 108474.97),(19 107152.11),(20 105834.36),(21 106057.82),(22 107813.805),(23 109898.89),(24 110556.47),(25 110627.42),(26 110795.44),(27 110584.63),(28 110853.984),(29 112352.12),(30 113782.2),(31 113525.89),(32 114439.91),(33 115059.914),(34 115202.56),(35 116766.74),(36 118070.62),(37 119307.055),(38 118559.91),(39 116906.82),(40 115327.89),(41 114654.95),(42 114166.49),(43 114333.805),(44 114981),(45 115426.67),(46 115782.414),(47 115827.234),(48 115199.04),(49 114400.04),(50 113584.89),(51 112441.414),(52 112161.914),(53 112033.29),(54 112672.56),(55 113866.63),(56 114720.27),(57 115846.52),(58 117056.11),(59 117525.09),(60 116968.53),(61 115905.695),(62 115006.89),(63 114915.36),(64 115575.914),(65 117030.875),(66 118684.414),(67 120015.97),(68 120313.836),(69 120409.73),(70 119924.45),(71 119952.305),(72 119513.53),(73 119305.55),(74 118025.836),(75 116224.93),(76 114467.64),(77 114064.03),(78 114990.18),(79 115500.73),
(1 11568.753),(2 35924.98),(3 61004.934),(4 78658.875),(5 86635.07),(6 88567.07),(7 88543.59),(8 89751.77),(9 92759.26),(10 97184.08),(11 101317.71),(12 103153.46),(13 103522.53),(14 104116.34),(15 105800.375),(16 108306.445),(17 109304.125),(18 109012.234),(19 108026.99),(20 106723.375),(21 105433.62),(22 105716.88),(23 106338.41),(24 106948.29),(25 108306.05),(26 109886.234),(27 110384.58),(28 109164.02),(29 107917.63),(30 108000.55),(31 107745.93),(32 107199.98),(33 107095.82),(34 107294.125),(35 108137.25),(36 108721.56),(37 108871.93),(38 107858.266),(39 107880.695),(40 109001.44),(41 110606.875),(42 111138.98),(43 111092.78),(44 111725.555),(45 111176.34),(46 110095.586),(47 109142.86),(48 108563.14),(49 109196.53),(50 110373.96),(51 110587.516),(52 111115.54),(53 111660.984),(54 112960.38),(55 114930.805),(56 116600.57),(57 118068.46),(58 118901.336),(59 119197.555),(60 118088.516),(61 116714.53),(62 115956.68),(63 116709.39),(64 118036.41),(65 119291.56),(66 118360.516),(67 116459.484),(68 113456.47),(69 111703.945),(70 110607.63),(71 111220.07),(72 112777.52),(73 113785.96),(74 113290.53),(75 111992.29),(76 110039.25),(77 109289.305),(78 109711.58),(79 111282.86),
(1 11802.227),(2 36550.285),(3 62245.496),(4 79960.04),(5 87435.21),(6 88002.91),(7 87424.02),(8 88398.945),(9 91823.38),(10 95658.65),(11 98435.01),(12 99132.13),(13 97813.13),(14 96682.8),(15 97870.73),(16 100575.09),(17 103199.5),(18 104187.42),(19 103864.24),(20 102141.67),(21 100903.7),(22 101540.68),(23 102846.02),(24 104630.17),(25 105687.15),(26 104751.17),(27 103864.49),(28 103235.21),(29 103303.59),(30 103185.03),(31 102729.69),(32 102555.05),(33 102875.24),(34 103938.51),(35 105624.016),(36 106234.21),(37 106388.57),(38 106060.46),(39 106933.68),(40 107730.984),(41 107951.78),(42 107607.29),(43 106625.45),(44 106573.016),(45 106650.76),(46 106992.67),(47 107437.69),(48 107603.69),(49 107605.836),(50 107226.46),(51 106831.43),(52 107786.59),(53 109256.875),(54 110290.195),(55 110445.33),(56 109650.83),(57 109103.664),(58 108859.37),(59 109102.99),(60 108295.19),(61 107427.125),(62 105383.46),(63 104676.22),(64 105780.125),(65 107937.12),(66 108894.695),(67 108066.99),(68 105184.39),(69 102053.586),(70 99990.836),(71 99970.45),(72 101499.664),(73 103172.5),(74 103141.086),(75 101262.95),(76 98522.734),(77 97850.555),(78 98990.99),(79 100252.06),
(1 12012.404),(2 37043.22),(3 62909.645),(4 80898.63),(5 88574.45),(6 89384.91),(7 88650.51),(8 89381.55),(9 93163.414),(10 97638.125),(11 100163.77),(12 99317.805),(13 98091.914),(14 97936.02),(15 98969.195),(16 101398.414),(17 105124.34),(18 107834.55),(19 109427.25),(20 109728.625),(21 109761.64),(22 110544.58),(23 111886.85),(24 112695.09),(25 112859.625),(26 111976.33),(27 110564.85),(28 108957.15),(29 108936.7),(30 109657.41),(31 109911.805),(32 110055.72),(33 110433.016),(34 109954.36),(35 109291.56),(36 109004.016),(37 109421.62),(38 109554.36),(39 109908.914),(40 110840.586),(41 110877.7),(42 109987.4),(43 107990.61),(44 107175.016),(45 107059.37),(46 107342.61),(47 108187.47),(48 109110.49),(49 110727.875),(50 112025.36),(51 112109.85),(52 111831.74),(53 110222.04),(54 109103.64),(55 108435.195),(56 107810.34),(57 107092),(58 105625.18),(59 104165.82),(60 102273.914),(61 100802.74),(62 99616.125),(63 99825.98),(64 100477.664),(65 101686.25),(66 102643.414),(67 102638.14),(68 101135.74),(69 99712.62),(70 98889.04),(71 98457.56),(72 100049.72),(73 102491.73),(74 104574.75),(75 105020.43),(76 103819.45),(77 102991.11),(78 102320.99),(79 102989.93),
(1 11408.694),(2 35423.03),(3 60361.59),(4 76835.36),(5 83461.53),(6 84587.54),(7 85097.28),(8 87311.836),(9 90983.15),(10 94567.875),(11 96776.195),(12 97690.9),(13 97956.02),(14 98297.24),(15 99011.766),(16 100912.836),(17 102625.74),(18 103569.08),(19 103833.33),(20 103553.49),(21 102418.16),(22 101690.125),(23 101573.45),(24 101665.4),(25 101087.42),(26 99515.34),(27 98334.734),(28 98454.98),(29 100062.36),(30 101655.875),(31 102360.914),(32 102709.2),(33 102010.15),(34 101211.7),(35 99423.05),(36 98541.055),(37 98467.414),(38 100265.8),(39 103083.15),(40 105872.66),(41 107267.984),(42 106761.15),(43 104593.73),(44 102926.04),(45 101615.62),(46 101676.78),(47 103658.25),(48 104921.71),(49 106046.22),(50 106199.52),(51 105844.766),(52 105689.234),(53 104609.99),(54 104018.66),(55 103813.33),(56 103892.13),(57 104827.125),(58 105583.03),(59 104969.46),(60 102767.38),(61 100657.93),(62 99011.55),(63 98021.62),(64 97614.29),(65 99093.8),(66 100814.13),(67 102006.89),(68 101321.4),(69 100367.31),(70 98406.95),(71 97093.2),(72 97307.78),(73 98845.34),(74 100904.31),(75 101607.86),(76 100693.51),(77 100231.7),(78 100507.38),(79 101410.5),
(1 11883.725),(2 36639.426),(3 61710.9),(4 78992.766),(5 86490.266),(6 88056.64),(7 88015.06),(8 88417.31),(9 90394.22),(10 93688.164),(11 96699.41),(12 97936.195),(13 99122.18),(14 100154.586),(15 101796.29),(16 103030.01),(17 103832.016),(18 103605.59),(19 102919.76),(20 102866.984),(21 103742.36),(22 105225.91),(23 105940.06),(24 106192.7),(25 105691.914),(26 104784.65),(27 103614.336),(28 102537.914),(29 103674.164),(30 105605.445),(31 108125.055),(32 109892.54),(33 110000.41),(34 109552.82),(35 108029.34),(36 105897.09),(37 104324.39),(38 104451.19),(39 105473.2),(40 106136.78),(41 106101.63),(42 105889.36),(43 105754.73),(44 107083.67),(45 107328.47),(46 107107.76),(47 106966.18),(48 106861.914),(49 107605.26),(50 107932.414),(51 107520.95),(52 107185.59),(53 107204.164),(54 107270.016),(55 107555.52),(56 107589.11),(57 107350.984),(58 107036.15),(59 106985.38),(60 106800.45),(61 106125.89),(62 104690.26),(63 104194.32),(64 105601.98),(65 107465.27),(66 109193.44),(67 110388.1),(68 109580.766),(69 108180.53),(70 105916.97),(71 104681.43),(72 104927.086),(73 106488.766),(74 108463.26),(75 109386.805),(76 109129.98),(77 108983.77),(78 109487.8),(79 110102.87),
(1 11521.986),(2 35011.742),(3 58594.28),(4 74799.09),(5 81522.78),(6 82756.29),(7 83375.2),(8 85989.81),(9 90287.3),(10 94725.77),(11 97195.04),(12 98070.055),(13 99699.22),(14 102013.24),(15 105051.305),(16 108454.54),(17 110286.56),(18 110668.234),(19 110235.555),(20 109600.83),(21 109572.44),(22 110042.72),(23 110165.53),(24 109484.164),(25 108120.74),(26 106257.78),(27 103975.484),(28 102284.26),(29 101882.54),(30 103217.15),(31 105271.77),(32 107128.62),(33 107710.14),(34 107473.93),(35 106909.66),(36 105198.445),(37 102641.484),(38 101065.84),(39 100591.56),(40 101163.83),(41 101400.29),(42 100760.67),(43 100773.48),(44 101910.25),(45 103316.76),(46 104736.16),(47 106392.34),(48 108056.14),(49 108873.59),(50 108871.34),(51 108515.7),(52 108013.734),(53 107644.14),(54 106456.64),(55 105774.12),(56 105295.1),(57 104380.49),(58 104188.8),(59 105013.6),(60 105908.83),(61 106968.85),(62 107157.33),(63 108090.15),(64 110483.61),(65 113808.875),(66 116474.98),(67 117048.62),(68 115236.29),(69 112574.22),(70 110220.97),(71 109306.53),(72 109588.17),(73 109768.016),(74 110119.01),(75 110438.94),(76 111140.56),(77 111856.58),(78 112213.75),(79 113398.85),
(1 10983.863),(2 33132.266),(3 55038.51),(4 69447.7),(5 75808.914),(6 77369.836),(7 78598.62),(8 81106.75),(9 85692.836),(10 90202.27),(11 92981.84),(12 93438.555),(13 93695.336),(14 93508.98),(15 93749.11),(16 95220.18),(17 96689.2),(18 97859.55),(19 99076.67),(20 101139.12),(21 103576.47),(22 105092.695),(23 105344.695),(24 104932.49),(25 104775.016),(26 105527.33),(27 106266.17),(28 105951.93),(29 105051.49),(30 103606.62),(31 103235.96),(32 102667.96),(33 101306.87),(34 100300.28),(35 99094.87),(36 97180.69),(37 95127.914),(38 93821.9),(39 93163.414),(40 92647.79),(41 91857.734),(42 90989.51),(43 91436.195),(44 93833.61),(45 96594.86),(46 98660.38),(47 99559.04),(48 100026.26),(49 100592.92),(50 101053.38),(51 100993.33),(52 100612.33),(53 100141.96),(54 100023.91),(55 98842.76),(56 96947.64),(57 95308.51),(58 94780.695),(59 94649.61),(60 95952.94),(61 97720.68),(62 98259.58),(63 98985.16),(64 100648.56),(65 102844.44),(66 104223.13),(67 104742.71),(68 103315.305),(69 101490.15),(70 99398.67),(71 98149.02),(72 98413.164),(73 99251.516),(74 100456.28),(75 101165.84),(76 101975.73),(77 102657.56),(78 102966.65),(79 104003.31),
(1 10789.108),(2 32978.246),(3 55493.547),(4 70732.17),(5 77293.5),(6 78588.97),(7 78678.52),(8 80185.32),(9 82764.57),(10 85343.15),(11 87035.9),(12 88187.91),(13 89100.66),(14 89846.195),(15 90679.41),(16 92163.53),(17 93795.625),(18 94878.11),(19 95621.72),(20 96047.98),(21 97666.336),(22 99458.914),(23 100698.39),(24 101080.25),(25 101219.41),(26 101545.23),(27 101859.15),(28 102257.69),(29 102746.984),(30 102426.195),(31 102516.08),(32 102908.29),(33 102013.21),(34 101442.32),(35 100602.195),(36 99348.35),(37 98615.02),(38 97257.32),(39 96263.8),(40 94666.4),(41 94190.266),(42 94901.68),(43 97135.61),(44 100334.81),(45 102072.65),(46 102433.61),(47 102150.31),(48 101621.445),(49 101233.69),(50 100960.53),(51 101190.42),(52 101749.945),(53 102023.68),(54 102409.555),(55 101362.5),(56 99864.79),(57 99229.03),(58 98854.24),(59 98039.03),(60 97373.34),(61 97444.625),(62 97013.55),(63 97210.14),(64 98569.01),(65 99848.04),(66 100803.91),(67 100139.78),(68 97889.28),(69 95621.54),(70 94077.21),(71 93944.336),(72 94906.336),(73 95829.35),(74 96151.984),(75 95115.29),(76 94841.35),(77 94922.45),(78 94938.984),(79 94853.03),
(1 10954.212),(2 33312.105),(3 55815.668),(4 70560.16),(5 75934.375),(6 75597.12),(7 74371.95),(8 74584.1),(9 76938.734),(10 80565.79),(11 83098.625),(12 84462.414),(13 85005.2),(14 85187.984),(15 85628.59),(16 86418.68),(17 87671.41),(18 89020.52),(19 90474.54),(20 90870.78),(21 91386.9),(22 92398.55),(23 92549.78),(24 92051.695),(25 91757.42),(26 91837.63),(27 92109.625),(28 91987.32),(29 91378.35),(30 89830.96),(31 88399.11),(32 88366.04),(33 89400.81),(34 91554.41),(35 93617.586),(36 94736.2),(37 94710.695),(38 94634.88),(39 93668.37),(40 92238.36),(41 91071.27),(42 90157.57),(43 90031.62),(44 91002.76),(45 92221.055),(46 92694.46),(47 93377.74),(48 94855.875),(49 95687.63),(50 95344.43),(51 95060.27),(52 95248.55),(53 95742.62),(54 96077.266),(55 95448.984),(56 94590.555),(57 94805.31),(58 95541.96),(59 95718.555),(60 95133.04),(61 94511.125),(62 93862.16),(63 94150.21),(64 94747.77),(65 94646.484),(66 94781.41),(67 93463.15),(68 90794.83),(69 87691.414),(70 86064.44),(71 86321.234),(72 88595.74),(73 91170.92),(74 92458.84),(75 91243.02),(76 89221.4),(77 88196.52),(78 87968.586),(79 88221.56),
