1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 53551.7),(2 179695.52),(3 358648.25),(4 562285.25),(5 791010.2),(6 1000508.94),(7 1229753.6),(8 1440713.6),(9 1611287.4),(10 1760649),(11 1854072),(12 1950039),(13 2033855.9),(14 2105444.8),(15 2284217),(16 2653960.5),(17 3008713.3),(18 3378676.8),(19 3762382),(20 4158821),(21 4512551.5),(22 4802816),(23 5059641.5),(24 5284879.5),(25 5526219.5),(26 5736603.5),(27 6001191.5),(28 6223210.5),(29 6451521.5),(30 6710024.5),(31 7036650.5),(32 7398201.5),(33 7798350.5),(34 8242756),(35 8694999),(36 9192993),(37 9688970),(38 10215493),(39 10688216),(40 11115823),(41 11556985),(42 12027191),(43 12494609),(44 12833445),(45 13158324),(46 13446283),(47 13671059),(48 13906087),(49 14185849),(50 14506573),(51 14795493),(52 15082093),(53 15429695),(54 15697668),(55 16003416),(56 16320860),(57 16677840),(58 16946464),(59 17139166),(60 17281418),(61 17424518),(62 17524648),(63 17624480),(64 17714786),(65 17891592),(66 18145606),(67 18416818),(68 18809938),(69 19169236),(70 19478564),(71 19742354),(72 19944274),(73 20124260),(74 20217728),(75 20385674),(76 20476494),(77 20554824),(78 20582712),(79 20565698),
(1 8919.45),(2 21379.682),(3 28915.205),(4 31815.52),(5 33406.125),(6 34854.22),(7 36923.27),(8 38850.445),(9 40042.34),(10 40984.51),(11 41601.14),(12 42477.875),(13 43861.45),(14 45073.836),(15 46347.934),(16 47534.34),(17 48540.28),(18 48990.484),(19 50648.34),(20 52690.652),(21 54750.78),(22 56050.082),(23 56841.387),(24 57914.742),(25 58551.56),(26 58572.21),(27 58369.188),(28 59002.023),(29 60127.875),(30 61557.016),(31 62403.383),(32 63198.758),(33 63503.863),(34 64876.145),(35 65976.3),(36 66612.54),(37 67050.664),(38 67871.89),(39 69782.26),(40 71387.88),(41 72530.78),(42 73399.38),(43 74033.195),(44 74730.336),(45 75071.21),(46 75731.375),(47 76240.79),(48 77289.4),(49 78201.09),(50 79077.28),(51 79808.3),(52 80545.72),(53 81075.266),(54 81568.99),(55 81408.24),(56 80587.945),(57 80306.97),(58 80241.3),(59 80302.82),(60 79954.75),(61 79201.15),(62 78671.42),(63 78388.6),(64 78394.195),(65 78792.33),(66 79477.42),(67 79641.54),(68 78990.01),(69 78470.95),(70 78980.66),(71 80110.68),(72 80751.68),(73 81119.13),(74 80690.55),(75 80027.25),(76 79876.13),(77 79954.45),(78 79746.83),(79 79503.29),
(1 8899.767),(2 21231.137),(3 28522.732),(4 31704.094),(5 33689.082),(6 35233.082),(7 37322.832),(8 39398.1),(9 40985.457),(10 42331.055),(11 43827.965),(12 45028.22),(13 45864.777),(14 47214.4),(15 49031.234),(16 50843.367),(17 52375.855),(18 54066.438),(19 56075.637),(20 57743.52),(21 58293.594),(22 58667.594),(23 59488),(24 60420.76),(25 61113.754),(26 61313.184),(27 61991.223),(28 63409.652),(29 65599.85),(30 67517.43),(31 68386.336),(32 69026.09),(33 69271.805),(34 70502.93),(35 70994.44),(36 71211.83),(37 71087.77),(38 71291.56),(39 72805.24),(40 74522.695),(41 75939.81),(42 76562.586),(43 77453.75),(44 78609.13),(45 79580.13),(46 79831.39),(47 80773.92),(48 82504.84),(49 84012.29),(50 84705.625),(51 85012.836),(52 85541.766),(53 86577.03),(54 87491.81),(55 87665.07),(56 87820.29),(57 88931.41),(58 90150.88),(59 90412.63),(60 89503.91),(61 88511.2),(62 87840.68),(63 87879.2),(64 87819.81),(65 87377.766),(66 86573.91),(67 86359.79),(68 85871.63),(69 85046.72),(70 85216.734),(71 85690.05),(72 86269.92),(73 86792.55),(74 86833.45),(75 86504.35),(76 86435.516),(77 86502.19),(78 85874.27),(79 85151.6),
(1 8670.688),(2 20694.832),(3 27980.457),(4 31131.846),(5 32593.246),(6 33730.668),(7 35734.938),(8 37809.66),(9 39466.996),(10 40055.547),(11 41096.06),(12 42197.62),(13 42808.25),(14 43625.66),(15 44650.574),(16 46063.77),(17 47837.273),(18 48928.383),(19 49967.375),(20 51471.26),(21 52079.527),(22 52266.297),(23 53137.117),(24 53657.816),(25 54097.65),(26 54470.67),(27 54813.67),(28 55376.316),(29 56794.54),(30 58498.094),(31 60686.836),(32 61980.36),(33 62618.46),(34 64490.06),(35 66615.31),(36 67961.164),(37 68638.91),(38 69217.51),(39 70745.71),(40 73271.64),(41 74765.27),(42 75737.625),(43 77032.43),(44 78336.125),(45 79448.836),(46 80325.02),(47 81297.72),(48 82787.56),(49 84200.86),(50 85039.875),(51 85927.25),(52 86448.73),(53 87268.79),(54 88325.375),(55 88661.92),(56 88188.03),(57 88261.055),(58 89108.266),(59 89675.77),(60 89268.77),(61 88183.12),(62 87755.17),(63 87753.97),(64 87084.88),(65 86722.055),(66 85867.74),(67 85573.55),(68 85469.734),(69 85452.805),(70 85275.586),(71 85485.09),(72 85546.26),(73 85269.91),(74 84748.164),(75 84637.91),(76 84258.96),(77 83655.66),(78 82672.125),(79 82099.6),
(1 8610.643),(2 20676.809),(3 27676.135),(4 30531.105),(5 32038.088),(6 33807.92),(7 36020.93),(8 37701.28),(9 39011.04),(10 40383.08),(11 41595.242),(12 42206.125),(13 42127.56),(14 42506.15),(15 43203.227),(16 44947.74),(17 46120.02),(18 47076.164),(19 48835.76),(20 50486.89),(21 50841.684),(22 51003.95),(23 51562.516),(24 52565.316),(25 53705.082),(26 53825.395),(27 53998.508),(28 54225.176),(29 55256.65),(30 56894.76),(31 58705.523),(32 59779.055),(33 60171.848),(34 61277.53),(35 62152.582),(36 63048.72),(37 63930.637),(38 65528.66),(39 67682.63),(40 69362.93),(41 70183.71),(42 70835.01),(43 71752.73),(44 73008.16),(45 74410.16),(46 75304.43),(47 75318.34),(48 76132.08),(49 77692.266),(50 79429.47),(51 80857.46),(52 80888.3),(53 80965.47),(54 81432.43),(55 81701.234),(56 81982.54),(57 82553.62),(58 83555.88),(59 83861.55),(60 83203.625),(61 82469.07),(62 82377.75),(63 82531.87),(64 82114.305),(65 81541.53),(66 81211.13),(67 81445.11),(68 82159.34),(69 82082.73),(70 81679.34),(71 81702.07),(72 82017.695),(73 81968.07),(74 81273.29),(75 81237.53),(76 81682.76),(77 82126.84),(78 81803.74),(79 80741.44),
(1 8794.36),(2 20982.883),(3 27846.488),(4 30911.223),(5 32310.742),(6 33536.26),(7 35247.805),(8 36797.734),(9 37908.01),(10 39797.83),(11 41230.25),(12 42053.83),(13 42468.28),(14 42574.516),(15 43207.125),(16 44776.668),(17 45743.2),(18 46706.402),(19 48101.82),(20 50024.953),(21 52079.188),(22 53005.594),(23 53121.957),(24 53485.492),(25 54709.547),(26 55943.004),(27 56187.65),(28 56705.684),(29 57536.34),(30 59178.496),(31 60312.316),(32 60734.383),(33 61345.98),(34 62643.113),(35 63896.484),(36 64719.992),(37 65662.4),(38 66958.016),(39 68489.484),(40 69983.83),(41 70304.9),(42 70300.79),(43 71281.44),(44 72318.69),(45 73059.875),(46 73393.41),(47 73910.38),(48 74711.336),(49 75317.81),(50 75656.11),(51 76114.94),(52 76495.15),(53 77097.89),(54 77647.31),(55 77329.555),(56 76593.016),(57 76318.39),(58 76544.88),(59 76616.94),(60 76224.11),(61 75520.47),(62 75583.41),(63 76002.81),(64 75779.03),(65 75059.57),(66 74800.73),(67 75429.48),(68 76164.79),(69 76202.56),(70 76036.16),(71 76720.82),(72 77266.73),(73 76963.805),(74 76411.66),(75 76722.4),(76 77489.695),(77 77860.75),(78 77869.555),(79 77389.625),
(1 9121.999),(2 21408.355),(3 27779.531),(4 29557.943),(5 30539.854),(6 32515.945),(7 34985.742),(8 36705.695),(9 37808.906),(10 39246.754),(11 40650.05),(12 41446.906),(13 41799.254),(14 42321.977),(15 43384.777),(16 44894.133),(17 45812.77),(18 46508.555),(19 47976.016),(20 49712.707),(21 52177.434),(22 53558.313),(23 54256.523),(24 54617.09),(25 55998.492),(26 57685.96),(27 59280.074),(28 60884.008),(29 62298.977),(30 64070.426),(31 65690.97),(32 66547.09),(33 67171.336),(34 69172.46),(35 71769.83),(36 73845.195),(37 75055.516),(38 76367.03),(39 77408.89),(40 78103.08),(41 78352.44),(42 78572.41),(43 79112.16),(44 79353),(45 79785.35),(46 79877.6),(47 79864.4),(48 80473.23),(49 81422),(50 81856.914),(51 81619.6),(52 81288.375),(53 81589.336),(54 82048.266),(55 81961.96),(56 81100.13),(57 80779.875),(58 80567.5),(59 79242.74),(60 77744.34),(61 77109.164),(62 77079.484),(63 76628.46),(64 75855.96),(65 75262.54),(66 75477.5),(67 76370.9),(68 77057.73),(69 76771.13),(70 76506.664),(71 77155.836),(72 78075.945),(73 78056.664),(74 77515.11),(75 77819.63),(76 78213.3),(77 78419.21),(78 77855.414),(79 77184.97),
(1 9000.616),(2 21239.707),(3 27587.846),(4 29655.855),(5 30642.664),(6 32294.088),(7 35172.785),(8 37515.254),(9 39080.406),(10 40330.99),(11 41492.68),(12 41913.137),(13 42701.324),(14 42869.004),(15 43288.375),(16 44111.777),(17 45196.02),(18 46473.07),(19 47587.32),(20 48498.867),(21 50271.45),(22 51524.98),(23 51625.402),(24 52235.605),(25 53725.95),(26 55623.676),(27 57685.98),(28 59137.36),(29 59906.824),(30 61751.09),(31 63472.773),(32 64273.645),(33 65062.125),(34 66488.31),(35 68554.164),(36 70198.67),(37 71664.164),(38 73090.85),(39 75180.375),(40 76060.04),(41 76471.5),(42 77438.266),(43 78265.26),(44 78808.37),(45 79563.83),(46 79707.195),(47 79828.17),(48 80398.58),(49 81305.47),(50 81915.31),(51 81478.266),(52 80926.61),(53 81596.234),(54 82159.766),(55 82287.836),(56 82172.61),(57 81894.63),(58 81664.09),(59 81037.42),(60 79684.33),(61 78563.625),(62 78383.016),(63 78382.12),(64 77971.695),(65 77087.98),(66 76685.25),(67 76705.21),(68 76611.96),(69 76296.22),(70 76265.805),(71 76782.78),(72 77552.83),(73 77757.59),(74 77062.42),(75 76888.625),(76 77573.17),(77 77536.54),(78 77351.26),(79 77337.61),
(1 8714.64),(2 20705.04),(3 26890.299),(4 28549.672),(5 28778.49),(6 29875.398),(7 32072.639),(8 34199.81),(9 35269.69),(10 36108.61),(11 37165.88),(12 38570.332),(13 39389.406),(14 39750.367),(15 39962.223),(16 41046.07),(17 42278.28),(18 42810.99),(19 43267.902),(20 44520.875),(21 45547.973),(22 45685.766),(23 45605.566),(24 46127.79),(25 46804.566),(26 47564.367),(27 48331.8),(28 48515.21),(29 48869.355),(30 50152.453),(31 51918.77),(32 53014.93),(33 53412.54),(34 54172.52),(35 55160.793),(36 55847.734),(37 56614.06),(38 57551.57),(39 58786.066),(40 59081.24),(41 58867.914),(42 59072.98),(43 60186.387),(44 61548.777),(45 62754.08),(46 63146.74),(47 63236.125),(48 64054.145),(49 65499.645),(50 66201.35),(51 66167.375),(52 65487.355),(53 64988.453),(54 65024.55),(55 64864.207),(56 64901.668),(57 64860.26),(58 65374.703),(59 65668.44),(60 64684.035),(61 63330.02),(62 63030.098),(63 63881.875),(64 64327.703),(65 64095.13),(66 63586.21),(67 62981.363),(68 63007.95),(69 63531.39),(70 64187.457),(71 65040.746),(72 65589.5),(73 64665.855),(74 63671.48),(75 63615.246),(76 64049.37),(77 64785.586),(78 65310.527),(79 65325.934),
(1 8784.317),(2 20426.508),(3 26494.008),(4 28136.889),(5 28635.996),(6 30234.59),(7 32915.81),(8 35000.69),(9 36137.805),(10 36693.055),(11 37583.535),(12 39011.324),(13 40100.38),(14 40756.52),(15 41473.13),(16 42604.38),(17 44164.36),(18 45158.15),(19 46001.543),(20 47049.027),(21 48233.973),(22 48308.27),(23 48529.758),(24 49884.684),(25 51091.43),(26 51956.37),(27 52929.285),(28 53247.227),(29 53947.297),(30 56260.61),(31 58267.574),(32 59836.816),(33 60535.64),(34 61439.83),(35 62899.15),(36 63890.12),(37 64057.156),(38 64562.77),(39 65487.535),(40 65837.484),(41 65704.84),(42 66077.164),(43 67117.414),(44 68009.664),(45 68448.33),(46 68569.04),(47 68824.37),(48 69640.38),(49 70869.74),(50 71715.28),(51 71446.15),(52 70972.32),(53 71236.7),(54 71885.484),(55 72017.25),(56 72490.555),(57 73321.88),(58 73878.24),(59 74611.26),(60 74956.21),(61 75257.836),(62 75329.125),(63 75389.945),(64 75266),(65 75265.03),(66 75568.93),(67 75831.234),(68 75785.39),(69 76099.7),(70 76240.04),(71 76224.88),(72 76502.47),(73 76343.98),(74 75663.04),(75 75253.78),(76 74932.34),(77 74545.55),(78 73805.88),(79 73151.55),
(1 8631.051),(2 19986.154),(3 25538.531),(4 26603.938),(5 26598.266),(6 27456.492),(7 29515.945),(8 31925.828),(9 32946.31),(10 33320.47),(11 34175.35),(12 35388.06),(13 37087.684),(14 37903.805),(15 38566.46),(16 39712.047),(17 41144.28),(18 42788.246),(19 44719.805),(20 46333.086),(21 48288.957),(22 49030.098),(23 49995.105),(24 51790.125),(25 53227.6),(26 54587.54),(27 56409.78),(28 57462.316),(29 58432.19),(30 60172.305),(31 61623.535),(32 62424.832),(33 63264.055),(34 64513.94),(35 66272.17),(36 67699.13),(37 68338.664),(38 68997.36),(39 69869.79),(40 70418.96),(41 70591.9),(42 70661.625),(43 70963.08),(44 71492.32),(45 71701.24),(46 71223.445),(47 71045.6),(48 71669.35),(49 72264.39),(50 72793.35),(51 72928.016),(52 72412.03),(53 72220.5),(54 72563.85),(55 72102.484),(56 71297.125),(57 71099.44),(58 71261.15),(59 71108.58),(60 70968.984),(61 71186.29),(62 71087.95),(63 70790.586),(64 70374.47),(65 70388.86),(66 70752.34),(67 71294.05),(68 71505.11),(69 71591.85),(70 71700.98),(71 71900.695),(72 72720.695),(73 73161.3),(74 73408.87),(75 74180.5),(76 75018.17),(77 75092.33),(78 74726.88),(79 74756.26),
(1 8346.981),(2 19124.184),(3 24707.848),(4 26002.219),(5 25828.832),(6 26864.396),(7 29058.502),(8 31054.248),(9 32177.693),(10 32466.652),(11 33115.836),(12 34015.395),(13 35394.293),(14 36394.273),(15 36950.453),(16 37835.02),(17 38858.13),(18 40384.094),(19 42405.79),(20 44292.785),(21 45948.457),(22 47206.176),(23 48346.164),(24 49915.164),(25 51618.29),(26 53245.965),(27 55084.914),(28 56293.227),(29 57478.52),(30 58756.24),(31 59319.984),(32 60320.777),(33 61178.08),(34 62471.793),(35 63814.797),(36 64713.74),(37 65932.35),(38 67342.66),(39 68193.27),(40 68970.45),(41 69717.23),(42 70030.586),(43 70359.07),(44 71049.086),(45 71201.45),(46 71038.984),(47 70820.516),(48 71133.48),(49 71951.08),(50 72719.24),(51 73201.27),(52 73432.63),(53 73197.23),(54 73122.34),(55 72829.65),(56 72360.66),(57 71648.55),(58 70942.1),(59 70494.29),(60 70274.13),(61 69878.69),(62 69000.17),(63 67849.25),(64 67019.734),(65 66691.99),(66 67081.24),(67 66743.4),(68 66196.14),(69 65916.73),(70 65862.27),(71 65521.87),(72 64980.273),(73 64794.297),(74 64822.215),(75 65260.188),(76 65962.94),(77 65895.96),(78 65629.8),(79 65813.375),
(1 8070.8115),(2 18245.584),(3 23788.404),(4 25585.596),(5 26041.09),(6 26919.252),(7 29209.7),(8 31476.592),(9 32345.14),(10 33292.125),(11 34185.867),(12 35328.395),(13 36595.32),(14 37316.645),(15 37842.555),(16 38493.22),(17 39156.97),(18 40322.066),(19 41875.61),(20 43257.2),(21 44153.656),(22 45136.773),(23 46363.48),(24 47388.965),(25 48815.016),(26 50392.43),(27 51629.855),(28 52737.797),(29 53924.957),(30 55088.094),(31 55691.926),(32 56619.492),(33 57091.004),(34 57731.895),(35 59007.68),(36 59840.535),(37 60420.953),(38 61082.84),(39 61941.33),(40 62658.98),(41 62996.594),(42 63724.156),(43 64966.504),(44 66660.695),(45 67423.87),(46 66959.62),(47 66486.836),(48 66700.516),(49 67129.07),(50 67443.66),(51 67878.63),(52 68667.33),(53 69033.62),(54 69185.414),(55 69164.82),(56 69063.89),(57 68120.01),(58 67693.32),(59 67424.03),(60 67221.125),(61 67293.96),(62 67367.3),(63 66773.53),(64 66129.164),(65 65882.7),(66 66665.44),(67 66921.8),(68 66386.836),(69 65833.22),(70 65493.793),(71 65328.023),(72 64699.047),(73 64213.418),(74 63940.87),(75 63589.598),(76 63238.18),(77 62939.008),(78 62658.1),(79 62950.945),
(1 8080.3335),(2 18303.184),(3 23081.555),(4 24510.3),(5 24804.885),(6 25554.357),(7 27396.375),(8 29612.066),(9 30861.037),(10 32242.174),(11 33421.824),(12 34440.766),(13 35902.254),(14 36598.32),(15 37373.707),(16 38064.43),(17 38963.55),(18 40005.76),(19 40794.184),(20 41995.695),(21 43267.992),(22 44012.164),(23 44773.023),(24 45882.035),(25 47287.363),(26 48923.984),(27 50249.824),(28 51263.887),(29 52717.57),(30 54246.188),(31 55087.344),(32 55774.188),(33 56915.152),(34 58535.023),(35 60127.17),(36 61059.36),(37 61448.656),(38 61664.883),(39 62056.88),(40 62466.996),(41 62864.887),(42 63346.594),(43 64406.566),(44 65242.957),(45 65417.086),(46 65626.01),(47 65369.633),(48 64938.84),(49 64798.332),(50 65092.742),(51 65321.586),(52 65837.375),(53 66445.95),(54 66730.02),(55 66384.28),(56 66463.32),(57 66092.44),(58 66178.766),(59 66629.61),(60 67181.82),(61 67204.66),(62 66960.2),(63 66849.51),(64 66657.98),(65 66952.03),(66 67502.66),(67 67677.55),(68 67257.234),(69 66883.99),(70 66997.14),(71 67015.57),(72 66873.79),(73 66963.266),(74 66651.78),(75 66266.71),(76 66256.46),(77 66054.87),(78 66283),(79 66846.23),
(1 7633.8174),(2 17095.658),(3 21950.502),(4 23694.313),(5 24252.822),(6 25461.803),(7 27256.87),(8 28655.225),(9 29851.008),(10 30755.232),(11 31798.836),(12 32584.068),(13 33614.32),(14 34298.848),(15 35227.523),(16 36228.516),(17 37118.69),(18 38069.297),(19 39047.56),(20 40247.484),(21 41372.53),(22 42090.605),(23 42614.813),(24 43683.215),(25 45062.273),(26 46571.58),(27 47666.14),(28 48573.65),(29 50239.66),(30 52201.113),(31 53627.395),(32 55542.43),(33 56420.996),(34 57083.36),(35 58150.71),(36 59578.367),(37 60455.082),(38 60672.887),(39 60977.92),(40 61390.72),(41 61727.44),(42 62159.46),(43 62752.254),(44 63185.46),(45 63245.44),(46 63487.047),(47 63633.496),(48 63536.266),(49 63481.027),(50 64020.035),(51 64762.707),(52 65188.684),(53 65137.996),(54 64671.098),(55 64472.95),(56 64543.367),(57 64018.773),(58 63620.13),(59 63400.547),(60 63545.043),(61 63132.97),(62 62747.254),(63 62711.766),(64 62452.457),(65 62311.434),(66 62928.76),(67 63026.43),(68 62702.293),(69 62421.723),(70 62358.6),(71 62579.234),(72 62756.05),(73 62894.254),(74 62823.16),(75 62922.56),(76 62995.67),(77 63189.156),(78 64036.973),(79 64680.395),
(1 7216.271),(2 15676.179),(3 20156.459),(4 22118.93),(5 22720.633),(6 23734.502),(7 25452.02),(8 27067.229),(9 28129.418),(10 29034.695),(11 30128.219),(12 31219.258),(13 32346.512),(14 32954.08),(15 33630.344),(16 34777.023),(17 35881.754),(18 37203.45),(19 38236.766),(20 39388.805),(21 40677.117),(22 41677.965),(23 42588.8),(24 43154.266),(25 44232.645),(26 45371.01),(27 45889.605),(28 46902.58),(29 48440.52),(30 50008.477),(31 51105.934),(32 52171.41),(33 52689.227),(34 53138.414),(35 53907.355),(36 55005.25),(37 55943.74),(38 56268.883),(39 56682.207),(40 57022.77),(41 57424.42),(42 57892.594),(43 58545.46),(44 59078.617),(45 59630.184),(46 59959.125),(47 60299.79),(48 60703.117),(49 61135.42),(50 61952.945),(51 62739.234),(52 63136.375),(53 63177.887),(54 63037.23),(55 62961.11),(56 63109.04),(57 63376.47),(58 63419.746),(59 63261.44),(60 63127.332),(61 63053.06),(62 62455.973),(63 61609.926),(64 61409.684),(65 61880.406),(66 62328.285),(67 62195.63),(68 61587.152),(69 61024.926),(70 61318.395),(71 61874.902),(72 61852.684),(73 61559.895),(74 61321.754),(75 61463.688),(76 61568.66),(77 61840.15),(78 62582.62),(79 62805.277),
(1 7416.5957),(2 16479.576),(3 21101.805),(4 22863.248),(5 23680.5),(6 24795.088),(7 26250.764),(8 27786.402),(9 28881.285),(10 30250.81),(11 31519.287),(12 32751.438),(13 33663.074),(14 34175.418),(15 35411.51),(16 37240.39),(17 38694.168),(18 40049.566),(19 41220.31),(20 42184.8),(21 43437.363),(22 44580.734),(23 45398.867),(24 46762.16),(25 48288.203),(26 50023.434),(27 50793.414),(28 51661.266),(29 52989.82),(30 54250.832),(31 55359.82),(32 56459.91),(33 57363.23),(34 58365.06),(35 59086.563),(36 59949.453),(37 60773.746),(38 61306.49),(39 61784.59),(40 62156.434),(41 62334.176),(42 62416.2),(43 62962.324),(44 62917.51),(45 62580.195),(46 61918.152),(47 61506.664),(48 61171.313),(49 61293.586),(50 62019.22),(51 62792.93),(52 62907.746),(53 62772.01),(54 62480.758),(55 62334.99),(56 62504.29),(57 63241.83),(58 64161.523),(59 64451.72),(60 64406.348),(61 64511.535),(62 64930.59),(63 64699.414),(64 64457.004),(65 64436.72),(66 64465.652),(67 64095.91),(68 63647.055),(69 63560.645),(70 64042.4),(71 64726.246),(72 65093.043),(73 65453.887),(74 65412.91),(75 65280.19),(76 65127.48),(77 64975.176),(78 64940.168),(79 64783.23),
(1 7386.116),(2 16367.965),(3 20635.379),(4 22341.734),(5 23290.691),(6 24131.44),(7 25551.557),(8 26970.797),(9 27929.719),(10 29549.115),(11 30633.73),(12 32042.596),(13 32783.938),(14 33416.41),(15 34517.754),(16 35713.94),(17 36884.285),(18 38245.49),(19 39893.74),(20 41071.016),(21 41876.82),(22 42399.96),(23 43463.848),(24 44846.85),(25 46400.574),(26 48003.47),(27 49222.37),(28 50501.44),(29 52260.65),(30 53598.27),(31 54716.758),(32 55767.168),(33 56560.934),(34 57748.156),(35 58936.98),(36 59691.69),(37 60967.293),(38 61574.21),(39 61686.676),(40 61763.582),(41 62140.273),(42 62509.12),(43 63147.645),(44 63374.965),(45 63046.63),(46 62987.094),(47 63165.516),(48 63074.152),(49 63045.34),(50 63280.227),(51 63482.043),(52 63506.49),(53 63283.965),(54 63490.305),(55 63346.813),(56 63646.438),(57 63970.324),(58 63912.457),(59 63650.457),(60 63440.887),(61 63283.93),(62 62980.844),(63 62701.47),(64 62478.824),(65 62560),(66 62799.01),(67 62891.543),(68 62796.4),(69 62659.805),(70 62720.168),(71 62858.33),(72 62845.37),(73 63140.36),(74 63697.113),(75 63995.152),(76 63912.383),(77 63521.86),(78 63679.63),(79 63927.35),
(1 7242.541),(2 16167.386),(3 20425.988),(4 22153.326),(5 23122.389),(6 24193.498),(7 25693.324),(8 27241.396),(9 28574.24),(10 30033.527),(11 31029.084),(12 32018.271),(13 33047.863),(14 33755.906),(15 34842.46),(16 35876.953),(17 36933.563),(18 37993.99),(19 39632.22),(20 40783.273),(21 40814.543),(22 40709.9),(23 41506.156),(24 42910.8),(25 44505.54),(26 45962.18),(27 47385.957),(28 48889.855),(29 50275.8),(30 51780.895),(31 52926.54),(32 53840.035),(33 54761.848),(34 56125.586),(35 57734.96),(36 59124.008),(37 60366.523),(38 61230.58),(39 61752.977),(40 62341.484),(41 63117.195),(42 63674.547),(43 64405.65),(44 64759),(45 64635.99),(46 64950.188),(47 65483.324),(48 65755.875),(49 65715.08),(50 65950.1),(51 66171.54),(52 66671.98),(53 66765.83),(54 66663.48),(55 66590.45),(56 66609.68),(57 66353.4),(58 66374.11),(59 66706.74),(60 67184.17),(61 67184.125),(62 66646.82),(63 66179.41),(64 66078.65),(65 66024.83),(66 65676.09),(67 65159.19),(68 64443.03),(69 64372.098),(70 64659.273),(71 64524.23),(72 63955.34),(73 63417.105),(74 63463.387),(75 64126.254),(76 64552.49),(77 64398.87),(78 64326.684),(79 63999.414),
