1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 88144.18),(2 308513),(3 689130.25),(4 1203762.8),(5 1868418.4),(6 2669820.5),(7 3606745),(8 4688546.5),(9 5933285.5),(10 7275392),(11 8762200),(12 10375569),(13 12136365),(14 13960424),(15 15881539),(16 17828814),(17 19785106),(18 21798664),(19 23862830),(20 25932278),(21 28030930),(22 30172610),(23 32368448),(24 34553460),(25 36735156),(26 38917084),(27 41096840),(28 43351650),(29 45674516),(30 47965236),(31 50346508),(32 52743840),(33 55261630),(34 57751790),(35 60299316),(36 62935460),(37 65705716),(38 68621780),(39 71686970),(40 74789050),(41 78087200),(42 81526216),(43 85256776),(44 89271850),(45 93489150),(46 97820030),(47 102430760),(48 107355096),(49 112512490),(50 117558616),(51 122864280),(52 128178296),(53 133492936),(54 138916380),(55 144401230),(56 150159280),(57 156289490),(58 162548880),(59 168815090),(60 175454740),(61 182059710),(62 188474240),(63 195209840),(64 202094670),(65 209052240),(66 216186110),(67 223221390),(68 230142320),(69 236450130),(70 242968770),(71 248935760),(72 254723970),(73 260590930),(74 266666690),(75 272770600),(76 279272300),(77 285785300),(78 292492200),(79 298787940),
(1 16737.605),(2 52427.367),(3 89917.12),(4 119349.77),(5 137881.27),(6 145999.7),(7 147705.33),(8 147799.53),(9 148681.48),(10 151072.94),(11 154029.7),(12 156274.19),(13 159200.84),(14 162068.16),(15 163577.94),(16 164355.5),(17 166463.23),(18 170243.7),(19 173935.34),(20 176177.31),(21 178797.17),(22 182428.78),(23 186313.88),(24 190551.95),(25 194559.89),(26 195819.27),(27 194890),(28 192773.86),(29 191107.44),(30 189863.02),(31 191582.05),(32 196157.27),(33 200706.89),(34 205516.89),(35 209157.56),(36 212466.25),(37 212979.4),(38 210641.47),(39 209393.67),(40 207902.84),(41 205352.2),(42 199986.94),(43 193231.06),(44 188487.31),(45 187856.06),(46 191171.94),(47 192776.2),(48 193371.4),(49 194731.45),(50 197121.98),(51 201444.72),(52 204872.16),(53 207910.69),(54 210151.9),(55 212402.97),(56 213917.84),(57 214456.16),(58 214854.63),(59 215416.3),(60 216812.38),(61 218530.92),(62 219978.45),(63 220715.33),(64 218671.23),(65 216613.11),(66 216299.56),(67 216172.25),(68 216221.16),(69 214482.72),(70 214264.39),(71 217576.44),(72 217590.8),(73 216486.72),(74 213641.95),(75 207825.22),(76 202578.1),(77 203879.23),(78 207471.4),(79 207449.11),
(1 16267.433),(2 50478.656),(3 86036.82),(4 113391.914),(5 129721.45),(6 137396.58),(7 139523.81),(8 140454.53),(9 141765.64),(10 143496.8),(11 146413.28),(12 151215.42),(13 157041.9),(14 162444.08),(15 165631.25),(16 166001.39),(17 167301.72),(18 170652.25),(19 172996.27),(20 173790.75),(21 174114.08),(22 175732.5),(23 180409.4),(24 188616.45),(25 195414.25),(26 198434.97),(27 197407.8),(28 196237.92),(29 195893.94),(30 196159.86),(31 195491.5),(32 195825.67),(33 198189.17),(34 198985.97),(35 198342.28),(36 198324.08),(37 198722.73),(38 198430.92),(39 199918.77),(40 202045.81),(41 203751.53),(42 203663.53),(43 202854.42),(44 203945.1),(45 205682.1),(46 207140.69),(47 207778.22),(48 209379.86),(49 213392.28),(50 216483.36),(51 218638.22),(52 219163.78),(53 216858.38),(54 214752.38),(55 213217.08),(56 211759.77),(57 212619.14),(58 215887),(59 220013.5),(60 225138.33),(61 231530.28),(62 235199.86),(63 236744.08),(64 235544.31),(65 232604.67),(66 228550.86),(67 224554.47),(68 220154.36),(69 217927.23),(70 215930.4),(71 217103.58),(72 217056.81),(73 218195.13),(74 217381.14),(75 216472.67),(76 214167.45),(77 210154.92),(78 210525.19),(79 213267.28),
(1 16395.24),(2 51150.68),(3 87048.516),(4 115532.9),(5 133176.89),(6 140583.72),(7 141348.42),(8 140468.72),(9 140878.1),(10 141927.44),(11 143455.11),(12 144066.31),(13 144791.17),(14 145431.44),(15 144771.22),(16 145613.52),(17 148293.08),(18 152548.98),(19 156387.5),(20 159328.95),(21 161835.69),(22 165077.7),(23 169642.72),(24 175536.42),(25 180695.72),(26 183214.13),(27 183928.6),(28 185433.66),(29 186047.38),(30 184496.06),(31 182652.55),(32 181178.86),(33 182380.02),(34 182101.69),(35 181855.31),(36 181850.73),(37 181101.05),(38 180328.56),(39 180304.17),(40 179778.86),(41 178965.17),(42 178681.72),(43 179919.1),(44 183637.81),(45 186394.8),(46 187065.03),(47 187283.11),(48 190413.17),(49 195339.27),(50 199658.8),(51 203256.9),(52 205011.47),(53 204793.45),(54 202221.02),(55 200290.84),(56 200689.22),(57 202057.31),(58 202952),(59 205633.31),(60 207606.97),(61 209243.52),(62 210042.25),(63 206821.38),(64 203236.05),(65 198935.5),(66 194967.23),(67 194113.81),(68 195725.81),(69 195916.67),(70 197352),(71 198765.66),(72 199232.77),(73 201044.13),(74 201857.47),(75 201519.08),(76 201546.55),(77 200122.23),(78 199666.95),(79 200913.69),
(1 16452.313),(2 51426.246),(3 86623.88),(4 111771.25),(5 123985.25),(6 127447.63),(7 126845.58),(8 125400.86),(9 124658.46),(10 125446.3),(11 127699.42),(12 132045.28),(13 137568.11),(14 141951.4),(15 144255.2),(16 144674.06),(17 145183.02),(18 147510.02),(19 151408.16),(20 155705.27),(21 158656.08),(22 159345.98),(23 160763.1),(24 164299.72),(25 169243.22),(26 172817.75),(27 174745.95),(28 175026.66),(29 173966.8),(30 173185.67),(31 174360.1),(32 177597.72),(33 181773.81),(34 184606.13),(35 185663.61),(36 185530.34),(37 184227.52),(38 183870.27),(39 183107.83),(40 180930.33),(41 178754.55),(42 178208.44),(43 178149.83),(44 178316.58),(45 178942.03),(46 177927.25),(47 175686.89),(48 175738.39),(49 177587.28),(50 180045.48),(51 180266.22),(52 177305.3),(53 172104.31),(54 167906.28),(55 167057.63),(56 168626.7),(57 171493.88),(58 173628.3),(59 177247.94),(60 181881.47),(61 186012.44),(62 187471.86),(63 185318.31),(64 181336.39),(65 178025.28),(66 177381.5),(67 179558.63),(68 182400.25),(69 183529.83),(70 183845.28),(71 184130.52),(72 184892.67),(73 186937.9),(74 189235.55),(75 187661.23),(76 185862.4),(77 184929.67),(78 184088.98),(79 182381.02),
(1 16294.329),(2 50096.28),(3 82044.15),(4 102002.15),(5 111333.836),(6 116232.35),(7 118712.88),(8 120567.59),(9 121977.44),(10 123341.31),(11 125996.87),(12 130746.71),(13 134167.7),(14 134085.16),(15 130890.06),(16 129709.48),(17 132557.73),(18 136855.53),(19 140188),(20 142094.83),(21 143276.92),(22 144056.67),(23 146583.52),(24 151963.64),(25 156916.47),(26 160119.2),(27 160458.83),(28 158670.6),(29 156920.88),(30 158128.19),(31 160601.5),(32 161706.89),(33 161354.47),(34 161636.19),(35 162863.88),(36 163958.69),(37 165198.52),(38 167589.78),(39 167753.3),(40 166298.31),(41 164785.83),(42 166005.05),(43 168465.4),(44 168993.77),(45 166949.64),(46 165843.5),(47 165449.88),(48 167894.27),(49 171257.52),(50 172686.34),(51 172932.16),(52 170954.39),(53 169517.53),(54 170201.67),(55 170497.72),(56 169520.3),(57 168955.22),(58 169344.67),(59 171159.34),(60 174968.11),(61 178357.05),(62 179059.84),(63 179510.77),(64 180650.73),(65 183305.31),(66 185518.06),(67 186291.19),(68 185831.1),(69 183348.17),(70 181607.72),(71 181756.4),(72 180525.42),(73 179550.97),(74 179893.63),(75 182326.17),(76 185302.3),(77 186014.98),(78 183244.3),(79 183317.73),
(1 17038.777),(2 51735.426),(3 83363.61),(4 101773.89),(5 109338.85),(6 111717.586),(7 113210.336),(8 115154.49),(9 117757.7),(10 120685.55),(11 123809.92),(12 128336.72),(13 131102.69),(14 129433.87),(15 124459.44),(16 122872.83),(17 126202.77),(18 129668.76),(19 131961.67),(20 134480.84),(21 136628.77),(22 137323),(23 138339.38),(24 140362.38),(25 142570.66),(26 143748.45),(27 143330.31),(28 142855.36),(29 143094.55),(30 143537.88),(31 143690.38),(32 142506.5),(33 141687.23),(34 142379.95),(35 144126.61),(36 146658.7),(37 150401.4),(38 152935.38),(39 152743.17),(40 151434.05),(41 151596.88),(42 153669.34),(43 154628.7),(44 154277.4),(45 153551.89),(46 154145.8),(47 155563.05),(48 158546.33),(49 160408.95),(50 158360.48),(51 156958.84),(52 156055.83),(53 155336.52),(54 154841.08),(55 152163.7),(56 151070.16),(57 152009.1),(58 151836.27),(59 153016.94),(60 157215.25),(61 162996.7),(62 165575.31),(63 165693.14),(64 166191.89),(65 164811.98),(66 164802.02),(67 166317.1),(68 167148.5),(69 167736.88),(70 167772.81),(71 169496.2),(72 171555.88),(73 171048.33),(74 171145.33),(75 173656.25),(76 177357.36),(77 178700.47),(78 177102.94),(79 175862.83),
(1 16798.3),(2 50297.336),(3 78569.22),(4 93481.36),(5 100223.6),(6 104934.85),(7 108805.86),(8 111711.01),(9 113499.96),(10 115003.01),(11 116475.766),(12 120958.31),(13 125431.34),(14 125165.6),(15 121394.93),(16 119447.39),(17 120154.414),(18 122171.414),(19 125505.12),(20 129472.55),(21 131911.63),(22 132390.83),(23 132034.23),(24 133019.63),(25 134748.8),(26 135763.28),(27 136618.47),(28 137195.33),(29 140051.77),(30 141827.11),(31 142141.56),(32 142987.23),(33 144250.89),(34 145277.39),(35 147660.73),(36 150151.11),(37 153031.4),(38 156785.61),(39 158305.98),(40 158111.95),(41 157270.84),(42 157893.98),(43 158986.3),(44 158917.22),(45 158765.19),(46 158494.11),(47 156559.4),(48 154949.23),(49 154346.61),(50 153251.9),(51 152469.83),(52 153318.5),(53 155581.47),(54 158246.2),(55 158909.08),(56 157664.78),(57 156823.92),(58 156533.72),(59 157007.83),(60 158991.63),(61 161999.44),(62 165382.05),(63 167303.8),(64 167149.88),(65 166869.81),(66 166107.67),(67 166616.72),(68 167565.06),(69 169154.02),(70 171743.58),(71 172195.44),(72 170874.8),(73 170824.08),(74 170735.03),(75 171851.77),(76 172594.77),(77 171527.2),(78 170251.98),(79 169978.44),
(1 17304.682),(2 50778.11),(3 78232.19),(4 93279.555),(5 100755.25),(6 105883.34),(7 110010.34),(8 112521.33),(9 113909.01),(10 114052.19),(11 114558.62),(12 117436.63),(13 120684.32),(14 120527.11),(15 117207.66),(16 116715.07),(17 119107.16),(18 122027.484),(19 124777.445),(20 126345.734),(21 125427.19),(22 124802.59),(23 126236.1),(24 128569.78),(25 130628.195),(26 132776.83),(27 133350.14),(28 133216.81),(29 134352.8),(30 137437.16),(31 140095.61),(32 142249.36),(33 144103.63),(34 144635.34),(35 144550.66),(36 144785.78),(37 146422.23),(38 149892.13),(39 150963.95),(40 150640.69),(41 151867.66),(42 153780.53),(43 154681.64),(44 154027.84),(45 154496.16),(46 155998.2),(47 157055.45),(48 158666.33),(49 160476.97),(50 160899.2),(51 161147.5),(52 160988.77),(53 161824.83),(54 164306.02),(55 164971.77),(56 164415.5),(57 162964.9),(58 161159.1),(59 160909.02),(60 162567.05),(61 165362.97),(62 167035.16),(63 168497.5),(64 169482.66),(65 168373.83),(66 165060.56),(67 163927.75),(68 163595.61),(69 162084.61),(70 161295.31),(71 161254.67),(72 159300.61),(73 158556.47),(74 159227.1),(75 160165.75),(76 161266.52),(77 160662.31),(78 160147.23),(79 159943.94),
(1 17629.94),(2 51641.844),(3 79431.56),(4 93807.23),(5 100468.19),(6 104722.125),(7 107226.58),(8 108932.37),(9 110292.6),(10 110174.69),(11 111488.41),(12 116194.266),(13 121779.375),(14 123451.98),(15 121403.27),(16 119913.83),(17 120554.56),(18 123030.13),(19 126578.305),(20 129777.64),(21 131660.45),(22 133366.4),(23 135307.4),(24 137427.63),(25 139038.52),(26 139821.78),(27 138851),(28 138516.31),(29 138963.31),(30 139825.63),(31 140392.86),(32 140485.06),(33 142274.14),(34 143870.19),(35 144571.81),(36 145646.55),(37 148184.55),(38 151324.84),(39 152421),(40 152363.19),(41 152029.11),(42 151597.03),(43 150825.81),(44 149331.45),(45 148127.83),(46 149181.1),(47 149532.95),(48 149871.9),(49 150779.58),(50 152586.34),(51 155232.08),(52 158737.19),(53 163241.11),(54 166698.48),(55 167426.22),(56 166808.67),(57 165212.11),(58 164818.34),(59 164729.19),(60 164600.69),(61 165129.61),(62 166123.19),(63 166111.75),(64 165388.27),(65 163654.19),(66 161222.48),(67 158347.94),(68 156903.86),(69 155751.14),(70 154603.67),(71 154740.95),(72 154579.52),(73 153384.61),(74 154159.61),(75 151603.78),(76 150049.66),(77 149907.39),(78 150935.25),(79 150647.39),
(1 17185.234),(2 50042.54),(3 76505.87),(4 89555.22),(5 93995.664),(6 94833.01),(7 94891.48),(8 95624.49),(9 96281.375),(10 96922.766),(11 99933.82),(12 105702.99),(13 111905.29),(14 115225.99),(15 115712.92),(16 115028.94),(17 115803.48),(18 118646.9),(19 122976.625),(20 125900.664),(21 126169.234),(22 126144.32),(23 127483.76),(24 130256.85),(25 131874.55),(26 131626.23),(27 130051.336),(28 129665.31),(29 129431.164),(30 130780.75),(31 132371.77),(32 133460.27),(33 134258.22),(34 135108.16),(35 135298.7),(36 136048.56),(37 136611.52),(38 137144.88),(39 136862.83),(40 136281.98),(41 138121.38),(42 141209.61),(43 143849.1),(44 144456.27),(45 143391),(46 142230.66),(47 140049.47),(48 139440.02),(49 140086.38),(50 140697.23),(51 142103.69),(52 143966.95),(53 145078.4),(54 145454.5),(55 145221.08),(56 143150.98),(57 141653.92),(58 142036.08),(59 142074.08),(60 143544.81),(61 147006.4),(62 149787.7),(63 150822.92),(64 149653.58),(65 148273.61),(66 148710.02),(67 149442.44),(68 148941.67),(69 146701.89),(70 143945.16),(71 142681.42),(72 142848.3),(73 142592.63),(74 142075.52),(75 140168.38),(76 138648.11),(77 138514.17),(78 138822.98),(79 139437.05),
(1 16754.379),(2 49038.82),(3 75197.74),(4 87869.445),(5 91670.48),(6 91364.586),(7 90053.95),(8 90281.98),(9 90845.34),(10 90943.15),(11 92941.73),(12 97319.96),(13 102821.414),(14 107127.89),(15 108838.83),(16 108598.67),(17 108696.516),(18 110959.26),(19 113600.586),(20 116038.34),(21 119022.85),(22 122555.34),(23 125080.56),(24 126723.05),(25 127080.59),(26 125980.44),(27 124077.125),(28 123140.79),(29 123784.3),(30 125849.92),(31 127052.45),(32 128012.12),(33 128638.36),(34 129233.484),(35 129492.06),(36 128930.234),(37 129187.555),(38 129508.67),(39 129080.62),(40 129257.96),(41 131865.28),(42 134066.83),(43 135014.17),(44 133819.94),(45 131427.48),(46 130469.47),(47 128970.9),(48 128784.32),(49 131667.36),(50 133337.75),(51 135512.28),(52 137684.2),(53 137771.55),(54 135740.25),(55 132869.63),(56 131964.6),(57 134292.88),(58 137064.28),(59 139600.69),(60 142390.45),(61 146239.92),(62 147422.2),(63 146151.36),(64 144767.05),(65 145313.13),(66 146316.34),(67 146105.42),(68 143913.14),(69 143049.72),(70 142916.25),(71 142084.53),(72 141560.94),(73 142130.83),(74 141203.94),(75 141257.55),(76 141196.03),(77 140456.58),(78 138768.22),(79 136912.16),
(1 15892.301),(2 45774.395),(3 69791.305),(4 81824.125),(5 86178.1),(6 87123.51),(7 87290.32),(8 87937.44),(9 89097.23),(10 89500.15),(11 91182.695),(12 94723.26),(13 100441.555),(14 105154.81),(15 106693.26),(16 106875.14),(17 108431.94),(18 111082.59),(19 113929.56),(20 115763.03),(21 116629.414),(22 117198.91),(23 117582.336),(24 118073.97),(25 118138.32),(26 118219.71),(27 117862.71),(28 118212.6),(29 119618.58),(30 121048.89),(31 121519.1),(32 122402.03),(33 124631.91),(34 125072.63),(35 125134.53),(36 124884.56),(37 124275.99),(38 123602.414),(39 123159.45),(40 123904.086),(41 125385.42),(42 126651.71),(43 126507.87),(44 124434.555),(45 123354.53),(46 123392.53),(47 121145.56),(48 120194.445),(49 122403.516),(50 124641.65),(51 126956.59),(52 127548.58),(53 126591.36),(54 126528.27),(55 127347.695),(56 129696.41),(57 133353.7),(58 135687.47),(59 138370.36),(60 140964.48),(61 143040.78),(62 142437.16),(63 142196.19),(64 142066.06),(65 141842.4),(66 143451.27),(67 143059.58),(68 139869.11),(69 136610.31),(70 134602.86),(71 134708.2),(72 134256.63),(73 134552.53),(74 134343.27),(75 134993.14),(76 135048.67),(77 134558.84),(78 133106.72),(79 132107.17),
(1 15327.223),(2 44450.324),(3 68563.375),(4 81027.47),(5 85682.82),(6 85569.48),(7 83803.35),(8 82584.53),(9 82283.86),(10 83008.31),(11 85017.85),(12 88717.305),(13 94277.96),(14 99324.22),(15 102541.39),(16 103977.51),(17 105645.305),(18 107412.3),(19 109013.43),(20 109331),(21 108862.21),(22 109539.17),(23 111342.9),(24 112960.37),(25 115447.88),(26 117890.97),(27 118754.625),(28 119366.625),(29 119160.32),(30 118608.83),(31 118784.586),(32 119204.31),(33 119395.484),(34 119538.31),(35 119437.1),(36 119802.96),(37 120344.96),(38 120369.7),(39 120770.99),(40 120240.664),(41 119923.55),(42 118527.125),(43 116595.23),(44 116046.49),(45 116947.21),(46 119981.46),(47 120749.89),(48 121864.63),(49 124229.86),(50 126028.46),(51 127924.14),(52 127952.28),(53 126656),(54 126336.94),(55 127425.73),(56 129261.9),(57 131528.36),(58 132653.73),(59 133803.44),(60 135453.1),(61 137474.64),(62 138043.36),(63 137946.2),(64 138494.77),(65 138302.2),(66 138900.06),(67 137422.84),(68 134846.33),(69 132186.64),(70 130880.336),(71 131231),(72 131619.78),(73 130744.93),(74 128662.32),(75 127068.2),(76 126929.53),(77 126500.33),(78 125648.22),(79 124324.31),
(1 14141.053),(2 40904.6),(3 63022),(4 74731.41),(5 78853.445),(6 79805.47),(7 79776.8),(8 80242.71),(9 81397.016),(10 82553.78),(11 84244.32),(12 87468.98),(13 91817.664),(14 95454.16),(15 97101.52),(16 98443.33),(17 99565.484),(18 100765.6),(19 101025.586),(20 100428.445),(21 99269.03),(22 99962.58),(23 102822.99),(24 106274.89),(25 109589.805),(26 111813.484),(27 112379.84),(28 111878.4),(29 112061.586),(30 113770.6),(31 114371.16),(32 113700.9),(33 114617.67),(34 116029.29),(35 117089.1),(36 118016.4),(37 118596.88),(38 118333.08),(39 117517.08),(40 116002.734),(41 114981.734),(42 112987.9),(43 111066.48),(44 112031.1),(45 113398.92),(46 115722.125),(47 117287.1),(48 120175.086),(49 123598.445),(50 124956.93),(51 124988.58),(52 122818.36),(53 120204.914),(54 118875.73),(55 120489.99),(56 122531.84),(57 124382.71),(58 124463.195),(59 123759.6),(60 124443.766),(61 124304.63),(62 124132.19),(63 123635.266),(64 123020.15),(65 124302.15),(66 124792.02),(67 124528.95),(68 124909.41),(69 124897.695),(70 123756.59),(71 122872.83),(72 122563.15),(73 123105.64),(74 123256.695),(75 124117.36),(76 123096.33),(77 121875.15),(78 121831.6),(79 121230.47),
(1 13344.223),(2 38542.31),(3 60163.39),(4 72567.055),(5 76410.36),(6 75947.734),(7 75840.41),(8 77209.195),(9 78238.914),(10 79474.734),(11 81216.59),(12 84007.64),(13 87609.7),(14 90331.14),(15 92113.62),(16 92643.984),(17 92455.414),(18 92462.33),(19 92489.63),(20 92601.32),(21 92597.57),(22 93845.14),(23 96529.89),(24 99629.96),(25 102012.78),(26 103054.055),(27 103867.67),(28 104716.05),(29 106335.055),(30 106960.94),(31 106449.63),(32 106656.77),(33 107077.25),(34 107153.49),(35 107969.22),(36 108406.695),(37 109171.195),(38 110304.84),(39 110567.375),(40 109910.664),(41 109366.95),(42 108362.305),(43 107722.33),(44 108127.88),(45 108313.7),(46 108630.73),(47 109535.85),(48 110542.57),(49 112594.82),(50 113941.164),(51 115037.84),(52 115300.2),(53 115732.48),(54 116741.664),(55 118594.734),(56 120116.42),(57 120663.99),(58 122197.9),(59 123505.43),(60 124392.914),(61 124870.68),(62 124529.836),(63 124879.05),(64 125367.69),(65 124636.95),(66 124052.805),(67 124021.36),(68 123950.016),(69 123798.93),(70 120934.93),(71 118119.36),(72 116836.83),(73 117230.37),(74 117381.42),(75 117067.805),(76 117545.91),(77 117556.14),(78 117654.54),(79 115770.14),
(1 13032.654),(2 37652.273),(3 58824.832),(4 71387.3),(5 75753.44),(6 75706.06),(7 75040.92),(8 75338.984),(9 76528.27),(10 77889.31),(11 79212.78),(12 80769.336),(13 83266.805),(14 85319.445),(15 85967.14),(16 86299.85),(17 86374.83),(18 86767.53),(19 87821.5),(20 88807.44),(21 89251.07),(22 90241.79),(23 91227.17),(24 92125.59),(25 92532.86),(26 92360.73),(27 92104.766),(28 92091.2),(29 92863.36),(30 94098.23),(31 94815.055),(32 95512.67),(33 95914.17),(34 97443.77),(35 99651.055),(36 102055.234),(37 104793.48),(38 106997.31),(39 107092.83),(40 106575.84),(41 107320.984),(42 108629.17),(43 108577.2),(44 109219.58),(45 110136.586),(46 109967.805),(47 110457.49),(48 111786.805),(49 114171.65),(50 116599.98),(51 118110.35),(52 118617.52),(53 118598.24),(54 118837.016),(55 119061.805),(56 118811.51),(57 119066.73),(58 119516.69),(59 121131.766),(60 122037.07),(61 123180.72),(62 124334.766),(63 125858.875),(64 125768.086),(65 125393.19),(66 126068.805),(67 125904.125),(68 125510.195),(69 126201.5),(70 125861.72),(71 124838.07),(72 123283.52),(73 122796.26),(74 123104.664),(75 122490.95),(76 121915.67),(77 122858.98),(78 123049.48),(79 121788.266),
(1 12372.65),(2 35358.316),(3 55199.324),(4 66288.625),(5 70192.21),(6 71046.66),(7 71441.75),(8 71785.195),(9 73034.625),(10 74738.08),(11 76061.53),(12 78470.58),(13 82130.984),(14 84301.95),(15 84485.125),(16 83453.62),(17 83032.9),(18 83184.9),(19 84032.695),(20 85290.3),(21 86846.15),(22 89178.53),(23 91774.24),(24 93031.8),(25 93409.01),(26 93589.53),(27 93481.086),(28 95147.44),(29 98100.32),(30 100353.66),(31 101456.95),(32 101858.805),(33 101693.83),(34 100693.92),(35 99857.68),(36 99452.78),(37 98987.94),(38 97786.39),(39 96944.695),(40 99117.695),(41 101913.8),(42 104499.19),(43 105768.805),(44 105518.22),(45 104416.54),(46 104567.95),(47 106266.766),(48 106661.984),(49 107977.26),(50 108805.68),(51 109948.54),(52 110454.62),(53 111803.016),(54 113860.67),(55 115122.91),(56 116618.39),(57 119054.6),(58 121204.71),(59 121552.27),(60 121168.43),(61 120175.945),(62 118775.125),(63 117923.46),(64 117926.67),(65 118493.15),(66 120255.56),(67 120607.46),(68 120116.055),(69 120297.14),(70 120638.39),(71 121177.984),(72 120401.91),(73 119726.58),(74 120227.586),(75 120542.82),(76 121596.484),(77 121397.695),(78 119680.15),(79 117836.17),
(1 11782.39),(2 33120.87),(3 50488.742),(4 59796.69),(5 63940.54),(6 66056.56),(7 67506.57),(8 68442.31),(9 70544.52),(10 72819.984),(11 74468.08),(12 75148.36),(13 75822.28),(14 76491.68),(15 76581.39),(16 76593.15),(17 77287.85),(18 77858.77),(19 78320.49),(20 78075.875),(21 78021.34),(22 78985.44),(23 81092.45),(24 82301.695),(25 82651.08),(26 82520.35),(27 82133.36),(28 82105.17),(29 82024.016),(30 82216.71),(31 83291.82),(32 85208.555),(33 86474.016),(34 87069.38),(35 88691.28),(36 90106.055),(37 91684.81),(38 92909.54),(39 93304.87),(40 94905.68),(41 96697.445),(42 96518.8),(43 96587.11),(44 97134.01),(45 97193.625),(46 98647.375),(47 100041.72),(48 100059.734),(49 99963.305),(50 99151.78),(51 99156.44),(52 100759.52),(53 102198.8),(54 103182.07),(55 104800.62),(56 106662.734),(57 107681.375),(58 107408.35),(59 106932.39),(60 107690.53),(61 106884.49),(62 107054.664),(63 108336.28),(64 109409.84),(65 110005.76),(66 108763.69),(67 106506.44),(68 105197.47),(69 104284.555),(70 104798.91),(71 106782.73),(72 108712.45),(73 109090.88),(74 109689.16),(75 109284.04),(76 108587.33),(77 108937.92),(78 109381.71),(79 108940.445),
