1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104311.1),(2 363182.25),(3 747010),(4 1212910.9),(5 1734508.4),(6 2279816.3),(7 2838491.8),(8 3425482.8),(9 3996716.8),(10 4560220.5),(11 5004389.5),(12 5398804.5),(13 5851177.5),(14 6421761.5),(15 6962084.5),(16 7644797.5),(17 8363402.5),(18 9093172),(19 9909956),(20 10789461),(21 11480489),(22 12240003),(23 13182911),(24 13992868),(25 14850648),(26 15664239),(27 16439163),(28 17264180),(29 18094420),(30 18875762),(31 19744838),(32 20711004),(33 21555930),(34 22503784),(35 23348682),(36 24184150),(37 24992848),(38 25768776),(39 26603608),(40 27575834),(41 28585590),(42 29479770),(43 30558648),(44 31695030),(45 32593352),(46 33603060),(47 34656484),(48 35564990),(49 36408068),(50 37170664),(51 37997092),(52 38653236),(53 39268140),(54 39724270),(55 40187150),(56 40815516),(57 41293836),(58 41689176),(59 41900790),(60 41744350),(61 41494210),(62 41086100),(63 40648896),(64 40306412),(65 40020330),(66 39850116),(67 39796400),(68 39678852),(69 39453924),(70 39405580),(71 39417876),(72 39443444),(73 39663148),(74 40195212),(75 40917884),(76 41783732),(77 42864136),(78 43763584),(79 44736836),
(1 58737.42),(2 161938.5),(3 243754.61),(4 285270.34),(5 295100.28),(6 293477.4),(7 292469.5),(8 294418.47),(9 298035.97),(10 294066.44),(11 289394.97),(12 290544.75),(13 296888.97),(14 303107.03),(15 308098.34),(16 306391.88),(17 306291.78),(18 311138.72),(19 313931.72),(20 312005.88),(21 310956.84),(22 310359.97),(23 305960.03),(24 303700.4),(25 306259.63),(26 309445.56),(27 313368.5),(28 319411.8),(29 328271.44),(30 337794.72),(31 347178.66),(32 355080.6),(33 355094.9),(34 343726.16),(35 326689.13),(36 315337.72),(37 314156.8),(38 321214.25),(39 332071.03),(40 341006.1),(41 344899.63),(42 345516.78),(43 345376.66),(44 343322.7),(45 343402.9),(46 344709.2),(47 346265.25),(48 350187.44),(49 352700.72),(50 352413.9),(51 355539.97),(52 363306.72),(53 371321.3),(54 381501),(55 387271.22),(56 384826.34),(57 375897.2),(58 370881.72),(59 368016.03),(60 369866.2),(61 378513.88),(62 391445.13),(63 400344.72),(64 407333.88),(65 414961.7),(66 421633.03),(67 424570.06),(68 426923.8),(69 425313.53),(70 417433.06),(71 414092.78),(72 420851.34),(73 436625.28),(74 442436.06),(75 439351.34),(76 432618.7),(77 431115),(78 437214.75),(79 447407.4),
(1 60275.656),(2 166397.4),(3 251003.4),(4 292324.38),(5 304945.97),(6 303683.72),(7 296486.47),(8 287458.34),(9 280027.9),(10 277086.47),(11 277924.34),(12 284067.06),(13 293660.4),(14 300789.5),(15 300247.16),(16 299513.3),(17 298729.2),(18 301329.7),(19 302460.22),(20 305325.4),(21 307920.28),(22 302833.25),(23 297089.7),(24 293847.47),(25 298953.5),(26 308524.94),(27 315517.63),(28 322656.06),(29 328477.9),(30 333217.34),(31 337461.47),(32 338061.72),(33 330504.88),(34 322647.78),(35 320278.2),(36 322966.9),(37 328564.75),(38 335681.38),(39 335856.78),(40 338104.06),(41 339746.75),(42 338641.44),(43 336700.63),(44 335915.2),(45 336143.66),(46 336386.7),(47 339789.75),(48 345186.53),(49 348277.47),(50 349131.94),(51 350108.1),(52 349088.9),(53 349775.2),(54 347343.5),(55 342294.3),(56 340685.7),(57 342854.38),(58 352819.94),(59 366356.06),(60 377412.5),(61 382416.34),(62 387821.25),(63 385046.3),(64 375304.78),(65 366492.66),(66 366992.56),(67 374605.78),(68 385612.1),(69 395239.16),(70 395802.53),(71 394753.66),(72 399810.47),(73 405848.7),(74 411158.3),(75 413809.9),(76 413011.5),(77 415962.3),(78 418494.8),(79 422522.53),
(1 55172.074),(2 150204.27),(3 225158.78),(4 260800.27),(5 269410.22),(6 267847.63),(7 269488.22),(8 267880.06),(9 270509.1),(10 273044.3),(11 275005.5),(12 281731.06),(13 290164.72),(14 295603.94),(15 292079.78),(16 285385.1),(17 279817.47),(18 281116.8),(19 285583.7),(20 293488.3),(21 297342.25),(22 296661.78),(23 293311.84),(24 291815.5),(25 292139.25),(26 296175.6),(27 303316.78),(28 309124.7),(29 311998.3),(30 315130.9),(31 317153.84),(32 317438.06),(33 316970.78),(34 314817.47),(35 312577),(36 314768.16),(37 315392.06),(38 319257.84),(39 326519.2),(40 335834.84),(41 338527.78),(42 336437.2),(43 333894.88),(44 325980.72),(45 315314.9),(46 310170.72),(47 314165.56),(48 324825.9),(49 334468.88),(50 343604.44),(51 344015),(52 337643.5),(53 334808.6),(54 336205.03),(55 341018.13),(56 344722.16),(57 344177),(58 345081.47),(59 348636.03),(60 353315.56),(61 353396.6),(62 349711.47),(63 341487.6),(64 337623.84),(65 339734.06),(66 345906.03),(67 352410.3),(68 355465.84),(69 356966.13),(70 356728.13),(71 355457.94),(72 356634.9),(73 358907.47),(74 359859.44),(75 358459.47),(76 363123.22),(77 371944.9),(78 374191.78),(79 374545.53),
(1 54801.293),(2 148857.72),(3 219680.58),(4 253774.66),(5 262373.56),(6 261795.22),(7 259689.92),(8 259256.95),(9 258578.56),(10 258076.48),(11 259518.34),(12 261954.1),(13 263837.28),(14 264702.88),(15 264873.28),(16 263727.22),(17 262619),(18 262641.78),(19 267171.44),(20 274014.3),(21 277707.16),(22 279920.6),(23 276260.44),(24 270148.5),(25 267077.03),(26 267832.5),(27 273745.9),(28 280690.8),(29 284004),(30 285207.53),(31 286213.28),(32 286920.97),(33 290177.9),(34 295845.3),(35 297004.75),(36 294810.47),(37 295679.53),(38 298394.25),(39 299214.94),(40 296919.94),(41 293395.44),(42 294578.75),(43 300940.2),(44 304010.56),(45 304328.7),(46 301778.2),(47 300338.4),(48 303830.72),(49 311624.47),(50 319967.2),(51 319938.6),(52 314107.4),(53 307584.9),(54 309673.38),(55 313498.63),(56 322021.13),(57 327807.75),(58 325988.1),(59 318564.84),(60 311557.25),(61 310472.63),(62 314490.63),(63 319235.97),(64 329431.47),(65 339990.5),(66 344368.53),(67 346129.13),(68 348145.13),(69 351365.5),(70 355726.38),(71 354811.22),(72 355080.88),(73 354636.3),(74 350027.97),(75 346956.6),(76 348546.44),(77 359634.06),(78 369070.16),(79 372506.4),
(1 52234.855),(2 142655.64),(3 215489.3),(4 248299.02),(5 249827.48),(6 239996.02),(7 232844.58),(8 231989),(9 239208.44),(10 241591.08),(11 239222.14),(12 238607.81),(13 240869.06),(14 248000.3),(15 262728.56),(16 267274.7),(17 261768.73),(18 253866.67),(19 250829.19),(20 254639),(21 260114.27),(22 266332.03),(23 267897.03),(24 269364.56),(25 268258.44),(26 268077.38),(27 268224.8),(28 269307.38),(29 271140.97),(30 270519),(31 272120.38),(32 278049.13),(33 286563.34),(34 293146.53),(35 291511.56),(36 291896.8),(37 294289.66),(38 295307.53),(39 297559.97),(40 292358.06),(41 288198.75),(42 290559.06),(43 297069.63),(44 296948.63),(45 296328.1),(46 297086.16),(47 297705.22),(48 302363.72),(49 308726.47),(50 314195.03),(51 312819.56),(52 307419.13),(53 301915.38),(54 300967.9),(55 305289.94),(56 314390.06),(57 325321.97),(58 326792.8),(59 325108.44),(60 322123.25),(61 320899.94),(62 323912.6),(63 329810.4),(64 337038.6),(65 344784.2),(66 355513.25),(67 363456.53),(68 363392.2),(69 363507.4),(70 361844.94),(71 350822.97),(72 344561.13),(73 340417.34),(74 342793.4),(75 357307.06),(76 376930.22),(77 381634.66),(78 377217.16),(79 374149.34),
(1 49607.48),(2 135692.61),(3 200360),(4 228162.23),(5 229791.66),(6 220123.2),(7 214796.53),(8 215584.64),(9 220574.47),(10 229008.78),(11 237083.39),(12 241605.02),(13 247244.08),(14 252993.31),(15 259149.58),(16 260253.22),(17 259740.78),(18 259393.88),(19 258547.02),(20 258141.1),(21 256322.47),(22 255900.58),(23 252778.66),(24 252153.83),(25 257200.28),(26 261312.89),(27 259824.9),(28 258121.6),(29 257805.19),(30 258369.98),(31 261687.78),(32 267520.22),(33 267699.8),(34 261871.23),(35 261823.36),(36 263295.28),(37 266742.78),(38 271173.63),(39 272705.44),(40 268229.66),(41 271314.34),(42 275824.1),(43 281360.53),(44 286018.2),(45 288397.8),(46 288846.25),(47 292795.38),(48 291817.06),(49 290236.44),(50 289267.9),(51 291062.2),(52 290336.75),(53 288750.56),(54 291137.6),(55 297157.94),(56 304009.3),(57 311770.28),(58 315830.38),(59 320531.22),(60 328004.5),(61 334788.78),(62 336767.8),(63 339169.84),(64 340490.5),(65 337988.8),(66 336920.84),(67 340153.78),(68 343034.84),(69 345163.06),(70 346017.78),(71 345279.47),(72 342355.56),(73 341854.47),(74 345266.66),(75 357274.03),(76 367518.47),(77 369960.25),(78 366559.44),(79 362831.9),
(1 48819.98),(2 130325.78),(3 191559.56),(4 219603.86),(5 226625.5),(6 222805.05),(7 221157.11),(8 222387.4),(9 221634.1),(10 227879.8),(11 235727.16),(12 240271.86),(13 243421.06),(14 241458.06),(15 239469.47),(16 236391.05),(17 236347.05),(18 240163.58),(19 245019.9),(20 247461.08),(21 251830.48),(22 252022.38),(23 249086.66),(24 247922.31),(25 250271.81),(26 251214.02),(27 249675.86),(28 247492.73),(29 244869.28),(30 242150.66),(31 244751.36),(32 250277.78),(33 254435.05),(34 256244.3),(35 253951.98),(36 252590.83),(37 256888.77),(38 262318.38),(39 263027.97),(40 267439.3),(41 273709.4),(42 275816.56),(43 276911.53),(44 276423.84),(45 275773.88),(46 277175.5),(47 277808.16),(48 278339.8),(49 280396.63),(50 284290.22),(51 287418.1),(52 289204.06),(53 289037.94),(54 290360.6),(55 296970.25),(56 303198.7),(57 309519.88),(58 314620.88),(59 318924.78),(60 323944.06),(61 326867.56),(62 331425.72),(63 336532.78),(64 340158.6),(65 340005.16),(66 336824.47),(67 339280.2),(68 348469.88),(69 362967.56),(70 369422.72),(71 368817.66),(72 365877.34),(73 367327),(74 371827.5),(75 378561.8),(76 380253.1),(77 382348.38),(78 388131.38),(79 392303.2),
(1 49214.637),(2 129952.055),(3 187957.95),(4 211659.45),(5 213090.92),(6 208815.19),(7 208236.9),(8 209831.5),(9 210276.56),(10 206912.36),(11 207359.77),(12 213869.98),(13 219268.17),(14 220013.02),(15 219160),(16 216198.64),(17 213173.94),(18 211902.5),(19 215696.95),(20 219591.83),(21 225725.05),(22 230033.42),(23 229876.27),(24 233822.47),(25 235761.27),(26 232902.53),(27 229291.17),(28 228173.42),(29 230149.89),(30 232099.94),(31 236724.77),(32 241099.25),(33 238895.63),(34 238339.98),(35 242862.55),(36 244151.7),(37 249408.25),(38 256066.25),(39 257249.05),(40 255276.47),(41 254393.13),(42 256881.84),(43 256399.56),(44 255885.2),(45 257658.86),(46 259495.78),(47 258645.66),(48 258287.14),(49 258730.19),(50 260743.38),(51 260529.17),(52 259904.06),(53 262127.17),(54 265426.13),(55 268641.84),(56 271335.5),(57 274514.25),(58 276817.78),(59 274862.7),(60 276949.6),(61 277214.7),(62 277538.53),(63 282174.34),(64 286744.4),(65 291838.06),(66 297154.2),(67 300686.9),(68 301018.63),(69 303377.28),(70 307644.7),(71 310186.06),(72 309479.13),(73 311053.6),(74 317572.44),(75 322425.06),(76 323045.7),(77 324310.78),(78 325700.38),(79 330015.75),
(1 50606.285),(2 135737.2),(3 192975.64),(4 214451.55),(5 214136.33),(6 207192.86),(7 204996.83),(8 207778.2),(9 213054.45),(10 217951.47),(11 221238.03),(12 225460.36),(13 227971.64),(14 225625.47),(15 223876.56),(16 221094.7),(17 219497),(18 221756.19),(19 226323.34),(20 230009.8),(21 232649.17),(22 234036.47),(23 234368.19),(24 236981.33),(25 237550.58),(26 235344.55),(27 235090.4),(28 234723.56),(29 233908.44),(30 234772.8),(31 234772.92),(32 238778.44),(33 246937.64),(34 253632.17),(35 258951.98),(36 260947.06),(37 259619.16),(38 257252.19),(39 257892.97),(40 264026.06),(41 268865.53),(42 270138.44),(43 271406.53),(44 272849.2),(45 277054.38),(46 277284.3),(47 274600.56),(48 274699.9),(49 274418.38),(50 275457.7),(51 274480.44),(52 273231.53),(53 271964.6),(54 271221.3),(55 270700.97),(56 272044.03),(57 274756.6),(58 272724.97),(59 272891.13),(60 274301.63),(61 280588.53),(62 286408.84),(63 295220.9),(64 299363.94),(65 301656.72),(66 304027.8),(67 304624),(68 308747.34),(69 316720),(70 321298.72),(71 319501.53),(72 318775.9),(73 318308.88),(74 317617.56),(75 316608.28),(76 320531.7),(77 328729.6),(78 339021.72),(79 344606.47),
(1 47200.29),(2 124413.945),(3 178209.1),(4 196745.23),(5 196578.64),(6 192419.11),(7 195380.03),(8 199333.17),(9 201784.5),(10 201471.48),(11 202918.61),(12 207787.95),(13 211801.42),(14 213535.88),(15 211469.7),(16 208627.63),(17 207163.63),(18 211801.63),(19 219046.31),(20 224779.11),(21 226971.73),(22 225167.7),(23 225403.2),(24 228796.36),(25 230365.06),(26 232737.45),(27 234034.67),(28 233958.1),(29 229713.88),(30 227474.97),(31 230044.31),(32 235447.94),(33 245757.95),(34 257480.63),(35 261991.64),(36 262615.5),(37 258705.6),(38 253598.36),(39 252400.03),(40 254138.7),(41 254763.66),(42 253655.1),(43 255034.19),(44 255064.77),(45 256996.33),(46 258939.17),(47 263610.25),(48 266275.4),(49 267668.63),(50 267136.44),(51 264507.13),(52 260052.64),(53 257763.66),(54 257909.27),(55 263110),(56 269561.25),(57 269285.78),(58 265106.72),(59 265628.03),(60 268629.38),(61 278274.53),(62 284245.72),(63 287830.22),(64 289317.75),(65 290890.47),(66 295058.97),(67 299921.13),(68 304905.38),(69 308571.13),(70 310627.56),(71 312179.75),(72 318304.78),(73 319927.1),(74 319237.5),(75 317286.34),(76 319213.75),(77 324914.06),(78 329248.16),(79 327098.25),
(1 44682.742),(2 114744.484),(3 161518.69),(4 179823.63),(5 183077.83),(6 184991.6),(7 184486.42),(8 185443.47),(9 189155.48),(10 193500.92),(11 193635.98),(12 190490.58),(13 184905.67),(14 186192.7),(15 189744.86),(16 190816.73),(17 190836.25),(18 192236.84),(19 193701.05),(20 196768),(21 201779.88),(22 201843.52),(23 199633.08),(24 202825.23),(25 204437.77),(26 203353.25),(27 201908.61),(28 200636.75),(29 200919.25),(30 205011.66),(31 212251.13),(32 216552.6),(33 216069.03),(34 218215.97),(35 218243.45),(36 215590.67),(37 214850.17),(38 216866.7),(39 222550.19),(40 228632.31),(41 231703.16),(42 230384.06),(43 229325.33),(44 228462.06),(45 231104.88),(46 237327.72),(47 239636.78),(48 237467.53),(49 236062.69),(50 235736.33),(51 238892.36),(52 238510.48),(53 236550.73),(54 237014.61),(55 240216.36),(56 243718.28),(57 243354.67),(58 239706.7),(59 238014.47),(60 241320.73),(61 252105.98),(62 259803.05),(63 261265.08),(64 257565.39),(65 254206.31),(66 253105.47),(67 255484.22),(68 258491.53),(69 262434.88),(70 266322.8),(71 269630.22),(72 272579.2),(73 274345.16),(74 277639.56),(75 281362.2),(76 281061.22),(77 282141.47),(78 281829.4),(79 277589.22),
(1 44574.902),(2 114893.24),(3 163517.66),(4 179079.47),(5 179981.03),(6 177096.3),(7 178600.8),(8 182878.23),(9 190146.11),(10 192006.86),(11 192032.56),(12 188897.4),(13 184141.06),(14 183597.4),(15 184505.3),(16 186054.77),(17 187144.23),(18 186755),(19 188706.6),(20 192753.53),(21 191621.2),(22 186689.53),(23 187370.58),(24 192452.27),(25 196774.75),(26 198529.58),(27 197764.03),(28 195533.73),(29 197820.73),(30 201363.69),(31 205978.28),(32 207911.5),(33 207022.58),(34 206714.47),(35 206568.45),(36 208835.94),(37 209708.27),(38 212210.5),(39 217894.31),(40 221408.6),(41 219467.7),(42 218639.78),(43 215925.4),(44 216741.02),(45 221937.33),(46 228696.02),(47 230751.69),(48 228603.7),(49 226002.23),(50 223876.4),(51 226567),(52 232347.61),(53 239982.56),(54 243348.86),(55 241147.58),(56 238171.67),(57 237233.8),(58 235976.23),(59 238618.06),(60 239971.31),(61 244140.61),(62 250755.42),(63 252671.31),(64 254486.6),(65 250990.64),(66 248190.3),(67 254102.19),(68 260944.27),(69 262181.3),(70 261557.4),(71 261466.64),(72 264613.06),(73 269097.7),(74 277256.78),(75 282747.78),(76 281638.72),(77 281244.78),(78 278652.06),(79 278547.2),
(1 44439.355),(2 114361.21),(3 163917.36),(4 181211.88),(5 185226.81),(6 183315.88),(7 185812.44),(8 190220.19),(9 195259.5),(10 194314.77),(11 192294.25),(12 189568.28),(13 185098.28),(14 180764.56),(15 180962.2),(16 184460.75),(17 186356),(18 190363.44),(19 192905.42),(20 194311.3),(21 193854.58),(22 193003.6),(23 193303.13),(24 198332.25),(25 204484.22),(26 207231.75),(27 204145.2),(28 202088.56),(29 206314.03),(30 211633.17),(31 217730.88),(32 222957.42),(33 221797.92),(34 218294.11),(35 216580.94),(36 219892.97),(37 224113.47),(38 229131.39),(39 232345.6),(40 233445.86),(41 230768.13),(42 227647.97),(43 230558.08),(44 234588.03),(45 236860.61),(46 233763.56),(47 229785.33),(48 228683.95),(49 230668.77),(50 239914.23),(51 247719.34),(52 248327.88),(53 248853.55),(54 249987.47),(55 252616.27),(56 252485.7),(57 251815.19),(58 250662.06),(59 251675.39),(60 256570.06),(61 260991.81),(62 263676.6),(63 265422.72),(64 267237.38),(65 265416.97),(66 263507.53),(67 265897.5),(68 268395.1),(69 274672.7),(70 276886.38),(71 275315.66),(72 273958.53),(73 272685.22),(74 276389.6),(75 285056.16),(76 290501.66),(77 294858.94),(78 295073.38),(79 296860.72),
(1 43044.8),(2 108741.63),(3 150370.3),(4 162705.14),(5 162325.05),(6 159648.05),(7 162933.63),(8 166891.42),(9 169907.19),(10 169596.3),(11 168352.78),(12 169431.2),(13 168945.47),(14 167684.8),(15 168381.03),(16 168232.48),(17 169231.78),(18 172660.98),(19 174317.28),(20 175580.44),(21 179398.38),(22 183261.31),(23 184562.53),(24 189956.73),(25 193185.23),(26 192676.13),(27 188211.14),(28 185775.92),(29 185789.83),(30 187720.73),(31 194336.1),(32 199202.33),(33 204029.6),(34 207225.89),(35 207223.11),(36 205457.8),(37 204725.81),(38 209127.55),(39 212270.02),(40 213241.53),(41 212816.06),(42 211726.47),(43 214007.64),(44 218725.45),(45 221086.27),(46 221537.47),(47 221390.1),(48 221821.67),(49 223938.3),(50 225614.44),(51 226933.16),(52 226443.31),(53 226992.56),(54 226069.89),(55 224326.27),(56 225070.2),(57 228575.3),(58 232624.06),(59 232835.88),(60 235390.53),(61 238932.33),(62 236169.25),(63 233486.45),(64 235792.13),(65 237376.23),(66 242625.28),(67 247493.6),(68 248358.89),(69 248607.56),(70 249007.2),(71 248038.75),(72 248788.33),(73 252128.67),(74 257437.47),(75 264381.2),(76 266167.88),(77 266013.94),(78 265823.88),(79 268790.75),
(1 45932.28),(2 115678.305),(3 158519.3),(4 168526.73),(5 160804.78),(6 155892.14),(7 158696.45),(8 165846.8),(9 170192.83),(10 170130.02),(11 167715.2),(12 168084.81),(13 169549.05),(14 172405.89),(15 172851.52),(16 174087.08),(17 173094.78),(18 171931.77),(19 172031.39),(20 176589.56),(21 181352.19),(22 183185.23),(23 182947.14),(24 186617.05),(25 190962.5),(26 192817.63),(27 192710.66),(28 192483.8),(29 192823.08),(30 198431.77),(31 202289.95),(32 201241.8),(33 198250.38),(34 197970.05),(35 202094.83),(36 207320.13),(37 211847.5),(38 212943.23),(39 215101.67),(40 217027.81),(41 219477.14),(42 219868.75),(43 216161.9),(44 214837.58),(45 218930.58),(46 219444.33),(47 220931.52),(48 223267.48),(49 222918.58),(50 222568.34),(51 221857.86),(52 224665.83),(53 231584.58),(54 236754.34),(55 238518.33),(56 238450.22),(57 236740.45),(58 235668.7),(59 236549.14),(60 235976.55),(61 238381.11),(62 240891),(63 243787.31),(64 246617.64),(65 248195.58),(66 245477.08),(67 244685.23),(68 246984.73),(69 251303.7),(70 256992.66),(71 261576.44),(72 262934.2),(73 261260.69),(74 259168.5),(75 260134.36),(76 262655.1),(77 263834.3),(78 264970.3),(79 267680.03),
(1 44481.902),(2 109268.69),(3 148279.69),(4 156508.14),(5 150520.61),(6 149768.56),(7 153368.72),(8 157625.03),(9 160163.25),(10 162000.61),(11 167528.6),(12 168839.55),(13 167940.67),(14 168308.58),(15 167736.13),(16 170541.78),(17 172523.97),(18 169211.14),(19 164129),(20 162638.98),(21 163470.64),(22 166165.1),(23 168933.06),(24 172486.81),(25 174656.92),(26 178198.08),(27 179496.98),(28 180878.75),(29 178497.86),(30 179480.89),(31 184761.86),(32 187559.02),(33 189776.5),(34 188528.42),(35 191079.44),(36 195546.33),(37 198962.7),(38 200114.88),(39 200538.86),(40 204508.6),(41 211768.2),(42 213806.08),(43 207736.58),(44 198203.2),(45 194918.75),(46 199448.55),(47 207512.02),(48 213445.73),(49 211241.55),(50 209832.92),(51 210662.34),(52 212148.25),(53 216036.6),(54 219330.36),(55 220755.7),(56 221508.02),(57 223557.8),(58 226092.58),(59 227355.77),(60 227204.67),(61 230036.86),(62 232176.52),(63 234454.78),(64 237609.75),(65 238307),(66 241279.23),(67 243762.42),(68 242582.42),(69 245068.67),(70 250159.4),(71 253116.27),(72 252198.7),(73 250553.63),(74 250021.22),(75 251139.53),(76 252512.72),(77 255037.1),(78 258752.77),(79 258484.8),
(1 41435.105),(2 103296.17),(3 140104.86),(4 149476.25),(5 147513.17),(6 145660.75),(7 147404.14),(8 150906.83),(9 151200.66),(10 149005.6),(11 152857.44),(12 155185.31),(13 157124.05),(14 157304.81),(15 158493.16),(16 161294.55),(17 164425.81),(18 164071.61),(19 165404.6),(20 168974.5),(21 172935.98),(22 171273.4),(23 168364.58),(24 168047.94),(25 169631.47),(26 172670.83),(27 173000.75),(28 176902.7),(29 178129.81),(30 178793.42),(31 184950.95),(32 188966.19),(33 189585.72),(34 188603.64),(35 187017.95),(36 188675.55),(37 192004.97),(38 194327.23),(39 195598.39),(40 198288.4),(41 202230.03),(42 203061.06),(43 197581.23),(44 190596.95),(45 193254.38),(46 201607.66),(47 205818.38),(48 205812.4),(49 200448.8),(50 197415.2),(51 200667.03),(52 210376.88),(53 217069.83),(54 219698.47),(55 218462.05),(56 219054.7),(57 220900.1),(58 218161.48),(59 214199.95),(60 214023.34),(61 216499.4),(62 217719.28),(63 218958.77),(64 222719.63),(65 226506.48),(66 228049.73),(67 227027.31),(68 225409.02),(69 224837.58),(70 228078.94),(71 231133.6),(72 231009.39),(73 231155.67),(74 230116.31),(75 229459.36),(76 229965.47),(77 232346.81),(78 234702.23),(79 235452.5),
(1 43165.43),(2 104906.42),(3 140590.61),(4 150737.47),(5 151713.3),(6 147772.02),(7 144094.97),(8 144982.34),(9 149733.14),(10 154127.16),(11 158122.31),(12 156150.38),(13 155166.64),(14 156210.63),(15 157020.56),(16 159921.27),(17 163297.48),(18 166744.08),(19 170098.17),(20 170412.5),(21 171071.6),(22 171145.14),(23 168952.42),(24 168265.67),(25 168290.86),(26 168266.3),(27 171747.73),(28 175350.53),(29 178540.47),(30 178022.02),(31 178397.53),(32 181411.36),(33 184832.55),(34 182859.78),(35 179337.34),(36 177097.63),(37 175117.2),(38 174747.36),(39 174740.94),(40 175195.39),(41 177981.52),(42 180761.95),(43 181122.83),(44 180935.86),(45 184740.7),(46 187351.47),(47 188167.52),(48 187573.94),(49 186864.73),(50 184485.42),(51 184809.36),(52 188266.83),(53 190856.27),(54 189910.22),(55 189827.4),(56 195619.45),(57 201183.05),(58 203620.19),(59 203294.4),(60 203537.95),(61 206335.58),(62 208784.73),(63 210670.75),(64 212176.03),(65 212463.77),(66 210013.25),(67 210137.28),(68 213369.23),(69 219408.61),(70 222458.7),(71 221264.97),(72 218831),(73 217180.44),(74 219574.06),(75 225212.81),(76 231743.25),(77 232979.27),(78 232029.63),(79 232759.14),
