1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 48267.06),(2 165405.81),(3 347365.97),(4 569806.6),(5 837131.44),(6 1124428.6),(7 1423176.4),(8 1725143.5),(9 2052629.6),(10 2359891.8),(11 2728530.8),(12 3092787.3),(13 3481482.8),(14 3893740.8),(15 4352427.5),(16 4796895),(17 5286959.5),(18 5784850.5),(19 6337949.5),(20 6853946),(21 7327737.5),(22 7815158.5),(23 8235018),(24 8628091),(25 9099600),(26 9464595),(27 9861925),(28 10220423),(29 10605292),(30 10932141),(31 11253272),(32 11508144),(33 11751643),(34 11981581),(35 12190925),(36 12373203),(37 12624000),(38 12825563),(39 13120701),(40 13383477),(41 13767593),(42 14249787),(43 14828133),(44 15379808),(45 16055317),(46 16715811),(47 17538330),(48 18376800),(49 19388250),(50 20327944),(51 21279414),(52 22264630),(53 23363686),(54 24616032),(55 25957806),(56 27192722),(57 28541246),(58 29810296),(59 31077414),(60 32147744),(61 33106266),(62 33900324),(63 34793348),(64 35510948),(65 36268510),(66 36840244),(67 37412188),(68 37800124),(69 38103440),(70 38363120),(71 38636850),(72 38840784),(73 39018052),(74 39219150),(75 39275364),(76 39337710),(77 39376308),(78 39297116),(79 39149340),
(1 6664.6333),(2 16155.892),(3 23709.998),(4 28680.047),(5 32098.453),(6 34158.72),(7 35668.64),(8 36421.36),(9 36124.336),(10 35741.09),(11 35218.3),(12 34878.363),(13 35170.29),(14 36432.2),(15 37142.2),(16 38087.7),(17 38287.027),(18 38615.043),(19 38921.03),(20 38997.71),(21 39283.996),(22 39268.832),(23 39290.926),(24 40468.453),(25 41102.45),(26 41317.617),(27 40430.844),(28 39995.883),(29 40233.29),(30 40100.53),(31 40075.52),(32 40592.527),(33 41164.742),(34 41668.63),(35 41740.773),(36 41619.508),(37 41401.383),(38 41864.45),(39 41473.605),(40 41212.266),(41 40428.508),(42 39772.332),(43 39718.605),(44 39667.59),(45 39567.617),(46 39112.79),(47 38566.16),(48 38125.16),(49 37454.92),(50 37483.46),(51 36399.836),(52 35406.746),(53 34886.652),(54 34885.55),(55 35189.1),(56 35264.254),(57 35262.4),(58 35955.703),(59 36613.75),(60 36828.348),(61 36765.957),(62 37382.688),(63 38092.24),(64 38604.773),(65 38473.387),(66 38152.707),(67 38241.875),(68 38443.934),(69 38991.133),(70 39651.098),(71 39508.39),(72 39337.24),(73 38944.305),(74 38725.617),(75 38454.785),(76 38646.09),(77 38411.75),(78 37894.285),(79 37690.74),
(1 6265.4297),(2 14840.287),(3 21257.828),(4 25257.043),(5 28039.645),(6 29684.188),(7 30938.83),(8 31397.219),(9 31493.557),(10 31609.598),(11 31666.604),(12 32272.35),(13 32774.195),(14 33375.39),(15 33395.402),(16 33561.07),(17 33838.695),(18 34140.934),(19 34707.758),(20 35165.49),(21 35690.71),(22 35849.04),(23 36236.484),(24 36893.246),(25 37405.24),(26 37867.57),(27 37156.934),(28 36531.676),(29 36400.64),(30 36338.285),(31 36370.766),(32 36564.582),(33 36490.18),(34 36644.46),(35 36863.066),(36 36824.156),(37 36709.785),(38 37018.586),(39 36675.35),(40 36415.645),(41 35786.46),(42 35442.004),(43 35527.832),(44 35252.32),(45 34875.73),(46 34790.5),(47 34720.594),(48 34462.32),(49 33948.742),(50 34241.44),(51 34228.824),(52 33882.863),(53 33533.082),(54 33308.84),(55 33154.258),(56 33117.277),(57 33061.367),(58 33219.168),(59 33351.9),(60 33420.574),(61 33655.58),(62 34608.816),(63 34846.32),(64 35103.906),(65 34890.266),(66 35083.883),(67 35828.367),(68 36518.58),(69 36892.84),(70 37024.832),(71 36623.473),(72 36083.254),(73 35538.7),(74 35342.496),(75 34980.105),(76 34840.113),(77 34876.22),(78 35032.246),(79 35115.656),
(1 6206.3223),(2 14238.333),(3 20338.924),(4 24096.8),(5 27070.412),(6 28795.363),(7 29824.8),(8 30571.191),(9 31062.148),(10 31381.637),(11 31454.055),(12 31106.03),(13 31162.217),(14 31622.178),(15 31391.68),(16 31622.44),(17 31895.354),(18 32068.098),(19 32570.918),(20 33269.582),(21 33961.895),(22 34542.883),(23 34599.105),(24 34975.37),(25 35204.97),(26 35261.137),(27 34571.707),(28 34206.586),(29 34036.742),(30 34067.043),(31 33881.773),(32 33896.44),(33 33954.67),(34 34091.953),(35 34553.855),(36 34914.176),(37 34519.887),(38 34193.805),(39 33757.56),(40 33398.383),(41 33046.21),(42 33098.242),(43 33335.273),(44 33643.273),(45 34008.76),(46 34385.883),(47 33994.87),(48 33516.18),(49 33361.715),(50 34219.223),(51 34181.508),(52 33758.258),(53 33159.984),(54 32410.982),(55 32148.205),(56 32354.424),(57 31959.34),(58 31651.31),(59 31650.023),(60 32011.06),(61 32379.96),(62 32935.8),(63 32875.383),(64 32937.633),(65 33268.332),(66 33720.54),(67 34022.816),(68 34337.93),(69 34735.26),(70 34748.836),(71 34319.027),(72 34042.277),(73 33900.355),(74 34242.78),(75 33962.2),(76 33632.918),(77 33478.395),(78 33853.27),(79 34125.676),
(1 6055.4097),(2 14540.93),(3 20597.486),(4 24500.648),(5 27135.822),(6 28394.645),(7 28808.508),(8 29139.822),(9 29190.133),(10 29210.332),(11 28970.842),(12 29014.152),(13 29098.84),(14 29871.035),(15 30072.678),(16 30663.959),(17 31016.867),(18 31500.111),(19 31772.973),(20 31920.545),(21 32299.555),(22 32652.973),(23 32604.314),(24 32707.787),(25 32453.928),(26 32541.879),(27 32373.098),(28 32579.652),(29 32860.383),(30 32845.348),(31 32429.094),(32 32786.477),(33 33247.418),(34 33781.004),(35 34214.758),(36 33998.895),(37 33046.95),(38 33009.938),(39 32363.986),(40 32176.762),(41 31792.633),(42 31894.861),(43 32124.26),(44 31926.246),(45 31747.111),(46 31413.979),(47 30920.918),(48 30796.547),(49 31080.688),(50 31574.625),(51 31172.582),(52 30763.725),(53 30513.9),(54 30420.861),(55 30272.652),(56 29827.88),(57 29342.234),(58 29464.6),(59 29769.695),(60 30302.54),(61 31006.973),(62 31735.271),(63 31720.992),(64 31564.975),(65 31356.182),(66 31391.729),(67 31922.375),(68 32551.852),(69 32832.24),(70 32713.365),(71 32529.625),(72 32542.674),(73 32940.094),(74 33444.863),(75 33054.46),(76 32653.473),(77 32366.578),(78 32429.879),(79 32630.922),
(1 5986.9424),(2 14361.191),(3 20801.764),(4 24966.213),(5 27838.91),(6 29236.686),(7 30194.73),(8 30688.918),(9 30668.488),(10 30405.256),(11 30058.033),(12 30183.127),(13 30961.281),(14 31820.293),(15 31760.107),(16 32205.568),(17 32187.027),(18 32328.172),(19 32329.86),(20 32434.41),(21 32822.246),(22 33337.145),(23 33463.836),(24 33692.168),(25 33404.598),(26 33254.855),(27 32894.203),(28 33009.656),(29 33466.125),(30 33792.555),(31 33940.555),(32 34105.2),(33 34178.72),(34 34698.164),(35 34793.746),(36 34552.254),(37 34152.484),(38 34195.863),(39 34195.984),(40 34209.895),(41 33953.402),(42 33639.438),(43 33268.938),(44 32793.86),(45 32776.492),(46 32930.43),(47 33007.86),(48 32961.65),(49 32613.781),(50 32659.658),(51 31973.842),(52 31640.71),(53 31446.795),(54 30647.174),(55 29871.123),(56 29570.523),(57 29658.314),(58 29962.803),(59 30461.227),(60 31043.678),(61 31368.346),(62 31992.473),(63 31996.64),(64 31903.703),(65 32181.078),(66 32771.727),(67 33674.426),(68 34317.723),(69 34663.113),(70 34985.098),(71 34835.316),(72 34438.977),(73 34219.805),(74 34534.53),(75 34321.836),(76 34251.918),(77 34014.777),(78 33712.01),(79 33754.99),
(1 5569.8906),(2 12871.545),(3 18490.758),(4 22218.998),(5 24917.703),(6 26366.404),(7 27036.086),(8 27303.566),(9 27281.807),(10 27187.572),(11 26992.064),(12 27182.604),(13 27431.557),(14 28282.895),(15 28399.902),(16 28614.656),(17 28662.422),(18 28896.709),(19 28690.615),(20 28967.986),(21 29563.732),(22 30086.979),(23 30288.22),(24 30384.748),(25 30106.732),(26 30079.482),(27 29802.758),(28 29602.262),(29 29790.32),(30 30100.096),(31 29935.63),(32 30183.895),(33 30480.846),(34 31124.564),(35 31360.89),(36 31514.096),(37 31596.506),(38 31860.285),(39 31232.664),(40 30728.66),(41 30445.084),(42 30688.846),(43 30900.096),(44 30910.908),(45 31081.7),(46 31288.268),(47 31325.936),(48 30989.19),(49 30588.791),(50 30988.924),(51 30919.45),(52 30719.164),(53 30415.193),(54 29658.209),(55 29220.277),(56 28849.52),(57 28548.098),(58 28530.758),(59 28571.182),(60 28768.414),(61 29073.83),(62 29939.434),(63 30352.482),(64 30618.67),(65 31049.89),(66 31429.168),(67 32060.6),(68 32352.992),(69 32519.443),(70 32497.566),(71 32294.287),(72 32117.896),(73 32115.436),(74 32583.002),(75 32575.32),(76 32421.74),(77 32018.281),(78 32056.902),(79 32160.287),
(1 5146.862),(2 11411.887),(3 15753.844),(4 18441.65),(5 20569.834),(6 21902.715),(7 22465.469),(8 22828.41),(9 22961.023),(10 23059.982),(11 22594.494),(12 22271.95),(13 22554.4),(14 23504.424),(15 23638.313),(16 23713.521),(17 23817.32),(18 24264.748),(19 24760.543),(20 25175.555),(21 25810.883),(22 26030.268),(23 25660.664),(24 25551.506),(25 25363.336),(26 25712.736),(27 25427.783),(28 25028.479),(29 25039.463),(30 25158.54),(31 25003),(32 24988.08),(33 25079.596),(34 25468.447),(35 25758.484),(36 25742.479),(37 25393.457),(38 25137.719),(39 24643.457),(40 24646.807),(41 24727.924),(42 24897.727),(43 25342.2),(44 25271.88),(45 25208.143),(46 24973.576),(47 24570.145),(48 24427.11),(49 24539.32),(50 25111.066),(51 25125.379),(52 24975.055),(53 24753.264),(54 24491.307),(55 24246.174),(56 24004.955),(57 24009.291),(58 24241.03),(59 24488.285),(60 24859.613),(61 25309.693),(62 26129.174),(63 26880.582),(64 27484.55),(65 27803.322),(66 28230.238),(67 28542.654),(68 28771.318),(69 29015.992),(70 29071.83),(71 29217.643),(72 29185.834),(73 28935.89),(74 29207.65),(75 29128.111),(76 29118.238),(77 28822.629),(78 28820.268),(79 28913.227),
(1 5177.5845),(2 11860.876),(3 16691.64),(4 19514.676),(5 21745.031),(6 23187.96),(7 23774.484),(8 24036.994),(9 23870.434),(10 23730.775),(11 23410.479),(12 23358.81),(13 23674.252),(14 24342.35),(15 24570.121),(16 24827.23),(17 25096.637),(18 25342.719),(19 25497.566),(20 25812.314),(21 26210.193),(22 26283.31),(23 26162.074),(24 26150.143),(25 25954.525),(26 25896.107),(27 25921.752),(28 25909.947),(29 25546.91),(30 25212.744),(31 25015.855),(32 25289.748),(33 25774.773),(34 26280.707),(35 26416.645),(36 26495.828),(37 26371.033),(38 26497.473),(39 26232.916),(40 26437.898),(41 26278.418),(42 26215.947),(43 26259.885),(44 26085.068),(45 25899.563),(46 25737.082),(47 25593.35),(48 25458.797),(49 25341.56),(50 25786.53),(51 25669.371),(52 25291.107),(53 24832.15),(54 24533.014),(55 24618.932),(56 24643.78),(57 24537.793),(58 24803.057),(59 25208.902),(60 25638.54),(61 26083.795),(62 26860.371),(63 27434.69),(64 27666.207),(65 27940.234),(66 28298.863),(67 28287.926),(68 27987.707),(69 28175.973),(70 28406.72),(71 28392.902),(72 27998.557),(73 27911.328),(74 28274.424),(75 28190.166),(76 27955.662),(77 27803.18),(78 28054.594),(79 28236.445),
(1 5154.8228),(2 11776.625),(3 16101.58),(4 18268.33),(5 19943.053),(6 21078.928),(7 21900.709),(8 22063.947),(9 21698.44),(10 21156.38),(11 20651.951),(12 20653.627),(13 20970.168),(14 21849.418),(15 21994.84),(16 22417.424),(17 22705.805),(18 23089.924),(19 23407.846),(20 23489.559),(21 23848.455),(22 24522.164),(23 24929.21),(24 25468.033),(25 25550.502),(26 25974.248),(27 25652.244),(28 25269.809),(29 24895.088),(30 24788.393),(31 24862.566),(32 25168.797),(33 25478.066),(34 25814.121),(35 25857.313),(36 25810.365),(37 25449.027),(38 25535.512),(39 25591.068),(40 25771.428),(41 25297.6),(42 24768.6),(43 24506.738),(44 24457.637),(45 24535.012),(46 24574.941),(47 24533.066),(48 24197.799),(49 23842.492),(50 24135.863),(51 24174.545),(52 23950.188),(53 23798.467),(54 23880.918),(55 23928.818),(56 23724.637),(57 23379.262),(58 23366.85),(59 23252.406),(60 23438.926),(61 23552.465),(62 24173.338),(63 24594.938),(64 25106.414),(65 25802.17),(66 26256.012),(67 26444.248),(68 26461.484),(69 26752.701),(70 26778.441),(71 26616.836),(72 26415.494),(73 25897.215),(74 25841.951),(75 25536.688),(76 25223.39),(77 25190.521),(78 25334.162),(79 25328.928),
(1 5221.75),(2 11678.402),(3 16251.074),(4 18626.666),(5 20341.438),(6 21156.46),(7 21640.598),(8 21848.363),(9 21723.838),(10 21525.78),(11 21374.531),(12 21362.191),(13 21716.238),(14 22383.223),(15 22402.87),(16 22878.027),(17 23304.584),(18 23680.543),(19 23971.438),(20 24309.332),(21 25183.234),(22 26131.508),(23 26551.879),(24 26682.219),(25 26396.076),(26 26245.31),(27 25892.266),(28 25946.127),(29 25897.2),(30 25577.168),(31 25339.156),(32 25518.395),(33 25681.71),(34 25976.463),(35 25967.283),(36 25946.02),(37 25681.33),(38 25753.563),(39 25577.625),(40 25493.36),(41 24999.178),(42 24689.64),(43 24740.559),(44 24594.34),(45 24711.9),(46 24831.654),(47 24763.717),(48 24571.844),(49 24447.12),(50 25197.541),(51 25474.844),(52 25301.93),(53 24575.344),(54 23946.988),(55 23346.514),(56 22940.492),(57 22776.572),(58 22938.408),(59 22971.283),(60 23183.55),(61 23311.244),(62 23825.316),(63 24250.219),(64 24647.402),(65 25220.414),(66 25555.648),(67 25558.502),(68 25274.262),(69 25503.156),(70 25781.684),(71 25772.135),(72 25321.389),(73 24780.352),(74 24600.436),(75 24412.83),(76 24219.227),(77 24399.252),(78 24544.91),(79 24903.816),
(1 4624.43),(2 10533.707),(3 14893.919),(4 17126.121),(5 18669.271),(6 19309.492),(7 19573.828),(8 19845.898),(9 19884.965),(10 19961.502),(11 19883.348),(12 19889.22),(13 20417.943),(14 21500.871),(15 22001.814),(16 22443.264),(17 22687.117),(18 22967.537),(19 23209.514),(20 23367.77),(21 23748.055),(22 24184.678),(23 24309.3),(24 24404.652),(25 24055.64),(26 23824.002),(27 23820.828),(28 23726.785),(29 23602.139),(30 23447.87),(31 23144.592),(32 23111.713),(33 23322.19),(34 23651.248),(35 23748.354),(36 23755.352),(37 23485.336),(38 23532.855),(39 23405.197),(40 23284.402),(41 22983.475),(42 22882.041),(43 22781.51),(44 22862.295),(45 22931.684),(46 22991.89),(47 22924.154),(48 22846.18),(49 22710.27),(50 23399.5),(51 23643.129),(52 23569.293),(53 23080.578),(54 22858.24),(55 22520.91),(56 22362.684),(57 22052.31),(58 22094.885),(59 22055.54),(60 21936.375),(61 21985.807),(62 22531.107),(63 23067.246),(64 23443.105),(65 23697.814),(66 23789.836),(67 23592.754),(68 23146.295),(69 23343.975),(70 23426.11),(71 23232.53),(72 22895.969),(73 22466.768),(74 22736.314),(75 22878.541),(76 23129.967),(77 23412.746),(78 23874.467),(79 24149.113),
(1 4414.1577),(2 10107.462),(3 14141.198),(4 16578.166),(5 18216.525),(6 19038.521),(7 19365.701),(8 19288.314),(9 19097.494),(10 19079.943),(11 19095.473),(12 19249.6),(13 19742.959),(14 21021.182),(15 21502.932),(16 21817.873),(17 21759.72),(18 21752.262),(19 21954.42),(20 22306.555),(21 22776.068),(22 23211.953),(23 23420.148),(24 23586.38),(25 23315.21),(26 23210.803),(27 22923.633),(28 22600.37),(29 22360.328),(30 22103.092),(31 21996.814),(32 22386.256),(33 22845.727),(34 23117.44),(35 23000.852),(36 22921.783),(37 22875.875),(38 23196.578),(39 22879.041),(40 22846.344),(41 22478.865),(42 22205.498),(43 22143.672),(44 22181.9),(45 22049.717),(46 22035.271),(47 21834.34),(48 21547.719),(49 21333.596),(50 21537.977),(51 21389.693),(52 21103.074),(53 20946.213),(54 20921.715),(55 20773.406),(56 20496.666),(57 20179.164),(58 20239.236),(59 20482.53),(60 21159.723),(61 21654.564),(62 22431.875),(63 22834.361),(64 22778.37),(65 22684.041),(66 22852.516),(67 22892.283),(68 22590.514),(69 22457.979),(70 22482.21),(71 22207.666),(72 21827.492),(73 21589.361),(74 21911.037),(75 21887.781),(76 22316.225),(77 22348.744),(78 22249.12),(79 22546.416),
(1 4490.8545),(2 10225.764),(3 14445.286),(4 17362.887),(5 19273.03),(6 20360.35),(7 20623.316),(8 20166),(9 19641.025),(10 19566.754),(11 19721.309),(12 19968.162),(13 20692.275),(14 21802.293),(15 21864.492),(16 22228.36),(17 22622.723),(18 22773.328),(19 23030.535),(20 23503.41),(21 24000.982),(22 24361.791),(23 24418.947),(24 24575.703),(25 24357.064),(26 24605.4),(27 24548.826),(28 24207.281),(29 23803.318),(30 23308.3),(31 23054.61),(32 23321.355),(33 23856.947),(34 24368.32),(35 24664.031),(36 25094.037),(37 24976.344),(38 25419.754),(39 25085.775),(40 25168.826),(41 24896.17),(42 24495.477),(43 24077.129),(44 23698.457),(45 23397.05),(46 23237.775),(47 22999.145),(48 23014.723),(49 22871.555),(50 23033.775),(51 22714.172),(52 22516.828),(53 22137.15),(54 21718.13),(55 21228.844),(56 20775.047),(57 20494.125),(58 20633.592),(59 20807.172),(60 21415.957),(61 22321.318),(62 23380.656),(63 23595.158),(64 23610.559),(65 23604.953),(66 23807.455),(67 24130.314),(68 24161.285),(69 24233.973),(70 24126.275),(71 24011.58),(72 23984.559),(73 23767.186),(74 24049.688),(75 24146.725),(76 24032.355),(77 23909.738),(78 23909.117),(79 24207.277),
(1 4296.6553),(2 9592.793),(3 13392.857),(4 15641.025),(5 17083.342),(6 17878.422),(7 18095.875),(8 17806.904),(9 17511.57),(10 17458.396),(11 17489.82),(12 17806.61),(13 18099.197),(14 18692.621),(15 19092.844),(16 19446.813),(17 19449.959),(18 19573.332),(19 20037.748),(20 20516.44),(21 20806.172),(22 20946.197),(23 20993.926),(24 21303.994),(25 21144.223),(26 21469.203),(27 21670.898),(28 21575.404),(29 21233.283),(30 21056.24),(31 21082.064),(32 21480.156),(33 21875.785),(34 22204.422),(35 22457.984),(36 22653.797),(37 22619.979),(38 22912.232),(39 22801.227),(40 23095.014),(41 22795.385),(42 22454.572),(43 22280.719),(44 21821.379),(45 21467.496),(46 21260.818),(47 21134.795),(48 21180.053),(49 21185.451),(50 21357.137),(51 21125.082),(52 20589.455),(53 20079.578),(54 19685.846),(55 19527.285),(56 19261.092),(57 19196.834),(58 19048.785),(59 19079.623),(60 19438.818),(61 19758.697),(62 20174.02),(63 20464.672),(64 20503.285),(65 20628.9),(66 20834.72),(67 20724.59),(68 20467.393),(69 20291.03),(70 20293.205),(71 20519.877),(72 20820.785),(73 21059.973),(74 21311.434),(75 21475.48),(76 21707.43),(77 21850.688),(78 21899.504),(79 22186.629),
(1 4297.0513),(2 9676.496),(3 13380.771),(4 15465.188),(5 16617.918),(6 17081.125),(7 17013.809),(8 16830.885),(9 16429.678),(10 16470.11),(11 16720.145),(12 17038.693),(13 17150.467),(14 17914.922),(15 18175.307),(16 18578.682),(17 18761.252),(18 18971.55),(19 19199.648),(20 19569.766),(21 20088.951),(22 20355.734),(23 20259.615),(24 20399.545),(25 20320.771),(26 20579.32),(27 20699.172),(28 20586.064),(29 20491.926),(30 20575.182),(31 20537.932),(32 20891.727),(33 21400.727),(34 21937.033),(35 22246.883),(36 22334.586),(37 22032.043),(38 22257.66),(39 21828.148),(40 21485.314),(41 20894.553),(42 20406.643),(43 20319.41),(44 20260.512),(45 20169.982),(46 20143.586),(47 20067.816),(48 20210.564),(49 20290.928),(50 20479.406),(51 20242.434),(52 19908.254),(53 19564.352),(54 19060.91),(55 18941.166),(56 18868.986),(57 18961.62),(58 18966.172),(59 19107.36),(60 19335.547),(61 19559.621),(62 20196.143),(63 20438.494),(64 20644.58),(65 20528.514),(66 20448.99),(67 20356.203),(68 20350.14),(69 20659.873),(70 20793.055),(71 20882.857),(72 20820.71),(73 20560.818),(74 20866.318),(75 21185.031),(76 21581.451),(77 21847.516),(78 22113.605),(79 22317.48),
(1 4138.6514),(2 9314.985),(3 13024.761),(4 15176.522),(5 16453.715),(6 16838.572),(7 16940.055),(8 16871.053),(9 16654.324),(10 16541.744),(11 16192.367),(12 16211.188),(13 16384.104),(14 16939.32),(15 17340.979),(16 17845.162),(17 18047.553),(18 18244.719),(19 18256.48),(20 18320.686),(21 18471.275),(22 18667.912),(23 18671.629),(24 18653.629),(25 18544.938),(26 18850.053),(27 18686.547),(28 18615.205),(29 18416.61),(30 18457.105),(31 18490.088),(32 18907.707),(33 19137.068),(34 19274.318),(35 19369.004),(36 19477.896),(37 19374.297),(38 19662.957),(39 19474.803),(40 19400.1),(41 19018.951),(42 18737.605),(43 18754.799),(44 18791.025),(45 18806.332),(46 18894.406),(47 18730.213),(48 18630.564),(49 18461.059),(50 18402.084),(51 18161.502),(52 17828.963),(53 17498.395),(54 17496.8),(55 17349.064),(56 17208.645),(57 17324.115),(58 17592.936),(59 17618.578),(60 17783.002),(61 18166.08),(62 18970.143),(63 19384.074),(64 19524.305),(65 19311.787),(66 19302.838),(67 19052.316),(68 19047.031),(69 19209.299),(70 19364.932),(71 19379.836),(72 19154.824),(73 18973.459),(74 19450.246),(75 19615.604),(76 19800.041),(77 19948.715),(78 19848.012),(79 19783.564),
(1 4027.71),(2 9092.385),(3 12465.024),(4 14429.971),(5 15695.626),(6 16111.885),(7 16150.152),(8 16102.098),(9 15775.866),(10 15399.395),(11 15220.243),(12 15370.075),(13 15542.143),(14 16144.251),(15 16206.579),(16 16613.75),(17 16979.473),(18 17173.322),(19 17315.596),(20 17414.24),(21 17676.732),(22 17844.729),(23 17925.414),(24 18084.822),(25 17961.025),(26 18050.19),(27 17997.02),(28 17895.727),(29 17946.113),(30 17977.043),(31 17914.836),(32 17975.1),(33 18049.932),(34 18082.965),(35 18001.385),(36 18070.328),(37 17956.02),(38 18104.45),(39 18151.646),(40 18232.395),(41 18027.78),(42 17676.809),(43 17598.322),(44 17491.006),(45 17541.512),(46 17693.424),(47 17893.957),(48 18049.072),(49 17776.977),(50 17717.748),(51 17340.717),(52 17051.822),(53 17113.756),(54 17206.26),(55 17100.096),(56 17095.414),(57 16951.426),(58 16925.342),(59 17075.559),(60 17270.354),(61 17512.361),(62 18076.186),(63 18365.758),(64 18565.773),(65 18473.244),(66 18490.363),(67 18545.96),(68 18425.13),(69 18526.268),(70 18743.664),(71 18765.287),(72 18748.121),(73 18634.572),(74 18734.646),(75 18626.473),(76 18504.682),(77 18217.023),(78 18098.014),(79 18204.637),
(1 3966.697),(2 8986.755),(3 12162.089),(4 13969.849),(5 15164.298),(6 15769.152),(7 15747.772),(8 15482.071),(9 15260.142),(10 15108.816),(11 15236.335),(12 15441.213),(13 15863.396),(14 16564.098),(15 16904.56),(16 17160.438),(17 17312.95),(18 17454.498),(19 17473.932),(20 17552.447),(21 17895.092),(22 18064.598),(23 17995.152),(24 18296.875),(25 18315.75),(26 18549.596),(27 18313.621),(28 17956.525),(29 17673.873),(30 17790.383),(31 17941.998),(32 18268.234),(33 18571.3),(34 18873.242),(35 19100.951),(36 19175.459),(37 19033.291),(38 19101.549),(39 18877.326),(40 18720.248),(41 18499.785),(42 18332.36),(43 18241.375),(44 18153.086),(45 18275.508),(46 18359.94),(47 18376.37),(48 18321.932),(49 18188.797),(50 18344.2),(51 18015.277),(52 17757.912),(53 17623.092),(54 17585.533),(55 17364.752),(56 17126.041),(57 16894.783),(58 16713.508),(59 16781.814),(60 16869.154),(61 17018.256),(62 17461.287),(63 17857.814),(64 18071.08),(65 18174.555),(66 18240.45),(67 18064.299),(68 17830.979),(69 17796.635),(70 18125.92),(71 18231.521),(72 18254.18),(73 18019.723),(74 17975.984),(75 17659.492),(76 17572.361),(77 17619.412),(78 17726.705),(79 17738.129),
