1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 109269.15),(2 383907.53),(3 812419.7),(4 1359347),(5 1970322.5),(6 2636647.8),(7 3366642),(8 4084401.8),(9 4827180.5),(10 5552880.5),(11 6342312),(12 6933332),(13 7409336.5),(14 7928782),(15 8496457),(16 9117221),(17 9865192),(18 10594368),(19 11303573),(20 12068972),(21 12849229),(22 13651521),(23 14597667),(24 15400884),(25 16023769),(26 16676320),(27 17383662),(28 17997194),(29 18559574),(30 19045262),(31 19377782),(32 19795622),(33 20242596),(34 20728566),(35 21278952),(36 21812196),(37 22297792),(38 22727438),(39 23234078),(40 23666666),(41 24222712),(42 24793254),(43 25316370),(44 25833392),(45 26323264),(46 26848570),(47 27575280),(48 28378314),(49 29296570),(50 30208170),(51 31179218),(52 32192502),(53 33184182),(54 34155270),(55 35085680),(56 35934600),(57 36866988),(58 37885370),(59 39025500),(60 40341930),(61 41670356),(62 43254480),(63 44903812),(64 46577184),(65 48260268),(66 50230892),(67 52242844),(68 54290036),(69 56427292),(70 58300244),(71 60118092),(72 61972124),(73 63496468),(74 65068396),(75 66395308),(76 67529960),(77 68770570),(78 69903350),(79 70838220),
(1 30845.898),(2 59564.4),(3 70144.69),(4 77078.21),(5 80899.69),(6 79924.234),(7 77292.03),(8 76591.41),(9 77552.41),(10 78771.15),(11 78684.8),(12 79767.41),(13 81184.12),(14 80213.45),(15 79763.04),(16 80059.62),(17 81704.54),(18 82719.234),(19 81773.81),(20 81522.66),(21 80840.17),(22 81498.57),(23 81600.47),(24 82131.08),(25 82158.22),(26 81807.86),(27 81160.06),(28 80512.31),(29 79515.12),(30 79778.08),(31 81032.88),(32 82553.07),(33 83729.25),(34 83588.5),(35 84536.32),(36 84624.234),(37 84039.92),(38 84568.445),(39 85272.164),(40 87031.836),(41 88324.7),(42 89747.18),(43 91228.11),(44 92323.41),(45 92929.555),(46 92555.055),(47 94516.99),(48 94320.96),(49 95117.305),(50 97680.97),(51 99849.1),(52 100516.48),(53 101092.64),(54 103083.95),(55 103282.01),(56 104852.71),(57 105787.74),(58 104830.9),(59 104756.55),(60 105563.97),(61 106543.46),(62 107961.78),(63 108463.65),(64 108707.9),(65 110493.43),(66 112965.67),(67 113797.86),(68 115410.945),(69 116498.89),(70 118238.78),(71 117577.69),(72 116273.016),(73 116934.77),(74 118232.35),(75 117410.4),(76 118314.516),(77 119636.02),(78 120811.36),(79 124557.08),
(1 31803.79),(2 60501.34),(3 71668.85),(4 78778.39),(5 81066.695),(6 78947.93),(7 77807.6),(8 79176.18),(9 79764.32),(10 81019.66),(11 83521.41),(12 84622.984),(13 84767.96),(14 81541.1),(15 81113.31),(16 79960.664),(17 80064.37),(18 81351.305),(19 81990.055),(20 81808.336),(21 80911.91),(22 80543.85),(23 80331.43),(24 81069.71),(25 81525.55),(26 81092.46),(27 82673.49),(28 83679.5),(29 82826.34),(30 82428.92),(31 82254.32),(32 83145.35),(33 85174.625),(34 86618.28),(35 87462.24),(36 87574.59),(37 86824.375),(38 89302.71),(39 90453.36),(40 89013.4),(41 89183.836),(42 90839.82),(43 91739.734),(44 91605.84),(45 91999.19),(46 91424.94),(47 93120.02),(48 96271.35),(49 98462.15),(50 100365.18),(51 102050.47),(52 103775.67),(53 105543.305),(54 106393.734),(55 105226.17),(56 105397.17),(57 105556.984),(58 106380.15),(59 106510.984),(60 106392.875),(61 106915),(62 107195.234),(63 108568.79),(64 109150.09),(65 110140.96),(66 112968.45),(67 116384.05),(68 118915.96),(69 120993.34),(70 122347.65),(71 123020.805),(72 123314.56),(73 122615.59),(74 122959.29),(75 124894.39),(76 125761.93),(77 128449.91),(78 130023.41),(79 131441.34),
(1 30528.668),(2 57470.223),(3 65026.664),(4 71068.09),(5 73920.22),(6 71588.72),(7 72117.89),(8 74187.39),(9 75134.92),(10 75598.17),(11 74854.01),(12 74787.66),(13 75144.586),(14 75644.62),(15 75935.01),(16 75870.14),(17 76172.61),(18 77057.445),(19 77411.42),(20 77878.375),(21 76591.13),(22 75117.03),(23 76290.484),(24 76340.04),(25 75410.125),(26 75819.26),(27 77842.56),(28 77296.42),(29 77256.94),(30 76223.055),(31 75734.49),(32 78298.69),(33 79404.77),(34 78812.95),(35 80465.48),(36 81134.195),(37 78004.1),(38 78479.36),(39 81257.57),(40 81223.695),(41 81318.914),(42 82866.195),(43 82407.625),(44 82285.39),(45 82888.6),(46 83802.586),(47 83599.77),(48 84325.53),(49 85998.5),(50 86373.09),(51 86437.445),(52 86209.67),(53 87790.08),(54 90351.68),(55 89704.24),(56 89206.51),(57 88153.734),(58 87997.93),(59 89226.586),(60 90687.52),(61 91469.7),(62 91958.36),(63 92763.17),(64 93045.48),(65 93829.484),(66 96767.14),(67 99809.28),(68 101976.07),(69 102978.33),(70 103495.16),(71 103382),(72 103722.14),(73 104071.43),(74 106149.33),(75 107620.99),(76 107882.37),(77 109425.39),(78 110578.67),(79 111271.67),
(1 31707.322),(2 58876.7),(3 67183.47),(4 72225.04),(5 73609.47),(6 71961.2),(7 70978.86),(8 71086.11),(9 71527.54),(10 72405.96),(11 72057.03),(12 72925.56),(13 72499.164),(14 72897.04),(15 75016.695),(16 74202.66),(17 73498.45),(18 73040.234),(19 74350.766),(20 76191.234),(21 74913.555),(22 73097.55),(23 73553.37),(24 73688.51),(25 72437.055),(26 71765.3),(27 73830.78),(28 74480.59),(29 73291.29),(30 72123.49),(31 73060.64),(32 75877.625),(33 76864.81),(34 77009.94),(35 78731.555),(36 77785.234),(37 76549.305),(38 78621.73),(39 80380.51),(40 78906.09),(41 81285.67),(42 81647.18),(43 81545.52),(44 82000.17),(45 82775.13),(46 83474.6),(47 83337.93),(48 84627.125),(49 86648.77),(50 87021.52),(51 88594.59),(52 89764.01),(53 90612.69),(54 90318.41),(55 89523.77),(56 89937.97),(57 92360.26),(58 92292.59),(59 93781.57),(60 94792.984),(61 94987.26),(62 94751.43),(63 94327.26),(64 93742.914),(65 94160.055),(66 96608.64),(67 99954.375),(68 102076.23),(69 104025.15),(70 103814.57),(71 105158.555),(72 104940.3),(73 104237.29),(74 105425.016),(75 106871.89),(76 106983.75),(77 107723.914),(78 111692.984),(79 113129.81),
(1 29858.012),(2 56794.047),(3 65128.402),(4 71963.47),(5 74939.305),(6 71560.2),(7 68398.766),(8 68926.2),(9 70115.11),(10 70070.336),(11 70220.07),(12 70981.766),(13 71650.02),(14 72714.836),(15 74027.95),(16 72762.06),(17 71861.734),(18 72366.16),(19 73175.35),(20 73456.49),(21 72048.89),(22 72161.91),(23 74043.43),(24 75234.45),(25 72745.086),(26 71226.37),(27 71802.836),(28 71370.555),(29 71179.055),(30 70559.945),(31 71862.34),(32 73734.74),(33 74420.21),(34 74946.234),(35 76342.52),(36 76326.32),(37 74596.625),(38 75416.766),(39 76602.99),(40 75438.055),(41 76274.05),(42 76682.11),(43 76861.086),(44 77538.414),(45 79630.26),(46 80742.375),(47 79700.11),(48 80738.13),(49 83171.266),(50 85235.266),(51 87456.28),(52 87546.35),(53 86151.7),(54 84221.52),(55 83547.086),(56 83590.266),(57 84863.79),(58 85368.375),(59 86642.3),(60 87711.27),(61 89863.63),(62 91017.2),(63 91970.234),(64 91512.45),(65 93247.36),(66 94720.984),(67 95874.23),(68 96207.49),(69 97286.22),(70 95824.26),(71 97295.625),(72 97064.44),(73 98507.88),(74 100944.32),(75 101722.6),(76 103125.98),(77 105915.24),(78 107821.625),(79 108659.36),
(1 29473.805),(2 54279.46),(3 63827.94),(4 70809.83),(5 72120.14),(6 68699.17),(7 66536.99),(8 67926.8),(9 69816.71),(10 68441.39),(11 67655.01),(12 68910.234),(13 69626.05),(14 71115.32),(15 71541.63),(16 70739.414),(17 72428.56),(18 72113.81),(19 70675.555),(20 70245.77),(21 70120.25),(22 70124.875),(23 70965.2),(24 70907.61),(25 69718.64),(26 68588.25),(27 67995.08),(28 69119.78),(29 67401.36),(30 67519.82),(31 69188.98),(32 69728.03),(33 71806.46),(34 74572.99),(35 74690.305),(36 74682.27),(37 73954.49),(38 73141.39),(39 73922.664),(40 73689.49),(41 72917.695),(42 74231.336),(43 75601.85),(44 75713.03),(45 77109.23),(46 78860.086),(47 80309.71),(48 82057.52),(49 82043.91),(50 84020.266),(51 87156.055),(52 87988.484),(53 86826.83),(54 86633.8),(55 87142.99),(56 87261.42),(57 88230),(58 88414.164),(59 88559.54),(60 89117.86),(61 89360.414),(62 89609.734),(63 91454.58),(64 92661.23),(65 93520.15),(66 95124.07),(67 98592.875),(68 98615.91),(69 98745.05),(70 99859.125),(71 101936.19),(72 101276.945),(73 101021.58),(74 102439.195),(75 103185.58),(76 103919.22),(77 106729.44),(78 109731.95),(79 110222.42),
(1 29164.44),(2 52762.22),(3 62674.805),(4 67939.91),(5 68469.52),(6 67425.78),(7 67106.83),(8 67319.305),(9 67249.41),(10 67288.695),(11 66071.75),(12 65639.8),(13 65563.875),(14 67628.1),(15 69517.52),(16 68742.85),(17 69428.2),(18 68016.97),(19 65451.207),(20 65904.29),(21 66614.82),(22 67315.93),(23 67519.96),(24 68774.22),(25 69060.64),(26 67061.77),(27 65884.77),(28 66452.01),(29 66659.55),(30 67676.695),(31 68299.33),(32 69882.445),(33 72585.75),(34 72534.39),(35 73314.36),(36 73333.39),(37 72273.36),(38 71956.15),(39 72474.22),(40 73086.28),(41 73270.48),(42 73433.73),(43 72951.516),(44 74608.945),(45 76295.06),(46 75721.71),(47 76017.53),(48 78752.9),(49 78944.74),(50 78673.414),(51 80884.74),(52 82238.61),(53 82724.12),(54 81745.83),(55 81705.75),(56 82751.44),(57 85022.55),(58 84302.91),(59 83972.234),(60 85301.84),(61 86413.58),(62 85819.33),(63 85953.06),(64 85899.414),(65 86732.195),(66 87562.56),(67 89137.625),(68 90529.62),(69 91643.32),(70 92552.16),(71 93415.945),(72 91793.336),(73 92738.22),(74 94909.97),(75 95449.67),(76 96112.88),(77 95205.92),(78 96217.44),(79 98677.586),
(1 27767.24),(2 49960.652),(3 59052.387),(4 64449.492),(5 65392.063),(6 63600.813),(7 62634.55),(8 61920.723),(9 61142.355),(10 61666.223),(11 62709.586),(12 63256.625),(13 63114.4),(14 64480.918),(15 64815.004),(16 63993.637),(17 64479.91),(18 65777.15),(19 66231.78),(20 64831.293),(21 63044.465),(22 64481.703),(23 66063.57),(24 66663.58),(25 65727.26),(26 64733.902),(27 65406.867),(28 65969.05),(29 65784.7),(30 67075.766),(31 66151.125),(32 66184.3),(33 68438.35),(34 70379.445),(35 70405.69),(36 71072.98),(37 70774.65),(38 70730.33),(39 71665.38),(40 71368.73),(41 70567.39),(42 68856),(43 68832.44),(44 70568.46),(45 71392.125),(46 71819.445),(47 73559.555),(48 74727.42),(49 74718.02),(50 75009.445),(51 76148.76),(52 77129.01),(53 77731.17),(54 77395.76),(55 76624.79),(56 78188.03),(57 79866.29),(58 79203.125),(59 79204.21),(60 81957.234),(61 81768.72),(62 81411.5),(63 80988.805),(64 81823.81),(65 83277.555),(66 85806.75),(67 87034.695),(68 87373.65),(69 88206.03),(70 88120.8),(71 88355.8),(72 89462.03),(73 92043.69),(74 92979.18),(75 93246.85),(76 93492.35),(77 94588.82),(78 94471.914),(79 96217.086),
(1 27492.006),(2 48605.99),(3 56806.965),(4 61981.953),(5 62161.895),(6 60557.168),(7 60228.977),(8 60504.844),(9 60499.707),(10 60015.617),(11 60565.438),(12 61088.953),(13 62089.953),(14 65031.637),(15 64597.563),(16 62601.22),(17 63750.258),(18 65888.516),(19 65308.08),(20 64726.848),(21 65473.99),(22 65243.652),(23 64041.484),(24 64301.785),(25 63882.387),(26 63445.258),(27 63406.54),(28 63548.215),(29 63398.246),(30 64195.215),(31 63654.92),(32 64229.727),(33 64849.37),(34 64362.36),(35 63413.82),(36 64986.99),(37 66943.766),(38 68168.91),(39 68687.29),(40 69668.414),(41 68821.07),(42 68009.63),(43 67596.65),(44 68900.19),(45 69184.46),(46 69358.164),(47 71250.14),(48 72215.39),(49 73821.945),(50 74747.2),(51 75637.37),(52 75724.74),(53 75271.336),(54 74657.68),(55 76082.84),(56 77534.9),(57 79146.97),(58 80426.516),(59 82166.36),(60 82153.13),(61 81546),(62 81155.58),(63 82087.46),(64 82550.086),(65 83779.45),(66 85178.766),(67 85299.234),(68 85294.2),(69 85688.086),(70 85303.33),(71 85712.05),(72 87388.87),(73 90246.31),(74 90553.33),(75 89838.35),(76 91222.35),(77 92271.36),(78 93348.1),(79 95726.97),
(1 26261.135),(2 46218.617),(3 54336.184),(4 58540.52),(5 60154.24),(6 58351.43),(7 57476.848),(8 59281.938),(9 60512.418),(10 58907.34),(11 58545.418),(12 59070.152),(13 60261.082),(14 61864.883),(15 61998.516),(16 60141.34),(17 60777.84),(18 62141.336),(19 62462.848),(20 61710.19),(21 62810.7),(22 62750.484),(23 62335.18),(24 62552.33),(25 61764.965),(26 61343.66),(27 61796.67),(28 62806.934),(29 62981.945),(30 62663.14),(31 61846.055),(32 62919.47),(33 63928.33),(34 63393.555),(35 63537.465),(36 64171.465),(37 65024.016),(38 65924.05),(39 66799.875),(40 66670.984),(41 66553.01),(42 66374.2),(43 66971.44),(44 68012.17),(45 68835.68),(46 69397.266),(47 69195.68),(48 69045.48),(49 69343.164),(50 70641.6),(51 71797.93),(52 72268.766),(53 73081.86),(54 73887.67),(55 74511.08),(56 75232.695),(57 75187.13),(58 75725.51),(59 76313.805),(60 75615.36),(61 77149.83),(62 78377.8),(63 79065.82),(64 79464.63),(65 78854.59),(66 80027.766),(67 81067.26),(68 82054.49),(69 81989.734),(70 81843.78),(71 83098.55),(72 83995.664),(73 84648.39),(74 84369.695),(75 84168.65),(76 85429.9),(77 87541.93),(78 90666.61),(79 91775.734),
(1 25465.764),(2 45818.09),(3 54163.137),(4 57409.832),(5 57411.344),(6 54795.645),(7 54120.652),(8 55242.48),(9 56938.16),(10 57989.656),(11 59365.832),(12 59437.004),(13 58722.086),(14 59473.742),(15 60480.535),(16 61053.02),(17 61797.79),(18 62091.4),(19 62468.36),(20 63802.324),(21 64129.81),(22 63279.625),(23 63433.24),(24 62246.234),(25 60605.64),(26 59468.063),(27 59169.504),(28 61549.727),(29 61970.598),(30 62583.652),(31 62829.836),(32 63247.047),(33 63723.047),(34 63851.957),(35 63663.383),(36 63859.99),(37 63707.684),(38 64631.15),(39 64350.73),(40 64084.848),(41 63375.88),(42 64146.434),(43 66241.26),(44 67988.27),(45 68152.5),(46 68036.84),(47 68546.2),(48 68612.38),(49 69706.09),(50 70796.484),(51 71634.68),(52 72426.96),(53 72167.45),(54 71915.58),(55 72389.98),(56 74468.56),(57 74725.4),(58 74925.336),(59 75574.7),(60 77542.13),(61 78434.63),(62 78173.945),(63 78244.29),(64 78942.13),(65 80120.03),(66 81703.08),(67 82741.2),(68 82813.76),(69 83403.41),(70 83928.17),(71 84903.53),(72 86264.516),(73 85316.44),(74 84612.11),(75 85779.625),(76 85388.02),(77 87014.766),(78 89116.445),(79 88972.6),
(1 24205.107),(2 42679.63),(3 51195.887),(4 54790.668),(5 54921.605),(6 52550.176),(7 51791.223),(8 52340.727),(9 52242.58),(10 53843.098),(11 56425.88),(12 57007.508),(13 55894.723),(14 55987.836),(15 55970.914),(16 57209.996),(17 58404.832),(18 59064.75),(19 59756.086),(20 61446),(21 61292.03),(22 59282.414),(23 58908.297),(24 58241.86),(25 57695.45),(26 58462.355),(27 58621.94),(28 59733.73),(29 59596.477),(30 59293.41),(31 59434.023),(32 59903.633),(33 61601.7),(34 62812.07),(35 62018.824),(36 61981.234),(37 63445.6),(38 63289.133),(39 62443.113),(40 61724.027),(41 61558.93),(42 61926.918),(43 64006.113),(44 63907.7),(45 64873.523),(46 65759.984),(47 66170.77),(48 67051.81),(49 68482.67),(50 68669.48),(51 68907.016),(52 69318.39),(53 69107.9),(54 69548.38),(55 70074),(56 70586.516),(57 69992.21),(58 71183.95),(59 73509.92),(60 75661.39),(61 75448.93),(62 75859.21),(63 76981.35),(64 77393.625),(65 77587.99),(66 77329.35),(67 77859.945),(68 79241.14),(69 79397.78),(70 80260.88),(71 80626.7),(72 82283.22),(73 82371.72),(74 82732.516),(75 83185.92),(76 83384.18),(77 84210.35),(78 84191.91),(79 84897.68),
(1 25054.236),(2 44315.668),(3 53104.383),(4 56194.598),(5 54879.984),(6 52360.813),(7 52259.53),(8 53992),(9 54560.324),(10 55026.934),(11 56426.484),(12 55944.164),(13 56545.543),(14 56436.383),(15 55372.406),(16 56242.53),(17 57333.2),(18 57649.676),(19 58504.03),(20 59304.99),(21 59415.734),(22 58105.824),(23 58031.176),(24 57997.73),(25 57489.313),(26 59004.94),(27 58757.164),(28 58210.633),(29 59130.758),(30 59583.176),(31 59978.984),(32 60392.973),(33 61211.727),(34 62887.94),(35 62682.73),(36 63165.598),(37 63363.395),(38 63174.402),(39 63090.56),(40 63325.594),(41 63539.35),(42 64324.445),(43 65415.348),(44 66535.94),(45 67351.74),(46 67752),(47 67932.6),(48 69012.88),(49 69807.21),(50 70001.94),(51 70600.195),(52 71876.234),(53 71005.55),(54 71284.805),(55 70755.445),(56 70832.17),(57 70852.51),(58 69986.03),(59 70990.766),(60 71862.12),(61 72756.83),(62 72156.74),(63 73214.66),(64 76085.23),(65 76902.586),(66 77106.586),(67 76179.69),(68 76464.375),(69 76800.055),(70 77279.05),(71 78303.99),(72 78217.05),(73 76501.305),(74 76745.65),(75 78091.72),(76 79099.266),(77 80224.45),(78 80467.414),(79 80387.95),
(1 24612.76),(2 43401.094),(3 50928.453),(4 52479),(5 51203.168),(6 48995.918),(7 49196.766),(8 50774.383),(9 51135.44),(10 50996),(11 51776.93),(12 53009.652),(13 53502.184),(14 53257.89),(15 53284.887),(16 53860.49),(17 54863.6),(18 54537.914),(19 54214.074),(20 53639.355),(21 54130.832),(22 53084.55),(23 53680.395),(24 54207.35),(25 53474.58),(26 52998.39),(27 53022.664),(28 52771.348),(29 53060.098),(30 52812.41),(31 52605.055),(32 53335.957),(33 54739.93),(34 55093.46),(35 54686.72),(36 54648.496),(37 55522.47),(38 56396.06),(39 57807.023),(40 57929.836),(41 57121.76),(42 58565.082),(43 59459.9),(44 59526.406),(45 61694.137),(46 61462.043),(47 62064.4),(48 62562.258),(49 61683.836),(50 63034.35),(51 64600.906),(52 65039.145),(53 65133.934),(54 65563.69),(55 64978.863),(56 64607.434),(57 65318.355),(58 65503.28),(59 66774.65),(60 68341.87),(61 68447.414),(62 67858.45),(63 69371.47),(64 70262.48),(65 70704.22),(66 71714.38),(67 72438.95),(68 71252.38),(69 71507.875),(70 71705.94),(71 72478.086),(72 72992.625),(73 72578.78),(74 72554.26),(75 73258.81),(76 74151.56),(77 74328.125),(78 75390.375),(79 76443.25),
(1 23269.852),(2 40678.258),(3 47766.113),(4 49891.695),(5 49421.74),(6 47622.676),(7 47278.78),(8 48561.51),(9 49678.22),(10 49517.504),(11 49996.6),(12 49572.402),(13 49760.57),(14 50283.742),(15 50340.504),(16 51729.33),(17 51435.016),(18 51179.098),(19 52680.773),(20 52337.266),(21 52460.203),(22 51284.266),(23 50078.367),(24 50185.906),(25 50714.48),(26 51409.324),(27 51574.785),(28 51176.17),(29 51641.695),(30 52232.75),(31 53712.402),(32 54326.273),(33 54266.88),(34 54309.152),(35 54134.984),(36 53839.164),(37 54458.566),(38 55717.6),(39 55339.01),(40 54402.645),(41 55080.33),(42 56217.066),(43 56665.26),(44 57930.293),(45 59316.797),(46 58608.74),(47 59123.2),(48 59778.605),(49 59809.676),(50 60552.29),(51 61280.99),(52 62741.49),(53 63534.773),(54 63578.836),(55 62979.465),(56 63785.027),(57 65360.063),(58 67228.31),(59 67351.04),(60 67474.68),(61 67101.125),(62 66153.516),(63 65885.2),(64 66602.7),(65 68473.59),(66 70273.28),(67 69999.836),(68 69200.836),(69 69369.46),(70 70925.34),(71 71093.11),(72 71095.93),(73 71232.62),(74 71578.34),(75 73544.44),(76 74514.52),(77 75926.3),(78 76989.29),(79 77679.66),
(1 23125.781),(2 39228.26),(3 45292.797),(4 46869.035),(5 46179.13),(6 45990.348),(7 46247.438),(8 45560.535),(9 45686.95),(10 46695.043),(11 46721.375),(12 46235.45),(13 47769.984),(14 48853.297),(15 48876.254),(16 49020.688),(17 48423.26),(18 48294.844),(19 48833.62),(20 48874.03),(21 49680.2),(22 49762.938),(23 49543.254),(24 49482.504),(25 49924.08),(26 50369.67),(27 49556.027),(28 49791.887),(29 50044.348),(30 50144.62),(31 50025.688),(32 49567.27),(33 50275.168),(34 50635.58),(35 50776.74),(36 52014.855),(37 52433.902),(38 52867.934),(39 52845.61),(40 52454.285),(41 52130.855),(42 51853.598),(43 53601.457),(44 54516.594),(45 54992.543),(46 54934.145),(47 55768.637),(48 55935.418),(49 56654.293),(50 58736.73),(51 58956.816),(52 59000.395),(53 59819.656),(54 59664.145),(55 59005.48),(56 59264.48),(57 59111.875),(58 60039.75),(59 60831.926),(60 62356.574),(61 62382.313),(62 61933.22),(63 62462.324),(64 62048.7),(65 62035.047),(66 63402.03),(67 64311.547),(68 64266.51),(69 64694.766),(70 65611.47),(71 66898.65),(72 66479.77),(73 66788.9),(74 67972.03),(75 69357.57),(76 69670.83),(77 70682.914),(78 71382.97),(79 71768.914),
(1 22644.627),(2 38905.836),(3 45559.617),(4 48351.152),(5 47115.184),(6 44861.535),(7 44513.547),(8 45238.03),(9 45763.746),(10 47161.535),(11 47643.793),(12 47600.676),(13 48631.99),(14 48513.086),(15 47709.332),(16 48464.61),(17 48002.848),(18 49058.08),(19 50278.64),(20 50350.176),(21 50087.152),(22 49890.855),(23 49573.438),(24 47945.08),(25 47603.21),(26 48975.89),(27 49272.195),(28 49384.625),(29 49662.19),(30 49247.625),(31 49069.137),(32 49143.016),(33 50355.55),(34 50762.938),(35 51242.742),(36 51120.867),(37 50179.72),(38 51047.965),(39 51315.883),(40 51807.957),(41 51965.7),(42 52442.25),(43 53315.27),(44 53221.777),(45 54064.168),(46 54491.79),(47 54348.87),(48 55250.79),(49 55760.52),(50 57212.766),(51 57618.97),(52 58386.957),(53 58481.016),(54 58454.035),(55 58339.258),(56 59776.848),(57 61146.453),(58 62307.152),(59 63589.33),(60 64368.8),(61 63605.832),(62 62520.332),(63 62899.164),(64 64296.777),(65 64930.617),(66 65319.055),(67 65571.8),(68 65423.31),(69 64847.49),(70 65903.09),(71 67836.95),(72 67909.52),(73 67616.27),(74 69009.414),(75 70977.09),(76 71228.74),(77 72240.59),(78 73210.6),(79 73405.38),
(1 22957.393),(2 39118.266),(3 44255.68),(4 46230.51),(5 46982.266),(6 44200.117),(7 43647.234),(8 44206.23),(9 44838.34),(10 46437.2),(11 47306.074),(12 44985.35),(13 45416.97),(14 45975.637),(15 46560.715),(16 46451.402),(17 46567.285),(18 47654.03),(19 47900.31),(20 48517.715),(21 48033.453),(22 47846.605),(23 47670.45),(24 46720.96),(25 46894.633),(26 48330.85),(27 47692.188),(28 47590.43),(29 48395.605),(30 48497.61),(31 49697.2),(32 49534.418),(33 49873.57),(34 49536.535),(35 50259.36),(36 49844.336),(37 49248.223),(38 49415.94),(39 49901.16),(40 51093.52),(41 51760.81),(42 52471.04),(43 52805.402),(44 52492.04),(45 53092.914),(46 53149.914),(47 53592.082),(48 54788.258),(49 55416.758),(50 57326.305),(51 57983.477),(52 56219.35),(53 56445.16),(54 56266.85),(55 55992.75),(56 56446.59),(57 57148.61),(58 57624.31),(59 58692.785),(60 59490.29),(61 59917.33),(62 59380.555),(63 59898.535),(64 61296.367),(65 61565.496),(66 61010.04),(67 60907.65),(68 61890.836),(69 61857.75),(70 63325.363),(71 64937.305),(72 64740.813),(73 63921.785),(74 65291.12),(75 66661.65),(76 66782.37),(77 68097.24),(78 68866.164),(79 68275.7),
