1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7909.2114),(2 20527.213),(3 39130.13),(4 62116.36),(5 87540.055),(6 115370.9),(7 148986.83),(8 185861.94),(9 228245.55),(10 276815.1),(11 325604.03),(12 371965.34),(13 418002.84),(14 459576.1),(15 495676.47),(16 530067.3),(17 561220.3),(18 583804),(19 605025.75),(20 625412.44),(21 640787.25),(22 652462.56),(23 663093.7),(24 672161.25),(25 684614.5),(26 689317.25),(27 691507.6),(28 699666.3),(29 703005.7),(30 700025.3),(31 706861.7),(32 711982.7),(33 721254.7),(34 730017.7),(35 745534.06),(36 774052.56),(37 812170.8),(38 869063.06),(39 964604.75),(40 1043562.3),(41 1124872.1),(42 1201518.5),(43 1276932.3),(44 1346708.9),(45 1411937.5),(46 1484603.6),(47 1558814.1),(48 1624216),(49 1690280.5),(50 1738061.6),(51 1794267.9),(52 1841576.6),(53 1891714),(54 1940262.4),(55 1989263.6),(56 2019832.4),(57 2056735.1),(58 2069761.6),(59 2091058.5),(60 2092029.6),(61 2090801.5),(62 2080034.9),(63 2077039.6),(64 2069189.4),(65 2070851.4),(66 2063083),(67 2067134.6),(68 2067016),(69 2070673.6),(70 2064389),(71 2070386.6),(72 2078864.4),(73 2105065.5),(74 2142463.8),(75 2199634.8),(76 2245882.8),(77 2294447.5),(78 2342954.3),(79 2403597.8),
(1 2654.8367),(2 6465.5693),(3 9932.069),(4 12939.738),(5 15833.624),(6 18229.617),(7 20890.791),(8 23637.791),(9 26071.443),(10 28675.65),(11 30976.8),(12 33381.26),(13 35768.406),(14 37824.477),(15 39815.27),(16 41605.703),(17 43542.164),(18 45008.727),(19 46206.395),(20 47392.984),(21 48447.465),(22 49389.344),(23 50299.137),(24 51303.992),(25 52232.793),(26 53101.875),(27 53899.773),(28 54718.855),(29 55248.3),(30 55700.063),(31 56053.426),(32 56654.88),(33 57618.453),(34 58356.863),(35 59542.047),(36 60470.547),(37 61181.324),(38 62214.574),(39 63008),(40 64406.977),(41 65000.438),(42 65765.05),(43 66216.805),(44 66453.945),(45 67061.734),(46 67753.75),(47 67958.43),(48 68320.61),(49 68361.57),(50 68840.11),(51 69355.07),(52 70113.336),(53 71048.21),(54 71773.836),(55 72430.57),(56 72936.43),(57 73126.91),(58 74007.71),(59 74449.766),(60 75261.29),(61 75112.72),(62 75442.81),(63 75630.35),(64 75092.57),(65 74238.11),(66 73119.086),(67 72180.39),(68 71392.055),(69 70186.6),(70 68897.016),(71 68022.984),(72 67088.51),(73 65952.945),(74 64855.445),(75 63942.945),(76 63168.797),(77 62530.555),(78 62040.16),(79 62044.863),
(1 2585.0525),(2 6273.2256),(3 9567.815),(4 12335.86),(5 14954.533),(6 16945.146),(7 19090.988),(8 21366.701),(9 23278.977),(10 25364.3),(11 27295.576),(12 29322.922),(13 31434.904),(14 33412.195),(15 35411.152),(16 37043.258),(17 38862.816),(18 40261.285),(19 41603.09),(20 42837.36),(21 43891.37),(22 44770.934),(23 45752.773),(24 46506.684),(25 47035.02),(26 47511.582),(27 48196.07),(28 49075.625),(29 49510.387),(30 50154.504),(31 50804.35),(32 51723.63),(33 53040.598),(34 53864.336),(35 55265.875),(36 55892.836),(37 56908.293),(38 58312.758),(39 59182.516),(40 60165.742),(41 60881.563),(42 61637.305),(43 62349.72),(44 62835.406),(45 63189.926),(46 63255.26),(47 63192.426),(48 63496.74),(49 63322.406),(50 63343.605),(51 63254.004),(52 63498.438),(53 64013),(54 64549.727),(55 65248.117),(56 65936.8),(57 66832.73),(58 67820.53),(59 68252.75),(60 69107.56),(61 69282.99),(62 69527.63),(63 69240.47),(64 68180.15),(65 67002.984),(66 65659.33),(67 64553.793),(68 63613.82),(69 62343.953),(70 61220.51),(71 60182.777),(72 59391.97),(73 58584.715),(74 57790.227),(75 57117.336),(76 56756.31),(77 56551.387),(78 56871.914),(79 56960.43),
(1 2545.2078),(2 6199.128),(3 9425.626),(4 12269.162),(5 14989.227),(6 17042.928),(7 19309.043),(8 21497.379),(9 23189.086),(10 25229.953),(11 27368.809),(12 29598.832),(13 32002.152),(14 34135.89),(15 36296.016),(16 38194.266),(17 40155.53),(18 41682.125),(19 43150.344),(20 44449.863),(21 45565.145),(22 46835.527),(23 48159.813),(24 49178.03),(25 50027.758),(26 50807.01),(27 51431.85),(28 52345.9),(29 53171.527),(30 54083.03),(31 54758.6),(32 55429.96),(33 56163.504),(34 56595.24),(35 57960.918),(36 58608.68),(37 59530.42),(38 60728.883),(39 61361.87),(40 62083.79),(41 62614.11),(42 63568.336),(43 64038.25),(44 64219.62),(45 64386.25),(46 64460.664),(47 64596.438),(48 64936.492),(49 64655.582),(50 64268.83),(51 63943.65),(52 64162.184),(53 64806.223),(54 65549.67),(55 66523.06),(56 67697.52),(57 68965.59),(58 70170.94),(59 70957.84),(60 72314.54),(61 72757.41),(62 73322.516),(63 73248.01),(64 72432.14),(65 71253.805),(66 69960.54),(67 68744.18),(68 67576.38),(69 66215.35),(70 64809.41),(71 63578.93),(72 62552.863),(73 61199.09),(74 59801.656),(75 58408.98),(76 57182.156),(77 56129.902),(78 55203.582),(79 55123.242),
(1 2509.3691),(2 6095.9517),(3 9276.694),(4 11958.031),(5 14339.667),(6 16254.0625),(7 18419.297),(8 20624.328),(9 22512.771),(10 24409.207),(11 26257.695),(12 28371.277),(13 30344.682),(14 32129.271),(15 34056.684),(16 35663.25),(17 37295.83),(18 38467.9),(19 39641.71),(20 40798.61),(21 41854.59),(22 42703.76),(23 43490.234),(24 44178.59),(25 44947.383),(26 45610.613),(27 46368.07),(28 46882.2),(29 47410.8),(30 48015.082),(31 48643.11),(32 49391.855),(33 50430.47),(34 51255.633),(35 52391.426),(36 53067.633),(37 53903.773),(38 54913.06),(39 55573.105),(40 56214.29),(41 56987.15),(42 57516.742),(43 57629),(44 57547.418),(45 57510.492),(46 57471.57),(47 57430.875),(48 57662.21),(49 57740.15),(50 58023.7),(51 58527.547),(52 59202.836),(53 60143.64),(54 60870.797),(55 61652.727),(56 62299.56),(57 62578.996),(58 63276.074),(59 63546.867),(60 64264.074),(61 64479.137),(62 64413.74),(63 64162.9),(64 63144.34),(65 62047.047),(66 60820.656),(67 59832.59),(68 58751.31),(69 57566.39),(70 56626.66),(71 55548.965),(72 54402.35),(73 53176.344),(74 52056.266),(75 50996.06),(76 50218.97),(77 49473.684),(78 49066.44),(79 48920.46),
(1 2527.631),(2 6106.964),(3 9190.069),(4 12124.346),(5 14857.654),(6 17164.451),(7 19779.928),(8 22403.361),(9 24628.541),(10 26891.729),(11 29063.67),(12 31421.81),(13 33720.15),(14 35852.746),(15 38167.703),(16 40198.418),(17 42195.723),(18 43477.46),(19 44889.688),(20 46111.426),(21 47303.3),(22 48468.582),(23 49489.098),(24 50368.652),(25 51135.7),(26 51637.523),(27 52140.996),(28 52470.98),(29 52682.32),(30 52667.29),(31 52870.27),(32 53428.605),(33 54145.816),(34 54655.68),(35 55839.484),(36 56998.344),(37 58072.16),(38 59170.2),(39 59857.918),(40 60854.71),(41 61527.938),(42 62118.773),(43 62655.11),(44 62754.066),(45 62933.27),(46 63007.613),(47 63016.32),(48 63089),(49 62898.8),(50 62981),(51 63350.383),(52 63849.47),(53 64589.188),(54 65246.71),(55 66074.68),(56 66927.38),(57 67517.805),(58 68176.945),(59 68523.58),(60 69305.49),(61 68963.63),(62 68824.11),(63 68482.875),(64 67306.59),(65 66343.35),(66 65271.805),(67 63965.633),(68 62656.344),(69 60964.066),(70 59443.098),(71 58050.32),(72 56740.39),(73 55468.57),(74 54505.59),(75 53519.773),(76 52959.063),(77 52429.945),(78 52138.723),(79 52208.707),
(1 2531.899),(2 6058.8984),(3 8909.011),(4 11468.386),(5 13956.272),(6 15952.301),(7 18147.436),(8 20317.37),(9 21904.855),(10 23599.945),(11 25291.615),(12 27312.898),(13 29311.904),(14 31152.246),(15 33158.79),(16 34726.363),(17 36318.863),(18 37648.277),(19 38885.543),(20 40189.2),(21 41422.203),(22 42534.543),(23 43584.117),(24 44487.73),(25 45362.76),(26 46177.543),(27 46835.832),(28 47448.984),(29 47985.773),(30 48683.004),(31 49666.918),(32 50659.17),(33 51525.754),(34 52179.87),(35 53240.453),(36 53977.504),(37 54730.113),(38 55695.902),(39 56363.016),(40 57173.75),(41 57734.867),(42 58349.85),(43 58717.91),(44 58503.99),(45 58121.098),(46 57790.41),(47 57508.6),(48 57449.71),(49 57353.43),(50 57695.33),(51 58277.215),(52 58755.402),(53 59221.215),(54 59238.074),(55 59678.42),(56 60448.53),(57 61043),(58 61281.207),(59 61479.87),(60 61781.832),(61 61465.844),(62 61228.457),(63 60809.863),(64 59956.63),(65 59239.742),(66 58175.39),(67 56909.523),(68 55668.414),(69 54359.598),(70 53363.35),(71 52409.59),(72 51190.703),(73 49801.32),(74 48367.984),(75 47403.504),(76 46690.26),(77 46265.68),(78 45909.902),(79 45887.37),
(1 2465.1526),(2 5901.5503),(3 8748.561),(4 11229.424),(5 13743.105),(6 15840.533),(7 17940.84),(8 19803.514),(9 21422.41),(10 23240.162),(11 25241.65),(12 27218.89),(13 29134.063),(14 30893.736),(15 32573.055),(16 34161.586),(17 35752.83),(18 36934.887),(19 37924.547),(20 38848.94),(21 39807.25),(22 40796.7),(23 41669.93),(24 42339.77),(25 42841.355),(26 43245.395),(27 43581.066),(28 44035.035),(29 44563.25),(30 44966.883),(31 45548.78),(32 46284.723),(33 47214.883),(34 47819.605),(35 49199.08),(36 50171.1),(37 51141.04),(38 52602.266),(39 53364.004),(40 54589.49),(41 55530.96),(42 55973.336),(43 55812.215),(44 55546.395),(45 55152.49),(46 54978.26),(47 54754.934),(48 54775.094),(49 54453.254),(50 54473.094),(51 54516.707),(52 54505.418),(53 55071.83),(54 55448.625),(55 56282.445),(56 57442.426),(57 58370.152),(58 58986.03),(59 59469.203),(60 60409.285),(61 60420.523),(62 60153.44),(63 59796.234),(64 58867.82),(65 58098.11),(66 57318.86),(67 56409.45),(68 55504.867),(69 54436.457),(70 53502.457),(71 52471.934),(72 51308.7),(73 50180.844),(74 49523.46),(75 49085.336),(76 48913.605),(77 48454.69),(78 47860.848),(79 47430.97),
(1 2408.2957),(2 5816.1245),(3 8639.254),(4 10965.564),(5 13325.696),(6 15183.29),(7 17173.01),(8 18904.307),(9 20433.467),(10 22169.537),(11 24087.56),(12 26156.146),(13 28210.584),(14 29949.252),(15 31562.768),(16 33021),(17 34629.668),(18 35865.836),(19 37222.88),(20 38506.27),(21 39781.12),(22 41061.57),(23 42213.45),(24 43158.832),(25 44075.223),(26 44683.516),(27 45254.2),(28 45829.66),(29 46275.13),(30 46734.84),(31 47258.008),(32 47626.617),(33 48308.6),(34 48877.9),(35 49644.883),(36 50145.52),(37 50810.63),(38 51812.008),(39 52499.656),(40 53444.758),(41 54116.92),(42 54545.06),(43 54633.605),(44 54661.15),(45 54732.61),(46 54438.58),(47 54154.867),(48 54517.684),(49 54477.207),(50 55161.6),(51 55890.38),(52 56671.65),(53 57623.86),(54 58402.69),(55 59449.344),(56 60261.12),(57 60953.734),(58 61449.215),(59 61748.168),(60 62280.36),(61 62383.652),(62 62342.78),(63 62147.734),(64 61605.746),(65 60954.75),(66 59987.477),(67 58742.117),(68 57694.656),(69 56439.918),(70 55485.996),(71 54499.75),(72 53244.535),(73 51810.055),(74 50640.418),(75 49836.875),(76 48938.496),(77 47837.277),(78 46638.55),(79 46010.184),
(1 2388.1482),(2 5702.806),(3 8455.569),(4 10709.248),(5 12913.242),(6 14629.282),(7 16514.268),(8 18057.93),(9 19380.81),(10 21105.12),(11 23003.545),(12 24976.268),(13 26917.963),(14 28559.465),(15 30167.227),(16 31590.516),(17 33219.355),(18 34427.598),(19 35636.574),(20 36875.62),(21 37908.61),(22 39024.02),(23 40128.465),(24 40838.54),(25 41713.36),(26 42533.492),(27 43567.594),(28 44357.18),(29 44944.254),(30 45735.832),(31 46547.47),(32 47289.19),(33 48269.918),(34 49086.58),(35 50177.703),(36 50977.855),(37 51629.68),(38 52574.785),(39 53620.625),(40 54981.773),(41 55800.902),(42 56504.47),(43 56737.855),(44 57144.66),(45 57432.008),(46 57743.035),(47 57747.32),(48 57802.11),(49 57669.184),(50 58030.1),(51 58312.13),(52 58694.766),(53 59253.19),(54 59348.656),(55 59575.97),(56 59803.875),(57 59978.977),(58 60065.05),(59 60027.137),(60 60609.367),(61 60975.49),(62 61025.57),(63 60729.35),(64 60081.355),(65 59347.66),(66 58284.73),(67 57277.195),(68 56137.535),(69 54544.426),(70 53223.25),(71 51900.793),(72 50786.3),(73 49600.992),(74 48618.84),(75 47927.08),(76 47524.32),(77 47057.727),(78 46506.72),(79 46556.97),
(1 2455.97),(2 5910.9814),(3 8786.954),(4 11261.831),(5 13670.212),(6 15687.814),(7 17871.072),(8 19752.383),(9 21254.06),(10 23223.316),(11 25280.602),(12 27342.127),(13 29409.262),(14 31187.13),(15 32843.074),(16 34459.035),(17 35968.906),(18 37024.56),(19 38106.09),(20 39115.57),(21 40087.31),(22 41067.523),(23 42011.496),(24 42710.074),(25 43368.89),(26 43843.086),(27 44475.035),(28 45403.605),(29 46047.008),(30 46809.547),(31 47584.77),(32 48260.7),(33 49067.24),(34 49556.406),(35 50344.133),(36 50678.906),(37 51091.008),(38 51959.086),(39 52383.816),(40 53017.547),(41 53583.92),(42 53758.94),(43 53894.477),(44 53892.047),(45 53877.742),(46 53870.113),(47 53823.523),(48 54019.57),(49 54008.055),(50 54672.703),(51 55389.465),(52 55760.504),(53 56307.75),(54 57049.52),(55 57813.082),(56 58336.805),(57 58729.688),(58 59016.008),(59 58999.746),(60 59534.484),(61 59692.28),(62 59731.59),(63 59533.734),(64 58917.84),(65 58561.004),(66 57741.137),(67 56785.824),(68 55619.563),(69 54192.133),(70 53020.28),(71 51926.973),(72 51085.305),(73 50356.88),(74 49440.902),(75 48502.367),(76 47879.23),(77 47285.8),(78 46658.16),(79 46377.44),
(1 2473.752),(2 5801.3354),(3 8575.551),(4 11068.451),(5 13344.246),(6 15171.113),(7 17336.297),(8 19335.68),(9 20886.467),(10 22687.996),(11 24769.09),(12 27030.32),(13 29288.254),(14 30996.236),(15 32655.754),(16 33939.652),(17 35501.793),(18 36687.9),(19 37792.73),(20 38846.508),(21 39974.4),(22 40775.797),(23 41613.258),(24 42303.223),(25 42996.832),(26 43500.492),(27 44103.367),(28 44700.62),(29 45183.28),(30 45859.645),(31 46517.55),(32 46989.13),(33 47304.047),(34 47435.824),(35 48267.344),(36 48867.97),(37 49405.008),(38 50170.977),(39 50772.625),(40 51313.23),(41 51785.03),(42 51751.754),(43 51586.484),(44 51247.332),(45 51052.13),(46 50906.344),(47 50789.62),(48 51086.62),(49 51063.184),(50 51620.766),(51 51837.723),(52 51975.61),(53 52392.07),(54 52848.6),(55 53395.777),(56 54122.62),(57 54775.934),(58 55386.27),(59 55614.883),(60 56194.793),(61 56370.44),(62 56537.527),(63 56417.38),(64 55923.945),(65 55381.117),(66 54567.95),(67 53719.402),(68 52415.73),(69 51243.555),(70 50070.48),(71 48936.227),(72 47754.7),(73 46674.867),(74 45753.57),(75 45337.93),(76 44897),(77 44334.832),(78 44056.56),(79 43609.145),
(1 2341.7227),(2 5508.3296),(3 8119.4473),(4 10594.38),(5 12736.694),(6 14203.952),(7 15997.362),(8 17658.107),(9 19275.457),(10 21224.156),(11 23200.502),(12 25049.258),(13 27080.412),(14 28817.37),(15 30432.44),(16 31758.35),(17 33304.215),(18 34450.504),(19 35542.633),(20 36703.32),(21 38049.156),(22 39032.746),(23 39972.1),(24 40888.99),(25 41641.527),(26 42175.76),(27 42895.09),(28 43480.84),(29 43977.15),(30 44507.707),(31 45026.008),(32 45229.84),(33 45869.43),(34 46496),(35 47506.223),(36 48060.816),(37 48631.23),(38 49300.395),(39 49667.414),(40 50047.004),(41 50168.47),(42 49935.645),(43 49835.26),(44 49751.582),(45 49593.84),(46 49473.715),(47 49296.59),(48 49363.605),(49 49443.31),(50 49804.125),(51 49944.227),(52 50279.902),(53 51082.25),(54 51634.582),(55 52379.895),(56 53032.82),(57 53375.938),(58 53679.027),(59 53812.38),(60 54528.652),(61 54927.504),(62 55299.73),(63 55245.695),(64 54742.7),(65 53885.438),(66 52735.473),(67 51686.977),(68 50611.414),(69 49620.62),(70 48760.45),(71 48002.54),(72 47318.3),(73 46394.414),(74 45565.48),(75 44748.637),(76 43949.926),(77 43130.363),(78 42514.91),(79 42141.313),
(1 2360.1074),(2 5571.6),(3 8228.342),(4 10613.746),(5 12733.995),(6 14222.782),(7 16013.092),(8 17617.758),(9 18936.928),(10 20640.502),(11 22484.633),(12 24311.938),(13 26436.111),(14 28305.861),(15 29893.014),(16 31223.861),(17 32790.074),(18 34033.703),(19 35394.66),(20 36793.043),(21 38314.367),(22 39447.152),(23 40415.65),(24 41309.348),(25 42078.68),(26 42663.316),(27 43369.8),(28 43941.074),(29 44440.58),(30 45281.56),(31 46114.48),(32 46782.543),(33 47530.758),(34 48274.344),(35 49100.367),(36 49807.105),(37 50483.2),(38 51123.656),(39 51522.867),(40 52019.652),(41 52596.33),(42 52793.34),(43 52546.44),(44 52452.496),(45 52360.953),(46 52560.14),(47 52641.086),(48 52902.355),(49 52830.867),(50 53280.207),(51 53849.867),(52 54292.813),(53 54952.266),(54 55489.17),(55 56277.07),(56 56767.79),(57 57097.223),(58 57445.35),(59 57558.016),(60 58213.223),(61 58497.277),(62 58528.953),(63 58227.293),(64 57348.83),(65 56270.945),(66 54912.28),(67 53786.008),(68 52703.773),(69 51299.344),(70 49995.133),(71 48762.98),(72 47735.414),(73 46693.9),(74 45561.086),(75 44454.977),(76 43639.195),(77 42877.613),(78 42404.52),(79 42231.4),
(1 2418.427),(2 5699.9727),(3 8386.899),(4 10799.152),(5 13041.876),(6 14743.971),(7 16560.719),(8 18133.186),(9 19545.873),(10 21350.436),(11 23352.844),(12 25544.252),(13 27583.879),(14 29308.73),(15 30712.238),(16 31771.963),(17 33137.227),(18 34096.082),(19 35099.426),(20 36406.94),(21 37690.79),(22 38652.92),(23 39592.37),(24 40572.266),(25 41444.867),(26 41999.64),(27 42505.867),(28 42867.46),(29 43143.77),(30 43750.598),(31 44293.68),(32 44843.375),(33 45726.586),(34 46495.86),(35 47729.7),(36 48640.105),(37 49249.395),(38 50046.918),(39 50464.816),(40 51122.176),(41 51616.773),(42 51879.11),(43 51880.54),(44 51782.945),(45 52043.82),(46 52398.234),(47 52512.023),(48 52697.586),(49 52400.973),(50 52730.402),(51 52817.15),(52 52778.73),(53 52968.38),(54 52930.855),(55 53327.734),(56 53903.574),(57 54262.875),(58 54821.516),(59 55079.633),(60 55614.164),(61 55884.723),(62 55867.008),(63 55590.51),(64 54892.008),(65 54287.46),(66 53210.348),(67 52254.043),(68 51280.727),(69 50159.613),(70 49028.555),(71 48075.453),(72 47284.31),(73 46156.426),(74 44866.527),(75 43625.906),(76 42844.504),(77 42396.973),(78 42037.336),(79 41978.008),
(1 2377.9387),(2 5574.2705),(3 8335.216),(4 10714.332),(5 12857.984),(6 14682.078),(7 16706.793),(8 18317.26),(9 19726.205),(10 21450.969),(11 23362.285),(12 25367.936),(13 27303.389),(14 28989.916),(15 30335.486),(16 31398.19),(17 32672.602),(18 33455.41),(19 34317.676),(20 35338.07),(21 36446.477),(22 37408.266),(23 38389.86),(24 39296.473),(25 40022.273),(26 40448.06),(27 40864.055),(28 41145.84),(29 41478.707),(30 42081.586),(31 42610.563),(32 43256.37),(33 43948.94),(34 44595.535),(35 45535.86),(36 46172.355),(37 46481.953),(38 47094.813),(39 47577.563),(40 47996.258),(41 48116.938),(42 48344.066),(43 48444.266),(44 48343.33),(45 48586.152),(46 48803.395),(47 48674.47),(48 48999.355),(49 48645.79),(50 48945.04),(51 49245.08),(52 49616.336),(53 50300.777),(54 50684.88),(55 51533.13),(56 52329.074),(57 52758.63),(58 53344.965),(59 53551.895),(60 54403.76),(61 54687.707),(62 54888.824),(63 54574.375),(64 53774.754),(65 52985.547),(66 52014.277),(67 50979.18),(68 49797.273),(69 48540.156),(70 47385.895),(71 46238.438),(72 45134.43),(73 44301.71),(74 43264),(75 42207.566),(76 41677.56),(77 41369.566),(78 40983.914),(79 40667.42),
(1 2326.1177),(2 5389.7627),(3 7979.711),(4 10345.571),(5 12493.042),(6 14335.213),(7 16330.209),(8 18001.842),(9 19489.05),(10 21116.607),(11 22809.809),(12 24693.97),(13 26632.28),(14 28166.44),(15 29716.701),(16 31052.178),(17 32467.65),(18 33611.758),(19 34605.383),(20 35779.01),(21 37023.28),(22 37914.93),(23 38802.46),(24 39507.383),(25 40168.8),(26 40756.88),(27 41458.773),(28 42140.977),(29 42835.203),(30 43629.723),(31 44399.844),(32 45027.516),(33 45775.34),(34 46070.81),(35 47021.02),(36 47774.285),(37 48213.844),(38 48633.56),(39 48630.65),(40 48644.844),(41 48482.96),(42 48348.035),(43 48292.98),(44 48094.004),(45 48050.33),(46 48270.64),(47 48226.098),(48 48492.355),(49 48416.246),(50 48779.21),(51 48933.38),(52 49125.477),(53 49638.02),(54 49899.582),(55 50269.74),(56 50512.637),(57 50665.74),(58 50863.715),(59 50936.89),(60 51422.082),(61 51709.957),(62 52007.19),(63 51836.227),(64 51039.25),(65 50112.887),(66 48942.266),(67 47691.875),(68 46516.83),(69 45174.293),(70 43998.207),(71 43072.348),(72 42078.09),(73 41081.473),(74 40082.1),(75 39218.363),(76 38901.637),(77 38638.39),(78 38337.68),(79 38184.348),
(1 2297.841),(2 5359.999),(3 7905.713),(4 10260.728),(5 12533.544),(6 14331.491),(7 16386.504),(8 18229.678),(9 19795.293),(10 21590.19),(11 23315.973),(12 25137.36),(13 27274.902),(14 29152.334),(15 30973.629),(16 32405.365),(17 33934.84),(18 35118.96),(19 36075.773),(20 37210.387),(21 38303.594),(22 39064.61),(23 40023.527),(24 40835.74),(25 41391.383),(26 41822.035),(27 42429.64),(28 43047.992),(29 43634.832),(30 44346.6),(31 44944.94),(32 45696.547),(33 46495.773),(34 46964.51),(35 48029.434),(36 48769.055),(37 49296.527),(38 49863.098),(39 50139.375),(40 49964.023),(41 49847.332),(42 49771.09),(43 49370.582),(44 48896.926),(45 48752.742),(46 48964.684),(47 48950.59),(48 49056.598),(49 48664.51),(50 48910.363),(51 49085.41),(52 49079.797),(53 49434.895),(54 49793.594),(55 50414.402),(56 51004.375),(57 51417.23),(58 51793.87),(59 51986.61),(60 52800.758),(61 53279.426),(62 53441.637),(63 53133.914),(64 52403.797),(65 51611.477),(66 50805.883),(67 50023.918),(68 49060.06),(69 48093.01),(70 47195.957),(71 46333.535),(72 45495.797),(73 44444.445),(74 43557.25),(75 42794.39),(76 42529.426),(77 42415.99),(78 42236.664),(79 42109.527),
