1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104935.51),(2 175442.55),(3 205552.69),(4 389157.25),(5 518066),(6 598334.75),(7 836096.3),(8 1009370.56),(9 1080741),(10 1319049.3),(11 1496890.9),(12 1579188.6),(13 1813158),(14 1979130.4),(15 2036830.4),(16 2283201.8),(17 2466941.8),(18 2511067.3),(19 2743796.3),(20 2934801.8),(21 3003528.8),(22 3268799.3),(23 3550555.3),(24 3663256),(25 4000852),(26 4337561.5),(27 4485941.5),(28 4827280),(29 5172644.5),(30 5379207),(31 5805374.5),(32 6221814),(33 6473874.5),(34 6912728),(35 7358525.5),(36 7632615.5),(37 8058034),(38 8562907),(39 8836453),(40 9284385),(41 9753366),(42 10064820),(43 10560983),(44 11068233),(45 11385749),(46 11880776),(47 12416603),(48 12788739),(49 13326653),(50 13905747),(51 14241513),(52 14761833),(53 15395776),(54 15708163),(55 16224636),(56 16763533),(57 17147816),(58 17770466),(59 18304320),(60 18748846),(61 19333112),(62 19980698),(63 20446110),(64 21063504),(65 21753198),(66 22253898),(67 22945602),(68 23787882),(69 24245792),(70 24848920),(71 25576246),(72 26049024),(73 26666522),(74 27303658),(75 27751546),(76 28349152),(77 29029856),(78 29540118),(79 30155182),
(1 17681.041),(2 54650.94),(3 92252.6),(4 120052.93),(5 133537.38),(6 137173.39),(7 137063.53),(8 139569.02),(9 146066.42),(10 154204.63),(11 161478.28),(12 165749.31),(13 168335.66),(14 172112.47),(15 178293.31),(16 186485.86),(17 192255.84),(18 194705.13),(19 197053.23),(20 200429.7),(21 204235.27),(22 208270.69),(23 213087.8),(24 216666.25),(25 220264.23),(26 223552.6),(27 226757.92),(28 231410.69),(29 235537.42),(30 236971.95),(31 237149.53),(32 237367.84),(33 238178.14),(34 239238.2),(35 239787.03),(36 240472.05),(37 240736.9),(38 240279.4),(39 240743.95),(40 240919.17),(41 241129.92),(42 241050.97),(43 240812.47),(44 240188.45),(45 237721.19),(46 235708.9),(47 235733.19),(48 237416.38),(49 238772.31),(50 237577.88),(51 234154.95),(52 230709.7),(53 225093.78),(54 220173.1),(55 216349.53),(56 213484.77),(57 211677.88),(58 210881.23),(59 210527.64),(60 208881.56),(61 207103.7),(62 205566.77),(63 204514.23),(64 203777.72),(65 204999.9),(66 206865.11),(67 205809.2),(68 202339.02),(69 198420.44),(70 195764),(71 193096.22),(72 191653.77),(73 191119.61),(74 190701.23),(75 189694.98),(76 187750.28),(77 187276.88),(78 187940.44),(79 189074.64),
(1 17370.168),(2 53048.523),(3 90097.43),(4 117212.695),(5 129643.49),(6 133104.75),(7 133892.34),(8 136190.69),(9 141362),(10 147586.58),(11 153744.81),(12 158276.78),(13 162536.48),(14 166308.6),(15 169965.88),(16 174833.89),(17 180260.08),(18 183826.45),(19 186172.33),(20 189391.86),(21 191235.02),(22 192302.28),(23 193989.75),(24 194390.02),(25 194146.78),(26 193840.14),(27 194550.84),(28 197656.22),(29 200282.13),(30 202008.03),(31 202160.73),(32 201902.31),(33 205218.45),(34 209561.98),(35 214046.56),(36 216030.08),(37 215296.48),(38 212584.83),(39 211008.81),(40 210970.13),(41 212892.84),(42 213789.33),(43 213846.36),(44 213249.64),(45 212067.4),(46 211313.72),(47 211487.9),(48 211293.28),(49 208964.7),(50 205781.88),(51 203658.3),(52 203513.06),(53 201982.2),(54 200924.67),(55 199227.13),(56 196450.56),(57 194005.98),(58 191394.06),(59 188651.97),(60 186003.67),(61 183535.25),(62 182894.02),(63 183512.23),(64 183850.3),(65 184873.7),(66 184885.7),(67 182353.8),(68 178614.08),(69 176282.45),(70 175955.27),(71 176301.28),(72 177463.75),(73 177855.89),(74 177578.34),(75 176343.38),(76 173938.84),(77 173000.64),(78 173385.1),(79 174764.2),
(1 16555.605),(2 50485.473),(3 84012.51),(4 106595.7),(5 114623.17),(6 115134.62),(7 114852.17),(8 117928.41),(9 124851.98),(10 132820.94),(11 140012.89),(12 145095.39),(13 148682.34),(14 152098.52),(15 156679.77),(16 161854.75),(17 167497.86),(18 172655.23),(19 178670.53),(20 185047.23),(21 191353.67),(22 196112.84),(23 197800.67),(24 196998.03),(25 196418.14),(26 197310.88),(27 200209.4),(28 203028.11),(29 204189.23),(30 205902),(31 207437.83),(32 210916.03),(33 215292.55),(34 218224.28),(35 219053.16),(36 218935.94),(37 216838.88),(38 213145.8),(39 210674.53),(40 209628.73),(41 208613.28),(42 206297.58),(43 205454.44),(44 206256.06),(45 206755.03),(46 207559.2),(47 209009.69),(48 208403.38),(49 205050.81),(50 201692.63),(51 198825.75),(52 196694.56),(53 193188.52),(54 189070.9),(55 184242.1),(56 180184.1),(57 176633.02),(58 173379.39),(59 171151.88),(60 169784.44),(61 168810.61),(62 167793.44),(63 165397.9),(64 163496.42),(65 161795.31),(66 159456.31),(67 156952.33),(68 154384.89),(69 153826.02),(70 153823.72),(71 154197.86),(72 154555.8),(73 154685.94),(74 154580.7),(75 155141.05),(76 155490.06),(77 157908),(78 162821.86),(79 168120.88),
(1 15365.554),(2 46016.652),(3 76249.8),(4 97200.484),(5 105635.625),(6 107371.516),(7 107380.19),(8 109798.09),(9 114335.945),(10 119706.94),(11 123694.51),(12 127230.805),(13 131219.45),(14 135338.38),(15 139859.17),(16 143937.69),(17 145787.27),(18 147159.97),(19 150164.38),(20 154624.08),(21 158505.02),(22 160245.42),(23 160582.22),(24 160532.19),(25 160868.45),(26 161621.53),(27 162067.8),(28 161473.03),(29 161085.8),(30 161054.78),(31 162547.6),(32 166621.83),(33 170507.53),(34 171716.86),(35 171924.27),(36 170379.4),(37 167251.48),(38 165242.77),(39 164386.31),(40 162994.97),(41 162047.66),(42 161273.81),(43 162727.56),(44 166554.02),(45 169635.4),(46 170351.61),(47 169848.83),(48 168030.73),(49 167117.11),(50 166175.92),(51 165182.2),(52 165039.42),(53 162800.84),(54 161088.39),(55 160675.16),(56 159569.94),(57 159294.06),(58 159493.17),(59 159508.69),(60 159289.6),(61 158917.53),(62 157792.55),(63 155653.97),(64 153101.17),(65 149890.55),(66 146901.7),(67 145286.02),(68 146289.2),(69 149715.75),(70 153327.42),(71 156103.36),(72 158072.3),(73 157986.28),(74 157657.55),(75 158642.02),(76 160689.05),(77 164245.48),(78 167059.73),(79 168561.84),
(1 16030.057),(2 48253.203),(3 79686.89),(4 101182.99),(5 110885.56),(6 114401.12),(7 115947.33),(8 118571.65),(9 124378.35),(10 132938.48),(11 140809.19),(12 146159.63),(13 150902.92),(14 155802.52),(15 161897.48),(16 167762.94),(17 171917.28),(18 174953.1),(19 179022.05),(20 184184.53),(21 189421.98),(22 193826.64),(23 197315.83),(24 198787.64),(25 199929.06),(26 201015.06),(27 202655.3),(28 203968.13),(29 203797.81),(30 203480.89),(31 202934.77),(32 202837.63),(33 202710.63),(34 201662.83),(35 199955.92),(36 196776.58),(37 194490.38),(38 193283.3),(39 190844.17),(40 187701.6),(41 186229.61),(42 185282.19),(43 184924.89),(44 185258.25),(45 184403.2),(46 181744),(47 179151.72),(48 176712.81),(49 174508.95),(50 172946.27),(51 170745.95),(52 168881.64),(53 165467.13),(54 163584.75),(55 163708.27),(56 164034.08),(57 163771.36),(58 163204.11),(59 162316.1),(60 161723.78),(61 160529.98),(62 158781.19),(63 157068.97),(64 155151.02),(65 153273.5),(66 151980.81),(67 151003.66),(68 152024.05),(69 154775.19),(70 155610.3),(71 154779.23),(72 153597.63),(73 152918.42),(74 153802.66),(75 156163.13),(76 157689.45),(77 159313.56),(78 160745.03),(79 161397.6),
(1 15678.826),(2 46713.723),(3 76214.984),(4 95204.484),(5 103018.1),(6 105056.9),(7 104064.484),(8 104557.81),(9 108608.01),(10 114465.984),(11 120462.06),(12 125005.07),(13 128852.3),(14 134418.69),(15 140695.31),(16 147007.98),(17 152009.27),(18 155765.67),(19 160440.38),(20 165481.33),(21 168551.89),(22 170529.77),(23 172232.23),(24 172888.48),(25 174037),(26 174432.11),(27 175117.64),(28 176601.64),(29 179574.36),(30 182992.72),(31 186981.48),(32 190214.92),(33 191334.08),(34 190301.3),(35 188563.7),(36 188109.11),(37 188801.11),(38 188869.38),(39 188071.06),(40 185774.13),(41 182643.4),(42 180004.5),(43 179251.86),(44 180378.73),(45 180922.4),(46 179584.03),(47 177227),(48 174332.38),(49 171625),(50 168142.3),(51 164853.2),(52 160715.58),(53 156958.72),(54 154614.17),(55 153059.73),(56 151606.14),(57 150581.3),(58 149417.53),(59 148513.67),(60 147785.08),(61 146779.48),(62 144267.6),(63 140271.88),(64 136213.02),(65 132759.56),(66 130494.195),(67 129647.984),(68 129318.81),(69 128613.79),(70 128005.03),(71 129113.69),(72 130553.86),(73 133189.47),(74 136588.3),(75 140850.27),(76 144363.53),(77 146738.42),(78 147919.72),(79 149899.81),
(1 14559.528),(2 42437.473),(3 68387.305),(4 84897.64),(5 91017.734),(6 91895.375),(7 91948.875),(8 94631.625),(9 100029.61),(10 106580.12),(11 112030.555),(12 114724.92),(13 116229.66),(14 118739.84),(15 123814.32),(16 129822.195),(17 133066.11),(18 134347.48),(19 136177.36),(20 138723.1),(21 142396.36),(22 145276.78),(23 146570.17),(24 147389.95),(25 148864.67),(26 150983.75),(27 153571.61),(28 155201.28),(29 156736.89),(30 158389.28),(31 162102.83),(32 165218.45),(33 167544.84),(34 169207.86),(35 170947.72),(36 172221.34),(37 173285.7),(38 173009.52),(39 171232.13),(40 168607.69),(41 166917.3),(42 166128.25),(43 165759.55),(44 167060.47),(45 169131.06),(46 169496.63),(47 168807.28),(48 168075.7),(49 167152.16),(50 164974.83),(51 161565.08),(52 158029.36),(53 153741.33),(54 150729.92),(55 147882.55),(56 145134.39),(57 143820.42),(58 143065.34),(59 143165.78),(60 143736.73),(61 142744.06),(62 140083.33),(63 136502.77),(64 132843.28),(65 130552.53),(66 129468.445),(67 128935.13),(68 128421.016),(69 127843.21),(70 126868.59),(71 126049.48),(72 125608.83),(73 126044.32),(74 128622.33),(75 131991.69),(76 133631.02),(77 133443.94),(78 131745.36),(79 130235.13),
(1 14816.528),(2 43376.113),(3 69592.99),(4 85449.06),(5 91160.6),(6 92689.31),(7 93005.805),(8 95985.62),(9 102021.695),(10 109187.08),(11 114948.86),(12 119038.34),(13 122643.7),(14 126747.9),(15 132331.56),(16 137501.47),(17 142044.05),(18 146985.17),(19 154002.2),(20 159807.3),(21 162958.14),(22 163891.33),(23 165301.45),(24 167815.25),(25 170826.84),(26 175118.81),(27 178295.53),(28 180436.8),(29 183033.81),(30 185993.2),(31 188904.03),(32 189824.75),(33 189075.98),(34 187458.23),(35 186495.05),(36 186478.1),(37 184982.44),(38 181524.88),(39 178387.94),(40 176858.72),(41 177556.52),(42 178269.53),(43 177755.72),(44 176190.25),(45 173602.5),(46 170774.2),(47 168872.7),(48 167600.95),(49 165302.03),(50 162467.86),(51 159131.19),(52 156632.69),(53 154086.38),(54 151496.8),(55 147832.94),(56 144976.9),(57 143148.02),(58 141545.06),(59 141215.16),(60 141668.75),(61 140753.48),(62 138109.69),(63 136496.06),(64 136261.33),(65 136107.72),(66 136061.75),(67 134603.77),(68 131425.97),(69 129357.87),(70 129962.445),(71 132067.77),(72 134260.83),(73 136576.92),(74 138978.3),(75 140644.63),(76 141464.77),(77 143243.39),(78 145940.97),(79 147910.45),
(1 13903.217),(2 40395.7),(3 64493.145),(4 79523.9),(5 85748.08),(6 87740.02),(7 89317.016),(8 93049.17),(9 98379.1),(10 103765.914),(11 107393.414),(12 109994.22),(13 112789.78),(14 117918.516),(15 122963.375),(16 128147.69),(17 132380.05),(18 136441.98),(19 141398.36),(20 146200.98),(21 150049.4),(22 152816.78),(23 156412.31),(24 160216.53),(25 162855.08),(26 164533.72),(27 165636.9),(28 167116.84),(29 169431.11),(30 172362.9),(31 175661.8),(32 176975.72),(33 176214.67),(34 173899.92),(35 172154.16),(36 170450.84),(37 168740.2),(38 166118.39),(39 163237.75),(40 160103.36),(41 157439.17),(42 156112.13),(43 155622.56),(44 154143.81),(45 151048.98),(46 146619.11),(47 142268.8),(48 137484.77),(49 133027.5),(50 128896.63),(51 125693.69),(52 123602.39),(53 121022.28),(54 118968.266),(55 117603.09),(56 118008.734),(57 119660.92),(58 119977.734),(59 119596.57),(60 119064.375),(61 118813.016),(62 119375.39),(63 119891.34),(64 120098.89),(65 120585.15),(66 121510.67),(67 121637.72),(68 121379.984),(69 121473.27),(70 122566.99),(71 124148.875),(72 126293.95),(73 128816.03),(74 132321.77),(75 134741.6),(76 135662.61),(77 136256.52),(78 135921.08),(79 137210.02),
(1 14064.098),(2 41085.875),(3 65502.234),(4 79979.586),(5 85480.945),(6 87538.09),(7 88898.07),(8 92420.68),(9 97950.555),(10 102972.33),(11 106523.07),(12 108810.79),(13 112013.57),(14 117345.08),(15 124124.33),(16 131261.5),(17 136677.61),(18 140586.83),(19 144575.72),(20 148028.53),(21 150853.2),(22 152374.98),(23 153713.14),(24 155589.8),(25 157806),(26 160657.05),(27 162638.6),(28 164503.03),(29 167347.33),(30 169701.9),(31 170498.33),(32 168625.8),(33 164598.61),(34 160872.73),(35 159597.94),(36 159667.22),(37 158734.97),(38 156481.55),(39 154076.27),(40 152500.4),(41 152694.67),(42 152877.97),(43 153733.03),(44 153976.64),(45 151638.66),(46 147994.27),(47 145050.5),(48 142217.75),(49 139878.28),(50 136976.95),(51 134453.52),(52 131953.55),(53 128116.65),(54 124995.17),(55 122904.234),(56 122373.62),(57 122641.29),(58 122132.49),(59 121352.914),(60 120656.98),(61 119161.32),(62 117643.234),(63 117260.836),(64 117665.75),(65 117791.3),(66 117468.37),(67 117674.484),(68 118956.8),(69 121250.3),(70 124013.625),(71 127052.266),(72 128188.234),(73 129864.414),(74 132006.55),(75 133693.33),(76 135014.8),(77 137146.39),(78 139522.19),(79 141896.75),
(1 14048.264),(2 40496.19),(3 64001.355),(4 77606.76),(5 81840.234),(6 83499.47),(7 85739.26),(8 90479.27),(9 96958.84),(10 101228.086),(11 102389.914),(12 103516.47),(13 106460.47),(14 110787.04),(15 116538.31),(16 122268.12),(17 124867.09),(18 127243.695),(19 130241.76),(20 131944.48),(21 133765.63),(22 134168.92),(23 135448.61),(24 137772.23),(25 138900.95),(26 140005.13),(27 141555.97),(28 143773.56),(29 147815.31),(30 151871.9),(31 154217.84),(32 154734.08),(33 154322.61),(34 153206.64),(35 152913.2),(36 152182.28),(37 149643.97),(38 146735.33),(39 144345.11),(40 143042.13),(41 142959.13),(42 142101.69),(43 140931.8),(44 138431.16),(45 135437.88),(46 133789.83),(47 134031.33),(48 133744.53),(49 132061.34),(50 130136.26),(51 127600.695),(52 124894.73),(53 122466.68),(54 121081.1),(55 120914.59),(56 122087.914),(57 123198.195),(58 122443.16),(59 121100.75),(60 120017.82),(61 119164.09),(62 118210.55),(63 118196.195),(64 117763.39),(65 116870.67),(66 117477.02),(67 118925.625),(68 120556.47),(69 122575.82),(70 124296.71),(71 125347.555),(72 125668.766),(73 126120.06),(74 127814.49),(75 129539.32),(76 131517.67),(77 134152.6),(78 137260.88),(79 140227.88),
(1 13837.305),(2 40145.035),(3 63539.68),(4 76754.81),(5 80300.234),(6 80224.34),(7 81325.38),(8 84997.09),(9 90338.75),(10 95078.93),(11 97275.7),(12 99709.984),(13 103261.49),(14 108468.44),(15 114915.81),(16 121150.43),(17 126228.54),(18 131642.98),(19 136635.89),(20 140386.89),(21 142394.4),(22 143959.39),(23 146495.98),(24 149692.81),(25 151862.16),(26 153211.11),(27 154103.47),(28 155201.8),(29 156897.42),(30 159201.52),(31 158943.16),(32 157674.64),(33 156383.81),(34 156686.4),(35 158162.08),(36 157696.92),(37 153978.8),(38 149838),(39 147646.73),(40 147884.94),(41 149549.19),(42 150118.81),(43 149433.28),(44 147286.48),(45 144438.73),(46 142168.44),(47 139577.56),(48 136093.39),(49 131912.47),(50 127532.34),(51 123728.12),(52 120321.08),(53 118191.33),(54 117585.21),(55 118236.61),(56 119332.9),(57 119894.92),(58 119110.516),(59 117983.21),(60 116130.76),(61 114557.336),(62 114630.07),(63 115612.53),(64 115758.64),(65 115226.39),(66 115358.87),(67 115338.695),(68 116466.61),(69 119356.11),(70 121729.58),(71 122864.27),(72 122564.22),(73 122629.83),(74 124211.16),(75 125974.94),(76 126831.85),(77 128247.95),(78 130751.08),(79 132753.81),
(1 13915.2),(2 40234.793),(3 63744.89),(4 77038.17),(5 81010.734),(6 83629.36),(7 87419.82),(8 91543.05),(9 96199.766),(10 100181.17),(11 102489.37),(12 104752.516),(13 108253.3),(14 112572.97),(15 116612.24),(16 119910.82),(17 122840),(18 126674.39),(19 130208.234),(20 132638.03),(21 135453.98),(22 137453.48),(23 140336.98),(24 143598.33),(25 145397.3),(26 146884.66),(27 147793.56),(28 147883.2),(29 148221.3),(30 148460.16),(31 147603.77),(32 147699.42),(33 147072.53),(34 146251.36),(35 144740.27),(36 143047.34),(37 140388.34),(38 139250.6),(39 139602.77),(40 139506.97),(41 139106.36),(42 136775.4),(43 134282.83),(44 132630.84),(45 130982.68),(46 129806.016),(47 128334.93),(48 125100.6),(49 120351.63),(50 116137.23),(51 113276.1),(52 111646.55),(53 109697.4),(54 108801.64),(55 108351.87),(56 106843.3),(57 104910.945),(58 103668.6),(59 103515.13),(60 103811.78),(61 104674.7),(62 106113.27),(63 106786.13),(64 105633.164),(65 105190.87),(66 107288.7),(67 109853.11),(68 111580.32),(69 112631.734),(70 113195.41),(71 114281.4),(72 116309.914),(73 117462.695),(74 119121.55),(75 121209.95),(76 123624.43),(77 127490.984),(78 130836.586),(79 134419.22),
(1 13188.973),(2 37525.27),(3 58379.78),(4 68912.47),(5 71195.766),(6 71465.22),(7 73493.02),(8 77553.47),(9 82014.17),(10 84992.586),(11 86463.15),(12 88387.02),(13 92090.65),(14 97035.21),(15 101603.97),(16 105765.73),(17 110676.42),(18 114868.914),(19 117472.12),(20 118749.02),(21 119076.6),(22 120074.05),(23 122326.03),(24 124614.78),(25 126322.71),(26 128037.26),(27 128474.125),(28 128717.984),(29 129213),(30 127953.84),(31 127931.79),(32 128087.38),(33 128293.97),(34 128801.336),(35 129145.26),(36 127560.445),(37 125012.6),(38 123009.32),(39 121989.06),(40 121682.54),(41 120867.23),(42 119330.625),(43 116315.12),(44 114503),(45 113782.09),(46 112974.375),(47 111572.664),(48 109766.36),(49 108675),(50 107441.516),(51 106302.375),(52 105129.375),(53 103921.15),(54 102366.234),(55 100953.72),(56 100518.05),(57 100432.805),(58 100597.22),(59 100837.414),(60 101827.07),(61 102759.28),(62 102704.03),(63 101518.97),(64 100147.53),(65 99052.23),(66 99149.53),(67 100005.086),(68 100463.61),(69 101268.82),(70 103104.22),(71 105225.91),(72 106947.81),(73 108461.43),(74 111079.914),(75 113728.37),(76 116119.81),(77 117597.39),(78 118165.13),(79 119849.91),
(1 13440.436),(2 37905.22),(3 58656.465),(4 69503.26),(5 72595.73),(6 73740.69),(7 76041.59),(8 80475.6),(9 85605.36),(10 88722.08),(11 90446.805),(12 93257),(13 96869.31),(14 101589.96),(15 106644.55),(16 110845.89),(17 112822.23),(18 115098.72),(19 117643.5),(20 119209.695),(21 120273.41),(22 121121.27),(23 123209.805),(24 126232.4),(25 129064.21),(26 132287.89),(27 135258.33),(28 136992.36),(29 137876.61),(30 138096.33),(31 136531.9),(32 136155.45),(33 136524.33),(34 136244.02),(35 134949.78),(36 131836.53),(37 127874.22),(38 126133.01),(39 126933.18),(40 127536.414),(41 125281.336),(42 122300.66),(43 120438.58),(44 119825.66),(45 118982.73),(46 117671.71),(47 115921.23),(48 113611.88),(49 111496.67),(50 109999.6),(51 108621.21),(52 106812.78),(53 103616.18),(54 101506.86),(55 99378.26),(56 98119.25),(57 97914.6),(58 98643.82),(59 99421.555),(60 100360.56),(61 100357.25),(62 98999.055),(63 96831.64),(64 96097.92),(65 96406.53),(66 97935.56),(67 98597.42),(68 99699.01),(69 100517.08),(70 101157.92),(71 101822.38),(72 101849.04),(73 102331.375),(74 104294.37),(75 107545.5),(76 110772.32),(77 113371.516),(78 115556.26),(79 117221.03),
(1 13053.057),(2 36799.305),(3 56930.2),(4 67917.61),(5 71690.99),(6 73284.8),(7 75336.625),(8 78664.87),(9 82132.96),(10 83789.69),(11 86171.01),(12 90424.16),(13 95856.63),(14 101557.58),(15 106685.71),(16 110527.266),(17 113213.73),(18 115616.234),(19 118025.95),(20 118504.37),(21 118633.31),(22 120412.74),(23 124430.38),(24 128350.03),(25 131758.56),(26 135003),(27 136311.25),(28 136004.52),(29 134783.47),(30 133310.47),(31 132849.86),(32 133691.2),(33 134692.48),(34 134421.05),(35 133265.03),(36 131118.77),(37 129146.66),(38 128192.04),(39 127905.445),(40 125658.85),(41 121762.42),(42 118443.13),(43 116571.66),(44 115840.69),(45 114818.75),(46 112189.42),(47 110067.12),(48 108171.5),(49 106457.164),(50 104907.02),(51 103957.54),(52 102499.516),(53 100799.86),(54 100225.71),(55 98618.266),(56 96472.89),(57 94682.99),(58 93987.32),(59 93971.4),(60 94046.67),(61 93030.664),(62 92131.83),(63 92564.66),(64 93767.87),(65 95194.48),(66 97361.18),(67 99209.52),(68 101027.36),(69 103396.29),(70 105260.94),(71 107287.03),(72 109448.74),(73 112014.84),(74 115255.79),(75 117245.82),(76 119529.97),(77 122886.336),(78 125053.766),(79 127107.695),
(1 12738.396),(2 35453.703),(3 54008.527),(4 63310.363),(5 65631.23),(6 66443.836),(7 68387.08),(8 71958.68),(9 75063.016),(10 76614.15),(11 78072.05),(12 80735.234),(13 84268.055),(14 88278.016),(15 91726.52),(16 94680.82),(17 97342.484),(18 100481.164),(19 102877.66),(20 103335.984),(21 103066.11),(22 103951.4),(23 106494.766),(24 109040.07),(25 110949.94),(26 112422.84),(27 113042.19),(28 113046.016),(29 113285.14),(30 112315.57),(31 112747.78),(32 113462.63),(33 114730.17),(34 113943.414),(35 112433.52),(36 111026.49),(37 110444.3),(38 110348.77),(39 110306.664),(40 109330.61),(41 106980.1),(42 105166.8),(43 104033.97),(44 103089.84),(45 102128.44),(46 100643.79),(47 98959.445),(48 97418.56),(49 96617.266),(50 95636.07),(51 94299.29),(52 92929.64),(53 92059.78),(54 90729.27),(55 89139.5),(56 87782.62),(57 87522.695),(58 87569.72),(59 86855.56),(60 86476.75),(61 86438.79),(62 86668.12),(63 88355.25),(64 90501.64),(65 92366.41),(66 94368.13),(67 96190.16),(68 98490.82),(69 100543.02),(70 101065.44),(71 101005.41),(72 101965.61),(73 104039.055),(74 105906.445),(75 106922.375),(76 107163.875),(77 107395.49),(78 108819.195),(79 111092.3),
(1 13098.708),(2 35987.47),(3 54147.848),(4 62216.367),(5 63973.55),(6 65739.96),(7 69566.58),(8 74584.38),(9 78404.76),(10 79982),(11 81458.086),(12 84762.17),(13 88717.61),(14 91979.18),(15 94918.16),(16 97944.08),(17 100956.45),(18 104108.76),(19 106551.37),(20 106699.72),(21 107610.33),(22 109974.48),(23 112298.375),(24 113185.945),(25 114036.73),(26 115591.46),(27 116795.64),(28 116450.35),(29 115350.15),(30 113752.61),(31 112849.2),(32 112955.33),(33 113294.23),(34 111965.04),(35 109662.37),(36 108232.21),(37 108132.41),(38 108164.914),(39 107055.53),(40 103903.06),(41 100179.984),(42 98286.53),(43 97749.836),(44 96824.44),(45 95781.64),(46 93700.61),(47 91260.17),(48 89123.89),(49 87874.61),(50 86728.71),(51 86252.51),(52 86950.2),(53 87917.72),(54 88534.96),(55 88645.72),(56 89070.73),(57 89442.22),(58 89829.9),(59 89998.38),(60 89946.99),(61 90062.73),(62 90608.25),(63 91937.88),(64 93009.84),(65 93708.164),(66 93843.55),(67 94498.57),(68 95330.664),(69 96422.47),(70 97199.945),(71 99401.14),(72 102300.414),(73 104927.8),(74 106909.266),(75 107639.32),(76 109140.09),(77 111253.086),(78 112676.71),(79 113537.42),
