1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 157997.39),(2 509896.34),(3 959434.5),(4 1548864.4),(5 2248060.3),(6 3001210.3),(7 3911723),(8 5004230.5),(9 6214766.5),(10 7556591.5),(11 8916731),(12 10168290),(13 11407123),(14 12653709),(15 13837299),(16 14858169),(17 15757131),(18 16639456),(19 17492446),(20 18321624),(21 19208888),(22 20099256),(23 21036274),(24 21915994),(25 22757178),(26 23585234),(27 24347978),(28 25027144),(29 25616062),(30 26089318),(31 26402534),(32 26618816),(33 26825406),(34 27012558),(35 27275882),(36 27636320),(37 28207578),(38 29174518),(39 30332384),(40 31840200),(41 33642620),(42 35646480),(43 37660428),(44 39804880),(45 41872060),(46 44103396),(47 46176396),(48 48020076),(49 49891668),(50 51754292),(51 53600156),(52 55779188),(53 58058224),(54 60587124),(55 63165536),(56 65784124),(57 68299816),(58 70651080),(59 72657370),(60 74246870),(61 75806344),(62 77342350),(63 78606450),(64 80078216),(65 81393030),(66 82775530),(67 84012664),(68 85002280),(69 85955224),(70 86948424),(71 87937150),(72 88998230),(73 89820510),(74 90413144),(75 90925290),(76 91230040),(77 91425570),(78 91647896),(79 91965720),
(1 15982.18),(2 19763.805),(3 21311.2),(4 21726.303),(5 22625.307),(6 22530.707),(7 22664.797),(8 22963.447),(9 23116.494),(10 22850.326),(11 23424.129),(12 23736.111),(13 24035.727),(14 24550.559),(15 24064.094),(16 24518.666),(17 25128.72),(18 25819.373),(19 25499.996),(20 26204.477),(21 25975.846),(22 26224.715),(23 26604.137),(24 26485.1),(25 27310.896),(26 27553.994),(27 28204.445),(28 28588.357),(29 28706.416),(30 28770.594),(31 29051.979),(32 28745.633),(33 28718.076),(34 29160.557),(35 29422.963),(36 29682.434),(37 29609.328),(38 29840.555),(39 29884.334),(40 29555.576),(41 29631.555),(42 29333.217),(43 29496.12),(44 29432.854),(45 28969.436),(46 29229.123),(47 28718.344),(48 28153.395),(49 28214.945),(50 28522.975),(51 28613.943),(52 28642.543),(53 28720.953),(54 28765.387),(55 28281.201),(56 28217.738),(57 27930.127),(58 27290.875),(59 27480.504),(60 27305.246),(61 27897.326),(62 27893.285),(63 27937.785),(64 27951.42),(65 27825.805),(66 27850.273),(67 27310.715),(68 27412.117),(69 28347.445),(70 28354.738),(71 27948.541),(72 28225.414),(73 27931.008),(74 27938.662),(75 28185.996),(76 28106.518),(77 28389.2),(78 28558.828),(79 28656.316),
(1 15233.766),(2 18984.215),(3 19926.045),(4 20796.846),(5 21406.623),(6 21419.791),(7 21971.127),(8 21991.838),(9 22455.324),(10 22431.635),(11 23021.771),(12 23089.602),(13 24163.098),(14 24348.021),(15 24829.547),(16 25028.365),(17 25528.162),(18 25662.395),(19 26004.502),(20 26212.26),(21 26436.227),(22 26846.3),(23 27649.611),(24 27777.97),(25 28337.887),(26 28331.492),(27 28752.697),(28 28718.203),(29 28950.88),(30 29490.193),(31 29561.766),(32 30093.693),(33 30314.55),(34 30709.385),(35 30784.115),(36 30313.838),(37 29989.871),(38 30205.082),(39 30028.02),(40 29974.137),(41 30203.615),(42 29627.77),(43 29478.604),(44 29257.238),(45 28938.834),(46 29438.969),(47 29113.049),(48 28894.352),(49 28555.85),(50 28518.904),(51 28302.814),(52 27621.78),(53 28340.963),(54 28552.021),(55 28176),(56 28087.29),(57 27722.43),(58 27857.627),(59 28054.033),(60 27492.422),(61 27270.81),(62 27187.697),(63 27254.87),(64 27271.879),(65 26766.463),(66 26546.559),(67 26463.033),(68 26802.234),(69 27583.314),(70 27564.945),(71 27365.744),(72 27351.72),(73 27206.146),(74 27344.332),(75 27540.578),(76 27211.963),(77 27420.717),(78 27548.34),(79 27477.715),
(1 15740.607),(2 19433.143),(3 20581.943),(4 21092.844),(5 21757.61),(6 21658.85),(7 21940.39),(8 21863.314),(9 22477.766),(10 22672.45),(11 22917.197),(12 23526.387),(13 24201.455),(14 24091.613),(15 24654.252),(16 24699.701),(17 25064.193),(18 25223.588),(19 25534.65),(20 25675.201),(21 26397.762),(22 26697.047),(23 26924.305),(24 27329.879),(25 27927.127),(26 28018.504),(27 28542.932),(28 28667.443),(29 28940.824),(30 29032.248),(31 29734.521),(32 29900.463),(33 30500.852),(34 30388.346),(35 30286.076),(36 30352.049),(37 30399.393),(38 30831.045),(39 30892.904),(40 30811.193),(41 30759.504),(42 30330.107),(43 30286.504),(44 30106.758),(45 29483.547),(46 29333.285),(47 29021.465),(48 29076.285),(49 28988.596),(50 29054.39),(51 28758.627),(52 28337.393),(53 28449.752),(54 28563.03),(55 27989.11),(56 27885.336),(57 27532.27),(58 27631.588),(59 27366.309),(60 27415.2),(61 27131.059),(62 27244.967),(63 27266.922),(64 27469.31),(65 27170.977),(66 26512.135),(67 26411.65),(68 26655.996),(69 27234.953),(70 26639.396),(71 26645.688),(72 26851.9),(73 26881.752),(74 26902.34),(75 26997.613),(76 27055.69),(77 27102.65),(78 27512.23),(79 27212.121),
(1 14753.453),(2 18585.527),(3 19513.248),(4 20586.24),(5 21056.658),(6 21237.242),(7 21340),(8 21181.385),(9 21876.27),(10 22213.148),(11 22782.238),(12 22980.398),(13 23423.066),(14 22972.87),(15 23489.924),(16 23686.553),(17 23869.887),(18 24163.43),(19 24413.354),(20 24594.697),(21 25203.105),(22 25397.875),(23 25921.832),(24 25970.215),(25 26966.59),(26 27080.203),(27 27227.283),(28 27481.43),(29 27726.025),(30 27968.896),(31 28621.158),(32 28716.42),(33 28679.133),(34 29266.227),(35 29125.268),(36 29166.203),(37 29121.693),(38 28896.857),(39 28999.842),(40 28868.602),(41 28993.725),(42 28919.8),(43 28902.613),(44 28461.102),(45 27965.264),(46 27850.068),(47 27897.895),(48 27820.617),(49 27775.479),(50 27898.48),(51 27644.979),(52 27792.127),(53 27476.932),(54 27826.064),(55 27319.61),(56 27450.053),(57 27165.338),(58 26861.55),(59 26924.76),(60 26429.797),(61 26334.27),(62 26351.852),(63 26425.977),(64 26351.408),(65 26375.74),(66 26120.746),(67 26182.098),(68 26423.957),(69 26406.037),(70 26365.898),(71 26742.549),(72 26603.031),(73 26837.123),(74 27076.191),(75 27084.346),(76 27291.943),(77 26882.424),(78 27152.078),(79 27158.174),
(1 14167.191),(2 17868.28),(3 18974.814),(4 19977.832),(5 20222.55),(6 20660.938),(7 20473.057),(8 21079.496),(9 21408.695),(10 21663.322),(11 21927.709),(12 21739.316),(13 22249.844),(14 22314.633),(15 22678.045),(16 22482.486),(17 22903.184),(18 23249.281),(19 23790.514),(20 24235.582),(21 24575.049),(22 25131.803),(23 25847.604),(24 26118.336),(25 26890.754),(26 27320.092),(27 27357.393),(28 27758.662),(29 28163.021),(30 28674.54),(31 28987.678),(32 28899.975),(33 29167.748),(34 29297.727),(35 29438.297),(36 29229.1),(37 29801),(38 29511.797),(39 29554.707),(40 28999.193),(41 29314.996),(42 28911.885),(43 28671.965),(44 28389.555),(45 27709.781),(46 27948.889),(47 27428.176),(48 27736.27),(49 27109.68),(50 26358.574),(51 26626.164),(52 26836.799),(53 27009.11),(54 26953.947),(55 26752.93),(56 26830.527),(57 26449.7),(58 26277.684),(59 26049.73),(60 26263.99),(61 26246.664),(62 26308.107),(63 26467.19),(64 26309.506),(65 26410.225),(66 26135.58),(67 25858.678),(68 26287.951),(69 26318.035),(70 26460.459),(71 26511.94),(72 26674.82),(73 26363.771),(74 26638.348),(75 26656.455),(76 26652.566),(77 26756.402),(78 26530.629),(79 26943.41),
(1 14030.939),(2 17014.512),(3 18044.908),(4 19151.799),(5 19370.643),(6 19867.205),(7 19574.906),(8 20045.66),(9 20424.902),(10 20321.697),(11 20831.44),(12 21122.307),(13 21482.295),(14 21463.744),(15 21520.137),(16 21686.582),(17 21583.373),(18 22131.809),(19 22655.652),(20 23253.06),(21 23581.814),(22 23881.752),(23 24000.104),(24 24404.023),(25 24895.623),(26 25096.348),(27 25198.033),(28 25955.023),(29 26144.158),(30 27042.277),(31 27039.86),(32 26630.008),(33 26684.111),(34 26687.547),(35 26872.451),(36 27074.9),(37 27001.893),(38 26992.525),(39 27477.38),(40 27047.992),(41 26808.979),(42 26482.596),(43 26801.576),(44 26397.836),(45 26139.76),(46 26195.484),(47 26142.412),(48 25943.598),(49 25275.836),(50 25028.725),(51 25154.213),(52 25417.793),(53 25389.215),(54 25071.066),(55 25179.914),(56 24978.45),(57 24729.156),(58 24976.35),(59 24868.791),(60 25137.303),(61 24642.727),(62 24782.273),(63 24936.863),(64 24766.393),(65 24979.236),(66 24632.193),(67 24565.115),(68 24611.783),(69 24605.549),(70 24465.395),(71 24856.984),(72 25206.498),(73 24661.646),(74 24828.418),(75 25126.832),(76 24819.125),(77 24646.504),(78 24656.406),(79 24900.645),
(1 13611.865),(2 16450.443),(3 17643.322),(4 18285.973),(5 18581.037),(6 19185.928),(7 19114.822),(8 19489.66),(9 19707.938),(10 19635.816),(11 19962.102),(12 20123.469),(13 20828.959),(14 20839.254),(15 21332.273),(16 21045.314),(17 21082.336),(18 22009.205),(19 22547.518),(20 22823.78),(21 23174.836),(22 23470.377),(23 23627.092),(24 24300.477),(25 24467.193),(26 24810.549),(27 24980.73),(28 25363.432),(29 25515.627),(30 26561.611),(31 27121.994),(32 27128.607),(33 27586.129),(34 27167.988),(35 27059.729),(36 27502.484),(37 27907.326),(38 27765.514),(39 27807.563),(40 27306.3),(41 27536.262),(42 27151.764),(43 27030.24),(44 26654.05),(45 26177.117),(46 26336.8),(47 26323.545),(48 26143.574),(49 25694.271),(50 25791.635),(51 25779.883),(52 25326.785),(53 25059.79),(54 24897.867),(55 24642.113),(56 24336.117),(57 23894.04),(58 23962.97),(59 24329.871),(60 24220.54),(61 23619.22),(62 23899.793),(63 24265.213),(64 24064.86),(65 24382.004),(66 23866.713),(67 23971.648),(68 24048.455),(69 24185.86),(70 24709.06),(71 24970.977),(72 24974.496),(73 24615.494),(74 24893.236),(75 24639.367),(76 24868.344),(77 24967.732),(78 25080.922),(79 25504.56),
(1 13100.735),(2 16289.736),(3 17113.688),(4 17890.508),(5 18501.34),(6 18713.88),(7 18573.768),(8 18983.16),(9 19564.45),(10 19722.629),(11 19783.092),(12 20021.56),(13 20692.092),(14 20807.066),(15 21079.617),(16 21153.979),(17 21682.95),(18 21734.58),(19 22210.729),(20 22697.67),(21 22785.533),(22 23552.918),(23 23782.275),(24 24331.89),(25 24450.445),(26 24604.46),(27 24766.078),(28 24840.352),(29 25471.58),(30 25960.887),(31 26557.523),(32 26369.78),(33 26693.547),(34 26956.121),(35 26645.145),(36 27097.262),(37 27169.654),(38 26854.771),(39 27126.51),(40 26991.379),(41 27000.117),(42 26742.352),(43 26919.557),(44 26656.371),(45 26463.002),(46 26393.271),(47 26190.104),(48 26428.5),(49 26367.158),(50 26455.066),(51 26307.025),(52 25567.648),(53 25308.342),(54 25405.717),(55 25375.14),(56 25337.744),(57 24223.42),(58 24570.313),(59 24703.637),(60 24437.813),(61 24175.121),(62 24052.15),(63 24551.586),(64 24302.877),(65 24665.156),(66 24080.85),(67 24074.207),(68 23788.104),(69 23741.313),(70 23934.215),(71 23928.236),(72 23859.205),(73 24286.13),(74 24409.244),(75 24318.457),(76 24562.594),(77 24659.9),(78 24569.46),(79 24729.342),
(1 12655.219),(2 15647.911),(3 16471.555),(4 17447.451),(5 17509.955),(6 17668.906),(7 18051.06),(8 18320.908),(9 18869.977),(10 19270.12),(11 19643.672),(12 19656.174),(13 20084.705),(14 20164.518),(15 20324.328),(16 20651.031),(17 21320.803),(18 21365.84),(19 21623.568),(20 22081.5),(21 22260.336),(22 22992.424),(23 23241.395),(24 23585.379),(25 24233.146),(26 23923.355),(27 24449.807),(28 24577.674),(29 24948.05),(30 25188.977),(31 25777.707),(32 25975.78),(33 25966.02),(34 26295.088),(35 26248.74),(36 26509.088),(37 26774.4),(38 26757.078),(39 26561.209),(40 26373.809),(41 26241.578),(42 25991.088),(43 25995.508),(44 25880.594),(45 25659.727),(46 25638.178),(47 25183.248),(48 25111.107),(49 24543.016),(50 24437.877),(51 24983.377),(52 24567.406),(53 24228.213),(54 24137.313),(55 24388.71),(56 24133.201),(57 24110.768),(58 23998.969),(59 24153.387),(60 23805.334),(61 23391.68),(62 23550.34),(63 23360.846),(64 23392.686),(65 23726.145),(66 23611.59),(67 23358.299),(68 23013),(69 22665.605),(70 22550.205),(71 23026.53),(72 23130.477),(73 23187.674),(74 23112.39),(75 23044.455),(76 22888.443),(77 22904.951),(78 22827.934),(79 22951.982),
(1 12750.548),(2 15359.747),(3 16340.29),(4 17248.473),(5 17482.16),(6 17718.176),(7 18195.012),(8 18273.566),(9 18519.658),(10 18670.096),(11 19272.223),(12 19736.936),(13 19921.957),(14 20295.363),(15 20607.307),(16 20848.217),(17 21059.297),(18 21178.291),(19 22068.523),(20 22707.297),(21 22946.096),(22 23294.572),(23 23475.143),(24 24331.977),(25 25210.396),(26 25209.375),(27 25539.785),(28 25619.266),(29 26100.281),(30 26352.97),(31 26525.09),(32 26933.535),(33 26640.682),(34 27184.361),(35 27216.664),(36 27344.414),(37 27569.53),(38 27589.285),(39 27521.604),(40 27691.992),(41 27400.854),(42 26932.773),(43 26907.588),(44 26906.28),(45 26277.486),(46 25653.793),(47 25426.355),(48 25422.908),(49 25351.88),(50 25300.62),(51 24843.594),(52 24810.541),(53 24914.678),(54 24408.016),(55 24613.531),(56 24342.701),(57 23999.854),(58 23927.598),(59 23639.361),(60 23382.277),(61 22984.441),(62 23081.393),(63 22870.71),(64 22708.408),(65 23059.814),(66 22567.652),(67 22736.408),(68 22573.627),(69 22258.125),(70 22471.445),(71 22809.527),(72 22742.932),(73 22567.947),(74 22940.49),(75 23269.18),(76 23233.906),(77 23768.58),(78 23950.027),(79 23644.389),
(1 12167.201),(2 15106.322),(3 16134.402),(4 16783.006),(5 16906.979),(6 17114.203),(7 17257.463),(8 17520.564),(9 17877.47),(10 18106.025),(11 18428.006),(12 18610.209),(13 18400.748),(14 18529.943),(15 19022.33),(16 19073.04),(17 19198.932),(18 19726.791),(19 19956.307),(20 20160.855),(21 20560.861),(22 20956.18),(23 21247.207),(24 21390.967),(25 21588.457),(26 21988.92),(27 22677.719),(28 22683.182),(29 22976.744),(30 23008.283),(31 23172.088),(32 23828.244),(33 23461.24),(34 23329.97),(35 23756.104),(36 23980.414),(37 24149.465),(38 24059.932),(39 24155.963),(40 24463.361),(41 24063.64),(42 23808.773),(43 23670.346),(44 23939.947),(45 24008.729),(46 23843.205),(47 23644.46),(48 23407.164),(49 23483.742),(50 23130.604),(51 22936.725),(52 22989.81),(53 22720.936),(54 22325.879),(55 22616.453),(56 22576.863),(57 22904.25),(58 22507.62),(59 22185.855),(60 22075.668),(61 22051.41),(62 22141.752),(63 21982.379),(64 21995.143),(65 21992.344),(66 21875.932),(67 21764.523),(68 21963.361),(69 21534.043),(70 22108.783),(71 21832.416),(72 22191.309),(73 22199.945),(74 22242.703),(75 22566.785),(76 22771.7),(77 22593.523),(78 22629.203),(79 22630.979),
(1 11902.745),(2 15143.55),(3 15667.24),(4 16706.262),(5 16694.93),(6 17020.283),(7 17419.691),(8 17931.584),(9 18185.332),(10 18086.43),(11 18207.53),(12 18988.035),(13 19273.25),(14 19204.64),(15 19405.002),(16 19584.883),(17 19837.723),(18 20204.22),(19 20380.023),(20 20596.273),(21 20995.436),(22 21459.828),(23 21995.307),(24 22340.137),(25 22333.73),(26 22623.855),(27 23345.037),(28 23003.031),(29 23301.887),(30 23405.695),(31 23856.105),(32 24140.852),(33 24030.629),(34 24482.223),(35 24297.252),(36 24643.756),(37 24544.707),(38 24633.793),(39 24354.426),(40 24157.875),(41 23918.063),(42 23770.979),(43 24084.875),(44 23606.557),(45 23403.227),(46 23248.506),(47 23203.813),(48 22887.174),(49 23232.037),(50 22863.494),(51 22419.553),(52 22861.234),(53 22662.74),(54 22573.082),(55 22449.283),(56 22764.14),(57 22585.65),(58 22349.125),(59 21887.348),(60 21864.984),(61 22112.512),(62 21744.898),(63 21927.56),(64 22024.338),(65 21609.553),(66 21410.727),(67 21321.04),(68 21552.963),(69 21371.957),(70 21604.453),(71 21541.816),(72 21951.08),(73 21842.184),(74 21810.494),(75 22017.076),(76 21852.521),(77 22083.533),(78 22593.426),(79 22779.348),
(1 11942.4),(2 14723.505),(3 15157.576),(4 15928.352),(5 16454.85),(6 16552.736),(7 16942.896),(8 17570.445),(9 18022.291),(10 17841.066),(11 18122.697),(12 18925.568),(13 19221.662),(14 19150.434),(15 19622.152),(16 19565.639),(17 19841.852),(18 20192.137),(19 20355.996),(20 21175.252),(21 21163.598),(22 21540.309),(23 22378.145),(24 22370.504),(25 22830.508),(26 23045.113),(27 23732.904),(28 23396.316),(29 24088.643),(30 24723.629),(31 24761.834),(32 25443.527),(33 25460.318),(34 25625.7),(35 25649.81),(36 25834.479),(37 25646.104),(38 25864.686),(39 25909.627),(40 25530.416),(41 25408.672),(42 25317.555),(43 25115.19),(44 24701.574),(45 24483.738),(46 24112.203),(47 23880.08),(48 23586.484),(49 23686.8),(50 23193.03),(51 23181.908),(52 22711.158),(53 22873.656),(54 22124.95),(55 22025.826),(56 22308.697),(57 22320.217),(58 22287.969),(59 22157.912),(60 22271.295),(61 22134.936),(62 21866.822),(63 22070.195),(64 21917.219),(65 21929.268),(66 22002.447),(67 22136.322),(68 21710.424),(69 21833.504),(70 21945.424),(71 22243.375),(72 22160.176),(73 22017.504),(74 21851.414),(75 22069.32),(76 22384.86),(77 22859.117),(78 23310.55),(79 23414.361),
(1 11491.679),(2 14167.304),(3 14687.475),(4 15386.472),(5 15699.574),(6 15852.035),(7 15889.357),(8 16613.95),(9 17022.08),(10 16823.354),(11 17276.44),(12 17882.172),(13 17924.68),(14 17997.48),(15 18281.604),(16 18635.164),(17 19016.607),(18 19509.564),(19 19749.688),(20 20242.11),(21 20609.62),(22 20531.957),(23 20914.023),(24 21330.178),(25 21477.168),(26 21615.59),(27 22221.613),(28 22448.656),(29 22680.094),(30 23294.217),(31 23431.514),(32 23694.225),(33 23766.494),(34 23534.86),(35 23677.72),(36 23654.479),(37 23883.16),(38 23805.281),(39 23360.73),(40 23181.984),(41 23177.225),(42 23096.076),(43 22813.82),(44 22647.332),(45 22351.854),(46 22074.86),(47 22162.123),(48 21522.795),(49 21476.89),(50 21196.041),(51 21208.037),(52 21128.45),(53 21225.62),(54 21373.549),(55 21246.447),(56 21158.469),(57 20876.563),(58 20689.21),(59 20779.256),(60 20541.844),(61 20731.08),(62 20682.37),(63 20687.008),(64 20806.752),(65 20646.924),(66 20503.488),(67 20559.662),(68 20395.574),(69 20304.307),(70 20850.44),(71 20510.45),(72 20266.55),(73 20361.514),(74 20331.328),(75 21060.135),(76 21202.904),(77 21287.203),(78 21400.973),(79 21611.426),
(1 11786.751),(2 14394.884),(3 15061.484),(4 15618.1875),(5 16030.451),(6 16154.635),(7 16236.627),(8 16361.006),(9 16605.754),(10 16780.477),(11 17262.441),(12 17670.805),(13 17665.287),(14 18235.938),(15 18246.254),(16 18558.045),(17 18581.006),(18 18893.15),(19 19337.916),(20 19487.303),(21 20060.719),(22 20249.969),(23 20680.979),(24 21229.406),(25 21533.076),(26 21433.383),(27 21930.49),(28 22264.826),(29 22106.127),(30 22843.371),(31 22695.22),(32 22907.996),(33 22714.564),(34 23208.943),(35 23249.21),(36 23176.477),(37 22981.102),(38 23179.834),(39 22959.727),(40 22534.354),(41 22376.857),(42 22459.018),(43 22064.463),(44 22169.754),(45 22089.86),(46 21760.98),(47 21651.723),(48 21539.02),(49 21400.066),(50 21103.684),(51 21014.012),(52 20961.865),(53 20568.092),(54 20968.514),(55 21001.324),(56 21018.047),(57 20901.553),(58 20940.9),(59 20645.477),(60 20484.33),(61 20391.494),(62 20363.008),(63 20072.514),(64 20376.008),(65 20192.676),(66 20286.086),(67 20449.316),(68 20526.25),(69 20453.924),(70 20496.45),(71 20626.76),(72 20228.725),(73 20467.137),(74 20542.479),(75 20795.775),(76 21068.703),(77 21225.336),(78 21096.418),(79 21553.31),
(1 11282.108),(2 13843.086),(3 14224.882),(4 14940.411),(5 15123.404),(6 15369.566),(7 15914.38),(8 16003.483),(9 16477.145),(10 16634.354),(11 16672.973),(12 17212.746),(13 17369.328),(14 17139.754),(15 17414.916),(16 17891.113),(17 17668.639),(18 18275.902),(19 18810.85),(20 19241.941),(21 19465.752),(22 20117.025),(23 20355.482),(24 20566.38),(25 20842.758),(26 21271.34),(27 21822.29),(28 22217.709),(29 22112.414),(30 22201.387),(31 22629.45),(32 22671.5),(33 22888.967),(34 22889.62),(35 23217.184),(36 23504.383),(37 22903.992),(38 23310.402),(39 22967.273),(40 22948.336),(41 22778.916),(42 22700.055),(43 22252.904),(44 21618.139),(45 21446.97),(46 21504.639),(47 21096.203),(48 20969.879),(49 20709.727),(50 20725.158),(51 20819.584),(52 20607.574),(53 20735.184),(54 20408.781),(55 20396.082),(56 19828.693),(57 19865.14),(58 19908.145),(59 19588.084),(60 19591.271),(61 19462.488),(62 19554.184),(63 19462.697),(64 19265.469),(65 19680.73),(66 19506.201),(67 19721.32),(68 19831.287),(69 19825.871),(70 19704.336),(71 19954.313),(72 20018.127),(73 19946.982),(74 20385.23),(75 20286.93),(76 20614.004),(77 20787.406),(78 20958.088),(79 21119.525),
(1 11021.143),(2 13562.021),(3 14167.214),(4 14718.465),(5 14929.417),(6 15212.597),(7 15617.6045),(8 15764.164),(9 15770.142),(10 15952.392),(11 16151.27),(12 16549.756),(13 16727.598),(14 16698.936),(15 17131.783),(16 17165.463),(17 17072.22),(18 17499.656),(19 17656.047),(20 18065.02),(21 18814.82),(22 19346.004),(23 19592.422),(24 19641.818),(25 19800.098),(26 20551.5),(27 21175.568),(28 21098.105),(29 21404.56),(30 21654.27),(31 21574.316),(32 21407.578),(33 21512.057),(34 21921.877),(35 21879.281),(36 21910.205),(37 21885.023),(38 21929.977),(39 21757.412),(40 21846.236),(41 21578.1),(42 21133.299),(43 21096.713),(44 20792.635),(45 20795.258),(46 20667.959),(47 20288.396),(48 20177.027),(49 19771.25),(50 19957.08),(51 19939.863),(52 19863.396),(53 19662.291),(54 19743.605),(55 19425.494),(56 19208.879),(57 19093.352),(58 19186.576),(59 19151.078),(60 19110.338),(61 19115.326),(62 19243.717),(63 19106.85),(64 19143.926),(65 19226.412),(66 19211.152),(67 19113.406),(68 19278.242),(69 19141.69),(70 18927.47),(71 19250.682),(72 19136.455),(73 19241.326),(74 19327.621),(75 19664.25),(76 19401.135),(77 19662.762),(78 19636.11),(79 19626.531),
(1 11202.343),(2 13564.964),(3 14455.257),(4 14897.167),(5 14950.524),(6 15338.429),(7 15876.194),(8 16004.598),(9 16349.621),(10 16386.96),(11 16488.506),(12 17127.607),(13 16940.277),(14 17137.207),(15 17561.355),(16 17603.492),(17 18135.191),(18 18472.77),(19 18622.514),(20 19059.55),(21 19004.129),(22 19758.977),(23 20098.807),(24 20678.541),(25 21197.998),(26 21793.521),(27 21832.553),(28 22166.297),(29 22398.578),(30 22327.023),(31 22886.688),(32 22898.148),(33 22726.44),(34 23143.246),(35 22888.996),(36 23142.574),(37 22989.996),(38 22929.758),(39 22646.805),(40 22221.467),(41 22150.375),(42 22137.742),(43 21442.63),(44 21387.924),(45 21036.85),(46 20772.617),(47 20258.193),(48 20489.688),(49 20107.52),(50 19958.535),(51 20068.576),(52 20040.47),(53 20125.21),(54 20114.172),(55 19711.344),(56 19928.875),(57 19749.238),(58 19625.49),(59 19709.264),(60 19745.756),(61 19497.537),(62 19297.219),(63 19121.387),(64 18965.06),(65 19389.197),(66 19287.57),(67 19314.084),(68 19251.941),(69 19312.363),(70 19163.342),(71 19239.662),(72 19218.559),(73 19474.291),(74 19803.08),(75 19902.678),(76 19893.27),(77 20021.521),(78 20177.299),(79 20232.605),
