1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 50714.8),(2 188912.58),(3 389820),(4 644531.3),(5 943349.5),(6 1289305.6),(7 1665136.1),(8 2060841.6),(9 2459190),(10 2897510.8),(11 3393296),(12 3926909.8),(13 4474133.5),(14 4991924.5),(15 5472458.5),(16 5936098),(17 6390450.5),(18 6693944),(19 6926936),(20 6974662.5),(21 6959792),(22 6891608),(23 6741290.5),(24 6527664),(25 6298524.5),(26 6045818.5),(27 5763058.5),(28 5452745.5),(29 5185720.5),(30 4958175.5),(31 4777442),(32 4664134.5),(33 4623542),(34 4599437.5),(35 4644130.5),(36 4751613.5),(37 4862176.5),(38 4999293.5),(39 5139464),(40 5300509.5),(41 5565336),(42 5879540),(43 6185776),(44 6544992),(45 6937577.5),(46 7409373.5),(47 7968478.5),(48 8646312),(49 9401096),(50 10199140),(51 11067239),(52 11952756),(53 12926559),(54 13929740),(55 14955845),(56 16066467),(57 17194906),(58 18437250),(59 19697682),(60 20979398),(61 22301586),(62 23564048),(63 24806162),(64 26063280),(65 27341446),(66 28568226),(67 29785578),(68 30904226),(69 31871194),(70 32735974),(71 33582730),(72 34413412),(73 35292976),(74 36160216),(75 37024508),(76 37926444),(77 38800460),(78 39623964),(79 40396490),
(1 20125.037),(2 63769.145),(3 111046.54),(4 151170.34),(5 182051.6),(6 205329.28),(7 221219.22),(8 235529.27),(9 247236.05),(10 256213.95),(11 266237.6),(12 274321.9),(13 281288.5),(14 286873.88),(15 289729.5),(16 291601.34),(17 296067.34),(18 300290.97),(19 300261.7),(20 300338.75),(21 299928.8),(22 301148.4),(23 302720.56),(24 306077.16),(25 312997.22),(26 320926.5),(27 328111.47),(28 332624.44),(29 332550.25),(30 331026.84),(31 330441.4),(32 331000.78),(33 336259.03),(34 340496.34),(35 341674.6),(36 338337.9),(37 333482.9),(38 330875.47),(39 328735.03),(40 328232.25),(41 328198.53),(42 327117.7),(43 324756.94),(44 321083.63),(45 317873.47),(46 316718.84),(47 317604.3),(48 317709.75),(49 317631.5),(50 319119.75),(51 321015.47),(52 323190.03),(53 326356.03),(54 329851.75),(55 331343.03),(56 330921.75),(57 332698.78),(58 335492.25),(59 336612.38),(60 336494.28),(61 337199.25),(62 337304.5),(63 339190.8),(64 341268.63),(65 344277.22),(66 346432.25),(67 347963.7),(68 348687.47),(69 350079.34),(70 352626.16),(71 353611.6),(72 354564.97),(73 356152.66),(74 358237.78),(75 359985.03),(76 361916),(77 362859.56),(78 361787.22),(79 358788.44),
(1 19574.89),(2 61645.363),(3 107404.484),(4 146171.22),(5 173412.77),(6 191190.81),(7 203580.67),(8 216281.9),(9 227813.81),(10 235223.45),(11 243402.84),(12 253429.47),(13 262851.72),(14 270193.34),(15 276252.66),(16 278112.16),(17 278242.78),(18 277369.38),(19 276339.6),(20 276856.16),(21 278669.1),(22 280347.06),(23 283917.34),(24 287698.2),(25 291505.16),(26 295085.78),(27 297793),(28 303420.7),(29 306794.2),(30 306397.06),(31 305304.9),(32 305776.3),(33 308331.5),(34 310071.5),(35 309334.06),(36 306387.16),(37 302650.63),(38 301012.53),(39 303668.66),(40 307357.7),(41 307994.2),(42 307471.28),(43 306707.72),(44 306995.1),(45 308063.66),(46 309690.66),(47 311550.44),(48 312933.4),(49 312205.8),(50 312578.38),(51 313396.84),(52 316214.88),(53 321631.03),(54 327258.72),(55 331403.4),(56 332185.13),(57 331941.8),(58 330695.03),(59 329013.16),(60 328539.3),(61 327159.6),(62 325088.25),(63 322468.2),(64 322471.84),(65 324008.38),(66 325603.66),(67 327817.97),(68 330385.6),(69 333487.4),(70 335572.13),(71 336696.28),(72 335416.3),(73 332472.56),(74 330951.94),(75 329902.22),(76 329666.13),(77 331476.78),(78 332211.3),(79 333188),
(1 19657.877),(2 61985.906),(3 105440.445),(4 141061.39),(5 168248.72),(6 187019.13),(7 200217.98),(8 212504.42),(9 221828.89),(10 229362.42),(11 238778.97),(12 248555.23),(13 253721.25),(14 257707.63),(15 260475.36),(16 261032.94),(17 262628.88),(18 265203.06),(19 266211.66),(20 267429.16),(21 268348.88),(22 270522.63),(23 273642.9),(24 276860.44),(25 280265.38),(26 285117.97),(27 287683.16),(28 289687.7),(29 291617.88),(30 293425.28),(31 294313.3),(32 295866.25),(33 299280.75),(34 301460.2),(35 302858.06),(36 302948.7),(37 305065.1),(38 305745.16),(39 308710.9),(40 313409.7),(41 315828.9),(42 317268.66),(43 317335.72),(44 316711.88),(45 315536.56),(46 315164.28),(47 314607.06),(48 313245.2),(49 312875.72),(50 314759.06),(51 316189.94),(52 316872.78),(53 316059.06),(54 315684.1),(55 318359.53),(56 319337.53),(57 320259.44),(58 321686.3),(59 322037.28),(60 321819.4),(61 321295.75),(62 321828.28),(63 324002.06),(64 326715.9),(65 329464),(66 329692.47),(67 328223.38),(68 327026.2),(69 325454.8),(70 324000.56),(71 322651.8),(72 320115.3),(73 317728.78),(74 316266.06),(75 315318.22),(76 315192.03),(77 315747.4),(78 314049.7),(79 311371.97),
(1 18276.732),(2 57403.793),(3 97802.67),(4 131137.11),(5 156469.11),(6 175623.36),(7 191650.13),(8 205409.28),(9 217211.28),(10 227287.1),(11 235395.39),(12 242941.55),(13 250013.11),(14 256961.72),(15 261201.27),(16 263392.7),(17 263934.44),(18 263628.72),(19 261448.58),(20 259320.2),(21 258463.83),(22 259270.94),(23 259425.08),(24 259089.89),(25 260999.55),(26 265560.66),(27 269677.56),(28 272997.47),(29 275246.28),(30 272977.75),(31 270447.53),(32 268116.06),(33 270493.94),(34 274136.06),(35 274235.22),(36 273504),(37 273758.88),(38 274540.5),(39 277343.25),(40 280061.84),(41 281562.34),(42 282352.56),(43 282198.56),(44 281635.06),(45 281068.25),(46 281773.84),(47 280916.72),(48 279611.72),(49 282612.1),(50 285819.13),(51 286566.6),(52 286933.13),(53 288750),(54 289090.94),(55 288252.9),(56 287191.5),(57 287588.94),(58 288086.3),(59 287081.72),(60 284523.34),(61 281878.22),(62 280486.2),(63 280976.88),(64 282556.88),(65 284499.53),(66 286245.66),(67 287099.16),(68 286877.44),(69 286330.4),(70 284224.44),(71 282177.34),(72 279307.72),(73 277527.2),(74 274895.9),(75 272720.25),(76 270719.44),(77 270426.47),(78 271323),(79 271911.25),
(1 18415.36),(2 57318.28),(3 96332.73),(4 125585.88),(5 146033.22),(6 159960.11),(7 170958.3),(8 181595.92),(9 190780.78),(10 197587.3),(11 202511.8),(12 207082.61),(13 212274.14),(14 217149.83),(15 219620.06),(16 221336.36),(17 222046.1),(18 222775.7),(19 223266.42),(20 223509.3),(21 225151.66),(22 227212.42),(23 227557.58),(24 228828.13),(25 230456.81),(26 233174.61),(27 236032.84),(28 237959.4),(29 237619.27),(30 235668.11),(31 236370.64),(32 240612.53),(33 245321.52),(34 249345.77),(35 251343.98),(36 252355.19),(37 254138.2),(38 256337.03),(39 259197.77),(40 262234.25),(41 264433.28),(42 265011.5),(43 264862.06),(44 264474.5),(45 262996.22),(46 261372.19),(47 261435.52),(48 263671.03),(49 265800.28),(50 268413.2),(51 268812.28),(52 269179.2),(53 271002.34),(54 273615.13),(55 276428.03),(56 278697.84),(57 281052.2),(58 283292.2),(59 284176.56),(60 283158.56),(61 280461.75),(62 277491.6),(63 274335.75),(64 272938.47),(65 273647.2),(66 276000.1),(67 276801.22),(68 275271.75),(69 272662.25),(70 270296.06),(71 267829.75),(72 263307.72),(73 259330.72),(74 257473.86),(75 254625.5),(76 254927.66),(77 255899.08),(78 255459.94),(79 257481.1),
(1 19019.969),(2 59867.855),(3 100482.53),(4 128881.86),(5 147959.78),(6 160631.34),(7 170036.84),(8 180156.84),(9 189209.72),(10 196904.5),(11 204048.05),(12 209396.81),(13 214358.53),(14 218597.95),(15 220067.1),(16 221153.77),(17 223716.17),(18 223737.05),(19 223660.75),(20 224074.5),(21 226858.34),(22 229462.53),(23 229674.58),(24 229747.33),(25 229951.84),(26 230002.58),(27 229594.1),(28 229764.39),(29 230977.53),(30 231753.31),(31 234772.72),(32 241528.31),(33 247771.17),(34 251875.84),(35 252189.95),(36 250188.25),(37 249743.42),(38 250924.64),(39 253338.67),(40 255978.36),(41 256768.44),(42 255698.58),(43 254898.38),(44 253163.25),(45 251605.72),(46 252030.44),(47 252215.06),(48 252064.72),(49 251984.39),(50 253342.84),(51 253905.83),(52 252867.31),(53 253142.14),(54 254502.55),(55 255048.47),(56 254270.77),(57 254131.48),(58 255669.2),(59 257210.45),(60 258346.52),(61 258456.89),(62 259206.55),(63 259449.75),(64 259847.06),(65 260846.3),(66 263261.7),(67 263439.97),(68 262117.64),(69 260354.5),(70 257764.44),(71 257984.83),(72 260540.31),(73 260675.13),(74 259129.86),(75 257892.2),(76 259217.42),(77 262423.34),(78 265991.6),(79 268794.63),
(1 17923.229),(2 55013.91),(3 91579.54),(4 119069.38),(5 138770.89),(6 152777.48),(7 162966.67),(8 172858.48),(9 181694.13),(10 189531.13),(11 198279.56),(12 204986.42),(13 209270.97),(14 211439.19),(15 214436.92),(16 214664.2),(17 214317.52),(18 213322.33),(19 213451.5),(20 217479.16),(21 221606.95),(22 222498.34),(23 221862.77),(24 221043.86),(25 220880.33),(26 222932.84),(27 226084.75),(28 228816.17),(29 232553.48),(30 237201.58),(31 241613.39),(32 245813.1),(33 248323.19),(34 249251.08),(35 245940.48),(36 242583.6),(37 243048.61),(38 246424.67),(39 250371.19),(40 255112.1),(41 256342.9),(42 255533.03),(43 254269.06),(44 252206.56),(45 249232.36),(46 247440.75),(47 245672.44),(48 245011.55),(49 244576.31),(50 246524.63),(51 247951.4),(52 248638.66),(53 249237.75),(54 250928.1),(55 253957.27),(56 255831.16),(57 257465.78),(58 260600.9),(59 262574.97),(60 263742.8),(61 263845.03),(62 262717.97),(63 262330.6),(64 263325.88),(65 265277.56),(66 267125.53),(67 268677.9),(68 268717.4),(69 269109.22),(70 269521.7),(71 267707.97),(72 265755.28),(73 263711.4),(74 261755.1),(75 261003.52),(76 261543.34),(77 262937.88),(78 264463.38),(79 264942.06),
(1 17950.787),(2 54276.11),(3 89165.53),(4 115152.44),(5 134878.27),(6 148741.8),(7 160482.33),(8 171213.17),(9 179731.72),(10 186080.95),(11 189722.31),(12 191286.7),(13 193664.52),(14 196173.13),(15 197194.19),(16 197453.1),(17 199539.53),(18 201773.75),(19 204009.75),(20 208884.2),(21 213569.89),(22 216110.94),(23 217629.72),(24 220153.67),(25 222032.17),(26 221830.81),(27 219165.16),(28 215942.61),(29 214455.38),(30 215804.1),(31 218901.44),(32 221978.2),(33 224325.66),(34 225079.81),(35 223955.1),(36 223056.3),(37 223600),(38 225716.44),(39 229139.11),(40 231647.45),(41 233882.97),(42 233902.28),(43 234038.63),(44 234197.75),(45 235093.97),(46 236749.47),(47 238069.47),(48 241925.56),(49 246620.05),(50 249947.89),(51 252322.19),(52 253406.03),(53 252519.33),(54 251102.84),(55 251051.75),(56 252071.53),(57 252634.3),(58 251469.05),(59 249289.75),(60 249116.25),(61 251536.73),(62 252704.06),(63 254062.7),(64 255349.77),(65 257187.6),(66 259477.69),(67 261830),(68 265071.8),(69 266953.63),(70 267527.1),(71 265407.4),(72 263879.8),(73 262985.4),(74 265355.3),(75 267484.75),(76 268098.63),(77 268091.34),(78 269772.75),(79 271530),
(1 16832.605),(2 50725.7),(3 83375.27),(4 107360.82),(5 125003.86),(6 137769.52),(7 150714.3),(8 162789.4),(9 171403.84),(10 180056.97),(11 187954.66),(12 193510.69),(13 194863.48),(14 196700.92),(15 197176.22),(16 197316.27),(17 198344.3),(18 199377.84),(19 200467.03),(20 202283.3),(21 204103.56),(22 206427.66),(23 208920.45),(24 211878.36),(25 213906.45),(26 213956.58),(27 212991.7),(28 213784),(29 215734.47),(30 217888.61),(31 220258.44),(32 221175.61),(33 222268.67),(34 222198.47),(35 223362.22),(36 224524.67),(37 225023.25),(38 226358.03),(39 228009.39),(40 229032.7),(41 230216.89),(42 229625.61),(43 229325.11),(44 229485.2),(45 228816.2),(46 228183.14),(47 227797.02),(48 229399.8),(49 230811.25),(50 229948.34),(51 229258.2),(52 229189.83),(53 228668.16),(54 228001.27),(55 228163.92),(56 227902.08),(57 225235.34),(58 220324.78),(59 216723.7),(60 215723.89),(61 218199.45),(62 222980.06),(63 225050.45),(64 225587.3),(65 226182.47),(66 226554.16),(67 226851.53),(68 228448.89),(69 228703.33),(70 227713.89),(71 225913.27),(72 223341.6),(73 221297.72),(74 221057.55),(75 221677.53),(76 222683.97),(77 223131.6),(78 224016.95),(79 226129.75),
(1 17130.674),(2 51312.996),(3 82813.664),(4 105323.336),(5 121958.68),(6 134348.97),(7 146511.69),(8 158336.14),(9 164214.9),(10 170640.1),(11 175923.47),(12 178174.22),(13 179113.58),(14 180228.7),(15 182870.03),(16 186172.19),(17 190445.6),(18 193954.78),(19 195190.78),(20 196206.64),(21 196334.4),(22 197294.13),(23 199132.89),(24 201748.78),(25 204440.45),(26 207247.64),(27 208389.63),(28 209034.67),(29 211072.08),(30 213682.83),(31 215968.13),(32 217887.03),(33 219680.89),(34 220926.69),(35 221348.08),(36 218736.56),(37 216128.16),(38 217054.56),(39 219812.53),(40 221175.81),(41 222178.25),(42 223186.44),(43 224975.36),(44 227171.9),(45 229049.47),(46 228818.13),(47 228047.97),(48 229062.58),(49 229542.19),(50 228865.95),(51 228944.58),(52 227988.44),(53 229019.2),(54 230660.22),(55 230970.78),(56 229693.88),(57 226752.08),(58 224666.92),(59 224591.16),(60 224640.02),(61 225365.44),(62 226846.05),(63 228945.05),(64 230535.66),(65 232052.1),(66 232935.92),(67 234445.48),(68 235746.88),(69 235475.98),(70 234077.45),(71 233419.25),(72 232908.69),(73 232019.16),(74 231682.69),(75 231863.2),(76 230667.3),(77 229750.42),(78 230431.5),(79 231029.45),
(1 17153.516),(2 50206.855),(3 80448.14),(4 102868.81),(5 118032.445),(6 129954.8),(7 140058.33),(8 148481.17),(9 154753.47),(10 159275.33),(11 163012.38),(12 166575.33),(13 170016.6),(14 174087.44),(15 178223.36),(16 182605),(17 185538.38),(18 186776.83),(19 186133.27),(20 187204.03),(21 189322.56),(22 193045.61),(23 196596.48),(24 198194.03),(25 196404.31),(26 195366.11),(27 194818.47),(28 194832.73),(29 196329.97),(30 197802.11),(31 199770.42),(32 202073.39),(33 204701.17),(34 206063.11),(35 205242.28),(36 203725.44),(37 202638.63),(38 203023.67),(39 204726.61),(40 205294.63),(41 207090.1),(42 207855.44),(43 207117.08),(44 206268.14),(45 204408.89),(46 203429.08),(47 204997.6),(48 209116.81),(49 213512.42),(50 214325.28),(51 212737.27),(52 212763.38),(53 214712.28),(54 215015.56),(55 212177.92),(56 207624.38),(57 203969.44),(58 204577.02),(59 208080.63),(60 211114.98),(61 213863.3),(62 215866.98),(63 217263.56),(64 218873.11),(65 219219.06),(66 218302.47),(67 215874.98),(68 215639.88),(69 214587.58),(70 213372.9),(71 211548.86),(72 209579.61),(73 208755.92),(74 208624.77),(75 207421.47),(76 205671.27),(77 205932.06),(78 206744.63),(79 207731.63),
(1 16888.373),(2 49639.27),(3 78931.375),(4 99942.71),(5 114310.875),(6 126114.79),(7 136179.86),(8 144799.78),(9 149710.14),(10 154134.95),(11 157735.92),(12 160585.94),(13 163360.47),(14 164594.88),(15 166090.36),(16 168505.69),(17 169812.44),(18 169550.83),(19 169663.45),(20 172420.44),(21 177812.5),(22 182980.38),(23 186524.11),(24 186689.31),(25 185995.66),(26 189295.05),(27 193035.16),(28 192872.81),(29 189544.25),(30 187598.17),(31 187347.14),(32 188771.08),(33 189659.38),(34 191782.1),(35 195808.31),(36 198488.4),(37 199212.13),(38 199598.08),(39 200300.53),(40 200607.27),(41 201507.55),(42 202446.08),(43 201554.1),(44 199775.05),(45 199951.42),(46 201382.7),(47 202855.72),(48 201975.95),(49 199406.45),(50 196088.98),(51 195527.81),(52 198091.45),(53 203058.67),(54 207255.42),(55 208103.86),(56 207982.14),(57 208062.25),(58 208496.66),(59 209956.97),(60 211499.11),(61 212993.61),(62 213664.45),(63 212957.55),(64 212214.28),(65 212688.36),(66 212710.77),(67 212618.75),(68 212420.25),(69 211428.53),(70 210315.19),(71 209175.44),(72 209142.03),(73 207988.19),(74 207157.25),(75 206387.66),(76 206590.66),(77 207499.08),(78 207342.88),(79 206059.97),
(1 16849.867),(2 50422.816),(3 80840.52),(4 101587.57),(5 114881.14),(6 125128.73),(7 135297.69),(8 143656.89),(9 147730.7),(10 152095.58),(11 156168.77),(12 158089.03),(13 160369.19),(14 162095.4),(15 163988.08),(16 167188.16),(17 169121.05),(18 169707.25),(19 170603.8),(20 173053.69),(21 176817.84),(22 179736.77),(23 181548.47),(24 183568.23),(25 185809.8),(26 190184.48),(27 192184.5),(28 192739.61),(29 191885.69),(30 192055.14),(31 194325.05),(32 195866.19),(33 193990.73),(34 191675.75),(35 190961.94),(36 191387.64),(37 193131.78),(38 196732.75),(39 198153.69),(40 198254.69),(41 197976.7),(42 198050.13),(43 198644.61),(44 200021.72),(45 202005.6),(46 202936.27),(47 202768.52),(48 200122.08),(49 197004.23),(50 195557.02),(51 195369.27),(52 195832.27),(53 197548.28),(54 199472.63),(55 203210.16),(56 206887.5),(57 208881.36),(58 210386.69),(59 211962.44),(60 212892.9),(61 211616.4),(62 209217.77),(63 207877.08),(64 207138.67),(65 207303.39),(66 207798.06),(67 207982.47),(68 207289.98),(69 206747.34),(70 205722.08),(71 205826.98),(72 207059.6),(73 207701.39),(74 209036.81),(75 208344.3),(76 206288.23),(77 204650.67),(78 203462.72),(79 202295.64),
(1 16731.756),(2 49624.38),(3 78700.8),(4 97972.03),(5 110472.99),(6 120357.8),(7 129014.664),(8 135989.94),(9 138545.89),(10 141677.67),(11 144385.05),(12 147397.42),(13 150852.03),(14 153924.88),(15 157734.34),(16 160869.38),(17 162780.75),(18 164039.25),(19 166761.8),(20 170900.34),(21 173073.48),(22 172839.2),(23 173031.03),(24 174691.8),(25 177092.84),(26 178410.64),(27 177882.88),(28 177047.23),(29 177700.8),(30 181393.81),(31 184764.52),(32 187255.47),(33 188237.33),(34 187440.44),(35 185901.94),(36 184856.33),(37 184570.89),(38 184895.05),(39 185277.14),(40 186060.13),(41 186806.4),(42 187723.31),(43 190067.81),(44 192988.83),(45 193606.73),(46 192494.77),(47 190425.89),(48 189415.25),(49 189197.53),(50 188992.56),(51 188370.19),(52 188278.92),(53 189050.11),(54 190537.25),(55 191643.67),(56 193048.98),(57 194483.6),(58 195183.67),(59 194458.8),(60 193919.17),(61 193716.48),(62 193861.56),(63 193672.23),(64 192546.31),(65 191049.38),(66 190134.5),(67 190577.84),(68 190892.45),(69 190854.13),(70 191314.97),(71 191146.81),(72 191060.06),(73 190990.94),(74 193047.17),(75 193496.53),(76 192579.66),(77 191315.61),(78 190974.38),(79 190141.31),
(1 15700.98),(2 46095.953),(3 73358.98),(4 91766.72),(5 103636.34),(6 112933.695),(7 120761.99),(8 127383.016),(9 133273.58),(10 139194.83),(11 144525.94),(12 149316.75),(13 153044.86),(14 156440.7),(15 157889.17),(16 158803.64),(17 159559.11),(18 160626.27),(19 162224.52),(20 163887.28),(21 166720.27),(22 169519.55),(23 171938.56),(24 173902.64),(25 174512.5),(26 173716.8),(27 172499.56),(28 171925.03),(29 173099.6),(30 176102.17),(31 178943.5),(32 179853.1),(33 179737.78),(34 178321),(35 176325.56),(36 176185.3),(37 175846.89),(38 176063.48),(39 176642.97),(40 177421.97),(41 177638.17),(42 178198.2),(43 180952.45),(44 185309.72),(45 187734.05),(46 186527.02),(47 184635.42),(48 183347.39),(49 182663.52),(50 182488.16),(51 182742.17),(52 184421.64),(53 185839.34),(54 185202.73),(55 183101.75),(56 180861.5),(57 179430.23),(58 178494.22),(59 177915.77),(60 177424.47),(61 176278.94),(62 175184.19),(63 174915.03),(64 175644.7),(65 175717.33),(66 175935.23),(67 175916.58),(68 177022.53),(69 178292.84),(70 179022.19),(71 180499.56),(72 183142.33),(73 185105.58),(74 186960.34),(75 187517.98),(76 187465.28),(77 187445.23),(78 187809.5),(79 188624.86),
(1 16139.467),(2 46952.586),(3 74748.1),(4 92394.38),(5 103017.336),(6 112597.15),(7 120940.48),(8 127230.37),(9 132039.06),(10 136216.47),(11 141177.63),(12 146220.06),(13 149069.47),(14 152135.13),(15 154628.98),(16 155501.81),(17 155470.38),(18 156964.64),(19 159352.9),(20 160759.11),(21 161903.7),(22 162998.05),(23 164836.17),(24 167336.05),(25 168714.95),(26 167333.64),(27 165073.98),(28 164144.17),(29 164728.95),(30 166861.42),(31 169149.11),(32 169503.66),(33 169863.16),(34 172385.92),(35 173861.06),(36 174155.27),(37 173770.9),(38 174312.6),(39 176434.1),(40 176866.75),(41 175126.95),(42 174895.94),(43 175139.98),(44 177015.38),(45 178617.3),(46 178572.45),(47 179478.44),(48 181190.31),(49 182524.2),(50 183500.67),(51 183047.14),(52 182559.67),(53 183429.5),(54 184146.19),(55 184615.95),(56 186046.13),(57 187700.34),(58 188468.4),(59 187245.66),(60 185150.92),(61 181854.48),(62 179540.16),(63 178701.13),(64 178918),(65 179586.63),(66 181673.83),(67 184688.58),(68 185265.84),(69 185477.52),(70 185956.05),(71 186935.39),(72 188530.27),(73 191134.4),(74 193358.1),(75 193789.81),(76 195041.2),(77 196730.4),(78 198068.02),(79 197234.02),
(1 15765.326),(2 46674.64),(3 75323.11),(4 94242.63),(5 106095.93),(6 115381.125),(7 123581.51),(8 128530.02),(9 132071.63),(10 134603.67),(11 136769.88),(12 140463.5),(13 143997.69),(14 147583.88),(15 151526.36),(16 153300.22),(17 153461.45),(18 153646.77),(19 154245.92),(20 154830.1),(21 156166.89),(22 157557.48),(23 157929.1),(24 157886.77),(25 157347.45),(26 157002),(27 157853.84),(28 158176.11),(29 158887.48),(30 159487.73),(31 160023.72),(32 161100.9),(33 160967.94),(34 161245.58),(35 160420.16),(36 159529.11),(37 159376.36),(38 161408.22),(39 162406.28),(40 163037.84),(41 164401.42),(42 165921.47),(43 167447.42),(44 168599.98),(45 169640.11),(46 170517.36),(47 172092.23),(48 173049.64),(49 172832.72),(50 171571.66),(51 169459.06),(52 168782.39),(53 169920.88),(54 171536.94),(55 171174.64),(56 170108.75),(57 170155.47),(58 171200.1),(59 172797.7),(60 171970.3),(61 169697.6),(62 167313.52),(63 167041.89),(64 168743.5),(65 169672.9),(66 168932.45),(67 167412.1),(68 166963.1),(69 167277.95),(70 168164.75),(71 169840.2),(72 171802.92),(73 173909.36),(74 176091.88),(75 175829.9),(76 175860.75),(77 175796.47),(78 175711.89),(79 175468.66),
(1 16047.343),(2 46778.684),(3 74282.195),(4 93728.92),(5 106617),(6 116169.95),(7 123740.83),(8 129192.875),(9 133750.56),(10 138325),(11 139486),(12 142245.83),(13 145809.23),(14 148846.5),(15 151759.47),(16 153424.89),(17 154556.83),(18 155033.6),(19 156662.27),(20 158490.61),(21 160140.83),(22 162245.9),(23 164169.1),(24 163559.22),(25 162804.84),(26 163372.4),(27 163897.2),(28 164639.44),(29 164133.47),(30 162902.66),(31 162904.06),(32 164029.2),(33 165659.73),(34 166383.81),(35 166594.42),(36 167105.97),(37 167669.33),(38 168491.06),(39 168217.11),(40 167430.31),(41 166495.14),(42 165340.4),(43 165946.11),(44 166151.7),(45 166009.23),(46 166762.64),(47 167231.52),(48 167218.34),(49 166587.34),(50 166549.64),(51 166907.28),(52 167287.89),(53 168468.22),(54 170070.25),(55 170652.14),(56 170534.48),(57 170900.7),(58 173110),(59 177433.08),(60 181610.61),(61 182927.94),(62 183133.27),(63 183547.81),(64 185814.53),(65 188723.31),(66 190911.28),(67 192726.9),(68 195350.78),(69 196116.47),(70 197132.4),(71 198528.06),(72 199897.1),(73 200810),(74 200021.03),(75 199150.67),(76 198569.27),(77 198970.98),(78 199529.52),(79 198577.03),
