1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 92231.03),(2 133166.27),(3 152210.52),(4 295503.75),(5 411003.16),(6 488588.47),(7 673757.5),(8 833573),(9 953753.2),(10 1160393.3),(11 1318830.1),(12 1423221.4),(13 1619100),(14 1771095.4),(15 1889891.5),(16 2081755.6),(17 2249083.3),(18 2379292.3),(19 2578632.5),(20 2745734.8),(21 2885759.3),(22 3125599.8),(23 3323853.3),(24 3514476.3),(25 3818040.8),(26 4032244.3),(27 4270786),(28 4596269),(29 4860846.5),(30 5128688),(31 5502332),(32 5855480),(33 6208414.5),(34 6598030.5),(35 6958573.5),(36 7323210),(37 7756801.5),(38 8152624.5),(39 8594641),(40 9073397),(41 9505825),(42 10001683),(43 10556910),(44 10956949),(45 11471476),(46 11991520),(47 12500183),(48 13077337),(49 13579067),(50 14048900),(51 14619764),(52 15102763),(53 15553901),(54 16040559),(55 16537193),(56 16957738),(57 17491090),(58 18078786),(59 18543018),(60 19078690),(61 19586766),(62 20053918),(63 20617920),(64 21117974),(65 21536784),(66 22034644),(67 22602774),(68 23097546),(69 23563326),(70 24092910),(71 24548032),(72 25067936),(73 25780250),(74 26239174),(75 26860106),(76 27440698),(77 27914864),(78 28454842),(79 28964026),
(1 3560.7341),(2 6043.0313),(3 5964.136),(4 5987.656),(5 6172.827),(6 6442.249),(7 6516.17),(8 6430.2773),(9 6625.2627),(10 6715.953),(11 6876.6733),(12 7105.1025),(13 7118.432),(14 7248.114),(15 7344.583),(16 7318.054),(17 7370.1367),(18 7424.7676),(19 7582.946),(20 7683.3203),(21 7620.028),(22 7578.792),(23 7691.9673),(24 7847.571),(25 7933.794),(26 7882.8325),(27 7938.776),(28 7882.2725),(29 7821.2656),(30 7921.184),(31 8026.7104),(32 7922.0195),(33 7882.0757),(34 7915.729),(35 7919.518),(36 7802.832),(37 7637.284),(38 7683.33),(39 7737.599),(40 7818.4355),(41 7769.9775),(42 7608.1567),(43 7631.3647),(44 7540.4834),(45 7576.5586),(46 7584.852),(47 7546.017),(48 7532.053),(49 7641.675),(50 7672.367),(51 7597.792),(52 7558.722),(53 7523.535),(54 7480.7456),(55 7486.6074),(56 7480.046),(57 7593.0664),(58 7433.25),(59 7399.7827),(60 7333.258),(61 7289.5083),(62 7233.288),(63 7172.1216),(64 7378.0015),(65 7281.335),(66 7170.5054),(67 7108.4385),(68 7085.5874),(69 7129.778),(70 7069.5767),(71 7035.49),(72 7121.5796),(73 6954.6787),(74 7043.8906),(75 7159.1147),(76 7058.8345),(77 6863.905),(78 6824.046),(79 6920.4604),
(1 3532.308),(2 5975.477),(3 5836.8296),(4 5799.601),(5 5930.7944),(6 6156.4688),(7 6258.539),(8 6290.6685),(9 6561.043),(10 6600.786),(11 6734.8184),(12 6913.575),(13 6958.27),(14 7005.3413),(15 7167.8496),(16 7130.133),(17 7089.3237),(18 7205.7363),(19 7370.0015),(20 7477.401),(21 7563.551),(22 7493.6665),(23 7578.403),(24 7673.484),(25 7690.415),(26 7515.687),(27 7570.2314),(28 7522.9907),(29 7488.2266),(30 7638.6074),(31 7683.1323),(32 7694.8916),(33 7711.514),(34 7693.005),(35 7736.82),(36 7663.7666),(37 7533.9365),(38 7539.202),(39 7631.834),(40 7544.5674),(41 7454.9946),(42 7542.909),(43 7493.5225),(44 7350.6694),(45 7314.5205),(46 7302.7617),(47 7262.4844),(48 7246.4917),(49 7197.789),(50 7285.71),(51 7246.7295),(52 7183.449),(53 7157.658),(54 7170.269),(55 7199.6885),(56 7174.4634),(57 7223.3413),(58 7198.3726),(59 7179.8237),(60 7235.6836),(61 7300.579),(62 7071.3975),(63 6969.183),(64 7102.734),(65 7089.724),(66 7013.909),(67 7045.303),(68 7025.4985),(69 6923.3374),(70 6876.19),(71 6940.92),(72 6918.936),(73 6898.2026),(74 6967.9365),(75 7062.428),(76 7078.4194),(77 6909.992),(78 6889.797),(79 7063.9224),
(1 3449.4658),(2 5835.262),(3 5776.791),(4 5849.4424),(5 5988.0674),(6 6140.2935),(7 6215.1143),(8 6266.9536),(9 6492.4146),(10 6611.5723),(11 6718.9663),(12 6922.6465),(13 6903.3154),(14 6992.5693),(15 7181.686),(16 7244.051),(17 7304.33),(18 7454.7603),(19 7570.4834),(20 7638.6587),(21 7560.5215),(22 7570.537),(23 7684.56),(24 7717.749),(25 7684.2896),(26 7715.526),(27 7736.686),(28 7634.495),(29 7482.534),(30 7472.78),(31 7482.205),(32 7488.5884),(33 7504.7817),(34 7523.345),(35 7430.2866),(36 7296.883),(37 7203.773),(38 7255.208),(39 7409.5464),(40 7284.216),(41 7175.043),(42 7299.8115),(43 7310.679),(44 7192.369),(45 7245.714),(46 7265.068),(47 7145.8047),(48 7138.737),(49 7140.6904),(50 7140.0093),(51 7099.0425),(52 7066.81),(53 7066.934),(54 7083.448),(55 7127.9575),(56 7053.1196),(57 6993.2007),(58 6914.8735),(59 6963.9443),(60 7070.162),(61 7053.474),(62 6907.4473),(63 6827.402),(64 6814.624),(65 6819.2495),(66 6813.1113),(67 6820.366),(68 6867.5244),(69 6813.485),(70 6848.7197),(71 6901.717),(72 6796.26),(73 6746.0767),(74 6746.393),(75 6697.2017),(76 6626.342),(77 6692.8047),(78 6720.7007),(79 6846.328),
(1 3501.9473),(2 5884.921),(3 5690.7495),(4 5687.5195),(5 5853.2676),(6 5946.4536),(7 6029.431),(8 6136.9404),(9 6371.7886),(10 6378.177),(11 6563.758),(12 6679.8975),(13 6740.25),(14 6911.261),(15 7048.4487),(16 7052.556),(17 7018.804),(18 7197.222),(19 7379.2036),(20 7403.406),(21 7433.9756),(22 7571.21),(23 7632.2515),(24 7634.779),(25 7502.6675),(26 7409.896),(27 7485.7397),(28 7525.6187),(29 7582.629),(30 7654.54),(31 7598.881),(32 7461.5454),(33 7490.319),(34 7599.837),(35 7596.2686),(36 7501.939),(37 7369.432),(38 7451.6826),(39 7512.545),(40 7217.852),(41 7161.0396),(42 7357.2397),(43 7266.185),(44 7122.6978),(45 7163.5654),(46 7168.4844),(47 7136.5166),(48 7140.559),(49 7155.483),(50 7191.539),(51 7075.672),(52 7017.031),(53 6980.4404),(54 7017.5947),(55 7160.1416),(56 7217.3687),(57 7016.921),(58 6900.791),(59 6994.4946),(60 6943.1353),(61 6983.659),(62 6936.085),(63 6939.8447),(64 6940.0747),(65 6920.069),(66 7031.3354),(67 6981.635),(68 6853.286),(69 6830.316),(70 6898.769),(71 6990.813),(72 6871.6665),(73 6902.8706),(74 6932.3203),(75 6760.107),(76 6701.1724),(77 6712.4463),(78 6715.815),(79 6609.576),
(1 3471.1313),(2 5770.355),(3 5581.622),(4 5506.499),(5 5565.3584),(6 5732.3833),(7 5773.0986),(8 5996.454),(9 6194.8506),(10 6215.419),(11 6333.0493),(12 6379.5938),(13 6417.807),(14 6586.336),(15 6745.579),(16 6814.944),(17 6771.806),(18 6979.2607),(19 7093.3164),(20 7134.1157),(21 7156.045),(22 7137.7695),(23 7178.614),(24 7232.482),(25 7207.2827),(26 7167.526),(27 7205.422),(28 7303.474),(29 7236.939),(30 7261.6294),(31 7285.939),(32 7197.2783),(33 7283.3486),(34 7407.8433),(35 7311.7026),(36 7251.656),(37 7134.645),(38 7118.393),(39 7067.4063),(40 6899.886),(41 6867.598),(42 7059.1035),(43 7100.127),(44 6992.2393),(45 6975.727),(46 6895.727),(47 6878.4004),(48 6839.358),(49 6852.6514),(50 6817.371),(51 6796.949),(52 6706.4126),(53 6703.7695),(54 6651.056),(55 6697.516),(56 6727.725),(57 6613.0137),(58 6670.919),(59 6780.977),(60 6789.5796),(61 6607.58),(62 6581.0884),(63 6650.742),(64 6557.5396),(65 6509.142),(66 6579.054),(67 6562.801),(68 6573.556),(69 6628.096),(70 6553),(71 6516.5103),(72 6569.381),(73 6600.6284),(74 6599.232),(75 6583.3276),(76 6557.204),(77 6566.602),(78 6593.9644),(79 6511.13),
(1 3300.2434),(2 5462.6953),(3 5363.2456),(4 5380.46),(5 5526.324),(6 5715.603),(7 5704.0796),(8 5801.1226),(9 5862.779),(10 6005.391),(11 6187.62),(12 6234.44),(13 6253.8613),(14 6468.152),(15 6506.617),(16 6645.977),(17 6712.979),(18 6787.658),(19 6854.1343),(20 6846.47),(21 6912.4653),(22 7038.505),(23 7084.678),(24 7029.607),(25 6978.4014),(26 7144.9556),(27 7164.1626),(28 7064.461),(29 7032.564),(30 7070.4),(31 7167.327),(32 7097.6),(33 7049.0293),(34 7061.1904),(35 6959.9424),(36 6936.7017),(37 6867.226),(38 6878.598),(39 6835.8643),(40 6697.383),(41 6829.9414),(42 6915.8423),(43 6834.6787),(44 6865.7075),(45 6880.1943),(46 6814.8374),(47 6704.6294),(48 6690.2827),(49 6734.3066),(50 6660.9097),(51 6684.099),(52 6646.3755),(53 6614.482),(54 6609.269),(55 6581.5576),(56 6509.7446),(57 6486.7163),(58 6567.3794),(59 6706.5737),(60 6576.099),(61 6435.6704),(62 6470.1978),(63 6577.363),(64 6521.697),(65 6469.776),(66 6599.8315),(67 6580.774),(68 6584.523),(69 6580.761),(70 6519.302),(71 6445.237),(72 6428.6387),(73 6444.1147),(74 6498.097),(75 6540.739),(76 6619.9224),(77 6591.0015),(78 6476.1313),(79 6437.521),
(1 3289.9023),(2 5381.5493),(3 5217.7183),(4 5152.909),(5 5183.186),(6 5253.118),(7 5388.018),(8 5429.429),(9 5554.6733),(10 5646.6133),(11 5801.5093),(12 5860.352),(13 5934.55),(14 6116.18),(15 6239.959),(16 6357.3804),(17 6403.507),(18 6483.7183),(19 6605.174),(20 6613.642),(21 6611.1304),(22 6693.951),(23 6888.345),(24 6906.0513),(25 6797.3604),(26 6849.8564),(27 6913.685),(28 6954.877),(29 7054.5874),(30 7039.7344),(31 7010.029),(32 6971.828),(33 7005.351),(34 7044.7544),(35 6945.177),(36 6845.9414),(37 6798.8057),(38 6784.4414),(39 6669.4683),(40 6552.931),(41 6612.103),(42 6667.598),(43 6558.817),(44 6594.465),(45 6632.218),(46 6492.206),(47 6430.15),(48 6433.9375),(49 6429.817),(50 6442.761),(51 6419.687),(52 6422.694),(53 6349.9146),(54 6440.335),(55 6366.7646),(56 6247.5703),(57 6208.401),(58 6292.872),(59 6360.2627),(60 6263.7583),(61 6176.8774),(62 6182.9736),(63 6172.7085),(64 6134.882),(65 6199.519),(66 6305.021),(67 6276.0254),(68 6197.8643),(69 6151.378),(70 6139.103),(71 6125.5283),(72 6059.3623),(73 6015.3115),(74 6000.514),(75 6042.7227),(76 6053.8535),(77 5909.9785),(78 5937.877),(79 5997.8574),
(1 3255.123),(2 5348.756),(3 5193.3726),(4 5306.1445),(5 5235.0176),(6 5366.133),(7 5474.535),(8 5593.864),(9 5710.8057),(10 5847.4087),(11 5963.607),(12 5924.9585),(13 6049.0234),(14 6156.7197),(15 6316.513),(16 6388.947),(17 6388.8687),(18 6647.026),(19 6747.924),(20 6727.29),(21 6798.351),(22 6834.179),(23 6924.151),(24 6921.8896),(25 6969.578),(26 6972.153),(27 6962.658),(28 7000.287),(29 7047.613),(30 7031.0503),(31 7131.0596),(32 7080.3916),(33 7221.77),(34 7253.1733),(35 7131.2114),(36 7138.3213),(37 7230.668),(38 7208.3086),(39 7101.209),(40 6984.178),(41 7010.216),(42 7077.628),(43 7003.2505),(44 6945.469),(45 6892.953),(46 6721.0254),(47 6704.845),(48 6669.4),(49 6669.322),(50 6772.256),(51 6799.7344),(52 6715.15),(53 6704.7314),(54 6791.1724),(55 6732.739),(56 6687.4243),(57 6673.955),(58 6707.7783),(59 6642.3535),(60 6542.6323),(61 6483.5557),(62 6506.044),(63 6447.4297),(64 6403.111),(65 6426.7974),(66 6457.0537),(67 6461.063),(68 6492.5244),(69 6464.0225),(70 6423.8687),(71 6510.3506),(72 6457.322),(73 6367.6187),(74 6353.9424),(75 6411.9277),(76 6309.2607),(77 6303.4404),(78 6371.506),(79 6309.568),
(1 3206.2302),(2 5191.357),(3 5023.8467),(4 5101.3423),(5 5074.6743),(6 5242.463),(7 5256.0234),(8 5348.2124),(9 5486.987),(10 5635.642),(11 5713.624),(12 5644.326),(13 5804.219),(14 5894.2183),(15 5977.0986),(16 6128.4756),(17 6122.8726),(18 6356.1606),(19 6371.5747),(20 6403.007),(21 6445.5215),(22 6508.501),(23 6612.197),(24 6548.7173),(25 6575.1064),(26 6644.3184),(27 6615.023),(28 6545.9253),(29 6660.5303),(30 6642.7383),(31 6635.8115),(32 6623.6436),(33 6726.262),(34 6616.227),(35 6470.608),(36 6518.2085),(37 6617.6113),(38 6529.6904),(39 6414.2686),(40 6312.5845),(41 6420.5),(42 6408.2764),(43 6283.3184),(44 6299.9155),(45 6294.8325),(46 6235.398),(47 6185.8086),(48 6175.008),(49 6202.803),(50 6149.2515),(51 6160.2896),(52 6165.284),(53 6081.6606),(54 6111.888),(55 6147.296),(56 6169.4907),(57 6192.198),(58 6194.881),(59 6145.729),(60 6040.226),(61 6053.149),(62 6104.781),(63 6059.7324),(64 6084.46),(65 6148.178),(66 6060.9243),(67 6012.5073),(68 6051.602),(69 5999.213),(70 6000.0044),(71 6083.1045),(72 6012.462),(73 5949.0527),(74 6021.4683),(75 6097.0337),(76 6035.3994),(77 6016.8477),(78 6063.916),(79 6028.3877),
(1 3125.2476),(2 4967.1875),(3 4767.847),(4 4881.084),(5 4935.319),(6 5039.148),(7 5098.9375),(8 5263.2495),(9 5382.181),(10 5460.3135),(11 5577.772),(12 5526.754),(13 5637.84),(14 5730.3145),(15 5863.785),(16 5902.347),(17 6012.5522),(18 6234.055),(19 6219.812),(20 6247.1836),(21 6156.5117),(22 6249.2554),(23 6436.8525),(24 6341.494),(25 6269.7266),(26 6310.995),(27 6336.205),(28 6276.027),(29 6345.679),(30 6393.925),(31 6306.176),(32 6315.205),(33 6430.0864),(34 6358.674),(35 6186.4517),(36 6198.7573),(37 6314.4146),(38 6250.6196),(39 6166.47),(40 6150.4063),(41 6179.509),(42 6037.581),(43 5948.237),(44 6097.621),(45 6058.934),(46 5980.134),(47 6024.856),(48 5994.677),(49 5995.4067),(50 5954.1567),(51 5929.8936),(52 5904.4263),(53 6020.7944),(54 5976.3887),(55 5958.8535),(56 5974.223),(57 6058.7227),(58 6045.931),(59 6026.2974),(60 5979.027),(61 5903.644),(62 5793.1997),(63 5810.7593),(64 6017.8345),(65 6068.567),(66 6000.409),(67 5973.318),(68 5945.5957),(69 5881.179),(70 5892.3413),(71 5864.659),(72 5882.469),(73 5760.3447),(74 5726.4404),(75 5831.716),(76 5792.713),(77 5789.836),(78 5783.266),(79 5707.7236),
(1 3069.4536),(2 4852.008),(3 4825.329),(4 5003.061),(5 4986.5986),(6 5106.7773),(7 5123.5635),(8 5299.3584),(9 5511.599),(10 5600.597),(11 5586.576),(12 5606.277),(13 5754.9814),(14 5855.101),(15 5972.326),(16 5983.427),(17 6124.5654),(18 6307.328),(19 6302.838),(20 6326.3516),(21 6284.6235),(22 6307.5234),(23 6363.5356),(24 6278.6343),(25 6289.1855),(26 6313.0127),(27 6308.7837),(28 6221.4585),(29 6317.5938),(30 6342.7305),(31 6283.896),(32 6338.025),(33 6321.582),(34 6200.4297),(35 6077.3364),(36 6185.3867),(37 6396.909),(38 6258.4746),(39 6128.57),(40 6206.831),(41 6237.848),(42 6027.919),(43 6097.196),(44 6205.0127),(45 6036.083),(46 5955.795),(47 6096.555),(48 6067.775),(49 5986.102),(50 5994.905),(51 6004.5273),(52 5966.2637),(53 5994.515),(54 5973.4063),(55 5970.1274),(56 5945.1426),(57 6005.4785),(58 5865.9834),(59 5759.47),(60 5792.5396),(61 5839.802),(62 5744.025),(63 5797.4307),(64 5827.0874),(65 5739.4263),(66 5733.777),(67 5701.7856),(68 5734.9355),(69 5815.269),(70 5751.069),(71 5739.715),(72 5750.4844),(73 5700.527),(74 5706.9404),(75 5707.84),(76 5745.6836),(77 5802.2905),(78 5835.3745),(79 5686.445),
(1 3078.1685),(2 4758.483),(3 4603.512),(4 4793.679),(5 4795.6616),(6 5018.208),(7 5080.34),(8 5243.934),(9 5473.0635),(10 5489.11),(11 5484.5264),(12 5569.142),(13 5739.942),(14 5875.8286),(15 6006.9854),(16 6087.3394),(17 6191.7627),(18 6337.574),(19 6306.0776),(20 6347.4487),(21 6290.6533),(22 6332.0913),(23 6432.069),(24 6458.6445),(25 6476.2676),(26 6435.643),(27 6359.3325),(28 6264.101),(29 6368.2617),(30 6442.0996),(31 6422.113),(32 6469.0005),(33 6402.1494),(34 6240.334),(35 6075.8213),(36 6095.846),(37 6251.583),(38 6220.7524),(39 6116.4873),(40 6134.4946),(41 6153.1665),(42 5991.2866),(43 5993.648),(44 6111.454),(45 6014.0195),(46 5960.4854),(47 5998.9097),(48 6040.8525),(49 6050.0635),(50 6039.9966),(51 6098.2188),(52 5967.0547),(53 5838.6367),(54 5937.223),(55 5900.0864),(56 5974.844),(57 6041.478),(58 5907.788),(59 5842.925),(60 5764.013),(61 5767.312),(62 5822.5254),(63 5952.929),(64 6011.7544),(65 5950.777),(66 5881.502),(67 5832.0654),(68 5863.665),(69 5935.4917),(70 5902.4624),(71 5858.0044),(72 5775.74),(73 5819.188),(74 5802.5),(75 5813.616),(76 5921.8774),(77 5841.4487),(78 5799.8975),(79 5785.346),
(1 2970.8247),(2 4662.13),(3 4616.865),(4 4739.6563),(5 4747.9536),(6 4970.1274),(7 5029.5103),(8 5159.9985),(9 5369.698),(10 5475.8604),(11 5515.7954),(12 5526.128),(13 5778.6074),(14 5924.5957),(15 6094.341),(16 6130.453),(17 6268.871),(18 6422.086),(19 6459.6074),(20 6543.7227),(21 6525.9536),(22 6585.866),(23 6650.0938),(24 6594.8564),(25 6588.6143),(26 6514.0396),(27 6507.266),(28 6475.293),(29 6593.5225),(30 6460.093),(31 6378.44),(32 6359.4663),(33 6257.813),(34 6234.846),(35 6140.0273),(36 6118.989),(37 6086.366),(38 6115.1147),(39 6062.9087),(40 6016.9766),(41 6078.151),(42 5916.1426),(43 5853.684),(44 5921.2754),(45 5903.503),(46 5870.3237),(47 5837.444),(48 5892.4155),(49 5919.4795),(50 5909.0522),(51 5905.5176),(52 5937.2817),(53 5843.631),(54 5848.1997),(55 5864.4253),(56 5851.0713),(57 5740.445),(58 5815.786),(59 5765.8823),(60 5739.0938),(61 5679.549),(62 5621.898),(63 5749.2974),(64 5709.455),(65 5647.927),(66 5596.1772),(67 5622.375),(68 5705.253),(69 5673.456),(70 5700.351),(71 5649.1475),(72 5550.849),(73 5642.409),(74 5521.4346),(75 5537.279),(76 5628.3506),(77 5572.8726),(78 5518.507),(79 5535.988),
(1 2947.2053),(2 4564.7114),(3 4629.4565),(4 4738.4487),(5 4627.375),(6 4762.9873),(7 4855.0166),(8 5117.703),(9 5238.8774),(10 5328.726),(11 5314.8843),(12 5385.3228),(13 5521.8364),(14 5596.3438),(15 5805.4453),(16 5904.3643),(17 6037.8994),(18 6202.6743),(19 6196.6157),(20 6283.83),(21 6289.6655),(22 6331.815),(23 6380.2637),(24 6392.3677),(25 6453.3457),(26 6327.049),(27 6333.517),(28 6178.5864),(29 6258.353),(30 6316.95),(31 6358.3896),(32 6302.9116),(33 6164.887),(34 6118.4067),(35 6050.2393),(36 6011.429),(37 5986.1924),(38 6024.3916),(39 6070.6704),(40 6116.264),(41 6061.854),(42 5937.001),(43 6017.5996),(44 5964.692),(45 5935.135),(46 5991.5313),(47 6032.7603),(48 5940.167),(49 6001.0337),(50 5938.8887),(51 5939.278),(52 5945.9995),(53 5891.819),(54 5897.8438),(55 5840.21),(56 5898.0254),(57 5794.7666),(58 5721.8066),(59 5784.183),(60 5675.688),(61 5633.256),(62 5738.4795),(63 5759.633),(64 5606.217),(65 5561.97),(66 5646.0894),(67 5645.5845),(68 5668.451),(69 5639.8857),(70 5602.097),(71 5644.6685),(72 5678.0425),(73 5762.6064),(74 5738.72),(75 5713.68),(76 5738.9404),(77 5660.543),(78 5627.509),(79 5734.556),
(1 2755.6921),(2 4162.323),(3 4112.7544),(4 4290.308),(5 4328.0474),(6 4559.41),(7 4573.0244),(8 4782.429),(9 4882.1387),(10 4997.142),(11 5032.27),(12 5177.605),(13 5341.192),(14 5390.646),(15 5628.423),(16 5763.4355),(17 5864.3926),(18 6008.701),(19 5968.7544),(20 5982.392),(21 6065.6284),(22 6139.1934),(23 6112.174),(24 6086.59),(25 6122.8647),(26 6104.6387),(27 6138.523),(28 6057.1274),(29 6151.607),(30 6125.39),(31 6060.0234),(32 5996.5996),(33 5900.967),(34 5890.766),(35 5868.3086),(36 5874.9126),(37 5851.4746),(38 5869.484),(39 5918.569),(40 5869.4146),(41 5757.0938),(42 5723.26),(43 5648.9956),(44 5612.048),(45 5533.6035),(46 5557.1577),(47 5545.8115),(48 5580.819),(49 5602.331),(50 5652.4375),(51 5654.915),(52 5638.5376),(53 5627.233),(54 5560.7617),(55 5499.9746),(56 5527.465),(57 5520.588),(58 5448.614),(59 5447.1997),(60 5376.9688),(61 5339.731),(62 5447.082),(63 5490.798),(64 5420.925),(65 5408.396),(66 5363.5),(67 5301.191),(68 5310.558),(69 5407.067),(70 5410.9653),(71 5313.1577),(72 5344.655),(73 5361.4053),(74 5344.475),(75 5319.0034),(76 5300.9375),(77 5384.007),(78 5416.824),(79 5425.3423),
(1 2861.7126),(2 4427.899),(3 4398.1943),(4 4509.2524),(5 4479.0313),(6 4691.4214),(7 4824.5273),(8 4980.457),(9 5042.1147),(10 5095.605),(11 5216.097),(12 5338.514),(13 5392.2007),(14 5398.4893),(15 5723.616),(16 5736.19),(17 5824.065),(18 6011.3496),(19 6063.7446),(20 6117.5176),(21 6135.5034),(22 6139.351),(23 6140.151),(24 6192.971),(25 6156.586),(26 6120.1426),(27 6183.5845),(28 6074.6396),(29 6103.862),(30 6059.815),(31 6036.7085),(32 6014.0493),(33 5998.0522),(34 5955.025),(35 5920.067),(36 5956.2153),(37 5913.0815),(38 5872.0693),(39 5924.9067),(40 5915.8296),(41 5878.698),(42 5823.81),(43 5814.2305),(44 5700.4287),(45 5658.9424),(46 5706.069),(47 5686.738),(48 5735.5103),(49 5724.9473),(50 5737.1147),(51 5705.447),(52 5686.192),(53 5694.325),(54 5700.789),(55 5760.878),(56 5672.351),(57 5717.402),(58 5717.1826),(59 5638.974),(60 5585.9536),(61 5564.006),(62 5614.55),(63 5570.528),(64 5501.52),(65 5536.496),(66 5480.8994),(67 5456.001),(68 5490.9717),(69 5407.7646),(70 5357.2515),(71 5343.656),(72 5413.7847),(73 5390.4434),(74 5321.336),(75 5325.53),(76 5281.7007),(77 5323.825),(78 5384.404),(79 5323.5347),
