1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 271305.6),(2 988509.94),(3 2018035),(4 3240127.3),(5 4566155.5),(6 6079101.5),(7 7703930.5),(8 9274251),(9 10840888),(10 12398589),(11 13962916),(12 15488357),(13 17005116),(14 18319566),(15 19605718),(16 20989766),(17 22470058),(18 24130688),(19 25902058),(20 27781248),(21 29745970),(22 31624896),(23 33395818),(24 35187284),(25 36857424),(26 38460708),(27 40157940),(28 41914016),(29 43404036),(30 45226108),(31 47376012),(32 49628108),(33 52288864),(34 55263890),(35 58038690),(36 60801916),(37 63215628),(38 65465108),(39 67651650),(40 69593890),(41 71061270),(42 72325320),(43 73721050),(44 75208390),(45 77023990),(46 79216696),(47 81553384),(48 84163240),(49 87124220),(50 90020730),(51 92894264),(52 96014250),(53 99244350),(54 102391810),(55 105377304),(56 107946590),(57 110165430),(58 112544490),(59 114955070),(60 117173544),(61 118987910),(62 121481400),(63 124437030),(64 127886490),(65 131899010),(66 136358980),(67 140774510),(68 144821710),(69 149584140),(70 154340220),(71 159023500),(72 163980830),(73 169093520),(74 173113740),(75 177049810),(76 181102540),(77 185352400),(78 190433870),(79 195950020),
(1 99672.22),(2 280308.34),(3 416908.6),(4 475580.34),(5 486261.25),(6 482696.56),(7 480734.63),(8 479531.97),(9 471964.7),(10 461505.28),(11 460265.5),(12 463124.13),(13 479920.3),(14 493283.1),(15 500354.44),(16 500554.4),(17 497183.78),(18 490957.28),(19 489795.9),(20 485894.6),(21 479785.16),(22 473431.06),(23 464769.13),(24 460326.3),(25 466852.8),(26 482552.7),(27 493344.8),(28 497902.78),(29 486036.8),(30 475185.38),(31 474697.8),(32 483357.03),(33 484424.88),(34 477990.1),(35 481289),(36 487020.2),(37 497886.97),(38 507394.78),(39 510280.44),(40 518448.2),(41 522389.25),(42 519128.94),(43 513368.8),(44 520586.6),(45 529763.25),(46 525576.6),(47 515758.1),(48 504977.8),(49 493687.56),(50 493649.06),(51 501475.44),(52 518527.3),(53 529822.56),(54 529782.9),(55 525275.94),(56 515523.28),(57 504835.78),(58 490709.16),(59 491277.97),(60 505523.3),(61 517652.3),(62 525189.06),(63 525220.9),(64 517950.72),(65 509545.47),(66 517818.94),(67 529649.2),(68 527648.4),(69 522793),(70 517613.13),(71 510904.13),(72 501373.56),(73 499901),(74 507963.97),(75 514374.6),(76 509843.4),(77 496981.63),(78 489044.22),(79 497705.5),
(1 91548.69),(2 247175.13),(3 355008.7),(4 403419.22),(5 418561.56),(6 426563.7),(7 428756.75),(8 418870.2),(9 416825.03),(10 426883.4),(11 436476.25),(12 444571.97),(13 448548.97),(14 448908.78),(15 450350.66),(16 452871.03),(17 449953.7),(18 447772.9),(19 452019.1),(20 460801.8),(21 464914.7),(22 458672.75),(23 454399),(24 455934.75),(25 463626.66),(26 467596.44),(27 464885.22),(28 457876.3),(29 445984.3),(30 437684.2),(31 436429.53),(32 443372.13),(33 451457.75),(34 452810.75),(35 452366.4),(36 456313.03),(37 463173.4),(38 469754.34),(39 479897.53),(40 488234.25),(41 493453.25),(42 493980.97),(43 493271.4),(44 499285.4),(45 500178.6),(46 498205.03),(47 490748.2),(48 486589.78),(49 483479.44),(50 483098.1),(51 488888.88),(52 492904.44),(53 493258.03),(54 488304.56),(55 486729.6),(56 491289.34),(57 496430.34),(58 501942.4),(59 506321.13),(60 509428.2),(61 520937.47),(62 534288.4),(63 538072.94),(64 535581.1),(65 527429.94),(66 528281.3),(67 541413.94),(68 546151.2),(69 537598.56),(70 520442.78),(71 511027.34),(72 518004.97),(73 527261.6),(74 534443.94),(75 540149.8),(76 544447.94),(77 544994.94),(78 543205.5),(79 538526.06),
(1 92796.1),(2 256739.53),(3 375497.9),(4 424757.25),(5 434878.3),(6 435200.5),(7 432586.06),(8 426186.1),(9 419731.78),(10 415824.1),(11 416794.78),(12 426536.56),(13 436870.28),(14 447187.44),(15 457569.7),(16 462484.4),(17 455688.13),(18 444983.25),(19 445790.22),(20 458145),(21 468419.78),(22 472205.47),(23 474587.16),(24 471931.88),(25 461960.63),(26 456473.72),(27 460477.06),(28 468689.94),(29 467935.72),(30 465070.94),(31 457899.25),(32 452097.53),(33 453329.6),(34 449941.84),(35 449652.97),(36 459625.53),(37 462386.44),(38 459605.44),(39 460427.97),(40 463303.75),(41 473756.13),(42 485117.44),(43 490107.72),(44 487941.56),(45 492266.16),(46 500381.13),(47 496642.28),(48 484874.47),(49 481300.34),(50 485869.66),(51 494705.84),(52 503971.72),(53 509014.16),(54 504105),(55 485874.03),(56 473449.34),(57 474099.25),(58 480305.8),(59 483564.47),(60 486266.88),(61 490896.75),(62 498248.13),(63 510159.88),(64 520009.72),(65 524333.94),(66 524352.44),(67 519556.88),(68 515424.75),(69 510054.66),(70 510337.94),(71 509276.22),(72 509583.16),(73 505377.2),(74 506788.28),(75 512986.28),(76 518536.72),(77 519849.2),(78 521449.38),(79 518875.44),
(1 94828.83),(2 258866.67),(3 375924.4),(4 413930.9),(5 409065.97),(6 402331.66),(7 398077.38),(8 399031.53),(9 402285.75),(10 404047.38),(11 406410.5),(12 413089.06),(13 417687.72),(14 419649.03),(15 421697.28),(16 421624.16),(17 414047.25),(18 411139),(19 417838.34),(20 420333.63),(21 423889.44),(22 429260.28),(23 432055.5),(24 426252.7),(25 422043.06),(26 418511.13),(27 418659.4),(28 428685.78),(29 442543.22),(30 448805.03),(31 443539.3),(32 432985.28),(33 425375.56),(34 421293.38),(35 413835.66),(36 418557.63),(37 428731.25),(38 439313.2),(39 443097.8),(40 441906.56),(41 446367.22),(42 444323.6),(43 440529.44),(44 431802.25),(45 429432.16),(46 434816.72),(47 441929.22),(48 451876.63),(49 461165.53),(50 471877.2),(51 480231.22),(52 480763.72),(53 472006.22),(54 465764.13),(55 466345.34),(56 474425.6),(57 481379.66),(58 490292.9),(59 494226.84),(60 489204.84),(61 483606.56),(62 484489.38),(63 483394.63),(64 479388),(65 479571.4),(66 483881.1),(67 482787.7),(68 475158.9),(69 474247.75),(70 481870.2),(71 479575.3),(72 478936.47),(73 483886.47),(74 495269.22),(75 504291.72),(76 499082.7),(77 488404.4),(78 485624.84),(79 485284.34),
(1 94023.125),(2 254653.72),(3 360124.9),(4 391065.6),(5 383785.44),(6 377512.8),(7 375057.5),(8 375578.94),(9 376746.22),(10 387520.9),(11 396189.9),(12 397597.6),(13 402810.53),(14 400909.78),(15 397252.25),(16 401666.63),(17 399811.25),(18 396060.53),(19 395760.3),(20 394995.9),(21 396312.8),(22 395455.44),(23 397751.6),(24 400500.38),(25 403834.84),(26 405644),(27 406796.25),(28 419726.56),(29 432325.2),(30 439472.56),(31 432594.16),(32 418298.56),(33 412184.3),(34 410916.22),(35 408845.72),(36 408843.44),(37 408196.7),(38 411096.1),(39 416556.56),(40 428550.63),(41 443546.22),(42 451121.72),(43 445190.38),(44 431671.7),(45 421559.84),(46 420479.9),(47 430812.4),(48 447370.63),(49 459736.22),(50 464543.5),(51 461920.8),(52 459858.94),(53 460987.44),(54 460987.25),(55 461719.9),(56 468418.9),(57 479770.63),(58 491202.63),(59 485817.3),(60 483147.25),(61 486924.25),(62 491383.34),(63 488321.47),(64 471963.2),(65 453699.38),(66 458956.25),(67 469405.47),(68 478152.25),(69 486486.94),(70 492699.22),(71 498108.38),(72 495677.3),(73 486949.78),(74 475300.66),(75 468991.06),(76 467842.28),(77 471688.1),(78 474429.63),(79 473685.38),
(1 84711.04),(2 226668.22),(3 315995.7),(4 337868.28),(5 331925.22),(6 334676.47),(7 342730.75),(8 350078.2),(9 352455.28),(10 359247.56),(11 365369.94),(12 361890.72),(13 355582.84),(14 348496.72),(15 351829.1),(16 364485.13),(17 375127.16),(18 378825.06),(19 373432.7),(20 370011.06),(21 374659.06),(22 384214.94),(23 386074.38),(24 381392.2),(25 388048.78),(26 398458.63),(27 401812.25),(28 400542.22),(29 400213.25),(30 404633.53),(31 402702.44),(32 397796.66),(33 393837.66),(34 393997.94),(35 402150.5),(36 404054.1),(37 400561.28),(38 393138.2),(39 389804.28),(40 392770.6),(41 402890.6),(42 407980.03),(43 405897.22),(44 408067),(45 410252.28),(46 409754.5),(47 407412.88),(48 408236.6),(49 410630.38),(50 411295),(51 408941.9),(52 410050.66),(53 412817.22),(54 422379.56),(55 430307.7),(56 433997.56),(57 436887.13),(58 429340.7),(59 420100.28),(60 420103.13),(61 426066.66),(62 433475.84),(63 435257.84),(64 434691.63),(65 431753.16),(66 422106.03),(67 407973.84),(68 409040.56),(69 416243.2),(70 417633.06),(71 415505.97),(72 412391.7),(73 407896.4),(74 404991.03),(75 401548.03),(76 401380.72),(77 408424.3),(78 415250.34),(79 417073.38),
(1 85471.27),(2 227794.13),(3 316429.9),(4 337587.66),(5 328395.16),(6 325369.8),(7 327661.7),(8 331318.38),(9 336497.78),(10 338869.2),(11 339952.3),(12 339517.2),(13 340218.34),(14 339155.5),(15 343837.06),(16 351602.47),(17 354240.9),(18 349436.56),(19 341565.22),(20 337474.4),(21 341626.38),(22 347071.4),(23 353879.6),(24 359710.66),(25 361333.38),(26 365154.84),(27 363382.8),(28 359809.6),(29 365216.1),(30 370797),(31 369261.94),(32 365454.4),(33 361541.47),(34 361138.3),(35 364285.47),(36 368095.75),(37 369949.1),(38 375837.88),(39 386715.6),(40 396342.4),(41 398908.34),(42 397990.66),(43 397432.72),(44 398896.16),(45 400289.9),(46 398095.28),(47 395137.9),(48 391225.97),(49 383771),(50 377891.4),(51 378467.97),(52 386464),(53 392558.5),(54 397441.66),(55 402160.72),(56 403034.7),(57 406065.66),(58 409190.25),(59 408831.6),(60 407038.34),(61 403724.84),(62 407838.1),(63 420281.5),(64 429993.44),(65 431853.16),(66 426328.63),(67 420456.5),(68 418653),(69 416637.38),(70 413835.1),(71 407869.75),(72 402497.06),(73 405534.7),(74 415232.44),(75 425251),(76 433414.56),(77 437032.56),(78 440482.06),(79 442839.22),
(1 90197.05),(2 241138.64),(3 330940.5),(4 349850.88),(5 339733.4),(6 334248.6),(7 340289.16),(8 351672.44),(9 349820.25),(10 350241.66),(11 355875.25),(12 358001.25),(13 357340.22),(14 351585.63),(15 351487.22),(16 356640),(17 358877.63),(18 359590.6),(19 357418.7),(20 358279.3),(21 359150.72),(22 363883.78),(23 366273.63),(24 362922.97),(25 362274.03),(26 357595.34),(27 352486.4),(28 348011.5),(29 348206.3),(30 352393.84),(31 353559.25),(32 353570.3),(33 356961.4),(34 363318.5),(35 364560.53),(36 364023.5),(37 359340.6),(38 357365.16),(39 363871.25),(40 365407.06),(41 368036.13),(42 375071.8),(43 384993.5),(44 392515.47),(45 391460),(46 381809.4),(47 378926.03),(48 383647.1),(49 381869.03),(50 382140.4),(51 379415.6),(52 383397.44),(53 392582),(54 402848.03),(55 405272.2),(56 399082.5),(57 399578.03),(58 406750),(59 403590.72),(60 395722.06),(61 405546.7),(62 415979.6),(63 410441.84),(64 405790.9),(65 406842.9),(66 413776.97),(67 419231.6),(68 424187.3),(69 420908.53),(70 414310.06),(71 415112.34),(72 421665.3),(73 413041.47),(74 403671.8),(75 407831.44),(76 415289.7),(77 418665.16),(78 420811.97),(79 419210.22),
(1 84086.53),(2 219564.06),(3 301537.7),(4 323209.75),(5 322567.94),(6 321186.16),(7 324188.22),(8 330847.4),(9 338001.8),(10 339978.16),(11 332604.2),(12 324446.78),(13 325100.88),(14 326313.88),(15 330054.88),(16 344112.44),(17 345866.97),(18 337047.8),(19 328347.88),(20 335609.03),(21 346935.16),(22 354305.03),(23 346766.2),(24 333770.94),(25 332246.9),(26 337442.9),(27 344390.38),(28 350582.47),(29 350689.8),(30 356694.97),(31 361402.88),(32 360838.47),(33 363294.88),(34 364576.34),(35 364728.4),(36 365447),(37 365962.2),(38 363062.03),(39 358401.88),(40 364396.2),(41 376012.44),(42 384961.63),(43 382862.13),(44 372421.34),(45 366090.13),(46 368269.56),(47 375347.22),(48 384675.94),(49 393101.13),(50 397283.97),(51 387734.53),(52 381286.53),(53 385438.66),(54 384387.53),(55 383362.88),(56 380554.13),(57 380183.88),(58 388086.1),(59 393067.94),(60 396049.1),(61 403414.6),(62 402705.47),(63 401745.75),(64 398190.78),(65 387569.75),(66 385436.72),(67 390944.6),(68 399145.28),(69 401821.63),(70 397281.72),(71 392531.03),(72 390985.28),(73 385460.13),(74 377937.06),(75 372326.9),(76 370709.03),(77 376664.63),(78 384101.7),(79 387800.7),
(1 88301.89),(2 229376.02),(3 304729.9),(4 315557.63),(5 309768.88),(6 312651.44),(7 320394.38),(8 323356.9),(9 319741.22),(10 316782.2),(11 322654.7),(12 325381.7),(13 328666.03),(14 328834.5),(15 331573.53),(16 340310.03),(17 345787.56),(18 342147.84),(19 334456.88),(20 337219.6),(21 350694.8),(22 360236.88),(23 354284.34),(24 346149.22),(25 336874.7),(26 332942.34),(27 331928.9),(28 334456.3),(29 340408.47),(30 348291.5),(31 359861),(32 364112.25),(33 364160.3),(34 358868.4),(35 350114.63),(36 348758.1),(37 349531.5),(38 348971.4),(39 347808.03),(40 353842.94),(41 360455.7),(42 364027.6),(43 362584.03),(44 359578.38),(45 356148.2),(46 356883.56),(47 361371.6),(48 367283.56),(49 374501.38),(50 374852.16),(51 374218.3),(52 371299.13),(53 369281.5),(54 370779.97),(55 373394.38),(56 379353.3),(57 388411.13),(58 391974.56),(59 388002.1),(60 384793.9),(61 389256.56),(62 391419.53),(63 394189.6),(64 397481.94),(65 395474.63),(66 392908.88),(67 390704.5),(68 391143.44),(69 394193.63),(70 393543.13),(71 392936.94),(72 396846.66),(73 400725.88),(74 404863.16),(75 405724.5),(76 403014.9),(77 402746.66),(78 408225.97),(79 412343.84),
(1 81525.73),(2 205176.66),(3 270566.56),(4 282536.13),(5 280017.97),(6 277793.66),(7 277554.7),(8 279146.4),(9 281311.66),(10 281858.88),(11 281721.5),(12 281052.66),(13 288461.47),(14 288817.16),(15 287606.03),(16 292822.88),(17 302254.16),(18 303254.88),(19 298214.47),(20 298835.06),(21 300395.5),(22 298052.34),(23 294803),(24 294931.1),(25 297645.3),(26 298357.7),(27 296740.84),(28 292427.8),(29 298404.7),(30 307825.03),(31 313255.78),(32 317014.7),(33 322842.75),(34 329006.75),(35 326868.4),(36 320731.13),(37 316180.6),(38 316598.2),(39 319884),(40 318865.72),(41 323118.53),(42 325437.06),(43 325633.13),(44 326102.44),(45 332057.5),(46 337469.56),(47 334978.13),(48 333668.4),(49 333756.03),(50 333774.53),(51 335676.6),(52 332718.56),(53 330432.88),(54 332630.97),(55 338112.97),(56 336054.94),(57 334470.25),(58 340496.7),(59 342489.13),(60 341482.2),(61 345929.63),(62 343348.16),(63 340368.97),(64 344677.9),(65 352384.13),(66 348437.84),(67 344558.6),(68 345920.66),(69 343286.44),(70 340513.9),(71 345740.38),(72 350153.25),(73 348058.7),(74 348080.16),(75 348204.9),(76 349474.28),(77 351503.2),(78 350452.47),(79 352122.2),
(1 79074.51),(2 201994.7),(3 267962.06),(4 282278.88),(5 280915.7),(6 281615.9),(7 284819.75),(8 280260.7),(9 273287.1),(10 272359.5),(11 279319.97),(12 284027.88),(13 286011.84),(14 286288.8),(15 289315.4),(16 291759.28),(17 288885.16),(18 281263.4),(19 280444.8),(20 288899.6),(21 290808.6),(22 297298.94),(23 306105.78),(24 308284.84),(25 305436.2),(26 299879.72),(27 296694.3),(28 295177.13),(29 295818.97),(30 299116.88),(31 299627.44),(32 300600.66),(33 303673.34),(34 306910.53),(35 307078.2),(36 306816.4),(37 298402.53),(38 291166.34),(39 289684.34),(40 292251.28),(41 301886),(42 311867.13),(43 316701.88),(44 315951.22),(45 314925.53),(46 317294.56),(47 312612.94),(48 312153.9),(49 315870.8),(50 312762.84),(51 307073.6),(52 317119.6),(53 331282.84),(54 332613.75),(55 327625.44),(56 330067.75),(57 335402.53),(58 338336.22),(59 340482.7),(60 337257.34),(61 335077.97),(62 335819.72),(63 337612.22),(64 337578.4),(65 333229.4),(66 329361.25),(67 326591.34),(68 327199.53),(69 326718.03),(70 328577.75),(71 331544.78),(72 327036.63),(73 330689.7),(74 336995.3),(75 335595.88),(76 333781.4),(77 335040.75),(78 337400.75),(79 335622.8),
(1 80163.586),(2 200690.02),(3 256489.64),(4 262411.2),(5 268850.16),(6 278167.03),(7 281226.3),(8 276175.5),(9 271818.9),(10 274739.5),(11 279420.5),(12 283145.38),(13 291001.4),(14 294145.72),(15 292270.56),(16 291768.97),(17 290608.38),(18 285845.7),(19 286508.66),(20 294272.6),(21 293358.6),(22 289917.7),(23 292787.75),(24 292909.38),(25 289842.34),(26 285696.2),(27 280950.88),(28 279601.13),(29 290159.8),(30 303870.3),(31 312858.13),(32 312908.53),(33 310320.44),(34 313674.3),(35 316085.1),(36 311181.97),(37 299934.3),(38 293054.28),(39 290937.03),(40 289512.9),(41 294243.66),(42 302898.53),(43 311114.34),(44 312424.63),(45 311576.13),(46 309279.78),(47 309204.8),(48 315570.66),(49 316796.94),(50 311789.84),(51 306712.6),(52 308785.4),(53 311030.4),(54 319763.06),(55 323587.66),(56 321890.4),(57 318933.9),(58 321839),(59 330906.66),(60 334502.97),(61 331399.1),(62 328032.2),(63 328387),(64 330558.44),(65 332099.6),(66 328556.34),(67 332200.44),(68 339229.5),(69 336556.72),(70 341401.56),(71 341436.53),(72 340366.88),(73 340174.34),(74 343596.2),(75 344968.25),(76 344853.78),(77 348060.8),(78 350743.78),(79 349948.5),
(1 78931.08),(2 193226.63),(3 245509.34),(4 251388),(5 249474.48),(6 252930.9),(7 251621.16),(8 248374.9),(9 249482.28),(10 250966.88),(11 252457.25),(12 255809.72),(13 257841.33),(14 255195.86),(15 250373.6),(16 256788.19),(17 267641.78),(18 268937.53),(19 268997.8),(20 277131.66),(21 282223.8),(22 282819.94),(23 282805.8),(24 280525.84),(25 276292.75),(26 268835.47),(27 264074.47),(28 273057.5),(29 288304.94),(30 293968.63),(31 294138.7),(32 286714.75),(33 282957.84),(34 284847.28),(35 290946.84),(36 295276.47),(37 289605.06),(38 284069.03),(39 283415.66),(40 284103.66),(41 284634.94),(42 287526.72),(43 290935.88),(44 291872.53),(45 289552.56),(46 289096.84),(47 295171.8),(48 305244.22),(49 303215.47),(50 299018.75),(51 296816.34),(52 300489),(53 300081.13),(54 298670.78),(55 301039.97),(56 299584.9),(57 298609.8),(58 300353.25),(59 311061.1),(60 315192.22),(61 319334.6),(62 324139.03),(63 325241.5),(64 318997.88),(65 313943.3),(66 314119.13),(67 319888.03),(68 317294.16),(69 318798.78),(70 323470.66),(71 320227.47),(72 314812.88),(73 314924.06),(74 318535.9),(75 318036.38),(76 317826.97),(77 315023.47),(78 317586.13),(79 324565.44),
(1 79019.32),(2 198079.31),(3 256215.89),(4 259944),(5 261652.9),(6 267113.06),(7 265229.47),(8 259700.3),(9 258090.14),(10 263594),(11 275253.9),(12 282276.25),(13 283225.22),(14 284262.9),(15 274609.13),(16 272025.97),(17 269394),(18 273898.53),(19 284488.72),(20 292312.63),(21 289111.75),(22 284186.06),(23 282646.94),(24 285449.06),(25 284186.8),(26 281142.8),(27 280505.03),(28 282039),(29 287030.34),(30 291101.75),(31 290203.03),(32 288202.4),(33 282114.25),(34 280765.75),(35 282606.84),(36 283820.78),(37 281544.4),(38 283191.38),(39 283046.88),(40 283250.63),(41 285533.13),(42 286858.03),(43 289071.63),(44 289726.16),(45 289384),(46 288753.34),(47 292262.13),(48 298277.44),(49 298106.72),(50 300446.72),(51 301245.72),(52 299761.38),(53 301309.47),(54 304896.94),(55 304067.75),(56 302092),(57 299226.66),(58 303490.56),(59 309486.9),(60 313198.16),(61 316102.94),(62 318586.94),(63 313437.4),(64 306881.16),(65 303935.22),(66 307190.2),(67 318444.66),(68 321877.88),(69 319749.47),(70 317495.13),(71 318981.25),(72 314559.2),(73 311595.47),(74 310163.5),(75 312684.6),(76 313803.56),(77 309429.22),(78 310562.3),(79 317591.72),
(1 76084.875),(2 186396.16),(3 236490.3),(4 239314.17),(5 235892.19),(6 239859.05),(7 243693.7),(8 241137.31),(9 239095.88),(10 242998.31),(11 250808.95),(12 252239.75),(13 249112.72),(14 246650.19),(15 250766.23),(16 257781.11),(17 258155.31),(18 263301.97),(19 272240.06),(20 271569.56),(21 264166.94),(22 259834.89),(23 265624.78),(24 269532.56),(25 269575.88),(26 267875.84),(27 264610.38),(28 263359.34),(29 264025.78),(30 263441.66),(31 267561.4),(32 267121.03),(33 260209.48),(34 254117.73),(35 257960.39),(36 266282.3),(37 273228.13),(38 269968.5),(39 266945.75),(40 269092.1),(41 271072.66),(42 269922.72),(43 270077.28),(44 275460.16),(45 277897.94),(46 276381.6),(47 275368.38),(48 273977.72),(49 274116.75),(50 272987.34),(51 271096.6),(52 274428.97),(53 286900.28),(54 294987.63),(55 299821.7),(56 295928.06),(57 288705.6),(58 287068.94),(59 291454.03),(60 295324.97),(61 301582.38),(62 301816.56),(63 297151.72),(64 292258.4),(65 288662.03),(66 286558.13),(67 284839.5),(68 284803.75),(69 288212.9),(70 289036.44),(71 288011.66),(72 286651.72),(73 285009.44),(74 282197.22),(75 278265.22),(76 278025.16),(77 282017.3),(78 280982.94),(79 280175.88),
(1 75859.94),(2 185964.34),(3 236943.36),(4 241948.44),(5 238853.4),(6 240645.48),(7 241955.72),(8 240582.64),(9 238236.6),(10 241224.28),(11 243140.4),(12 242443.33),(13 238730.03),(14 239456.06),(15 246955.33),(16 253096.92),(17 256271.78),(18 261317.27),(19 268111.13),(20 265818.5),(21 252061.34),(22 241517.72),(23 246643.11),(24 255188.13),(25 257583.66),(26 255703.78),(27 253661.23),(28 253643.94),(29 258515.56),(30 258926.45),(31 251809.19),(32 250091.97),(33 251690.4),(34 252168.94),(35 252546.77),(36 256339.92),(37 255520.53),(38 248151.2),(39 241302.9),(40 248179.95),(41 260527.16),(42 262106.53),(43 259456.97),(44 259376.73),(45 260277.64),(46 261102.08),(47 261761.58),(48 261088.97),(49 262609),(50 264854.44),(51 263690.34),(52 263755.6),(53 263487.56),(54 268481.6),(55 277559.56),(56 282593.28),(57 280783.66),(58 279645.13),(59 281244.1),(60 282002.8),(61 278492.9),(62 281848.2),(63 289813.6),(64 284572.6),(65 274216.16),(66 274659.5),(67 276351.7),(68 276883.8),(69 283220.44),(70 291143.4),(71 290519.66),(72 285985.88),(73 277864.28),(74 273011.75),(75 273247.97),(76 277298.2),(77 278671.4),(78 274835.4),(79 272393.84),
(1 73856.27),(2 182102.3),(3 226453.53),(4 228502.25),(5 224074.05),(6 222955.47),(7 224233.52),(8 226226.17),(9 231161.94),(10 231464.2),(11 232841.4),(12 233547.88),(13 229714.4),(14 225755.33),(15 228911.56),(16 233307.77),(17 240083.05),(18 249965.11),(19 252454.48),(20 248740.31),(21 236837.56),(22 229011.88),(23 229595.55),(24 234782.89),(25 241392.52),(26 239304.2),(27 238172.03),(28 239760.34),(29 244425.27),(30 250422.25),(31 250321.1),(32 243662.67),(33 239976.77),(34 238234),(35 243118.55),(36 243042.61),(37 240930.7),(38 240638.08),(39 238914.66),(40 240091.36),(41 251373.36),(42 259610.66),(43 255652.13),(44 249013.25),(45 247369.95),(46 249310.81),(47 253431.75),(48 254643.64),(49 252511.16),(50 248824.16),(51 244870.66),(52 250140.39),(53 255424.7),(54 257241.94),(55 256563.63),(56 258911.05),(57 259211.66),(58 259236.73),(59 259457.84),(60 258985.69),(61 258342.08),(62 265262.97),(63 269062.53),(64 267792.5),(65 265741.47),(66 262474.1),(67 261128.4),(68 264037.63),(69 265017.56),(70 263097.03),(71 264446.9),(72 266690.25),(73 263461.8),(74 260615.94),(75 261039.31),(76 261396.55),(77 260580.95),(78 260621.33),(79 260733.92),
