1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31577.56),(2 47572.86),(3 58328.64),(4 110161.22),(5 149026.02),(6 174675.19),(7 241281.38),(8 297693.03),(9 344730.13),(10 426928.6),(11 495482.28),(12 567280.8),(13 662810.2),(14 740127.2),(15 831265.25),(16 928117.5),(17 1007545.7),(18 1143032.1),(19 1254520.1),(20 1345451.8),(21 1467095.6),(22 1597746.4),(23 1727754.5),(24 1886726.4),(25 2055133.6),(26 2222643.5),(27 2432060.3),(28 2636892.3),(29 2832701.3),(30 3044328.8),(31 3248636.8),(32 3410607.3),(33 3681268.8),(34 3837748),(35 3977270.8),(36 4237085.5),(37 4408317.5),(38 4631761.5),(39 4975415.5),(40 5185850.5),(41 5419974),(42 5722201.5),(43 5950447.5),(44 6220891.5),(45 6501831.5),(46 6733910.5),(47 6964206.5),(48 7321298.5),(49 7512088),(50 7722821.5),(51 7960646),(52 8117040.5),(53 8308958.5),(54 8520387),(55 8703454),(56 8933671),(57 9157791),(58 9387371),(59 9604835),(60 9781641),(61 9879796),(62 10027742),(63 10253393),(64 10327740),(65 10415947),(66 10529657),(67 10560283),(68 10652621),(69 10706289),(70 10717385),(71 10778785),(72 10850616),(73 10856787),(74 10911179),(75 11004309),(76 11003497),(77 11064451),(78 11193989),(79 11180291),
(1 7409.483),(2 24370.318),(3 45177.94),(4 64796.137),(5 81236.92),(6 94554.17),(7 104861.77),(8 112359.28),(9 117432.39),(10 121006.74),(11 124401.29),(12 128372.445),(13 132265.84),(14 135499.64),(15 138994.78),(16 141407.36),(17 142118.13),(18 142375.08),(19 141529.75),(20 140606.8),(21 139797.3),(22 139739.98),(23 140395.27),(24 141741.38),(25 142718.06),(26 143088.66),(27 142613.77),(28 141900.58),(29 141798.47),(30 142041.45),(31 143631.52),(32 145547.61),(33 147159.73),(34 147393.2),(35 147403.98),(36 146844.53),(37 147511.06),(38 148943.64),(39 150322),(40 151021.39),(41 150831.22),(42 149529.5),(43 148208.63),(44 147128.4),(45 146106.69),(46 145146.38),(47 144431.81),(48 144780.98),(49 145681.16),(50 146390.69),(51 147458.78),(52 148121.08),(53 147388.03),(54 145306.42),(55 144110.19),(56 143859.27),(57 144770.42),(58 145214),(59 145588.89),(60 146076.94),(61 146622.13),(62 147350.69),(63 148296.14),(64 147471.9),(65 146703.33),(66 145836.31),(67 144744.75),(68 144287.73),(69 143785.64),(70 144653.44),(71 145382),(72 146378.27),(73 146858.56),(74 147463.38),(75 148117.31),(76 149323.47),(77 150824.9),(78 151552.16),(79 151783.1),
(1 7528.668),(2 24877.738),(3 46582.387),(4 67153.836),(5 84703.85),(6 98714.27),(7 109673.26),(8 117885.87),(9 124539.01),(10 129259.516),(11 133817.19),(12 138479.13),(13 143114.52),(14 147305.3),(15 151108.06),(16 154024.97),(17 156170.28),(18 158588.83),(19 160359.61),(20 161192.64),(21 161336.44),(22 161774.42),(23 162563.75),(24 163928.94),(25 165672.03),(26 166187.16),(27 165693.52),(28 163886.03),(29 162324.4),(30 161783.78),(31 163040.89),(32 164707.94),(33 165907.3),(34 166439.86),(35 166868.13),(36 167300.27),(37 168325.11),(38 168570.5),(39 167863.34),(40 166074.02),(41 163929.13),(42 161209.42),(43 158351.23),(44 155653.58),(45 152962.36),(46 150521.16),(47 148178.75),(48 146600.53),(49 145592.31),(50 144288.2),(51 143741.28),(52 143628.05),(53 142676.81),(54 142688.63),(55 142320.95),(56 142880.7),(57 142805.97),(58 142284.73),(59 142446.7),(60 142688.9),(61 142508.36),(62 142236.05),(63 142627.95),(64 143459.17),(65 145807.1),(66 147410.2),(67 150285.47),(68 153694.67),(69 156736.67),(70 158981.98),(71 160722.97),(72 162698.53),(73 163603.16),(74 164480.36),(75 165179.34),(76 166922.03),(77 168830.23),(78 170125.53),(79 170633.69),
(1 7652.1904),(2 25117.293),(3 46178.91),(4 65933.625),(5 82632.02),(6 95581.266),(7 105762.68),(8 113359.03),(9 118784.32),(10 123536.84),(11 128254.3),(12 132871.9),(13 136848.73),(14 140249.33),(15 142547.7),(16 144407.67),(17 145461.08),(18 146342.69),(19 146403.47),(20 145864.95),(21 145510.73),(22 145733.52),(23 146240.63),(24 147625.39),(25 149123.16),(26 149291.23),(27 148395.06),(28 147414.3),(29 147241.73),(30 147768.11),(31 148320.03),(32 148623.47),(33 148368.1),(34 148748.34),(35 149799.17),(36 151532.48),(37 152894.36),(38 152922.98),(39 151257.03),(40 148982.34),(41 146717.13),(42 144166.27),(43 141142.81),(44 139133.7),(45 137919.16),(46 137693.94),(47 136971.33),(48 136376.17),(49 135772.8),(50 134851.23),(51 133450.61),(52 131824.34),(53 130063.85),(54 129341.72),(55 129100.516),(56 129229.38),(57 129378.45),(58 128846.1),(59 128515.945),(60 128095.05),(61 126963.695),(62 126028.55),(63 125442.14),(64 126234.54),(65 128022.805),(66 129797.555),(67 132597.7),(68 135384.17),(69 138034.92),(70 140768.69),(71 143452.58),(72 145765.88),(73 148230.77),(74 150393.98),(75 152141.94),(76 153966.73),(77 155858.39),(78 158752),(79 159907.97),
(1 7248.5215),(2 23322.008),(3 42577.883),(4 60619.04),(5 75545.85),(6 87374.68),(7 96406.57),(8 103061.03),(9 108061.3),(10 111785.12),(11 114910.57),(12 118316.02),(13 121493.88),(14 124473.85),(15 126866.47),(16 129413.98),(17 131468.67),(18 133578.75),(19 134414.75),(20 133955.34),(21 133700.17),(22 133707.17),(23 134602.3),(24 136384.8),(25 138413.77),(26 139644.92),(27 140583.9),(28 141183.84),(29 140862.73),(30 140357.5),(31 139430.42),(32 138866.16),(33 138223.06),(34 137913.08),(35 137544.14),(36 137761.31),(37 137077.64),(38 135887.92),(39 133557),(40 131343.48),(41 128805.1),(42 126116.14),(43 123464.21),(44 121347.89),(45 120096.65),(46 119438.805),(47 118853.164),(48 118284.73),(49 117958.18),(50 116963.93),(51 116273.37),(52 115012.32),(53 113885.05),(54 112412.7),(55 111171.62),(56 111003.164),(57 111270.1),(58 112312.766),(59 112865.02),(60 113448.3),(61 113643.05),(62 113478.53),(63 113596.92),(64 114591.664),(65 117237.27),(66 120446.15),(67 123998.3),(68 127314.62),(69 129699.23),(70 130835.04),(71 131326.14),(72 131047.05),(73 131162.53),(74 131597.1),(75 132336.16),(76 133204.58),(77 133927.34),(78 134809.34),(79 134697.89),
(1 7036.147),(2 22805.37),(3 41385.87),(4 58235.4),(5 72421.45),(6 83748.164),(7 92406.125),(8 98263.27),(9 101573.26),(10 103816.71),(11 106259.37),(12 109420.125),(13 112968.22),(14 116262.89),(15 119241.22),(16 121359.83),(17 122909.24),(18 124053.19),(19 125211.83),(20 125569.74),(21 125978.83),(22 126407.24),(23 127373.63),(24 128758.52),(25 129663.63),(26 129976.37),(27 129880.766),(28 129575.734),(29 129397.83),(30 129379.25),(31 129716.84),(32 129265.445),(33 127415.09),(34 125644.47),(35 123286.62),(36 122017.87),(37 119302.98),(38 116873.04),(39 114546.6),(40 112397.29),(41 110308.97),(42 108441.54),(43 107003.34),(44 106469.805),(45 107396.27),(46 109124.03),(47 111183.01),(48 111650.516),(49 111852.76),(50 112347.38),(51 113163.57),(52 113499.24),(53 113159.17),(54 113630.58),(55 113516.75),(56 112735.25),(57 111317.05),(58 110359.195),(59 109442.164),(60 108817.34),(61 107896.41),(62 107112.945),(63 106920.09),(64 108113.32),(65 109624.28),(66 110805.88),(67 111162.83),(68 110672.38),(69 110684.62),(70 110798.98),(71 111003.875),(72 111324.4),(73 112052.945),(74 113276.43),(75 114571.16),(76 115737.44),(77 117543.94),(78 119599.01),(79 120934.66),
(1 7362.631),(2 23781.678),(3 42951.395),(4 59876.41),(5 73503.164),(6 83853.8),(7 91392.6),(8 96582.695),(9 100482.3),(10 103385.06),(11 105493.98),(12 107042.01),(13 108067.625),(14 108936.62),(15 109540.93),(16 109805.195),(17 110334.55),(18 111502.66),(19 112711.766),(20 113809.72),(21 115665.53),(22 118324.47),(23 121108.78),(24 123655.95),(25 125601.38),(26 126359.336),(27 126759.4),(28 126872.125),(29 127067.766),(30 126997.336),(31 126270.695),(32 125126.41),(33 123318.484),(34 122158.68),(35 121820.94),(36 122557.15),(37 122195.234),(38 122016.98),(39 121688.02),(40 120312.17),(41 117993.945),(42 116330.73),(43 115319.97),(44 114934.14),(45 115017.27),(46 114263.43),(47 113314.02),(48 111790.87),(49 111026.88),(50 111294.74),(51 111914.72),(52 112361.49),(53 113019.94),(54 113590.266),(55 113537.24),(56 112324.3),(57 110800.695),(58 109377.55),(59 107649.58),(60 105977.61),(61 105080.57),(62 105227.04),(63 105347.95),(64 106106.03),(65 107363.18),(66 108398.16),(67 109342.05),(68 110225.625),(69 111390.37),(70 113248.16),(71 115079.94),(72 116236.93),(73 117526.195),(74 118027.71),(75 118272.695),(76 118200.805),(77 117826.06),(78 117422.08),(79 118062.35),
(1 7188.234),(2 22986.775),(3 41296.516),(4 57428.625),(5 70395.6),(6 80372.1),(7 87998.18),(8 93742.39),(9 97908.02),(10 101348.2),(11 104430.13),(12 107014.805),(13 108617.625),(14 110123.664),(15 110862.3),(16 111352.516),(17 111317.48),(18 111024.25),(19 110738.984),(20 111047.47),(21 112329.375),(22 114331.836),(23 115970.43),(24 116841.35),(25 116640.88),(26 116515.484),(27 116809.766),(28 117334.03),(29 118398.39),(30 119078.01),(31 119623.22),(32 120310.05),(33 120602.766),(34 119804.33),(35 118618.01),(36 117306.305),(37 115901.414),(38 115248.23),(39 115233.945),(40 115505.805),(41 115850.97),(42 116203.914),(43 117026.016),(44 118484.9),(45 120340.28),(46 121747.32),(47 123031.32),(48 123861.61),(49 124071.14),(50 124107.38),(51 124441.27),(52 124571.695),(53 125081.32),(54 125308.73),(55 125182.73),(56 124325.05),(57 122435.28),(58 121560.984),(59 120877.62),(60 119967.21),(61 118841.12),(62 117960.516),(63 117060.52),(64 116615.77),(65 115970.95),(66 115295.234),(67 115677.72),(68 116639.375),(69 117448.95),(70 118500.72),(71 119430.7),(72 120122.3),(73 121104.85),(74 121347.72),(75 121146.18),(76 120324.99),(77 119324.414),(78 118609.1),(79 118358.76),
(1 7020.8975),(2 22606.775),(3 40796.55),(4 56641.117),(5 69229.914),(6 78791.95),(7 85608.22),(8 90362.02),(9 94066.53),(10 96542.28),(11 98284.125),(12 100144.66),(13 101908.51),(14 102867.15),(15 102701.75),(16 102326.4),(17 101853.766),(18 102370.97),(19 103901.46),(20 105865.445),(21 108269.76),(22 110273.15),(23 111461.14),(24 111928.18),(25 111980.76),(26 111612.3),(27 111374.82),(28 112099.1),(29 114068.3),(30 116503.84),(31 119480.61),(32 121405.836),(33 121660.6),(34 120756.39),(35 119550.29),(36 118503.2),(37 117673.37),(38 117247.305),(39 117156.61),(40 116692.87),(41 116493.96),(42 117136.41),(43 118135.164),(44 118685.66),(45 118838.79),(46 119040.99),(47 119982.99),(48 120695.664),(49 121132.93),(50 121582.37),(51 121053.34),(52 120359.03),(53 120316.61),(54 121657.41),(55 122352.19),(56 122154.36),(57 120649.83),(58 119841.26),(59 119872.33),(60 118694.99),(61 117916.17),(62 117994.836),(63 117782.81),(64 118161.234),(65 118573.336),(66 119966.09),(67 121098.67),(68 122270.31),(69 122538.54),(70 122882.88),(71 121990.48),(72 121497.055),(73 120858.27),(74 120238.86),(75 119840.89),(76 119735.1),(77 119804),(78 120037.62),(79 120884.016),
(1 7161.3833),(2 23115.664),(3 41721.67),(4 58232.21),(5 71521.85),(6 81867.52),(7 89548.766),(8 94657.14),(9 98384.33),(10 101816.836),(11 105265.36),(12 109809.45),(13 114238.3),(14 117658.77),(15 119406.53),(16 120492.805),(17 121098.5),(18 120638.305),(19 120107.29),(20 119914),(21 120272.95),(22 121275.766),(23 122445),(24 122946.41),(25 122817.664),(26 122780.55),(27 122208.94),(28 121898.91),(29 122234.195),(30 122695.1),(31 123517.66),(32 123727.78),(33 123649.47),(34 123551.58),(35 123398.58),(36 121895.71),(37 120420.02),(38 119109.586),(39 118489.586),(40 118211.7),(41 118004),(42 119241.21),(43 120677.81),(44 121849.41),(45 122429.484),(46 122457.15),(47 122012.42),(48 121001.39),(49 119717.65),(50 119043.164),(51 118858.1),(52 118952.39),(53 120022.49),(54 120857.125),(55 121840.03),(56 121798.445),(57 121570.09),(58 122259.14),(59 123345.875),(60 123357.6),(61 124447.27),(62 126143.586),(63 127920.99),(64 129900.43),(65 131286.81),(66 132767.02),(67 132476.17),(68 131764.36),(69 130236.734),(70 129225.07),(71 127574.664),(72 126379.15),(73 125217.5),(74 123977.625),(75 122978.14),(76 121669.1),(77 120899.055),(78 120860.93),(79 121297.88),
(1 6938.1104),(2 22301.775),(3 39666.336),(4 54692.91),(5 66763.57),(6 76242.53),(7 84033.45),(8 90270.29),(9 94707.98),(10 98583.29),(11 102466.12),(12 106438.555),(13 110170.85),(14 113536.26),(15 116213.77),(16 118637.19),(17 120225.11),(18 120565.17),(19 120504.984),(20 120432.61),(21 121201.83),(22 121906.49),(23 122967),(24 123943.945),(25 124591.45),(26 125547.875),(27 126508.96),(28 127514.65),(29 128405.03),(30 128379.81),(31 128275.15),(32 126761.77),(33 124661.22),(34 122769.87),(35 121760.63),(36 120185.7),(37 118506.8),(38 117361.39),(39 116829.92),(40 115714.99),(41 113925.82),(42 112997.55),(43 112453.16),(44 112082.125),(45 110806.836),(46 109186.45),(47 108069.82),(48 107558.195),(49 106204.766),(50 105910.93),(51 106136.21),(52 106880.04),(53 107795.55),(54 107893.2),(55 109013.945),(56 110376.09),(57 110958.016),(58 111875.24),(59 112440.48),(60 112153.51),(61 112265.94),(62 113258.4),(63 114586.875),(64 116399.28),(65 118527.86),(66 120752.05),(67 122227.52),(68 123285.695),(69 123573.66),(70 124542.95),(71 125035.02),(72 125550.22),(73 124875.4),(74 123419.805),(75 121581.14),(76 119397.875),(77 117646.5),(78 116775.13),(79 116454.42),
(1 6744.028),(2 21208.174),(3 37541.125),(4 51801.848),(5 62956.8),(6 70965.19),(7 76628.266),(8 80532.73),(9 82751.484),(10 84740.93),(11 86826.63),(12 88808.2),(13 90648.53),(14 92275.04),(15 94309.64),(16 96366.11),(17 98241),(18 99511.94),(19 100402.27),(20 101035.78),(21 101691.36),(22 102592.54),(23 103779.9),(24 104817.85),(25 105388.35),(26 105849.484),(27 106319.5),(28 106714.84),(29 106397.79),(30 106460.65),(31 106639.5),(32 106640.586),(33 106363.42),(34 106292.766),(35 105651.17),(36 104112.98),(37 102251.36),(38 100246.25),(39 99208.58),(40 98852.03),(41 98511.32),(42 98585.28),(43 98336.72),(44 97970.05),(45 97015.555),(46 95892.87),(47 94789.05),(48 94114.33),(49 92724.76),(50 93016.5),(51 94146.414),(52 95782.25),(53 97349.72),(54 98239.57),(55 99754.875),(56 101087.945),(57 101872.91),(58 103255.08),(59 104517.75),(60 104943.41),(61 104887.664),(62 105253.64),(63 105746.21),(64 106324.26),(65 106285.484),(66 105776.02),(67 105057.32),(68 104220.65),(69 103488.18),(70 102648.266),(71 101433.02),(72 100676.99),(73 100753.5),(74 100749.05),(75 100655.67),(76 100096.11),(77 100020.93),(78 99978.49),(79 100054.19),
(1 6637.2285),(2 20888.723),(3 36725.594),(4 49737.234),(5 59511.58),(6 66961.8),(7 72480.586),(8 76192.266),(9 78127.01),(10 79406.45),(11 81365.46),(12 83720.57),(13 85665.56),(14 87133.63),(15 88891.805),(16 90364.16),(17 91846.17),(18 93075.37),(19 93494.1),(20 93964.17),(21 94760.336),(22 95985.984),(23 97316.49),(24 98264.53),(25 99128.71),(26 99813.516),(27 100502.25),(28 100961.945),(29 101576.16),(30 102479.62),(31 103090.14),(32 102945.54),(33 102195.19),(34 101262.695),(35 100393.25),(36 99498.37),(37 99589.94),(38 99659.65),(39 99950.83),(40 100565.13),(41 101677.84),(42 102920.2),(43 104102.59),(44 104524.88),(45 104209.04),(46 104271.125),(47 103987.3),(48 103945.37),(49 102960.22),(50 101694.47),(51 100188.69),(52 99492.85),(53 99252.03),(54 99775.54),(55 100772.24),(56 101607.59),(57 101627.35),(58 101313.48),(59 101486.23),(60 102040.54),(61 102319.87),(62 102212.555),(63 101041.875),(64 99640.125),(65 98885.34),(66 97678.71),(67 97213.53),(68 97170.664),(69 96799.16),(70 95833.29),(71 94859.79),(72 93943.91),(73 92911.75),(74 91862.86),(75 91546.11),(76 91868.234),(77 91813.52),(78 92696.06),(79 93833.32),
(1 6423.353),(2 20365.742),(3 36184.28),(4 49562.406),(5 59431.51),(6 66202.84),(7 70826.734),(8 73657.71),(9 75425.914),(10 76879.77),(11 78604.32),(12 80356.54),(13 82140.836),(14 83877.11),(15 85451.9),(16 86661.08),(17 88095.195),(18 89295.27),(19 89819.03),(20 90474.03),(21 91462.49),(22 92627.125),(23 93878.54),(24 94572.99),(25 94754.664),(26 94584.086),(27 94292.55),(28 94153.36),(29 94374.9),(30 94770.914),(31 94484.805),(32 93868.4),(33 93997.71),(34 94402.836),(35 95100.164),(36 95734.43),(37 96207.78),(38 96406.37),(39 97093.47),(40 99059.34),(41 101436.47),(42 102966.3),(43 104252.55),(44 105270.9),(45 105548.836),(46 106029.38),(47 105992.375),(48 107040.9),(49 107354.71),(50 107325.03),(51 106831.414),(52 106167.94),(53 105552.195),(54 104731.836),(55 104308.98),(56 103873.72),(57 103000.05),(58 101799.984),(59 101254.95),(60 100718.984),(61 99630.234),(62 98192.766),(63 96029.57),(64 94626.84),(65 93503.805),(66 92484.164),(67 92027.7),(68 91666.88),(69 90857.03),(70 89810.49),(71 88951.02),(72 88132.125),(73 88239.86),(74 88870.66),(75 90517.7),(76 92302.07),(77 93273.56),(78 94388.234),(79 96072.47),
(1 6601.5664),(2 20431.371),(3 35745.117),(4 48607.26),(5 59005.676),(6 67355.85),(7 73769.664),(8 78047.04),(9 80471.77),(10 82215.664),(11 84401.66),(12 86691.32),(13 88635.88),(14 90192.45),(15 91248.41),(16 91627.92),(17 91154.51),(18 90351.22),(19 89930.984),(20 90807.93),(21 92668.14),(22 94601.96),(23 95642.88),(24 95306.46),(25 94237.81),(26 93603.93),(27 93281.56),(28 92533.85),(29 91826.14),(30 91175.766),(31 90412.22),(32 89334.29),(33 88652.72),(34 88487.65),(35 88398.74),(36 88779.95),(37 88891.164),(38 88811.85),(39 88928.03),(40 89611.27),(41 91081.96),(42 92477.055),(43 93635.08),(44 94471.6),(45 94837.31),(46 95353.516),(47 95628.7),(48 95735.05),(49 95698.305),(50 95532.71),(51 95418.74),(52 95562.18),(53 95950.305),(54 96093.54),(55 96002.29),(56 95989.68),(57 96137.43),(58 95762.26),(59 95081.36),(60 94246.664),(61 93039.305),(62 91606.24),(63 89695.55),(64 87891.47),(65 86697.79),(66 85635.58),(67 85159.68),(68 84640.42),(69 84365.66),(70 84614.48),(71 84980.766),(72 85477.35),(73 86676.055),(74 87964.516),(75 89200.15),(76 90566.25),(77 91030.984),(78 91643.79),(79 92316.96),
(1 6720.5254),(2 20974.447),(3 36702.67),(4 50250.496),(5 60894.344),(6 69130.23),(7 75591.13),(8 79864.81),(9 82233.06),(10 84383.55),(11 86616.21),(12 88426.5),(13 89763.086),(14 90435.11),(15 91216.1),(16 91808.11),(17 91902.06),(18 91362.51),(19 90490.87),(20 90068.26),(21 90103.164),(22 90502.414),(23 90871.37),(24 91353.125),(25 91503.16),(26 91349.36),(27 91194.16),(28 90875.016),(29 90963.16),(30 91168.7),(31 90708.59),(32 89883.625),(33 89418.23),(34 89262.55),(35 89228.8),(36 89782.56),(37 90419.44),(38 91611.92),(39 92712.24),(40 93941.805),(41 95579.95),(42 96169.93),(43 95874.08),(44 95154.766),(45 94741.51),(46 94387.51),(47 93910.586),(48 93607.97),(49 93664.766),(50 93910.91),(51 93831.7),(52 93408.53),(53 93135.24),(54 92973.54),(55 92317.164),(56 92152.22),(57 92034.94),(58 91997.47),(59 91788.6),(60 91350.4),(61 91159.15),(62 90779.13),(63 89538.445),(64 89456.484),(65 90134.875),(66 91020.29),(67 92015.04),(68 92504.27),(69 92476.03),(70 92686.95),(71 93268.22),(72 93607.5),(73 94303.19),(74 94937.89),(75 95376.16),(76 96025.16),(77 96550.64),(78 97301.96),(79 98154.99),
(1 6460.514),(2 20217.24),(3 35517.387),(4 48431.465),(5 58063.53),(6 65029.016),(7 69957.71),(8 73129.61),(9 74486.055),(10 75435.93),(11 75920.38),(12 76370.59),(13 76549.766),(14 76826.16),(15 77725.51),(16 78961.336),(17 79878.75),(18 80248.06),(19 80928.555),(20 82002.734),(21 82885.31),(22 83304.5),(23 83364.05),(24 83971.48),(25 84549.41),(26 84412.24),(27 83808.94),(28 82711.984),(29 81610.37),(30 80506.41),(31 79499),(32 79410.13),(33 79909.29),(34 80274.85),(35 80383.35),(36 80927.59),(37 82037.82),(38 82881.21),(39 83679),(40 84758.734),(41 85882.46),(42 86097.305),(43 86531.09),(44 87108.82),(45 87946.375),(46 88917.32),(47 89388.555),(48 89505.086),(49 90270.66),(50 90177.484),(51 89904.34),(52 88955.7),(53 87972.1),(54 86854.04),(55 85518.945),(56 84749.45),(57 84387.48),(58 84031.64),(59 83309.336),(60 82368.92),(61 82123.734),(62 81983.73),(63 81963.52),(64 82900.79),(65 84181.58),(66 85631.22),(67 86926.8),(68 87204.09),(69 86837.46),(70 86218.03),(71 86144.5),(72 85893.82),(73 85456.13),(74 84820.33),(75 84453.61),(76 84848.33),(77 86057.68),(78 87698.94),(79 89811.54),
(1 6279.5776),(2 19509.67),(3 33998.21),(4 46085.875),(5 55617.156),(6 62837.15),(7 67906.33),(8 70863.195),(9 72257.54),(10 73495.41),(11 74896.69),(12 76565.97),(13 78121.72),(14 79552.3),(15 81230.375),(16 82926.914),(17 83646.48),(18 83788.61),(19 84863.85),(20 86831.41),(21 88853.28),(22 90553.61),(23 91541.016),(24 92084.086),(25 92173.12),(26 91487.984),(27 91128.21),(28 91045.945),(29 90653.12),(30 89810.64),(31 88116.25),(32 86564.82),(33 85788.36),(34 84956.86),(35 84722.88),(36 85196.69),(37 85432.8),(38 85670.73),(39 86389.21),(40 87814.15),(41 89384.02),(42 90029.16),(43 89846.555),(44 89346.64),(45 89115.48),(46 89132.9),(47 89288.52),(48 89057.484),(49 89468.47),(50 89573.79),(51 89500.414),(52 89555.96),(53 89658.46),(54 89698.94),(55 89668.93),(56 89202.43),(57 88095.28),(58 86990.95),(59 86073.94),(60 85130.67),(61 84449.375),(62 83647.734),(63 82704.39),(64 82690.19),(65 83317.72),(66 84955.234),(67 85910.836),(68 86539.4),(69 86852.695),(70 87754.15),(71 88422.11),(72 88385.15),(73 88313.25),(74 88498.24),(75 88892.555),(76 89925.9),(77 91233.43),(78 92046.164),(79 92902.26),
